	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	H42800	Transcribed locus	Hs.547307	-	10	-	-	-	6.923690438	4.531895224	2.187393943	4.547659868
	W37862	Regulator of G-protein signalling 5	Hs.24950	RGS5	1	1q23.1	The regulator of G protein signaling (RGS) proteins are signal transduction molecules that have structural homology to SST2 of Saccharomyces cerevisiae and EGL-10 of Caenorhabditis elegans. Multiple genes homologous to SST2 are present in higher eukaryotes. RGS proteins are involved in the regulation of heterotrimeric G proteins by acting as GTPase activators.[supplied by OMIM]	GTPase activator activity|regulation of G-protein coupled receptor protein signaling pathway|signal transducer activity|signal transduction	4.771323919	6.560815762	2.333403201	4.555180961
	H74091	Serine/threonine kinase 38	Hs.409578	STK38	6	6p21	-	ATP binding - magnesium ion binding - nucleus - protein amino acid phosphorylation - protein kinase cascade - protein serine/threonine kinase activity - protein-tyrosine kinase activity - transferase activity	3.820115632	7.851412665	2.016310153	4.562612817
	W87330	KIAA0701 protein	Hs.387336	KIAA0701	12	12q23.1	-	-	6.304861594	4.802431381	2.649604323	4.585632433
	H73833	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	Hs.643580	PRPF40A	2	2q23.3	-	nuclear mRNA splicing, via spliceosome	3.755143282	5.450752175	4.55821119	4.588035549
	R89157	Chromosome 18 open reading frame 25	Hs.116486	C18orf25	18	18q21.1	-	-	5.830665845	3.586279577	4.382412845	4.599786089
	AA059376	Phosphodiesterase 4D interacting protein (myomegalin)	Hs.584841	PDE4DIP	1	1q12	-	actin binding - actin cytoskeleton - actin cytoskeleton organization and biogenesis - cytoskeleton organization and biogenesis - intracellular - protein biosynthesis - ribosome - structural constituent of ribosome	7.9568073	3.708792274	2.155925043	4.607174872
	N64116	Chromosome 2 open reading frame 44	Hs.24624	C2orf44	2	2p23.3	-	-	6.34039445	4.935186509	2.550675592	4.608752184
	N99429	yz80f05.r1 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA	-	-	-	-	-	-	5.50770204	6.072103208	2.290430058	4.623411769
	BQ100969	Polymerase (RNA) II (DNA directed) polypeptide A, 220kDa	Hs.270017	POLR2A	17	17p13.1	This gene encodes the largest subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes. The product of this gene contains a carboxy terminal domain composed of heptapeptide repeats that are essential for polymerase activity. These repeats contain serine and threonine residues that are phosphorylated in actively transcribing RNA polymerase. In addition, this subunit, in combination with several other polymerase subunits, forms the DNA binding domain of the polymerase, a groove in which the DNA template is transcribed into RNA.	DNA binding - DNA binding - DNA-directed RNA polymerase II, core complex - DNA-directed RNA polymerase II, core complex - DNA-directed RNA polymerase activity - nucleus - protein binding - regulation of transcription, DNA-dependent - transcription - transcription from RNA polymerase II promoter - transcription, DNA-dependent - transferase activity	3.360282179	8.459532106	2.168737706	4.662850664
	H73881	Transcribed locus	Hs.437958	-	4	-	-	-	3.216779828	8.726555505	2.075928153	4.673087829
	H45507	Rho GTPase activating protein 8	Hs.102336	ARHGAP8	22	22q13.31	This gene encodes a Rho GTPase activating protein (GAP). Rho GTPases have an active GTP-bound form and an inactive GDP-bound form. Rho GAPs down-regulate GTPases by catalyzing the hydrolysis of GTP to GDP. Alternative splicing results in several transcript variants encoding several isoforms. Additional splice variants have been described, but their biological validity has not been determined.	GTPase activator activity	5.146037161	3.599990751	5.275944808	4.673990907
	N98243	3-phosphoinositide dependent protein kinase-1	Hs.459691	PDPK1	16	16p13.3	-	3-phosphoinositide-dependent protein kinase activity - ATP binding - actin cytoskeleton organization and biogenesis - cytoplasm - insulin receptor signaling pathway - plasma membrane - protein amino acid phosphorylation - protein amino acid phosphorylation - protein serine/threonine kinase activity - protein-tyrosine kinase activity - transferase activity	6.137263946	3.903747357	4.115573222	4.718861508
	R19763	Chondroitin polymerizing factor	Hs.516711	CHPF	2	2q35	-	-	6.553592392	2.699347932	4.983688693	4.745543006
	AA772319	CUB domain containing protein 2	Hs.568555	CDCP2	1	1p32.3	-	cholesterol biosynthesis - electron transport - endoplasmic reticulum - integral to membrane - oxidoreductase activity	5.741036175	6.018111095	2.479704758	4.746284009
	H70367	ATP-binding cassette, sub-family B (MDR/TAP), member 6	Hs.107911	ABCB6	2	2q36	The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters.  ABC proteins transport various molecules across extra- and intra-cellular membranes.  ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White).  This protein is a member of the MDR/TAP subfamily.  Members of the MDR/TAP subfamily are involved in multidrug resistance as well as antigen presentation.  This half-transporter likely plays a role in mitochondrial function.  Localized to 2q26, this gene is considered a candidate gene for lethal neonatal metabolic syndrome, a disorder of mitochondrial function.	ATP binding - ATP-binding cassette (ABC) transporter complex - ATPase activity - ATPase activity, coupled to transmembrane movement of substances - inner membrane - integral to membrane - iron ion homeostasis - mitochondrion - mitochondrion - nucleotide binding - transport	3.002505545	8.738876194	2.509168902	4.750183547
	R16431	Chromosome 4 open reading frame 29	Hs.445817	C4orf29	4	4q28.2	-	-	8.111162823	3.608416193	2.536562406	4.752047141
	T90167	Oncoprotein induced transcript 3	Hs.8366	OIT3	10	10q22.1	-	calcium ion binding	5.102365213	6.46914731	2.740472425	4.770661649
	H10416	Ankylosis, progressive homolog (mouse)	Hs.156727	ANKH	5	5p15.1	This gene encodes a multipass transmembrane protein that is expressed in joints and other tissues and controls pyrophosphate levels in cultured cells. Mutation at the mouse progressive ankylosis (ank) locus causes a generalized, progressive form of arthritis accompanied by mineral deposition, formation of bony outgrowths, and joint destruction. The human homolog is virtually identical to the mouse protein and ANKH-mediated control of pyrophosphate levels has been suggested as a possible mechanism regulating tissue calcification and susceptibility to arthritis in higher animals.	inorganic diphosphate transporter activity - inorganic phosphate transporter activity - integral to membrane - locomotory behavior - outer membrane - outer membrane - perception of sound - phosphate transport - phosphate transporter activity - regulation of bone mineralization - regulation of bone mineralization - skeletal development - transport	4.682286445	6.265479086	3.384250242	4.777338591
	W68436	Nucleolar protein with MIF4G domain 1	Hs.15825	NOM1	7	7q36.3	-	-	9.089996825	3.277926492	2.011540572	4.79315463
	T66866	F-box protein 31	Hs.567582	FBXO31	16	16q24.2	Members of the F-box protein family, such as FBXO31, are characterized by an approximately 40-amino acid F-box motif. SCF complexes, formed by SKP1 (MIM 601434), cullin (see CUL1; MIM 603134), and F-box proteins, act as protein-ubiquitin ligases. F-box proteins interact with SKP1 through the F box, and they interact with ubiquitination targets through other protein interaction domains (Jin et al., 2004 [PubMed 15520277]).[supplied by OMIM]	-	5.70673427	3.385663518	5.328489452	4.806962413
	H95416	yw60e07.r1 Soares_placenta_8to9weeks_2NbHP8to9W Homo sapiens cDNA	-	-	-	-	-	-	6.650298849	4.781457706	3.037587874	4.82311481
	R13742	yf59h10.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	5.399815248	7.074813001	2.016992252	4.830540167
	W87356	WNK lysine deficient protein kinase 1	Hs.356604	WNK1	-	12p13.3	-	-	4.453964804	6.128982421	3.912143783	4.831697003
	H72773	Fas (TNFRSF6) binding factor 1	Hs.514494	FBF1	17	17q25.1	-	-	6.785278395	4.184026977	3.611273853	4.860193075
	H78468	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	Hs.381189	CBX3	7	7p15.2	At the nuclear envelope, the nuclear lamina and heterochromatin are adjacent to the inner nuclear membrane. The protein encoded by this gene binds DNA and is a component of heterochromatin. This protein also can bind lamin B receptor, an integral membrane protein found in the inner nuclear membrane. The dual binding functions of the encoded protein may explain the association of heterochromatin with the inner nuclear membrane. Two transcript variants encoding the same protein but differing in the 5 UTR, have been found for this gene.	chromatin - chromatin assembly or disassembly - chromatin binding - chromatin modification - nucleus - regulation of transcription, DNA-dependent - transcription	4.943203272	7.481446898	2.184233616	4.869627929
	BF111337	Dual specificity phosphatase 18	Hs.517544	DUSP18	22	22q12.2	-	hydrolase activity - nucleus - protein amino acid dephosphorylation - protein tyrosine/serine/threonine phosphatase activity	3.25998285	8.62763036	2.747945483	4.878519564
	BG766316	Nuclear receptor subfamily 2, group F, member 2	Hs.347991	NR2F2	15	15q26	-	ligand-regulated transcription factor activity - lipid metabolism - nucleus - regulation of transcription from RNA polymerase II promoter - signal transduction - steroid hormone receptor activity - transcription - transcription corepressor activity - transcription factor activity	6.784608519	2.283238547	5.568223406	4.878690157
	T82940	Cell division cycle 25A	Hs.437705	CDC25A	3	3p21	CDC25A is a member of the CDC25 family of phosphatases. CDC25A is required for progression from G1 to the S phase of the cell cycle. It activates the cyclin-dependent kinase CDC2 by removing two phosphate groups. CDC25A is specifically degraded in response to DNA damage, which prevents cells with chromosomal abnormalities from progressing through cell division. CDC25A is an oncogene, although its exact role in oncogenesis has not been demonstrated. Two transcript variants encoding different isoforms have been found for this gene.	cell proliferation|cytokinesis|hydrolase activity|intracellular|mitosis|protein amino acid dephosphorylation|protein tyrosine phosphatase activity|regulation of cyclin dependent protein kinase activity	7.843679096	5.125029768	1.669204432	4.879304432
	H82185	yv78g03.r1 Soares melanocyte 2NbHM Homo sapiens cDNA clone	-	-	-	-	-	-	5.795643084	6.083137337	2.761162038	4.87998082
	N27569	Chromosome 10 open reading frame 32	Hs.34492	C10orf32	10	10q24.32	-	S-adenosylmethionine-dependent methyltransferase activity - transferase activity	4.675801076	7.531447162	2.464432506	4.890560248
	AA004472	Chromosome 16 open reading frame 70	Hs.513666	C16orf70	16	16q22.1	-	molecular_function unknown	7.888016452	4.65168336	2.162603113	4.900767642
	W30950	zc64h11.r1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone	-	-	-	-	-	-	8.719748905	3.837770852	2.200301728	4.919273828
	N35453	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	Hs.460184	MCM4	8	8q11.2	The protein encoded by this gene is one of the highly conserved mini-chromosome maintenance proteins (MCM) that are essential for the initiation of eukaryotic genome replication. The hexameric protein complex formed by MCM proteins is a key component of the pre-replication complex (pre_RC) and may be involved in the formation of replication forks and in the recruitment of other DNA replication related proteins. The MCM complex consisting of this protein and MCM2, 6 and 7 proteins possesses DNA helicase activity, and may act as a DNA unwinding enzyme. The phosphorylation of this protein by CDC2 kinase reduces the DNA helicase activity and chromatin binding of the MCM complex. This gene is mapped to a region on the chromosome 8 head-to-head next to the PRKDC/DNA-PK, a DNA-activated protein kinase involved in the repair of DNA double-strand breaks. Alternatively spliced transcript variants encoding the same protein have been reported.	ATP binding - DNA binding - DNA replication - DNA replication initiation - DNA-dependent ATPase activity - nucleus - regulation of transcription, DNA-dependent - transcription	6.842567394	5.408939525	2.533131345	4.928212755
	T85120	yd31a03.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	5.074075264	6.066460397	3.65659406	4.932376574
	H46350	yo15h03.r1 Soares adult brain N2b5HB55Y Homo sapiens cDNA clone	-	-	-	-	-	-	6.751592909	5.46735555	2.578181321	4.932376593
	H51901	yp07e02.r1 Soares breast 3NbHBst Homo sapiens cDNA clone	-	-	-	-	-	-	3.220061818	9.523786647	2.057680105	4.933842857
	W88476	zh72a05.r1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA	-	-	-	-	-	-	3.475611214	9.103320013	2.262070071	4.947000433
	R85326	Homo sapiens transcribed sequence with moderate similarity to protein pdb:1J4R (H.sapiens) A Chain A, Fk506 Binding Protein Complexed With Fkb-001	-	-	-	-	-	-	5.852068118	5.225305081	3.804072108	4.960481769
	BG110260	FK506 binding protein 14, 22 kDa	Hs.390838	FKBP14	7	7p15.1	-	calcium ion binding - endoplasmic reticulum - isomerase activity - peptidyl-prolyl cis-trans isomerase activity - protein folding	6.36956029	3.77791413	4.751278955	4.966251125
	T97204	Interleukin 6 receptor	Hs.591492	IL6R	1	1q21	Interleukin 6 (IL6) is a potent pleiotropic cytokine that regulates cell growth and differentiation and plays an important role in immune response. The protein encoded by this gene is a subunit of the receptor complex for IL6. The IL6 receptor is a protein complex consisting of this protein and interleukin 6 signal transducer (IL6ST/GP130/IL6-beta), a receptor subunit also shared by many other cytokines. Dysregulated production of IL6 and this receptor are implicated in the pathogenesis of many diseases, such as multiple myeloma, autoimmune diseases and prostate cancer. Alternatively spliced transcript variants encoding distinct isoforms have been reported.	cell proliferation|cell surface receptor linked signal transduction|development|enzyme binding|extracellular region|hematopoietin/interferon-class (D200-domain) cytokine receptor activity|immune response|interleukin-6 receptor activity|interleukin-6 receptor complex|membrane|receptor activity	6.537923987	4.388127823	4.039007714	4.988353175
	N80347	Homo sapiens transcribed sequences	-	-	-	-	-	-	8.915858216	3.678785947	2.37295463	4.989199598
	BI915449	Pregnancy upregulated non-ubiquitously expressed CaM kinase	Hs.436667	PNCK	X	Xq28	-	ATP binding - protein amino acid phosphorylation - protein kinase activity - transferase activity	5.096728584	4.12132829	5.899360689	5.039139188
	H51993	Hypothetical protein MGC3260	Hs.134883	MGC3260	20	20p13	-	-	5.352360281	7.703347874	2.087487386	5.047731847
	H71504	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_060265.1 (H.sapiens) hypothetical protein FLJ20378 [Homo sapiens]	-	-	-	-	-	-	6.217853644	6.917597932	2.102285699	5.079245758
	R13326	Homo sapiens transcribed sequences	-	-	-	-	-	-	4.797842621	5.102473531	5.347020217	5.082445456
	H59225	MRNA full length insert cDNA clone EUROIMAGE 200999	Hs.35755	-	15	-	-	-	7.587579259	4.240388472	3.42341284	5.083793524
	H66235	ataxin 2	Hs.76253	ATXN2	12	12q24.1	-	-	7.177132782	5.990221553	2.092789964	5.086714766
	H63698	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	Hs.324271	NAPE-PLD	7	7q22.1	-	integral to membrane	5.334348629	2.978613784	6.954885194	5.089282536
	H93475	Homo sapiens transcribed sequence with weak similarity to protein sp:P39192 (H.sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry	-	-	-	-	-	-	6.950703741	6.191880958	2.130259888	5.090948196
	W85982	Acyl-Coenzyme A dehydrogenase, long chain	Hs.471277	ACADL	2	2q34-q35	The protein encoded by this gene belongs to the acyl-CoA dehydrogenase family, which is a family of mitochondrial flavoenzymes involved in fatty acid and branched chain amino-acid metabolism. This protein is one of the four enzymes that catalyze the initial step of mitochondrial beta-oxidation of straight-chain fatty acid. Defects in this gene are the cause of long-chain acyl-CoA dehydrogenase (LCAD) deficiency, leading to nonketotic hypoglycemia.	acyl-CoA dehydrogenase activity|electron transport|fatty acid metabolism|lipid metabolism|long-chain-acyl-CoA dehydrogenase activity|mitochondrion|mitochondrion|oxidoreductase activity	4.883322706	3.759067158	6.673791936	5.105393933
	T72668	Transcribed locus, weakly similar to XP_517655.1 similar to KIAA0825 protein [Pan troglodytes]	Hs.12664	-	8	-	-	-	5.801686582	7.32497832	2.228928713	5.118531205
	N40606	CDNA FLJ45600 fis, clone BRTHA3020369	Hs.269028	-	6	-	-	-	3.075499389	10.01348722	2.284911498	5.124632702
	N31231	mitogen activated protein kinase binding protein 1	Hs.693637	MAPKBP1	15	15q15.1	-	-	7.596019915	3.677181763	4.175543645	5.149581774
	N39630	Purinergic receptor P2X, ligand-gated ion channel, 7	Hs.507102	P2RX7	12	12q24	The product of this gene belongs to the family of purinoceptors for ATP. This receptor functions as a ligand-gated ion channel and is responsible for ATP-dependent lysis of macrophages through the formation of membrane pores permeable to large molecules. Activation of this nuclear receptor by ATP in the cytoplasm may be a mechanism by which cellular activity can be coupled to changes in gene expression. Alternatively spliced variants encoding different isoforms have been identified.	ATP binding - ATP-gated cation channel activity - integral to membrane - integral to plasma membrane - ion channel activity - ion transport - membrane - receptor activity - receptor activity - signal transduction	7.044150486	6.076844522	2.329501578	5.150165529
	AA115258	Scavenger receptor class B, member 1	Hs.520348	SCARB1	12	12q24.31	-	apoptosis - cell adhesion - cholesterol metabolism - integral to membrane - membrane fraction - plasma membrane - receptor activity - transport - transporter activity	5.243695109	6.468433981	3.804281073	5.172136721
	R09864	Chromodomain helicase DNA binding protein 6	Hs.371979	CHD6	20	20q12	Chromosomal DNA of eukaryotic cells is compacted by nuclear proteins to form chromatin, an organized nucleoprotein structure that can inhibit gene expression. Several multisubunit protein complexes exist to remodel the chromatin to allow patterns of cell type-specific gene expression. The protein encoded by this gene is thought to be a core member of one or more of these complexes. The encoded protein, which is a member of the SNF2/RAD54 helicase family, contains two chromodomains, a helicase domain, and an ATPase domain.	ATP binding - chromatin - chromatin assembly or disassembly - chromatin binding - helicase activity - nucleus	9.71883731	3.614051013	2.189779033	5.174222452
	H67332	GTP binding protein 1	Hs.276925	GTPBP1	22	22q13.1	This gene is upregulated by interferon-gamma and encodes a protein that is a member of the AGP11/GTPBP1 family of GTP-binding proteins. A structurally similar protein has been found in mouse, where disruption of the gene for that protein had no observable phenotype.	GTP binding - electron transport - electron transporter activity - immune response - protein biosynthesis - signal transduction	8.22930275	4.442707842	2.943005792	5.205005461
	T91013	Homo sapiens transcribed sequences	-	-	-	-	-	-	5.356763382	4.953684292	5.358170514	5.222872729
	BM968601	Sperm associated antigen 5	Hs.514033	SPAG5	17	17q11.2	This gene encodes a protein associated with the mitotic spindle apparatus. The encoded protein may be involved in the functional and dynamic regulation of mitotic spindles.	cell cycle - cytokinesis - mitosis	6.524869304	6.051917203	3.210435427	5.262407311
	R20847	Neuronal PAS domain protein 3	Hs.659456	NPAS3	14	14q12-q13	-	DNA binding - nucleus - regulation of transcription, DNA-dependent - signal transducer activity - signal transduction - transcription	5.148176675	7.446317558	3.288682922	5.294392385
	AA001809	Homo sapiens transcribed sequences	-	-	-	-	-	-	4.265093755	7.610979771	4.018469671	5.298181066
	R25514	Family with sequence similarity 36, member A	Hs.411490	FAM36A	1	1q44	-	-	5.011236788	6.688656971	4.24403984	5.314644533
	H29394	Calcium channel, voltage-dependent, L type, alpha 1C subunit	Hs.118262	CACNA1C	12	12p13.3	This gene encodes an alpha-1 subunit of a voltage-dependent calcium channel. Calcium channels mediate the influx of calcium ions into the cell upon membrane polarization. The alpha-1 subunit consists of 24 transmembrane segments and forms the pore through which ions pass into the cell. The calcium channel consists of a complex of alpha-1, alpha-2/delta, beta, and gamma subunits in a 1:1:1:1 ratio. There are multiple isoforms of each of these proteins, either encoded by different genes or the result of alternative splicing of transcripts. The protein encoded by the gene described in this record binds to and is inhibited by dihydropyridine. Many alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized.	calcium ion binding - calcium ion transport - cation transport - integral to membrane - membrane - regulation of heart contraction rate - voltage-gated calcium channel activity - voltage-gated calcium channel activity - voltage-gated calcium channel complex - voltage-gated calcium channel complex	5.453697477	7.324540081	3.204037611	5.327425056
	H15507	ym29g02.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	8.406292892	4.415363544	3.161945683	5.327867373
	AA011627	POU domain, class 2, transcription factor 2	Hs.654420	POU2F2	19	19q13.2	-	DNA binding - humoral immune response - nucleus - nucleus - regulation of transcription, DNA-dependent - transcription factor activity - transcription from RNA polymerase II promoter	5.152187677	4.584423557	6.294529841	5.343713692
	R51454	Homo sapiens transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	-	-	-	-	-	-	4.657382534	7.924327341	3.529712739	5.370474205
	AA033651	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	Hs.505575	GALNT6	12	12q13	This gene encodes a member of the UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase (GalNAc-T) family of enzymes. GalNAc-Ts initiate mucin-type O-linked glycosylation in the Golgi apparatus by catalyzing the transfer of GalNAc to serine and threonine residues on target proteins. They are characterized by an N-terminal transmembrane domain, a stem region, a lumenal catalytic domain containing a GT1 motif and Gal/GalNAc transferase motif, and a C-terminal ricin/lectin-like domain. GalNAc-Ts have different, but overlapping, substrate specificities and patterns of expression. The encoded protein is capable of glycosylating fibronectin peptide in vitro and is expressed in a fibroblast cell line, indicating that it may be involved in the synthesis of oncofetal fibronectin.	Golgi apparatus - O-linked glycosylation - integral to membrane - manganese ion binding - polypeptide N-acetylgalactosaminyltransferase activity - sugar binding - transferase activity, transferring glycosyl groups	3.765699402	9.555172168	2.805308398	5.375393323
	AI820771	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	Hs.177576	MGAT4A	2	2q12		-	7.294977398	5.941203842	2.89740686	5.3778627
	R09401	yf22d12.r1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone	-	-	-	-	-	-	8.841237467	5.319090521	2.022094644	5.394140877
	AA033793	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_112159.1 (H.sapiens) hypothetical protein FLJ21617; erythroid differentiation-related factor 1 [Homo sapiens]	-	-	-	-	-	-	5.896135753	5.286312592	5.094165643	5.425537996
	H58208	Chromosome 20 open reading frame 23	Hs.101774	C20orf23	20	20p11.23	-	ATP binding - intracellular signaling cascade - microtubule associated complex - microtubule motor activity - microtubule-based movement	7.200035562	4.046403038	5.061729609	5.43605607
	BG540413	RAB2B, member RAS oncogene family	Hs.22399	RAB2B	14	14q11.2	Members of the Rab protein family are nontransforming monomeric GTP-binding proteins of the Ras superfamily that contain 4 highly conserved regions involved in GTP binding and hydrolysis. Rabs are prenylated, membrane-bound proteins involved in vesicular fusion and trafficking.[supplied by OMIM]	GTP binding - Golgi apparatus - endoplasmic reticulum - protein transport - small GTPase mediated signal transduction	7.922367485	5.968298211	2.453688016	5.448117904
	W07294	Homo sapiens, clone IMAGE:5276804, mRNA	Hs.535008	-	4	-	-	-	9.82897003	4.039573502	2.575607403	5.481383645
	H95221	yw59f09.r1 Soares_placenta_8to9weeks_2NbHP8to9W Homo sapiens cDNA	-	-	-	-	-	-	6.146734656	6.809900603	3.490383157	5.482339472
	AA143155	CDNA clone IMAGE:4711494, partial cds	Hs.510301	-	6	-	-	-	7.717009274	5.78027737	3.00186058	5.499715741
	H80756	LIM domain containing preferred translocation partner in lipoma	Hs.444362	LPP	3	3q28	-	biological_process unknown - cellular_component unknown - zinc ion binding	9.411576999	4.081153273	3.035105929	5.509278734
	T84155	CDNA: FLJ21351 fis, clone COL02762	Hs.15464	-	3	-	-	-	8.078387914	4.338488056	4.145072715	5.520649562
	AU133603	Programmed cell death 5	Hs.443831	PDCD5	5	19q12-q13.1	This gene encodes a protein expressed in tumor cells during apoptosis independent of the apoptosis-inducing stimuli. Prior to apoptosis induction, this gene product is distributed in both the nucleus and cytoplasm. Once apoptosis is induced, the level of this protein increases and by relocation from the cytoplasm, it accumulates in the nucleus. Although its exact function is not defined, this protein is thought to play an early and universal role in apoptosis.	apoptosis - induction of apoptosis	9.558554569	4.876262062	2.196230516	5.543682382
	AU146798	aldehyde dehydrogenase 7 family, member A1	Hs.483239	ALDH7A1	5	5q31	-	-	3.66198699	10.45153847	2.541791091	5.551772184
	W01921	Septin 7	Hs.191346	9/7/2013	7	7p14.3-p14.1	This gene encodes a protein that is highly similar to the CDC10 protein of Saccharomyces cerevisiae. The protein also shares similarity with Diff 6 of Drosophila and with H5 of mouse. Each of these similar proteins, including the yeast CDC10, contains a GTP-binding motif. The yeast CDC10 protein is a structural component of the 10 nm filament which lies inside the cytoplasmic membrane and is essential for cytokinesis. Although the exact function of this gene has not yet been determined, its high similarity to yeast CDC10 and the high conservative nature of eukaryotic cell cycle machinery suggest a similar role to that of its yeast counterpart. Alternative splicing results in two transcript variants encoding different isoforms.	GTP binding|GTP binding|actin cytoskeleton|cell cycle|cytokinesis|structural molecule activity	8.79704082	5.255166796	2.61847305	5.556893555
	BQ027612	SMAD, mothers against DPP homolog 4 (Drosophila)	Hs.75862	SMAD4	18	18q21.1	-	SMAD protein heteromerization - cytoplasm - nucleus - regulation of transcription, DNA-dependent - transcription - transcription cofactor activity - transcription factor activity	6.08647282	8.029549033	2.611866018	5.575962624
	R13776	yf61a05.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	6.403542594	8.221943765	2.111739646	5.579075335
	W24540	FERM, RhoGEF and pleckstrin domain protein 2	Hs.657318	FARP2	2	2q37.3	-	cytoplasm|cytoskeletal protein binding|cytoskeleton|membrane	5.43063729	5.124537865	6.192122468	5.582432541
	T89355	Erythrocyte membrane protein band 4.1 like 4A	Hs.584954	EPB41L4A	5	5q22.2	-	binding|biological_process unknown|cytoplasm|cytoskeletal protein binding|cytoskeleton|membrane|structural molecule activity	5.663128717	7.179809237	3.960311432	5.601083129
	T84449	Homo sapiens transcribed sequence with weak similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry	-	-	-	-	-	-	6.319363639	8.49357106	2.042841622	5.618592107
	H99439	Sidekick homolog 1 (chicken)	Hs.655699	SDK1	7	7p22.2	-	integral to membrane	5.824857476	8.931762428	2.126109618	5.627576507
	AA007268	polyhomeotic-like 2 (Drosophila)	Hs.524271	PHC2	1	1p34.3	-	-	7.61328926	6.71947895	2.56650385	5.633090687
	T82899	Sperm associated antigen 9	Hs.463439	SPAG9	17	17q21.33	Extracellular signals are transduced into cells through mitogen-activated protein kinases. The structural organization of these kinases into specific signaling domains is facilitated by scaffolding proteins involved in closely tethering different kinases so that successive phosphorylation events can occur. The protein encoded by this gene is a scaffolding protein that brings together mitogen-activated protein kinases and their transcription factor targets for the activation of specific signaling pathways. This gene which is abundantly expressed in testicular haploid germ cells encodes a protein that is recognized by sperm-agglutinating antibodies and implicated in infertility. Alternatively spliced variants that encode different protein isoforms have been described but the full-length sequences of only two have been determined.	integral to membrane|spermatogenesis	4.477273368	10.18956358	2.306086362	5.657641103
	N73022	Homo sapiens transcribed sequences	-	-	-	-	-	-	8.171637789	6.15301409	2.667562059	5.664071313
	H23930	Lipin 1	Hs.467740	LPIN1	2	2p25.1	This gene represents a candidate gene for human lipodystrophy, characterized by loss of body fat, fatty liver, hypertriglyceridemia, and insulin resistance. Mouse studies suggest that this gene functions during normal adipose tissue development and may also play a role in human triglyceride metabolism.	adipocyte differentiation - molecular_function unknown - nucleus	9.119547206	4.692535884	3.24107442	5.684385837
	BG032420	Methyltransferase like 2B	Hs.433213	METTL2B	7	7q32.1	METTL2 belongs to a conserved family that shares homology with, but is distinct from, a C. elegans family of methyltransferases involved in ubiquinone and menaquinone biosynthesis.[supplied by OMIM]	S-adenosylmethionine-dependent methyltransferase activity - transferase activity	8.442840541	6.361548761	2.295385073	5.699924792
	N98743	yy65g08.r1 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA	-	-	-	-	-	-	10.36327543	3.634593466	3.177606385	5.725158428
	AA203367	Craniofacial development protein 1	Hs.461361	CFDP1	16	16q22.2	-	biological_process unknown - cellular_component unknown - molecular_function unknown	9.26351848	5.334026535	2.651188373	5.749577796
