Affy ID	Gene Title	Gene Symbol	q-value	Fold-Change	non metastatic vs. Metastatic
Cfa.11909.1.A1_at	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)	POP5	0.000286804	-2.14528	non metastatic down vs metastatic
Cfa.18207.1.S1_s_at	spermine synthase	SMS	5.69E-05	-2.14258	non metastatic down vs metastatic
CfaAffx.1580.1.S1_s_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	MTHFD1L	0.000476979	-2.14067	non metastatic down vs metastatic
CfaAffx.859.1.S1_s_at	MIS12, MIND kinetochore complex component, homolog (yeast) /// olfactory recepto	MIS12	4.87E-05	-2.1384	non metastatic down vs metastatic
CfaAffx.1601.1.S1_at	YEATS domain containing 4	YEATS4	0.000192511	-2.13636	non metastatic down vs metastatic
CfaAffx.3632.1.S1_at	similar to CG8675-PA	CG8675-PA	0.000577853	-2.1351	non metastatic down vs metastatic
CfaAffx.20018.1.S1_at	LIM domain containing 2	LIMD2	4.17E-05	-2.12732	non metastatic down vs metastatic
Cfa.19504.1.S1_at	USP6 N-terminal like	USP6NL	0.000860401	-2.12694	non metastatic down vs metastatic
CfaAffx.22097.1.S1_at	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	APEX2	0.00071667	-2.12625	non metastatic down vs metastatic
Cfa.19949.1.S1_at	spermatid perinuclear RNA binding protein	STRBP	0.000612731	-2.1251	non metastatic down vs metastatic
CfaAffx.12540.1.S1_at	retinol saturase (all-trans-retinol 13,14-reductase)	RETSAT	0.000839612	-2.12495	non metastatic down vs metastatic
Cfa.10099.1.S1_at	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	SUGT1	7.02E-05	-2.12458	non metastatic down vs metastatic
CfaAffx.23762.1.S1_at	cysteine and histidine-rich domain (CHORD)-containing 1 /// similar to 3-beta-hy	CHORDC1	1.77E-05	-2.12093	non metastatic down vs metastatic
CfaAffx.12759.1.S1_at	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper conta	APPL1	0.000435004	-2.11785	non metastatic down vs metastatic
CfaAffx.26659.1.S1_s_at	zinc finger CCCH-type containing 14	ZC3H14	0.000155791	-2.11784	non metastatic down vs metastatic
Cfa.11835.1.A1_at	methyltransferase like 11A	METTL11A	0.000329395	-2.11711	non metastatic down vs metastatic
Cfa.18079.1.S1_s_at	aldehyde dehydrogenase 16 family, member A1	ALDH16A1	0.000617896	-2.1155	non metastatic down vs metastatic
Cfa.20887.1.S1_s_at	similar to protein kinase Njmu-R1	C17orf75	5.02E-05	-2.11329	non metastatic down vs metastatic
Cfa.9350.1.S1_at	transmembrane protein 77	TMEM77	0.000466407	-2.10935	non metastatic down vs metastatic
CfaAffx.14272.1.S1_s_at	G elongation factor, mitochondrial 1	GFM1	0.000781187	-2.10897	non metastatic down vs metastatic
CfaAffx.9063.1.S1_at	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	POLR3F	0.000130487	-2.10801	non metastatic down vs metastatic
CfaAffx.24407.1.S1_at	F-box protein 42	FBXO42	0.000335165	-2.10642	non metastatic down vs metastatic
CfaAffx.10130.1.S1_s_at	ATPase, Ca++ transporting, type 2C, member 1	ATP2C1	0.000372502	-2.10273	non metastatic down vs metastatic
Cfa.20128.1.S1_s_at	zinc finger with UFM1-specific peptidase domain	ZUFSP	0.000708199	-2.09997	non metastatic down vs metastatic
Cfa.16707.1.A1_at	similar to R13H9.1	R13H9.1	0.00033286	-2.09992	non metastatic down vs metastatic
Cfa.9739.1.S1_at	v-ral simian leukemia viral oncogene homolog A (ras related)	RALA	0.000613225	-2.09597	non metastatic down vs metastatic
CfaAffx.7995.1.S1_at	translin	TSN	0.000227356	-2.0929	non metastatic down vs metastatic
CfaAffx.5557.1.S1_at	gamma-glutamyl cyclotransferase	GGCT	0.000141087	-2.09224	non metastatic down vs metastatic
CfaAffx.8096.1.S1_s_at	asparaginyl-tRNA synthetase 2, mitochondrial (putative)	NARS2	0.000755182	-2.09112	non metastatic down vs metastatic
CfaAffx.20717.1.S1_at	similar to Lunapark	KIAA1715	0.000803482	-2.08997	non metastatic down vs metastatic
CfaAffx.13906.1.S1_at	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	DUSP11	2.44E-05	-2.08903	non metastatic down vs metastatic
Cfa.3967.1.A1_at	RNA binding motif protein 17	RBM17	0.000372502	-2.08746	non metastatic down vs metastatic
Cfa.17443.1.S1_s_at	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa	EIF2B2	0.000334282	-2.0868	non metastatic down vs metastatic
CfaAffx.25064.1.S1_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	DDX39	0.000110522	-2.08483	non metastatic down vs metastatic
CfaAffx.18339.1.S1_at	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like	SC5DL	0.000368557	-2.08179	non metastatic down vs metastatic
Cfa.10504.1.S1_s_at	similar to CG30152-PA	CG30152-PA	6.01E-05	-2.07846	non metastatic down vs metastatic
CfaAffx.8337.1.S1_at	coiled-coil domain containing 93	CCDC93	0.000912331	-2.07598	non metastatic down vs metastatic
Cfa.18816.1.S1_at	caspase 6, apoptosis-related cysteine peptidase	CASP6	0.000613223	-2.07571	non metastatic down vs metastatic
CfaAffx.8533.1.S1_s_at	ceroid-lipofuscinosis, neuronal 5	cln5	0.000156836	-2.07173	non metastatic down vs metastatic
CfaAffx.11960.1.S1_at	centromere protein J	CENPJ	0.000192152	-2.07149	non metastatic down vs metastatic
CfaAffx.4869.1.S1_at	similar to nudix (nucleoside diphosphate linked moiety X)-type motif 21	NUDT1	0.000271471	-2.07032	non metastatic down vs metastatic
CfaAffx.30696.1.S1_at	sorting nexin 7	SNX7	0.000896026	-2.07024	non metastatic down vs metastatic
Cfa.838.2.A1_at	transmembrane protein 33	TMEM33	0.000587543	-2.06775	non metastatic down vs metastatic
Cfa.19073.1.S1_at	antagonist of mitotic exit network 1 homolog (S. cerevisiae)	AMN1	0.000400557	-2.0666	non metastatic down vs metastatic
Cfa.8894.1.A1_s_at	thioredoxin reductase 1	TXNRD1	0.000725894	-2.06196	non metastatic down vs metastatic
Cfa.19771.1.S1_s_at	peptidase (mitochondrial processing) alpha	PMPCA	8.16E-05	-2.0596	non metastatic down vs metastatic
CfaAffx.7518.1.S1_at	abhydrolase domain containing 12	ABHD12	0.000466318	-2.05927	non metastatic down vs metastatic
CfaAffx.29414.1.S1_s_at	similar to CG7338-PA	CG7338-PA	0.000284509	-2.05918	non metastatic down vs metastatic
Cfa.21490.1.S1_s_at	RNA binding motif protein 23	RBM23	0.000914519	-2.05821	non metastatic down vs metastatic
CfaAffx.10457.1.S1_at	nucleolar complex associated 4 homolog (S. cerevisiae)	NOC4L	0.000675441	-2.05251	non metastatic down vs metastatic
CfaAffx.30016.1.S1_at	DnaJ (Hsp40) homolog, subfamily C, member 11	DNAJC11	0.000664443	-2.05004	non metastatic down vs metastatic
Cfa.10084.1.S1_s_at	methyltransferase like 5	METTL5	1.14E-05	-2.04994	non metastatic down vs metastatic
Cfa.9587.1.A1_at	inositol 1,4,5-trisphosphate 3-kinase A	ITPKA	0.00088999	-2.04927	non metastatic down vs metastatic
Cfa.12440.1.A1_at	zinc finger, HIT type 3	ZNHIT3	1.14E-05	-2.04562	non metastatic down vs metastatic
CfaAffx.15855.1.S1_at	FAST kinase domains 3	FASTKD3	0.000651763	-2.04557	non metastatic down vs metastatic
CfaAffx.12360.1.S1_at	ubiquitin specific peptidase 39	USP39	4.74E-05	-2.04536	non metastatic down vs metastatic
CfaAffx.19596.1.S1_s_at	zinc finger protein 593	ZNF593	0.00010723	-2.04456	non metastatic down vs metastatic
CfaAffx.21953.1.S1_at	WD repeat domain 61	WDR61	0.000144139	-2.04211	non metastatic down vs metastatic
Cfa.916.1.S1_at	mitochondrial ribosomal protein L47	MRPL47	5.67E-05	-2.04164	non metastatic down vs metastatic
Cfa.4724.1.A1_s_at	spindlin 1	SPIN1	0.000707104	-2.04109	non metastatic down vs metastatic
Cfa.5424.1.A1_s_at	phosphatidylinositol glycan anchor biosynthesis, class U	PIGU	0.000857874	-2.04068	non metastatic down vs metastatic
Cfa.17840.1.S1_s_at	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	POMGNT1	8.39E-05	-2.04045	non metastatic down vs metastatic
CfaAffx.25505.1.S1_s_at	BCL2/adenovirus E1B 19kDa interacting protein 2	BNIP2	0.000303776	-2.03662	non metastatic down vs metastatic
CfaAffx.28690.1.S1_at	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	RRN3	0.000531942	-2.0328	non metastatic down vs metastatic
CfaAffx.27137.1.S1_s_at	ADP-dependent glucokinase	ADPGK	4.17E-06	-2.03174	non metastatic down vs metastatic
Cfa.19518.2.A1_s_at	erbb2 interacting protein	ERBB2IP	0.000553393	-2.03102	non metastatic down vs metastatic
CfaAffx.19147.1.S1_at	zinc finger, matrin type 5	ZMAT5	0.000403559	-2.0297	non metastatic down vs metastatic
Cfa.17957.1.S1_s_at	similar to CG4953-PA	CG4953-PA	0.0001587	-2.02882	non metastatic down vs metastatic
Cfa.377.1.S1_at	nicotinamide nucleotide transhydrogenase	NNT	0.000921483	-2.0284	non metastatic down vs metastatic
CfaAffx.3951.1.S1_x_at	non-histone chromosomal protein HMG-17 /// lymphocyte cytosolic protein 1 (L-pla	LCP1	0.000739986	-2.02582	non metastatic down vs metastatic
Cfa.18312.1.S1_s_at	similar to Down syndrome critical region protein 3 (Down syndrome critical regio	DSCR3	0.000554966	-2.02422	non metastatic down vs metastatic
CfaAffx.5389.1.S1_at	similar to NADPH cytochrome B5 oxidoreductase	CYB5R4	0.00029284	-2.02195	non metastatic down vs metastatic
Cfa.18425.1.S1_s_at	ubiquitin specific peptidase 4 (proto-oncogene)	USP4	0.000746691	-2.02034	non metastatic down vs metastatic
CfaAffx.24369.1.S1_s_at	NECAP endocytosis associated 2	NECAP2	0.000978727	-2.01982	non metastatic down vs metastatic
CfaAffx.14531.1.S1_at	CHMP family, member 7	CHMP7	0.000146564	-2.01914	non metastatic down vs metastatic
CfaAffx.15531.1.S1_at	ganglioside induced differentiation associated protein 2	GDAP2	1.23E-05	-2.01868	non metastatic down vs metastatic
Cfa.11029.1.A1_s_at	similar to Protein C6orf115	C6orf115	0.000321087	-2.01763	non metastatic down vs metastatic
CfaAffx.28935.1.S1_s_at	ubiquitin-like with PHD and ring finger domains 1	UHRF1	0.000110229	-2.01474	non metastatic down vs metastatic
CfaAffx.24355.1.S1_s_at	inner centromere protein antigens 135/155kDa	INCENP	0.000668095	-2.01418	non metastatic down vs metastatic
Cfa.14295.2.A1_x_at	similar to peptidylprolyl isomerase-like protein 3 isoform PPIL3b /// peptidylpr	PPIL3	0.00010644	-2.01266	non metastatic down vs metastatic
CfaAffx.9502.1.S1_s_at	DnaJ (Hsp40) homolog, subfamily C, member 18	DNAJC18	0.000138016	-2.01073	non metastatic down vs metastatic
Cfa.21628.1.S1_at	mediator complex subunit 30	MED30	0.000466336	-2.00989	non metastatic down vs metastatic
Cfa.21585.1.S1_s_at	FtsJ methyltransferase domain containing 2	FTSJD2	0.000302566	-2.00818	non metastatic down vs metastatic
CfaAffx.16922.1.S1_at	Shwachman-Bodian-Diamond syndrome	SBDS	4.49E-05	-2.00807	non metastatic down vs metastatic
CfaAffx.25584.1.S1_at	similar to Spermidine synthase (Putrescine aminopropyltransferase) (SPDSY)	SRM	0.000639041	-2.0073	non metastatic down vs metastatic
CfaAffx.21706.1.S1_s_at	coiled-coil domain containing 50	CCDC50	1.48E-05	-2.00604	non metastatic down vs metastatic
Cfa.10336.1.S1_at	similar to CLLL6 protein	CLLL6	2.39E-05	-2.00511	non metastatic down vs metastatic
Cfa.3394.1.A1_at	SAR1 gene homolog B (S. cerevisiae)	SAR1B	0.000209477	-2.004	non metastatic down vs metastatic
CfaAffx.23041.1.S1_at	leucine zipper-EF-hand containing transmembrane protein 1	LETM1	0.000106384	-2.00289	non metastatic down vs metastatic
Cfa.18783.1.S1_at	synaptogyrin 2	SYNGR2	0.000320709	-1.99631	non metastatic down vs metastatic
CfaAffx.9192.1.S1_at	COX assembly mitochondrial protein homolog (S. cerevisiae)	CMC1	0.00046968	-1.99447	non metastatic down vs metastatic
Cfa.11277.1.A1_at	heat-responsive protein 12	HRSP12	0.000680646	-1.993	non metastatic down vs metastatic
CfaAffx.13023.1.S1_s_at	polymerase (DNA-directed), epsilon 4 (p12 subunit)	POLE4	0.000199472	-1.99143	non metastatic down vs metastatic
CfaAffx.15501.1.S1_at	mannosidase, alpha, class 1A, member 2	MAN1A2	3.78E-05	-1.99061	non metastatic down vs metastatic
CfaAffx.20463.1.S1_s_at	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	TCEB3	6.87E-05	-1.98776	non metastatic down vs metastatic
Cfa.11562.1.A1_at	nuclear receptor 2C2-associated protein	NR2C2AP	1.23E-05	-1.98772	non metastatic down vs metastatic
CfaAffx.471.1.S1_s_at	similar to tubulin, beta, 2 /// similar to tubulin, beta 5 /// tubulin, beta 2C	UBB2C	0.00038797	-1.98618	non metastatic down vs metastatic
CfaAffx.27352.1.S1_s_at	apoptosis antagonizing transcription factor	AATF	1.67E-05	-1.98613	non metastatic down vs metastatic
Cfa.7465.1.A1_at	SNHG3-RCC1	SNHG3-RCC1	0.000260511	-1.98511	non metastatic down vs metastatic
CfaAffx.11723.1.S1_at	N-6 adenine-specific DNA methyltransferase 2 (putative)	N6AMT2	1.65E-06	-1.98212	non metastatic down vs metastatic
CfaAffx.29900.1.S1_at	deoxyribonuclease I-like 1	DNASE1L1	0.000166125	-1.98177	non metastatic down vs metastatic
CfaAffx.6591.1.S1_s_at	arginyl-tRNA synthetase	RARS	1.43E-05	-1.97794	non metastatic down vs metastatic
Cfa.41.2.S1_s_at	similar to CG1218-PA	CG1218-PA	0.000107327	-1.97743	non metastatic down vs metastatic
CfaAffx.18291.1.S1_at	similar to CG15877-PA	CG15877-PA	0.00060844	-1.97607	non metastatic down vs metastatic
Cfa.18939.1.S1_s_at	methionyl-tRNA synthetase	MARS	0.000705794	-1.97527	non metastatic down vs metastatic
Cfa.20277.1.S1_at	coiled-coil domain containing 5 (spindle associated)	CCDC5	0.000192152	-1.9704	non metastatic down vs metastatic
CfaAffx.17233.1.S1_s_at	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	UBE2G2	6.40E-05	-1.96978	non metastatic down vs metastatic
CfaAffx.9959.1.S1_at	component of oligomeric golgi complex 6	COG6	0.000124053	-1.96946	non metastatic down vs metastatic
Cfa.17745.1.S1_s_at	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)	PRPF18	0.000112318	-1.96853	non metastatic down vs metastatic
CfaAffx.11325.1.S1_s_at	enhancer of yellow 2 homolog (Drosophila)	ENY2	4.51E-05	-1.96769	non metastatic down vs metastatic
Cfa.20792.1.S1_s_at	biogenesis of lysosomal organelles complex-1, subunit 2	BLOC1S2	7.71E-05	-1.9663	non metastatic down vs metastatic
CfaAffx.1272.1.S1_at	similar to Adapter-related protein complex 3 sigma 1 subunit (Sigma-adaptin 3a)	LOC643454	0.000247823	-1.95769	non metastatic down vs metastatic
Cfa.11497.1.A1_s_at	regulatory factor X-associated ankyrin-containing protein	RFXANK	0.00066509	-1.9561	non metastatic down vs metastatic
CfaAffx.17356.1.S1_at	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)	COPS7B	4.61E-05	-1.95474	non metastatic down vs metastatic
Cfa.11226.1.A1_at	UTP6, small subunit (SSU) processome component, homolog (yeast)	UTP6	0.000107303	-1.95461	non metastatic down vs metastatic
CfaAffx.13728.1.S1_at	electron-transferring-flavoprotein dehydrogenase	ETFDH	5.35E-05	-1.95197	non metastatic down vs metastatic
Cfa.15498.1.A1_s_at	bromodomain adjacent to zinc finger domain, 1A	BAZ1A	0.000174564	-1.95097	non metastatic down vs metastatic
CfaAffx.17979.1.S1_at	similar to histone 2, H2ac	HIST2H2AC	0.000141912	-1.95067	non metastatic down vs metastatic
CfaAffx.10591.1.S1_at	protein phosphatase 4, regulatory subunit 2	PPP4R2	0.000311445	-1.94986	non metastatic down vs metastatic
CfaAffx.12090.1.S1_at	similar to U11/U12 snRNP 35K isoform a	SNRNP35	0.000435004	-1.94924	non metastatic down vs metastatic
CfaAffx.19196.1.S1_s_at	prune homolog (Drosophila)	PRUNE	0.000432756	-1.94874	non metastatic down vs metastatic
Cfa.1364.1.A1_at	ribophorin II	RPN2	0.000328161	-1.94843	non metastatic down vs metastatic
Cfa.10189.1.A1_at	torsin family 2, member A	TOR2A	4.98E-05	-1.94789	non metastatic down vs metastatic
Cfa.12108.2.S1_s_at	mitochondrial ribosomal protein L24	MRPL24	1.48E-05	-1.94723	non metastatic down vs metastatic
CfaAffx.29656.1.S1_at	phosphoglycolate phosphatase	PGP	0.000356188	-1.94689	non metastatic down vs metastatic
Cfa.16405.2.S1_s_at	structural maintenance of chromosomes 5	SMC5	3.25E-05	-1.94326	non metastatic down vs metastatic
Cfa.20906.1.S1_s_at	G kinase anchoring protein 1	GKAP1	0.000546294	-1.93996	non metastatic down vs metastatic
Cfa.20105.1.S1_s_at	protein arginine methyltransferase 5	PRMT5	0.000841244	-1.93993	non metastatic down vs metastatic
Cfa.3712.1.S1_s_at	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), mem	SLC35A3	0.000174205	-1.93895	non metastatic down vs metastatic
CfaAffx.26782.1.S1_at	glucuronic acid epimerase	GLCE	0.00027374	-1.93893	non metastatic down vs metastatic
CfaAffx.20753.1.S1_s_at	golgi SNAP receptor complex member 2	GOSR2	0.000229034	-1.9387	non metastatic down vs metastatic
Cfa.1395.1.S1_s_at	histone H2AF	H2AF	0.000128992	-1.93567	non metastatic down vs metastatic
Cfa.17941.1.S1_s_at	dual specificity phosphatase 12	DUSP12	0.000793769	-1.93123	non metastatic down vs metastatic
CfaAffx.16213.1.S1_s_at	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	MPHOSPH10	2.81E-05	-1.9305	non metastatic down vs metastatic
CfaAffx.4480.1.S1_at	lectin, mannose-binding 2-like	LMAN2L	0.000572902	-1.92866	non metastatic down vs metastatic
Cfa.18592.1.S1_s_at	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	DCUN1D1	0.000407396	-1.92747	non metastatic down vs metastatic
CfaAffx.30540.1.S1_at	frequenin homolog (Drosophila)	FREQ	0.000603204	-1.92733	non metastatic down vs metastatic
Cfa.16395.1.S1_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	DDX27	0.000325561	-1.92603	non metastatic down vs metastatic
Cfa.18778.1.S1_s_at	topoisomerase (DNA) II binding protein 1	TOPBP1	0.000701933	-1.92404	non metastatic down vs metastatic
CfaAffx.12189.1.S1_at	mitochondrial ribosomal protein L35	MRPL35	9.96E-05	-1.91559	non metastatic down vs metastatic
Cfa.21008.1.S1_s_at	growth arrest and DNA-damage-inducible, gamma interacting protein 1	GADD45GIP1	0.000299408	-1.91517	non metastatic down vs metastatic
CfaAffx.13922.1.S1_s_at	TP53RK binding protein	TPRKB	0.000261307	-1.91482	non metastatic down vs metastatic
Cfa.21059.1.S1_s_at	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	ITPA	0.000323685	-1.91471	non metastatic down vs metastatic
Cfa.9946.1.S1_at	general transcription factor IIA, 2, 12kDa	GTF2A2	7.58E-05	-1.91136	non metastatic down vs metastatic
Cfa.1328.1.A1_at	chloride channel 3	clcn3	0.000155791	-1.91046	non metastatic down vs metastatic
Cfa.11756.1.A1_s_at	exosome component 4	EXOSC4	0.000243881	-1.90879	non metastatic down vs metastatic
Cfa.1675.1.S1_at	similar to dynein light chain-A	DYNC1LI1	7.76E-06	-1.90833	non metastatic down vs metastatic
CfaAffx.24345.1.S1_at	saccharopine dehydrogenase (putative)	SCCPDH	0.000323488	-1.90731	non metastatic down vs metastatic
CfaAffx.20479.1.S1_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	DDX47	0.000792483	-1.90606	non metastatic down vs metastatic
Cfa.21374.1.S1_s_at	guanine monphosphate synthetase	GMPS	0.000146454	-1.90311	non metastatic down vs metastatic
Cfa.2392.2.S1_s_at	serine active site containing 1	SERAC1	0.000834003	-1.90257	non metastatic down vs metastatic
Cfa.18729.1.S1_s_at	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	AHSA1	0.000128363	-1.90204	non metastatic down vs metastatic
Cfa.12049.1.A1_at	mitochondrial ribosomal protein L30	MRPL30	1.65E-06	-1.90147	non metastatic down vs metastatic
Cfa.11000.1.S1_s_at	mitochondrial ribosomal protein L39	MRPL39	0.000166475	-1.89639	non metastatic down vs metastatic
CfaAffx.22988.1.S1_at	MAX-like protein X	MLX	1.48E-05	-1.89493	non metastatic down vs metastatic
Cfa.5352.1.A1_at	similar to Molybdenum cofactor synthesis protein cinnamon	LOC127133	0.000281585	-1.89425	non metastatic down vs metastatic
Cfa.13055.1.S1_s_at	nucleoporin 37kDa	NUP37	2.17E-05	-1.89317	non metastatic down vs metastatic
Cfa.5501.1.A1_s_at	similar to CG8067-PA	CG8067-PA	0.000325561	-1.89289	non metastatic down vs metastatic
Cfa.10889.1.S1_s_at	similar to mitochondrial ribosomal protein L33	MRPL33	3.19E-05	-1.89197	non metastatic down vs metastatic
CfaAffx.19836.1.S1_s_at	pescadillo homolog 1, containing BRCT domain (zebrafish)	PES1	0.000843072	-1.89169	non metastatic down vs metastatic
Cfa.2752.1.S1_at	zinc finger, DHHC-type containing 12	ZDHHC12	0.000414391	-1.89067	non metastatic down vs metastatic
Cfa.6309.1.A1_x_at	mitochondria-associated protein involved in granulocyte-macrophage colony-stimul	MAGMAS	0.000133105	-1.89032	non metastatic down vs metastatic
CfaAffx.13745.1.S1_s_at	peptidylprolyl isomerase D (cyclophilin D)	PPID	0.000227356	-1.8888	non metastatic down vs metastatic
CfaAffx.1417.1.S1_s_at	LTV1 homolog (S. cerevisiae)	LTV1	6.35E-06	-1.88578	non metastatic down vs metastatic
CfaAffx.4294.1.S1_s_at	eukaryotic translation initiation factor 5B	EIF5B	5.02E-05	-1.88503	non metastatic down vs metastatic
CfaAffx.5987.1.S1_s_at	integrin beta 1 binding protein 1	ITGB1BP1	5.36E-05	-1.88266	non metastatic down vs metastatic
CfaAffx.29835.1.S1_at	similar to mannosidase, alpha, class 1B, member 1 /// mannosidase, alpha, class	MAN1B1	0.000309745	-1.88234	non metastatic down vs metastatic
Cfa.18241.1.S1_s_at	far upstream element (FUSE) binding protein 1	FUBP1	0.000728282	-1.88232	non metastatic down vs metastatic
Cfa.6970.2.S1_a_at	DET1 and DDB1 associated 1	DDA1	5.93E-05	-1.88228	non metastatic down vs metastatic
Cfa.11325.1.S1_at	similar to Mitochondrial import inner membrane translocase subunit TIM9 B (Fract	TIMM9	2.61E-05	-1.88228	non metastatic down vs metastatic
Cfa.4210.2.S1_a_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	ATP5J	0.000375757	-1.88182	non metastatic down vs metastatic
Cfa.19172.1.S1_s_at	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	CETN3	0.000563406	-1.88064	non metastatic down vs metastatic
Cfa.5563.1.A1_s_at	protein disulfide isomerase family A, member 6	PDIA6	2.10E-05	-1.87994	non metastatic down vs metastatic
Cfa.12692.1.A1_at	similar to BTB (POZ) domain containing 1 isoform 1	PATZ1	0.000844636	-1.87935	non metastatic down vs metastatic
CfaAffx.15780.1.S1_s_at	nucleolar and coiled-body phosphoprotein 1	NOLC1	4.02E-05	-1.879	non metastatic down vs metastatic
CfaAffx.25900.1.S1_at	solute carrier family 35, member B1	SLC35B1	5.36E-05	-1.87648	non metastatic down vs metastatic
Cfa.20692.1.S1_s_at	similar to CG9590-PA	CG9590-PA	0.000839058	-1.87117	non metastatic down vs metastatic
CfaAffx.26193.1.S1_s_at	similar to GIY-YIG domain containing 2 isoform 1	LOC607780	0.000243881	-1.87022	non metastatic down vs metastatic
CfaAffx.28009.1.S1_at	GrpE-like 2, mitochondrial (E. coli)	GRPEL2	9.40E-06	-1.8697	non metastatic down vs metastatic
Cfa.10592.1.A1_s_at	transmembrane protein 165	TMEM165	2.11E-05	-1.86634	non metastatic down vs metastatic
CfaAffx.987.1.S1_at	thioredoxin-like 4A	TXNL4A	0.000636731	-1.86544	non metastatic down vs metastatic
Cfa.12495.1.A1_at	WD repeat domain 43	WDR43	4.19E-05	-1.86542	non metastatic down vs metastatic
CfaAffx.6880.1.S1_s_at	dihydrofolate reductase	DHFR	0.000445794	-1.86249	non metastatic down vs metastatic
Cfa.9894.1.A1_s_at	similar to MHC class II region expressed gene KE2 /// similar to MHC class II re	PFDN6	0.000595733	-1.86138	non metastatic down vs metastatic
Cfa.10237.1.S1_at	similar to ribosomal protein L37	RPL37	0.000253783	-1.86103	non metastatic down vs metastatic
CfaAffx.9075.1.S1_at	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae	STT3B	0.000931207	-1.858	non metastatic down vs metastatic
Cfa.6426.1.A1_at	exosome component 1	EXOSC1	2.67E-05	-1.85657	non metastatic down vs metastatic
Cfa.4941.1.A1_at	NEDD4 binding protein 1	N4BP1	0.00049535	-1.85606	non metastatic down vs metastatic
Cfa.10585.1.A1_at	mitochondrial ribosomal protein L3	MRPL3	9.43E-05	-1.85588	non metastatic down vs metastatic
CfaAffx.22676.1.S1_s_at	myoneurin	MYNN	0.000235225	-1.8553	non metastatic down vs metastatic
Cfa.13623.1.A1_at	SFT2 domain containing 2	SFT2D2	0.000342426	-1.85297	non metastatic down vs metastatic
CfaAffx.14162.1.S1_at	enolase-phosphatase 1	ENOPH1	0.00065996	-1.85203	non metastatic down vs metastatic
Cfa.18252.1.S1_s_at	RAD17 homolog (S. pombe)	RAD17	0.000330797	-1.85045	non metastatic down vs metastatic
CfaAffx.375.1.S1_at	karyopherin alpha 4 (importin alpha 3)	KPNA4	0.000389048	-1.84967	non metastatic down vs metastatic
CfaAffx.14283.1.S1_s_at	lin-54 homolog (C. elegans)	LIN54	0.000173409	-1.84859	non metastatic down vs metastatic
Cfa.3815.1.S1_at	RAB10, member RAS oncogene family	RAB10	0.000534154	-1.84774	non metastatic down vs metastatic
Cfa.3799.1.A1_s_at	lectin, mannose-binding 2	LMAN2	0.000327998	-1.84709	non metastatic down vs metastatic
Cfa.6521.2.A1_s_at	similar to calcium binding atopy-related autoantigen 1	CBARA1	0.000987727	-1.84683	non metastatic down vs metastatic
Cfa.21398.1.S1_s_at	nucleolar protein family A, member 1 (H/ACA small nucleolar RNPs)	NOLA1	0.000959807	-1.84659	non metastatic down vs metastatic
CfaAffx.25386.1.S1_s_at	SAFB-like, transcription modulator	SLTM	0.000441665	-1.84382	non metastatic down vs metastatic
CfaAffx.12504.1.S1_at	phosphodiesterase 12	PDE12	0.000146564	-1.84357	non metastatic down vs metastatic
CfaAffx.26929.1.S1_s_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	NDUFAB1	0.000281002	-1.84236	non metastatic down vs metastatic
Cfa.3180.2.S1_s_at	inner membrane protein, mitochondrial (mitofilin)	IMMT	0.000739127	-1.84162	non metastatic down vs metastatic
Cfa.7564.1.S1_a_at	neighbor of BRCA1 gene 1	NBR1	0.000640878	-1.84162	non metastatic down vs metastatic
Cfa.19642.1.S1_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 15	DHX15	0.000351613	-1.84141	non metastatic down vs metastatic
