Curated Gene Symbol	gene_symbol	A? (Log2 Ratio)	A?AL (Log2 Ratio)	AL (Log2 Ratio)	RefSeq	description
	ADIPO_HUMAN	0.45	-0.92	-0.18	NM_004797	Adiponectin precursor (Adipocyte, C1q and collagen domain containing protein) (30 kDa adipocyte complement-related protein) (ACRP30) (Adipose most abundant gene transcript 1) (apM-1) (Gelatin-binding protein). [Source:Uniprot/SWISSPROT;Acc:Q15848]
ABHD10	ABHD10	-0.3	-0.92	-0.09	NM_018394	abhydrolase domain containing 10 [Source:RefSeq_peptide;Acc:NP_060864]
		0.11	-0.92	0.39	NM_207330	-
		0.68	-0.91	0.27	XM_379408	-
		1.2	-0.91	-0.08	XM_498627	-
		0.16	-0.91	1.84		Gamma-carboxylase-like domain containing protein
		0.93	-0.91	0.27	NM_182554	-
		1.47	-0.91	1.13		Hypothetical protein
		0.38	-0.91	-0.17		16 kDa protein [Source:IPI;Acc:IPI00089555]
		0.64	-0.91	0.63	NM_001004760	olfactory receptor, family 51, subfamily V, member 1 [Source:RefSeq_peptide;Acc:NP_001004760]
IRX1	IRX1	0.28	-0.91	-0.48	NM_024337,XM_380171	Iroquois-class homeodomain protein IRX-1 (Iroquois homeobox protein 1) (Homeodomain protein IRXA1). [Source:Uniprot/SWISSPROT;Acc:P78414]
		1	-0.91	-0.38	XM_496030	-
		0	-0.91	-0.21	XM_211108	-
		0.65	-0.91	-0.48	XM_496200	-
		0.47	-0.91	-0.33		Homo sapiens microRNA let-7b stem-loop
DNM3	DNM3	0.88	-0.9	0.51	NM_015569	Dynamin 3 (EC 3.6.5.5) (Dynamin, testicular) (T-dynamin). [Source:Uniprot/SWISSPROT;Acc:Q9UQ16]
		0	-0.9	0.4		-
WDR96	C10orf79	-0.18	-0.9	-0.35	NM_025145	-
		0.49	-0.9	-0.41	NM_207482	-
		0.48	-0.9	0.66		protein kinase NYD-SP25 isoform 3 [Source:RefSeq_peptide;Acc:NP_001001875]
CHD2	CHD2	-0.3	-0.9	-0.44	NM_001271	Chromodomain-helicase-DNA-binding protein 2 (CHD-2). [Source:Uniprot/SWISSPROT;Acc:O14647]
SPRR3	SPRR3	0.22	-0.9	0.84	NM_005416	Small proline-rich protein 3 (Cornifin beta) (Esophagin) (22 kDa pancornulin). [Source:Uniprot/SWISSPROT;Acc:Q9UBC9]
	Q9UJN8_HUMAN	-0.17	-0.9	-0.31		OTTHUMP00000016179 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9UJN8]
		0.4	-0.9	0.15		synaptotagmin-like 3 [Source:RefSeq_peptide;Acc:NP_001009991]
		0.87	-0.9	-0.18	XM_379594	-
CAPRIN2	C1QDC1	0.78	-0.9	-0.05	NM_001002259,NM_032156,NM_023925	C1q domain containing 1 isoform 2 [Source:RefSeq_peptide;Acc:NP_076414]
		-0.33	-0.9	-0.17	NM_174900	zinc finger protein 42 [Source:RefSeq_peptide;Acc:NP_777560]
SLC30A2	SLC30A2	0.14	-0.9	-0.02	NM_001004434,NM_032513	Zinc transporter 2 (ZnT-2) (Solute carrier family 30, member 2). [Source:Uniprot/SWISSPROT;Acc:Q9BRI3]
		0	-0.9	-0.29	XM_374162	-
IKZF2	ZNFN1A2	-0.1	-0.89	0.16		Zinc finger protein Helios. [Source:Uniprot/SWISSPROT;Acc:Q9UKS7]
LETM2	LETM2	0.67	-0.89	0.03	NM_144652	leucine zipper-EF-hand containing transmembrane protein 2 [Source:RefSeq_peptide;Acc:NP_653253]
	Q8WYZ6_HUMAN	-0.04	-0.89	0.22		-
		-0.28	-0.89	0.37	XM_373547	-
	ICBR_HUMAN	-0.19	-0.89	-0.31	NM_021571	Caspase-1 inhibitor Iceberg (UNQ5804/PRO19611). [Source:Uniprot/SWISSPROT;Acc:P57730]
CHDH	CHDH	0.34	-0.89	0.41	NM_018397	Choline dehydrogenase, mitochondrial precursor (EC 1.1.99.1) (CHD) (CDH). [Source:Uniprot/SWISSPROT;Acc:Q8NE62]
		-0.24	-0.89	0.21	XM_373518	-
		0.37	-0.89	0.31	XM_378434	-
		-0.41	-0.89	-0.24	XM_496713	-
		-0.04	-0.89	-0.06	XM_498943	-
		-0.18	-0.89	0.28	NM_001010876	-
TAS2R16	TAS2R16	-0.25	-0.89	0.55	NM_016945	Taste receptor type 2 member 16 (T2R16). [Source:Uniprot/SWISSPROT;Acc:Q9NYV7]
		0.31	-0.89	0.09	XM_379189	-
		-0.07	-0.89	-0.27		13 kDa protein [Source:IPI;Acc:IPI00478158]
STAG1	STAG1	0.99	-0.89	-0.14	NM_005862	Cohesin subunit SA-1 (Stromal antigen 1) (SCC3 homolog 1). [Source:Uniprot/SWISSPROT;Acc:Q8WVM7]
		-0.04	-0.89	-0.04		135 kDa protein [Source:IPI;Acc:IPI00479239]
	MANS1_HUMAN	0.6	-0.89	-0.31	NM_018050	MANSC domain containing protein 1 precursor (UNQ316/PRO361). [Source:Uniprot/SWISSPROT;Acc:Q9H8J5]
		-0.26	-0.89	0.06	XM_498985	-
OR8H2	OR8H2	0.25	-0.89	1.4	NM_001005200	Olfactory receptor 8H2. [Source:Uniprot/SWISSPROT;Acc:Q8N162]
		1.39	-0.89	0.07	XM_496261	-
CLUL1	CLUL1	0.78	-0.89	-0.02	NM_014410,NM_199167	clusterin-like 1 (retinal) [Source:RefSeq_peptide;Acc:NP_954636]
AKAP4	AKAP4	0.35	-0.89	0.68	NM_139289	A-kinase anchor protein 4 isoform 2 [Source:RefSeq_peptide;Acc:NP_647450]
LARS2	LARS2	0.08	-0.89	0.16	NM_015340	Probable leucyl-tRNA synthetase, mitochondrial precursor (EC 6.1.1.4) (Leucine--tRNA ligase) (LeuRS). [Source:Uniprot/SWISSPROT;Acc:Q15031]
		-0.35	-0.89	0.71	XM_499238	-
POU5F1	POU5F1	-0.16	-0.88	2.11	NM_203289,NM_002701,XR_000175	POU domain, class 5, transcription factor 1 (Octamer-binding transcription factor 3) (Oct-3) (Oct-4). [Source:Uniprot/SWISSPROT;Acc:Q01860]
		1.93	-0.88	1.01	XM_498952	-
		0.11	-0.88	-0.21		Similar to Ovarian cancer related tumor marker CA125
		0.17	-0.88	-0.45		lipidosin [Source:RefSeq_peptide;Acc:NP_055977]
APOD	APOD	0.36	-0.88	-0.08	NM_001647	Apolipoprotein D precursor (Apo-D) (ApoD). [Source:Uniprot/SWISSPROT;Acc:P05090]
	Q9UHU9_HUMAN	-0.08	-0.88	0.04		-
		0.26	-0.88	-0.32	NM_005709	-
		0.07	-0.88	0.52	XM_497540	-
		2	-0.88	-0.11		Non-protein coding transcript
	TTC7B_HUMAN	0.15	-0.88	-0.43	XM_085175	Tetratricopeptide repeat protein 7B (Tetratricopeptide repeat protein 7 like-1). [Source:Uniprot/SWISSPROT;Acc:Q86TV6]
PTH1R	PTHR1	0.59	-0.88	-0.21		Parathyroid hormone/parathyroid hormone-related peptide receptor precursor (PTH/PTHr receptor) (PTH/PTHrP type I receptor). [Source:Uniprot/SWISSPROT;Acc:Q03431]
HSPB9	HSPB9	-0.16	-0.88	-0.03	NM_033194	Heat-shock protein beta-9 (HspB9). [Source:Uniprot/SWISSPROT;Acc:Q9BQS6]
		0.69	-0.88	-0.04		SEC7-like domain containing protein
USHBP1	USHBP1	0.38	-0.88	0.61	NM_031941	Usher syndrome 1C binding protein 1 [Source:RefSeq_peptide;Acc:NP_114147]
CYLC1	CYLC1	0.24	-0.88	2.14	XM_088636	Cylicin-1 (Cylicin I) (Multiple-band polypeptide I) (Fragment). [Source:Uniprot/SWISSPROT;Acc:P35663]
SF3B4	SF3B4	0.85	-0.88	0.36	NM_005850	Splicing factor 3B subunit 4 (Spliceosome associated protein 49) (SAP 49) (SF3b50) (Pre-mRNA splicing factor SF3b 49 kDa subunit). [Source:Uniprot/SWISSPROT;Acc:Q15427]
		-0.31	-0.87	-0.37	XM_498957	-
HTR2B	HTR2B	0.18	-0.87	0.16	NM_000867	5-hydroxytryptamine 2B receptor (5-HT-2B) (Serotonin receptor 2B). [Source:Uniprot/SWISSPROT;Acc:P41595]
	OR2M1_HUMAN	-0.13	-0.87	0.77	NR_002141	Olfactory receptor 2M1 (Olfactory receptor-like protein JCG10) (OST037) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q96R29]
OVCH1	OVCH1	-0.13	-0.87	0.15	NM_183378	ovochymase 1 [Source:RefSeq_peptide;Acc:NP_899234]
		0.61	-0.87	0.77		Hypothetical protein
		-0.42	-0.87	-0.47		-
STYX	STYX	-0.25	-0.87	-0.14	NM_145251	Serine/threonine/tyrosine interacting protein (Protein tyrosine phosphatase-like protein). [Source:Uniprot/SWISSPROT;Acc:Q8WUJ0]
		0.75	-0.87	-0.08	NM_173483	cytochrome P450, family 2, subfamily E, polypeptide 2 homolog [Source:RefSeq_peptide;Acc:NP_775754]
		-0.39	-0.87	-0.3		Non-protein coding transcript
	Q8IYS0_HUMAN	-0.26	-0.87	0.2		-
PACS1	PACS1	0.14	-0.87	0.44	NM_018026	Phosphofurin acidic cluster sorting protein 1 (PACS-1). [Source:Uniprot/SWISSPROT;Acc:Q6VY07]
		-0.03	-0.87	0.18	NM_032440	-
MEN1	MEN1	-0.28	-0.87	1.68	NM_130803	Menin. [Source:Uniprot/SWISSPROT;Acc:O00255]
ZSWIM4	ZSWIM4	0.16	-0.87	-0.49	XM_031342	Zinc finger SWIM domain containing protein 4. [Source:Uniprot/SWISSPROT;Acc:Q9H7M6]
		-0.22	-0.87	0.15		Hypothetical protein
OR8U1	OR8U1	0.67	-0.87	0.17	NM_001005204	olfactory receptor, family 8, subfamily U, member 1 [Source:RefSeq_peptide;Acc:NP_001005204]
SPDYA	SPDY1	1.11	-0.87	0.07	NM_001008779,NM_182756	speedy homolog 1 isoform 2 [Source:RefSeq_peptide;Acc:NP_877433]
GATA1	GATA1	-0.31	-0.86	-0.34	NM_002049	Erythroid transcription factor (GATA-1) (Eryf1) (GF-1) (NF-E1). [Source:Uniprot/SWISSPROT;Acc:P15976]
		0.16	-0.86	-0.45	NM_145270	-
		1.57	-0.86	-0.29	XM_379355	-
RAET1E	RAET1E	-0.21	-0.86	0.29	NM_139165	NKG2D ligand 4 precursor (NKG2D ligand 4) (NKG2DL4) (N2DL-4) (Retinoic acid early transcript 1E) (Lymphocyte effector toxicity activation ligand) (RAE-1-like transcript 4) (RL-4) (UNQ1867/PRO4303). [Source:Uniprot/SWISSPROT;Acc:Q8TD07]
SV2B	SV2B	-0.19	-0.86	-0.18	NM_014848	synaptic vesicle protein 2B homolog [Source:RefSeq_peptide;Acc:NP_055663]
		1.24	-0.86	-0.18	XM_497489	-
		1.04	-0.86	-0.31	NM_138770	-
		-0.04	-0.86	0.19	XM_497550	-
		0.24	-0.86	-0.21	XM_291200,XM_379839	-
		-0.05	-0.86	-0.14	NM_018931	protocadherin beta 11 precursor [Source:RefSeq_peptide;Acc:NP_061754]
		0.38	-0.86	-0.07		Hypothetical protein
		1.68	-0.86	-0.46	XM_117224	PREDICTED: similar to RIKEN cDNA 0610009J22 [Source:RefSeq_peptide;Acc:XP_117224]
		0.12	-0.86	-0.32	NM_178431	late cornified envelope 3A [Source:RefSeq_peptide;Acc:NP_848518]
		0	-0.86	0.79		Hypothetical protein
		0.42	-0.86	0.7	NM_020219	-
		0.27	-0.86	-0.05	XM_379146	-
TPST2	TPST2	0.18	-0.85	0.02	NM_003595,NM_001008566	Protein-tyrosine sulfotransferase 2 (EC 2.8.2.20) (Tyrosylprotein sulfotransferase-2) (TPST-2). [Source:Uniprot/SWISSPROT;Acc:O60704]
CNTN5	CNTN5	0.81	-0.85	0.35	NM_014361,NM_175566	Contactin 5 precursor (Neural recognition molecule NB-2) (hNB-2). [Source:Uniprot/SWISSPROT;Acc:O94779]
		0.61	-0.85	0.21		16 kDa protein [Source:IPI;Acc:IPI00479070]
		-0.04	-0.85	0.53	XM_498225,XM_499457	PREDICTED: similar to dJ133P16.1 (ADP-ribosylation factor 1) [Source:RefSeq_peptide;Acc:XP_498225]
		-0.13	-0.85	-0.37	XM_498884	-
	Q96R54_HUMAN	0.1	-0.85	-0.49		Olfactory receptor (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q96R54]
		0.98	-0.85	0.32	XM_290351	PREDICTED: similar to Nedd-4-like E3 ubiquitin-protein ligase WWP1 (WW domain-containing protein 1) [Source:RefSeq_peptide;Acc:XP_290351]
		0.59	-0.85	0.42	NM_152596	-
GLRA2	GLRA2	0.29	-0.85	0.05	NM_002063	Glycine receptor alpha-2 chain precursor. [Source:Uniprot/SWISSPROT;Acc:P23416]
LINC00529	C8orf8	-0.31	-0.85	-0.29		-
		0.29	-0.85	1.6	XM_208524	-
SLC22A2	SLC22A2	1.59	-0.85	0.68	NM_153191,NM_003058	solute carrier family 22 member 2 isoform a [Source:RefSeq_peptide;Acc:NP_003049]
CD1E	CD1E	0	-0.85	0.12	NM_030893	T-cell surface glycoprotein CD1e precursor (CD1e antigen) (R2G1). [Source:Uniprot/SWISSPROT;Acc:P15812]
		0.74	-0.85	-0.01	XM_117117	-
		0.34	-0.85	0.11		Non-protein coding transcript
TRPC7	TRPC7	0.78	-0.85	-0.16	NM_020389	Short transient receptor potential channel 7 (TrpC7) (TRP7 protein). [Source:Uniprot/SWISSPROT;Acc:Q9HCX4]
KCNMB2	KCNMB2	-0.22	-0.85	1.24	NM_005832,NM_181361	Calcium-activated potassium channel beta subunit 2 (Calcium-activated potassium channel, subfamily M, beta subunit 2) (Maxi K channel beta subunit 2) (BK channel beta subunit 2) (Slo-beta 2) (K(VCA)beta 2) (Charybdotoxin receptor beta subunit 2) (BKbeta2)
		0.54	-0.85	-0.22	XM_168073	-
B3GNT3	B3GNT3	1.66	-0.85	1.26	NM_014256	Beta-1,3-galactosyltransferase 8 (EC 2.4.1.-) (Beta-1,3-GalTase 8) (Beta3Gal-T8) (b3Gal-T8) (UDP-galactose:beta-N-acetylglucosamine beta- 1,3-galactosyltransferase 8) (UDP-Gal:beta-GlcNAc beta-1,3- galactosyltransferase 8) (Beta-3-Gx-T8) (Core 1 extending
	VA0D_HUMAN	-0.01	-0.85	-0.02	NM_004691	Vacuolar ATP synthase subunit d (EC 3.6.3.14) (V-ATPase d subunit) (Vacuolar proton pump d subunit) (V-ATPase AC39 subunit) (V-ATPase 40 kDa accessory protein) (P39) (32 kDa accessory protein). [Source:Uniprot/SWISSPROT;Acc:P61421]
		-0.14	-0.85	-0.17	NM_130844	-
		0.35	-0.85	-0.04	XM_378703	-
		0.12	-0.84	-0.47		Arylsulfatase G [Source:RefSeq_peptide;Acc:NP_055775]
		0.55	-0.84	0.42		18 kDa protein [Source:IPI;Acc:IPI00173720]
FMO3	FMO3	0.22	-0.84	0.08	NM_001002294,NM_006894	Dimethylaniline monooxygenase [N-oxide-forming] 3 (EC 1.14.13.8) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Dimethylaniline oxidase 3) (FMO form 2) (FMO II). [Source:Uniprot/SWISSPROT;Acc:P31513]
		0.3	-0.84	0.23	XM_377926,XM_379987	-
	Q9P143_HUMAN	0.34	-0.84	0.29		-
KERA	KERA	1.4	-0.84	0.16	NM_007035	Keratocan precursor (KTN) (Keratan sulfate proteoglycan keratocan). [Source:Uniprot/SWISSPROT;Acc:O60938]
FOXP3	FOXP3	-0.12	-0.84	-0.42	NM_014009	Forkhead box protein P3 (Zinc finger protein JM2) (Scurfin). [Source:Uniprot/SWISSPROT;Acc:Q9BZS1]
		0	-0.84	-0.07	NM_173463	-
ZNF100	ZNF100	-0.22	-0.84	0.11	NM_173531	Zinc finger protein 100. [Source:Uniprot/SWISSPROT;Acc:Q8IYN0]
		-0.06	-0.84	-0.43		Human endogenous retrovirus HERV-K(II) DNA, complete sequence and flanking region
	Q86UQ8_HUMAN	0.91	-0.84	-0.33		Transcription factor NF-E4. [Source:Uniprot/SPTREMBL;Acc:Q86UQ8]
	PDP2_HUMAN	0	-0.84	-0.13	NM_020786	[Pyruvate dehydrogenase [Lipoamide]]-phosphatase 2, mitochondrial precursor (EC 3.1.3.43) (PDP 2) (Pyruvate dehydrogenase phosphatase, catalytic subunit 2) (PDPC 2). [Source:Uniprot/SWISSPROT;Acc:Q9P2J9]
		0.37	-0.84	1.24		Hypothetical protein
BATF	BATF	-0.1	-0.84	0.83	NM_006399	ATF-like basic leucine zipper transcriptional factor B-ATF (SF-HT- acivated gene-2) (SFA-2). [Source:Uniprot/SWISSPROT;Acc:Q16520]
STRN4	STRN4	-0.02	-0.84	0.32	NM_013403	Striatin 4 (Zinedin). [Source:Uniprot/SWISSPROT;Acc:Q9NRL3]
LRP1	LRP1	-0.13	-0.84	-0.35	NM_002332	Low-density lipoprotein receptor-related protein 1 precursor (LRP) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD91). [Source:Uniprot/SWISSPROT;Acc:Q07954]
		-0.42	-0.84	-0.15		Conserved hypothetical protein
OR2Z1	OR2Z1	0.61	-0.84	-0.21	NM_001004699	Olfactory receptor 2Z1. [Source:Uniprot/SWISSPROT;Acc:Q8NG97]
FAM26E	C6orf188	0.26	-0.84	0.01	NM_153711	-
	TS1R3_HUMAN	0.35	-0.84	0.42	XM_371210	Taste receptor type 1 member 3 precursor (Sweet taste receptor T1R3). [Source:Uniprot/SWISSPROT;Acc:Q7RTX0]
		0.11	-0.84	0.45		25 kDa protein [Source:IPI;Acc:IPI00477485]
B3GALT5	B3GALT5	-0.32	-0.84	0.76	NM_033172,NM_006057,NM_033173,NM_033171,NM_033170	Beta-1,3-galactosyltransferase 5 (EC 2.4.1.-) (Beta-1,3-GalTase 5) (Beta3Gal-T5) (b3Gal-T5) (UDP-galactose:beta-N-acetylglucosamine beta- 1,3-galactosyltransferase 5) (UDP-Gal:beta-GlcNAc beta-1,3- galactosyltransferase 5) (Beta-3-Gx-T5). [Source:Uniprot/
	PEPP2_HUMAN	-0.21	-0.83	0.53	NM_032498	Paired-like homeobox protein PEPP-2 (Testis homeobox gene 1). [Source:Uniprot/SWISSPROT;Acc:Q9BQY4]
		-0.09	-0.83	0.11		Hypothetical protein
FRMPD1	FRMPD1	-0.11	-0.83	0.04	NM_014907	FERM and PDZ domain containing 1 [Source:RefSeq_peptide;Acc:NP_055722]
		0.12	-0.83	-0.09		Non-protein coding transcript
SCHIP1	SCHIP1	0.7	-0.83	0.17	NM_014575	schwannomin interacting protein 1 [Source:RefSeq_peptide;Acc:NP_055390]
RANGAP1	RANGAP1	0.3	-0.83	-0.19	NM_002883	Ran GTPase-activating protein 1. [Source:Uniprot/SWISSPROT;Acc:P46060]
SCMH1	SCMH1	-0.24	-0.83	-0.06		Polycomb protein SCMH1 (Sex comb on midleg homolog 1). [Source:Uniprot/SWISSPROT;Acc:Q96GD3]
		-0.4	-0.83	-0.06	XM_171078	PREDICTED: similar to Epigen protein [Source:RefSeq_peptide;Acc:XP_171078]
NXPH1	NXPH1	-0.17	-0.83	-0.38	NM_152745	Neurexophilin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P58417]
		0.01	-0.83	-0.39	XM_372755	PREDICTED: similar to RIKEN cDNA B230396O12 [Source:RefSeq_peptide;Acc:XP_372838]
		-0.11	-0.83	-0.31		Hypothetical protein
	Q9UN39_HUMAN	0.53	-0.83	0.53		Erythrocyte transmembrane protein. [Source:Uniprot/SPTREMBL;Acc:Q9UN39]
		-0.13	-0.83	0.14	NM_021647	-
ALOX5AP	ALOX5AP	2.68	-0.83	-0.23	NM_001629	5-lipoxygenase activating protein (FLAP) (MK-886-binding protein). [Source:Uniprot/SWISSPROT;Acc:P20292]
EOMES	EOMES	0.98	-0.83	1.86	NM_005442	Eomesodermin homolog. [Source:Uniprot/SWISSPROT;Acc:O95936]
SBNO1	SBNO1	1.17	-0.83	0.22	NM_018183	sno, strawberry notch homolog 1 [Source:RefSeq_peptide;Acc:NP_060653]
		-0.18	-0.83	0.16	XM_498714	-
		0.42	-0.83	0.09		Non-protein coding transcript
		0.42	-0.83	0.35	XM_498926	-
C6	C6	-0.06	-0.82	-0.14	NM_000065	Complement component C6 precursor. [Source:Uniprot/SWISSPROT;Acc:P13671]
		-0.29	-0.82	-0.05	XM_499531	-
		-0.28	-0.82	-0.37	NM_032717	-
		-0.11	-0.82	-0.24	XM_497833	PREDICTED: similar to SULT6B1 [Source:RefSeq_peptide;Acc:XP_497833]
		0.29	-0.82	-0.43		26 kDa protein [Source:IPI;Acc:IPI00414750]
		-0.04	-0.82	-0.25	XM_379180	-
ALDH1L2	ALDH1L2	0.05	-0.82	0.67	XM_090294	PREDICTED: similar to RIKEN cDNA D330038I09 [Source:RefSeq_peptide;Acc:XP_090294]
GIMAP7	GIMAP7	2.02	-0.82	0.58	NM_153236	GTPase, IMAP family member 7 (Immunity-associated nucleotide 7 protein). [Source:Uniprot/SWISSPROT;Acc:Q8NHV1]
		0.2	-0.82	-0.34		119 kDa protein [Source:IPI;Acc:IPI00477645]
	TREM2_HUMAN	0.62	-0.82	-0.1	NM_018965	Triggering receptor expressed on myeloid cells 2 precursor (Triggering receptor expressed on monocytes 2) (TREM-2). [Source:Uniprot/SWISSPROT;Acc:Q9NZC2]
		-0.07	-0.82	0.05	XM_499595,XM_498465	PREDICTED: hypothetical protein XP_499595 [Source:RefSeq_peptide;Acc:XP_499595]
		0.19	-0.82	-0.3	XM_372774	PREDICTED: hypothetical protein DJ159A19.3 [Source:RefSeq_peptide;Acc:XP_372774]
		-0.44	-0.82	-0.21		Human betaretrovirus isolate Es186-2 pol gene, partial cds
		2.56	-0.82	0.45	XM_290799,XM_496159	-
		0.4	-0.82	0.57	XM_373749	-
		-0.04	-0.82	0.25	XM_086001	-
ZNF599	ZNF599	0.73	-0.82	0.52	NM_001007247,NM_001007248	zinc finger protein 599 isoform b [Source:RefSeq_peptide;Acc:NP_001007248]
PTPN22	PTPN22	-0.5	-0.82	0.31	NM_015967,NM_012411	Tyrosine-protein phosphatase, non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP). [Source:Uniprot/SWISSPROT;Acc:Q9Y2R2]
		0.69	-0.82	0.9		Hypothetical protein
PITX2	PITX2	0.35	-0.81	0.1	NM_153426,NM_000325,NM_153427	Pituitary homeobox 2 (RIEG bicoid-related homeobox transcription factor) (Solurshin) (ALL1 responsive protein ARP1). [Source:Uniprot/SWISSPROT;Acc:Q99697]
		-0.23	-0.81	1.11	XM_375359	PREDICTED: similar to Nedd4-binding brain specific protein BEAN [Source:RefSeq_peptide;Acc:XP_375359]
GRASP	GRASP	0.26	-0.81	-0.17	NM_181711	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:RefSeq_peptide;Acc:NP_859062]
		0	-0.81	0.21		Non-protein coding transcript
PICALM	PICALM	1.54	-0.81	0.18	NM_007166,NM_001008660	Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein). [Source:Uniprot/SWISSPROT;Acc:Q13492]
		-0.41	-0.81	0.44	XM_379629	-
		-0.45	-0.81	0.33	XM_498363	-
		-0.18	-0.81	-0.48		Hypothetical protein
CACNB4	CACNB4	0.44	-0.81	-0.34	NM_001005747,NM_000726,NM_001005746	Voltage-dependent L-type calcium channel beta-4 subunit (CAB4) (Calcium channel, voltage-dependent, beta 4 subunit). [Source:Uniprot/SWISSPROT;Acc:O00305]
		-0.18	-0.81	0.5		-
		0.17	-0.81	0.81	XM_374190	-
		-0.41	-0.81	0.85		17 kDa protein [Source:IPI;Acc:IPI00477015]
		-0.41	-0.81	0.44		Homo sapiens microRNA miR-10b stem-loop
	Q8N646_HUMAN	-0.18	-0.81	-0.36		-
		-0.08	-0.81	-0.23	NM_001005365,NM_001002920	-
		-0.39	-0.81	-0.31	NM_001010902	-
		1.02	-0.81	-0.43		Non-protein coding transcript
	Q96PS2_HUMAN	0	-0.81	0.52		FGF-2 activity-associated protein 3. [Source:Uniprot/SPTREMBL;Acc:Q96PS2]
		-0.23	-0.8	0.64	XM_370654	PREDICTED: KIAA1726 protein [Source:RefSeq_peptide;Acc:XP_370654]
	OR2TX_HUMAN	-0.01	-0.8	-0.14	NM_001005495,NM_001001821	Olfactory receptor 2T? (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q8NH03]
	Q8N1T0_HUMAN	0.53	-0.8	-0.11		-
	Q7Z766_HUMAN	-0.45	-0.8	0.01		-
		0.11	-0.8	-0.44		-
	VgEcR	0.01	-0.8	0.62		Synthetic VP16-glucocorticoid/ecdysone receptor VgEcR
		0.01	-0.8	-0.21	XM_371760	PREDICTED: hypothetical protein LOC116068 [Source:RefSeq_peptide;Acc:XP_371760]
LINC00305	C18orf20	0.18	-0.8	-0.1	NM_152728	-
	Q9Y348_HUMAN	0.62	-0.8	-0.06		-
	Q8N872_HUMAN	0.47	-0.8	0.23		-
FANCM	KIAA1596	0.06	-0.8	-0.39		-
		-0.11	-0.8	0.61	NM_198526	-
		0.97	-0.8	0.46	NM_001003399	-
	KBTB4_HUMAN	0.39	-0.8	0.13	NM_016506	Kelch repeat and BTB domain containing protein 4 (BTB and kelch domain containing protein 4). [Source:Uniprot/SWISSPROT;Acc:Q9NVX7]
ZDHHC22	ZDHHC22	-0.18	-0.8	0.99	NM_174976	zinc finger, DHHC domain containing 22 [Source:RefSeq_peptide;Acc:NP_777636]
		-0.43	-0.8	0.03	NM_182607	V-set and immunoglobulin domain containing 1 [Source:RefSeq_peptide;Acc:NP_872413]
		0.42	-0.8	0.56	XM_497249	-
		0.09	-0.8	-0.44	NM_080862	SPRY domain-containing SOCS box protein SSB-4 [Source:RefSeq_peptide;Acc:NP_543138]
		0.31	-0.8	-0.18	XM_497675	-
		0.31	-0.79	2.26	XM_373080	-
MOS	MOS	0.4	-0.79	0.13	NM_005372	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.1.37) (c- mos) (Oocyte maturation factor mos). [Source:Uniprot/SWISSPROT;Acc:P00540]
	Q8IY60_HUMAN	0.03	-0.79	-0.29	NM_133452	RAVER1 [Source:RefSeq_peptide;Acc:NP_597709]
CUL4A	CUL4A	0.27	-0.79	-0.04	NM_003589,NM_001008895	Cullin homolog 4A (CUL-4A). [Source:Uniprot/SWISSPROT;Acc:Q13619]
		0.05	-0.79	-0.45		Human endogenous retrovirus HERV-K(I) DNA, complete sequence and flanking region
		-0.38	-0.79	-0.42		7 kDa protein [Source:IPI;Acc:IPI00477033]
	CC14A_HUMAN	0.13	-0.79	-0.02	NM_003672	Dual specificity protein phosphatase CDC14A (EC 3.1.3.48) (EC 3.1.3.16) (CDC14 cell division cycle 14 homolog A). [Source:Uniprot/SWISSPROT;Acc:Q9UNH5]
		-0.21	-0.79	-0.41	NM_020901	CTD-binding SR-like protein rA9 [Source:RefSeq_peptide;Acc:NP_065952]
		-0.08	-0.79	0.67	NM_001001691	-
TAF4B	TAF4B	0.01	-0.79	-0.35	XM_290809	Transcription initiation factor TFIID 105 kDa subunit (TAFII-105) (TAFII105) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q92750]
	Q9UF98_HUMAN	0.97	-0.79	-0.48	NM_017564	-
DEFB114	DEFB114	0.69	-0.79	-0.24		Defensin beta 114 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q8NES9]
		-0.41	-0.79	-0.39	XM_496663	-
		-0.17	-0.79	1.2		Hypothetical protein
WFDC5	WFDC5	-0.23	-0.79	-0.09	NM_145652	WAP four-disulfide core domain protein 5 precursor (Putative protease inhibitor WAP1). [Source:Uniprot/SWISSPROT;Acc:Q8TCV5]
		-0.26	-0.79	3.31	XM_498483	-
