S. mediterranea Gene	Human Gene	HGNC Gene Abbrev
CUFF.292814	ENSG00000103769	RAB11A
CUFF.33800	ENSG00000138069	RAB1A
CUFF.431688	ENSG00000174903	RAB1B
CUFF.397016	ENSG00000041353	RAB27B
CUFF.165195	ENSG00000104388	RAB2A
CUFF.429968	ENSG00000129472	RAB2B
CUFF.151770	ENSG00000137502	RAB30
CUFF.174819	ENSG00000172007	RAB33B
CUFF.526417	ENSG00000152932	RAB3C
CUFF.638357	ENSG00000105514	RAB3D
CUFF.179928	ENSG00000168118	RAB4A
CUFF.307566	ENSG00000144566	RAB5A
CUFF.255135	ENSG00000111540	RAB5B
CUFF.510254	ENSG00000175582	RAB6A
CUFF.46096	ENSG00000075785	RAB7A
CUFF.101388	ENSG00000011454	RABGAP1
CUFF.392152	ENSG00000152061	RABGAP1L
CUFF.227312	ENSG00000137955	RABGGTB
CUFF.286212	ENSG00000169750	RAC3
CUFF.203092	ENSG00000197275	RAD54B
CUFF.466904	ENSG00000085999	RAD54L
CUFF.174171	ENSG00000080823	RAGE
CUFF.72476	ENSG00000006451	RALA
CUFF.72317	ENSG00000164188	RANBP3L
CUFF.109567	ENSG00000091428	RAPGEF4
CUFF.246227	ENSG00000113643	RARS
CUFF.680153	ENSG00000113319	RASGRF2
CUFF.625715	ENSG00000117222	RBBP5
CUFF.225821	ENSG00000171174	RBKS
CUFF.141770	ENSG00000213079	RBM16
CUFF.105986	ENSG00000134453	RBM17
CUFF.547522	ENSG00000112183	RBM24
CUFF.585947	ENSG00000151962	RBM46
CUFF.499108	ENSG00000153250	RBMS1
CUFF.124609	ENSG00000100387	RBX1
CUFF.223159	ENSG00000049449	RCN1
CUFF.520786	ENSG00000117625	RCOR3
CUFF.3962	ENSG00000108469	RECQL5
CUFF.265479	ENSG00000129625	REEP5
CUFF.541971	ENSG00000157916	RER1
CUFF.140163	ENSG00000135945	REV1
CUFF.124841	ENSG00000049541	RFC2
CUFF.723621	ENSG00000133119	RFC3
CUFF.345093	ENSG00000163918	RFC4
CUFF.256908	ENSG00000080298	RFX3
CUFF.270139	ENSG00000127074	RGS13
CUFF.503964	ENSG00000091844	RGS17
CUFF.172712	ENSG00000112077	RHAG
CUFF.126203	ENSG00000132677	RHBG
CUFF.429215	ENSG00000067560	RHOA
CUFF.213786	ENSG00000126858	RHOT1
CUFF.538562	ENSG00000060709	RIMBP2
CUFF.368511	ENSG00000117016	RIMS3
CUFF.259713	ENSG00000133135	RNF128
CUFF.77894	ENSG00000188050	RNF133
CUFF.568382	ENSG00000170153	RNF150
CUFF.565474	ENSG00000116514	RNF19B
CUFF.269651	ENSG00000121481	RNF2
CUFF.629539	ENSG00000155827	RNF20
CUFF.394286	ENSG00000146083	RNF44
CUFF.529618	ENSG00000204308	RNF5
CUFF.368334	ENSG00000114125	RNF7
CUFF.438819	ENSG00000111880	RNGTT
CUFF.613168	ENSG00000119314	ROD1
CUFF.354023	ENSG00000047936	ROS1
CUFF.380589	ENSG00000102218	RP2
CUFF.140554	ENSG00000197713	RPE
CUFF.697575	ENSG00000153574	RPIA
CUFF.558407	ENSG00000142676	RPL11
CUFF.8766	ENSG00000108298	RPL19
CUFF.426926	ENSG00000037241	RPL26L1
CUFF.360778	ENSG00000166441	RPL27A
CUFF.252008	ENSG00000100316	RPL3
CUFF.61294	ENSG00000163902	RPN1
CUFF.412300	ENSG00000152464	RPP38
CUFF.388629	ENSG00000164587	RPS14
CUFF.423976	ENSG00000083845	RPS5
CUFF.92485	ENSG00000177189	RPS6KA3
CUFF.26214	ENSG00000170889	RPS9
CUFF.114963	ENSG00000141564	RPTOR
CUFF.342154	ENSG00000007376	RPUSD1
CUFF.293433	ENSG00000144580	RQCD1
CUFF.495955	ENSG00000167325	RRM1
CUFF.302930	ENSG00000130363	RSPH3
CUFF.324675	ENSG00000111834	RSPH4A
CUFF.33588	ENSG00000159579	RSPRY1
CUFF.503223	ENSG00000148484	RSU1
CUFF.202573	ENSG00000139970	RTN1
CUFF.379839	ENSG00000115310	RTN4
CUFF.93082	ENSG00000175792	RUVBL1
CUFF.89947	ENSG00000204231	RXRB
CUFF.591189	ENSG00000163785	RYK
CUFF.446155	ENSG00000198626	RYR2
CUFF.446158	ENSG00000198838	RYR3
CUFF.200300	ENSG00000211456	SACM1L
CUFF.139797	ENSG00000203943	SAMD13
CUFF.452399	ENSG00000179134	SAMD4B
CUFF.118587	ENSG00000123453	SARDH
CUFF.97165	ENSG00000173611	SCAI
CUFF.72648	ENSG00000198794	SCAMP5
CUFF.322910	ENSG00000143653	SCCPDH
CUFF.303535	ENSG00000144285	SCN1A
CUFF.227318	ENSG00000196876	SCN8A
CUFF.282963	ENSG00000133028	SCO1
CUFF.10757	ENSG00000170616	SCRT1
CUFF.169100	ENSG00000136021	SCYL2
CUFF.32355	ENSG00000073578	SDHA
CUFF.97892	ENSG00000117118	SDHB
CUFF.526836	ENSG00000228117	SDR16C6
CUFF.248911	ENSG00000100934	SEC23A
CUFF.599327	ENSG00000113615	SEC24A
CUFF.394748	ENSG00000138802	SEC24B
CUFF.179523	ENSG00000150961	SEC24D
CUFF.24983	ENSG00000065665	SEC61A2
CUFF.439005	ENSG00000106803	SEC61B
CUFF.614479	ENSG00000025796	SEC63
CUFF.344996	ENSG00000085415	SEH1L
CUFF.631426	ENSG00000071537	SEL1L
CUFF.537385	ENSG00000109618	SEPSECS
CUFF.213690	ENSG00000138758	SEPTIN11
CUFF.595985	ENSG00000168385	SEPTIN2
CUFF.477201	ENSG00000100167	SEPTIN3
CUFF.516115	ENSG00000108387	SEPTIN4
CUFF.254313	ENSG00000122545	SEPTIN7
CUFF.499309	ENSG00000111897	SERINC1
CUFF.480605	ENSG00000021355	SERPINB1
CUFF.210353	ENSG00000166634	SERPINB12
CUFF.465106	ENSG00000197641	SERPINB13
CUFF.170380	ENSG00000099995	SF3A1
CUFF.155647	ENSG00000136450	SFRS1
CUFF.383654	ENSG00000188529	SFRS13A
CUFF.451295	ENSG00000100650	SFRS5
CUFF.49524	ENSG00000115875	SFRS7
CUFF.322074	ENSG00000213064	SFT2D2
CUFF.173690	ENSG00000164466	SFXN1
CUFF.236534	ENSG00000163069	SGCB
CUFF.454766	ENSG00000118473	SGIP1
CUFF.199164	ENSG00000104205	SGK3
CUFF.638221	ENSG00000167037	SGSM1
CUFF.476433	ENSG00000111252	SH2B3
CUFF.341105	ENSG00000140600	SH3GL3
CUFF.23509	ENSG00000154447	SH3RF1
CUFF.158825	ENSG00000176974	SHMT1
CUFF.138143	ENSG00000196470	SIAH1
CUFF.438398	ENSG00000112246	SIM1
CUFF.617409	ENSG00000169375	SIN3A
CUFF.580390	ENSG00000096717	SIRT1
CUFF.350957	ENSG00000184302	SIX6
CUFF.721782	ENSG00000039123	SKIV2L2
CUFF.510776	ENSG00000110911	SLC11A2
CUFF.446557	ENSG00000124067	SLC12A4
CUFF.480344	ENSG00000124140	SLC12A5
CUFF.675857	ENSG00000140199	SLC12A6
CUFF.467093	ENSG00000221955	SLC12A8
CUFF.493149	ENSG00000091664	SLC17A6
CUFF.110875	ENSG00000165646	SLC18A2
CUFF.399651	ENSG00000110436	SLC1A2
CUFF.481670	ENSG00000168575	SLC20A2
CUFF.236069	ENSG00000100075	SLC25A1
CUFF.404273	ENSG00000108528	SLC25A11
CUFF.497354	ENSG00000122912	SLC25A16
CUFF.112037	ENSG00000178537	SLC25A20
CUFF.531982	ENSG00000085491	SLC25A24
CUFF.143096	ENSG00000155287	SLC25A28
CUFF.141737	ENSG00000075415	SLC25A3
CUFF.472621	ENSG00000174032	SLC25A30
CUFF.89899	ENSG00000171612	SLC25A33
CUFF.189024	ENSG00000125434	SLC25A35
CUFF.514829	ENSG00000114120	SLC25A36
CUFF.186579	ENSG00000167114	SLC27A4
CUFF.474196	ENSG00000156222	SLC28A1
CUFF.520952	ENSG00000137860	SLC28A2
CUFF.373217	ENSG00000104154	SLC30A4
CUFF.195758	ENSG00000162695	SLC30A7
CUFF.111793	ENSG00000164756	SLC30A8
CUFF.46933	ENSG00000169359	SLC33A1
CUFF.376873	ENSG00000164414	SLC35A1
CUFF.45831	ENSG00000157593	SLC35B2
CUFF.175325	ENSG00000124786	SLC35B3
CUFF.97573	ENSG00000116704	SLC35D1
CUFF.467054	ENSG00000134955	SLC37A2
CUFF.694324	ENSG00000169507	SLC38A11
CUFF.576945	ENSG00000141424	SLC39A6
CUFF.456981	ENSG00000138821	SLC39A8
CUFF.189105	ENSG00000138449	SLC40A1
CUFF.202713	ENSG00000129353	SLC44A2
CUFF.580051	ENSG00000137968	SLC44A5
CUFF.342104	ENSG00000033867	SLC4A7
CUFF.273203	ENSG00000100170	SLC5A1
CUFF.77174	ENSG00000138074	SLC5A6
CUFF.366570	ENSG00000111181	SLC6A12
CUFF.363042	ENSG00000010379	SLC6A13
CUFF.235824	ENSG00000087916	SLC6A14
CUFF.160880	ENSG00000072041	SLC6A15
CUFF.24933	ENSG00000165970	SLC6A5
CUFF.199608	ENSG00000196517	SLC6A9
CUFF.531413	ENSG00000165349	SLC7A3
CUFF.45147	ENSG00000103257	SLC7A5
CUFF.87480	ENSG00000183023	SLC8A1
CUFF.343762	ENSG00000100678	SLC8A3
CUFF.4594	ENSG00000115616	SLC9A2
CUFF.66432	ENSG00000198689	SLC9A6
CUFF.66159	ENSG00000145147	SLIT2
CUFF.234753	ENSG00000065613	SLK
CUFF.118389	ENSG00000170365	SMAD1
CUFF.529633	ENSG00000141646	SMAD4
CUFF.145065	ENSG00000084070	SMAP2
CUFF.277323	ENSG00000102038	SMARCA1
CUFF.233064	ENSG00000080503	SMARCA2
CUFF.53820	ENSG00000163104	SMARCAD1
CUFF.171023	ENSG00000108604	SMARCD2
CUFF.31986	ENSG00000073584	SMARCE1
CUFF.268903	ENSG00000108055	SMC3
CUFF.284686	ENSG00000122692	SMU1
CUFF.171219	ENSG00000132639	SNAP25
CUFF.339176	ENSG00000163788	SNRK
CUFF.362315	ENSG00000144028	SNRNP200
CUFF.170234	ENSG00000125870	SNRPB2
CUFF.126062	ENSG00000128739	SNRPN
CUFF.645568	ENSG00000101400	SNTA1
CUFF.421722	ENSG00000104497	SNX16
CUFF.175140	ENSG00000143376	SNX27
CUFF.249091	ENSG00000112335	SNX3
CUFF.121839	ENSG00000129515	SNX6
CUFF.516594	ENSG00000168875	SOX14
CUFF.77088	ENSG00000110693	SOX6
CUFF.6239	ENSG00000104450	SPAG1
CUFF.311418	ENSG00000077327	SPAG6
CUFF.176995	ENSG00000090487	SPG21
CUFF.395505	ENSG00000186767	SPIN4
CUFF.337062	ENSG00000144228	SPOPL
CUFF.502497	ENSG00000197694	SPTAN1
CUFF.463144	ENSG00000070182	SPTB
CUFF.187721	ENSG00000173898	SPTBN2
CUFF.648412	ENSG00000090054	SPTLC1
CUFF.475065	ENSG00000172296	SPTLC3
CUFF.425585	ENSG00000137767	SQRDL
CUFF.250881	ENSG00000197122	SRC
CUFF.263682	ENSG00000080603	SRCAP
CUFF.240529	ENSG00000112658	SRF
CUFF.74396	ENSG00000196935	SRGAP1
CUFF.120673	ENSG00000075142	SRI
CUFF.408446	ENSG00000135250	SRPK2
CUFF.194278	ENSG00000182934	SRPR
CUFF.198032	ENSG00000133226	SRRM1
CUFF.154302	ENSG00000114850	SSR3
CUFF.2447	ENSG00000004866	ST7
CUFF.453374	ENSG00000101972	STAG2
CUFF.705017	ENSG00000127954	STEAP4
CUFF.685609	ENSG00000081320	STK17B
CUFF.361896	ENSG00000134602	STK3
CUFF.182006	ENSG00000169302	STK32A
CUFF.328096	ENSG00000152953	STK32B
CUFF.673674	ENSG00000163482	STK36
CUFF.115170	ENSG00000112079	STK38
CUFF.568477	ENSG00000148175	STOM
CUFF.70820	ENSG00000165283	STOML2
CUFF.80093	ENSG00000133115	STOML3
CUFF.294441	ENSG00000023734	STRAP
CUFF.183662	ENSG00000196792	STRN3
CUFF.16465	ENSG00000163527	STT3B
CUFF.574455	ENSG00000099365	STX1B
CUFF.574455	ENSG00000111450	STX2
CUFF.304960	ENSG00000136854	STXBP1
CUFF.60898	ENSG00000166263	STXBP4
CUFF.85891	ENSG00000163541	SUCLG1
CUFF.440147	ENSG00000172340	SUCLG2
CUFF.249082	ENSG00000092201	SUPT16H
CUFF.217875	ENSG00000148248	SURF4
CUFF.677576	ENSG00000152455	SUV39H2
CUFF.123622	ENSG00000097096	SYDE2
CUFF.105425	ENSG00000165025	SYK
CUFF.451694	ENSG00000157152	SYN2
CUFF.173031	ENSG00000131018	SYNE1
CUFF.438644	ENSG00000078269	SYNJ2
CUFF.379782	ENSG00000143858	SYT2
CUFF.160571	ENSG00000132872	SYT4
CUFF.596316	ENSG00000170743	SYT9
CUFF.627156	ENSG00000122728	TAF1L
CUFF.459553	ENSG00000177156	TALDO1
CUFF.645697	ENSG00000135090	TAOK3
CUFF.13449	ENSG00000113407	TARS
CUFF.451637	ENSG00000175463	TBC1D10C
CUFF.654332	ENSG00000132405	TBC1D14
CUFF.410904	ENSG00000121749	TBC1D15
CUFF.510772	ENSG00000065491	TBC1D22B
CUFF.394758	ENSG00000111490	TBC1D30
CUFF.26136	ENSG00000131374	TBC1D5
CUFF.551672	ENSG00000109436	TBC1D9
CUFF.518983	ENSG00000141556	TBCD
CUFF.122091	ENSG00000177565	TBL1XR1
CUFF.323945	ENSG00000092607	TBX15
CUFF.435968	ENSG00000135111	TBX3
CUFF.375962	ENSG00000113649	TCERG1
CUFF.566116	ENSG00000140262	TCF12
CUFF.417593	ENSG00000148737	TCF7L2
CUFF.413209	ENSG00000120438	TCP1
CUFF.507818	ENSG00000146221	TCTE1
CUFF.504753	ENSG00000139372	TDG
CUFF.260482	ENSG00000156414	TDRD9
CUFF.397340	ENSG00000187079	TEAD1
CUFF.686495	ENSG00000135605	TEC
CUFF.65925	ENSG00000120156	TEK
CUFF.316969	ENSG00000125409	TEKT3
CUFF.282116	ENSG00000153060	TEKT5
CUFF.545491	ENSG00000087510	TFAP2C
CUFF.427151	ENSG00000113296	THBS4
CUFF.412441	ENSG00000172009	THOP1
CUFF.505603	ENSG00000126351	THRA
CUFF.617777	ENSG00000075131	TIPIN
CUFF.146929	ENSG00000151005	TKTL2
CUFF.36726	ENSG00000140332	TLE3
CUFF.133659	ENSG00000095587	TLL2
CUFF.346697	ENSG00000171914	TLN2
CUFF.468638	ENSG00000125304	TM9SF2
CUFF.249655	ENSG00000077147	TM9SF3
CUFF.145918	ENSG00000101337	TM9SF4
CUFF.529772	ENSG00000170348	TMED10
CUFF.255387	ENSG00000086598	TMED2
CUFF.56744	ENSG00000184840	TMED9
CUFF.382785	ENSG00000126062	TMEM115
CUFF.46474	ENSG00000164124	TMEM144
CUFF.350918	ENSG00000198792	TMEM184B
CUFF.200327	ENSG00000164168	TMEM184C
CUFF.449802	ENSG00000155984	TMEM185A
CUFF.1205	ENSG00000240849	TMEM189
CUFF.257793	ENSG00000176273	TMEM20
CUFF.383487	ENSG00000112697	TMEM30A
CUFF.232631	ENSG00000163900	TMEM41A
CUFF.681784	ENSG00000062716	TMEM49
CUFF.172338	ENSG00000165782	TMEM55B
CUFF.505533	ENSG00000204178	TMEM57
CUFF.267704	ENSG00000137842	TMEM62
CUFF.698355	ENSG00000164983	TMEM65
CUFF.113232	ENSG00000164953	TMEM67
CUFF.231367	ENSG00000103978	TMEM87A
CUFF.672429	ENSG00000153214	TMEM87B
CUFF.89211	ENSG00000186452	TMPRSS12
CUFF.356292	ENSG00000139324	TMTC3
CUFF.296859	ENSG00000166479	TMX3
CUFF.608701	ENSG00000164761	TNFRSF11B
CUFF.153472	ENSG00000173273	TNKS
CUFF.550043	ENSG00000198900	TOP1
CUFF.390715	ENSG00000077097	TOP2B
CUFF.147232	ENSG00000177302	TOP3A
CUFF.47152	ENSG00000100038	TOP3B
CUFF.374193	ENSG00000143514	TP53BP2
CUFF.485353	ENSG00000129167	TPH1
CUFF.586189	ENSG00000140416	TPM1
CUFF.89218	ENSG00000095917	TPSD1
CUFF.469970	ENSG00000131323	TRAF3
CUFF.264885	ENSG00000065308	TRAM2
CUFF.633643	ENSG00000126602	TRAP1
CUFF.692359	ENSG00000196459	TRAPPC2
CUFF.130956	ENSG00000182400	TRAPPC6B
CUFF.232706	ENSG00000186439	TRDN
CUFF.343945	ENSG00000197323	TRIM33
CUFF.228083	ENSG00000108395	TRIM37
CUFF.288296	ENSG00000119283	TRIM67
CUFF.289242	ENSG00000100505	TRIM9
CUFF.104363	ENSG00000038382	TRIO
CUFF.79751	ENSG00000153827	TRIP12
CUFF.297687	ENSG00000103671	TRIP4
CUFF.328600	ENSG00000126814	TRMT5
CUFF.693667	ENSG00000069018	TRPC7
CUFF.567319	ENSG00000092439	TRPM7
CUFF.514593	ENSG00000184205	TSPYL2
CUFF.360710	ENSG00000139908	TSSK4
CUFF.229798	ENSG00000128881	TTBK2
CUFF.365193	ENSG00000123607	TTC21B
CUFF.91846	ENSG00000197557	TTC30A
CUFF.242835	ENSG00000165533	TTC8
CUFF.214950	ENSG00000114999	TTL
CUFF.302077	ENSG00000135912	TTLL4
CUFF.6183	ENSG00000119685	TTLL5
CUFF.130796	ENSG00000137941	TTLL7
CUFF.141911	ENSG00000155657	TTN
CUFF.84411	ENSG00000167552	TUBA1A
CUFF.181248	ENSG00000198033	TUBA3C
CUFF.30791	ENSG00000137285	TUBB2B
CUFF.595889	ENSG00000074935	TUBE1
CUFF.346863	ENSG00000178952	TUFM
CUFF.556569	ENSG00000078246	TULP3
CUFF.256301	ENSG00000181322	TXNDC6
CUFF.153849	ENSG00000115514	TXNDC9
CUFF.564855	ENSG00000091164	TXNL1
CUFF.140083	ENSG00000198431	TXNRD1
CUFF.236525	ENSG00000176890	TYMS
CUFF.718919	ENSG00000198874	TYW1
CUFF.85182	ENSG00000160201	U2AF1
CUFF.134212	ENSG00000063244	U2AF2
CUFF.217833	ENSG00000130985	UBA1
CUFF.301241	ENSG00000126261	UBA2
CUFF.252189	ENSG00000144744	UBA3
CUFF.385362	ENSG00000081307	UBA5
CUFF.47727	ENSG00000131508	UBE2D2
CUFF.173348	ENSG00000170142	UBE2E1
CUFF.14907	ENSG00000182247	UBE2E2
CUFF.274822	ENSG00000170035	UBE2E3
CUFF.433286	ENSG00000132388	UBE2G1
CUFF.475768	ENSG00000186591	UBE2H
CUFF.212260	ENSG00000160087	UBE2J2
CUFF.444144	ENSG00000102069	UBE2NL
CUFF.504114	ENSG00000107341	UBE2R2
CUFF.271199	ENSG00000114062	UBE3A
CUFF.274657	ENSG00000122042	UBL3
CUFF.497489	ENSG00000198258	UBL5
CUFF.234636	ENSG00000135018	UBQLN1
CUFF.395724	ENSG00000127481	UBR4
CUFF.412346	ENSG00000104517	UBR5
CUFF.187445	ENSG00000012963	UBR7
CUFF.386354	ENSG00000168246	UBTD2
CUFF.635358	ENSG00000143179	UCK2
CUFF.443359	ENSG00000109775	UFSP2
CUFF.628302	ENSG00000109814	UGDH
CUFF.37641	ENSG00000102595	UGGT2
CUFF.16601	ENSG00000169764	UGP2
CUFF.105951	ENSG00000175970	UNC119B
CUFF.467790	ENSG00000198722	UNC13B
CUFF.483703	ENSG00000137766	UNC13C
CUFF.384492	ENSG00000115446	UNC50
CUFF.542748	ENSG00000132478	UNK
CUFF.683659	ENSG00000100024	UPB1
CUFF.8066	ENSG00000005007	UPF1
CUFF.79121	ENSG00000151461	UPF2
CUFF.189234	ENSG00000183696	UPP1
CUFF.75167	ENSG00000094841	UPRT
CUFF.129039	ENSG00000169021	UQCRFS1
CUFF.466363	ENSG00000159650	UROC1
CUFF.241222	ENSG00000138768	USO1
CUFF.276155	ENSG00000152484	USP12
CUFF.193492	ENSG00000058056	USP13
CUFF.51680	ENSG00000135655	USP15
CUFF.346565	ENSG00000170185	USP38
CUFF.142761	ENSG00000136014	USP44
CUFF.418304	ENSG00000187555	USP7
CUFF.483200	ENSG00000152818	UTRN
CUFF.131982	ENSG00000115652	UXS1
CUFF.229190	ENSG00000101558	VAPA
CUFF.372594	ENSG00000143494	VASH2
CUFF.257983	ENSG00000125753	VASP
CUFF.138192	ENSG00000165280	VCP
CUFF.221593	ENSG00000112715	VEGFA
CUFF.238162	ENSG00000093134	VNN3
CUFF.618870	ENSG00000145041	VPRBP
CUFF.417768	ENSG00000129003	VPS13C
CUFF.427738	ENSG00000115561	VPS24
CUFF.492339	ENSG00000151502	VPS26B
CUFF.231586	ENSG00000111237	VPS29
CUFF.309257	ENSG00000069329	VPS35
CUFF.54118	ENSG00000119541	VPS4B
CUFF.434435	ENSG00000141252	VPS53
CUFF.270199	ENSG00000100987	VSX1
CUFF.148665	ENSG00000151532	VTI1A
CUFF.595006	ENSG00000175267	VWA3A
CUFF.339506	ENSG00000163625	WDFY3
CUFF.701477	ENSG00000128815	WDFY4
CUFF.519512	ENSG00000166596	WDR16
CUFF.230911	ENSG00000157796	WDR19
CUFF.10131	ENSG00000136709	WDR33
CUFF.438071	ENSG00000206530	WDR52
CUFF.227961	ENSG00000196981	WDR5B
CUFF.313392	ENSG00000123977	WDR69
CUFF.585781	ENSG00000152763	WDR78
CUFF.544735	ENSG00000167716	WDR81
CUFF.433671	ENSG00000243667	WDR92
CUFF.650686	ENSG00000142784	WDTC1
CUFF.178429	ENSG00000060237	WNK1
CUFF.45916	ENSG00000109046	WSB1
CUFF.594668	ENSG00000146457	WTAP
CUFF.313906	ENSG00000123124	WWP1
CUFF.158006	ENSG00000143184	XCL1
CUFF.320729	ENSG00000136936	XPA
CUFF.203766	ENSG00000108039	XPNPEP1
CUFF.178660	ENSG00000196236	XPNPEP3
CUFF.66775	ENSG00000082898	XPO1
CUFF.95801	ENSG00000143324	XPR1
CUFF.112512	ENSG00000114127	XRN1
CUFF.551720	ENSG00000088930	XRN2
CUFF.363446	ENSG00000065978	YBX1
CUFF.442186	ENSG00000176105	YES1
CUFF.519445	ENSG00000119820	YIPF4
CUFF.288354	ENSG00000136758	YME1L1
CUFF.683335	ENSG00000083896	YTHDC1
CUFF.621782	ENSG00000185728	YTHDF3
CUFF.555165	ENSG00000108953	YWHAE
CUFF.198906	ENSG00000100811	YY1
CUFF.643748	ENSG00000236287	ZBED5
CUFF.546841	ENSG00000168826	ZBTB49
CUFF.584123	ENSG00000140948	ZCCHC14
CUFF.436505	ENSG00000104219	ZDHHC2
CUFF.697792	ENSG00000180776	ZDHHC20
CUFF.601401	ENSG00000156599	ZDHHC5
CUFF.491282	ENSG00000153786	ZDHHC7
CUFF.335465	ENSG00000086666	ZFAND6
CUFF.530363	ENSG00000056097	ZFR
CUFF.305420	ENSG00000157077	ZFYVE9
CUFF.144461	ENSG00000174963	ZIC4
CUFF.526017	ENSG00000015171	ZMYND11
CUFF.344287	ENSG00000096654	ZNF184
CUFF.38232	ENSG00000010244	ZNF207
CUFF.628791	ENSG00000186019	ZNF224
CUFF.226013	ENSG00000109445	ZNF330
CUFF.346583	ENSG00000147124	ZNF41
CUFF.291714	ENSG00000196705	ZNF431
CUFF.656942	ENSG00000196757	ZNF700
CUFF.269141	ENSG00000167562	ZNF701
CUFF.56183	ENSG00000198146	ZNF770
CUFF.431664	ENSG00000124201	ZNFX1
CUFF.502277	ENSG00000162415	ZSWIM5
