Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Palmd	palmdelphin	A_51_P171883	Embryo:2.88522846343628	Embryo:9.30666522702019e-09	Pup:1.5004961985647	Pup:0.000141261014034713	Adult:1.5820106620906	Adult:0.000152878366130495
Rpl38	ribosomal protein L38	A_51_P227332	Embryo:1.67710780410752	Embryo:5.06584918218218e-05	Pup:2.28789635313126	Pup:4.19348216402035e-07	Adult:1.96364497067562	Adult:1.06732236482386e-05
A130022J15Rik	RIKEN cDNA A130022J15 gene	A_51_P216702	Embryo:1.6314281035582	Embryo:2.02668336269659e-08	Pup:2.17934634710503	Pup:8.62122085834141e-11	Adult:2.09098425106049	Adult:4.2484566289249e-10
Marveld2	MARVEL (membrane-associating) domain containing 2	A_51_P451428	Embryo:1.38278915349046	Embryo:4.2191670432688e-05	Pup:2.09255573986257	Pup:5.88633465501666e-08	Adult:2.42235310742395	Adult:1.17212999017897e-08
Dbil5	diazepam binding inhibitor-like 5	A_52_P169082	Embryo:1.43191190608616	Embryo:0.00684480891495521	Pup:2.68138425755367	Pup:4.44352630115604e-06	Adult:1.78235560826238	Adult:0.00137820736200805
Sestd1	SEC14 and spectrin domains 1	A_52_P408237	Embryo:1.78759968109019	Embryo:3.4615327100434e-09	Pup:1.63196430566572	Pup:1.26118333577467e-08	Adult:2.44421849472337	Adult:1.97853547007028e-11
Aqp11	aquaporin 11	A_51_P447248	Embryo:2.14507949524505	Embryo:1.26337263526792e-10	Pup:1.76059932340862	Pup:3.31874775999114e-09	Adult:1.95506864298114	Adult:1.20268887350865e-09
Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b	A_52_P228621	Embryo:2.87191000160766	Embryo:5.94302853507043e-07	Pup:1.39183944610061	Pup:0.00372064359540347	Adult:1.56689415828204	Adult:0.00220703957465703
Plxnb1	plexin B1	A_51_P281734	Embryo:2.24606574949564	Embryo:7.1848589450217e-08	Pup:1.75125598322046	Pup:3.00775042741766e-06	Adult:1.81145295460393	Adult:4.34387345417905e-06
Gstm7	glutathione S-transferase, mu 7	A_51_P114002	Embryo:1.269718017786	Embryo:2.29032042088292e-05	Pup:2.04334670038313	Pup:9.71089020808537e-09	Adult:2.49412760465268	Adult:6.70632715729337e-10
Gdap10	ganglioside-induced differentiation-associated-protein 10	A_51_P267587	Embryo:1.91350872909812	Embryo:1.18078117419423e-06	Pup:2.59692326615165	Pup:5.66118237997227e-09	Adult:1.27978927719343	Adult:0.000462261853042991
Ppm1h	protein phosphatase 1H (PP2C domain containing)	A_52_P328006	Embryo:2.0977773205532	Embryo:1.79467104211405e-05	Pup:2.3447261729546	Pup:2.90681652381311e-06	Adult:1.34071603126807	Adult:0.00412347662398211
4833417J20Rik	RIKEN cDNA 4833417J20 gene	A_52_P249672	Embryo:2.32285914280258	Embryo:0.000129105299329046	Pup:1.59503806574213	Pup:0.00480245954161104	Adult:1.85622660331316	Adult:0.00216965187622644
Tnfrsf21	tumor necrosis factor receptor superfamily, member 21	A_51_P168762	Embryo:1.53840169179888	Embryo:1.6599321158937e-07	Pup:2.02774984902346	Pup:1.07202396606127e-09	Adult:2.18999322406267	Adult:6.44807413763919e-10
9530077C05Rik	RIKEN cDNA 9530077C05 gene	A_51_P284442	Embryo:1.77087881204722	Embryo:4.82344226638296e-05	Pup:2.0587547218751	Pup:4.76837337667999e-06	Adult:1.89306416319687	Adult:3.5250841000948e-05
Slc38a3	solute carrier family 38, member 3	A_51_P139030	Embryo:1.80720865180073	Embryo:8.54378241118186e-06	Pup:1.38411347461676	Pup:0.000225793147465011	Adult:2.48260010363972	Adult:1.10044305585824e-07
Fam118a	family with sequence similarity 118, member A	A_51_P310254	Embryo:1.24938464568465	Embryo:1.88529261668864e-06	Pup:2.26294040712927	Pup:5.80218388963857e-11	Adult:2.14035368797785	Adult:3.61288833831074e-10
Notch3	Notch gene homolog 3 (Drosophila)	A_51_P220162	Embryo:1.26274850484045	Embryo:0.0240608513222503	Pup:1.89397730350855	Pup:0.000713676049997846	Adult:2.47837048986586	Adult:6.31138960127328e-05
Pcx	pyruvate carboxylase	A_51_P480578	Embryo:1.15722820986583	Embryo:0.000639379616516325	Pup:2.86484349332652	Pup:5.6691513088745e-10	Adult:1.58533662268158	Adult:2.22073585646596e-05
Fam163a	family with sequence similarity 163, member A	A_51_P502357	Embryo:2.35649915359638	Embryo:6.03187696631184e-05	Pup:1.80139425319751	Pup:0.00106016085224734	Adult:1.43572763285178	Adult:0.0115799084105823
Fam55d	family with sequence similarity 55, member D	A_51_P502798	Embryo:1.98128171112526	Embryo:1.02057518881437e-07	Pup:1.42161303322018	Pup:1.3604856734537e-05	Adult:2.17489188013408	Adult:3.93765856510135e-08
Efnb3	ephrin B3	A_52_P495565	Embryo:1.95380711347963	Embryo:1.03584411463714e-06	Pup:2.28389413242611	Pup:6.13937122527327e-08	Adult:1.32561006648354	Adult:0.000358917968768345
E330009J07Rik	RIKEN cDNA E330009J07 gene	A_51_P229875	Embryo:2.16151526484762	Embryo:5.90651563293573e-09	Pup:1.72271483261104	Pup:2.07936410449563e-07	Adult:1.663048107178	Adult:9.04049957984165e-07
Tmem145	transmembrane protein 145	A_52_P31641	Embryo:2.52335199427183	Embryo:1.30828753988771e-05	Pup:1.91478379861002	Pup:0.000352369824451765	Adult:1.10882965221068	Adult:0.0411965981098343
Ldoc1l	leucine zipper, down-regulated in cancer 1-like	A_52_P130727	Embryo:2.22516364498663	Embryo:1.12425003442603e-06	Pup:1.0878048626631	Pup:0.00487944308480217	Adult:2.2217270219545	Adult:2.23232959662489e-06
Rasl12	RAS-like, family 12	A_51_P105927	Embryo:2.43581271632225	Embryo:3.1915890631823e-05	Pup:1.24912387589784	Pup:0.0176973455929572	Adult:1.84799681698451	Adult:0.00128627928051917
Fzd6	frizzled homolog 6 (Drosophila)	A_52_P217710	Embryo:2.29791167417319	Embryo:4.87955944993764e-08	Pup:1.79516403800601	Pup:2.05722566334189e-06	Adult:1.42871432494052	Adult:0.000110546783748852
Gdf1	growth differentiation factor 1	A_51_P464300	Embryo:1.65775813337953	Embryo:0.002104603092174	Pup:2.34246342666827	Pup:3.33723453556319e-05	Adult:1.49132952400298	Adult:0.00683864826551051
Dusp18	dual specificity phosphatase 18	A_52_P89064	Embryo:1.56903948308517	Embryo:0.00255923912752447	Pup:1.68287823079668	Pup:0.00106045119896711	Adult:2.21288741667838	Adult:9.79595260266746e-05
Gpm6b	glycoprotein m6b	A_51_P284476	Embryo:2.61200137431673	Embryo:0.000144088746327387	Pup:1.2903143330919	Pup:0.0419601757809337	Adult:1.5423495040304	Adult:0.0220744848386726
Ccdc13	coiled-coil domain containing 13	A_51_P430033	Embryo:1.72621550170617	Embryo:0.00188634772748837	Pup:2.02594306459756	Pup:0.000286338643172272	Adult:1.65039204140797	Adult:0.00386011464987881
Cd34	CD34 antigen	A_51_P204740	Embryo:2.08898421561829	Embryo:3.82979215815376e-05	Pup:1.34026031542537	Pup:0.00387083644716014	Adult:1.9635296963795	Adult:0.000146638521565331
Egfl8	EGF-like domain 8	A_51_P225112	Embryo:1.78142945236522	Embryo:0.000526467714649708	Pup:2.24178457833993	Pup:2.53068367966616e-05	Adult:1.32825146920928	Adult:0.00991842902262317
Unc5b	unc-5 homolog B (C. elegans)	A_51_P294535	Embryo:2.01579597356798	Embryo:5.18840509193043e-05	Pup:1.07900900502052	Pup:0.0169686187693677	Adult:2.22563379257081	Adult:2.45403074128122e-05
Myh10	myosin, heavy polypeptide 10, non-muscle	A_51_P193612	Embryo:1.27063970857956	Embryo:0.00192317469685507	Pup:2.70858970340187	Pup:5.15571295591302e-08	Adult:1.32534549387729	Adult:0.0018188397514803
Tln2	talin 2	A_51_P163906	Embryo:2.59724449899788	Embryo:1.66222173676388e-10	Pup:1.60683872774306	Pup:5.12493027824938e-07	Adult:1.03415377293222	Adult:0.000465778292494239
St8sia5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5	A_51_P406739	Embryo:2.08733168372616	Embryo:0.001005499087835	Pup:1.84154163088955	Pup:0.00263466708320967	Adult:1.28450279029512	Adult:0.0444414363660865
Tbc1d14	TBC1 domain family, member 14	A_51_P486449	Embryo:1.18068649996242	Embryo:8.04666421520693e-07	Pup:2.17456088386341	Pup:1.35939222493244e-11	Adult:1.85175293668852	Adult:6.41867021935677e-10
Grcc10	gene rich cluster, C10 gene	A_51_P320114	Embryo:1.61826844617582	Embryo:1.48423495888155e-06	Pup:2.19920285136407	Pup:7.19776289392666e-09	Adult:1.38362218108357	Adult:2.75196631791507e-05
Uchl1	ubiquitin carboxy-terminal hydrolase L1	A_51_P475049	Embryo:2.29142631432981	Embryo:1.18846366882252e-07	Pup:1.33150657711616	Pup:0.000231902875172624	Adult:1.57439038299905	Adult:6.17101324888707e-05
Zdhhc9	zinc finger, DHHC domain containing 9	A_52_P299684	Embryo:2.04954053292565	Embryo:2.09833414649424e-09	Pup:1.66749740625963	Pup:5.39577168487846e-08	Adult:1.44571542303195	Adult:1.42075921574202e-06
Fzd9	frizzled homolog 9 (Drosophila)	A_51_P511015	Embryo:1.77937646521722	Embryo:0.000483564751078582	Pup:1.76759151415548	Pup:0.000415799691743455	Adult:1.60363627545703	Adult:0.0020104341669409
2810416G20Rik	RIKEN cDNA 2810416G20 gene	A_52_P432170	Embryo:1.6486307874562	Embryo:9.55388688167879e-05	Pup:2.01732167672425	Pup:4.94953498318974e-06	Adult:1.48077281420991	Adult:0.000550887934243501
Maoa	monoamine oxidase A	A_51_P125355	Embryo:1.23059622448128	Embryo:8.3386380411397e-05	Pup:1.80111893622203	Pup:2.49924813476117e-07	Adult:2.10395357711372	Adult:4.63928775204788e-08
Nudt11	nudix (nucleoside diphosphate linked moiety X)-type motif 11	A_52_P8632	Embryo:1.64155721162328	Embryo:0.00414662370908401	Pup:1.92988313456374	Pup:0.000729260661263117	Adult:1.54968784894697	Adult:0.00844315765624749
Dnalc1	dynein, axonemal, light chain 1	A_52_P843573	Embryo:1.24011039238119	Embryo:3.54798591250707e-06	Pup:1.72125135081892	Pup:1.3413413342395e-08	Adult:2.14438393496873	Adult:6.50146749732551e-10
Esyt1	extended synaptotagmin-like protein 1	A_51_P334685	Embryo:1.88371795594173	Embryo:5.07907644860516e-06	Pup:1.39053021506824	Pup:0.000230419353456573	Adult:1.82150161445171	Adult:1.54678589811803e-05
Rnf32	ring finger protein 32	A_52_P657324	Embryo:1.29264628743225	Embryo:0.000585621224373636	Pup:1.6043178216838	Pup:3.40844302066228e-05	Adult:2.17911413876088	Adult:8.91267711447731e-07
AW495222	expressed sequence AW495222	A_51_P226499	Embryo:1.06876738259878	Embryo:0.000304194326445779	Pup:1.96939968448387	Pup:3.11297950253967e-08	Adult:1.99769076402659	Adult:6.16207049653528e-08
Dmp1	dentin matrix protein 1	A_51_P264769	Embryo:1.62330173758355	Embryo:0.00364492362573987	Pup:1.49594169065449	Pup:0.00582116692432948	Adult:1.89925644707225	Adult:0.00119768200732578
Sh3bp4	SH3-domain binding protein 4	A_51_P322871	Embryo:1.68067537855257	Embryo:5.4323286378626e-06	Pup:1.40208920374931	Pup:5.47123653400248e-05	Adult:1.88616121193233	Adult:1.84614826509907e-06
Camk2n2	calcium/calmodulin-dependent protein kinase II inhibitor 2	A_51_P355151	Embryo:1.6807244343242	Embryo:3.32161050920641e-06	Pup:1.90535092720951	Pup:3.75400360896811e-07	Adult:1.3470124514506	Adult:0.000127384289566184
Pnpla6	patatin-like phospholipase domain containing 6	A_51_P301891	Embryo:1.73134910478832	Embryo:2.34591619869029e-05	Pup:1.64451334688715	Pup:3.81248038310194e-05	Adult:1.54996706081516	Adult:0.000169203640250243
1700080G18Rik	RIKEN cDNA 1700080G18 gene	A_51_P154840	Embryo:1.38389646069772	Embryo:0.000680949417854093	Pup:1.47019374044685	Pup:0.0002759455734078	Adult:2.0663707719231	Adult:7.18245795964105e-06
Cachd1	cache domain containing 1	A_51_P200339	Embryo:1.33391615730642	Embryo:4.26883240543308e-05	Pup:2.0792109404996	Pup:3.62530725286833e-08	Adult:1.470735314668	Adult:2.03719316984903e-05
Hmgn3	high mobility group nucleosomal binding domain 3	A_52_P32369	Embryo:1.61969630713405	Embryo:2.05797153754205e-05	Pup:1.22614658342277	Pup:0.000518331862957704	Adult:2.01308122040279	Adult:1.60962857636018e-06
Foxq1	forkhead box Q1	A_51_P481261	Embryo:1.13415929670018	Embryo:0.000313229104193369	Pup:1.86010433343236	Pup:2.29747580957219e-07	Adult:1.86355298773839	Adult:5.53094521775352e-07
Epdr1	ependymin related protein 1 (zebrafish)	A_51_P280404	Embryo:1.2388369770639	Embryo:0.000458098106941805	Pup:1.45368372465493	Pup:5.4026353269251e-05	Adult:2.14737428793798	Adult:4.01220782234696e-07
Zfp318	zinc finger protein 318	A_51_P143682	Embryo:1.82947454032496	Embryo:4.67436723814268e-05	Pup:1.31631505665878	Pup:0.00158040964323539	Adult:1.67752632611522	Adult:0.000232626262325707
Rpl39l	ribosomal protein L39-like	A_52_P386544	Embryo:1.28274867934589	Embryo:0.00109393712166199	Pup:1.54962900819119	Pup:0.000104620434235917	Adult:1.94537143893145	Adult:1.11195837835347e-05
Xlr	X-linked lymphocyte-regulated complex	A_51_P514351	Embryo:1.3471663498141	Embryo:2.29317537909349e-05	Pup:1.33298836133449	Pup:2.16496514117364e-05	Adult:2.08211836074809	Adult:4.96087757506437e-08
Pdgfb	platelet derived growth factor, B polypeptide	A_52_P618427	Embryo:2.26740243939212	Embryo:2.78637201100957e-07	Pup:1.01727711285704	Pup:0.00483033747747454	Adult:1.44980541578414	Adult:0.000278709389303889
Serp2	stress-associated endoplasmic reticulum protein family member 2	A_52_P539310	Embryo:1.25606087740479	Embryo:1.97321499169807e-06	Pup:1.36917601623038	Pup:4.10211067697084e-07	Adult:2.09220729865586	Adult:6.44807413763919e-10
Plekhg5	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	A_51_P417917	Embryo:1.5385982640956	Embryo:0.00045887301821252	Pup:1.1960356070959	Pup:0.00418380269855292	Adult:1.97952791449109	Adult:3.48631820122998e-05
Tm2d3	TM2 domain containing 3	A_51_P462444	Embryo:1.51507104514123	Embryo:0.000124581029144814	Pup:1.85879930538955	Pup:6.36767214795068e-06	Adult:1.31234429378339	Adult:0.000982687366103506
B630019K06Rik	RIKEN cDNA B630019K06 gene	A_51_P513062	Embryo:1.03412126955996	Embryo:0.00117339306367039	Pup:1.87872082708568	Pup:3.15408361126259e-07	Adult:1.75530329488583	Adult:2.30943221425396e-06
A330032P22Rik	RIKEN cDNA A330032P22 gene	A_52_P1075797	Embryo:1.35248118832203	Embryo:0.0272516534240022	Pup:1.51970134956117	Pup:0.0104468452199214	Adult:1.79280753021404	Adult:0.00470100221383669
Ptpn11	protein tyrosine phosphatase, non-receptor type 11	A_52_P211393	Embryo:1.06786450798779	Embryo:0.0226431230059163	Pup:1.98395509967101	Pup:5.27016674646916e-05	Adult:1.5996852711901	Adult:0.00119170894206952
Ppapdc2	phosphatidic acid phosphatase type 2 domain containing 2	A_51_P433026	Embryo:1.25732869359411	Embryo:0.000782395742424693	Pup:1.54050413480484	Pup:5.7877409066031e-05	Adult:1.82912014763036	Adult:1.26366860801872e-05
Gm5168	predicted gene 5168	A_52_P456007	Embryo:1.31327915106981	Embryo:8.03382120328599e-05	Pup:1.32534258398042	Pup:5.80856302044794e-05	Adult:1.98790670651496	Adult:3.43983740372366e-07
Uaca	uveal autoantigen with coiled-coil domains and ankyrin repeats	A_51_P113430	Embryo:1.13244390432877	Embryo:0.00140600677216948	Pup:1.35214320839191	Pup:0.00016505887280964	Adult:2.14036221327517	Adult:5.61984303492107e-07
Sesn3	sestrin 3	A_51_P246773	Embryo:1.08873306543635	Embryo:8.57891775071108e-05	Pup:2.03832402663053	Pup:4.00047920795724e-09	Adult:1.48870218305887	Adult:1.94819110861114e-06
Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A	A_52_P496924	Embryo:1.09212657307253	Embryo:0.0153360666813955	Pup:2.27163435766801	Pup:4.70790002038043e-06	Adult:1.22879685741261	Adult:0.00813539050388691
C77080	expressed sequence C77080	A_52_P68175	Embryo:1.700791389642	Embryo:4.51589932527071e-05	Pup:1.43898519030889	Pup:0.000286023306560842	Adult:1.43747789854829	Adult:0.00056158098173873
Faim	Fas apoptotic inhibitory molecule	A_51_P267194	Embryo:1.15495204437195	Embryo:8.82059987069744e-06	Pup:1.61913318368882	Pup:3.21250418418658e-08	Adult:1.79873644599678	Adult:1.27180163253427e-08
Disp1	dispatched homolog 1 (Drosophila)	A_52_P243152	Embryo:1.0772384729379	Embryo:0.00253019014148047	Pup:1.74639347597528	Pup:6.46792068246424e-06	Adult:1.74516850921341	Adult:1.52590332449651e-05
3830403N18Rik	RIKEN cDNA 3830403N18 gene	A_52_P417978	Embryo:1.4888968347743	Embryo:0.00288901319623453	Pup:1.61841170582682	Pup:0.00106352730293472	Adult:1.45392930546851	Adult:0.00475720249740328
Neurl2	neuralized-like 2 (Drosophila)	A_51_P418935	Embryo:1.50470570623306	Embryo:6.71615027857532e-06	Pup:1.17071661057581	Pup:0.000155530814406082	Adult:1.88428542266439	Adult:3.94772568927423e-07
Bend5	BEN domain containing 5	A_51_P158018	Embryo:1.05677214978369	Embryo:1.85133078317539e-06	Pup:1.50580484844732	Pup:4.08257855805127e-09	Adult:1.99486115419077	Adult:5.63633573369559e-11
Mmp24	matrix metallopeptidase 24	A_52_P605500	Embryo:2.50601052804153	Embryo:3.81156749327564e-06	Pup:1.01425835553716	Pup:0.0297381834761081	Adult:1.00012938002097	Adult:0.0437747175272105
Hspb8	heat shock protein 8	A_51_P464387	Embryo:1.59648846238107	Embryo:3.60448118726141e-06	Pup:1.03014492962094	Pup:0.000780525765996845	Adult:1.89071735454326	Adult:5.02315983567923e-07
D7Ertd715e	DNA segment, Chr 7, ERATO Doi 715, expressed	A_52_P145433	Embryo:1.88948600520541	Embryo:0.00176136583459903	Pup:1.20574472217532	Pup:0.0365119095944573	Adult:1.4164642491424	Adult:0.0208689505033317
Cml1	camello-like 1	A_51_P235604	Embryo:1.00287184793013	Embryo:0.00281976225900292	Pup:1.69271821376464	Pup:4.33745075604053e-06	Adult:1.78642307696715	Adult:4.63306125934544e-06
Ptprg	protein tyrosine phosphatase, receptor type, G	A_51_P103114	Embryo:2.09267491189766	Embryo:1.96621848059603e-05	Pup:1.30364424400766	Pup:0.00327587836709825	Adult:1.04537639772874	Adult:0.0242499715723017
Ocln	occludin	A_51_P486150	Embryo:1.59855376951684	Embryo:8.71821083552101e-05	Pup:1.29774711154428	Pup:0.000775939265274277	Adult:1.54407386669288	Adult:0.000223531130578434
Prickle3	prickle homolog 3 (Drosophila)	A_51_P133792	Embryo:1.71578661755465	Embryo:2.42530733794608e-07	Pup:1.3508658297188	Pup:7.62286238899009e-06	Adult:1.36404468994309	Adult:1.54678589811803e-05
Ocrl	oculocerebrorenal syndrome of Lowe	A_51_P159492	Embryo:1.53340065051808	Embryo:4.47785108767069e-05	Pup:1.7201007678997	Pup:7.24723678224598e-06	Adult:1.13193014915097	Adult:0.00209491525568215
Rftn2	raftlin family member 2	A_52_P681456	Embryo:1.47681786187132	Embryo:3.34414120093949e-07	Pup:1.50888825499218	Pup:1.83925371698819e-07	Adult:1.3706542194221	Adult:2.11857937519096e-06
Jmjd7	jumonji domain containing 7	A_51_P288549	Embryo:1.36419125012339	Embryo:5.1152398196692e-07	Pup:1.19662911690015	Pup:3.02831026412266e-06	Adult:1.77873122792619	Adult:1.0453686521023e-08
Zfp787	zinc finger protein 787	A_52_P128906	Embryo:1.34664560245659	Embryo:4.64961074944535e-06	Pup:1.599316414284	Pup:2.50174264449385e-07	Adult:1.387545675326	Adult:5.75049051756496e-06
Kcnj14	potassium inwardly-rectifying channel, subfamily J, member 14	A_51_P250559	Embryo:1.00114863054344	Embryo:0.00228117991503893	Pup:1.39291048883267	Pup:4.63112984753066e-05	Adult:1.92373237159649	Adult:9.77621929219227e-07
Reep3	receptor accessory protein 3	A_52_P673421	Embryo:1.39275046078155	Embryo:6.39176308948677e-05	Pup:1.65952687638431	Pup:4.52550105642536e-06	Adult:1.25763620681195	Adult:0.00036366352760833
Osbpl6	oxysterol binding protein-like 6	A_52_P359958	Embryo:1.49583277202835	Embryo:0.030730676696127	Pup:1.38406687354302	Pup:0.0379795743838871	Adult:1.42865377553992	Adult:0.0438064173834701
E130304F04Rik	RIKEN cDNA E130304F04 gene	A_51_P173459	Embryo:1.20540129416411	Embryo:0.000422915380605526	Pup:1.77010144311815	Pup:2.05722566334189e-06	Adult:1.32243800949953	Adult:0.000233480201854639
Ly6c1	lymphocyte antigen 6 complex, locus C1	A_52_P230938	Embryo:2.05902648596124	Embryo:3.5780950741522e-07	Pup:1.19877483375345	Pup:0.000477322801929461	Adult:1.03861901866915	Adult:0.00339199877576095
Tbc1d2	TBC1 domain family, member 2	A_52_P218765	Embryo:1.39682440449396	Embryo:6.97106911787354e-05	Pup:1.25293448908787	Pup:0.000214289871359599	Adult:1.64239351750824	Adult:1.40749278436451e-05
1700088E04Rik	RIKEN cDNA 1700088E04 gene	A_51_P363642	Embryo:1.60913910392304	Embryo:3.01648656407114e-05	Pup:1.2105352315309	Pup:0.00073661604480919	Adult:1.46740577656922	Adult:0.000168860434697172
Fxc1	fractured callus expressed transcript 1	A_51_P396854	Embryo:1.13278588379205	Embryo:0.00278066101211824	Pup:1.75385368908745	Pup:1.46920886963777e-05	Adult:1.37895384881947	Adult:0.000590314782294364
Ophn1	oligophrenin 1	A_51_P161724	Embryo:1.3344789497965	Embryo:8.3776691558646e-05	Pup:1.48232073986586	Pup:1.69974736073824e-05	Adult:1.43423788139892	Adult:5.78127404163555e-05
BC057022	cDNA sequence BC057022	A_52_P251623	Embryo:1.38400134132968	Embryo:0.0157994525757026	Pup:1.5760769612471	Pup:0.0048743895177643	Adult:1.23526613211387	Adult:0.0356323059936901
Stard13	StAR-related lipid transfer (START) domain containing 13	A_51_P237915	Embryo:1.49549577530524	Embryo:6.93697367175782e-06	Pup:1.37907177573418	Pup:1.7824780658731e-05	Adult:1.31905731268869	Adult:7.02488616191557e-05
Galt	galactose-1-phosphate uridyl transferase	A_51_P117777	Embryo:1.0673357035964	Embryo:9.8378535079809e-06	Pup:1.76770982538283	Pup:2.02120694444427e-09	Adult:1.34669626826073	Adult:5.32566922995676e-07
Hbegf	heparin-binding EGF-like growth factor	A_51_P181565	Embryo:1.5425767334425	Embryo:1.11499456781626e-05	Pup:1.5814703956149	Pup:6.17996546086475e-06	Adult:1.05729779213028	Adult:0.00162828674402053
Armc10	armadillo repeat containing 10	A_52_P441614	Embryo:1.03689315930435	Embryo:0.00135418368672065	Pup:1.59615033934216	Pup:5.28914195353074e-06	Adult:1.50777773485213	Adult:2.70027611794128e-05
Pde8a	phosphodiesterase 8A	A_52_P391000	Embryo:1.83034047371373	Embryo:2.58138063608164e-07	Pup:1.14181068317701	Pup:0.000175820205537152	Adult:1.14629296829881	Adult:0.000334896216843197
Stk30	serine/threonine kinase 30	A_51_P493915	Embryo:1.15384035074895	Embryo:0.00742872540354471	Pup:1.29383764732061	Pup:0.00231444298409221	Adult:1.63804781272444	Adult:0.000400062036746665
Fam134b	family with sequence similarity 134, member B	A_52_P355139	Embryo:1.02956845372322	Embryo:0.0305491890834891	Pup:1.18294723051417	Pup:0.0102444598071744	Adult:1.8651194830935	Adult:0.000275078211588854
Tmsb10	thymosin, beta 10	A_52_P163489	Embryo:1.57439911609448	Embryo:0.00279693972158314	Pup:1.40064126639957	Pup:0.00605424823442345	Adult:1.09984278058824	Adult:0.0405792439827334
Ube2cbp	ubiquitin-conjugating enzyme E2C binding protein	A_51_P326854	Embryo:1.08412781985753	Embryo:0.00852282187167444	Pup:1.79971747809436	Pup:3.55645824558951e-05	Adult:1.15654108045985	Adult:0.00659988393085346
Pcsk1n	proprotein convertase subtilisin/kexin type 1 inhibitor	A_51_P226922	Embryo:1.39630946164771	Embryo:0.000224730307462634	Pup:1.54384091564821	Pup:5.19524434260404e-05	Adult:1.06004512626238	Adult:0.0049146857553785
Cend1	cell cycle exit and neuronal differentiation 1	A_51_P323518	Embryo:1.46453590237706	Embryo:0.00372933664055466	Pup:1.3381576138851	Pup:0.00634533578310627	Adult:1.16687381763303	Adult:0.0239148731056901
Ndufa7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a)	A_52_P347591	Embryo:1.15882772171935	Embryo:0.000239478790603624	Pup:1.21929585274459	Pup:0.000104904729262136	Adult:1.58697812302441	Adult:6.60871773796175e-06
Ptar1	protein prenyltransferase alpha subunit repeat containing 1	A_51_P168981	Embryo:1.32360524108426	Embryo:1.24900975803811e-05	Pup:1.5579146352396	Pup:8.68876390318388e-07	Adult:1.0800516533187	Adult:0.000294148023662153
Fam107a	family with sequence similarity 107, member A	A_52_P87900	Embryo:1.16080914726235	Embryo:0.0318303648411545	Pup:1.26651063662592	Pup:0.0151570613809173	Adult:1.49908539600333	Adult:0.00707337778437719
Pik3r6	phosphoinositide-3-kinase, regulatory subunit 6	A_52_P215106	Embryo:1.01636742520473	Embryo:0.000407031154846294	Pup:1.52478875154122	Pup:1.39964963897065e-06	Adult:1.38152877412219	Adult:1.42989416528185e-05
Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	A_52_P845245	Embryo:1.33178741767927	Embryo:0.0217529990310825	Pup:1.11843571456941	Pup:0.0461261121402346	Adult:1.47175478579593	Adult:0.0135700891273158
Rgs12	regulator of G-protein signaling 12	A_51_P125629	Embryo:1.1862547378451	Embryo:3.1846634706394e-05	Pup:1.44875584054318	Pup:1.41233794839181e-06	Adult:1.27856834798692	Adult:2.07550047976942e-05
Zfp386	zinc finger protein 386 (Kruppel-like)	A_52_P282091	Embryo:1.69530811784262	Embryo:0.00118048951890881	Pup:1.00029583946865	Pup:0.0440902833711299	Adult:1.19141653643725	Adult:0.0239907173400955
Lss	lanosterol synthase	A_52_P118161	Embryo:1.26475502798511	Embryo:0.00150327505628481	Pup:1.07653959878292	Pup:0.00505395013530644	Adult:1.4793890688493	Adult:0.000447476576803019
8430429K09Rik	RIKEN cDNA 8430429K09 gene	A_51_P273468	Embryo:1.15213569706173	Embryo:0.000953915789674886	Pup:1.14398236709574	Pup:0.000810165516559416	Adult:1.51587039366489	Adult:6.28626006247386e-05
Tmem123	transmembrane protein 123	A_52_P449665	Embryo:1.03425854262258	Embryo:0.00748470734997487	Pup:1.37188503766423	Pup:0.000438481777049038	Adult:1.39813297805055	Adult:0.000679652115240791
Spag4	sperm associated antigen 4	A_51_P513992	Embryo:1.24771471581347	Embryo:0.00836167441074185	Pup:1.2199570096727	Pup:0.00802671090191014	Adult:1.31933747101763	Adult:0.00691491998917867
Oplah	5-oxoprolinase (ATP-hydrolysing)	A_51_P378550	Embryo:1.33978606043282	Embryo:0.00117014275972731	Pup:1.25855543043608	Pup:0.00170866264559324	Adult:1.17659908422803	Adult:0.00511679623630453
Smtn	smoothelin	A_51_P479786	Embryo:1.07916901378223	Embryo:0.000559541571355365	Pup:1.16872947510881	Pup:0.000181466083978362	Adult:1.50835822930812	Adult:1.42989416528185e-05
Mark1	MAP/microtubule affinity-regulating kinase 1	A_51_P295757	Embryo:1.16147220189979	Embryo:0.0303379874251356	Pup:1.33340522005832	Pup:0.0102035714548805	Adult:1.25541525467929	Adult:0.0222278857068453
Ensa	endosulfine alpha	A_52_P222021	Embryo:1.24596176009948	Embryo:0.0218358724964188	Pup:1.09496511306096	Pup:0.0367765342848621	Adult:1.31637846730758	Adult:0.0182409280634295
