GO	MiRNA Name	p	FDR	Enrichment
pattern specification process	mmu-miR-718	0.00024231	0.3225	2.855432442
regulation of translation	mmu-let-7c-1	0.00024231	0.3025	2.855432442
regulation of translation	mmu-let-7f	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-129-3p	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-184	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-186	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-18a	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-191	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-29b	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-351	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-718	0.00024231	0.3025	2.855432442
regulation of translation	mmu-miR-92b	0.00024231	0.3025	2.855432442
tRNA aminoacylation for protein translation	mmu-let-7c-1	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-184	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-186	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-191	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-29b	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-351	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-718	0.00024315	0.32	3.125947094
tRNA aminoacylation for protein translation	mmu-miR-92b	0.00024315	0.32	3.125947094
cell communication	mmu-let-7c-1	0.00026216	0.355	2.310602803
cell communication	mmu-let-7f	0.00026216	0.355	2.310602803
cell communication	mmu-miR-129-3p	0.00026216	0.355	2.310602803
cell communication	mmu-miR-184	0.00026216	0.355	2.310602803
cell communication	mmu-miR-186	0.00026216	0.355	2.310602803
cell communication	mmu-miR-18a	0.00026216	0.355	2.310602803
cell communication	mmu-miR-191	0.00026216	0.355	2.310602803
cell communication	mmu-miR-29b	0.00026216	0.355	2.310602803
cell communication	mmu-miR-351	0.00026216	0.355	2.310602803
cell communication	mmu-miR-718	0.00026216	0.355	2.310602803
cell communication	mmu-miR-92b	0.00026216	0.355	2.310602803
negative regulation of chondrocyte differentiation	mmu-miR-184	0.00028656	0.1275	9.137383813
negative regulation of chondrocyte differentiation	mmu-miR-18a	0.00028656	0.1275	9.137383813
negative regulation of chondrocyte differentiation	mmu-miR-29b	0.00028656	0.1275	9.137383813
negative regulation of chondrocyte differentiation	mmu-miR-718	0.00028656	0.1275	9.137383813
integrin-mediated signaling pathway	mmu-let-7c-1	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-let-7f	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-129-3p	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-186	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-18a	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-191	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-29b	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-351	0.00037733	0.34	2.212208713
integrin-mediated signaling pathway	mmu-miR-92b	0.00037733	0.34	2.212208713
amino acid biosynthetic process	mmu-miR-129-3p	0.00038276	0.32	3.916021634
amino acid biosynthetic process	mmu-miR-184	0.00038276	0.32	3.916021634
amino acid biosynthetic process	mmu-miR-186	0.00038276	0.32	3.916021634
amino acid biosynthetic process	mmu-miR-351	0.00038276	0.32	3.916021634
amino acid biosynthetic process	mmu-miR-718	0.00038276	0.32	3.916021634
amino acid biosynthetic process	mmu-miR-92b	0.00038276	0.32	3.916021634
positive regulation of epithelial cell proliferation	mmu-let-7c-1	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-let-7f	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-129-3p	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-184	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-186	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-29b	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-351	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-718	0.00038276	0.315	3.916021634
positive regulation of epithelial cell proliferation	mmu-miR-92b	0.00038276	0.315	3.916021634
activation of protein kinase C activity	mmu-let-7f	0.0003988	0.315	4.299945324
activation of protein kinase C activity	mmu-miR-129-3p	0.0003988	0.315	4.299945324
activation of protein kinase C activity	mmu-miR-186	0.0003988	0.315	4.299945324
activation of protein kinase C activity	mmu-miR-18a	0.0003988	0.315	4.299945324
activation of protein kinase C activity	mmu-miR-351	0.0003988	0.315	4.299945324
activation of protein kinase C activity	mmu-miR-92b	0.0003988	0.315	4.299945324
axon guidance	mmu-let-7c-1	0.00040477	0.3375	2.411254062
axon guidance	mmu-let-7f	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-129-3p	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-186	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-18a	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-191	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-29b	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-351	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-718	0.00040477	0.3375	2.411254062
axon guidance	mmu-miR-92b	0.00040477	0.3375	2.411254062
cytoskeleton organization and biogenesis	mmu-let-7c-1	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-let-7f	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-129-3p	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-184	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-191	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-29b	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-351	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-718	0.00042684	0.325	2.842741631
cytoskeleton organization and biogenesis	mmu-miR-92b	0.00042684	0.325	2.842741631
transforming growth factor beta receptor signaling pathway	mmu-let-7c-1	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-let-7f	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-129-3p	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-184	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-18a	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-191	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-29b	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-351	0.00043103	0.2975	3.132817307
transforming growth factor beta receptor signaling pathway	mmu-miR-92b	0.00043103	0.2975	3.132817307
DNA replication	mmu-let-7c-1	0.00043358	0.335	2.115135142
DNA replication	mmu-let-7f	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-129-3p	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-184	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-186	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-18a	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-191	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-29b	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-351	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-718	0.00043358	0.335	2.115135142
DNA replication	mmu-miR-92b	0.00043358	0.335	2.115135142
cell redox homeostasis	mmu-let-7c-1	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-let-7f	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-129-3p	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-184	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-186	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-18a	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-191	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-29b	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-718	0.00046997	0.33	2.610681089
cell redox homeostasis	mmu-miR-92b	0.00046997	0.33	2.610681089
spermatogenesis	mmu-let-7c-1	0.00048883	0.4	1.799070388
spermatogenesis	mmu-let-7f	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-129-3p	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-184	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-186	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-191	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-29b	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-351	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-718	0.00048883	0.4	1.799070388
spermatogenesis	mmu-miR-92b	0.00048883	0.4	1.799070388
actin cytoskeleton organization and biogenesis	mmu-let-7f	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-129-3p	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-186	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-18a	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-191	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-29b	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-351	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-718	0.00049161	0.345	2.378223184
actin cytoskeleton organization and biogenesis	mmu-miR-92b	0.00049161	0.345	2.378223184
regulation of membrane potential	mmu-let-7c-1	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-let-7f	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-miR-129-3p	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-miR-184	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-miR-191	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-miR-29b	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-miR-718	0.00058253	0.325	3.045794604
regulation of membrane potential	mmu-miR-92b	0.00058253	0.325	3.045794604
protein folding	mmu-let-7c-1	0.00075206	0.3825	2.013321857
protein folding	mmu-let-7f	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-129-3p	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-184	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-186	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-18a	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-191	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-29b	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-351	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-718	0.00075206	0.3825	2.013321857
protein folding	mmu-miR-92b	0.00075206	0.3825	2.013321857
somitogenesis	mmu-let-7c-1	0.00076625	0.3075	3.140975686
somitogenesis	mmu-let-7f	0.00076625	0.3075	3.140975686
somitogenesis	mmu-miR-184	0.00076625	0.3075	3.140975686
somitogenesis	mmu-miR-18a	0.00076625	0.3075	3.140975686
somitogenesis	mmu-miR-191	0.00076625	0.3075	3.140975686
somitogenesis	mmu-miR-718	0.00076625	0.3075	3.140975686
somitogenesis	mmu-miR-92b	0.00076625	0.3075	3.140975686
protein import into nucleus	mmu-let-7c-1	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-let-7f	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-miR-129-3p	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-miR-184	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-miR-186	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-miR-18a	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-miR-29b	0.00086799	0.33	3.575498014
protein import into nucleus	mmu-miR-718	0.00086799	0.33	3.575498014
adrenal gland development	mmu-let-7c-1	0.00097001	0.0025	4.984027534
adrenal gland development	mmu-let-7f	0.00097001	0.0025	4.984027534
adrenal gland development	mmu-miR-129-3p	0.00097001	0.0025	4.984027534
adrenal gland development	mmu-miR-184	0.00097001	0.0025	4.984027534
adrenal gland development	mmu-miR-191	0.00097001	0.0025	4.984027534
adrenal gland development	mmu-miR-29b	0.00097001	0.0025	4.984027534
adrenal gland development	mmu-miR-92b	0.00097001	0.0025	4.984027534
embryonic morphogenesis	mmu-let-7c-1	0.00097001	0.045	4.984027534
embryonic morphogenesis	mmu-miR-129-3p	0.00097001	0.045	4.984027534
embryonic morphogenesis	mmu-miR-184	0.00097001	0.045	4.984027534
embryonic morphogenesis	mmu-miR-18a	0.00097001	0.045	4.984027534
embryonic morphogenesis	mmu-miR-29b	0.00097001	0.045	4.984027534
embryonic morphogenesis	mmu-miR-718	0.00097001	0.045	4.984027534
regulation of cell differentiation	mmu-miR-129-3p	0.00097001	0.255	4.984027534
regulation of cell differentiation	mmu-miR-184	0.00097001	0.255	4.984027534
regulation of cell differentiation	mmu-miR-18a	0.00097001	0.255	4.984027534
regulation of cell differentiation	mmu-miR-718	0.00097001	0.255	4.984027534
regulation of cell differentiation	mmu-miR-92b	0.00097001	0.255	4.984027534
tRNA processing	mmu-let-7c-1	0.00101699	0.315	2.53816217
tRNA processing	mmu-let-7f	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-129-3p	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-184	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-186	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-18a	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-191	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-29b	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-351	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-718	0.00101699	0.315	2.53816217
tRNA processing	mmu-miR-92b	0.00101699	0.315	2.53816217
myeloid cell differentiation	mmu-let-7c-1	0.00108388	0.3275	4.264112446
myeloid cell differentiation	mmu-let-7f	0.00108388	0.3275	4.264112446
myeloid cell differentiation	mmu-miR-184	0.00108388	0.3275	4.264112446
myeloid cell differentiation	mmu-miR-186	0.00108388	0.3275	4.264112446
myeloid cell differentiation	mmu-miR-29b	0.00108388	0.3275	4.264112446
myeloid cell differentiation	mmu-miR-718	0.00108388	0.3275	4.264112446
positive regulation of transcription, DNA-dependent	mmu-let-7c-1	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-let-7f	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-129-3p	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-184	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-186	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-191	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-29b	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-718	0.00120006	0.36	2.284345953
positive regulation of transcription, DNA-dependent	mmu-miR-92b	0.00120006	0.36	2.284345953
axonogenesis	mmu-let-7c-1	0.00125837	0.3575	2.492013767
axonogenesis	mmu-let-7f	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-129-3p	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-184	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-18a	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-191	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-351	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-718	0.00125837	0.3575	2.492013767
axonogenesis	mmu-miR-92b	0.00125837	0.3575	2.492013767
axon cargo transport	mmu-let-7c-1	0.00130746	0.005	7.309907051
axon cargo transport	mmu-miR-129-3p	0.00130746	0.005	7.309907051
axon cargo transport	mmu-miR-184	0.00130746	0.005	7.309907051
axon cargo transport	mmu-miR-92b	0.00130746	0.005	7.309907051
detection of mechanical stimulus involved in sensory perception of pain	mmu-let-7c-1	0.00130746	0.025	7.309907051
detection of mechanical stimulus involved in sensory perception of pain	mmu-let-7f	0.00130746	0.025	7.309907051
detection of mechanical stimulus involved in sensory perception of pain	mmu-miR-351	0.00130746	0.025	7.309907051
detection of mechanical stimulus involved in sensory perception of pain	mmu-miR-718	0.00130746	0.025	7.309907051
embryonic organ development	mmu-let-7c-1	0.00130746	0.0325	7.309907051
embryonic organ development	mmu-let-7f	0.00130746	0.0325	7.309907051
embryonic organ development	mmu-miR-129-3p	0.00130746	0.0325	7.309907051
embryonic organ development	mmu-miR-191	0.00130746	0.0325	7.309907051
maternal process involved in pregnancy	mmu-let-7c-1	0.00130746	0.1	7.309907051
maternal process involved in pregnancy	mmu-let-7f	0.00130746	0.1	7.309907051
maternal process involved in pregnancy	mmu-miR-18a	0.00130746	0.1	7.309907051
maternal process involved in pregnancy	mmu-miR-718	0.00130746	0.1	7.309907051
maternal process involved in pregnancy	mmu-miR-92b	0.00130746	0.1	7.309907051
retinal metabolic process	mmu-miR-129-3p	0.00130746	0.235	7.309907051
retinal metabolic process	mmu-miR-184	0.00130746	0.235	7.309907051
retinal metabolic process	mmu-miR-18a	0.00130746	0.235	7.309907051
retinal metabolic process	mmu-miR-191	0.00130746	0.235	7.309907051
retinal metabolic process	mmu-miR-29b	0.00130746	0.235	7.309907051
retinal metabolic process	mmu-miR-351	0.00130746	0.235	7.309907051
retinal metabolic process	mmu-miR-718	0.00130746	0.235	7.309907051
immune response	mmu-let-7c-1	0.00133605	0.3375	1.514620686
immune response	mmu-let-7f	0.00133605	0.3375	1.514620686
immune response	mmu-miR-129-3p	0.00133605	0.3375	1.514620686
immune response	mmu-miR-184	0.00133605	0.3375	1.514620686
immune response	mmu-miR-186	0.00133605	0.3375	1.514620686
immune response	mmu-miR-18a	0.00133605	0.3375	1.514620686
immune response	mmu-miR-191	0.00133605	0.3375	1.514620686
immune response	mmu-miR-29b	0.00133605	0.3375	1.514620686
immune response	mmu-miR-351	0.00133605	0.3375	1.514620686
immune response	mmu-miR-718	0.00133605	0.3375	1.514620686
immune response	mmu-miR-92b	0.00133605	0.3375	1.514620686
regulation of cell proliferation	mmu-let-7c-1	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-let-7f	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-miR-184	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-miR-186	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-miR-18a	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-miR-191	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-miR-718	0.00134706	0.3675	2.396690836
regulation of cell proliferation	mmu-miR-92b	0.00134706	0.3675	2.396690836
peptidyl-tyrosine phosphorylation	mmu-let-7c-1	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-let-7f	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-miR-129-3p	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-miR-184	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-miR-18a	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-miR-191	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-miR-29b	0.00136672	0.325	3.150822005
peptidyl-tyrosine phosphorylation	mmu-miR-351	0.00136672	0.325	3.150822005
vasculogenesis	mmu-let-7c-1	0.00138179	0.345	2.95621241
vasculogenesis	mmu-let-7f	0.00138179	0.345	2.95621241
vasculogenesis	mmu-miR-129-3p	0.00138179	0.345	2.95621241
vasculogenesis	mmu-miR-186	0.00138179	0.345	2.95621241
vasculogenesis	mmu-miR-18a	0.00138179	0.345	2.95621241
vasculogenesis	mmu-miR-29b	0.00138179	0.345	2.95621241
vasculogenesis	mmu-miR-351	0.00138179	0.345	2.95621241
skeletal development	mmu-let-7c-1	0.00140344	0.345	2.318440669
skeletal development	mmu-let-7f	0.00140344	0.345	2.318440669
skeletal development	mmu-miR-129-3p	0.00140344	0.345	2.318440669
skeletal development	mmu-miR-184	0.00140344	0.345	2.318440669
skeletal development	mmu-miR-18a	0.00140344	0.345	2.318440669
skeletal development	mmu-miR-29b	0.00140344	0.345	2.318440669
skeletal development	mmu-miR-351	0.00140344	0.345	2.318440669
skeletal development	mmu-miR-718	0.00140344	0.345	2.318440669
defense response to bacterium	mmu-let-7c-1	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-129-3p	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-184	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-186	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-18a	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-191	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-29b	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-351	0.00142335	0.3675	2.149972662
defense response to bacterium	mmu-miR-92b	0.00142335	0.3675	2.149972662
cerebral cortex development	mmu-let-7c-1	0.00152801	0.3475	3.654953525
cerebral cortex development	mmu-let-7f	0.00152801	0.3475	3.654953525
cerebral cortex development	mmu-miR-129-3p	0.00152801	0.3475	3.654953525
cerebral cortex development	mmu-miR-184	0.00152801	0.3475	3.654953525
cerebral cortex development	mmu-miR-18a	0.00152801	0.3475	3.654953525
cerebral cortex development	mmu-miR-191	0.00152801	0.3475	3.654953525
cerebral cortex development	mmu-miR-718	0.00152801	0.3475	3.654953525
Wnt receptor signaling pathway, calcium modulating pathway	mmu-miR-129-3p	0.00152801	0.32	3.654953525
Wnt receptor signaling pathway, calcium modulating pathway	mmu-miR-184	0.00152801	0.32	3.654953525
Wnt receptor signaling pathway, calcium modulating pathway	mmu-miR-18a	0.00152801	0.32	3.654953525
Wnt receptor signaling pathway, calcium modulating pathway	mmu-miR-191	0.00152801	0.32	3.654953525
Wnt receptor signaling pathway, calcium modulating pathway	mmu-miR-351	0.00152801	0.32	3.654953525
Wnt receptor signaling pathway, calcium modulating pathway	mmu-miR-718	0.00152801	0.32	3.654953525
chromatin modification	mmu-let-7c-1	0.00164483	0.3575	1.867494502
chromatin modification	mmu-let-7f	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-129-3p	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-184	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-186	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-18a	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-191	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-29b	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-351	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-718	0.00164483	0.3575	1.867494502
chromatin modification	mmu-miR-92b	0.00164483	0.3575	1.867494502
post-embryonic development	mmu-let-7c-1	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-let-7f	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-129-3p	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-184	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-18a	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-191	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-29b	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-351	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-718	0.00175971	0.3375	2.508301439
post-embryonic development	mmu-miR-92b	0.00175971	0.3375	2.508301439
camera-type eye morphogenesis	mmu-let-7c-1	0.00176028	0.315	4.568691907
camera-type eye morphogenesis	mmu-let-7f	0.00176028	0.315	4.568691907
camera-type eye morphogenesis	mmu-miR-129-3p	0.00176028	0.315	4.568691907
camera-type eye morphogenesis	mmu-miR-186	0.00176028	0.315	4.568691907
camera-type eye morphogenesis	mmu-miR-718	0.00176028	0.315	4.568691907
camera-type eye morphogenesis	mmu-miR-92b	0.00176028	0.315	4.568691907
retinoic acid metabolic process	mmu-miR-184	0.00176028	0.325	4.568691907
retinoic acid metabolic process	mmu-miR-18a	0.00176028	0.325	4.568691907
retinoic acid metabolic process	mmu-miR-191	0.00176028	0.325	4.568691907
retinoic acid metabolic process	mmu-miR-29b	0.00176028	0.325	4.568691907
protein ubiquitination	mmu-let-7c-1	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-let-7f	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-129-3p	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-186	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-191	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-29b	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-351	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-718	0.00185054	0.3075	3.045794604
protein ubiquitination	mmu-miR-92b	0.00185054	0.3075	3.045794604
phagocytosis	mmu-let-7c-1	0.00223278	0.3125	3.480908119
phagocytosis	mmu-miR-184	0.00223278	0.3125	3.480908119
phagocytosis	mmu-miR-191	0.00223278	0.3125	3.480908119
phagocytosis	mmu-miR-29b	0.00223278	0.3125	3.480908119
phagocytosis	mmu-miR-351	0.00223278	0.3125	3.480908119
phagocytosis	mmu-miR-92b	0.00223278	0.3125	3.480908119
ossification	mmu-let-7c-1	0.0022939	0.33	2.363116503
ossification	mmu-let-7f	0.0022939	0.33	2.363116503
ossification	mmu-miR-129-3p	0.0022939	0.33	2.363116503
ossification	mmu-miR-184	0.0022939	0.33	2.363116503
ossification	mmu-miR-18a	0.0022939	0.33	2.363116503
ossification	mmu-miR-191	0.0022939	0.33	2.363116503
ossification	mmu-miR-29b	0.0022939	0.33	2.363116503
ossification	mmu-miR-718	0.0022939	0.33	2.363116503
ossification	mmu-miR-92b	0.0022939	0.33	2.363116503
protein homooligomerization	mmu-let-7f	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-129-3p	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-186	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-191	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-29b	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-351	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-718	0.00244751	0.345	3.162940551
protein homooligomerization	mmu-miR-92b	0.00244751	0.345	3.162940551
glucocorticoid biosynthetic process	mmu-let-7c-1	0.00262	0.06	9.137383813
glucocorticoid biosynthetic process	mmu-let-7f	0.00262	0.06	9.137383813
glucocorticoid biosynthetic process	mmu-miR-184	0.00262	0.06	9.137383813
glucocorticoid biosynthetic process	mmu-miR-92b	0.00262	0.06	9.137383813
hindbrain morphogenesis	mmu-let-7f	0.00262	0.07	9.137383813
hindbrain morphogenesis	mmu-miR-129-3p	0.00262	0.07	9.137383813
locomotor rhythm	mmu-let-7c-1	0.00262	0.095	9.137383813
locomotor rhythm	mmu-miR-191	0.00262	0.095	9.137383813
locomotor rhythm	mmu-miR-29b	0.00262	0.095	9.137383813
locomotor rhythm	mmu-miR-92b	0.00262	0.095	9.137383813
L-serine biosynthetic process	mmu-miR-186	0.00262	0.09	9.137383813
L-serine biosynthetic process	mmu-miR-351	0.00262	0.09	9.137383813
