Affymetrix Probe ID	Mean HN	Mean DCIS	Fold Change	Probability	Gene Name	Gene Description
203980_at	339.6	70.93	0.23	4.00E-03	FABP4	FATTY ACID BINDING PROTEIN 4, ADIPOCYTE
203687_at	275.13	48.94	0.23	6.00E-03	CSTA	CYSTATIN A (STEFIN A)
220262_s_at	130.64	32.9	0.23	4.00E-03	SPON1	SPONDIN 1, EXTRACELLULAR MATRIX PROTEIN
209170_s_at	551.32	124.82	0.23	1.30E-02	GPM6B	GLYCOPROTEIN M6B
204422_s_at	51.3	14.13	0.22	5.00E-03	FGF2	FIBROBLAST GROWTH FACTOR 2 (BASIC)
214974_x_at	82.95	15.08	0.22	1.40E-02	CX3CL1	CHEMOKINE (C-X3-C MOTIF) LIGAND 1
201098_at	334.8	36.07	0.21	1.50E-02	SFRP1	SECRETED FRIZZLED-RELATED PROTEIN 1
211719_x_at	101.87	23.26	0.2	1.60E-02	WNT5B	WINGLESS-TYPE MMTV INTEGRATION SITE FAMILY, MEMBER 5B
209169_at	176.45	42.3	0.19	1.10E-02	GPM6B	GLYCOPROTEIN M6B
209167_at	818.85	168.54	0.19	1.00E-03	GPM6B	GLYCOPROTEIN M6B
211726_s_at	751.55	120.7	0.19	0.00E+00	FMO2	FLAVIN CONTAINING MONOOXYGENASE 2
215946_x_at	1233.44	208.01	0.18	2.30E-02	IGLL3	SIMILAR TO OMEGA PROTEIN
202965_s_at	231.14	24.6	0.18	1.00E-02	CAPN6	CALPAIN 6
208399_s_at	147.38	22.74	0.18	2.00E-03	EDN3	ENDOTHELIN 3
201754_at	1531.75	170.04	0.16	8.00E-03	SFRP1	SECRETED FRIZZLED-RELATED PROTEIN 1
202966_at	79.3	11.07	0.15	9.00E-03	CAPN6	CALPAIN 6
203766_s_at	269.85	44.31	0.15	8.00E-03	LMOD1	LEIOMODIN 1 (SMOOTH MUSCLE)
64900_at	55.14	6.28	0.13	1.00E-03	NPY2R	NEUROPEPTIDE Y RECEPTOR Y2
206121_at	1366.76	179.56	0.13	6.00E-03	OXTR	OXYTOCIN RECEPTOR
204851_s_at	45.01	5.13	0.13	5.00E-03	DCX	DOUBLECORTEX; LISSENCEPHALY, X-LINKED (DOUBLECORTIN)
211935_at	388.09	42.46	0.1	4.00E-03	MME	MEMBRANE METALLO-ENDOPEPTIDASE
209905_at	122.46	16.12	0.1	3.00E-03	HOXA9	HOMEOBOX A9
210980_s_at	118.53	11.16	0.09	2.10E-02	PKP1	PLAKOPHILIN 1 (ECTODERMAL DYSPLASIA/SKIN FRAGILITY SYNDROME)
202641_at	288.82	27.07	0.07	2.00E-03	MME	MEMBRANE METALLO-ENDOPEPTIDASE
