UID	NAME	C1	C3	C2	E1	E6	E5	E3	E4	E2
A_01_P010918	||  || A_01_P010918 ||  || Homo sapiens retinoblastoma 1 (including osteosarcoma) (RB1), mRNA. [NM_000321] ||  ||  || 6291233	-1.46	-0.73	-0.37	-0.1	0.55	0.63	0.99	1.19	0.67
A_01_P017497	||  || A_01_P017497 ||  ||  ||  ||  || 6270174	-0.26	-1.41	-0.97	-0.11	0.42	0.74	1.03	0.9	0.57
A_01_P008425	||  || A_01_P008425 ||  || Homo sapiens glycosyltransferase-like domain containing 1 (GTDC1), mRNA. [NM_001006636] ||  ||  || 6289931	-0.75	-0.51	-0.71	0.58	0.04	0.19	-0.09	0.2	0.35
A_01_P013622	||  || A_01_P013622 ||  || Homo sapiens kinesin family member 5B (KIF5B), mRNA [NM_004521] ||  ||  || 6290799	-2.29	-0.85	-1.94	0.04	0.69	0.17	0.6	0.56	-0.89
A_01_P006587	||  || A_01_P006587 ||  || Homo sapiens tripartite motif-containing 25 (TRIM25), mRNA [NM_005082] ||  ||  || 6282391	-0.97	-1.48	-1.92	-0.78	-0.24	0.14	0.52	0.26	0.15
A_01_P008724	||  || A_01_P008724 ||  || Homo sapiens mitofusin 1 (MFN1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA [NM_033540] ||  ||  || 6270015	-0.13	-1.3	-1.03	0.26	0.31	0.22	0.51	0.38	0.47
A_01_P014454	||  || A_01_P014454 ||  || Homo sapiens glutaredoxin 2 (GLRX2), transcript variant 1, mRNA. [NM_016066] ||  ||  || 6270045	-1.05	-0.78	-1.09	-0.13	0.51	0.38	0.77	0.84	-0.29
A_01_P005414	||  || A_01_P005414 ||  || Homo sapiens chondroitin beta1,4 N-acetylgalactosaminyltransferase (ChGn), mRNA. [NM_018371] ||  ||  || 6277571	-0.66	-0.65	-1.18	0.56	1.3	1.25	0.3	0.29	0.11
A_01_P006863	||  || A_01_P006863 ||  || Homo sapiens cDNA FLJ46705 fis, clone TRACH3015346 [AK128546] ||  ||  || 6280641	-1.1	-0.97	-1.39	-0.23	1.37	0.9	0.09	0.01	0.61
A_01_P016015	||  || A_01_P016015 ||  || Homo sapiens hypothetical protein FLJ25067 (FLJ25067), mRNA. [NM_152504] ||  ||  || 6269226	-1.42	-0.92	-1.12	0	0.01	0.19	-0.15	-0.37	-0.57
A_01_P019616	||  || A_01_P019616 ||  || Homo sapiens SMAD, mothers against DPP homolog 4 (Drosophila) (SMAD4), mRNA [NM_005359] ||  ||  || 6279274	-1.55	-1.26	-0.91	-0.08	1.54	1.42	1.13	0.5	-0.25
A_01_P005449	||  || A_01_P005449 ||  || Homo sapiens tripartite motif-containing 23 (TRIM23), transcript variant alpha, mRNA [NM_001656] ||  ||  || 6282921	-1.84	-1.18	-1.7	-0.54	0.53	-0.24	-0.56	-0.37	-0.48
A_01_P017544	||  || A_01_P017544 ||  || Homo sapiens olfactory receptor, family 5, subfamily T, member 1 (OR5T1), mRNA. [NM_001004745] ||  ||  || 6268642	-1.37	-0.99	-1.48	-0.07	-0.46	0.28	0.22	0	1.11
A_01_P019160	||  || A_01_P019160 ||  || Homo sapiens REV1-like (yeast) (REV1L), mRNA [NM_016316] ||  ||  || 6283441	-1.74	-2.21	-2.03	-0.76	-1.01	-1.17	-1.24	-1.39	-0.9
A_01_P013048	||  || A_01_P013048 ||  || Homo sapiens ribonuclease P 14kDa subunit (RPP14), mRNA. [NM_007042] ||  ||  || 6274577	-0.85	-1.21	-0.52	-0.18	-0.07	0.26	0.01	0.29	0.27
A_01_P009714	||  || A_01_P009714 ||  || Homo sapiens RAD51-like 3 (S. cerevisiae) (RAD51L3), transcript variant 1, mRNA. [NM_002878] ||  ||  || 6292430	-1.77	-1.15	-1.46	-0.41	-0.8	0.16	0.51	0.56	0.21
A_01_P007755	||  || A_01_P007755 ||  || Homo sapiens AT rich interactive domain 5B (MRF1-like) (ARID5B), mRNA [NM_032199] ||  ||  || 6281451	-1.84	-2.05	-1.57	-0.01	0.15	0.61	-1.27	0.24	-0.43
A_01_P003178	||  || A_01_P003178 ||  || ILLUMIGEN_MCQ_30228 Katze_MMPB Macaca mulatta cDNA clone IBIUW:6725 5 similar to Bases 24 to 286 highly similar to human FLJ10326 (Hs.262823), mRNA sequence [CN648317] ||  ||  || 6275660	-0.58	-1.45	-1.26	0.6	0.24	0.61	0.49	-0.02	-0.41
A_01_P013672	||  || A_01_P013672 ||  || PREDICTED: Homo sapiens zinc finger protein 21 (KOX 14) (ZNF21), mRNA [XM_092995] ||  ||  || 6269101	-1.98	-2.1	-2.16	-0.55	0.22	-0.55	0.11	-0.93	-1.37
A_01_P003307	||  || A_01_P003307 ||  || Homo sapiens thymosin-like 3 (TMSL3), mRNA [NM_183049] ||  ||  || 6271563	-1.28	-1.85	-1.44	0.02	-0.12	-0.18	-0.31	-0.19	-1.07
A_01_P002244	||  || A_01_P002244 ||  || Homo sapiens chromosome 13 open reading frame 17 (C13orf17), transcript variant 1, mRNA. [NM_018185] ||  ||  || 6287604	-2.96	-2.13	-2.49	-1.36	-1.1	-1.47	-1.41	-1.68	-1.76
A_01_P020113	||  || A_01_P020113 ||  || Homo sapiens ubiquitin specific protease 28 (USP28), mRNA. [NM_020886] ||  ||  || 6267177	-1.93	-1.54	-1.13	-0.77	-0.13	0.08	0.58	-0.13	-0.44
A_01_P007032	||  || A_01_P007032 ||  || Homo sapiens small EDRK-rich factor 1B (centromeric) (SERF1B), mRNA [NM_022978] ||  ||  || 6290171	-0.44	-0.09	-0.33	0.52	1.02	0.58	0.57	1.22	0.47
A_01_P016165	||  || A_01_P016165 ||  || Homo sapiens diablo homolog (Drosophila) (DIABLO), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA. [NM_019887] ||  ||  || 6289124	-0.8	-0.9	-0.99	0	1.02	0.73	0.22	-0.14	0.26
A_01_P001375	||  || A_01_P001375 ||  || Homo sapiens copine III (CPNE3), mRNA [NM_003909] ||  ||  || 6278556	-0.34	-0.19	-0.63	0.66	1.07	0.74	0.57	0.45	0.2
A_01_P011746	||  || A_01_P011746 ||  || Homo sapiens hypothetical protein FLJ20397 (FLJ20397), mRNA [NM_017802] ||  ||  || 6283816	-0.65	-1.75	-1.39	-0.37	0.06	0.33	0.24	0.83	-0.1
A_01_P015447	||  || A_01_P015447 ||  || Homo sapiens interferon (alpha, beta and omega) receptor 1 (IFNAR1), mRNA. [NM_000629] ||  ||  || 6267564	-1.69	-1.17	-1.32	-0.84	-0.21	0.13	-0.28	-0.32	-0.44
A_01_P006408	||  || A_01_P006408 ||  || Homo sapiens oxysterol binding protein (OSBP), mRNA [NM_002556] ||  ||  || 6293824	-0.77	-1.07	-0.55	-0.02	0.19	-0.1	-0.12	-0.09	-0.09
A_01_P015797	||  || A_01_P015797 ||  || Homo sapiens RCE1 homolog, prenyl protein protease (S. cerevisiae) (RCE1), mRNA [NM_005133] ||  ||  || 6283156	-1.02	-1.37	-1.41	-0.14	-0.8	0.01	0.04	-0.31	-0.28
A_01_P009835	||  || A_01_P009835 ||  || Homo sapiens Fanconi anemia, complementation group L (FANCL), mRNA. [NM_018062] ||  ||  || 6267060	-1.9	-2.03	-1.57	-1.02	-0.38	-0.9	-1.18	-0.54	-0.38
A_01_P017262	||  || A_01_P017262 ||  || Homo sapiens ribosomal protein S27a (RPS27A), mRNA [NM_002954] ||  ||  || 6273177	-1.41	-0.92	-0.85	-0.23	-0.34	-0.21	-0.27	-0.41	-0.31
A_01_P016434	||  || A_01_P016434 ||  || Homo sapiens septin 6 (SEPT6), transcript variant I, mRNA. [NM_145799] ||  ||  || 6272408	-2.84	-1.98	-2.24	-0.93	-0.08	-0.96	-1.6	-0.61	-1.03
A_01_P014219	||  || A_01_P014219 ||  || Homo sapiens zinc finger protein 565 (ZNF565), mRNA [NM_152477] ||  ||  || 6276660	-2.42	-1.82	-1.35	-0.49	-0.86	-0.75	-0.58	-0.85	-0.97
A_01_P006564	||  || A_01_P006564 ||  || ILLUMIGEN_MCQ_28240 Katze_MMBR Macaca mulatta cDNA clone IBIUW:13460 5 similar to Bases 1 to 1005 highly similar to human VTI1B (Hs.419995), mRNA sequence [CN802774] ||  ||  || 6269319	-1.56	-1.53	-1.76	0.79	-0.02	0.06	0.17	-1.14	-0.01
A_01_P017590	||  || A_01_P017590 ||  || Homo sapiens interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), transcript variant 1, mRNA [NM_002184] ||  ||  || 6292798	-0.91	-0.33	-0.48	0.79	0.76	1.06	0.18	1.43	0.33
A_01_P010307	||  || A_01_P010307 ||  || Homo sapiens tumor necrosis factor receptor superfamily, member 19 (TNFRSF19), transcript variant 2, mRNA [NM_148957] ||  ||  || 6278290	-2.49	-2	-1.94	-0.77	0.2	-0.57	-1.15	-1.1	0.25
A_01_P003068	||  || A_01_P003068 ||  || PREDICTED: Macaca mulatta hypothetical protein LOC698122 (LOC698122), mRNA [XR_010884] ||  ||  || 6269340	-1.92	-1.57	-1.91	-1.04	0.07	0.95	0.42	-0.02	-0.6
A_01_P002368	||  || A_01_P002368 ||  || Homo sapiens M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) (MPHOSPH10), mRNA [NM_005791] ||  ||  || 6268421	-2.5	-1.8	-2.14	0.21	-0.99	-1.26	-0.79	-0.43	-0.92
A_01_P000942	||  || A_01_P000942 ||  || Homo sapiens chromosome 20 open reading frame 158 (C20orf158), mRNA. [NM_152302] ||  ||  || 6270535	-0.99	-0.68	-1.77	-0.24	0.08	0.55	0.44	0.43	-0.22
A_01_P001490	||  || A_01_P001490 ||  ||  ||  ||  || 6289767	-1.98	-1.27	-1.5	-0.49	-0.37	-0.61	-0.29	-0.43	-1.05
A_01_P011941	||  || A_01_P011941 ||  || Homo sapiens homeo box C5 (HOXC5), mRNA. [NM_018953] ||  ||  || 6292984	0.2	-0.55	-0.31	0.89	0.59	0.73	0.6	0.61	1.12
A_01_P012905	||  || A_01_P012905 ||  || ILLUMIGEN_MCQ_10085 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:9103 5 similar to Bases 100 to 955 highly similar to human PARK7 (Hs.419640), mRNA sequence [CN644296] ||  ||  || 6273947	-1.01	-1.1	-1.09	-0.42	-0.51	-0.51	-0.64	-0.29	-0.31
A_01_P016634	||  || A_01_P016634 ||  || Homo sapiens polymerase (RNA) III (DNA directed) polypeptide A, 155kDa (POLR3A), mRNA. [NM_007055] ||  ||  || 6273136	-1.71	-1.36	-1.14	-0.88	-0.04	0.89	0.47	0.24	0.22
A_01_P002867	||  || A_01_P002867 ||  || Homo sapiens exostoses (multiple)-like 2 (EXTL2), mRNA. [NM_001439] ||  ||  || 6283668	-1.35	-1.63	-1.29	-0.33	0.22	0.68	0.46	0.26	-0.89
A_01_P014529	||  || A_01_P014529 ||  || Homo sapiens zinc finger protein 403 (ZNF403), mRNA [NM_024835] ||  ||  || 6292903	-0.96	-0.74	-0.83	-0.43	0.02	-0.15	-0.01	-0.13	-0.2
A_01_P010330	||  || A_01_P010330 ||  || Homo sapiens pleckstrin homology, Sec7 and coiled-coil domains, binding protein (PSCDBP), mRNA [NM_004288] ||  ||  || 6271625	-1.09	-0.6	-1.67	0.26	-0.3	1.31	1.41	1.23	0.44
A_01_P014867	||  || A_01_P014867 ||  || Homo sapiens RAB8B, member RAS oncogene family (RAB8B), mRNA [NM_016530] ||  ||  || 6272458	-1.23	-0.91	-1.1	-0.32	0.67	0.64	0.15	0.85	-0.3
A_01_P011200	||  || A_01_P011200 ||  || Homo sapiens protein tyrosine phosphatase, non-receptor type 12 (PTPN12), mRNA [NM_002835] ||  ||  || 6290931	-1.17	-1.22	-0.6	-0.1	0.34	-0.12	-0.23	0.36	-0.17
A_01_P012420	||  || A_01_P012420 ||  || PREDICTED: Homo sapiens mediator of DNA damage checkpoint 1 (MDC1), mRNA [XM_376479] ||  ||  || 6268359	-2.3	-0.83	-2.16	-0.4	-0.43	0.07	-0.3	-0.62	-0.34
A_01_P015299	||  || A_01_P015299 ||  || Homo sapiens TAR (HIV) RNA binding protein 1 (TARBP1), mRNA [NM_005646] ||  ||  || 6292718	-0.83	0.12	-1.02	0	2.2	1.46	1.28	1.65	1.63
A_01_P002882	||  || A_01_P002882 ||  || Homo sapiens armadillo repeat containing, X-linked 3 (ARMCX3), transcript variant 1, mRNA [NM_016607] ||  ||  || 6276681	-0.66	-0.9	-0.24	0	0.51	0.86	0.64	0.42	0.27
A_01_P002285	||  || A_01_P002285 ||  || ILLUMIGEN_MCQ_67997 Katze_MMTE Macaca mulatta cDNA clone IBIUW:40058 5 similar to Bases 105 to 518 highly similar to human TTC14 (Hs.43213), mRNA sequence [DV769210] ||  ||  || 6284892	-2.54	-2.01	-2.47	-1.62	-1.2	-1.66	-1.2	-1.37	-1.63
A_01_P001259	||  || A_01_P001259 ||  || Homo sapiens ralA binding protein 1 (RALBP1), mRNA [NM_006788] ||  ||  || 6276644	-2.41	-1.78	-1.54	0.17	-1.2	-0.42	0.58	-0.4	-0.41
A_01_P017205	||  || A_01_P017205 ||  || Homo sapiens cDNA FLJ40810 fis, clone TRACH2009743 [AK098129] ||  ||  || 6287376	-1.67	-1.17	-1.44	0	-0.22	0.14	0.19	0.1	-1.04
A_01_P014555	||  || A_01_P014555 ||  || Homo sapiens keratin associated protein 10-8 (KRTAP10-8), mRNA. [NM_198695] ||  ||  || 6280620	-0.56	-1.02	-1.29	-0.09	0.46	-0.24	0.09	0.19	0.67
A_01_P019051	||  || A_01_P019051 ||  || Homo sapiens chromosome 12 open reading frame 5 (C12orf5), mRNA. [NM_020375] ||  ||  || 6290280	-1.34	-1.64	-1.93	-0.7	1.01	1.07	0.61	1.33	-0.62
A_01_P016148	||  || A_01_P016148 ||  || ILLUMIGEN_MCQ_2359 Katze_MMLG Macaca mulatta cDNA 5 similar to human Unigene Hs.500464, mRNA sequence [CK231504] ||  ||  || 6278942	-1	-0.82	-0.61	0.38	0.06	-0.05	-0.06	-0.17	-0.17
A_01_P012724	||  || A_01_P012724 ||  || Homo sapiens acyl-Coenzyme A binding domain containing 4 (ACBD4), mRNA [NM_024722] ||  ||  || 6285491	-1.78	-1.43	-1.57	-0.46	-1.18	-0.57	-0.53	-0.24	-0.66
A_01_P002387	||  || A_01_P002387 ||  || Homo sapiens hypothetical protein BC007706 (LOC90268), mRNA. [NM_138348] ||  ||  || 6283865	-1.51	-1.36	-1.14	-1	0.27	0.03	0.2	0.42	0.27
A_01_P019773	||  || A_01_P019773 ||  || Homo sapiens GATA zinc finger domain containing 2A (GATAD2A), mRNA. [NM_017660] ||  ||  || 6277455	-1	-0.71	-0.96	0.28	0.03	0.62	0.27	-0.18	-0.28
A_01_P008472	||  || A_01_P008472 ||  || Homo sapiens KIAA2010 (KIAA2010), transcript variant 2, mRNA [NM_017936] ||  ||  || 6273184	-1.73	-2.19	-1.98	-0.84	-0.58	-0.05	0.68	-0.66	-0.98
A_01_P006221	||  || A_01_P006221 ||  || PREDICTED: Macaca mulatta similar to TBC1 domain family, member 4 (LOC696915), mRNA [XR_010229] ||  ||  || 6272255	-1.87	-1.28	-1.9	-0.79	1.33	-0.02	-0.07	-0.28	0.39
A_01_P006600	||  || A_01_P006600 ||  || Homo sapiens chromosome 14 open reading frame 101 (C14orf101), mRNA [NM_017799] ||  ||  || 6274719	-1.39	-1.72	-1.94	-1.08	-0.11	-0.31	-0.19	-0.93	-0.26
A_01_P019545	||  || A_01_P019545 ||  || PREDICTED: Macaca mulatta similar to 40S ribosomal protein S3 (LOC694071), mRNA [XR_010010] ||  ||  || 6292005	-1.13	-0.78	-0.77	0.13	-0.3	0.23	-0.03	0.22	-0.32
A_01_P013505	||  || A_01_P013505 ||  || Homo sapiens chromosome X open reading frame 6 (CXorf6), mRNA [NM_005491] ||  ||  || 6281685	-0.89	-1.05	-0.94	-0.55	0.55	0.06	0.26	0.02	0.35
A_01_P015098	||  || A_01_P015098 ||  || Homo sapiens IKK interacting protein (IKIP), transcript variant 2, mRNA. [NM_201612] ||  ||  || 6274901	-1.68	-1.53	-0.59	-0.49	-0.08	0.29	-0.03	0.62	0.45
A_01_P002134	||  || A_01_P002134 ||  || PREDICTED: Macaca mulatta hypothetical protein LOC700276 (LOC700276), mRNA [XR_010710] ||  ||  || 6288268	-2.8	-2.02	-1.66	-0.18	0.28	-1.52	-0.56	0.11	-0.56
A_01_P006563	||  || A_01_P006563 ||  || ILLUMIGEN_MCQ_28240 Katze_MMBR Macaca mulatta cDNA clone IBIUW:13460 5 similar to Bases 1 to 1005 highly similar to human VTI1B (Hs.419995), mRNA sequence [CN802774] ||  ||  || 6278638	-1.96	-1.35	-1.16	0	0.32	-0.43	0.22	-0.6	-0.66
A_01_P016460	||  || A_01_P016460 ||  || Homo sapiens ubiquitin protein ligase E3A (human papilloma virus E6-associated protein, Angelman syndrome) (UBE3A), transcript variant 3, mRNA [NM_130839] ||  ||  || 6291646	-0.97	-1.65	-1.85	-0.52	-0.2	-0.17	-0.04	0.16	-0.84
A_01_P011892	||  || A_01_P011892 ||  || Homo sapiens KIAA0582 (KIAA0582), mRNA [NM_015147] ||  ||  || 6272179	-0.82	-1.34	-1.82	-0.24	-0.1	0.24	0.17	0.13	-0.7
A_01_P018389	||  || A_01_P018389 ||  || Homo sapiens Ras-like without CAAX 1 (RIT1), mRNA [NM_006912] ||  ||  || 6280283	-0.8	-1.81	-1.2	0.08	-0.31	-0.12	0.08	0.59	-0.41
A_01_P014923	||  || A_01_P014923 ||  || Homo sapiens KIAA1280 protein (KIAA1280), mRNA [NM_015691] ||  ||  || 6276864	-2.39	-1.57	-1.8	-0.51	-0.41	-0.82	-1.38	-0.58	-0.77
A_01_P008938	||  || A_01_P008938 ||  || Homo sapiens diaphanous homolog 1 (Drosophila) (DIAPH1), mRNA. [NM_005219] ||  ||  || 6293558	-0.15	-0.74	-1.23	0.58	0.34	0.56	0.34	0.66	0.03
A_01_P009716	||  || A_01_P009716 ||  || Homo sapiens nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) (NR3C1), mRNA [NM_000176] ||  ||  || 6293676	-0.02	-0.19	0.31	0.55	1.05	0.94	0.85	0.72	0.85
A_01_P000045	||  || A_01_P000045 ||  || Homo sapiens topoisomerase (DNA) III beta (TOP3B), mRNA [NM_003935] ||  ||  || 6279767	-1.39	-1.04	-1.37	-0.76	-0.59	-0.4	-0.17	-0.26	-0.51
A_01_P010882	||  || A_01_P010882 ||  || Homo sapiens synapse associated protein 1, SAP47 homolog (Drosophila) (SYAP1), mRNA. [NM_032796] ||  ||  || 6290381	0.33	-0.68	-1.28	0.32	1.04	1	1.09	1.1	1
A_01_P016106	||  || A_01_P016106 ||  || ILLUMIGEN_MCQ_3236 Katze_MMPL2 Macaca mulatta cDNA 5 similar to human PSG5 (Hs.251850), mRNA sequence [CK232048] ||  ||  || 6285878	-0.01	-0.3	-0.27	0.35	1.76	1.44	1.41	2.03	0.89
A_01_P018874	||  || A_01_P018874 ||  || PREDICTED: Macaca mulatta retinoblastoma-like 2 (p130) (RBL2), mRNA [XR_010204] ||  ||  || 6272205	-1.59	-1.16	-1.6	-0.08	0.81	0.73	0.42	0.38	-1.02
A_01_P014404	||  || A_01_P014404 ||  || Homo sapiens zinc finger protein 294 (ZNF294), mRNA. [NM_015565] ||  ||  || 6271981	-0.79	-1.3	-0.28	0.01	0.47	0.46	0.37	0.05	0.26
A_01_P012694	||  || A_01_P012694 ||  || Homo sapiens mitochondrial elongation factor G1 (EFG1), nuclear gene encoding mitochondrial protein, mRNA [NM_024996] ||  ||  || 6293892	-0.67	-1.49	-0.07	0.12	0.99	0.54	0.84	0.59	0.62
A_01_P001023	||  || A_01_P001023 ||  || Homo sapiens zinc finger and BTB domain containing 1 (ZBTB1), mRNA. [NM_014950] ||  ||  || 6288624	-0.91	-0.67	-0.78	0.29	0.54	-0.4	0.86	0.39	0.45
A_01_P005120	||  || A_01_P005120 ||  || Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 (GNB2L1), mRNA. [NM_006098] ||  ||  || 6276988	-1.23	-0.99	-1.12	0.15	-0.5	0.04	-0.18	-0.29	-0.55
A_01_P011048	||  || A_01_P011048 ||  ||  ||  ||  || 6293392	-1.22	-1.88	-2.2	-1.25	-0.08	-0.24	-0.52	-0.26	-0.15
A_01_P006069	||  || A_01_P006069 ||  || Homo sapiens thymosin-like 3 (TMSL3), mRNA [NM_183049] ||  ||  || 6275550	-1.61	-2.14	-1.63	-0.36	-0.42	-0.5	-0.65	-0.4	-1.41
A_01_P016196	||  || A_01_P016196 ||  || Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 1, mRNA. [NM_014366] ||  ||  || 6291930	-1.8	-2.41	-1.5	-1.03	-0.66	-0.53	-0.49	0.62	-0.13
A_01_P003201	||  || A_01_P003201 ||  || Homo sapiens leucyl/cystinyl aminopeptidase (LNPEP), transcript variant 1, mRNA. [NM_005575] ||  ||  || 6275727	-1.94	-1.26	-1.53	0	0.16	-0.04	-0.6	-0.19	-1.06
A_01_P002634	||  || A_01_P002634 ||  || Homo sapiens retinitis pigmentosa 2 (X-linked recessive) (RP2), mRNA [NM_006915] ||  ||  || 6275812	-0.26	-1.14	-0.42	0	0.86	1.69	1.99	1.25	2.09
A_01_P013262	||  || A_01_P013262 ||  || ILLUMIGEN_MCQ_26551 Katze_MMBR Macaca mulatta cDNA clone IBIUW:8448 5 similar to Bases 2 to 813 highly similar to human Unigene Hs.478826, mRNA sequence [CN646564] ||  ||  || 6292585	-1.94	-1.36	-1.62	-0.19	-0.19	0.16	0.16	0.31	-1.27
A_01_P008694	||  || A_01_P008694 ||  || Homo sapiens alkB, alkylation repair homolog (E. coli) (ALKBH), mRNA [NM_006020] ||  ||  || 6270753	-0.89	-1.33	-0.69	-0.11	-0.18	-0.37	-0.11	-0.16	0.16
A_01_P011973	||  || A_01_P011973 ||  || Homo sapiens ribosomal protein S11 (RPS11), mRNA [NM_001015] ||  ||  || 6281511	-1.39	-0.91	-0.9	-0.09	-0.37	0.09	-0.17	-0.3	-0.48
A_01_P003680	||  || A_01_P003680 ||  || Homo sapiens chromosome 14 open reading frame 79 (C14orf79), mRNA. [NM_174891] ||  ||  || 6274900	-1.5	-2.28	-1.39	-1.04	-0.38	-0.36	-0.53	-0.52	-0.87
A_01_P013090	||  || A_01_P013090 ||  || Homo sapiens ARP3 actin-related protein 3 homolog B (yeast) (ACTR3B), mRNA. [NM_020445] ||  ||  || 6274342	-1.59	-1.41	-0.77	-0.45	-0.42	-0.25	0.12	0.14	0.49
A_01_P005481	||  || A_01_P005481 ||  || Homo sapiens hypothetical protein MGC24132 (MGC24132), mRNA [NM_152396] ||  ||  || 6283763	-1.24	-1.46	-0.83	-0.44	-0.22	-0.44	-0.27	-0.59	-0.37
A_01_P010908	||  || A_01_P010908 ||  || Homo sapiens oxidative-stress responsive 1 (OSR1), mRNA [NM_005109] ||  ||  || 6288424	-1.5	-2.11	-2.53	-1.41	-0.12	-0.23	-0.07	-0.24	-1
A_01_P013125	||  || A_01_P013125 ||  || Homo sapiens E3 identified by differential display (EDD), mRNA [NM_015902] ||  ||  || 6279925	-1.46	-1.75	-2.51	-1.09	-0.81	-0.45	-0.55	-0.65	-1.05
A_01_P012083	||  || A_01_P012083 ||  || ILLUMIGEN_MCQ_9192 Katze_MMBR Macaca mulatta cDNA clone IBIUW:8774 5 similar to Bases 163 to 557 highly similar to human FLJ10853 (Hs.445512), mRNA sequence [CN643967] ||  ||  || 6271227	-1.34	-1.28	-1.64	-0.17	0.24	0.5	0.83	-0.05	-0.93
A_01_P004144	||  || A_01_P004144 ||  || Homo sapiens eukaryotic translation elongation factor 1 alpha 1 (EEF1A1), mRNA [NM_001402] ||  ||  || 6289867	-1.47	-1.46	-1.37	-0.39	-0.52	-0.55	-1	-0.8	-0.78
A_01_P006085	||  || A_01_P006085 ||  || ILLUMIGEN_MCQ_5278 Katze_MMBR Macaca mulatta cDNA clone IBIUW:6059 5 similar to Bases 1 to 887 highly similar to human FLJ10618 (Hs.144130), mRNA sequence [CN802405] ||  ||  || 6271483	-1.33	-1.31	-1.54	0	1.02	0.1	-0.08	-0.77	0.93
A_01_P016650	||  || A_01_P016650 ||  || Homo sapiens myosin VA (heavy polypeptide 12, myoxin) (MYO5A), mRNA. [NM_000259] ||  ||  || 6275288	-2.35	-1.55	-1.81	-0.02	-1.08	-0.78	-0.75	0.28	-0.64
A_01_P017774	||  || A_01_P017774 ||  || Homo sapiens splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila) (SFRS8), transcript variant 2A, mRNA [NM_004592] ||  ||  || 6283321	-2.22	-1.63	-1.79	-0.39	-0.67	-1.24	-0.83	-0.66	-1.2
A_01_P019040	||  || A_01_P019040 ||  || Homo sapiens RAD50 homolog (S. cerevisiae) (RAD50), transcript variant 1, mRNA. [NM_005732] ||  ||  || 6270760	-0.53	-0.83	0.25	0.38	0.77	1.19	1.66	0.99	0.94
A_01_P017785	||  || A_01_P017785 ||  || Homo sapiens spindlin family, member 2 (SPIN2), mRNA [NM_019003] ||  ||  || 6277068	-1.21	-1.52	-1.19	-0.7	-0.22	-0.4	-0.43	-0.69	-0.73
A_01_P016853	||  || A_01_P016853 ||  || Homo sapiens phosphatidylinositol glycan, class V (PIGV), mRNA. [NM_017837] ||  ||  || 6268633	-1.34	-1.43	-1.64	-0.58	0.4	0.68	0.93	0.55	-0.81
A_01_P018757	||  || A_01_P018757 ||  || PREDICTED: Macaca mulatta hypothetical protein LOC711458 (LOC711458), mRNA [XR_012424] ||  ||  || 6280456	-0.64	-1.51	-1.66	0	0.58	-0.47	0.34	0.1	-0.33
A_01_P012312	||  || A_01_P012312 ||  || Homo sapiens zinc finger protein 224 (ZNF224), mRNA. [NM_013398] ||  ||  || 6289881	-1.92	-1.3	-1.55	-0.54	-0.15	-0.15	-1.09	-0.68	-0.43
A_01_P012967	||  || A_01_P012967 ||  || Homo sapiens calcium/calmodulin-dependent protein kinase (CaM kinase) II delta (CAMK2D), transcript variant 4, mRNA [NM_172115] ||  ||  || 6287479	-2.15	-1.71	-1.42	-0.98	0.33	-0.78	-0.33	0.54	0.52
A_01_P018207	||  || A_01_P018207 ||  || Homo sapiens ninein (GSK3B interacting protein) (NIN), transcript variant 4, mRNA [NM_016350] ||  ||  || 6269994	-1.99	-2.05	-1.35	-0.58	-0.65	-1	-1.09	-0.89	-0.29
A_01_P019463	||  || A_01_P019463 ||  || PREDICTED: Macaca mulatta similar to prolyl 4-hydroxylase, beta subunit (LOC714702), mRNA [XR_014011] ||  ||  || 6290758	-1.41	-1.49	-1.42	0.26	-1.1	-0.21	-0.21	0.07	-0.3
A_01_P006190	||  || A_01_P006190 ||  || Homo sapiens hypothetical protein FLJ38973 (FLJ38973), mRNA [NM_153689] ||  ||  || 6269005	-0.69	-1.19	-0.13	0	0.61	0.53	0.71	0.43	1.09
A_01_P004971	||  || A_01_P004971 ||  || PREDICTED: Homo sapiens hypothetical protein DKFZp434H2226 (DKFZp434H2226), mRNA [XM_043863] ||  ||  || 6276053	0.43	-1.21	-0.78	0.48	1.31	0.89	1.41	1.18	0.73
A_01_P000467	||  || A_01_P000467 ||  || Homo sapiens hypothetical protein FLJ10546 (FLJ10546), mRNA [NM_018133] ||  ||  || 6270484	-1.84	-0.85	-0.77	-0.33	1.1	0.58	0.72	0.3	-0.11
A_01_P001587	||  || A_01_P001587 ||  || Homo sapiens Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse) (MDM4), mRNA [NM_002393] ||  ||  || 6279837	-2.32	-2.29	-1.3	-1.18	-0.99	-0.95	-0.69	-0.64	-0.67
