probe set	Gene	Gene	Accession	EntrezGene	CEF NY315/CEF RCAS	CEF SRA/CEF RCAS	CEF SRA/CEF NY315	min p-value
GgaAffx.426.1.S1_s_at	LOC419963	similar to KIAA0727 protein	ENSGALT00000000954.1	419963	0.27	1.04	0.78	0.00535
Gga.18429.1.S1_at	LOC419748	nm23-phosphorylated unknown substrate	BU455168	419748	0.52	1.29	0.77	0.004254
Gga.2528.1.S1_at		Transcribed locus, strongly similar to NP_001038136.1  [Gallus gallus]	BU121979	0	0.48	1.25	0.77	0.011308
GgaAffx.2598.1.S1_at	LOC424424	similar to Soat1-prov protein	ENSGALT00000006690.1	424424	0.34	1.11	0.77	0.022337
GgaAffx.25863.1.S1_at	LOC770767	hypothetical protein LOC770767	ENSGALT00000005451.1	0	0.43	1.18	0.76	0.001109
Gga.5609.1.S1_a_at	LOC426790	similar to clathrin-like protein	BU113977	426790	0.34	1.1	0.76	0.005539
Gga.20023.1.S1_at	C10orf118	CTCL tumor antigen L14-2	CR407487.1	0	0.25	1.01	0.76	0.001102
Gga.19858.1.S1_x_at		Finished cDNA, clone ChEST1011e15	BU119290	0	0.49	1.24	0.75	0.009558
Gga.9159.1.S1_at		Finished cDNA, clone ChEST768j8	CK608275	0	0.47	1.22	0.75	0.000281
Gga.6353.1.S1_at	MGMT	O-6-methylguanine-DNA methyltransferase	BU310040	423965	0.45	1.2	0.75	0.013921
Gga.12888.1.S1_at		Gga.12888.1	BU480675	374138	0.33	1.07	0.75	0.014052
GgaAffx.11399.1.S1_s_at	RCJMB04_1d5	epidermal growth factor receptor pathway substrate 15	AJ719296	424633	0.31	1.06	0.75	0.001131
Gga.14231.1.S1_at		Finished cDNA, clone ChEST120d6	BU386534	0	1.11	1.85	0.74	0.001617
Gga.16450.1.S1_at	GLUD1	glutamate dehydrogenase 1	BU393015	423612	0.5	1.25	0.74	0.005523
Gga.6344.3.S1_a_at	IWS1	IWS1 homolog (S. cerevisiae)	BU247058	424750	0.42	1.16	0.74	0.020407
Gga.17411.1.S1_at		Finished cDNA, clone ChEST619i22	AJ444373	0	0.35	1.09	0.74	0.000237
Gga.17908.1.S1_s_at	CBFB	core-binding factor, beta subunit	BU410070	395257	0.3	1.04	0.74	0.000995
Gga.12245.1.S1_at		Finished cDNA, clone ChEST334o14	BU348553	0	0.72	1.44	0.72	0.000075
GgaAffx.12062.1.S1_s_at	RCJMB04_8m13	Friend leukemia virus integration 1	AJ719959	419723	0.66	1.38	0.72	0.001063
Gga.12082.1.S1_at	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	BU368772	421479	0.48	1.2	0.72	0.000322
GgaAffx.12469.1.S1_s_at	RCJMB04_16d24	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	AJ720366	428772	0.43	1.15	0.72	0.003127
Gga.5607.1.S1_at		Transcribed locus	BU449537	0	0.43	1.14	0.72	0.002176
Gga.3269.1.S1_at		Finished cDNA, clone ChEST1009f15	BU324194	0	0.38	1.1	0.72	0.010862
Gga.19091.1.S1_at		Finished cDNA, clone ChEST1005i19	BU261799	0	0.31	1.03	0.72	0.000797
GgaAffx.21334.1.S1_at		Finished cDNA, clone ChEST613g9	CR523281.1	0	0.87	1.59	0.71	0.001058
Gga.8546.2.S1_at	LOC378902	death domain-containing tumor necrosis factor receptor superfamily member 23	BU422344	378902	0.76	1.48	0.71	0.008786
Gga.9368.1.S1_at	LOC770238	similar to GC box binding protein	BU281873	0	0.53	1.24	0.71	0.012456
GgaAffx.9009.1.A1_at			ENSGALT00000022972.1	0	0.41	1.11	0.71	0.003523
Gga.3263.1.S1_at		Finished cDNA, clone ChEST75j21	CR354333.1	0	0.34	1.05	0.71	0.005605
Gga.6311.1.S1_at	LOC428365	similar to bHLH protein Hesr-1/Hey1	BU464340	428365	0.6	1.3	0.7	0.009988
GgaAffx.24216.1.S1_at	LOC415891	hypothetical LOC415891	ENSGALT00000002200.1	415891	0.48	1.18	0.7	0.002916
Gga.9134.1.S1_at	LOC421685	similar to Interferon-gamma receptor alpha chain precursor (IFN-gamma-R1) (CD119 antigen) (CDw119)	CF256615	0	0.4	1.1	0.7	0.016498
Gga.18195.1.S1_at	LOC417259	similar to chromosome 9 open reading frame 75	BU375091	417259	0.37	1.08	0.7	0.008681
Gga.19704.1.S1_at		Finished cDNA, clone ChEST722m7	CR406523.1	0	0.36	1.06	0.7	0.000469
GgaAffx.22422.1.S1_s_at	AMOT	angiomotin	ENSGALT00000012915.1	422336	0.41	1.1	0.69	0.001158
GgaAffx.5401.1.S1_at	LOC423890	similar to MGC84792 protein	ENSGALT00000013973.1	423890	0.32	1.02	0.69	0.014628
Gga.3175.1.S1_at	LOC427171	similar to Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase p85-subunit alpha) (PtdIns-3-kinase p85-alpha) (PI3K)	BU434081	0	0.52	1.2	0.68	0.000029
Gga.12071.1.S1_at		Finished cDNA, clone ChEST189o19	BU457106	0	0.35	1.03	0.68	0.003676
Gga.3723.1.S2_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	BU141218	396394	0.75	1.41	0.66	0.001105
GgaAffx.26088.2.S1_s_at	NAV2	neuron navigator 2	ENSGALT00000006371.1	422977	0.44	1.1	0.66	0.015118
Gga.19132.1.S1_at		Finished cDNA, clone ChEST731m7	BU212477	0	0.36	1.02	0.66	0.012571
GgaAffx.21844.1.S1_s_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	NM_001001615.1	414745	0.39	1.04	0.65	0.015456
Gga.12514.1.S1_a_at	LOC395611	Glutathione S-transferase class-alpha	AF133252.1	395611	0.64	1.28	0.64	0.000454
GgaAffx.21202.1.S1_at	Finished cDNA, clone ChEST695g12	Finished cDNA, clone ChEST695g12	CR523413.1	0	0.38	1.01	0.64	0.001668
Gga.2954.1.S1_at	LOC420562	hypothetical LOC420562	BU424441	0	0.52	1.14	0.63	0.000219
Gga.13722.1.A1_at		Finished cDNA, clone ChEST971j4	CR338811.1	0	0.4	1.02	0.62	0.009325
Gga.15910.1.S1_at		Finished cDNA, clone ChEST225o19	CR386411.1	0	0.57	1.17	0.61	0.000096
Gga.16825.1.S1_at		Finished cDNA, clone ChEST983k15	CR391536.1	0	0.43	1.02	0.6	0.000696
Gga.13534.1.S1_at		Finished cDNA, clone ChEST642h15	BU445618	0	0.84	1.43	0.59	0.001271
Gga.3199.1.S1_at	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	NM_204420.1	386583	0.69	1.29	0.59	0.008088
Gga.17227.1.S1_at		Finished cDNA, clone ChEST653e12	BU391605	0	0.46	1.05	0.59	0.000582
Gga.10465.1.S1_s_at	GPR65	G protein-coupled receptor 65	CF257416	423395	0.46	1.04	0.58	0.000405
Gga.17564.1.S1_at	LRRCC1	leucine rich repeat and coiled-coil domain containing 1	BU357762	420205	0.44	1.01	0.57	0.007253
Gga.14598.1.S1_at		Finished cDNA, clone ChEST23f17	CR387417.1	0	0.54	1.1	0.56	0.004463
GgaAffx.5584.2.S1_s_at	LOC422379	similar to TIGIRR-1	ENSGALT00000014449.1	422379	0.49	1.04	0.55	0.005472
Gga.16618.1.S1_at	LOC421665	hypothetical LOC421665	CN232561	421665	0.45	1	0.55	0.007227
Gga.2171.1.S1_at	LOC423805	similar to myoferlin	BU215544	0	0.69	1.23	0.54	0.000433
Gga.4878.1.S1_at	RPL7	ribosomal protein L7	BU134111	420182	0.65	1.19	0.54	0.000645
Gga.3530.1.S1_at	LRPAP1	low density lipoprotein receptor-related protein associated protein 1	NM_205062.1	395936	0.52	1.05	0.53	0.00152
Gga.12909.1.S1_at	RHPN2	rhophilin, Rho GTPase binding protein 2	BX950597.2	415771	0.76	1.27	0.51	0.005518
Gga.17658.1.S1_at		Finished cDNA, clone ChEST693d2	CR388829.1	0	0.58	1.09	0.51	0.004835
Gga.6299.1.S1_s_at	PRPSAP2	phosphoribosyl pyrophosphate synthetase-associated protein 2	BU222336	416521	0.57	1.07	0.51	0.00288
Gga.4092.1.S1_at	RCJMB04_1d5	epidermal growth factor receptor pathway substrate 15	AL588743	424633	0.7	1.2	0.5	0.003684
GgaAffx.25117.1.S1_s_at	LOC418789	similar to KIAA0996 protein	ENSGALT00000027302.1	418789	0.64	1.13	0.5	0.001682
GgaAffx.25246.2.S1_at	LOC419071 /// LOC768661	similar to DRE1 protein /// similar to similar to DRE1 protein	ENSGALT00000028009.1	419071	0.69	1.17	0.49	0.001106
Gga.235.1.S1_at	NPAS2	neuronal PAS domain protein 2	AF396828.1	395433	0.59	1.07	0.48	0.001109
Gga.17610.1.S1_at	LOC423737	similar to Ca2+/calmodulin-dependent protein kinase (EC 2.7.1.123) II gamma-E - human	BU411545	0	0.66	1.13	0.47	0.000999
Gga.15987.1.S1_at		Finished cDNA, clone ChEST481o6	BU324765	0	0.75	1.21	0.46	0.002599
GgaAffx.6546.1.S1_at	LOC422513	similar to hect domain and RLD 5; cyclin-E binding protein 1	ENSGALT00000016876.1	422513	0.63	1.02	0.39	0.001205
Gga.15842.1.S1_s_at	SYNE1	spectrin repeat containing, nuclear envelope 1	BU461222	421640	-0.69	-1.02	-0.34	0.000069
Gga.15301.1.A1_at		Finished cDNA, clone ChEST400a23	CR385122.1	0	-0.8	-1.19	-0.39	0.000275
GgaAffx.9411.1.S1_s_at	LOC427181	similar to homer-1b	ENSGALT00000023918.1	427181	-0.58	-1	-0.42	0.000316
Gga.13445.1.S1_a_at	NEXN	nexilin	CR407225.1	424552	-0.59	-1.01	-0.42	0.012302
Gga.6814.1.S1_s_at	LOC417374	similar to integrin beta 4	BX273246	0	-0.61	-1.03	-0.42	0.002038
GgaAffx.9143.3.S1_s_at	LOC771556 /// LOC777101	similar to GT334 protein /// similar to TMEM1	ENSGALT00000009260.1	771556	-0.63	-1.05	-0.42	0.001433
GgaAffx.21345.1.S1_s_at	CAMSAP1L1	calmodulin regulated spectrin-associated protein 1-like 1	CR523270.1	0	-0.66	-1.08	-0.42	0.00204
Gga.5576.1.S1_a_at	LOC417946 /// LOC417950 /// LOC427884 /// LOC770005 /// LOC770079 /// LOC770142	germinal histone H4 gene /// similar to germinal histone H4 gene /// similar to histone H4	BX275542	417946 /// 417950 /// 417953 /// 427884	-0.58	-1.01	-0.43	0.001913
Gga.13892.1.S1_at		Finished cDNA, clone ChEST603h24	BU302522	0	-0.57	-1.02	-0.44	0.003824
Gga.17349.1.S1_at		Finished cDNA, clone ChEST748d15	CR390957.1	0	-0.63	-1.07	-0.44	0.000957
Gga.873.2.S1_a_at	LOC396522	calponin alpha	M63560.1	396522	-0.74	-1.19	-0.44	0.000822
Gga.15297.1.S1_at	LOC427353	hypothetical gene supported by CR385130	CR385130.1	427353	-0.67	-1.12	-0.45	0.00036
Gga.9927.1.S1_at		Finished cDNA, clone ChEST474o21	BU425973	0	-0.59	-1.05	-0.46	0.007531
Gga.3852.1.S2_s_at	RHOB	ras homolog gene family, member B	NM_204909.1	395734	-0.54	-1.01	-0.47	0.000995
Gga.10754.1.A1_at		Finished cDNA, clone ChEST497i4	BX932669.1	0	-0.56	-1.03	-0.47	0.003385
GgaAffx.24095.1.S1_at	LOC425076 /// LOC425461 /// LOC425574 /// LOC425837 /// LOC425951 /// LOC426229 /// LOC426526 /// LOC427027 /// LOC427028 /// LOC429203 /// LOC429204 /// LOC429266 /// LOC429307 /// LOC429310 /// LOC429491 /// LOC429522 /// LOC429532 /// LOC429580 /// LOC429627 /// LOC429636 /// LOC429670 /// LOC429740 /// LOC429812 /// LOC429893 /// LOC429924 /// LOC429973 /// LOC430076 /// LOC430092 /// LOC430138 /// LOC430139 /// LOC430141 /// LOC430223 /// LOC430225 /// LOC430234 /// LOC430249 /// LOC430334 /// LOC430426 /// LOC430434 /// LOC430452 /// LOC430461 /// LOC430470 /// LOC430494 /// LOC430520 /// LOC430544 /// LOC430571 /// LOC430592 /// LOC430594 /// LOC430596 /// LOC430624 /// LOC430677 /// LOC430686 /// LOC430699 /// LOC430725 /// LOC430730 /// LOC430778 /// LOC430792 /// LOC430804 /// LOC430861 /// LOC430941 /// LOC430973 /// LOC431069 /// LOC431147 /// LOC431474 /// LOC431492 /// LOC768730 /// LOC769376 /// LOC770220 /// LOC770282 /// LOC770514 /// LOC771508 /// LOC771770 /// LOC771911 /// LOC771918 /// LOC772390 /// LOC776171 /// LOC776174 /// LOC776180 /// LOC776196 /// LOC776203 /// LOC776232 /// LOC776235 /// LOC776312 /// LOC776410 /// LOC776492 /// LOC776493 /// LOC776558 /// LOC776568 /// LOC776703 /// LOC776714 /// LOC776780 /// LOC776841 /// LOC776852 /// LOC776855 /// LOC776865 /// LOC776910 /// LOC777023 /// LOC777041 /// LOC777046 /// LOC777047 /// LOC777052 /// LOC777084 /// LOC777125 /// LOC777195 /// LOC777210 /// LOC777279 /// LOC777283 /// LOC777288 /// LOC777291 /// LOC777305 /// LOC777314 /// LOC777496	similar to seven transmembrane helix receptor /// similar to olfactory receptor, family 5, subfamily U member 1 /// similar to olfactory receptor 5 /// similar to Olfactory receptor 125 /// similar to olfactory receptor MOR220-1 /// similar to olfactory receptor 115 /// similar to olfactory receptor MOR218-8 /// similar to olfactory receptor Olr1690 /// similar to olfactory receptor Olr1708 /// similar to olfactory receptor OR1-45 /// similar to olfactory receptor Olr877	ENSGALT00000018626.1	0	-0.56	-1.03	-0.47	0.000281
Gga.19842.1.A1_at		Finished cDNA, clone ChEST1002e22	BU204298	0	-0.64	-1.11	-0.47	0.002707
Gga.15272.1.A1_at		Finished cDNA, clone ChEST539g23	CR385212.1	0	-0.92	-1.39	-0.47	0.000149
Gga.16250.1.S1_a_at		Finished cDNA, clone ChEST923o19	CR385971.1	0	-0.95	-1.42	-0.47	0.000217
GgaAffx.5321.2.S1_at	LOC421244	similar to potassium-dependent Na/Ca exchanger NCKX3	ENSGALT00000013757.1	421244	-0.58	-1.05	-0.48	0.002626
Gga.5354.1.S1_at		Finished cDNA, clone ChEST592m10	CR388523.1	0	-0.61	-1.08	-0.48	0.000864
GgaAffx.1558.1.S1_at	LOC424771	hypothetical LOC424771	ENSGALT00000003699.1	424771	-0.7	-1.18	-0.48	0.003454
GgaAffx.4573.1.A1_at			ENSGALT00000011869.1	0	-0.92	-1.41	-0.49	0.000001
Gga.3398.1.S1_a_at	PITX2	paired-like homeodomain transcription factor 2	AF077092.1	395862	-0.62	-1.11	-0.5	0.00017
GgaAffx.24072.1.S1_at	SYNE1	spectrin repeat containing, nuclear envelope 1	ENSGALT00000021176.1	421640	-0.63	-1.13	-0.5	0.003403
Gga.372.1.A1_x_at			AF175444.1	0	-0.65	-1.15	-0.5	0.012373
GgaAffx.7165.1.S1_at	LOC426312	similar to N-acetylglucosamine-6-sulfatase	ENSGALT00000018381.1	0	-0.51	-1.02	-0.51	0.000333
Gga.72.2.S1_a_at	CAPN3	calpain 3, (p94)	BX933300.2	423233	-0.52	-1.03	-0.51	0.002262
GgaAffx.24228.1.A1_at			ENSGALT00000022122.1	0	-0.68	-1.19	-0.51	0.013299
Gga.10621.1.S1_s_at	PPFIA2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	BU282611	417877	-0.51	-1.03	-0.52	0.008903
Gga.12635.2.S1_a_at	LOC428459	similar to ARPP-21 protein	BX930025.1	0	-0.6	-1.12	-0.52	0.001118
GgaAffx.22673.1.S1_at	LOC419708	hypothetical LOC419708	ENSGALT00000001417.1	419708	-0.57	-1.1	-0.53	0.001279
GgaAffx.10968.8.S1_at	LOC418936	hypothetical LOC418936	ENSGALT00000027636.1	418936	-0.78	-1.3	-0.53	0.002485
GgaAffx.24944.1.S1_at	PXDN	peroxidasin homolog (Drosophila)	ENSGALT00000026413.1	421914	-0.49	-1.02	-0.54	0.002324
GgaAffx.1910.1.S1_at	LOC424790	hypothetical LOC424790	ENSGALT00000004736.1	424790	-0.54	-1.08	-0.54	0.014495
GgaAffx.4921.3.S1_s_at	RCJMB04_3a6	B-cell CLL/lymphoma 11A (zinc finger protein)	ENSGALT00000012767.1	421199	-0.62	-1.15	-0.54	0.000395
Gga.974.1.S1_at	MAFA	v-maf musculoaponeurotic fibrosarcoma oncogene homolog A	NM_205025.1	395881	-0.81	-1.35	-0.54	0.000806
Gga.18632.1.S1_at	LOC771426	hypothetical protein LOC771426	CR391125.1	0	-0.54	-1.09	-0.55	0.000791
Gga.11492.1.S1_at	ZAK	sterile alpha motif and leucine zipper containing kinase AZK	BX933897.2	424149	-0.5	-1.06	-0.56	0.002555
Gga.9443.1.A1_at	CNR1	Cannabinoid receptor 1 (brain)	L48922.1	0	-0.53	-1.08	-0.56	0.00202
Gga.11877.1.S1_a_at		Finished cDNA, clone ChEST334d18	CR406566.1	0	-0.56	-1.13	-0.56	0.001655
Gga.19409.1.S1_at	LOC418752	similar to Collagen alpha-2(IV) chain	BU312654	418752	-0.97	-1.53	-0.56	0.000173
GgaAffx.4252.1.S1_s_at	LOC419301	similar to putative porin	ENSGALT00000011047.1	419301	-1.01	-1.57	-0.56	0.002825
Gga.1611.1.A1_at		Transcribed locus	AL587669	0	-0.5	-1.07	-0.57	0.001624
GgaAffx.10854.1.S1_at	LOC428066	hypothetical LOC428066	ENSGALT00000027404.1	428066	-0.53	-1.1	-0.57	0.003424
GgaAffx.23721.2.S1_s_at	PDE5A	phosphodiesterase 5A, cGMP-specific	ENSGALT00000019547.1	422677	-0.68	-1.25	-0.57	0.003569
Gga.7531.1.S1_at	LOC768634	hypothetical protein LOC768634	BU234430	0	-0.43	-1.02	-0.58	0.000802
Gga.3698.1.A1_s_at	LOC416899	hypothetical LOC416899	BU460682	416899	-0.45	-1.02	-0.58	0.00043
Gga.6804.1.A1_s_at	RCJMB04_21h11	hypothetical protein LOC768701	BX272059	768701	-0.67	-1.25	-0.58	0.000166
GgaAffx.5058.1.S1_s_at	LOC415565	similar to NOX5 protein	ENSGALT00000013091.1	415565	-0.72	-1.3	-0.58	0.004594
Gga.7092.1.S1_at	LOC423781	similar to FLJ00156 protein	CF258035	423781	-0.77	-1.35	-0.58	0.000321
Gga.19713.1.S1_at		Finished cDNA, clone ChEST1023l3	CR406545.1	0	-1.07	-1.65	-0.58	0.000119
Gga.7765.1.S1_at	LOC429123	hypothetical LOC429123	BU446089	0	-0.51	-1.09	-0.59	0.000681
GgaAffx.4071.1.S1_at	LOC415487	similar to adipocyte lipid droplet binding protein	ENSGALT00000010561.1	415487	-0.51	-1.1	-0.59	0.000021
GgaAffx.22392.1.S1_at	LOC419794	similar to hypothetical protein FLJ10726	ENSGALT00000012801.1	419794	-0.58	-1.16	-0.59	0.00391
GgaAffx.9185.1.A1_at	LOC418282	similar to C530028O21Rik protein	ENSGALT00000023353.1	418282	-0.44	-1.04	-0.6	0.001481
Gga.2409.1.S1_at	WDR1	WD repeat domain 1	AF020054.1	422842	-0.52	-1.12	-0.6	0.0026
Gga.17304.1.S1_at		Finished cDNA, clone ChEST983b4	CR389396.1	0	-0.55	-1.15	-0.6	0.000816
GgaAffx.5453.1.S1_at	LOC423220	similar to MGA protein	ENSGALT00000014096.1	423220	-0.58	-1.18	-0.6	0.002247
Gga.1247.1.S2_at			X92865.1	0	-0.68	-1.28	-0.6	0.00238
GgaAffx.23472.2.S1_at		Finished cDNA, clone ChEST203g4	ENSGALT00000018200.1	428437	-0.86	-1.46	-0.6	0.000657
GgaAffx.5125.1.A1_at			ENSGALT00000013274.1	0	-1.05	-1.65	-0.6	0.001117
GgaAffx.4378.1.S1_at			ENSGALT00000011331.1	0	-0.4	-1.01	-0.61	0.003194
Gga.9469.1.S1_at		Finished cDNA, clone ChEST234e18	CR386937.1	0	-0.44	-1.05	-0.61	0.01558
Gga.677.2.S1_a_at	GNOT1	Gnot1 homeodomain protein	X82575.1	396302	-0.48	-1.09	-0.61	0.000583
Gga.1039.1.S1_at	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NM_204315.1	374209	-0.83	-1.44	-0.61	0.010263
Gga.15016.1.S1_s_at	PTCHD2	patched domain containing 2	CR386085.1	419497	-0.4	-1.02	-0.62	0.000945
GgaAffx.20336.1.S1_at		Finished cDNA, clone ChEST39e22	CR524279.1	0	-0.51	-1.13	-0.62	0.001573
GgaAffx.3475.1.A1_at			ENSGALT00000008893.1	0	-0.61	-1.22	-0.62	0
GgaAffx.23308.3.S1_s_at	CCDC88C	coiled-coil domain containing 88C	ENSGALT00000017435.1	423410	-1.17	-1.8	-0.62	0.000073
Gga.2770.2.S1_s_at	RCJMB04_16e8	similar to Protein C18orf1	BU284021	421044	-0.39	-1.02	-0.63	0
Gga.3133.2.S1_a_at	CRMP1	collapsin response mediator protein 1	AF301547.1	395156	-0.43	-1.07	-0.63	0.00027
Gga.469.2.A1_at		Finished cDNA, clone ChEST225i2	BU425340	0	-0.49	-1.12	-0.63	0.012619
Gga.7140.2.S1_s_at	RCJMB04_3a16	FXYD domain containing ion transport regulator 6	BU132646	0	-0.57	-1.21	-0.63	0.010769
Gga.8296.2.S1_a_at	LOC424241	hypothetical LOC424241	BU387398	0	-0.74	-1.37	-0.63	0.004809
Gga.1789.1.S1_at		Transcribed locus	BI067209	0	-0.43	-1.07	-0.64	0.000364
GgaAffx.23500.1.S1_s_at	INHA	inhibin, alpha	ENSGALT00000018323.1	424197	-1.14	-1.78	-0.64	0.000371
Gga.9316.1.S1_at	HS6ST1	heparan sulfate 6-O-sulfotransferase 1	NM_204482.1	395141	-0.39	-1.05	-0.65	0.004338
Gga.16690.1.S1_s_at	RCJMB04_3h8	similar to down-regulated by Ctnnb1, a	BU351799	420611	-0.5	-1.14	-0.65	0.004813
Gga.5816.1.S1_at	LOC428738	similar to RBP-MS/type 1	BU276833	428738	-0.55	-1.2	-0.65	0.001846
GgaAffx.3061.1.S1_s_at	LOC417624	similar to Doc2 beta	ENSGALT00000007866.1	417624	-0.57	-1.22	-0.65	0.002171
Gga.5557.1.S1_s_at	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	NM_204479.1	395138	-0.41	-1.07	-0.66	0.002606
Gga.8151.1.S1_at	Finished cDNA, clone ChEST1019g14	Finished cDNA, clone ChEST1019g14	BX260719	0	-0.44	-1.1	-0.66	0.008373
Gga.1644.1.S1_a_at	MGLL	monoglyceride lipase	AL587850	0	-0.51	-1.17	-0.66	0.003622
GgaAffx.5529.1.S1_at	LOC423895	similar to Glycerol-3-phosphate acyltransferase, mitochondrial	ENSGALT00000014299.1	423895	-0.85	-1.51	-0.66	0.000017
Gga.10069.1.A1_at	RCJMB04_23o9	Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	BX935675.2	415846	-0.9	-1.56	-0.66	0.00031
Gga.13585.1.S1_at	FAM20A	family with sequence similarity 20, member A	BX934750.1	417439	-1	-1.66	-0.66	0.003496
Gga.2513.1.S1_at	FTCD	formiminotransferase cyclodeaminase	NM_204903.1	395726	-0.36	-1.04	-0.67	0.003825
GgaAffx.8907.1.S1_at			ENSGALT00000022709.1	0	-0.4	-1.06	-0.67	0.00153
Gga.18616.1.S1_at		Finished cDNA, clone ChEST208p12	CR391090.1	0	-0.51	-1.18	-0.67	0.000062
Gga.17995.1.A1_at		Finished cDNA, clone ChEST730o3	CR389311.1	0	-0.67	-1.34	-0.67	0.000002
Gga.5690.1.S1_s_at	LOC768866	hypothetical protein LOC768866	BU352189	768866	-0.68	-1.35	-0.67	0.000086
GgaAffx.24457.1.S1_at	LOC431066	hypothetical LOC431066	ENSGALT00000023495.1	431066	-1.26	-1.92	-0.67	0.000389
GgaAffx.1684.1.S1_at	LOC419891	similar to fanconi anemia protein E	ENSGALT00000004046.1	419891	-0.36	-1.04	-0.68	0.010848
Gga.9228.1.S1_at	CAMSAP1L1	calmodulin regulated spectrin-associated protein 1-like 1	CK608702	0	-0.36	-1.05	-0.68	0.008272
Gga.19449.1.S1_at		Finished cDNA, clone ChEST746n22	CR407090.1	0	-0.58	-1.26	-0.68	0.004547
Gga.8200.1.S1_at	SLC16A10	solute carrier family 16, member 10 (aromatic amino acid transporter)	BU391632	0	-1.04	-1.72	-0.68	0.00067
GgaAffx.12794.1.S1_at	RCJMB04_23i19	similar to DYRK2 protein	AJ720691	427864	-0.75	-1.44	-0.69	0.002154
Gga.8336.1.S1_s_at	RCJMB04_21h11	hypothetical protein LOC768701	BU304338	768701	-0.75	-1.44	-0.69	0.000939
Gga.10205.1.S1_s_at	LOC422264	similar to protocadherin	BX935027.2	0	-0.78	-1.48	-0.69	0.000275
GgaAffx.1321.1.S1_x_at	LOC770563	hypothetical protein LOC770563	ENSGALT00000003109.1	420099	-0.91	-1.6	-0.69	0.004772
Gga.2956.1.S1_at	IL22RA1	interleukin 22 receptor, alpha 1	BX934914.1	419692	-0.32	-1.02	-0.7	0.004322
Gga.595.1.S1_at	NELL2	NEL-like 2	D86747.1	417799	-0.36	-1.06	-0.7	0.001123
Gga.3142.1.S1_at	TDG	thymine-DNA glycosylase	NM_204750.1	395510	-0.39	-1.09	-0.7	0.007246
GgaAffx.2655.2.S1_s_at			ENSGALT00000006817.1	0	-0.51	-1.21	-0.7	0.013046
GgaAffx.24944.3.S1_s_at	PXDN	peroxidasin homolog (Drosophila)	ENSGALT00000026414.1	421914	-0.57	-1.28	-0.7	0.001034
GgaAffx.3860.1.S1_at	LOC770787	similar to Four and a half LIM domains a	ENSGALT00000009988.1	0	-0.74	-1.44	-0.7	0.000143
GgaAffx.2460.2.S1_at	LOC415387	hypothetical LOC415387	ENSGALT00000006289.1	415387	-0.77	-1.47	-0.7	0.001691
Gga.1602.1.S1_at	LOC420075	similar to CDNA sequence BC072620	AL587641	420075	-0.42	-1.13	-0.71	0.000716
GgaAffx.20334.1.S1_at	RCJMB04_18a15	PDZ and LIM domain 5	CR524281.1	422699	-0.46	-1.17	-0.71	0.002836
Gga.19409.1.S1_s_at	LOC418752	similar to Collagen alpha-2(IV) chain	BU312654	418752	-0.53	-1.24	-0.71	0.004609
Gga.18643.1.S1_s_at	LOC768444	similar to voltage-gated calcium channel alpha2/delta-1 subunit	CR391148.1	0	-0.59	-1.31	-0.71	0.007271
Gga.409.1.S1_at	WNT5A	wingless-type MMTV integration site family, member 5A	NM_204887.1	395703	-0.55	-1.27	-0.72	0.000653
Gga.13449.1.S1_s_at	LOC420567	similar to Sarcoglycan, epsilon	BU351324	420567	-0.34	-1.07	-0.73	0.001697
Gga.2980.1.S1_at	IRX2	iroquois homeobox protein 2	BU292747	373975	-0.42	-1.14	-0.73	0.008643
GgaAffx.25096.1.S1_at	TMTC4	transmembrane and tetratricopeptide repeat containing 4	ENSGALT00000027257.1	418772	-0.49	-1.23	-0.73	0.000102
Gga.14767.1.S1_at		Finished cDNA, clone ChEST162j2	BU389296	0	-0.55	-1.27	-0.73	0.00285
Gga.15576.1.S1_at		Transcribed locus	CN231936	0	-0.63	-1.36	-0.73	0.028688
GgaAffx.25421.1.S1_s_at	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4	ENSGALT00000003429.1	424761	-0.84	-1.57	-0.73	0.000366
GgaAffx.11147.1.S1_at	LOC428528	similar to desmoglein 4 preproprotein	ENSGALT00000028086.1	428528	-0.27	-1.01	-0.74	0.000719
GgaAffx.5085.4.S1_at	LOC429153	hypothetical LOC429153	ENSGALT00000013160.1	429153	-0.34	-1.08	-0.74	0.01373
Gga.18300.1.S1_at	SLITRK2	SLIT and NTRK-like family, member 2	BU110871	422396	-0.54	-1.27	-0.74	0.006824
GgaAffx.8193.1.S1_at	LOC771862	hypothetical protein LOC771862	ENSGALT00000021110.1	0	-0.66	-1.4	-0.74	0.019385
