Gene symbol	Probe set	P-Value	FDR	SP / MP Ratio	UG cluster	Map	Description
IRAK2	231779_at	0.0025569	0.357325	-2.5	Hs.449207	3p25.3	interleukin-1 receptor-associated kinase 2 (IRAK2), mRNA.
LOC731149	213310_at	0.002646	0.357325	-2.5		8	PREDICTED: hypothetical protein LOC731149 (LOC731149), mRNA.
SOCS3	227697_at	0.0030365	0.357325	-2.5	Hs.527973	17q25.3	suppressor of cytokine signaling 3 (SOCS3), mRNA.
CD44	229221_at	0.003262	0.357325	-2.5	Hs.502328	11p13	CD44 molecule (Indian blood group)
CXCL1	204470_at	0.0035384	0.357325	-2.5	Hs.789	4q21	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA.
FLNA	213746_s_at	0.0037992	0.357325	-2.5	Hs.195464	Xq28	Filamin A, alpha (actin binding protein 280)
NKX3-1	209706_at	0.003835	0.357325	-2.5	Hs.55999	8p21	NK3 transcription factor related, locus 1 (Drosophila) (NKX3-1), mRNA.
PTGER4	204897_at	0.0042544	0.357325	-2.5	Hs.199248	5p13.1	prostaglandin E receptor 4 (subtype EP4) (PTGER4), mRNA.
NFKB1	209239_at	0.0042565	0.357325	-2.5	Hs.654408	4q24	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105) (NFKB1), mRNA.
PARD6B	235165_at	0.0048958	0.357325	-2.5	Hs.589848	20q13.13	par-6 partitioning defective 6 homolog beta (C. elegans) (PARD6B), mRNA.
JUN	201465_s_at	0.0049795	0.357325	-2.5	Hs.525704	1p32-p31	jun oncogene (JUN), mRNA.
SLC22A1	207201_s_at	0.0051139	0.357325	-2.5	Hs.117367	6q26	solute carrier family 22 (organic cation transporter), member 1 (SLC22A1), transcript variant 1, mRNA.
TRIM36	219736_at	0.0051207	0.357325	-2.5	Hs.519514	5q22.3	tripartite motif-containing 36 (TRIM36), transcript variant 1, mRNA.
MAP3K8	205027_s_at	0.0051416	0.357325	-2.5	Hs.432453	10p11.23	mitogen-activated protein kinase kinase kinase 8 (MAP3K8), mRNA.
KCNJ2	206765_at	0.0052416	0.357325	-2.5	Hs.1547	17q23.1-q24.2	potassium inwardly-rectifying channel, subfamily J, member 2 (KCNJ2), mRNA.
AMPD3	207992_s_at	0.0052596	0.357325	-2.5	Hs.501890	11p15	adenosine monophosphate deaminase (isoform E) (AMPD3), transcript variant 2, mRNA.
CD83	204440_at	0.0060488	0.357325	-2.5	Hs.654558	6p23	CD83 molecule (CD83), transcript variant 2, mRNA.
CDC42EP3	209288_s_at	0.0062956	0.357325	-2.5	Hs.369574	2p21	CDC42 effector protein (Rho GTPase binding) 3 (CDC42EP3), mRNA.
IBRDC2	228153_at	0.0068917	0.357325	-2.5	Hs.148741	6p22.3	IBR domain containing 2 (IBRDC2), mRNA.
SLC25A37	221920_s_at	0.0076926	0.357325	-2.5	Hs.122514	8p21.2	solute carrier family 25, member 37 (SLC25A37), mRNA.
C6orf141	1554314_at	0.0077573	0.357325	-2.5	Hs.485528	6p12.3	Chromosome 6 open reading frame 141
SLC25A37	242335_at	0.0078932	0.357325	-2.5	Hs.122514	8p21.2	solute carrier family 25, member 37 (SLC25A37), mRNA.
YPEL2	227020_at	0.0083747	0.357325	-2.5	Hs.463613	17q22	yippee-like 2 (Drosophila) (YPEL2), mRNA.
PMAIP1	204285_s_at	0.0086491	0.3587368	-2.5	Hs.96	18q21.32	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA.
SLC25A37	226179_at	0.0002069	0.233361	-3.3333333	Hs.596025	8p21.2	Solute carrier family 25, member 37
NFKBIZ	223217_s_at	0.0002939	0.2454125	-3.3333333	Hs.319171	3p12-q12	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta (NFKBIZ), transcript variant 2, mRNA.
LOC286109	1561042_at	0.0008453	0.3119901	-3.3333333	Hs.660189	8q24.3	Hypothetical protein LOC286109
ELAVL2	228260_at	0.0023528	0.357325	-3.3333333	Hs.166109	9p21	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B) (ELAVL2), mRNA.
ARL5B	242727_at	0.0032482	0.357325	-3.3333333	Hs.25362	10p12.33	ADP-ribosylation factor-like 5B (ARL5B), mRNA.
TUBB2B	214023_x_at	0.0052731	0.357325	-3.3333333	Hs.300701	6p25	Tubulin, beta 2B
DAGLB	225833_at	0.0054754	0.357325	-3.3333333	Hs.487498	7p22.1	diacylglycerol lipase, beta (DAGLB), mRNA.
GEM	204472_at	0.005674	0.357325	-3.3333333	Hs.654463	8q13-q21	GTP binding protein overexpressed in skeletal muscle (GEM), transcript variant 2, mRNA.
TNFAIP8	210260_s_at	0.0059345	0.357325	-3.3333333	Hs.656274	5q23.1	tumor necrosis factor, alpha-induced protein 8 (TNFAIP8), transcript variant 2, mRNA.
FAM110C	226863_at	0.0061139	0.357325	-3.3333333	Hs.8379	2p25.3	Family with sequence similarity 110, member C
CXCL3	207850_at	0.0072672	0.357325	-3.3333333	Hs.89690	4q21	chemokine (C-X-C motif) ligand 3 (CXCL3), mRNA.
MYLIP	223130_s_at	0.0073454	0.357325	-3.3333333	Hs.484738	6p23-p22.3	myosin regulatory light chain interacting protein (MYLIP), mRNA.
ACRC	238825_at	0.0017121	0.357325	-5	Hs.135167	Xq13.1	acidic repeat containing (ACRC), mRNA.
TNFAIP3	202643_s_at	0.0074935	0.357325	-5	Hs.591338	6q23	tumor necrosis factor, alpha-induced protein 3 (TNFAIP3), mRNA.
NR4A2	216248_s_at	0.0082576	0.357325	-5	Hs.563344	2q22-q23	nuclear receptor subfamily 4, group A, member 2 (NR4A2), transcript variant 4, mRNA.
CXCL2	209774_x_at	0.0099216	0.3735558	-5	Hs.590921	4q21	chemokine (C-X-C motif) ligand 2 (CXCL2), mRNA.
