Curated Gene Symbol	Gene ID	Symbol	Z score Advac	Z score AdE2
PLEKHH3	NM_024927	FLJ21019	1.445810007	-0.769981523
ACOT2	NM_006821	ZAP128	1.483187617	-0.763163702
PDLIM7	NM_005451	PDLIM7	1.928435326	-0.753928066
GKAP1	NM_025211	GKAP1	1.393103183	-0.751466017
IQSEC1	NM_014869	KIAA0763	1.689903792	-0.748955173
ISYNA1	NM_016368	ISYNA1	1.856349665	-0.743519596
LENEP	NM_018655	LENEP	1.503894074	-0.733477471
HDHD1	NM_012080	FAM16AX	1.278779172	-0.732777098
GALNT10	NM_017540	GALNT10	2.047086978	-0.731065594
DUSP14	NM_007026	DUSP14	1.29397415	-0.726296089
PALM2	NM_007203	PALM2	1.361452139	-0.725179405
FAM134A	NM_024293	C2orf17	1.399603156	-0.720485426
KLF3	NM_016531	KLF3	2.194796817	-0.712024375
CLGN	NM_004362	CLGN	1.510553149	-0.709701521
RBM47	NM_019027	FLJ20273	1.566592008	-0.707943898
MARCO	NM_006770	MARCO	1.418804297	-0.704004261
GSTP1	NM_000852	GSTP1	2.752088003	-0.702931159
ACAT1	NM_000019	ACAT1	1.843278205	-0.696319453
PRRX1	NM_022716	PRRX1	1.529086938	-0.695294958
	XM_017096		1.948639387	-0.694603752
CYP4B1	NM_000779	CYP4B1	1.476003473	-0.694361788
NT5C3	NM_016489	NT5C3	2.911987914	-0.69254003
PPAP2C	NM_003712	PPAP2C	1.580783729	-0.689728251
SP110	NM_080424	SP110	1.48665407	-0.6878334
USE1	NM_018467	MDS032	1.720251652	-0.66502013
ARMC8	NM_015396	HSPC056	1.402749504	-0.662381569
CERCAM	NM_016174	CEECAM1	1.672481301	-0.660748428
PTBP2	NM_021190	PTBP2	1.60168753	-0.657256517
	NM_024837		1.734239829	-0.656356992
POLR1A	NM_015425	POLR1A	1.399006525	-0.652564766
LIMD2	NM_030576	MGC10986	2.953785664	-0.648244706
FGF9	NM_002010	FGF9	2.120920064	-0.642616996
	NM_014509		2.297038154	-0.642121211
CEACAM7	NM_006890	CEACAM7	1.380483708	-0.632976802
PDE5A	NM_033437	PDE5A	1.531994928	-0.632155144
KIAA0125	NM_014792	KIAA0125	1.488081646	-0.629502401
ATP6V0B	NM_004047	ATP6V0B	1.557871031	-0.621462161
DLC1	NM_006094	DLC1	1.546742657	-0.612454531
	NM_020163	LOC56920	1.486446087	-0.607438076
TLR2	NM_003264	TLR2	1.872985958	-0.606735024
ALDH1A1	NM_000689	ALDH1A1	1.454026031	-0.603700287
PTP4A1	NM_003463	PTP4A1	1.478722171	-0.58674282
BTNL3	NM_006707	BTNL3	1.788491109	-0.58313965
	06010_HK1		2.019983632	-0.580358328
MPZL1	NM_003953	MPZL1	1.503480585	-0.574127421
GADD45A	NM_001924	GADD45A	1.674268724	-0.572698577
DIO1	NM_000792	DIO1	1.519639418	-0.562442093
HERC5	NM_016323	HERC5	1.443820606	-0.559855858
TNFSF14	NM_003807	TNFSF14	2.073368702	-0.548080153
KRR1	NM_007043	HRB2	2.310924656	-0.538138126
KRT34	NM_021013	KRTHA4	2.881424218	-0.536488564
BRD2	NM_005104	BRD2	1.737352175	-0.531934336
IAPP	NM_000415	IAPP	1.816510868	-0.524949113
CHRAC1	NM_017444	CHRAC1	1.741398788	-0.523664022
HOXA5	NM_019102	HOXA5	1.762312092	-0.521756455
PRLHR	NM_004248	GPR10	2.055329885	-0.515558394
CDYL	NM_004824	CDYL	1.505592273	-0.512713624
ASNSD1	NM_019048	NS3TP1	1.57510737	-0.499628727
PARM1	BC013294	DKFZP564O0823	2.002989834	-0.494242251
FKBP8	NM_012181	FKBP8	1.72193262	-0.480280775
ATP1B2	NM_001678	ATP1B2	2.772137868	-0.475138036
NDUFA6	NM_002490	NDUFA6	1.810466221	-0.471416532
MRTO4	NM_016183	C1orf33	1.884913252	-0.466459252
TBXAS1	NM_030984	TBXAS1	1.934454644	-0.465669864
CDC42EP2	NM_006779	CDC42EP2	2.005791521	-0.45119082
ZNF343	NM_024325	MGC10715	1.696904949	-0.449990746
CNBP	NM_003418	ZNF9	1.747728818	-0.418295482
NT5M	NM_020201	NT5M	1.768015784	-0.411711545
STYK1	NM_018423	STYK1	2.613490792	-0.392869024
RPS24	NM_001026	RPS24	1.804240931	-0.385117394
YARS2	NM_015936	CGI-04	2.245675427	-0.380192865
GNAT1	NM_000172	GNAT1	1.862141858	-0.37640875
LY6H	NM_002347	LY6H	1.821579187	-0.372601679
HSD17B2	NM_002153	HSD17B2	1.739688112	-0.356533966
BUD31	NM_003910	G10	1.996020178	-0.352898527
TPMT	NM_000367	TPMT	1.973886676	-0.348344461
HMBS	NM_000190	HMBS	1.874081006	-0.344613325
PRPF39	NM_017922	PRPF39	1.923933749	-0.325400575
TMEM9	NM_016456	TMEM9	1.696750789	-0.308578194
BCAN	NM_021948	BCAN	1.949874374	-0.287470718
CXXC1	NM_014593	CXXC1	2.223085588	-0.275601482
CYP17A1	NM_000102	CYP17A1	1.790509201	-0.271037924
ELMO1	NM_014800	ELMO1	2.262620682	-0.269589748
RABGGTB	NM_004582	RABGGTB	2.23535647	-0.258803236
	XM_001687		2.665793636	-0.226351459
DES	NM_001927	DES	1.834088915	-0.208482664
DCT	NM_001922	DCT	2.546307465	-0.16877441
KCNK12	NM_022055	KCNK12	2.48859337	-0.160519858
RLBP1	NM_000326	RLBP1	2.156508105	-0.1560255
PROM1	NM_006017	PROM1	2.369114354	-0.119180321
GPR21	NM_005294	GPR21	1.940191435	-0.104515878
TARS2	NM_025150	FLJ12528	1.924823631	-0.083481921
MYC	NM_002467	MYC	2.088474527	-0.078815151
CLPX	NM_006660	CLPX	2.334885437	-0.071337438
PLEKHB2	NM_017958	PLEKHB2	2.522834867	-0.053785344
ABCG1	NM_004915	ABCG1	2.010803093	-0.009685792
TDG	NM_003211	TDG	2.783258815	0.009456898
NCK2	NM_003581	NCK2	2.632803311	0.056790712
IPO9	NM_018085	IPO9	2.070569114	0.059419003
MAFF	NM_012323	MAFF	2.912409031	0.070486451
BIN2	NM_016293	BIN2	3.480634142	0.091826933
NFE2	NM_006163	NFE2	2.266451333	0.100379635
PKN3	NM_013355	PKN3	2.357365199	0.175936625
JAK1	NM_002227	JAK1	3.168754005	0.218953585
PKIG	NM_007066	PKIG	3.032075998	0.874521204
