Curated Gene Symbol	FeatureNumber	GeneName	siCTNNB1	siBRG1	siP300	siMLLT10	Description
SERPINC1	7649	SERPINC1	1.106	0.324	0.582	0.012	serpin peptidase inhibitor, clade C (antithrombin), member 1 (SERPINC1), mRNA [NM_000488]
EZR	2648	EZR	1.107	-0.456	-0.294	-0.228	ezrin (EZR), transcript variant 1, mRNA [NM_003379]
ANO1	15909	TMEM16A	1.112	-0.021	0.249	0.188	transmembrane protein 16A (TMEM16A), mRNA [NM_018043]
ANXA4	12297	ANXA4	1.113	0.267	-0.149	0.106	annexin A4 (ANXA4), mRNA [NM_001153]
GHRL	38930	GHRL	1.114	--	--	--	ghrelin/obestatin preprohormone (GHRL), mRNA [NM_016362]
FAM102A	31728	FAM102A	1.114	0.215	0.127	0.102	family with sequence similarity 102, member A (FAM102A), transcript variant 1, mRNA [NM_001035254]
	11650	AA334114	1.115	0.101	-0.077	0.24	AA334114 EST38270 Embryo, 9 week Homo sapiens cDNA 5 end similar to similar to keratin 18, mRNA sequence [AA334114]
ATP10A	24213	ATP10A	1.116	-0.655	-0.549	-0.232	ATPase, class V, type 10A (ATP10A), mRNA [NM_024490]
	25412	AK123679	1.116	0.297	-0.302	0.065	Homo sapiens cDNA FLJ41685 fis, clone HCASM2006338. [AK123679]
FOSL2	42752	FOSL2	1.117	0.012	-0.131	0.126	FOS-like antigen 2 (FOSL2), mRNA [NM_005253]
	44854	XR_018462	1.118	-0.236	-0.524	0.253	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC391803), mRNA [XR_018462]
MYOM3	36817	MYOM3	1.119	-0.405	-0.683	0.288	myomesin family, member 3 (MYOM3), mRNA [NM_152372]
CCL15	17089	CCL15	1.12	-0.203	-0.487	-0.069	chemokine (C-C motif) ligand 15 (CCL15), transcript variant 2, mRNA [NM_004167]
	30903	A_24_P409420	1.122	-0.196	-0.557	0.307	Unknown
DNAH2	2737	DNAH2	1.123	-0.109	-0.073	0.84	dynein, axonemal, heavy chain 2 (DNAH2), mRNA [NM_020877]
GLS	2977	GLS	1.125	0.628	0.647	0.356	Glutaminase kidney isoform, mitochondrial precursor (EC 3.5.1.2) (GLS) (L-glutamine amidohydrolase) (K-glutaminase). [Source:Uniprot/SWISSPROT;Acc:O94925] [ENST00000320717]
ZFYVE28	4310	ZFYVE28	1.125	-0.147	0.188	0.001	zinc finger, FYVE domain containing 28 (ZFYVE28), mRNA [NM_020972]
SLC39A11	33773	SLC39A11	1.126	-0.043	-0.461	0.04	solute carrier family 39 (metal ion transporter), member 11 (SLC39A11), mRNA [NM_139177]
	43551	THC2596442	1.126	0.137	-0.4	0.178	1W7B_A Chain A, Annexin A2: Does It Induce Membrane Aggregation By A New Multimeric State Of The Protein. {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (24%) [THC2596442]
UPP1	11136	UPP1	1.126	0.281	-0.171	0.162	uridine phosphorylase 1 (UPP1), transcript variant 2, mRNA [NM_181597]
LRP10	10122	LRP10	1.126	-0.065	0.18	-0.009	low density lipoprotein receptor-related protein 10 (LRP10), mRNA [NM_014045]
	40849	LOC285813	1.126	0.511	0.484	0.228	Homo sapiens cDNA FLJ36950 fis, clone BRACE2005742. [AK094269]
	10236	A_24_P350136	1.127	-0.259	-0.593	0.185	Unknown
	35497	A_32_P26721	1.128	0.35	0.455	-0.105	Unknown
KIAA1551	36930	C12orf35	1.128	-0.521	-1.108	-0.204	chromosome 12 open reading frame 35 (C12orf35), mRNA [NM_018169]
TPCN1	19727	TPCN1	1.129	0.008	0.108	0.003	Homo sapiens mRNA for KIAA1169 protein, partial cds. [AB032995]
FBLIM1	28396	FBLIM1	1.129	0.25	0.162	0.24	filamin binding LIM protein 1 (FBLIM1), transcript variant 1, mRNA [NM_017556]
TMPRSS4	9608	TMPRSS4	1.131	-0.72	-1.483	0.339	transmembrane protease, serine 4 (TMPRSS4), transcript variant 1, mRNA [NM_019894]
FAM177A1	6691	C14orf24	1.132	0.007	0.059	-0.006	chromosome 14 open reading frame 24 (C14orf24), transcript variant 2, mRNA [NM_001079519]
CYSTM1	26527	C5orf32	1.132	0.422	0.239	0.076	chromosome 5 open reading frame 32 (C5orf32), mRNA [NM_032412]
CKMT1A	31517	CKMT1A	1.132	-0.586	-0.565	0.047	creatine kinase, mitochondrial 1A (CKMT1A), nuclear gene encoding mitochondrial protein, mRNA [NM_001015001]
CAPN12	6621	CAPN12	1.133	-0.181	-1.628	-0.178	calpain 12 (CAPN12), mRNA [NM_144691]
AHNAK	17428	AHNAK	1.135	--	--	--	AHNAK nucleoprotein (AHNAK), transcript variant 1, mRNA [NM_001620]
NXF3	6423	NXF3	1.136	0.827	0.677	0.341	nuclear RNA export factor 3 (NXF3), mRNA [NM_022052]
	41172	A_24_P6850	1.136	-0.214	-0.52	0.213	Unknown
PIP5K1B	42844	PIP5K1B	1.136	-0.172	-0.581	-0.082	phosphatidylinositol-4-phosphate 5-kinase, type I, beta (PIP5K1B), transcript variant 2, mRNA [NM_003558]
LIMA1	1959	LIMA1	1.138	0.494	0.776	0.193	LIM domain and actin binding 1 (LIMA1), transcript variant b, mRNA [NM_016357]
KIFC2	35730	KIFC2	1.141	0.492	0.376	0.149	kinesin family member C2 (KIFC2), mRNA [NM_145754]
PTRF	14194	PTRF	1.141	0.128	0.62	0.247	polymerase I and transcript release factor (PTRF), mRNA [NM_012232]
	18377	BC038432	1.142	-0.068	-0.405	0.178	Homo sapiens cDNA clone IMAGE:5162874, partial cds. [BC038432]
FGFR3	33329	FGFR3	1.145	-0.26	0.246	0.127	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism) (FGFR3), transcript variant 1, mRNA [NM_000142]
IGF2BP3	39392	IGF2BP3	1.145	-0.105	0.259	0.133	insulin-like growth factor 2 mRNA binding protein 3 (IGF2BP3), mRNA [NM_006547]
MROH7	13007	C1orf175	1.147	--	--	--	chromosome 1 open reading frame 175 (C1orf175), mRNA [NM_001039464]
	26417	ENST00000342584	1.148	-0.598	-0.344	0.441	PP7080. [Source:Uniprot/SPTREMBL;Acc:Q71RB1] [ENST00000342584]
HKDC1	33707	HKDC1	1.149	-0.878	-2.305	0.326	hexokinase domain containing 1 (HKDC1), mRNA [NM_025130]
ANXA2	45179	ANXA2	1.15	0.319	-0.156	0.253	annexin A2 (ANXA2), transcript variant 2, mRNA [NM_001002857]
IP6K2	7129	IHPK2	1.152	0.296	-0.462	-0.097	inositol hexaphosphate kinase 2 (IHPK2), transcript variant 3, mRNA [NM_001005910]
	24589	A_24_P110601	1.153	0.016	-0.206	0.105	Unknown
	36248	XR_018618	1.153	-0.066	-0.605	0.359	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC390634), mRNA [XR_018618]
	1482	A_24_P471242	1.154	-0.207	-0.609	0.243	Unknown
	34416	A_23_P21804	1.154	-0.347	0.199	-0.235	Unknown
NOXA1	1423	NOXA1	1.154	-0.055	0.256	0.064	NADPH oxidase activator 1 (NOXA1), mRNA [NM_006647]
	19480	XR_019186	1.156	-0.224	-0.568	0.258	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC651929), mRNA [XR_019186]
S100A16	28521	S100A16	1.156	0.013	-0.595	0.06	S100 calcium binding protein A16 (S100A16), mRNA [NM_080388]
C15orf52	26093	C15orf52	1.157	0.161	-0.098	0.148	chromosome 15 open reading frame 52 (C15orf52), mRNA [NM_207380]
RBKS	19987	RBKS	1.157	0.138	0.25	0.189	ribokinase (RBKS), mRNA [NM_022128]
WIPI1	44598	WIPI1	1.157	-0.258	-0.013	0.098	WD repeat domain, phosphoinositide interacting 1 (WIPI1), mRNA [NM_017983]
SCARNA17	3803	SCARNA17	1.158	0.144	0.239	-0.221	small Cajal body-specific RNA 17 (SCARNA17) on chromosome 18 [NR_003003]
RGS2	10053	RGS2	1.159	1.056	0.114	-0.048	regulator of G-protein signaling 2, 24kDa (RGS2), mRNA [NM_002923]
	29623	A_24_P221724	1.16	--	--	--	Unknown
TOB1	42054	TOB1	1.16	-0.199	-0.164	-0.168	transducer of ERBB2, 1 (TOB1), mRNA [NM_005749]
S100A4	18201	S100A4	1.162	-0.193	-0.863	0.234	S100 calcium binding protein A4 (S100A4), transcript variant 1, mRNA [NM_002961]
CRIP1	13979	CRIP1	1.163	-0.013	-0.134	0.11	cysteine-rich protein 1 (intestinal) (CRIP1), mRNA [NM_001311]
HID1	18120	C17orf28	1.164	-0.682	-0.155	0.225	chromosome 17 open reading frame 28 (C17orf28), mRNA [NM_030630]
TMCO3	16241	TMCO3	1.165	0.23	-0.179	-0.068	transmembrane and coiled-coil domains 3 (TMCO3), mRNA [NM_017905]
NFKBIZ	31260	NFKBIZ	1.167	0.663	0.071	-0.081	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta (NFKBIZ), transcript variant 1, mRNA [NM_031419]
VIPR1	5822	VIPR1	1.167	0.495	-0.178	0.164	vasoactive intestinal peptide receptor 1 (VIPR1), mRNA [NM_004624]
S100A14	39818	S100A14	1.169	-0.341	-0.473	-0.106	S100 calcium binding protein A14 (S100A14), mRNA [NM_020672]
GJB5	11067	GJB5	1.171	-1.195	-1	0.551	gap junction protein, beta 5, 31.1kDa (GJB5), mRNA [NM_005268]
BCL10	16075	BCL10	1.171	-0.363	-0.184	0.057	B-cell CLL/lymphoma 10 (BCL10), mRNA [NM_003921]
CACNA1H	30489	CACNA1H	1.171	-0.283	-0.327	0.289	calcium channel, voltage-dependent, T type, alpha 1H subunit (CACNA1H), transcript variant 1, mRNA [NM_021098]
AHNAK	19287	AHNAK	1.172	-0.064	-0.065	-0.022	AHNAK nucleoprotein (AHNAK), transcript variant 1, mRNA [NM_001620]
ZC3H6	10590	ZC3H6	1.173	0.062	0.88	0.328	zinc finger CCCH-type containing 6 (ZC3H6), mRNA [NM_198581]
LMNA	37048	LMNA	1.173	-0.395	0.126	0.11	lamin A/C (LMNA), transcript variant 2, mRNA [NM_005572]
	8107	X92493	1.175	-0.296	-0.519	0.033	H.sapiens mRNA for STM-7 protein. [X92493]
NOX1	16605	NOX1	1.176	-1.745	-3.093	0.124	NADPH oxidase 1 (NOX1), transcript variant NOH-1L, mRNA [NM_007052]
	652	XR_018938	1.177	-0.199	-0.466	0.279	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC132391), mRNA [XR_018938]
EME2	23879	EME2	1.18	0.381	0.309	0.128	essential meiotic endonuclease 1 homolog 2 [Source:RefSeq_peptide;Acc:NP_001010865] [ENST00000307394]
CCNYL1	37626	CCNYL1	1.182	-0.03	-0.069	0.241	cyclin Y-like 1 (CCNYL1), mRNA [NM_152523]
	44894	A_24_P383660	1.182	-0.194	-0.472	0.269	Unknown
SLC39A11	12558	SLC39A11	1.182	0.232	-0.258	0.155	solute carrier family 39 (metal ion transporter), member 11 (SLC39A11), mRNA [NM_139177]
	3648	AK023756	1.183	-1.168	-0.243	-0.36	Homo sapiens cDNA FLJ13694 fis, clone PLACE2000115. [AK023756]
BTC	18519	BTC	1.183	-0.514	-0.348	0.089	betacellulin (BTC), mRNA [NM_001729]
KRT18P34	2004	KRT18P34	1.183	-0.172	-0.454	0.282	PREDICTED: Homo sapiens misc_RNA (KRT18P34), miscRNA [XR_019198]
	30955	THC2598362	1.184	-0.372	0.257	0.065	Q59F29_HUMAN (Q59F29) PI-3-kinase-related kinase SMG-1 isoform 1homolog (Fragment), partial (4%) [THC2598362]
FKBP2	39213	FKBP2	1.187	0.056	0.052	0.107	FK506 binding protein 2, 13kDa (FKBP2), transcript variant 1, mRNA [NM_004470]
PANK3	3645	PANK3	1.188	-0.183	-0.364	-0.203	pantothenate kinase 3 (PANK3), mRNA [NM_024594]
PRR15	37867	PRR15	1.19	0.048	0.067	0.066	proline rich 15 (PRR15), mRNA [NM_175887]
SPAG9	22286	SPAG9	1.191	-0.169	0.158	0.086	sperm associated antigen 9 (SPAG9), mRNA [NM_003971]
EDEM3	1594	EDEM3	1.191	-0.405	-0.043	-0.091	ER degradation enhancer, mannosidase alpha-like 3 (EDEM3), mRNA [NM_025191]
DISP2	22712	DISP2	1.191	0.652	0.152	0.416	dispatched homolog 2 (Drosophila) (DISP2), mRNA [NM_033510]
PLCD1	14428	PLCD1	1.193	-0.212	0.011	0.057	phospholipase C, delta 1 (PLCD1), mRNA [NM_006225]
	2461	A_24_P247303	1.193	-0.431	-0.867	0.216	Unknown
COL6A2	10114	COL6A2	1.193	0.29	0.32	0.073	collagen, type VI, alpha 2 (COL6A2), transcript variant 2C2a, mRNA [NM_058175]
	16488	XR_018953	1.194	-0.153	-0.31	0.679	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC391179), mRNA [XR_018953]
KRT18	6876	KRT18	1.198	-0.077	-0.338	0.355	keratin 18 (KRT18), transcript variant 1, mRNA [NM_000224]
KRT18P19	42230	KRT18P19	1.198	-0.26	-0.559	0.284	PREDICTED: Homo sapiens misc_RNA (KRT18P19), miscRNA [XR_019026]
SPINK1	25530	SPINK1	1.199	-0.519	-1.848	0.877	serine peptidase inhibitor, Kazal type 1 (SPINK1), mRNA [NM_003122]
	38806	XR_019037	1.201	-0.149	-0.457	0.289	PREDICTED: Homo sapiens hypothetical LOC391271 (LOC391271), mRNA [XR_019037]
	26345	A_24_P358406	1.201	-0.148	-0.251	0.333	Unknown
C2orf72	7280	LOC257407	1.201	-0.177	-0.481	0.429	Homo sapiens clone 23568, 23621, 23795, 23873 and 23874 mRNA sequences. [AF007149]
AK2P2	10934	AK2P2	1.201	-0.259	-0.548	0.302	PREDICTED: Homo sapiens adenylate kinase 2 pseudogene 2 (AK2P2), mRNA [XR_017211]
GDA	13616	GDA	1.204	-0.839	-1.038	0.343	guanine deaminase (GDA), mRNA [NM_004293]
KRT18P28	27799	KRT18P28	1.205	-0.178	-0.444	0.258	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC343326), mRNA [XR_019568]
	33509	A_32_P21742	1.207	-0.586	-0.17	0.191	Unknown
ATP10B	12738	ATP10B	1.208	--	--	--	ATPase, class V, type 10B (ATP10B), mRNA [NM_025153]
CCDC64B	31931	CCDC64B	1.209	-0.2	-0.016	0.175	Homo sapiens mRNA; cDNA DKFZp666L166 (from clone DKFZp666L166). [AL833749]
	35398	ENST00000332750	1.21	0.404	-0.584	-0.195	Mucin-3B (Intestinal mucin-3B) (Fragment). [Source:Uniprot/SWISSPROT;Acc:Q9H195] [ENST00000332750]
	39113	AA639753	1.21	-0.25	-0.759	0.062	nq82c12.s1 NCI_CGAP_Co9 Homo sapiens cDNA clone IMAGE:1158838 3, mRNA sequence [AA639753]
	13270	XR_018953	1.21	-0.176	-0.462	0.287	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC391179), mRNA [XR_018953]
EHD1	13366	EHD1	1.211	-0.072	0.379	0.422	Homo sapiens EH-domain containing protein testilin mRNA, complete cds. [AF099011]
BTN3A2	12478	BTN3A2	1.213	0.572	0.422	0.106	butyrophilin, subfamily 3, member A2 (BTN3A2), mRNA [NM_007047]
PLEC	35801	PLEC1	1.214	0.43	0.453	0.113	plectin 1, intermediate filament binding protein 500kDa (PLEC1), transcript variant 6, mRNA [NM_201380]
	17315	BC040051	1.215	0.496	0.071	0.069	Homo sapiens, clone IMAGE:6018828, mRNA. [BC040051]
B3GNT3	43041	B3GNT3	1.217	-0.554	-0.084	0.028	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 (B3GNT3), mRNA [NM_014256]
ABCA3	33921	ABCA3	1.217	0.368	0.833	0.091	ATP-binding cassette, sub-family A (ABC1), member 3 (ABCA3), mRNA [NM_001089]
PAG1	12018	PAG1	1.218	-0.172	-0.754	0.122	phosphoprotein associated with glycosphingolipid microdomains 1 (PAG1), mRNA [NM_018440]
SLC25A20	2453	SLC25A20	1.218	-0.129	0.215	0.017	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 (SLC25A20), nuclear gene encoding mitochondrial protein, mRNA [NM_000387]
GMPPB	35288	GMPPB	1.219	-0.231	-0.093	-0.011	GDP-mannose pyrophosphorylase B (GMPPB), transcript variant 2, mRNA [NM_021971]
AHNAK	7458	AHNAK	1.22	-0.117	-0.037	-0.035	AHNAK nucleoprotein (AHNAK), transcript variant 1, mRNA [NM_001620]
KRT18P49	14951	KRT18P49	1.222	-0.129	-0.444	0.284	PREDICTED: Homo sapiens keratin 18 pseudogene 49 (KRT18P49), mRNA [XR_016590]
	43705	A_23_P66347	1.222	-0.123	0.031	0.288	Unknown
FLNB	27131	FLNB	1.223	0.168	0.041	0.227	filamin B, beta (actin binding protein 278) (FLNB), mRNA [NM_001457]
AMY1C	41867	AMY1C	1.225	0.418	0.56	-0.074	amylase, alpha 1C (salivary) (AMY1C), mRNA [NM_001008219]
ANTXR2	31356	ANTXR2	1.227	0.238	-0.617	0.261	anthrax toxin receptor 2 (ANTXR2), mRNA [NM_058172]
	9612	XR_019060	1.232	-0.192	-0.507	0.292	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC644030), mRNA [XR_019060]
ZNF226	14370	ZNF226	1.233	0.999	0.535	0.073	zinc finger protein 226 (ZNF226), transcript variant 3, mRNA [NM_001032374]
EXOC7	36032	EXOC7	1.233	-0.289	0.196	-0.06	exocyst complex component 7 (EXOC7), transcript variant 1, mRNA [NM_001013839]
ANKRD13C	1265	ANKRD13C	1.234	0.399	0.378	0.165	ankyrin repeat domain 13C (ANKRD13C), mRNA [NM_030816]
	7910	A_24_P792988	1.236	-0.205	-0.546	0.287	Unknown
RRAS	34666	RRAS	1.236	-0.03	-0.014	0.17	related RAS viral (r-ras) oncogene homolog (RRAS), mRNA [NM_006270]
	39755	ENST00000328711	1.237	0.059	-0.314	-0.034	Uncharacterized protein C13orf29. [Source:Uniprot/SWISSPROT;Acc:Q8IVM7] [ENST00000328711]
	25347	LOC400573	1.237	-1.336	-2.379	-0.281	Homo sapiens hypothetical gene supported by BC015790; BC041634, mRNA (cDNA clone IMAGE:4661388). [BC063383]
GDA	17153	GDA	1.239	-0.357	-1.345	0.113	guanine deaminase (GDA), mRNA [NM_004293]
HRH1	7680	HRH1	1.24	-0.029	-0.149	0.143	histamine receptor H1 (HRH1), transcript variant 4, mRNA [NM_000861]
ANXA2P1	16188	ANXA2P1	1.24	0.19	-0.44	0.209	annexin A2 pseudogene 1 (ANXA2P1) on chromosome 4 [NR_001562]
PRRG1	39741	PRRG1	1.241	-0.021	0.133	0.368	proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1), mRNA [NM_000950]
SPRY2	35888	SPRY2	1.241	-0.177	0.057	-0.015	sprouty homolog 2 (Drosophila) (SPRY2), mRNA [NM_005842]
CA12	11881	CA12	1.243	-0.051	-0.893	0.119	carbonic anhydrase XII (CA12), transcript variant 1, mRNA [NM_001218]
	43233	XR_018420	1.243	-0.184	-0.47	0.343	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC391827), mRNA [XR_018420]
LY6D	8828	LY6D	1.244	--	--	--	lymphocyte antigen 6 complex, locus D (LY6D), mRNA [NM_003695]
	30623	XR_018749	1.244	-0.131	-0.414	0.32	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC442405), mRNA [XR_018749]
	19381	THC2535223	1.245	0.455	-0.012	0.219	BC000698 keratin 18 {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (19%) [THC2535223]
GPA33	11373	GPA33	1.245	-0.683	-0.409	-0.134	glycoprotein A33 (transmembrane) (GPA33), mRNA [NM_005814]
	8807	THC2674900	1.245	-0.235	-0.08	-0.431	Unknown
ANTXR2	12799	ANTXR2	1.247	0.299	-0.864	0.25	anthrax toxin receptor 2 (ANTXR2), mRNA [NM_058172]
	12765	THC2582300	1.247	0.141	-0.175	-0.103	Q2IIH7_ANADE (Q2IIH7) PE-PGRS family protein, partial (3%) [THC2582300]
LAMC2	36548	LAMC2	1.25	-0.428	-0.134	0.063	laminin, gamma 2 (LAMC2), transcript variant 1, mRNA [NM_005562]
SELENBP1	14652	SELENBP1	1.25	0.222	-0.083	0.236	selenium binding protein 1 (SELENBP1), mRNA [NM_003944]
RHOC	1346	RHOC	1.253	0.254	0.248	0.262	ras homolog gene family, member C (RHOC), transcript variant 1, mRNA [NM_175744]
	962	A_24_P281443	1.256	-0.158	-0.379	0.328	Unknown
EPS8L1	35620	EPS8L1	1.259	0.385	0.519	0.263	EPS8-like 1 (EPS8L1), transcript variant 1, mRNA [NM_133180]
TNFRSF14	7840	TNFRSF14	1.26	0.458	0.389	0.05	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator) (TNFRSF14), mRNA [NM_003820]
	5630	AA563626	1.26	--	--	--	AA563626 ng47f01.s1 NCI_CGAP_Co3 Homo sapiens cDNA clone IMAGE:937945 3, mRNA sequence [AA563626]
TSPAN3	11028	TSPAN3	1.26	0.084	0.002	0	tetraspanin 3 (TSPAN3), transcript variant 1, mRNA [NM_005724]
BTN2A2	2528	BTN2A2	1.262	0.541	0.69	-0.144	butyrophilin, subfamily 2, member A2 (BTN2A2), transcript variant 2, mRNA [NM_181531]
TRIQK	38802	LOC286144	1.262	-0.064	0.153	-0.017	hypothetical LOC286144 (LOC286144) on chromosome 8 [NR_015339]
DHTKD1	41868	DHTKD1	1.263	0.109	0.25	0.01	dehydrogenase E1 and transketolase domain containing 1 (DHTKD1), mRNA [NM_018706]
	39921	THC2662587	1.265	-0.19	-0.659	0.09	Unknown
LAMB2	16532	LAMB2	1.268	0.461	0.747	0.258	laminin, beta 2 (laminin S) (LAMB2), mRNA [NM_002292]
FUT2	3383	FUT2	1.269	-1.741	-1.401	-0.475	fucosyltransferase 2 (secretor status included) (FUT2), transcript variant 1, mRNA [NM_000511]
	39045	LOC442249	1.269	-0.16	-0.457	0.325	PREDICTED: Homo sapiens misc_RNA (LOC442249), miscRNA [XR_019231]
	11361	THC2689491	1.273	-0.275	-0.038	-0.477	Unknown
TMEM61	1805	TMEM61	1.275	-0.247	-0.382	-0.062	transmembrane protein 61 (TMEM61), mRNA [NM_182532]
FZD5	43059	FZD5	1.276	0.225	-0.692	-0.097	frizzled homolog 5 (Drosophila) (FZD5), mRNA [NM_003468]
GPT	18793	GPT	1.277	0.134	-0.088	-0.136	glutamic-pyruvate transaminase (alanine aminotransferase) (GPT), mRNA [NM_005309]
LMNA	3127	LMNA	1.28	-0.552	0.143	0.118	lamin A/C (LMNA), transcript variant 2, mRNA [NM_005572]
	11068	THC2524582	1.282	-0.181	-0.452	0.341	Q5U0N8_HUMAN (Q5U0N8) Keratin 18 (Cell proliferation-inducing protein 46), partial (46%) [THC2524582]
NIPAL2	5163	NPAL2	1.282	-0.089	0.391	0.315	Homo sapiens cDNA: FLJ21362 fis, clone COL02886. [AK025015]
GALE	33505	GALE	1.283	-0.147	-0.197	0.05	UDP-galactose-4-epimerase (GALE), transcript variant 1, mRNA [NM_000403]
TOM1L2	28441	TOM1L2	1.284	-0.17	0.133	0.167	target of myb1-like 2 (chicken) (TOM1L2), transcript variant 3, mRNA [NM_001082968]
MARCO	33573	MARCO	1.285	-1.052	-0.588	-0.097	macrophage receptor with collagenous structure (MARCO), mRNA [NM_006770]
	38874	THC2683231	1.287	0.415	0.064	0.052	Q77CB1_9ALPH (Q77CB1) UL6 protein, partial (3%) [THC2683231]
CLDN4	11497	CLDN4	1.287	-0.072	-0.309	0.114	claudin 4 (CLDN4), mRNA [NM_001305]
ANXA2	35021	ANXA2	1.292	0.289	-0.235	0.281	annexin A2 (ANXA2), transcript variant 2, mRNA [NM_001002857]
CYP4F11	40963	CYP4F11	1.292	--	--	--	cytochrome P450, family 4, subfamily F, polypeptide 11 (CYP4F11), mRNA [NM_021187]
TST	33998	TST	1.294	-0.579	-0.404	0.061	thiosulfate sulfurtransferase (rhodanese) (TST), nuclear gene encoding mitochondrial protein, mRNA [NM_003312]
	35051	A_24_P418687	1.295	-0.178	-0.488	0.327	Unknown
NRBP2	5186	NRBP2	1.298	0.122	0.44	-0.089	nuclear receptor binding protein 2 (NRBP2), mRNA [NM_178564]
PIGR	22382	PIGR	1.298	-0.486	-0.189	-0.149	polymeric immunoglobulin receptor (PIGR), mRNA [NM_002644]
KRT18P33	12388	KRT18P33	1.308	-0.078	-0.308	0.344	PREDICTED: Homo sapiens keratin 18 pseudogene 33 (KRT18P33), mRNA [XR_019330]
EZR	30369	EZR	1.308	-0.117	-0.079	0.006	ezrin (EZR), transcript variant 1, mRNA [NM_003379]
RNF145	1675	RNF145	1.308	-0.118	0.146	-0.006	ring finger protein 145 (RNF145), mRNA [NM_144726]
	9540	LOC284570	1.309	1.001	0.852	0.05	Homo sapiens, clone IMAGE:4941949, mRNA. [BC040156]
	33506	A_24_P161733	1.31	-0.128	-0.381	0.412	Unknown
FER1L4	43485	FER1L4	1.311	0.069	0.235	-0.05	Homo sapiens cDNA FLJ13459 fis, clone PLACE1003366, weakly similar to Homo sapiens otoferlin (OTOF) mRNA. [AK023521]
AGXT2L2	14372	AGXT2L2	1.313	0.011	-0.226	-0.054	alanine-glyoxylate aminotransferase 2-like 2 (AGXT2L2), mRNA [NM_153373]
	28552	XR_018339	1.313	-0.089	-0.366	0.273	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC648448), mRNA [XR_018339]
	12862	XR_018311	1.313	-0.183	-0.407	0.289	PREDICTED: Homo sapiens similar to Keratin, type I cytoskeletal 18 (Cytokeratin-18) (CK-18) (Keratin-18) (K18) (LOC139060), mRNA [XR_018311]
AGPAT4	34778	AGPAT4	1.315	0.187	0.565	0.036	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta) (AGPAT4), mRNA [NM_020133]
	32453	FLJ40504	1.316	-0.111	-0.382	0.382	hypothetical protein FLJ40504 (FLJ40504), mRNA [NM_173624]
PLEKHM1	16214	PLEKHM1	1.317	-0.235	0.434	0.241	pleckstrin homology domain containing, family M (with RUN domain) member 1 (PLEKHM1), mRNA [NM_014798]
SELENBP1	7065	SELENBP1	1.32	0.052	-0.334	0.073	selenium binding protein 1 (SELENBP1), mRNA [NM_003944]
BCAR3	31462	BCAR3	1.321	-0.443	-0.567	0.014	breast cancer anti-estrogen resistance 3 (BCAR3), mRNA [NM_003567]
IQCG	38819	IQCG	1.322	0.202	-0.536	-0.21	IQ motif containing G (IQCG), mRNA [NM_032263]
SERPINB8	27372	SERPINB8	1.322	-0.162	-0.181	0.392	serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 2, mRNA [NM_198833]
KRT18	1543	KRT18	1.322	-0.214	-0.398	0.38	keratin 18 (KRT18), transcript variant 1, mRNA [NM_000224]
RARRES3	8202	RARRES3	1.324	0.513	1.023	0.214	retinoic acid receptor responder (tazarotene induced) 3 (RARRES3), mRNA [NM_004585]
