Ensembl ID	External gene Id	Chr	Gene start (bp)	MYC-binding sites
ENSG00000228702	RP11-671E7.1	10	46221142	0
ENSG00000172661	FAM21C	10	46222667	0
ENSG00000231122	FAM25E	10	46310876	0
ENSG00000188234	AGAP4	10	46321042	0
ENSG00000249136	AC_012044.1	10	46347379	0
ENSG00000239883	RP11-175I17.4	10	46349534	0
ENSG00000239152	5S_rRNA	10	46351755	0
ENSG00000234596	RP11-175I17.2	10	46383613	0
ENSG00000204179	PTPN20A	10	46549955	0
ENSG00000150175	FRMPD2L2	10	46657139	0
ENSG00000250649	AL450334.3	10	46657899	0
ENSG00000251110	AL450334.2	10	46657899	0
ENSG00000243289	CTGLF8P	10	46717127	0
ENSG00000204177	BMS1P1	10	46737612	0
ENSG00000238405	5S_rRNA	10	46742028	0
ENSG00000227194	GLUDP7	10	46772794	0
ENSG00000215097	RP11-342C24.6	10	46773447	0
ENSG00000241338	RP11-342C24.1	10	46780490	0
ENSG00000228745	CTSLL5	10	46790404	0
ENSG00000230761	RP11-342C24.8	10	46798370	0
ENSG00000165874	FAM35B	10	46897641	0
ENSG00000240318	AL356056.1	10	46900430	0
ENSG00000229927	RP11-38L15.6	10	46914088	0
ENSG00000229227	RP11-38L15.2	10	46937463	0
ENSG00000231187	RP11-38L15.3	10	46951472	0
ENSG00000204176	SYT15	10	46955444	0
ENSG00000204175	GPRIN2	10	46994087	0
ENSG00000250469	XXyac-YR14BB7.1	10	47011753	0
ENSG00000204174	PPYR1	10	47083534	0
ENSG00000223477	RP11-314P12.2	10	47096454	0
ENSG00000213412	RP11-314P12.3	10	47133338	0
ENSG00000179251	AL391137.2	10	47151363	0
ENSG00000150165	ANXA8L1	10	47157983	0
ENSG00000189090	FAM25B	10	47177204	0
ENSG00000224919	RP11-144G6.4	10	47186203	0
ENSG00000204172	AGAP10	10	47191778	0
ENSG00000252877	5S_rRNA	10	47222341	0
ENSG00000251079	BMS1P2	10	47230095	0
ENSG00000232567	GLUDP8	10	47253595	0
ENSG00000215065	RP11-144G6.9	10	47254247	0
ENSG00000232438	CTSLL7	10	47271222	0
ENSG00000227310	RP11-144G6.10	10	47279192	0
ENSG00000189014	FAM35B2	10	47379727	0
ENSG00000226964	RP11-575L16.2	10	47396223	0
ENSG00000229577	RP11-292F22.4	10	47556165	0
ENSG00000226667	RP11-292F22.5	10	47570513	0
ENSG00000215044	RP11-292F22.3	10	47594379	0
ENSG00000228233	RP11-292F22.2	10	47605127	0
ENSG00000243536	RP11-292F22.6	10	47620145	0
ENSG00000198250	ANTXRL	10	47658234	0
ENSG00000204150	CTGLF11P	10	47708327	0
ENSG00000239492	FAM25HP	10	47740330	0
ENSG00000244599	C10orf43	10	47742393	0
ENSG00000186807	ANXA8L2	10	47746936	0
ENSG00000215033	AL603965.1	10	47768351	0
ENSG00000152726	FAM21B	10	47894023	0
ENSG00000237393	SLC9A3P4	10	47965760	0
ENSG00000072444	ASAH2C	10	47999324	0
ENSG00000226322	CTD-2173J9.4	10	48138657	0
ENSG00000224036	CTSLL2	10	48157041	0
ENSG00000231209	GLUDP6	10	48169665	0
ENSG00000215024	CTD-2173J9.3	10	48173347	0
ENSG00000251070	BMS1P6	10	48187416	0
ENSG00000198035	CTGLF6	10	48189612	0
ENSG00000252754	5S_rRNA	10	48206895	0
ENSG00000197910	FAM25G	10	48247662	0
ENSG00000165390	ANXA8	10	48255225	0
ENSG00000215020	AL591684.2	10	48276679	0
ENSG00000226044	RP11-463P17.1	10	48324788	0
ENSG00000165388	ZNF488	10	48355024	0
ENSG00000228865	RP11-463P17.3	10	48357926	0
ENSG00000107618	RBP3	10	48381487	0
ENSG00000128802	GDF2	10	48413092	0
ENSG00000107623	GDF10	10	48425785	0
ENSG00000183675	PTPN20B	10	48736874	0
ENSG00000197704	FRMPD2L1	10	48844040	0
ENSG00000249586	BX005072.1	10	48844800	0
ENSG00000204164	RP11-508M1.3	10	48901102	0
ENSG00000251479	CTGLF9P	10	48903579	0
ENSG00000222406	5S_rRNA	10	48931789	0
ENSG00000251500	BMS1P5	10	48939543	0
ENSG00000227781	RP11-508M1.5	10	48952569	0
ENSG00000242886	GLUDP2	10	48962529	0
ENSG00000213686	RP11-508M1.9	10	48963181	0
ENSG00000228418	CTSLL3	10	48979682	0
ENSG00000232426	RP11-508M1.7	10	48988121	0
ENSG00000230210	RP11-508M1.8	10	49087398	0
ENSG00000243205	AL731733.2	10	49090180	0
ENSG00000188279	FAM25C	10	49199649	0
ENSG00000179296	CTGLF12P	10	49217892	0
ENSG00000252149	5S_rRNA	10	49248476	0
ENSG00000243899	BMS1P7	10	49256241	0
ENSG00000126542	PTPN20C	10	49272346	0
ENSG00000249871	RP11-164N7.1	10	49272346	0
ENSG00000170324	FRMPD2	10	49360856	0
ENSG00000232462	RP11-13E1.5	10	49363368	0
ENSG00000248306	RP11-13E1.3	10	49407711	0
ENSG00000225482	RP11-542E6.3	10	49500742	0
ENSG00000128805	ARHGAP22	10	49654077	0
ENSG00000248682	RP11-541M12.5	10	49718568	0
ENSG00000231906	RP11-541M12.3	10	49754517	0
ENSG00000250000	AC_016399.1	10	49782017	0
ENSG00000251413	RP11-534L6.5	10	49832049	0
ENSG00000228754	RP11-534L6.3	10	49953590	0
ENSG00000237241	RP11-563N6.4	10	50042957	0
ENSG00000228403	RP11-563N6.6	10	50086067	0
ENSG00000241577	RP11-523O18.7	10	50092000	0
ENSG00000165383	LRRC18	10	50117528	0
ENSG00000233665	RP11-523O18.5	10	50184597	0
ENSG00000226576	RP11-523O18.1	10	50192609	0
ENSG00000165633	C10orf72	10	50226490	0
ENSG00000234736	RP11-507P23.3	10	50329884	0
ENSG00000172538	FAM170B	10	50339199	0
ENSG00000204161	C10orf128	10	50362773	0
ENSG00000236208	RP11-255M1.1	10	50504157	0
ENSG00000177354	C10orf71	10	50507187	0
ENSG00000248534	AC_027674.1	10	50532231	0
ENSG00000165606	DRGX	10	50572237	0
ENSG00000235939	RP11-123B3.2	10	50627323	0
ENSG00000225830	ERCC6	10	50663414	0
ENSG00000243251	PGBD3	10	50723151	0
ENSG00000070748	CHAT	10	50817141	0
ENSG00000187714	SLC18A3	10	50818421	0
ENSG00000178645	C10orf53	10	50887697	0
ENSG00000239647	AC_073366.1	10	50911035	0
ENSG00000197444	OGDHL	10	50942689	0
ENSG00000226389	RP11-507K13.4	10	50979887	0
ENSG00000229870	RP11-507K13.6	10	51023142	0
ENSG00000227345	PARG	10	51026325	0
ENSG00000230166	RP11-526K21.2	10	51117659	0
ENSG00000174196	FAM21D	10	51187938	0
ENSG00000214986	FAM25D	10	51214507	0
ENSG00000174194	AGAP8	10	51224677	0
ENSG00000244393	RP11-592B15.3	10	51253146	0
ENSG00000222100	5S_rRNA	10	51255380	0
ENSG00000224005	AL672187.3	10	51262441	0
ENSG00000225784	RP11-592B15.4	10	51287081	0
ENSG00000240413	AL672187.4	10	51309502	0
ENSG00000236787	RP11-592B15.6	10	51339438	0
ENSG00000204152	TIMM23B	10	51371390	0
ENSG00000223182	SNORA74	10	51383526	0
ENSG00000250988	AL442003.3	10	51388340	0
ENSG00000204169	AGAP7	10	51464151	0
ENSG00000228326	RP11-109G10.2	10	51532102	0
ENSG00000230553	RP11-481A12.2	10	51535126	0
ENSG00000236074	AL450342.2	10	51539884	0
ENSG00000138294	MSMB	10	51549498	0
ENSG00000138293	NCOA4	10	51565108	0
ENSG00000138297	TIMM23	10	51592080	0
ENSG00000223900	AL450342.1	10	51592283	0
ENSG00000223111	SNORA74	10	51611024	0
ENSG00000214982	RP11-481A12.5	10	51623431	0
ENSG00000229464	RP11-481A12.6	10	51654977	0
ENSG00000197612	AL442003.2	10	51728373	0
ENSG00000178440	RP11-324H6.6	10	51732523	0
ENSG00000222108	5S_rRNA	10	51739425	0
ENSG00000204149	AGAP6	10	51748078	0
ENSG00000235618	RP11-324H6.5	10	51780942	0
ENSG00000226631	SLC9A3P3	10	51784895	0
ENSG00000239769	RP11-324H6.7	10	51807962	0
ENSG00000099290	FAM21A	10	51827684	0
ENSG00000233011	SLC9A3P1	10	51910363	0
ENSG00000188611	ASAH2	10	51944621	0
ENSG00000225137	RP11-56A21.4	10	52024738	0
ENSG00000225303	RP11-512N4.2	10	52232574	0
ENSG00000251950	RNase_MRP	10	52345310	0
ENSG00000226561	RP11-512N4.3	10	52348409	0
ENSG00000238523	U7	10	52350412	0
ENSG00000230036	AL596137.1	10	52365750	0
ENSG00000226200	RP11-50E11.3	10	52388910	0
ENSG00000231588	RP11-50E11.2	10	52389292	0
ENSG00000231345	RP11-564C4.6	10	52415727	0
ENSG00000240660	RP11-564C4.7	10	52418289	0
ENSG00000232706	RP11-564C4.5	10	52436718	0
ENSG00000226168	RP11-564C4.4	10	52455352	0
ENSG00000230011	CTSLL4	10	52465140	0
ENSG00000213667	RP11-564C4.8	10	52486702	0
ENSG00000204147	ASAH2B	10	52499078	0
ENSG00000148584	A1CF	10	52566322	0
ENSG00000229711	RP11-449O16.2	10	52582452	0
ENSG00000236944	RP11-96B5.2	10	52722753	0
ENSG00000185532	PRKG1	10	52751118	0
ENSG00000223502	RP11-96B5.3	10	52822339	0
ENSG00000231132	RP11-40C11.2	10	53004654	0
ENSG00000207813	hsa-mir-605	10	53059333	0
ENSG00000235279	RP11-539E19.2	10	53062326	0
ENSG00000213659	RP11-539E19.1	10	53079586	0
ENSG00000216022	AC_068062.1	10	53399503	0
ENSG00000177613	CSTF2T	10	53455247	0
ENSG00000236671	RP11-573I11.2	10	53990519	0
ENSG00000107984	DKK1	10	54074056	0
ENSG00000213657	RP11-346D6.4	10	54148866	0
ENSG00000227972	RP11-346D6.5	10	54170895	0
ENSG00000231131	RP11-346D6.6	10	54210637	0
ENSG00000228651	RP11-556E13.1	10	54316462	0
ENSG00000165471	MBL2	10	54525140	0
ENSG00000201196	Y_RNA	10	54612367	0
ENSG00000227121	RP11-319F12.2	10	54733248	0
ENSG00000231399	RP11-418N10.1	10	54798045	0
ENSG00000226296	RP11-71J2.1	10	55050832	0
ENSG00000252161	5S_rRNA	10	55217957	0
ENSG00000233805	RP11-449J3.3	10	55526160	0
ENSG00000150275	PCDH15	10	55562531	0
ENSG00000252252	U6	10	56212183	0
ENSG00000234173	RP11-257I14.1	10	56245990	0
ENSG00000224697	RP11-100A13.1	10	56359438	0
ENSG00000221594	hsa-mir-548f-1	10	56367634	0
ENSG00000236958	RP11-264A11.1	10	56624434	0
ENSG00000236744	RP11-168O22.1	10	57007508	0
ENSG00000223800	RP11-598C10.2	10	57228087	0
ENSG00000228048	RP11-598C10.1	10	57265979	0
ENSG00000238355	snoU13	10	57327499	0
ENSG00000242373	AC_074322.2	10	57357578	0
ENSG00000241586	AC_074322.3	10	57358629	0
ENSG00000236993	GAPDHP21	10	57427101	0
ENSG00000122952	ZWINT	10	58116989	0
ENSG00000238707	snR39B	10	58355723	0
ENSG00000235810	RP11-550A9.1	10	59272917	0
ENSG00000223841	RP11-448K10.1	10	59715055	0
ENSG00000232115	RP11-123G9.1	10	59866184	0
ENSG00000180221	RP11-179B15.2	10	59972302	0
ENSG00000238970	snoU13	10	59998418	0
ENSG00000228527	RP11-179B15.5	10	60064313	0
ENSG00000072401	UBE2D1	10	60094735	0
ENSG00000122870	BICC1	10	60272900	0
ENSG00000183055	RP11-79I23.2	10	60475314	0
ENSG00000252076	7SK	10	60628944	0
ENSG00000237949	RP11-456A18.1	10	60759386	0
ENSG00000226888	RP11-561G1.3	10	60848461	0
ENSG00000226557	RP11-561G1.2	10	60896385	0
ENSG00000165443	PHYHIPL	10	60936350	0
ENSG00000148541	FAM13C	10	61005890	0
ENSG00000236556	RP11-443O13.3	10	61041907	0
ENSG00000235469	RP11-135D11.3	10	61311162	0
ENSG00000235140	RP11-135D11.2	10	61348908	0
ENSG00000165449	SLC16A9	10	61410523	0
ENSG00000244348	AC_022027.1	10	61447836	0
ENSG00000227877	RP11-59J5.1	10	61496753	0
ENSG00000235931	C10orf40	10	61717975	0
ENSG00000151150	ANK3	10	61788159	0
ENSG00000250653	AL592430.1	10	61811442	0
ENSG00000232682	RP11-388P9.2	10	61815632	0
ENSG00000122872	ARL4P	10	62444041	0
ENSG00000170312	CDK1	10	62538123	0
ENSG00000072422	RHOBTB1	10	62629196	0
ENSG00000223107	U2	10	62672523	0
ENSG00000227244	RP11-322C8.2	10	62732875	0
ENSG00000196932	TMEM26	10	63166401	0
ENSG00000237233	RP11-809M12.1	10	63212397	0
ENSG00000183346	C10orf107	10	63422719	0
ENSG00000233643	RP11-491H19.1	10	63541514	0
ENSG00000150347	ARID5B	10	63661059	0
ENSG00000248301	AL671972.2	10	63852523	0
ENSG00000221094	AL671972.1	10	63875974	0
ENSG00000182010	RTKN2	10	63942794	0
ENSG00000234756	RP11-120C12.3	10	64049280	0
ENSG00000240940	AC_024597.1	10	64109805	0
ENSG00000138311	ZNF365	10	64133951	0
ENSG00000238280	RP11-436D10.3	10	64553322	0
ENSG00000122877	EGR2	10	64571756	0
ENSG00000199446	U6	10	64869899	0
ENSG00000224301	RP11-144G16.1	10	64883698	0
ENSG00000148572	NRBF2	10	64893050	0
ENSG00000171988	JMJD1C	10	64926981	0
ENSG00000234369	RP11-444I9.2	10	64981915	0
ENSG00000230677	RP11-444I9.3	10	65035906	0
ENSG00000226095	RP11-444I9.4	10	65086093	0
ENSG00000221063	hsa-mir-1296	10	65132717	0
ENSG00000235816	RP11-351O1.2	10	65187057	0
ENSG00000224412	RP11-351O1.3	10	65249221	0
ENSG00000165476	REEP3	10	65281123	0
ENSG00000230895	AC_022387.1	10	65383168	0
ENSG00000232075	RP11-111N20.3	10	65394077	0
ENSG00000228566	RP11-170M17.1	10	65424424	0
ENSG00000251397	AC_044782.1	10	65633370	0
ENSG00000213609	RP11-170M17.2	10	65662204	0
ENSG00000226426	RP11-174J11.1	10	65796105	0
ENSG00000235489	RP11-386C23.1	10	65928720	0
ENSG00000233900	RP11-76F14.1	10	66380131	0
ENSG00000216740	ANXA2P3	10	66585329	0
ENSG00000224714	RP11-179K3.2	10	66662885	0
ENSG00000227173	MYL6P3	10	66929196	0
ENSG00000233724	RP11-252C24.2	10	67007790	0
ENSG00000235356	RP11-428G2.1	10	67073543	0
ENSG00000228065	RP11-222A11.1	10	67345446	0
ENSG00000253012	AC_022538.1	10	67469818	0
ENSG00000183230	CTNNA3	10	67679719	0
ENSG00000252203	snoU40	10	68254457	0
ENSG00000239000	snoU13	10	68374995	0
ENSG00000198739	LRRTM3	10	68685764	0
ENSG00000242597	AL139240.1	10	68805211	0
ENSG00000225299	RP11-344A5.1	10	68812367	0
ENSG00000226448	RP11-93L14.1	10	69093881	0
ENSG00000213606	RP11-323N10.1	10	69510042	0
ENSG00000225922	RP11-57G10.1	10	69553528	0
ENSG00000108176	DNAJC12	10	69556427	0
ENSG00000212520	U6	10	69568260	0
ENSG00000237141	RP11-57G10.6	10	69593521	0
ENSG00000219932	RPL12P8	10	69634090	0
ENSG00000226318	RP11-474D14.2	10	69720459	0
ENSG00000221159	AL356741.1	10	69730030	0
ENSG00000236375	RP11-474D14.3	10	69769966	0
ENSG00000138347	MYPN	10	69865912	0
ENSG00000222371	7SK	10	69917836	0
ENSG00000179774	ATOH7	10	69990386	0
ENSG00000233590	RP11-153K11.3	10	69993008	0
ENSG00000234102	RP11-153K11.6	10	70020314	0
ENSG00000108187	PBLD	10	70042417	0
ENSG00000234806	RP11-9E13.4	10	70184317	0
ENSG00000199638	5S_rRNA	10	70221164	0
ENSG00000234635	RP11-9E13.2	10	70237755	0
ENSG00000122912	SLC25A16	10	70242521	0
ENSG00000226493	RP11-524O24.2	10	70259289	0
ENSG00000207438	Y_RNA	10	70262909	0
ENSG00000214881	TMEM14D	10	70304246	0
ENSG00000138336	TET1	10	70320413	0
ENSG00000213025	RP11-119F7.2	10	70392128	0
ENSG00000243330	AL513534.4	10	70401077	0
ENSG00000227583	RP11-119F7.3	10	70434113	0
ENSG00000228088	RP11-119F7.4	10	70451421	0
ENSG00000251926	snoU13	10	70472715	0
ENSG00000195401	Y_RNA	10	70495477	0
ENSG00000221182	SNORD98	10	70514929	0
ENSG00000221184	hsa-mir-1254	10	70519075	0
ENSG00000247499	AL513534.1	10	70545609	0
ENSG00000165730	STOX1	10	70587294	0
ENSG00000200218	U6	10	70606561	0
ENSG00000107625	DDX50	10	70661034	0
ENSG00000206855	U6	10	70671409	0
ENSG00000198954	KIAA1279	10	70748487	0
ENSG00000214875	RP11-314J18.5	10	70750893	0
ENSG00000243597	AL359844.2	10	70770155	0
ENSG00000229001	RP11-314J18.6	10	70782534	0
ENSG00000122862	SRGN	10	70847862	0
ENSG00000122958	VPS26A	10	70883268	0
ENSG00000233163	RP11-259F16.3	10	70921286	0
ENSG00000244285	AL442635.1	10	70922597	0
ENSG00000229261	RP11-227H15.4	10	70975089	0
ENSG00000231748	RP11-227H15.5	10	71025098	0
ENSG00000156515	HK1	10	71029740	0
ENSG00000229197	RP11-227H15.7	10	71060188	0
ENSG00000221774	AC_016821.1	10	71123311	0
ENSG00000232734	RP11-404C6.3	10	71192728	0
ENSG00000099282	TSPAN15	10	71211229	0
ENSG00000233197	RP11-404C6.5	10	71283067	0
ENSG00000122859	NEUROG3	10	71331454	0
ENSG00000236154	RP11-343J3.2	10	71335563	0
ENSG00000230755	RP11-343J3.7	10	71349636	0
ENSG00000243936	AL450311.1	10	71350265	0
ENSG00000235803	RP11-343J3.6	10	71350339	0
ENSG00000243933	AL450311.6	10	71351020	0
ENSG00000243186	AL450311.3	10	71351088	0
ENSG00000235524	RP11-343J3.5	10	71351162	0
ENSG00000243381	AL450311.8	10	71352762	0
ENSG00000242415	AL450311.2	10	71352877	0
ENSG00000243578	AL450311.7	10	71352929	0
ENSG00000240059	AL450311.4	10	71353009	0
ENSG00000231152	RP11-343J3.4	10	71353797	0
ENSG00000244059	AL450311.5	10	71355033	0
ENSG00000239913	AL450311.9	10	71355172	0
ENSG00000226794	RP11-343J3.3	10	71355243	0
ENSG00000171224	C10orf35	10	71390007	0
ENSG00000235645	RP11-242G20.1	10	71426984	0
ENSG00000230469	RP11-242G20.2	10	71538718	0
ENSG00000197467	COL13A1	10	71561644	0
ENSG00000224222	RP11-262I2.2	10	71754382	0
ENSG00000099284	H2AFY2	10	71812552	0
ENSG00000042286	AIFM2	10	71857979	0
ENSG00000079332	SAR1A	10	71909960	0
ENSG00000229097	RP11-367H5.5	10	71923441	0
ENSG00000232142	RP11-367H5.8	10	71958744	0
ENSG00000230620	RP11-367H5.7	10	71968555	0
ENSG00000148734	NPFFR1	10	72014713	0
ENSG00000172731	LRRC20	10	72058729	0
ENSG00000224725	C10orf37	10	72149182	0
ENSG00000243728	AC_022532.1	10	72163046	0
ENSG00000148730	EIF4EBP2	10	72164135	0
ENSG00000156574	NODAL	10	72192071	0
ENSG00000227918	RP11-710A11.2	10	72307689	0
ENSG00000180644	PRF1	10	72357104	0
ENSG00000246025	AL355344.1	10	72370073	0
ENSG00000138316	ADAMTS14	10	72432559	0
ENSG00000166220	C10orf27	10	72530995	0
ENSG00000231366	RP11-399N22.3	10	72553986	0
ENSG00000166224	SGPL1	10	72575717	0
ENSG00000233104	RP11-432J9.4	10	72577323	0
ENSG00000237998	RP11-432J9.5	10	72622528	0
ENSG00000166228	PCBD1	10	72642037	0
ENSG00000237047	RP11-432J9.3	10	72689682	0
ENSG00000107731	UNC5B	10	72972327	0
ENSG00000216004	AL359832.1	10	72975557	0
ENSG00000237512	RP11-790G19.2	10	72976981	0
ENSG00000198246	SLC29A3	10	73079015	0
ENSG00000238918	snoU13	10	73085085	0
ENSG00000107736	CDH23	10	73156694	0
ENSG00000223817	NCRNA00223	10	73267910	0
ENSG00000107738	C10orf54	10	73507316	0
ENSG00000197746	PSAP	10	73576055	0
ENSG00000122863	CHST3	10	73724123	0
ENSG00000107742	SPOCK2	10	73818793	0
ENSG00000138303	ASCC1	10	73856278	0
ENSG00000200294	SNORA36	10	73940616	0
ENSG00000226701	RP11-570G20.1	10	73949699	0
ENSG00000200170	Y_RNA	10	73980510	0
ENSG00000107745	CBARA1	10	74127098	0
ENSG00000202513	U6	10	74151722	0
ENSG00000226163	RP11-167P22.3	10	74261504	0
ENSG00000230609	RP11-167P22.4	10	74320022	0
ENSG00000238766	AL513185.1	10	74336482	0
ENSG00000242926	AL513185.3	10	74342562	0
ENSG00000231471	RP11-167P22.2	10	74396255	0
ENSG00000238215	RP11-167P22.5	10	74402769	0
ENSG00000201881	Y_RNA	10	74413923	0
ENSG00000156026	CCDC109A	10	74451889	0
ENSG00000242089	AC_016542.1	10	74456160	0
ENSG00000228673	RP11-354E23.2	10	74461207	0
ENSG00000138315	OIT3	10	74653339	0
ENSG00000215086	RP11-522H2.3	10	74677399	0
ENSG00000138308	PLA2G12B	10	74694928	0
ENSG00000213700	RP11-344N10.3	10	74765589	0
ENSG00000247170	AL731563.2	10	74767366	0
ENSG00000232646	RP11-344N10.4	10	74824884	0
ENSG00000243443	AL731563.3	10	74830283	0
ENSG00000237768	RP11-344N10.2	10	74831101	0
ENSG00000201047	Y_RNA	10	74842252	0
ENSG00000251086	AL731563.1	10	74857802	0
ENSG00000166321	NUDT13	10	74870217	0
ENSG00000221164	SNORA11	10	74885838	0
ENSG00000122882	ECD	10	74889913	0
ENSG00000138286	FAM149B1	10	74927877	0
ENSG00000213551	DNAJC9	10	74943120	0
ENSG00000199201	Y_RNA	10	74951981	0
ENSG00000227382	RP11-152N13.8	10	74959584	0
ENSG00000244365	RP11-152N13.12	10	74998540	0
ENSG00000249376	RP11-152N13.11	10	75007100	0
ENSG00000227540	RP11-152N13.5	10	75012549	0
ENSG00000156042	TTC18	10	75013520	0
ENSG00000249393	RP11-537A6.7	10	75032571	0
ENSG00000200356	U6	10	75038820	0
ENSG00000238983	snoU13	10	75061539	0
ENSG00000207473	Y_RNA	10	75106694	0
ENSG00000138279	ANXA7	10	75135203	0
ENSG00000233144	RP11-537A6.9	10	75141191	0
ENSG00000229659	RP11-345K20.2	10	75182017	0
ENSG00000166343	ZMYND17	10	75183339	0
ENSG00000107758	PPP3CB	10	75196186	0
ENSG00000221817	RP11-137L10.6	10	75255283	0
ENSG00000241117	AL359074.1	10	75281056	0
ENSG00000207327	U6	10	75288809	0
ENSG00000237139	RP11-137L10.5	10	75297561	0
ENSG00000177791	MYOZ1	10	75391412	0
ENSG00000166317	SYNPO2L	10	75404639	0
ENSG00000234606	RP11-464F9.19	10	75413858	0
ENSG00000251582	RP11-464F9.9	10	75432880	0
ENSG00000172650	AGAP5	10	75434033	0
ENSG00000242288	RP11-464F9.1	10	75434053	0
ENSG00000252072	5S_rRNA	10	75466248	0
ENSG00000242338	BMS1P4	10	75476873	0
ENSG00000250959	RP11-574K11.12	10	75490320	0
ENSG00000249475	GLUDP3	10	75490934	0
ENSG00000235316	RP11-574K11.20	10	75491582	0
ENSG00000253045	RNase_MRP	10	75534080	0
ENSG00000244941	AC_022400.3	10	75545335	0
ENSG00000214655	KIAA0913	10	75545383	0
ENSG00000236370	RP11-574K11.16	10	75556276	0
ENSG00000166507	NDST2	10	75561669	0
ENSG00000243698	RP11-574K11.18	10	75570442	0
ENSG00000224195	RP11-574K11.5	10	75573276	0
ENSG00000229990	RP11-574K11.8	10	75601591	0
ENSG00000122861	PLAU	10	75668935	0
ENSG00000222047	C10orf55	10	75669727	0
ENSG00000035403	VCL	10	75757872	0
ENSG00000225761	RP11-417O11.5	10	75764895	0
ENSG00000226458	RP11-417O11.6	10	75788171	0
ENSG00000228726	RP11-178G16.2	10	75855924	0
ENSG00000250779	AL731576.1	10	75868418	0
ENSG00000185009	AP3M1	10	75880016	0
ENSG00000236900	RP11-506B4.2	10	76104308	0
ENSG00000214629	RP11-506B4.3	10	76130900	0
ENSG00000213731	RP11-506B4.4	10	76183193	0
ENSG00000227539	RP11-506B4.5	10	76185995	0
ENSG00000232342	RP11-46O21.2	10	76266273	0
ENSG00000226253	MRPL35P3	10	76287342	0
ENSG00000206756	Y_RNA	10	76311150	0
ENSG00000214626	RP11-312P12.2	10	76414714	0
ENSG00000213525	RP11-383B24.3	10	76504140	0
ENSG00000242897	AC_063962.1	10	76738086	0
ENSG00000234149	RP11-77G23.2	10	76762813	0
ENSG00000227186	RP11-77G23.5	10	76783233	0
ENSG00000188716	DUPD1	10	76797594	0
ENSG00000237882	PPIAP13	10	76849006	0
ENSG00000079393	DUSP13	10	76854190	0
ENSG00000156671	SAMD8	10	76859344	0
ENSG00000232437	RP11-487I5.4	10	76884975	0
ENSG00000227271	RP11-399K21.2	10	77029150	0
ENSG00000233313	HMGA1L5	10	77035464	0
ENSG00000226039	RP11-399K21.4	10	77039484	0
ENSG00000223428	RP11-399K21.5	10	77048091	0
ENSG00000226051	RP11-399K21.6	10	77056148	0
ENSG00000236797	SPA17P1	10	77142151	0
ENSG00000165655	ZNF503	10	77157588	0
ENSG00000233745	AC_010997.1	10	77160759	0
ENSG00000237149	C10orf41	10	77161277	0
ENSG00000250279	AC_010997.2	10	77168915	0
ENSG00000236842	RP11-399K21.10	10	77190329	0
ENSG00000148655	C10orf11	10	77191211	0
ENSG00000207583	hsa-mir-606	10	77312216	0
ENSG00000138338	AL589863.1	10	77319950	0
ENSG00000228280	RP11-367B6.2	10	77502498	0
ENSG00000215921	AL731568.1	10	77583444	0
ENSG00000221232	AC_012047.1	10	77887009	0
ENSG00000201954	U6	10	78020558	0
ENSG00000232704	RP11-369F10.3	10	78042428	0
ENSG00000230575	RP11-369F10.2	10	78197166	0
ENSG00000252888	SNORA31	10	78595135	0
ENSG00000224948	RP11-443A13.4	10	78596326	0
ENSG00000156113	KCNMA1	10	78629360	0
ENSG00000236467	RP11-443A13.2	10	78647802	0
ENSG00000227323	RP11-443A13.3	10	78664583	0
ENSG00000226911	RP11-443A13.5	10	78737456	0
ENSG00000225497	RP11-180I22.2	10	78907410	0
ENSG00000224500	RP11-328K22.1	10	79073699	0
ENSG00000225652	RP11-619F23.2	10	79114162	0
ENSG00000228092	RP11-417C21.2	10	79193330	0
ENSG00000199592	5S_rRNA	10	79346807	0
ENSG00000250578	AL731556.1	10	79393869	0
ENSG00000213514	RP11-428P16.2	10	79490524	0
ENSG00000199664	U6	10	79536709	0
ENSG00000213513	RP13-39P12.2	10	79540092	0
ENSG00000228748	RP13-39P12.3	10	79542624	0
ENSG00000151208	DLG5	10	79550549	0
ENSG00000204049	AL391421.4	10	79626633	0
ENSG00000243446	AL391421.2	10	79672037	0
ENSG00000233871	RP11-126H7.3	10	79687130	0
ENSG00000243482	AL391421.1	10	79712941	0
ENSG00000234612	H2AFZP5	10	79713253	0
ENSG00000242776	AL391421.3	10	79714319	0
ENSG00000231957	RP11-157J13.1	10	79828458	0
ENSG00000230417	RP11-90J7.3	10	80008497	0
ENSG00000227136	C10orf101	10	80027085	0
ENSG00000229543	RP11-90J7.2	10	80053599	0
ENSG00000230229	RP11-90J7.4	10	80112354	0
ENSG00000201393	SNORA71	10	80127264	0
ENSG00000228683	RP11-31E13.2	10	80455819	0
ENSG00000223243	AC_074323.1	10	80510359	0
ENSG00000224596	RP11-202P11.1	10	80703085	0
ENSG00000229569	RP11-481G8.2	10	80760241	0
ENSG00000165424	ZCCHC24	10	81142081	0
ENSG00000235426	RP11-342M3.5	10	81142084	0
ENSG00000241317	RP11-342M3.1	10	81263829	0
ENSG00000235705	RP11-342M3.2	10	81265833	0
ENSG00000216238	EIF5AP1	10	81272406	0
ENSG00000228282	BX248123.1	10	81284746	0
ENSG00000232965	RP11-589B3.1	10	81303843	0
ENSG00000185303	SFTPA2	10	81315608	0
ENSG00000219430	RP11-589B3.5	10	81342054	0
ENSG00000225827	RP11-589B3.3	10	81355050	0
