Probe sets	Symbol	Title	P value	Fold
232499_at	ITPKB	inositol 1,4,5-trisphosphate 3-kinase B	0.02291	0.86
240709_at	SEZ6L	seizure related 6 homolog (mouse)-like	0.02672	1.15
1561076_at	1561076_at	CDNA clone IMAGE:5267701	0.02678	1.12
240145_at	240145_at	Transcribed locus, weakly similar to NP_149931.1  dehydrogenase subunit 1 [Trichosurus vulpecula]	0.02689	0.66
231096_at	GDEP	gene differentially expressed in prostate	0.02695	1.15
1552455_at	PRUNE2	prune homolog 2 (Drosophila)	0.02746	1.12
1552678_a_at	USP28	ubiquitin specific peptidase 28	0.02746	0.74
1553069_at	C21orf87	chromosome 21 open reading frame 87	0.02746	1.15
1553336_a_at	MIER3	mesoderm induction early response 1, family member 3	0.02746	0.79
1553344_at	PCDH15	protocadherin 15	0.02746	0.89
1553504_at	MRGPRX4	MAS-related GPR, member X4	0.02746	0.87
1553702_at	ZNF697	zinc finger protein 697	0.02746	0.88
1554676_at	SRGN	serglycin	0.02746	0.8
1554717_a_at	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	0.02746	0.84
1554971_at	1554971_at	OK/SW-CL.58	0.02746	1.13
1555051_at	C10orf53	chromosome 10 open reading frame 53	0.02746	1.13
1555096_at	MGC46496	hypothetical protein MGC46496	0.02746	1.13
1555678_at	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	0.02746	1.17
1555978_s_at	1555978_s_at	CDNA FLJ33153 fis, clone UTERU2000332	0.02746	0.74
1556288_at	LOC284274	Hypothetical protein LOC284274	0.02746	1.3
1556371_at	OLIG3	oligodendrocyte transcription factor 3	0.02746	1.16
1556812_a_at	1556812_a_at	Full length insert cDNA clone YX53E08	0.02746	0.82
1557053_s_at	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	0.02746	1.38
1557145_at	STK38	Serine/threonine kinase 38	0.02746	0.77
1557641_at	1557641_at	CDNA clone IMAGE:4838068	0.02746	1.14
1558428_at	ALS2CR11	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11	0.02746	1.14
1558569_at	1558569_at	MRNA; cDNA DKFZp667K1619 (from clone DKFZp667K1619)	0.02746	0.77
1559244_at	FMN2	formin 2	0.02746	1.19
1559462_at	1559462_at	Homo sapiens, clone IMAGE:6155889, mRNA	0.02746	0.8
1560091_a_at	PHF21B	PHD finger protein 21B	0.02746	1.12
1560958_s_at	1560958_s_at	Full length insert cDNA clone ZD50H02	0.02746	1.3
1561112_at	1561112_at	CDNA clone IMAGE:5299117	0.02746	1.12
1561199_at	1561199_at	CDNA clone IMAGE:4831149	0.02746	1.12
1561440_at	1561440_at	CDNA FLJ36173 fis, clone TESTI2026401	0.02746	1.17
1561658_at	1561658_at	Full length insert cDNA clone YZ17B05	0.02746	1.2
1561914_at	1561914_at	CDNA clone IMAGE:5311153	0.02746	1.17
1562163_at	1562163_at	Full length insert cDNA clone YR43F03	0.02746	1.21
1562638_at	LOC339874	hypothetical LOC339874	0.02746	1.24
1563274_at	1563274_at	Homo sapiens, clone IMAGE:5223692, mRNA	0.02746	1.23
1563607_x_at	LOC286359	hypothetical protein LOC286359	0.02746	0.87
1564358_at	1564358_at	CDNA: FLJ22631 fis, clone HSI06451	0.02746	1.14
1565738_at	SCTR	Secretin receptor	0.02746	1.2
1565784_at	1565784_at	CDNA FLJ36796 fis, clone ADRGL2006817	0.02746	1.21
1570476_at	1570476_at	Homo sapiens, clone IMAGE:4616265, mRNA	0.02746	1.18
200092_s_at	RPL37	Ribosomal protein L37	0.02746	0.85
201108_s_at	THBS1	thrombospondin 1	0.02746	0.37
201307_at	41163	septin 11	0.02746	0.68
202543_s_at	GMFB	glia maturation factor, beta	0.02746	0.56
203557_s_at	PCBD1	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)	0.02746	1.94
203644_s_at	MON1B	MON1 homolog B (yeast)	0.02746	1.36
203889_at	SCG5	secretogranin V (7B2 protein)	0.02746	2.59
204048_s_at	PHACTR2	phosphatase and actin regulator 2	0.02746	0.46
204062_s_at	ULK2	unc-51-like kinase 2 (C. elegans)	0.02746	0.63
204790_at	SMAD7	SMAD family member 7	0.02746	0.57
205360_at	205360_at	NA	0.02746	1.18
205612_at	MMRN1	multimerin 1	0.02746	0.76
206162_x_at	SYT5	synaptotagmin V	0.02746	1.21
206245_s_at	IVNS1ABP	influenza virus NS1A binding protein	0.02746	0.6
206310_at	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	0.02746	1.15
206630_at	TYR	tyrosinase (oculocutaneous albinism IA)	0.02746	1.2
206690_at	ACCN1	amiloride-sensitive cation channel 1, neuronal (degenerin)	0.02746	1.18
206843_at	CRYBA4	crystallin, beta A4	0.02746	1.18
207051_at	SLC17A4	solute carrier family 17 (sodium phosphate), member 4	0.02746	1.98
207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6	0.02746	2.42
207638_at	PRSS7	protease, serine, 7 (enterokinase)	0.02746	0.87
208169_s_at	PTGER3	prostaglandin E receptor 3 (subtype EP3)	0.02746	1.12
208486_at	DRD5	dopamine receptor D5	0.02746	1.19
209042_s_at	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	0.02746	1.33
209099_x_at	JAG1	jagged 1 (Alagille syndrome)	0.02746	0.51
209691_s_at	DOK4	docking protein 4	0.02746	1.45
210062_s_at	ZNF589	zinc finger protein 589	0.02746	0.8
210077_s_at	SFRS5	splicing factor, arginine/serine-rich 5	0.02746	0.73
210118_s_at	IL1A	interleukin 1, alpha	0.02746	1.15
210179_at	KCNJ13	potassium inwardly-rectifying channel, subfamily J, member 13	0.02746	1.13
210683_at	NRTN	neurturin	0.02746	1.95
211039_at	CHRNA1	cholinergic receptor, nicotinic, alpha 1 (muscle)	0.02746	1.21
211160_x_at	ACTN1	actinin, alpha 1	0.02746	0.67
212286_at	ANKRD12	ankyrin repeat domain 12	0.02746	0.62
212607_at	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	0.02746	0.55
212621_at	KIAA0286	KIAA0286 protein	0.02746	1.88
212789_at	NCAPD3	non-SMC condensin II complex, subunit D3	0.02746	0.69
213429_at	213429_at	CDNA FLJ26539 fis, clone KDN09310	0.02746	0.16
213550_s_at	213550_s_at	NA	0.02746	1.55
213800_at	CFH	complement factor H	0.02746	1.9
213859_x_at	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	0.02746	0.62
214293_at	41163	Septin 11	0.02746	0.79
214404_x_at	SPDEF	SAM pointed domain containing ets transcription factor	0.02746	1.16
214436_at	FBXL2	F-box and leucine-rich repeat protein 2	0.02746	0.71
215563_s_at	MSTP9	macrophage stimulating, pseudogene 9	0.02746	2.17
216317_x_at	RHCE	Rh blood group, CcEe antigens	0.02746	1.29
216573_at	216573_at	NA	0.02746	1.14
216864_at	216864_at	NA	0.02746	1.1
217250_s_at	CHD5	chromodomain helicase DNA binding protein 5	0.02746	1.15
217366_at	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	0.02746	1.17
217877_s_at	GPBP1L1	GC-rich promoter binding protein 1-like 1	0.02746	1.39
217891_at	C16orf58	chromosome 16 open reading frame 58	0.02746	1.85
218021_at	DHRS4	dehydrogenase/reductase (SDR family) member 4	0.02746	1.79
218034_at	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	0.02746	1.43
218107_at	WDR26	WD repeat domain 26	0.02746	0.72
218149_s_at	ZNF395	zinc finger protein 395	0.02746	1.68
218476_at	POMT1	protein-O-mannosyltransferase 1	0.02746	1.34
218613_at	PSD3	pleckstrin and Sec7 domain containing 3	0.02746	2.6
218652_s_at	PIGG	phosphatidylinositol glycan anchor biosynthesis, class G	0.02746	0.65
218926_at	MYNN	myoneurin	0.02746	1.44
219105_x_at	ORC6L	origin recognition complex, subunit 6 like (yeast)	0.02746	1.3
219270_at	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	0.02746	1.91
219334_s_at	OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	0.02746	0.81
219642_s_at	PEX5L	peroxisomal biogenesis factor 5-like	0.02746	1.18
219643_at	LRP1B	low density lipoprotein-related protein 1B (deleted in tumors)	0.02746	0.84
220218_at	C9orf68	chromosome 9 open reading frame 68	0.02746	1.16
220402_at	P53AIP1	p53-regulated apoptosis-inducing protein 1	0.02746	1.14
220953_s_at	MTMR12	myotubularin related protein 12	0.02746	0.74
222064_s_at	AARSD1	alanyl-tRNA synthetase domain containing 1	0.02746	0.79
222070_at	DND1	dead end homolog 1 (zebrafish)	0.02746	1.21
222079_at	222079_at	NA	0.02746	0.89
222318_at	ZNF324B	zinc finger protein 324B	0.02746	0.83
223512_at	SAR1B	SAR1 gene homolog B (S. cerevisiae)	0.02746	1.44
223520_s_at	KIF13A	kinesin family member 13A	0.02746	0.8
223673_at	RFX4	regulatory factor X, 4 (influences HLA class II expression)	0.02746	0.9
223935_at	TRPM5	transient receptor potential cation channel, subfamily M, member 5	0.02746	1.19
223959_at	DNAL1	dynein, axonemal, light chain 1	0.02746	0.8
224057_s_at	LOC728944 /// THAP4	THAP domain containing 4 /// similar to THAP domain-containing protein 4	0.02746	1.32
224344_at	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	0.02746	1.18
224397_s_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1	0.02746	0.77
224400_s_at	CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	0.02746	0.34
224780_at	RBM17	RNA binding motif protein 17	0.02746	1.55
225231_at	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	0.02746	1.68
225311_at	IVD	isovaleryl Coenzyme A dehydrogenase	0.02746	1.79
225411_at	225411_at	Full-length cDNA clone CS0DL008YP09 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human)	0.02746	0.62
225704_at	KIAA1545	KIAA1545 protein	0.02746	1.63
225881_at	SLC35B4	solute carrier family 35, member B4	0.02746	1.87
226073_at	LOC219854	hypothetical protein LOC219854	0.02746	0.64
226157_at	TFDP2	Transcription factor Dp-2 (E2F dimerization partner 2)	0.02746	1.66
226513_at	LOC145758	hypothetical protein LOC145758	0.02746	1.72
226565_at	TMEM99	transmembrane protein 99	0.02746	1.68
226767_s_at	FAHD1	fumarylacetoacetate hydrolase domain containing 1	0.02746	1.71
227253_at	CP	ceruloplasmin (ferroxidase)	0.02746	2.23
227649_s_at	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	0.02746	0.78
228547_at	NRXN1	neurexin 1	0.02746	1.12
228737_at	TOX2	TOX high mobility group box family member 2	0.02746	0.31
228925_at	228925_at	Transcribed locus, weakly similar to NP_001032811.2  disintegrin and metalloprotease domain 15 (metargidin) isoform a [Mus musculus]	0.02746	1.39
229433_at	RBM26	RNA binding motif protein 26	0.02746	0.66
229711_s_at	MGC5370	hypothetical protein MGC5370	0.02746	1.55
230623_x_at	USP28	ubiquitin specific peptidase 28	0.02746	0.73
230706_s_at	CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2	0.02746	2.1
231080_at	CDAN1	Congenital dyserythropoietic anemia, type I	0.02746	0.84
231328_s_at	RASGRP4	RAS guanyl releasing protein 4	0.02746	1.19
231382_at	FGF18	Fibroblast growth factor 18	0.02746	0.79
231854_at	PIK3CA	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	0.02746	1.22
232461_at	AHI1	Abelson helper integration site 1	0.02746	0.87
233143_at	C20orf173	chromosome 20 open reading frame 173	0.02746	1.17
233936_s_at	ZNF403	zinc finger protein 403	0.02746	1.37
234236_at	FLJ20294	hypothetical protein FLJ20294	0.02746	1.11
234394_at	ZNF124	zinc finger protein 124	0.02746	0.72
234463_at	LOC646701	similar to developmental pluripotency associated 5	0.02746	1.15
234620_at	LOC402643	tropomyosin 3 pseudogene	0.02746	0.87
234885_at	234885_at	NA	0.02746	1.21
235098_at	PEX26	peroxisome biogenesis factor 26	0.02746	0.79
235208_at	CCDC112	coiled-coil domain containing 112	0.02746	0.71
235303_at	RG9MTD3	RNA (guanine-9-) methyltransferase domain containing 3	0.02746	1.13
235621_at	LOC285014	hypothetical protein LOC285014	0.02746	1.47
235656_s_at	235656_s_at	Transcribed locus	0.02746	1.17
235828_at	PRELID2	PRELI domain containing 2	0.02746	0.8
235915_at	235915_at	NA	0.02746	2.66
236053_at	236053_at	CDNA FLJ43003 fis, clone BRTHA2013262	0.02746	1.21
236065_at	236065_at	Transcribed locus	0.02746	1.16
236217_at	SLC31A1	solute carrier family 31 (copper transporters), member 1	0.02746	2.06
236837_x_at	LOC650794	Similar to FRAS1-related extracellular matrix protein 2 precursor (ECM3 homolog)	0.02746	0.8
237068_at	237068_at	Transcribed locus	0.02746	1.17
237152_at	237152_at	NA	0.02746	1.16
237385_at	237385_at	NA	0.02746	1.24
237597_at	237597_at	Transcribed locus	0.02746	0.85
237664_at	237664_at	Clone JkA5 mRNA induced upon T-cell activation, 3 end	0.02746	0.87
237740_at	237740_at	Transcribed locus	0.02746	1.26
237934_at	237934_at	Transcribed locus	0.02746	1.13
238072_at	238072_at	CDNA FLJ38016 fis, clone CTONG2012724	0.02746	1.22
239194_at	WBSCR18	Williams Beuren syndrome chromosome region 18	0.02746	1.14
239992_at	239992_at	Transcribed locus	0.02746	1.12
240049_at	240049_at	CDNA clone IMAGE:4836855	0.02746	1.13
240830_at	SCARNA17	small Cajal body-specific RNA 17	0.02746	2.06
241195_at	241195_at	NA	0.02746	1.14
241256_at	241256_at	NA	0.02746	1.25
241634_at	241634_at	Transcribed locus, strongly similar to XP_530590.1  hypothetical protein XP_530590 [Pan troglodytes]	0.02746	1.13
241955_at	HECTD1	HECT domain containing 1	0.02746	1.9
242264_at	242264_at	NA	0.02746	2.08
242355_at	CRAMP1L	Crm, cramped-like (Drosophila)	0.02746	1.14
242366_at	242366_at	Homo sapiens, clone IMAGE:3858719, mRNA	0.02746	1.63
242368_at	242368_at	NA	0.02746	1.16
242544_x_at	242544_x_at	NA	0.02746	0.9
242590_at	242590_at	Full length insert cDNA clone YZ58H09	0.02746	1.56
242767_at	LMCD1	LIM and cysteine-rich domains 1	0.02746	0.61
242781_at	CXorf39	chromosome X open reading frame 39	0.02746	0.85
242788_at	JMJD2D	jumonji domain containing 2D	0.02746	1.27
243396_at	243396_at	Transcribed locus	0.02746	1.16
243804_at	MTMR7	myotubularin related protein 7	0.02746	1.41
243807_at	NCOA7	nuclear receptor coactivator 7	0.02746	0.85
243934_at	243934_at	Transcribed locus	0.02746	1.47
243954_at	LOC285286	hypothetical protein LOC285286	0.02746	1.2
244044_at	244044_at	Transcribed locus	0.02746	0.72
244065_at	FLJ37512	similar to Contactin-associated protein-like 3 precursor (Cell recognition molecule Caspr3)	0.02746	0.76
244143_at	244143_at	Transcribed locus	0.02746	1.15
244436_at	244436_at	NA	0.02746	1.19
244705_at	LOC401398	Hypothetical protein LOC401398	0.02746	1.12
244805_at	244805_at	Transcribed locus	0.02746	1.2
31799_at	31799_at	Clone 24627 mRNA sequence	0.02746	1.58
35201_at	HNRPL	heterogeneous nuclear ribonucleoprotein L	0.02746	0.71
39549_at	NPAS2	neuronal PAS domain protein 2	0.02746	0.48
44783_s_at	HEY1	hairy/enhancer-of-split related with YRPW motif 1	0.02746	0.5
234556_at	234556_at	MRNA; cDNA DKFZp434P2450 (from clone DKFZp434P2450)	0.03231	1.21
242457_at	242457_at	Transcribed locus	0.03288	0.76
1562815_at	FLJ23588	CAP-binding protein complex interacting protein 1	0.03299	1.13
1552726_at	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17	0.03362	2.89
1552727_s_at	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif, 17	0.03362	3.4
1552825_at	ZNF396	zinc finger protein 396	0.03362	1.22
1552928_s_at	MAP3K7IP3	mitogen-activated protein kinase kinase kinase 7 interacting protein 3	0.03362	0.6
1552948_at	CCDC27	coiled-coil domain containing 27	0.03362	1.16
1552975_x_at	1552975_x_at	NA	0.03362	1.11
1553071_a_at	MYOZ3	myozenin 3	0.03362	1.18
1553113_s_at	CDK8	cyclin-dependent kinase 8	0.03362	0.63
1555065_x_at	USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	0.03362	1.31
1555212_at	OR8B8	olfactory receptor, family 8, subfamily B, member 8	0.03362	1.14
1557418_at	ACSL4	Acyl-CoA synthetase long-chain family member 4	0.03362	0.49
1557810_at	1557810_at	Clone HEA5 Cri-du-chat critical region mRNA	0.03362	0.68
1559559_at	C9orf79	chromosome 9 open reading frame 79	0.03362	1.16
1560007_at	LOC645984	hypothetical LOC645984	0.03362	1.13
1560946_at	1560946_at	CDNA FLJ32698 fis, clone TESTI2000427	0.03362	1.15
1562030_at	LOC284898	hypothetical protein LOC284898	0.03362	1.17
1562215_at	1562215_at	CDNA FLJ37286 fis, clone BRAMY2013722	0.03362	1.15
1562326_at	FLJ30838	hypothetical gene supported by AL832565	0.03362	1.16
1562844_at	LOC339822	hypothetical protein LOC339822	0.03362	0.88
1563340_at	1563340_at	CDNA clone IMAGE:3631793	0.03362	1.45
1564386_at	TXNDC8	thioredoxin domain containing 8	0.03362	1.14
1566441_at	1566441_at	MRNA; cDNA DKFZp667A115 (from clone DKFZp667A115)	0.03362	1.11
1566821_at	1566821_at	NA	0.03362	1.22
1567254_at	OR10D1P	olfactory receptor, family 10, subfamily D, member 1 pseudogene	0.03362	1.14
1568633_a_at	1568633_a_at	CDNA clone IMAGE:3878708	0.03362	2.38
1568685_at	1568685_at	Homo sapiens, clone IMAGE:4992489, mRNA	0.03362	1.17
1569205_at	1569205_at	NA	0.03362	1.16
1569246_a_at	C8orf74	chromosome 8 open reading frame 74	0.03362	1.16
1569492_at	1569492_at	Homo sapiens, clone IMAGE:4590952, mRNA	0.03362	1.2
1569510_at	1569510_at	Homo sapiens, clone IMAGE:4614864, mRNA	0.03362	1.12
1569664_at	1569664_at	Homo sapiens, clone IMAGE:5519764, mRNA	0.03362	1.34
200091_s_at	RPS25	Ribosomal protein S25	0.03362	0.7
200699_at	200699_at	Full-length cDNA clone CS0DC014YA20 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	0.03362	1.66
200786_at	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	0.03362	1.39
201176_s_at	ARCN1	archain 1	0.03362	0.72
201297_s_at	MOBK1B	MOB1, Mps One Binder kinase activator-like 1B (yeast)	0.03362	0.59
201530_x_at	EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	0.03362	0.65
201993_x_at	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like	0.03362	0.68
202005_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)	0.03362	0.73
202199_s_at	SRPK1	SFRS protein kinase 1	0.03362	0.72
202581_at	HSPA1B	heat shock 70kDa protein 1B	0.03362	0.44
202598_at	S100A13	S100 calcium binding protein A13	0.03362	0.47
202710_at	BET1	BET1 homolog (S. cerevisiae)	0.03362	1.38
202742_s_at	PRKACB	protein kinase, cAMP-dependent, catalytic, beta	0.03362	0.61
202746_at	ITM2A	integral membrane protein 2A	0.03362	0.35
202847_at	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	0.03362	2.13
202875_s_at	PBX2	pre-B-cell leukemia homeobox 2	0.03362	0.65
203563_at	AFAP1	actin filament associated protein 1	0.03362	0.79
203744_at	HMGB3	high-mobility group box 3	0.03362	2.23
204840_s_at	EEA1	early endosome antigen 1	0.03362	1.83
205040_at	ORM1	orosomucoid 1	0.03362	1.75
205340_at	ZBTB24	zinc finger and BTB domain containing 24	0.03362	0.73
205411_at	STK4	serine/threonine kinase 4	0.03362	0.9
205465_x_at	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	0.03362	1.15
205499_at	SRPX2	sushi-repeat-containing protein, X-linked 2	0.03362	0.58
205511_at	FLJ10038	hypothetical protein FLJ10038	0.03362	1.76
205563_at	KISS1	KiSS-1 metastasis-suppressor	0.03362	1.22
205835_s_at	YTHDC2	YTH domain containing 2	0.03362	0.68
205903_s_at	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	0.03362	0.76
206099_at	PRKCH	protein kinase C, eta	0.03362	0.83
206203_at	RCVRN	recoverin	0.03362	1.23
206297_at	CTRC	chymotrypsin C (caldecrin)	0.03362	1.22
206336_at	CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	0.03362	0.34
206449_s_at	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	0.03362	2.5
206563_s_at	OPRL1	opiate receptor-like 1	0.03362	1.2
206915_at	NKX2-2	NK2 transcription factor related, locus 2 (Drosophila)	0.03362	1.6
206942_s_at	PMCH	pro-melanin-concentrating hormone	0.03362	1.16
207445_s_at	CCR9	chemokine (C-C motif) receptor 9	0.03362	1.11
207617_at	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	0.03362	1.2
207627_s_at	TFCP2	transcription factor CP2	0.03362	0.65
208024_s_at	DGCR6 /// DGCR6L	DiGeorge syndrome critical region gene 6 /// DiGeorge syndrome critical region gene 6-like	0.03362	1.48
208599_at	HUWE1	HECT, UBA and WWE domain containing 1	0.03362	0.84
208761_s_at	SUMO1	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)	0.03362	1.34
208776_at	PSMD11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	0.03362	1.66
208958_at	TXNDC4	thioredoxin domain containing 4 (endoplasmic reticulum)	0.03362	1.45
209412_at	TMEM1	transmembrane protein 1	0.03362	1.4
209515_s_at	RAB27A	RAB27A, member RAS oncogene family	0.03362	2.17
209757_s_at	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	0.03362	0.62
209798_at	NPAT	nuclear protein, ataxia-telangiectasia locus	0.03362	0.73
210066_s_at	AQP4	aquaporin 4	0.03362	0.89
210130_s_at	TM7SF2	transmembrane 7 superfamily member 2	0.03362	1.92
210355_at	PTHLH	parathyroid hormone-like hormone	0.03362	0.78
210408_s_at	CPNE6	copine VI (neuronal)	0.03362	1.22
210424_s_at	GOLGA8A /// GOLGA8B	golgi autoantigen, golgin subfamily a, 8A /// golgi autoantigen, golgin subfamily a, 8B	0.03362	0.73
210680_s_at	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	0.03362	1.93
210919_at	210919_at	NA	0.03362	1.21
211082_x_at	MARK2	MAP/microtubule affinity-regulating kinase 2	0.03362	0.83
211118_x_at	ESR2	estrogen receptor 2 (ER beta)	0.03362	1.17
211242_x_at	KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4	0.03362	1.22
211625_s_at	DRD3	dopamine receptor D3	0.03362	1.15
211840_s_at	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	0.03362	0.83
212367_at	FEM1B	fem-1 homolog b (C. elegans)	0.03362	1.42
212480_at	SPECC1L	SPECC1-like	0.03362	1.75
212721_at	SFRS12	splicing factor, arginine/serine-rich 12	0.03362	0.75
212866_at	R3HCC1	R3H domain and coiled-coil containing 1	0.03362	1.58
213181_s_at	MOCS1	molybdenum cofactor synthesis 1	0.03362	1.6
213245_at	ADCY1	adenylate cyclase 1 (brain)	0.03362	4.26
213271_s_at	DOPEY1	dopey family member 1	0.03362	0.73
213584_s_at	CREBZF	CREB/ATF bZIP transcription factor	0.03362	0.76
214807_at	214807_at	Transcribed locus	0.03362	0.49
215101_s_at	CXCL5	chemokine (C-X-C motif) ligand 5	0.03362	1.68
215307_at	ZNF529	Zinc finger protein 529	0.03362	0.61
215518_at	STXBP5L	syntaxin binding protein 5-like	0.03362	1.19
215872_at	215872_at	NA	0.03362	0.88
215892_at	ZNF440	Zinc finger protein 440	0.03362	1.14
216319_at	216319_at	CDNA FLJ12624 fis, clone NT2RM4001754	0.03362	1.17
216520_s_at	TPT1	tumor protein, translationally-controlled 1	0.03362	0.79
216909_at	RRP12	ribosomal RNA processing 12 homolog (S. cerevisiae)	0.03362	1.15
217263_x_at	RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	0.03362	1.16
217382_at	LOC390363 /// LOC732322	similar to chloride intracellular channel 1	0.03362	0.89
217983_s_at	RNASET2	ribonuclease T2	0.03362	0.67
218225_at	ECSIT	ECSIT homolog (Drosophila)	0.03362	1.27
218314_s_at	C11orf57	chromosome 11 open reading frame 57	0.03362	0.76
218795_at	ACP6	acid phosphatase 6, lysophosphatidic	0.03362	0.65
218829_s_at	CHD7	chromodomain helicase DNA binding protein 7	0.03362	0.67
218945_at	C16orf68	chromosome 16 open reading frame 68	0.03362	1.29
219570_at	C20orf23	chromosome 20 open reading frame 23	0.03362	0.64
219623_at	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	0.03362	0.66
220347_at	SMG6	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	0.03362	1.18
220620_at	CRCT1	cysteine-rich C-terminal 1	0.03362	1.15
220625_s_at	ELF5	E74-like factor 5 (ets domain transcription factor)	0.03362	1.12
220921_at	SPANXB1 /// SPANXB2	SPANX family, member B2 /// SPANX family, member B1	0.03362	1.12
221123_x_at	ZNF395	zinc finger protein 395	0.03362	1.62
221277_s_at	PUS3	pseudouridylate synthase 3	0.03362	0.76
221564_at	PRMT2	protein arginine methyltransferase 2	0.03362	0.8
221676_s_at	CORO1C	coronin, actin binding protein, 1C	0.03362	0.55
222285_at	IGHD	immunoglobulin heavy constant delta	0.03362	1.18
222343_at	BCL2L11	BCL2-like 11 (apoptosis facilitator)	0.03362	0.68
222588_s_at	C11orf57	chromosome 11 open reading frame 57	0.03362	0.75
222957_at	NEU4	sialidase 4	0.03362	1.97
222974_at	IL22	interleukin 22	0.03362	1.13
223120_at	FUCA2	fucosidase, alpha-L- 2, plasma	0.03362	0.55
223196_s_at	SESN2	sestrin 2	0.03362	1.47
223290_at	PDXP	pyridoxal (pyridoxine, vitamin B6) phosphatase	0.03362	1.5
223361_at	C6orf115	chromosome 6 open reading frame 115	0.03362	0.51
223469_at	PGPEP1	pyroglutamyl-peptidase I	0.03362	1.77
223596_at	SLC12A6	solute carrier family 12 (potassium/chloride transporters), member 6	0.03362	0.74
223852_s_at	STK40	serine/threonine kinase 40	0.03362	1.39
223910_at	ERN2	endoplasmic reticulum to nucleus signalling 2	0.03362	1.17
223955_at	EFCAB4B	EF-hand calcium binding domain 4B	0.03362	1.22
223967_at	ANGPTL6	angiopoietin-like 6	0.03362	1.28
224221_s_at	VAV3	vav 3 oncogene	0.03362	0.79
224350_at	224350_at	PRO2898	0.03362	1.14
224710_at	RAB34	RAB34, member RAS oncogene family	0.03362	0.38
224741_x_at	GAS5	growth arrest-specific 5	0.03362	0.45
224841_x_at	GAS5	growth arrest-specific 5	0.03362	0.44
224977_at	C6orf89	chromosome 6 open reading frame 89	0.03362	1.53
225205_at	KIF3B	kinesin family member 3B	0.03362	1.34
225472_at	BAT4	HLA-B associated transcript 4	0.03362	1.47
225516_at	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	0.03362	2.85
225838_at	EPC2	enhancer of polycomb homolog 2 (Drosophila)	0.03362	0.68
226009_at	RP11-529I10.4	deleted in a mouse model of primary ciliary dyskinesia	0.03362	1.36
226538_at	MAN2A1	Mannosidase, alpha, class 2A, member 1	0.03362	1.37
