Fold change	Gene Symbol	Representative public ID
4.2	NMU	NM_006681
4.2	SORD	L29008
4.2	JAG2	Y14330
4.2	LOC440085	AF257099
4.2	PKP3	AF053719
4.3	RARRES1	NM_002888
4.3	DKFZp761P0423	BF739767
4.3	FLJ46072	AI949095
4.3	PPAP2C	AF047760
4.3	LAMC2	NM_018891
4.3	LIPG	NM_006033
4.3	LEPREL1	NM_018192
4.3	LOC58489	AI339710
4.4	---	BC042959
4.4	IL18	NM_001562
4.4	XK	NM_021083
4.4	FAM40B	BC019064
4.4	DAPP1	NM_014395
4.4	UNC84A	BE615699
4.4	PCSK6	NM_002570
4.5	SH3RF2	AW082633
4.5	TRIM14	NM_014788
4.5	IBRDC2	AI953847
4.5	C20orf17	AI694059
4.5	TFAP2C	U85658
4.5	MGC13102	BC005094
4.6	GPM6B	AF016004
4.6	---	CA442342
4.6	KRT18	NM_000224
4.6	CABLES1	AI889160
4.6	PCGF5	AA522681
4.7	BMP2	NM_001200
4.7	ADA	X02189
4.7	TNC	NM_002160
4.7	---	N73742
4.8	BDH	BC005844
4.8	SLC16A6 /// LOC440459	AI873273
4.8	DENND2D	NM_024901
4.8	GCA	NM_012198
4.9	TDE2L	AA872583
4.9	INADL	AB044807
4.9	CLMN	NM_024734
5.0	CENTD1	AB011152
5.0	SLC27A2	NM_003645
5.0	CYP27B1	NM_000785
5.1	PER2	NM_022817
5.1	C3	NM_000064
5.1	INHBA	AI343467
5.2	MUC1	NM_002456
5.2	F11R	AF191495
5.2	IRX5	U90304
5.2	TFCP2L1	AI928242
5.2	DST	NM_001723
5.3	SOX9	AI382146
5.3	CLCA2	NM_006536
5.3	KIAA1026	AB028949
5.3	SDC1	NM_002997
5.4	PCLO	AB011131
5.4	FLRT3	N71923
5.4	DKFZp313A2432	AI742358
5.4	BCL11B	NM_022898
5.4	KSR	AI090141
5.4	LAD1	NM_005558
5.5	NEDD4L	AI357376
5.5	KRT8	U76549
5.5	IFIH1	NM_022168
5.6	RHOF	BC018208
5.6	BIRC3	U37546
5.6	B3GNT3	NM_014256
5.6	FLJ31842	AI004375
5.6	STAP2	BC000795
5.7	S100A2	NM_005978
5.7	---	AW952781
5.7	SH2D3A	NM_005490
5.7	PRSS12	NM_003619
5.8	LEMD1	BE222220
5.8	DSP	NM_004415
5.8	GJB3	BF060667
5.9	ANKRD5	NM_022096
5.9	MGC16075	NM_032761
5.9	C10orf58	BC005871
5.9	CTSL2	AF070448
6.0	BMPR1B	AI826437
6.0	ESX1L	NM_153448
6.0	TIMP3	BF347089
6.0	DEFB1	U73945
6.0	ST6GAL1	AI743792
6.0	DKFZP586A0522	BC004492
6.1	FLJ41603	BF939317
6.1	RHOD	BC001338
6.1	STRBP	AK024285
6.1	---	AW207692
6.1	RIPK4	AP_001743
6.1	---	BF437161
6.1	---	AK097499
6.2	ICA1	L21181
6.2	NFIB	AU146924
6.3	NOXO1	AW083983
6.3	KRT17	Z19574
6.3	MPP7	AI244661
6.3	---	BE672408
6.4	MAFB	NM_005461
6.4	---	AK056897
6.5	TP73L	AF091627
6.7	FUT3	AW080549
6.7	CHDH	AI025415
6.8	SFN	BC000329
6.9	ZNF165	NM_003447
7.0	TACSTD2	J04152
7.0	CCNA1	NM_003914
7.0	DSC3	AI797281
7.2	GJB5	NM_005268
7.3	INHBA	M13436
7.4	PSCA	NM_005672
7.4	SLC44A3	AA809640
7.4	---	AF086401
7.5	SLPI	NM_003064
7.6	ITGB8	AW131039
7.6	VTCN1	NM_024626
7.6	MAPK13	BC000433
7.6	SULT1E1	U55764
7.7	TIGA1	AU144565
7.7	SDCBP2	AL136531
7.7	MGC17299	AV709406
7.7	JPH1	AI202201
7.8	BAG1	AA394039
7.8	OACT1	AI734993
7.9	ANXA3	M63310
7.9	HS3ST1	NM_005114
8.0	TNFRSF11A	AW026379
8.1	GPR56	AL554008
8.1	S100A8	NM_002964
8.1	DSU	NM_018000
8.2	GPR87	NM_023915
8.3	EHF	AI763378
8.3	C10orf47	BF589207
8.4	LOC153346	AU157049
8.5	DKFZp434C0328	NM_017577
8.5	PRSS16	NM_005865
8.6	FLJ90586	AI627262
8.7	MARVELD2	AW009562
8.7	C1orf106	NM_018265
8.8	KIAA0895	AB020702
8.9	CPVL	NM_031311
9.0	PAK6	BC035596
9.0	VAV3	AF118887
9.1	EPB41L4A	NM_022140
9.1	IRF6	AU144284
9.2	PRKAG2	NM_016203
9.3	---	BG290908
9.4	MYO5C	NM_018728
9.5	TRIM29	NM_012101
9.9	PON3	L48516
10.0	FZD3	NM_017412
10.0	BNC1	NM_001717
10.1	PLS1	NM_002670
10.3	ZD52F10	AA706316
10.7	RLN2	NM_005059
11.0	FLJ20273	NM_019027
11.0	SERPINA3	NM_001085
11.2	TMEM30B	AV691491
11.4	GCH1	NM_000161
11.4	PMS2L1	D38503
11.5	TPD52	BE974098
11.6	KLC3	AI279514
11.6	S100P	NM_005980
11.8	ELMO3	NM_024712
12.0	RHBDL2	BC013103
12.2	FAM49A	NM_030797
12.3	ANKRD38	AA456955
12.3	LISCH7	NM_015925
12.4	PRICKLE1	AA206141
12.6	PTPRF	NM_002840
12.9	TNFAIP2	NM_006291
12.9	PADI2	AL049569
13.0	PRRG4	BF905445
13.1	ALPP /// ALPPL2	M13077
13.1	ELOVL7	AW138767
13.7	SLC7A5	AB018009
13.8	NUP210	AA502912
14.1	GPNMB	BC011595
14.3	KCNK5	NM_003740
14.3	ARF7	NM_025047
15.1	FLJ20152	NM_019000
15.9	MBP	L18865
16.1	FYB	BF679849
16.3	CLDN1	NM_021101
16.4	EPB41L5	AI652872
16.5	CENTA1	AW050627
16.5	MAL2	AL117612
16.6	EXPH5	AB014524
16.8	MGC17624	BG285710
17.0	CDS1	NM_001263
17.3	CLDN7	NM_001307
17.3	OVOL2	BC006148
17.4	SCNN1B	NM_000336
17.5	MMP7	NM_002423
17.6	---	AI888150
17.6	EFNA1	NM_004428
17.9	IGSF9	AB037776
18.4	AP1S3	AF393369
18.8	CRB3	N23258
18.9	FAM46B	AA531023
19.8	SYTL2	AB046817
20.7	FOXQ1	AI676059
21.4	---	AV724325
21.4	RBM35B	NM_024939
21.6	ITGB6	NM_000888
21.8	SPTBN2	AA725246
22.0	PPP2R2C	AI669212
22.3	TMEM40	AI087937
22.3	TPD52L1	AF208012
22.6	ST6GALNAC5	NM_030965
23.0	ERBB3	AV681807
24.0	ITGB2	NM_000211
24.1	FAM62B	BC001224
24.4	PPP1R16B	AB020630
25.6	MAP7	AW242297
26.2	GDPD3	NM_024307
26.5	ANXA8	NM_001630
27.1	MYO5B	AI991160
27.8	---	AI282097
29.2	CBLC	NM_012116
31.0	CGN	AI768894
31.0	SCNN1G	AI985987
31.7	RASEF	AA826324
32.2	EPPK1	AL137725
32.7	TGM1	NM_000359
33.0	GRHL1	BE566136
34.0	KRTCAP3	BF680458
35.5	EPS8L1	AI219073
37.1	A2ML1	AL832750
38.2	---	AI792670
38.7	EPN3	NM_017957
38.9	SCEL	AW470178
39.8	LAMA3	NM_000227
40.5	TNNI2	NM_003282
40.8	COL17A1	NM_000494
41.2	KRT16	AF061812
41.3	C1orf172	AA573775
42.8	GRHL2	NM_024915
42.9	BHLHB3	BE857425
46.6	CD24	X69397
46.6	KLK8	NM_144506
47.2	KIBRA	AK001727
52.8	TACSTD1	NM_002354
54.7	ALDH1A3	NM_000693
55.3	KRT5	NM_000424
55.4	CKMT1B /// CKMT1A	NM_020990
55.4	---	AI829721
58.6	COBL	NM_015198
59.2	PROM2	NM_144707
60.3	S100A14	NM_020672
61.3	AP1M2	NM_005498
62.0	GUCY1A3	AI719730
65.0	INHBB	NM_002193
68.6	SMPDL3B	NM_014474
86.0	DSG3	AI813438
87.2	DSC2	BF196457
88.0	ABCA12	AL080207
89.2	GPR110	AA746038
89.8	KRT6A /// KRT6B /// KRT6C /// KRT6E	AL569511
96.5	C1orf116	AA622392
103.2	KRT6A /// KRT6C /// KRT6E	J00269
105.1	KRT15	NM_002275
130.0	PPP1R14C	N32557
133.7	CLDN8	AL049977
140.2	KRT6B	AI831452
141.5	PNLIPRP3	AL833418
146.8	KLK5	AF243527
149.3	ELF3	U73844
157.5	EVA1	NM_005797
163.5	KLK7	AU155415
177.2	TCN1	NM_001062
185.0	CDH3	NM_001793
191.5	CDH1	NM_004360
218.5	ALPP	NM_001632
241.7	CA2	M36532
250.3	FXYD3	BC005238
332.6	RBM35A	NM_017697
340.0	ST14	U20428
357.2	AZGP1	D90427
380.5	KLK10	BC002710
402.8	RAB25	NM_020387
485.2	KLK7	NM_005046
