Gene Symbole	Gene Description
PRKAB1	protein kinase, AMP-activated, beta 1 n
PRKAG2	protein kinase, AMP-activated, gamma 2
PRMT2	protein arginine methyltransferase 2
PRMT3	protein arginine methyltransferase 3
PRNP	prion protein
PROM2	prominin 2
PRRX2	paired related homeobox 2
PSAT1	phosphoserine aminotransferase 1
PSG4	pregnancy specific beta-1-glycoprotein
PSG9	pregnancy specific beta-1-glycoprotein
PSTK	phosphoseryl-tRNA kinase
PTGES	prostaglandin E synthase
PTGR2	prostaglandin reductase 2
PTMS	parathymosin
PTN	pleiotrophin
PTOV1	prostate tumor overexpressed 1
PTPDC1	protein tyrosine phosphatase domain con
PTPLAD2	protein tyrosine phosphatase-like A dom
PTPN13	protein tyrosine phosphatase, non-recep
PTPRM	protein tyrosine phosphatase, receptor
PTRF	polymerase I and transcript release fac
PUS1	pseudouridylate synthase 1
PWP2	PWP2 periodic tryptophan protein homolo
PXDN	peroxidasin homolog (Drosophila)
PYCRL	pyrroline-5-carboxylate reductase-like
PYROXD2	pyridine nucleotide-disulphide oxidored
Pabpc4l	poly(A) binding protein, cytoplasmic 4-
Papln	papilin, proteoglycan-like sulfated gly
Pc	pyruvate carboxylase
Pcdhb18	protocadherin beta 18 pseudogene
Pcsk1n	proprotein convertase subtilisin/kexin
Pdcd11	programmed cell death 11
Pdp1	pyruvate dehyrogenase phosphatase catal
Pgcp	plasma glutamate carboxypeptidase
Phf15	PHD finger protein 15
Phkb	phosphorylase kinase, beta
Pigw	phosphatidylinositol glycan anchor bios
Pim1	pim-1 oncogene
Pkd2	polycystic kidney disease 2 (autosomal
Pkn3	protein kinase N3
Plcb4	phospholipase C, beta 4
Pld3	phospholipase D family, member 3
Plekhg4	pleckstrin homology domain containing,
Pltp	phospholipid transfer protein
Pnpt1	polyribonucleotide nucleotidyltransfera
Pole	polymerase (DNA directed), epsilon
Polr2d	polymerase (RNA) II (DNA directed) poly
Polr3d	polymerase (RNA) III (DNA directed) pol
Polr3f	polymerase (RNA) III (DNA directed) pol
Polr3gl	polymerase (RNA) III (DNA directed) pol
Prkcz	protein kinase C, zeta
Procr	protein C receptor, endothelial (EPCR)
Prosapip1	ProSAPiP1 protein
Prr16	proline rich 16
Prss16	protease, serine, 16 (thymus)
QARS	glutaminyl-tRNA synthetase
QPCT	glutaminyl-peptide cyclotransferase
QPRT	quinolinate phosphoribosyltransferase
QTRTD1	queuine tRNA-ribosyltransferase domain
RAB11B	RAB11B, member RAS oncogene family
RAB32	RAB32, member RAS oncogene family
RAB38	RAB38, member RAS oncogene family
RAB3B	RAB3B, member RAS oncogene family
RAB3IL1	RAB3A interacting protein (rabin3)-like
RABL5	RAB, member RAS oncogene family-like 5
RAD18	RAD18 homolog (S. cerevisiae)
RAD51AP1	RAD51 associated protein 1
RAD54L	RAD54-like (S. cerevisiae)
RAE1	RAE1 RNA export 1 homolog (S. pombe)
RAG1	recombination activating gene 1
RAGE	renal tumor antigen
RALGDS	ral guanine nucleotide dissociation sti
RALGPS1	Ral GEF with PH domain and SH3 binding
RAP1GAP2	GTPase activating Rap/RanGAP domain-lik
RARRES2	retinoic acid receptor responder (tazar
RASD2	RASD family, member 2
RASSF1	Ras association (RalGDS/AF-6) domain fa
RASSF2	Ras association (RalGDS/AF-6) domain fa
RASSF7	Ras association (RalGDS/AF-6) domain fa
RBKS	ribokinase
RBM47	RNA binding motif protein 47
RBM6	RNA binding motif protein 6
RBMS3	RNA binding motif, single stranded inte
RBP7	retinol binding protein 7, cellular
RCAN1	regulator of calcineurin 1
RECK	reversion-inducing-cysteine-rich protei
RFC3	replication factor C (activator 1) 3, 3
RFWD3	ring finger and WD repeat domain 3
RGS2	regulator of G-protein signaling 2, 24k
RILPL1	Rab interacting lysosomal protein-like
RIN1	Ras and Rab interactor 1
RNASET2	ribonuclease T2
RNF135	ring finger protein 135
RNF182	ring finger protein 182
RNF207	ring finger protein 207
RNF212	ring finger protein 212
RP9P	retinitis pigmentosa 9 pseudogene
RPGRIP1L	RPGRIP1-like
RPL22L1	ribosomal protein L22-like 1
RPL23AP32	ribosomal protein L23a pseudogene 32
RPP25	ribonuclease P/MRP 25kDa subunit
RPP40	ribonuclease P/MRP 40kDa subunit
RPRML	reprimo-like
RQCD1	RCD1 required for cell differentiation1
RRAGC	Ras-related GTP binding C
RRBP1	ribosome binding protein 1 homolog 180k
RRN3	RRN3 RNA polymerase I transcription fac
RRP15	ribosomal RNA processing 15 homolog (S.
RRP9	ribosomal RNA processing 9, small subun
RSPH3	radial spoke 3 homolog (Chlamydomonas)
RTTN	rotatin
RWDD2A	RWD domain containing 2A
Rab27a	RAB27A, member RAS oncogene family
Rabgap1l	RAB GTPase activating protein 1-like
Rapgef3	Rap guanine nucleotide exchange factor
Rbp1	retinol binding protein 1, cellular
Rdm1	RAD52 motif 1
Rec8	REC8 homolog (yeast)
Recql4	RecQ protein-like 4
Rftn1	raftlin, lipid raft linker 1
Rgl2	ral guanine nucleotide dissociation sti
Rhobtb1	Rho-related BTB domain containing 1
Rhof	ras homolog gene family, member F (in f
Ribc2	RIB43A domain with coiled-coils 2
Riok3	RIO kinase 3 (yeast)
Rnase4	ribonuclease, RNase A family, 4
Rnf19b	ring finger protein 19B
Rnft2	ring finger protein, transmembrane 2
Rpl10l	ribosomal protein L10-like
Rps27l	ribosomal protein S27-like
Rragd	Ras-related GTP binding D
Rtf1	Rtf1, Paf1/RNA polymerase II complex co
Rusc1	RUN and SH3 domain containing 1
S100A5	S100 calcium binding protein A5
S100A8	S100 calcium binding protein A8
S100A9	S100 calcium binding protein A9
S100P	S100 calcium binding protein P
S100a3	S100 calcium binding protein A3
S100a4	S100 calcium binding protein A4
S1PR1	sphingosine-1-phosphate receptor 1
SAMD9	sterile alpha motif domain containing 9
SAMD9L	sterile alpha motif domain containing 9
SAMHD1	SAM domain and HD domain 1
SAPS2	SAPS domain family, member 2
SATB2	SATB homeobox 2
SC4MOL	sterol-C4-methyl oxidase-like
SC5DL	sterol-C5-desaturase (ERG3 delta-5-desa
SCARNA13	small nucleolar RNA host gene 10 (non-p
SCFD2	sec1 family domain containing 2
SCG5	secretogranin V (7B2 protein)
SCML2	sex comb on midleg-like 2 (Drosophila)
SCN2A	sodium channel, voltage-gated, type II,
SCO2	SCO cytochrome oxidase deficient homolo
SCP2	sterol carrier protein 2
SCRN2	secernin 2
SDC2	syndecan 2
SDCCAG1	serologically defined colon cancer anti
SEC24D	SEC24 family, member D (S. cerevisiae)
SEC31B	SEC31 homolog B (S. cerevisiae)
SELM	selenoprotein M
SEMA3B	sema domain, immunoglobulin domain (Ig)
SEMA3C	sema domain, immunoglobulin domain (Ig)
SEMA6B	sema domain, transmembrane domain (TM),
SERINC2	serine incorporator 2
SERPINB5	serpin peptidase inhibitor, clade B (ov
SERPINE1	serpin peptidase inhibitor, clade E (ne
SERTAD4	SERTA domain containing 4
SESN2	sestrin 2
SFN	stratifin
SFRS14	splicing factor, arginine/serine-rich 1
SFXN2	sideroflexin 2
SFXN3	sideroflexin 3
SGEF	Src homology 3 domain-containing guanin
SGK1	serum/glucocorticoid regulated kinase 1
SGK2	serum/glucocorticoid regulated kinase 2
SGOL2	shugoshin-like 2 (S. pombe)
SGSH	N-sulfoglucosamine sulfohydrolase
SGSM2	small G protein signaling modulator 2
SGSM3	small G protein signaling modulator 3
SH2B3	SH2B adaptor protein 3
SH3BGRL	SH3 domain binding glutamic acid-rich p
SH3BP5L	SH3-binding domain protein 5-like
SH3GL3	SH3-domain GRB2-like 3
SH3PXD2A	SH3 and PX domains 2A
SH3RF3	SH3 domain containing ring finger 3
SHCBP1	SHC SH2-domain binding protein 1
SHF	Src homology 2 domain containing F
SHISA2	shisa homolog 2 (Xenopus laevis)
SHROOM3	shroom family member 3
SIAH1	seven in absentia homolog 1 (Drosophila
SIDT2	SID1 transmembrane family, member 2
SIPA1L2	signal-induced proliferation-associated
SIRT3	sirtuin (silent mating type information
SIRT5	sirtuin (silent mating type information
SLC10A4	solute carrier family 10 (sodium/bile a
SLC11A2	solute carrier family 11 (proton-couple
SLC12A8	solute carrier family 12 (potassium/chl
SLC16A5	solute carrier family 16, member 5 (mon
SLC1A5	solute carrier family 1 (neutral amino
SLC22A1	solute carrier family 22 (organic catio
SLC22A15	solute carrier family 22, member 15
SLC22A3	solute carrier family 22 (extraneuronal
SLC24A3	solute carrier family 24 (sodium/potass
SLC25A33	solute carrier family 25, member 33
SLC26A11	solute carrier family 26, member 11
SLC27A1	solute carrier family 27 (fatty acid tr
SLC2A10	solute carrier family 2 (facilitated gl
SLC2A12	solute carrier family 2 (facilitated gl
SLC31A1	solute carrier family 31 (copper transp
SLC31A2	solute carrier family 31 (copper transp
SLC35F3	solute carrier family 35, member F3
SLC37A4	solute carrier family 37 (glucose-6-pho
SLC38A1	solute carrier family 38, member 1
SLC38A6	solute carrier family 38, member 6
SLC3A2	solute carrier family 3 (activators of
SLC44A3	solute carrier family 44, member 3
SLC48A1	solute carrier family 48 (heme transpor
SLC4A3	solute carrier family 4, anion exchange
SLC5A2	solute carrier family 5 (sodium/glucose
SLC7A1	solute carrier family 7 (cationic amino
SLC7A11	solute carrier family 7, (cationic amin
SLC7A5	solute carrier family 7 (cationic amino
SLC7A7	solute carrier family 7 (cationic amino
SLCO4A1	solute carrier organic anion transporte
SLFN11	schlafen family member 11
SLITRK5	SLIT and NTRK-like family, member 5
SMAD3	SMAD family member 3
SMARCA1	SWI/SNF related, matrix associated, act
SMARCD3	SWI/SNF related, matrix associated, act
SMC2	structural maintenance of chromosomes 2
SMOC1	SPARC related modular calcium binding 1
SMPD1	sphingomyelin phosphodiesterase 1, acid
SMURF2	SMAD specific E3 ubiquitin protein liga
SNHG1	small nucleolar RNA host gene 1 (non-pr
SNHG5	small nucleolar RNA host gene 5 (non-pr
SNHG8	small nucleolar RNA host gene 8 (non-pr
SNORA32	small nucleolar RNA, H/ACA box 25
SNORA61	small nucleolar RNA, H/ACA box 61
SNORA72	small nucleolar RNA, H/ACA box 72
SNRNP70	small nuclear ribonucleoprotein 70kDa (
SNX14	sorting nexin 14
SNX24	sorting nexin 24
SNX8	sorting nexin 8
SOCS6	suppressor of cytokine signaling 6
SOX12	SRY (sex determining region Y)-box 12
SP110	SP110 nuclear body protein
SPAG1	sperm associated antigen 1
SPAG16	sperm associated antigen 16
SPAG5	sperm associated antigen 5
SPATA20	spermatogenesis associated 20
SPATA7	spermatogenesis associated 7
SPCS3	signal peptidase complex subunit 3 homo
SPG7	spastic paraplegia 7 (pure and complica
SPHAR	S-phase response (cyclin related)
SPP1	secreted phosphoprotein 1
SPRY2	sprouty homolog 2 (Drosophila)
SPRY4	sprouty homolog 4 (Drosophila)
SPSB1	splA/ryanodine receptor domain and SOCS
SRFBP1	serum response factor binding protein 1
SRI	sorcin
SRM	spermidine synthase
SSBP2	single-stranded DNA binding protein 2
ST20	suppressor of tumorigenicity 20
ST5	suppression of tumorigenicity 5
ST6GALNAC6	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta
STAMBPL1	STAM binding protein-like 1
STARD9	StAR-related lipid transfer (START) dom
STAT1	signal transducer and activator of tran
STAU2	staufen, RNA binding protein, homolog 2
STBD1	starch binding domain 1
STEAP1	six transmembrane epithelial antigen of
STEAP3	STEAP family member 3
STIL	SCL/TAL1 interrupting locus
STK10	serine/threonine kinase 10
STK16	serine/threonine kinase 16
STK17A	serine/threonine kinase 17a
STK36	serine/threonine kinase 36, fused homol
STMN3	stathmin-like 3
STX3	syntaxin 3
STYXL1	serine/threonine/tyrosine interacting-l
SULF2	sulfatase 2
SUOX	sulfite oxidase
SUSD1	sushi domain containing 1
SUSD5	sushi domain containing 5
SVIL	supervillin
SYNE1	spectrin repeat containing, nuclear env
SYT16	synaptotagmin XVI
SYTL2	synaptotagmin-like 2
Samm50	sorting and assembly machinery componen
Sat1	spermidine/spermine N1-acetyltransferas
Sec61a2	Sec61 alpha 2 subunit (S. cerevisiae)
Senp5	SUMO1/sentrin specific peptidase 5
40427	septin 6
Sertad1	SERTA domain containing 1
Setd8	SET domain containing (lysine methyltra
Sfrs5	splicing factor, arginine/serine-rich 5
Sh3bgr	SH3 domain binding glutamic acid-rich p
Sirpa	signal-regulatory protein alpha
Sirt2	sirtuin (silent mating type information
Ska1	chromosome 18 open reading frame 24
Slc22a18	solute carrier family 22, member 18
Slc25a25	solute carrier family 25 (mitochondrial
Slc25a45	solute carrier family 25, member 45
Slc26a2	solute carrier family 26 (sulfate trans
Slc29a3	solute carrier family 29 (nucleoside tr
Slc39a11	solute carrier family 39 (metal ion tra
Slc3a1	solute carrier family 3 (cystine, dibas
Slfn5	schlafen family member 5
Slpi	secretory leukocyte peptidase inhibitor
Smo	smoothened homolog (Drosophila)
Snapin	SNAP-associated protein
Snx29	sorting nexin 29
Sod2	superoxide dismutase 2, mitochondrial
Sorcs2	sortilin-related VPS10 domain containin
Sox4	SRY (sex determining region Y)-box 4
Spint1	serine peptidase inhibitor, Kunitz type
Spock1	sparc/osteonectin, cwcv and kazal-like
Spsb3	splA/ryanodine receptor domain and SOCS
Sptlc2	serine palmitoyltransferase, long chain
Ssh3	slingshot homolog 3 (Drosophila)
Steap2	six transmembrane epithelial antigen of
Stx8	syntaxin 8
Sult1c2	sulfotransferase family, cytosolic, 1C,
Suv39h1	suppressor of variegation 3-9 homolog 1
Sycp3	synaptonemal complex protein 3
Syngr3	synaptogyrin 3
Syt11	synaptotagmin XI
Syt7	synaptotagmin XVII
TACC3	transforming, acidic coiled-coil contai
TAF4B	TAF4b RNA polymerase II, TATA box bindi
TAGLN	transgelin
TBC1D12	TBC1 domain family, member 12
TBC1D22A	TBC1 domain family, member 22A
TBC1D8	TBC1 domain family, member 8 (with GRAM
TBCK	TBC domain-containing protein kinase-li
TCAM1P	testicular cell adhesion molecule 1 hom
TCEA3	transcription elongation factor A (SII)
TCEAL4	transcription elongation factor A (SII)
TCF19	transcription factor 19
TCF25	transcription factor 25 (basic helix-lo
TCF4	transcription factor 4
TCF7	transcription factor 7 (T-cell specific
TCN2	transcobalamin II; macrocytic anemia
TCP11L1	t-complex 11 (mouse)-like 1
TCP1P3	t-complex 1
TCTEX1D2	Tctex1 domain containing 2
TCTN1	tectonic family member 1
TDRD3	tudor domain containing 3
TENC1	tensin like C1 domain containing phosph
TFAM	transcription factor A, mitochondrial
TFAP2A	transcription factor AP-2 alpha (activa
TFEB	transcription factor EB
TGDS	TDP-glucose 4,6-dehydratase
TGFB1	transforming growth factor, beta 1
TGFB2	transforming growth factor, beta 2
THAP10	THAP domain containing 10
THBD	thrombomodulin
THOC6	THO complex 6 homolog (Drosophila)
TIMM10	translocase of inner mitochondrial memb
TIMM8A	translocase of inner mitochondrial memb
TINAGL1	tubulointerstitial nephritis antigen-li
TIPARP	TCDD-inducible poly(ADP-ribose) polymer
TIPIN	TIMELESS interacting protein
TJP2	tight junction protein 2 (zona occluden
TLE2	transducin-like enhancer of split 2 (E(
TM4SF1	transmembrane 4 L six family member 1
TMCO6	transmembrane and coiled-coil domains 6
TMEM101	transmembrane protein 101
TMEM120A	transmembrane protein 120A
TMEM133	transmembrane protein 133
TMEM141	transmembrane protein 141
TMEM154	transmembrane protein 154
TMEM158	transmembrane protein 158
TMEM161B	transmembrane protein 161B
TMEM17	transmembrane protein 17
TMEM170A	transmembrane protein 170A
TMEM187	transmembrane protein 187
TMEM194A	transmembrane protein 194A
TMEM199	transmembrane protein 199
TMEM201	transmembrane protein 201
TMEM206	transmembrane protein 206
TMEM22	transmembrane protein 22
TMEM47	transmembrane protein 47
TMEM51	transmembrane protein 51
TMEM67	transmembrane protein 67
TMEM8B	transmembrane protein 8B
TMOD1	tropomodulin 1
TMPO	thymopoietin
TMSB15B	thymosin beta 15a
TMSB15B	thymosin beta 15B
TNC	tenascin C
TNFAIP8	tumor necrosis factor, alpha-induced pr
TNFRSF10A	tumor necrosis factor receptor superfam
TNFSF10	tumor necrosis factor (ligand) superfam
TNNT1	troponin T type 1 (skeletal, slow)
TNRC6B	trinucleotide repeat containing 6B
TNS3	tensin 3
TOP2B	topoisomerase (DNA) II beta 180kDa
TPBG	trophoblast glycoprotein
TPD52L1	tumor protein D52-like 1
TPM1	tropomyosin 1 (alpha)
TPPP	tubulin polymerization promoting protei
TRAF6	TNF receptor-associated factor 6
TRHDE	thyrotropin-releasing hormone degrading
TRIB3	tribbles homolog 3 (Drosophila)
TRIM13	tripartite motif-containing 13
TRIM21	tripartite motif-containing 21
TRIM22	tripartite motif-containing 22
TRIM25	tripartite motif-containing 25
TRIM36	tripartite motif-containing 36
TRIM52	tripartite motif-containing 52
TRIM6-TRIM34	tripartite motif-containing 6
TRMT6	tRNA methyltransferase 6 homolog (S. ce
TRPM4	transient receptor potential cation cha
TRPS1	trichorhinophalangeal syndrome I
TRPV1	transient receptor potential cation cha
TSEN15	tRNA splicing endonuclease 15 homolog (
TSHZ1	teashirt zinc finger homeobox 1
TSHZ3	teashirt zinc finger homeobox 3
TSNAXIP1	translin-associated factor X interactin
TSPAN1	tetraspanin 1
TSPAN12	tetraspanin 12
TSPAN13	tetraspanin 13
TSPYL4	TSPY-like 4
TSTD1	thiosulfate sulfurtransferase KAT, puta
TTC23	tetratricopeptide repeat domain 23
TTC25	tetratricopeptide repeat domain 25
TTC3	tetratricopeptide repeat domain 3
TTC30A	tetratricopeptide repeat domain 30A
TTC32	tetratricopeptide repeat domain 32
TTC37	tetratricopeptide repeat domain 37
TTC8	tetratricopeptide repeat domain 8
TTF2	transcription termination factor, RNA p
TTLL5	tubulin tyrosine ligase-like family, me
TUBA1A	tubulin, alpha 1a
TUBA4A	tubulin, alpha 4a
TWIST2	twist homolog 2 (Drosophila)
TXNIP	thioredoxin interacting protein
TXNRD2	thioredoxin reductase 2
Taf1a	TATA box binding protein (TBP)-associat
Taf5	TAF5 RNA polymerase II, TATA box bindin
Tbcd	tubulin folding cofactor D
Tceal1	transcription elongation factor A (SII)
Tceal3	transcription elongation factor A (SII)
Tcf7l2	transcription factor 7-like 2 (T-cell s
Tcfl5	transcription factor-like 5 (basic heli
Tgif1	TGFB-induced factor homeobox 1
Tgif2	TGFB-induced factor homeobox 2
Thbs1	thrombospondin 1
Thbs3	thrombospondin 3
Thnsl1	threonine synthase-like 1 (S. cerevisia
Tm6sf1	transmembrane 6 superfamily member 1
Tmcc1	transmembrane and coiled-coil domain fa
Tmem134	transmembrane protein 134
Tmem170b	transmembrane protein 170B
Tmem173	transmembrane protein 173
Tmem185b	transmembrane protein 185B (pseudogene)
Tmem2	transmembrane protein 2
Tmem41a	transmembrane protein 41A
Tmem48	transmembrane protein 48
Tmem80	transmembrane protein 80
Tmem91	transmembrane protein 91
Tmtc4	transmembrane and tetratricopeptide rep
Tox	thymocyte selection-associated high mob
Tppp3	tubulin polymerization-promoting protei
Trim14	tripartite motif-containing 14
Trim35	tripartite motif-containing 35
Trim65	tripartite motif-containing 65
Trip13	thyroid hormone receptor interactor 13
Trpt1	tRNA phosphotransferase 1
Tspan2	tetraspanin 2
Tspan31	tetraspanin 31
Tspan6	tetraspanin 6
Ttc12	tetratricopeptide repeat domain 12
Ttc39b	tetratricopeptide repeat domain 39B
Ttyh3	tweety homolog 3 (Drosophila)
Tubb2a	tubulin, beta 2A
Tubb4	tubulin, beta 4
Txndc16	thioredoxin domain containing 16
Txnl4b	thioredoxin-like 4B
Txnrd3	thioredoxin reductase 3
UBASH3B	ubiquitin associated and SH3 domain con
UBE3C	ubiquitin protein ligase E3C
UBIAD1	UbiA prenyltransferase domain containin
UBR4	ubiquitin protein ligase E3 component n
UBXN8	UBX domain protein 8
UCP2	uncoupling protein 2 (mitochondrial, pr
UGCG	UDP-glucose ceramide glucosyltransferas
ULBP2	UL16 binding protein 2
ULK1	unc-51-like kinase 1 (C. elegans)
UNC45A	unc-45 homolog A (C. elegans)
UNC5CL	unc-5 homolog C (C. elegans)-like
UPRT	uracil phosphoribosyltransferase (FUR1)
URB2	URB2 ribosome biogenesis 2 homolog (S.
USP20	ubiquitin specific peptidase 20
USP31	ubiquitin specific peptidase 31
USP54	ubiquitin specific peptidase 54
UTP15	UTP15, U3 small nucleolar ribonucleopro
Uap1l1	UDP-N-acteylglucosamine pyrophosphoryla
Ube2t	ubiquitin-conjugating enzyme E2T (putat
Ubxn11	UBX domain protein 11
Uchl1	ubiquitin carboxyl-terminal esterase L1
Uggt2	UDP-glucose ceramide glucosyltransferas
Ugt1a3	UDP glucuronosyltransferase 1 family, p
VAV1	vav 1 guanine nucleotide exchange facto
VCAN	versican
VEGFA	vascular endothelial growth factor A
VEGFC	vascular endothelial growth factor C
VPS36	vacuolar protein sorting 36 homolog (S.
VPS37D	vacuolar protein sorting 37 homolog D (
VPS39	vacuolar protein sorting 39 homolog (S.
VRK1	vaccinia related kinase 1
Vamp8	vesicle-associated membrane protein 8 (
WARS2	tryptophanyl tRNA synthetase 2, mitocho
WDR19	WD repeat domain 19
WDR35	WD repeat domain 35
WDR53	WD repeat domain 53
WDR54	WD repeat domain 54
WDR76	WD repeat domain 76
WDR77	WD repeat domain 77
WDR91	WD repeat domain 91
WDTC1	WD and tetratricopeptide repeats 1
WFDC2	WAP four-disulfide core domain 2
WIPI1	WD repeat domain, phosphoinositide inte
WNK4	WNK lysine deficient protein kinase 4
WNT5A	wingless-type MMTV integration site fam
WSB1	WD repeat and SOCS box-containing 1
WWTR1	WW domain containing transcription regu
Wbp5	WW domain binding protein 5
Wdhd1	WD repeat and HMG-box DNA binding prote
Wdr25	WD repeat domain 25
Wdr60	WD repeat domain 60
XAF1	XIAP associated factor 1
XIST	X (inactive)-specific transcript (non-p
XPO4	exportin 4
Xbp1	X-box binding protein 1
Xpo5	exportin 5
YBX2	Y box binding protein 2
YPEL2	yippee-like 2 (Drosophila)
YPEL5	yippee-like 5 (Drosophila)
Yars	tyrosyl-tRNA synthetase
ZBTB20	zinc finger and BTB domain containing 2
ZBTB22	zinc finger and BTB domain containing 2
ZC3H12A	zinc finger CCCH-type containing 12A
ZC3H12C	zinc finger CCCH-type containing 12C
ZC3H8	zinc finger CCCH-type containing 8
ZCCHC11	zinc finger, CCHC domain containing 11
ZCCHC2	zinc finger, CCHC domain containing 2
ZDBF2	zinc finger, DBF-type containing 2
ZFAND2A	zinc finger, AN1-type domain 2A
ZFHX4	zinc finger homeobox 4
ZFP2	zinc finger protein 2 homolog (mouse)
ZFP28	zinc finger protein 28 homolog (mouse)
ZFP3	zinc finger protein 3 homolog (mouse)
ZFP30	zinc finger protein 30 homolog (mouse)
ZFP82	zinc finger protein 82 homolog (mouse)
ZHX2	zinc fingers and homeoboxes 2
ZKSCAN1	zinc finger with KRAB and SCAN domains
ZMYM3	zinc finger, MYM-type 3
ZNF117	zinc finger protein 117
ZNF135	zinc finger protein 135
ZNF137	zinc finger protein 137
ZNF187	zinc finger protein 187
ZNF200	zinc finger protein 200
ZNF204P	zinc finger protein 204 pseudogene
ZNF22	zinc finger protein 22 (KOX 15)
ZNF239	zinc finger protein 239
ZNF248	zinc finger protein 248
ZNF25	zinc finger protein 25
ZNF251	zinc finger protein 251
ZNF256	zinc finger protein 256
ZNF257	zinc finger protein 257
ZNF259	zinc finger protein 259
ZNF267	zinc finger protein 267
ZNF280B	zinc finger protein 280B
ZNF280C	zinc finger protein 280C
ZNF280D	zinc finger protein 280D
ZNF295	zinc finger protein 295
ZNF300	zinc finger protein 300
ZNF302	zinc finger protein 302
ZNF320	zinc finger protein 320
ZNF323	zinc finger protein 323
ZNF331	zinc finger protein 331
ZNF337	zinc finger protein 337
ZNF350	zinc finger protein 350
ZNF362	zinc finger protein 362
ZNF395	zinc finger protein 395
ZNF418	zinc finger protein 418
ZNF439	zinc finger protein 439
ZNF469	zinc finger protein 469
ZNF470	zinc finger protein 470
ZNF473	zinc finger protein 473
ZNF493	zinc finger protein 493
ZNF497	zinc finger protein 497
ZNF512B	zinc finger protein 512B
ZNF518A	zinc finger protein 518A
ZNF565	zinc finger protein 565
ZNF570	zinc finger protein 570
ZNF571	zinc finger protein 571
ZNF580	zinc finger protein 580
ZNF586	zinc finger protein 586
ZNF610	zinc finger protein 610
ZNF629	zinc finger protein 629
ZNF652	zinc finger protein 652
ZNF669	zinc finger protein 669
ZNF670	zinc finger protein 670
ZNF692	zinc finger protein 692
ZNF697	zinc finger protein 697
ZNF76	zinc finger protein 76 (expressed in te
ZNF767	zinc finger family member 767
ZNF781	zinc finger protein 781
ZNF788	zinc finger family member 788
ZNF789	zinc finger protein 789
ZNF83	zinc finger protein 83
ZNF85	zinc finger protein 85
ZNF850P	zinc finger protein 850 pseudogene
ZNF862	zinc finger protein 862
ZNF883	hypothetical protein LOC169834
ZSCAN2	zinc finger and SCAN domain containing
ZWILCH	Zwilch, kinetochore associated, homolog
Zc4h2	zinc finger, C4H2 domain containing
Zdhhc20	zinc finger, DHHC-type containing 20
Zeb2	zinc finger E-box binding homeobox 2
Zfc3h1	zinc finger, C3H1-type containing
Zmynd8	zinc finger, MYND-type containing 8
Znf597	zinc finger protein 597
Znf622	zinc finger protein 622
Znf626	zinc finger protein 626
Znf691	zinc finger protein 691
Znfx1	zinc finger, NFX1-type containing 1
abcc5	ATP-binding cassette, sub-family C (CFT
abhd4	abhydrolase domain containing 4
abl2	v-abl Abelson murine leukemia viral onc
actn4	actinin, alpha 4
adhfe1	alcohol dehydrogenase, iron containing,
afap1l1	actin filament associated protein 1-lik
agbl5	ATP/GTP binding protein-like 5
aifm2	apoptosis-inducing factor, mitochondrio
akr1c2	aldo-keto reductase family 1, member C2
akr1c3	aldo-keto reductase family 1, member C3
aldh3a2	aldehyde dehydrogenase 3 family, member
alpk2	alpha-kinase 2
alx1	ALX homeobox 1
ampd2	adenosine monophosphate deaminase 2 (is
anxa4	annexin A4
ap1g2	adaptor-related protein complex 1, gamm
appl2	adaptor protein, phosphotyrosine intera
arhgef10	Rho guanine nucleotide exchange factor
arhgef5	Rho guanine nucleotide exchange factor
arl2	ADP-ribosylation factor-like 2
arrdc4	arrestin domain containing 4
arsD	arylsulfatase D
as3mt	arsenic (+3 oxidation state) methyltran
asnS	asparagine synthetase
ate1	arginyltransferase 1
atg10	ATG10 autophagy related 10 homolog (S.
atp6v1b2	ATPase, H+ transporting, lysosomal 56/5
b3gnt1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglu
bag1	BCL2-associated athanogene
baiap2l1	BAI1-associated protein 2-like 1
bdh2	3-hydroxybutyrate dehydrogenase, type 2
bmp2	bone morphogenetic protein 2
btg1	B-cell translocation gene 1, anti-proli
bysl	bystin-like
c10orf140	chromosome 10 open reading frame 140
c10orf35	chromosome 10 open reading frame 35
c11orf54	chromosome 11 open reading frame 54
c11orf74	chromosome 11 open reading frame 74
c12orf51	chromosome 12 open reading frame 51
c14orf1	chromosome 14 open reading frame 1
c15orf41	chromosome 15 open reading frame 41
c17orf108	hypothetical protein LOC201229
c17orf48	chromosome 17 open reading frame 48
c18orf19	chromosome 18 open reading frame 19
c1orf107	chromosome 1 open reading frame 107
c1orf109	chromosome 1 open reading frame 109
c1orf85	chromosome 1 open reading frame 85
c20orf108	chromosome 20 open reading frame 108
c20orf46	chromosome 20 open reading frame 46
c21orf2	chromosome 21 open reading frame 2
c2orf68	chromosome 2 open reading frame 68
c4orf33	chromosome 4 open reading frame 33
c6orf165	chromosome 6 open reading frame 165
c6orf192	chromosome 6 open reading frame 192
c8orf33	chromosome 8 open reading frame 33
c8orf40	chromosome 8 open reading frame 40
ca12	carbonic anhydrase XII
cadps2	Ca++-dependent secretion activator 2
carS	cysteinyl-tRNA synthetase
cast	calpastatin
cat	catalase
cav1	caveolin 1, caveolae protein, 22kDa
cbx4	chromobox homolog 4 (Pc class homolog,
