Gene	EntrezID	N_TPM	F_TPM	R_TPM
Tmem41a	66664	7.16	8.32	8.74
Ikzf5	67143	7.16	7.84	9.05
2310033P09Rik	67862	7.16	8.04	5.35
Vrk2	69922	7.16	4.21	5.66
Gfod2	70575	7.16	5.74	6.27
Rnf215	71673	7.16	4.88	4.73
Rnf135	71956	7.16	7.27	8.23
Sf3a3	75062	7.16	5.17	7.51
2810008M24Rik	75616	7.16	4.78	11.42
Arfip1	99889	7.16	4.97	8.64
Mtrf1l	108853	7.16	9.47	8.43
Mrps2	118451	7.16	7.75	6.07
Prr14	233895	7.16	6.41	4.83
Lrrc8a	241296	7.16	6.6	8.02
Rnf31	268749	7.16	8.51	7.71
Phf8	320595	7.16	6.89	9.15
Zfp703	353310	7.16	5.93	5.76
LOC632664	632664	7.16	7.75	10.49
LOC100044376	100044376	7.16	7.08	6.58
Smg1	233789	7.16	8.9	14.09
Tgfbrap1	317645	7.16	13.58	10.29
2010003K11Rik	69861	7.16	17.89	18.93
Dbnl	13169	7.06	4.78	6.17
Ran	19384	7.06	9.37	6.07
Reps1	19707	7.06	5.17	7.71
Dido1	23856	7.06	6.22	5.35
Polm	54125	7.06	7.27	7.82
Ccny	67974	7.06	4.4	3.81
2310035K24Rik	69596	7.06	3.54	8.02
Ldlrap1	100017	7.06	5.36	9.15
Tdrd7	100121	7.06	5.45	7.2
Ell2	192657	7.06	10.33	9.36
Pqlc2	212555	7.06	6.12	8.33
Agfg2	231801	7.06	7.17	8.74
Tubgcp3	259279	7.06	7.08	7.41
Cobll1	319876	7.06	11.96	9.57
Vmo1	327956	7.06	4.78	7.3
Pacsin2	23970	7.06	7.17	12.65
Sh3glb2	227700	7.06	5.07	12.96
2210415I11Rik	78320	7.06	17.7	2.98
Zfp746	69228	7.06	13.39	8.33
Fam102a	98952	7.06	15.02	11.31
Dpyd	99586	7.06	13.2	8.54
OTTMUSG00000016925	675416	7.06	22	8.95
Phf2	18676	6.97	2.77	5.14
Camk1d	227541	6.97	2.97	12.14
Gspt1	14852	6.97	6.31	1.85
Gdf10	14560	6.97	3.44	4.73
Hsf1	15499	6.97	6.7	6.38
Ids	15931	6.97	3.35	7.51
Ifnar1	15975	6.97	7.08	9.36
Pknox1	18771	6.97	5.07	7.61
Ccl6	20305	6.97	9.37	8.85
Tcf12	21406	6.97	6.6	4.94
Faim	23873	6.97	3.35	3.91
Rmnd5b	66089	6.97	6.12	11.83
Dmap1	66233	6.97	6.79	9.57
Ccnh	66671	6.97	5.36	5.97
Arhgef3	71704	6.97	11	3.91
Wdr33	74320	6.97	3.83	5.76
Det1	76375	6.97	8.51	11.31
Hnrnpa0	77134	6.97	7.94	10.49
Ppp1r8	100336	6.97	5.36	5.66
Bcr	110279	6.97	7.17	7.61
Lnx2	140887	6.97	9.47	5.35
Tmem60	212090	6.97	3.44	7.2
2810046L04Rik	212127	6.97	3.73	7.61
Bms1	213895	6.97	5.36	11.21
Rab3ip	216363	6.97	4.78	6.07
Pi4ka	224020	6.97	8.13	8.23
Gimap6	231931	6.97	5.84	6.69
Arhgap25	232201	6.97	8.32	6.79
Ino80e	233875	6.97	7.17	10.8
LOC100046855	100046855	6.97	9.18	4.63
Kcmf1	74287	6.97	8.13	13.47
Eif2b3	108067	6.97	7.65	13.37
Sip1	66603	6.97	14.64	13.78
Fnip1	216742	6.97	13.2	14.61
Cry1	12952	6.87	2.01	5.86
Hdhd3	72748	6.87	2.77	4.53
Commd10	69456	6.87	2.87	12.65
Atg16l2	73683	6.87	2.39	15.02
Ccl21c	65956	6.87	4.69	2.06
Adssl1	11565	6.87	10.04	9.87
Hgs	15239	6.87	6.7	8.02
Irs1	16367	6.87	6.22	6.27
Rgl2	19732	6.87	7.08	5.66
Vhl	22346	6.87	5.36	6.48
Azi2	27215	6.87	8.99	10.49
Wdr8	59002	6.87	3.73	3.6
Lztr1	66863	6.87	6.6	5.55
Sec14l2	67815	6.87	4.88	4.53
Rnf166	68718	6.87	4.97	5.25
Ascc1	69090	6.87	4.02	8.13
2310022B05Rik	69551	6.87	3.92	9.67
Tbc1d13	70296	6.87	4.78	11.93
Asb6	72323	6.87	6.79	9.57
Ubap2l	74383	6.87	8.99	9.77
Pank2	74450	6.87	8.61	10.8
Commd9	76501	6.87	4.3	6.89
Mapkapk3	102626	6.87	3.44	11.31
Btbd3	228662	6.87	3.64	5.97
Tmem195	319660	6.87	8.04	5.97
Ttrap	56196	6.87	7.08	12.86
Tmem115	56395	6.87	7.27	12.55
Celsr1	12614	6.78	1.05	4.73
Fbxl14	101358	6.78	2.97	7.92
Rhob	11852	6.78	5.55	2.47
Efnb2	13642	6.78	3.73	2.16
Ap2a1	11771	6.78	4.3	9.77
Csk	12988	6.78	7.08	7.2
Dmwd	13401	6.78	5.55	7.2
Gtf2h4	14885	6.78	4.88	6.69
F11r	16456	6.78	3.25	6.58
Padi4	18602	6.78	5.45	10.08
Slc12a4	20498	6.78	3.25	7.61
Scamp2	24044	6.78	4.11	8.13
Pnpla6	50767	6.78	4.02	7.61
Camk1	52163	6.78	4.3	5.35
Zbp1	58203	6.78	9.95	9.36
Rnf8	58230	6.78	4.97	6.38
1810020D17Rik	66273	6.78	4.11	8.02
Shisa5	66940	6.78	3.16	5.66
Camsap1l1	67886	6.78	8.51	7.41
2810002N01Rik	68020	6.78	7.46	9.36
Pitrm1	69617	6.78	6.98	9.15
Cep57	74360	6.78	3.73	6.38
Cnot10	78893	6.78	9.18	7.92
Golga2	99412	6.78	6.79	8.54
Gmpr2	105446	6.78	6.31	10.18
AI837181	107242	6.78	7.27	7.82
Cyb5d2	192986	6.78	8.13	8.13
Foxred1	235169	6.78	6.79	7.71
Opa3	403187	6.78	3.16	9.26
Sars2	71984	6.78	5.26	13.99
Zfp187	104344	6.78	10.14	12.14
Cyp3a59	100041449	6.78	21.33	2.67
Xpa	22590	6.78	15.59	5.14
Dedd2	67379	6.78	12.05	8.85
LOC100039708	100039708	6.68	2.77	2.57
Icam1	15894	6.68	3.44	8.95
Marcksl1	17357	6.68	3.73	5.97
Rev3l	19714	6.68	5.26	8.64
Ralb	64143	6.68	5.36	8.54
Ogfod2	66627	6.68	9.95	7.41
Ints1	68510	6.68	3.73	7.51
Haghl	68977	6.68	5.07	6.38
Elf2	69257	6.68	4.97	3.91
Scnm1	69269	6.68	5.17	9.87
Polr3gl	69870	6.68	8.8	9.26
Nipbl	71175	6.68	6.12	4.22
Dus4l	71916	6.68	10.04	6.89
Fbxl20	72194	6.68	4.11	4.73
Cxxc1	74322	6.68	4.69	6.07
Abtb1	80283	6.68	6.51	9.26
AW146154	101835	6.68	3.54	5.14
Dohh	102115	6.68	6.12	9.87
Prex2	109294	6.68	7.27	8.33
Sri	109552	6.68	6.12	9.36
Ankrd54	223690	6.68	3.35	4.83
Pon3	269823	6.68	5.84	11.73
Jmjd1b	277250	6.68	3.54	5.55
S100a11	20195	6.68	7.27	18.21
2310047M10Rik	71923	6.68	4.4	12.24
Slco1a4	28250	6.68	79.78	2.98
Ndufs7	75406	6.68	14.64	7.3
Rab3il1	74760	6.59	1.63	6.38
Fam151b	73942	6.59	6.03	2.88
Akap2	11641	6.59	3.44	6.58
Abcd1	11666	6.59	4.4	5.04
Mllt10	17354	6.59	5.74	10.39
Tcf7l2	21416	6.59	4.97	7.3
Tmem165	21982	6.59	4.78	6.79
Wrn	22427	6.59	3.54	4.63
Mid2	23947	6.59	3.54	4.83
Clcn7	26373	6.59	7.37	7.41
Plod3	26433	6.59	3.25	7.71
Abca8b	27404	6.59	3.54	8.23
Tyk2	54721	6.59	7.08	8.95
Uqcc	56046	6.59	5.64	7.61
Adar	56417	6.59	8.23	5.35
Isy1	57905	6.59	6.98	9.26
Efemp2	58859	6.59	3.06	8.54
Lsm3	67678	6.59	11.29	6.17
Cml4	68396	6.59	5.17	5.04
Sat2	69215	6.59	8.8	5.25
Usp19	71472	6.59	7.27	6.48
Zfp661	72180	6.59	7.84	8.95
Dnajc14	74330	6.59	4.59	7.82
Ranbp10	74334	6.59	7.46	3.91
Gcc1	74375	6.59	8.51	10.8
Usp42	76800	6.59	6.7	7.51
Cstf2t	83410	6.59	8.71	5.45
Snx19	102607	6.59	9.18	8.43
Pld4	104102	6.59	5.07	4.42
Ehmt2	110147	6.59	5.07	6.79
Tbc1d12	209478	6.59	3.16	7.3
Rundc1	217201	6.59	6.22	5.86
Cdc27	217232	6.59	4.5	6.17
Tnks1bp1	228140	6.59	8.13	9.36
Smcr8	237782	6.59	3.83	7.92
Sap130	269003	6.59	6.51	8.13
LOC100044636	100044636	6.59	5.45	7.1
Iars	105148	6.59	5.84	12.03
Ppapdc1b	71910	6.59	11.58	27.56
Pold2	18972	6.49	1.82	6.99
Ptpra	19262	6.49	2.77	4.83
Amot	27494	6.49	2.2	10.7
Atp8b1	54670	6.49	2.77	11.31
Crim2	333088	6.49	2.39	7.51
Rgl1	19731	6.49	3.64	2.78
Rft1	328370	6.49	6.6	2.78
Aif1	11629	6.49	4.02	9.05
Slc25a4	11739	6.49	4.59	6.58
Igf2r	16004	6.49	5.17	6.27
Nab2	17937	6.49	4.3	5.25
Nfatc3	18021	6.49	8.42	5.86
Pecam1	18613	6.49	5.17	5.04
Prkcd	18753	6.49	3.06	8.85
Prpf4b	19134	6.49	3.54	4.53
Ift88	21821	6.49	8.71	5.55
Mbc2	23943	6.49	7.46	10.18
Rhbg	58176	6.49	7.46	7.41
Dnajc30	66114	6.49	7.17	5.45
Ccdc90b	66365	6.49	6.7	7.82
Pmf1	67037	6.49	4.59	7.3
Rbm25	67039	6.49	5.36	10.8
0610010F05Rik	71675	6.49	6.12	6.79
Otud6b	72201	6.49	3.35	5.97
Fam149b	105428	6.49	6.7	7.82
Gimap4	107526	6.49	6.7	8.43
Ints5	109077	6.49	3.92	6.89
Mtmr4	170749	6.49	10.71	9.36
Fbxl11	225876	6.49	4.21	7.2
Hisppd1	227399	6.49	7.94	6.27
BC019943	234138	6.49	8.9	6.17
Snx17	266781	6.49	6.12	7.2
Zfp395	380912	6.49	10.04	5.97
Flot1	14251	6.49	7.37	17.59
Ube4b	63958	6.49	12.53	9.98
LOC630618	630618	6.49	13.87	8.23
Mfsd6	98682	6.4	2.1	7.82
Plekha1	101476	6.4	2.58	7.2
Ahr	11622	6.4	5.36	1.85
Ap1m1	11767	6.4	8.42	9.57
Eya3	14050	6.4	5.93	8.95
Gnal1	14670	6.4	5.74	8.13
Itpr1	16438	6.4	5.45	9.05
Ndst2	17423	6.4	5.64	7.1
Msn	17698	6.4	8.71	10.39
Pitpna	18738	6.4	4.3	3.7
Rnf2	19821	6.4	4.21	8.02
Tex261	21766	6.4	4.3	8.23
Tk1	21877	6.4	3.54	4.53
Gdf15	23886	6.4	8.9	9.05
Rrp9	27966	6.4	7.75	9.36
Psmd10	53380	6.4	6.6	10.29
Gripap1	54645	6.4	4.88	5.66
Amotl2	56332	6.4	8.71	5.04
Pdcl	67466	6.4	5.55	8.95
Snx24	69226	6.4	4.69	6.89
Gtpbp4	69237	6.4	5.55	7.41
4930506M07Rik	71653	6.4	7.08	5.86
Rgl3	71746	6.4	6.51	3.29
Usp47	74996	6.4	7.94	9.87
Rdh10	98711	6.4	3.25	5.55
Phactr4	100169	6.4	5.74	9.05
Mobkl2c	100465	6.4	3.92	7.1
Phrf1	101471	6.4	6.7	6.38
Triobp	110253	6.4	7.08	9.05
Prps2	110639	6.4	3.06	6.79
Ehbp1l1	114601	6.4	5.45	5.76
Rfxap	170767	6.4	3.54	5.76
Dicer1	192119	6.4	6.89	7.82
Ash1l	192195	6.4	5.45	4.94
Plekhh3	217198	6.4	3.44	4.73
Tmem106a	217203	6.4	3.44	4.63
Unc84b	223697	6.4	8.8	5.55
Dennd4b	229541	6.4	7.84	3.6
AA881470	231841	6.4	7.75	7.71
Zfp367	238673	6.4	5.84	6.69
Phf20l1	239510	6.4	8.71	6.99
Zfp672	319475	6.4	5.84	6.48
LOC100048247	100048247	6.4	6.79	7.71
Tcfe3	209446	6.4	9.47	17.07
Slc9a6	236794	6.4	4.3	13.89
LOC639023	639023	6.4	40.08	3.19
Fam173b	68073	6.4	12.53	13.47
Smoc2	64074	6.3	1.91	11.52
Hccs	15159	6.3	5.55	4.01
Pitpnm2	19679	6.3	4.21	4.22
Vps45	22365	6.3	4.88	9.36
Xpc	22591	6.3	5.17	4.83
Dok3	27261	6.3	3.44	3.7
Acyp1	66204	6.3	7.46	8.13
Sdccag1	66244	6.3	7.75	10.08
Rdm1	66599	6.3	4.11	2.88
Hnrnpul2	68693	6.3	6.03	8.64
Nup37	69736	6.3	3.35	5.76
Ankle2	71782	6.3	5.55	8.74
Fndc3b	72007	6.3	4.21	9.77
Adck1	72113	6.3	4.3	6.07
Pan3	72587	6.3	6.89	6.17
Tmem192	73067	6.3	7.27	9.67
Fgfr1op	75296	6.3	5.74	7.51
D19Ertd737e	76539	6.3	4.69	7.71
Rhbdd1	76867	6.3	5.84	6.79
Rnf44	105239	6.3	5.17	9.57
Tshz1	110796	6.3	4.5	5.04
Pik3c3	225326	6.3	7.65	6.07
Klhl17	231003	6.3	3.16	6.99
Armc5	233912	6.3	5.74	5.86
Dnajc28	246738	6.3	6.22	5.04
	622665	6.3	7.46	4.63
Ocln	18260	6.3	5.93	13.37
4933439F18Rik	66771	6.3	4.78	13.68
Qpct	70536	6.3	11.58	7.92
Pde4dip	83679	6.3	11.48	9.87
Isoc2a	664994	6.3	35.01	3.81
9030619P08Rik	105892	6.2	1.82	1.85
Mtfmt	69606	6.2	2.39	6.58
Sirt4	75387	6.2	1.24	3.6
Prkd2	101540	6.2	2.39	3.39
Zfyve16	218441	6.2	2.39	6.27
Anxa2	12306	6.2	3.83	9.57
Tpp1	12751	6.2	4.97	10.49
Lgr5	14160	6.2	4.3	8.33
Irf2	16363	6.2	6.89	5.66
Lmo4	16911	6.2	5.26	10.7
Srpk1	20815	6.2	6.22	8.33
Traf6	22034	6.2	4.11	7.2
Ercc5	22592	6.2	7.37	9.05
Fgd2	26382	6.2	5.55	3.39
Fnbp4	55935	6.2	3.54	5.86
2810004N23Rik	66523	6.2	9.47	6.58
Pole4	66979	6.2	7.17	5.25
Med29	67224	6.2	3.25	2.78
Nanp	67311	6.2	5.55	8.64
Nol8	70930	6.2	4.59	4.11
2310022K01Rik	71909	6.2	3.25	6.38
Tmtc3	237500	6.2	4.3	6.07
Zfp664	269704	6.2	6.41	9.67
Tmem188	382030	6.2	6.22	10.59
OTTMUSG00000015371	640461	6.2	5.74	8.95
Cflar	12633	6.2	6.89	13.68
Mdm2	17246	6.2	6.79	12.03
Acsl4	50790	6.2	4.59	13.68
Mgst3	66447	6.2	3.16	16.25
Yars2	70120	6.2	7.08	12.45
Nop58	55989	6.2	14.16	14.09
Dctn5	59288	6.11	1.91	2.16
Trim35	66854	6.11	2.1	2.06
Kdelc1	72050	6.11	1.24	1.54
Pafah1b3	18476	6.11	0.48	9.98
Lrrc16a	68732	6.11	2.01	2.88
3110082I17Rik	73212	6.11	0.77	4.01
Zbtb24	268294	6.11	2.39	5.14
Actg2	11468	6.11	4.59	3.09
Anapc1	17222	6.11	7.94	9.15
Npr1	18160	6.11	5.17	4.73
Ubtf	21429	6.11	8.42	9.26
Commd2	52245	6.11	5.17	5.55
1110059E24Rik	66206	6.11	5.64	7.2
Llph	66225	6.11	4.97	5.97
1200003I07Rik	66869	6.11	6.12	3.81
Oma1	67013	6.11	2.77	6.58
Ndufab1	70316	6.11	3.06	5.25
Nfx1	74164	6.11	2.97	5.76
Pik3cb	74769	6.11	3.44	5.14
Nipa2	93790	6.11	4.3	6.89
Stx12	100226	6.11	4.4	4.94
Tmem51	214359	6.11	3.25	6.17
Arrb2	216869	6.11	4.59	5.04
2610301G19Rik	219158	6.11	3.25	6.79
Ipo13	230673	6.11	4.5	6.27
2310045A20Rik	231238	6.11	5.55	8.64
BC021891	234878	6.11	4.69	5.55
Fam160b2	239170	6.11	8.9	4.32
Pskh1	244631	6.11	7.37	6.58
Pank4	269614	6.11	3.83	4.11
AU042671	269700	6.11	6.31	7.61
OTTMUSG00000010942	100043151	6.11	6.51	7.3
Abhd4	105501	6.11	10.04	12.14
BC024814	239706	6.11	4.21	11.11
Col13a1	12817	6.11	11	3.91
Jun	16476	6.11	11.38	7.41
Trim24	21848	6.11	12.53	5.35
Mt2	17750	6.11	153.92	14.3
Tmem42	66079	6.01	2.3	5.45
Prss23	76453	6.01	2.1	7.71
Igsf8	140559	6.01	1.34	5.55
Ndst1	15531	6.01	5.93	6.48
Il18bp	16068	6.01	3.73	6.07
Ipp	16351	6.01	2.97	5.76
Kifc2	16581	6.01	6.79	3.19
Fxyd5	18301	6.01	6.51	9.26
Pafah1b2	18475	6.01	3.06	4.53
Srgn	19073	6.01	3.25	6.27
Terf1	21749	6.01	4.59	6.17
Xrcc1	22594	6.01	4.78	7.61
D3Ertd751e	51932	6.01	7.56	2.78
Rcn3	52377	6.01	3.25	3.91
Exoc7	53413	6.01	10.52	8.43
Ramp2	54409	6.01	8.51	6.99
Rbm14	56275	6.01	7.08	8.13
Foxo1	56458	6.01	9.37	4.32
Cdc42se1	57912	6.01	7.56	5.86
Pmpca	66865	6.01	3.92	6.38
Polr2g	67710	6.01	6.41	10.8
Rnf115	67845	6.01	5.55	7.51
Dopey2	70028	6.01	6.22	6.99
4933424B01Rik	71177	6.01	4.97	3.5
Ggt6	71522	6.01	4.3	6.69
Mus81	71711	6.01	6.7	9.36
Nsun4	72181	6.01	3.35	8.54
Appl1	72993	6.01	5.55	4.42
Ppapdc2	74411	6.01	2.68	6.48
Tnks2	74493	6.01	4.97	6.58
3200002M19Rik	75430	6.01	4.78	7.61
Cant1	76025	6.01	3.73	5.45
6030458C11Rik	77877	6.01	4.4	3.91
Eml4	78798	6.01	3.92	7.3
Tsc22d4	78829	6.01	4.69	8.74
Tinagl1	94242	6.01	5.36	6.69
Zbtb48	100090	6.01	8.61	9.67
Snapc2	102209	6.01	4.4	8.64
Fig4	103199	6.01	4.3	5.25
Maml1	103806	6.01	4.5	4.42
Pofut1	140484	6.01	3.54	6.89
Rtn4ip1	170728	6.01	8.13	7.1
Rufy1	216724	6.01	4.02	5.35
Pomt2	217734	6.01	8.8	10.49
BC002230	217827	6.01	5.55	8.95
Wnk1	232341	6.01	4.3	5.66
Kank2	235041	6.01	2.97	8.02
Parp12	243771	6.01	8.8	10.29
Chd2	244059	6.01	7.65	9.98
Gga3	260302	6.01	4.88	7.3
Heatr5a	320487	6.01	3.16	7.3
Bend3	331623	6.01	3.25	6.58
Trim63	433766	6.01	4.97	9.26
LOC100048243	100048243	6.01	8.61	10.59
Tspan14	52588	6.01	6.41	11.83
Ndufaf1	69702	6.01	9.76	11.83
Zfp263	74120	6.01	7.56	11.52
Atr	245000	6.01	7.94	13.47
Zap70	22637	6.01	11.96	4.01
LOC100039464	100039464	6.01	13.01	11.21
Cabyr	71132	5.92	2.2	1.03
1700001C19Rik	75462	5.92	2.01	5.55
1600029D21Rik	76509	5.92	1.15	9.26
Rnf19b	75234	5.92	2.49	12.65
Crk	12928	5.92	6.98	4.63
Ddx6	13209	5.92	9.85	8.85
Phb	18673	5.92	7.94	7.82
Rdh5	19682	5.92	3.83	5.86
C80913	19777	5.92	4.59	4.83
Sdf4	20318	5.92	3.35	5.97
Tnfsf12	21944	5.92	5.17	6.48
Lin7c	22343	5.92	7.84	7.71
Dctn6	22428	5.92	5.84	10.59
Ets1	23871	5.92	5.84	8.43
D1Ertd622e	52392	5.92	7.37	9.46
Skap2	54353	5.92	3.54	9.36
Rnf113a2	66381	5.92	6.22	6.89
Fam107b	66540	5.92	7.75	7.61
Snrnp40	66585	5.92	2.87	4.01
2210016L21Rik	72357	5.92	4.5	4.22
Ppp2r1b	73699	5.92	3.16	4.83
Uhrf1bp1l	75089	5.92	5.74	4.63
1700019E19Rik	76411	5.92	3.64	4.32
Jmjd1c	108829	5.92	5.07	5.66
Smcr7	237781	5.92	8.42	5.97
Plekhg5	269608	5.92	3.92	7.51
Rhbdd3	279766	5.92	5.93	5.45
D630037F22Rik	319841	5.92	4.21	2.57
BC088983	382010	5.92	3.92	4.83
Il18	16173	5.92	3.35	11.83
A530082C11Rik	320541	5.92	13.68	7.71
Dhtkd1	209692	5.92	12.34	12.34
Abca2	11305	5.82	0.57	5.35
D0H4S114	27528	5.82	1.34	2.88
Zfp385a	29813	5.82	1.72	5.14
Gng11	66066	5.82	2.39	8.43
Vps26b	69091	5.82	2.01	3.81
Ugt2a1	94215	5.82	1.24	2.98
BC023882	231123	5.82	2.49	7.2
Hacl1	56794	5.82	5.93	1.44
Add1	11518	5.82	5.45	5.55
Rbm6	19654	5.82	6.7	4.83
Tec	21682	5.82	6.51	8.43
Taf7	24074	5.82	4.21	8.95
Vamp5	53620	5.82	5.55	7.92
Spen	56381	5.82	6.22	3.81
Stk4	58231	5.82	4.97	4.01
Stard3	59045	5.82	5.64	6.38
Tmem9	66241	5.82	3.54	10.39
2310004I24Rik	66358	5.82	7.37	5.35
1110002N22Rik	68550	5.82	7.17	6.27
Exosc8	69639	5.82	5.74	8.43
Atoh8	71093	5.82	5.64	3.91
Osgepl1	72085	5.82	5.55	8.43
Cdc42se2	72729	5.82	4.69	4.32
1700052N19Rik	73419	5.82	3.54	6.27
Cmtm7	102545	5.82	4.59	6.38
Dcun1d1	114893	5.82	3.54	5.14
Exoc3	211446	5.82	2.87	3.81
Rhot2	214952	5.82	4.11	2.88
BC018507	218333	5.82	4.88	6.17
Uhrf1bp1	224648	5.82	4.3	8.33
Anks1	224650	5.82	4.97	5.97
Dus3l	224907	5.82	6.6	6.58
Gnl2	230737	5.82	8.99	5.55
Vac14	234729	5.82	2.77	8.74
Cdk10	234854	5.82	5.45	9.05
Dock4	238130	5.82	2.68	7.61
Upf2	326622	5.82	6.7	7.2
LOC632329	632329	5.82	3.73	5.76
EG633030	633030	5.82	4.11	7.3
Vbp1	22327	5.82	5.93	11.42
Xrn2	24128	5.82	8.61	11.01
Derl3	70377	5.73	1.15	0.51
Btg4	56057	5.73	1.43	3.81
Pcgf6	71041	5.73	1.91	7.61
Amdhd2	245847	5.73	1.72	4.73
Lum	17022	5.73	3.92	1.54
Hyou1	12282	5.73	3.54	8.74
Ctnnd1	12388	5.73	5.26	8.33
Drg1	13494	5.73	5.17	7.1
Mafg	17134	5.73	9.76	5.97
Nfya	18044	5.73	6.22	5.35
Ptrf	19285	5.73	4.69	4.73
Zfp260	26466	5.73	3.44	7.71
Olfm1	56177	5.73	3.73	5.45
Cxx1a	66158	5.73	4.4	6.27
Snrnp27	66618	5.73	6.7	10.39
Crnkl1	66877	5.73	5.64	6.17
Eif4e3	66892	5.73	5.74	5.86
Med6	69792	5.73	7.56	8.02
Zfp219	69890	5.73	5.07	5.25
Cdkn2aip	70925	5.73	6.89	4.83
Med13l	76199	5.73	3.25	3.91
Sgsm3	105835	5.73	4.21	4.83
Qtrtd1	106248	5.73	6.98	4.83
Trp53bp2	209456	5.73	6.98	6.07
Ddef2	211914	5.73	3.83	2.37
Sh3bgrl2	212531	5.73	3.25	4.83
Phf3	213109	5.73	3.73	4.83
Eif2b2	217715	5.73	4.69	3.7
Gm98	225908	5.73	4.78	6.48
EG234703	234703	5.73	4.4	8.64
Zfp408	381410	5.73	6.51	5.55
EG546143	546143	5.73	5.07	4.63
LOC632268	632268	5.73	4.4	6.99
LOC633435	633435	5.73	3.73	5.55
Mafk	17135	5.73	8.23	13.99
Tnfrsf12a	27279	5.73	2.49	13.37
1110031I02Rik	66179	5.73	3.54	10.49
2310076L09Rik	66968	5.73	23.15	2.98
Tmem82	213989	5.73	14.35	5.55
Cyp26a1	13082	5.63	1.34	2.37
Pter	19212	5.63	1.05	2.57
Iws1	73473	5.63	1.53	5.45
Cd72	12517	5.63	4.69	3.09
Ptpn11	19247	5.63	6.51	9.15
Msr1	20288	5.63	3.35	6.27
Tarbp2	21357	5.63	5.64	7.61
Trex1	22040	5.63	5.84	6.89
Acer3	66190	5.63	3.25	5.86
1810005K13Rik	66255	5.63	2.97	2.88
Gatm	67092	5.63	3.83	7.1
Rab13	68328	5.63	5.55	3.19
Prpf3	70767	5.63	3.92	3.6
Spp2	75396	5.63	4.3	5.04
Ttpal	76080	5.63	5.84	9.67
Zfp319	79233	5.63	3.64	2.37
Mtmr14	97287	5.63	4.78	6.79
Rabif	98710	5.63	3.25	10.29
Alg3	208624	5.63	4.69	6.99
1700021K19Rik	224118	5.63	4.02	7.3
Pprc1	226169	5.63	4.59	6.07
AA415398	433752	5.63	5.07	5.04
Gfpt1	14583	5.63	6.79	15.84
Aadacl1	320024	5.63	17.7	6.69
Parp1	11545	5.54	2.01	4.22
Hnrnpa3	229279	5.54	2.01	4.73
Fbxo45	268882	5.54	2.1	6.38
Rdh11	17252	5.54	1.15	12.65
Mvd	192156	5.54	0.38	12.24
D2Bwg1335e	52838	5.54	3.35	1.75
Ap1b1	11764	5.54	4.97	4.01
Ccng2	12452	5.54	4.59	3.39
Ly86	17084	5.54	4.88	3.91
Mknk1	17346	5.54	7.08	8.74
Nfia	18027	5.54	5.26	5.97
Nfix	18032	5.54	4.11	5.76
Sin3a	20466	5.54	3.83	5.25
Hnf1b	21410	5.54	2.77	2.47
Tead3	21678	5.54	5.55	6.69
Capn10	23830	5.54	4.21	6.27
Sigirr	24058	5.54	2.97	5.04
Hnrnpa2b1	53379	5.54	8.8	7.82
Caprin1	53872	5.54	4.88	4.53
Pcbp4	59092	5.54	4.88	3.7
Fam53c	66306	5.54	3.06	5.25
Ube2w	66799	5.54	6.31	4.42
Nudt16l1	66911	5.54	4.97	8.85
Dhdds	67422	5.54	4.5	8.85
Stx17	67727	5.54	5.26	5.25
Chd8	67772	5.54	2.49	6.17
Mpzl1	68481	5.54	5.07	3.19
Ankrd40	71452	5.54	5.64	5.76
9030607L17Rik	71564	5.54	8.61	3.91
Wdsub1	72137	5.54	4.69	4.32
Acbd6	72482	5.54	3.73	5.04
Golim4	73124	5.54	5.74	6.69
Poldip3	73826	5.54	4.59	7.51
Dnajc21	78244	5.54	9.66	5.04
Zfhx4	80892	5.54	4.4	4.22
Wbscr16	94254	5.54	4.3	5.14
Usp6nl	98910	5.54	3.44	4.63
Arhgef18	102098	5.54	5.36	8.23
Wdr7	104082	5.54	2.49	6.38
Mmrn2	105450	5.54	3.64	4.94
Trip11	109181	5.54	8.23	8.74
Sgms1	208449	5.54	6.51	4.83
B230312A22Rik	230088	5.54	5.07	5.76
BC017158	233913	5.54	3.25	6.17
Zfp750	319530	5.54	5.17	2.37
9130023H24Rik	319792	5.54	6.7	2.37
EG666730	666730	5.54	2.49	5.97
Rars2	109093	5.54	4.59	11.11
Plk3	12795	5.54	14.16	7.2
Abhd6	66082	5.54	10.43	3.5
S1pr2	14739	5.44	1.53	4.11
Klra2	16633	5.44	1.72	2.57
Nup160	59015	5.44	1.63	4.94
Gpr124	78560	5.44	2.2	2.57
Sfxn5	94282	5.44	1.43	8.85
Thoc6	386612	5.44	1.63	7.41
Dyrk1a	13548	5.44	3.54	5.04
Lfng	16848	5.44	5.64	5.97
Rabggtb	19352	5.44	6.51	3.91
Tle4	21888	5.44	7.27	7.51
X99384	27355	5.44	5.55	5.35
Tfip11	54723	5.44	3.25	3.5
Lepre1	56401	5.44	3.83	8.13
Dolpp1	57170	5.44	4.5	7.71
1110037F02Rik	66185	5.44	4.78	7.61
Senp7	66315	5.44	4.88	7.61
4930430F08Rik	68281	5.44	2.87	5.35
9030624J02Rik	71517	5.44	3.83	4.22
Agxt2l2	72947	5.44	6.89	5.97
Sf3b1	81898	5.44	5.07	2.47
AU014645	100261	5.44	5.45	5.45
Nod1	107607	5.44	3.54	5.55
