Metaprobe	Entrez Gene ID	Gene Symbol	Gene Name	Chromosome	Cytoband	SAM Score	Numerator(r)	Denominator(s+s0)	Fold Change	Fold Change1	expression	DEG Jones-Lenburg	FC Jones-Lenburg
440275_at	440275	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4	15	15q15.1	4.38	0.67	0.15	1.62	1.62	up	N/A	N/A
441168_at	441168	FAM26F	family with sequence similarity 26, member F	6	6q22.1	7.36	3.09	0.42	10.89	10.89	up	N/A	N/A
441951_at	441951	C20orf199	chromosome 20 open reading frame 199	20	20q13.13	6.6	1.4	0.21	2.83	2.83	up	N/A	N/A
474344_at	474344	GIMAP6	GTPase, IMAP family member 6	7	-	4.15	1.27	0.31	2.73	2.73	up	N/A	N/A
494470_at	494470	RNF165	ring finger protein 165	18	18q21.1	4.66	1.03	0.22	2.25	2.25	up	N/A	N/A
552891_at	552891	LOC552891	hypothetical protein LOC552891	9	9q31.3	5.01	0.49	0.1	1.4	1.4	up	N/A	N/A
642649_at	642649	DKFZP779L1068	PRO0845	8	8q22.1	5.17	0.57	0.11	1.5	1.5	up	N/A	N/A
643866_at	643866	CBLN3	cerebellin 3 precursor	14	14q12	4.39	0.64	0.14	1.6	1.6	up	N/A	N/A
643911_at	643911	hCG_1815491	hCG1815491	16	16q12.2	7.01	2.02	0.29	3.74	3.74	up	N/A	N/A
643977_at	643977	FLJ32255	hypothetical protein LOC643977	5	5p12	5.45	1.16	0.21	2.44	2.44	up	N/A	N/A
644283_at	644283	FLJ43489	hypothetical protein LOC644283	7	7q11.21	4.16	0.7	0.17	1.68	1.68	up	N/A	N/A
644538_at	644538	LOC644538	hypothetical protein LOC644538	X	Xq26.3	5.72	0.98	0.17	2.04	2.04	up	N/A	N/A
646916_at	646916	LOC646916	hypothetical protein LOC646916	5	5p12	4.32	0.92	0.21	1.99	1.99	up	N/A	N/A
653602_at	653602	LOC653602	hypothetical LOC653602	2	2p24.3	7.57	1.87	0.25	4.06	4.06	up	N/A	N/A
30_at	30	ACAA1	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	3	3p23-p22	-12.89	-2.23	0.17	0.21	-4.83	down	N/A	N/A
34_at	34	ACADM	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1	1p31	-6.23	-1.19	0.19	0.46	-2.19	down	N/A	N/A
36_at	36	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain	10	10q26.13	-9.97	-2.18	0.22	0.23	-4.34	down	N/A	N/A
38_at	38	ACAT1	acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	11	11q22.3-q23.1	-6.8	-1.02	0.15	0.5	-1.99	down	N/A	N/A
48_at	48	ACO1	aconitase 1, soluble	9	9p22-q32|9p21.1	-8.87	-1.91	0.22	0.26	-3.8	down	N/A	N/A
51_at	51	ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	17	17q24-q25|17q25.1	-8.01	-1.41	0.18	0.38	-2.62	down	N/A	N/A
2026_at	2026	ENO2	enolase 2 (gamma, neuronal)	12	12p13	12.37	4.11	0.33	19.81	19.81	up	yes	8.03
95_at	95	ACY1	aminoacylase 1	3	3p21.1	-17.63	-3.63	0.21	0.08	-11.77	down	N/A	N/A
125_at	125	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide	4	4q21-q23	-4.97	-3.08	0.62	0.22	-4.52	down	N/A	N/A
126_at	126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	4	4q21-q23	-8.53	-2.86	0.34	0.15	-6.84	down	N/A	N/A
128_at	128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	4	4q21-q25	-4.82	-0.66	0.14	0.63	-1.6	down	N/A	N/A
50856_at	50856	CLEC4A	C-type lectin domain family 4, member A	12	12p13	6.34	1.77	0.28	3.57	3.57	up	yes	3.89
152_at	152	ADRA2C	adrenergic, alpha-2C-, receptor	4	4p16	-4.31	-0.54	0.13	0.7	-1.43	down	N/A	N/A
173_at	173	AFM	afamin	4	4q11-q13	-12.57	-5.23	0.42	0.02	-41	down	N/A	N/A
174_at	174	AFP	alpha-fetoprotein	4	4q11-q13	-5.4	-0.59	0.11	0.66	-1.51	down	N/A	N/A
189_at	189	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)	2	2q36-q37	-9.32	-1.47	0.16	0.34	-2.93	down	N/A	N/A
191_at	191	AHCY	S-adenosylhomocysteine hydrolase	20	20cen-q13.1	-5.12	-1.26	0.25	0.44	-2.26	down	N/A	N/A
6337_at	6337	SCNN1A	sodium channel, nonvoltage-gated 1 alpha	12	12p13	-7.38	-3.43	0.46	0.19	-5.39	down	yes	-5.6
211_at	211	ALAS1	aminolevulinate, delta-, synthase 1	3	3p21.1	-4.58	-0.9	0.2	0.57	-1.74	down	N/A	N/A
213_at	213	ALB	albumin	4	4q11-q13	-7.93	-3.09	0.39	0.08	-12.96	down	N/A	N/A
217_at	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	12	12q24.2	-5.34	-1.42	0.27	0.4	-2.48	down	N/A	N/A
219_at	219	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	9	9p11.1	-7.97	-1.28	0.16	0.4	-2.48	down	N/A	N/A
223_at	223	ALDH9A1	aldehyde dehydrogenase 9 family, member A1	1	1q23.1	-6.87	-0.81	0.12	0.57	-1.75	down	N/A	N/A
224_at	224	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	17	17p11.2	-5.81	-1.25	0.22	0.42	-2.37	down	N/A	N/A
81575_at	81575	APOLD1	apolipoprotein L domain containing 1	12	12p13.1	4.22	1.92	0.46	4.67	4.67	up	yes	5.54
249_at	249	ALPL	alkaline phosphatase, liver/bone/kidney	1	1p36.1-p34	-4.7	-0.43	0.09	0.74	-1.35	down	N/A	N/A
251_at	251	ALPPL2	alkaline phosphatase, placental-like 2	2	2q37	-5.06	-0.54	0.11	0.69	-1.46	down	N/A	N/A
259_at	259	AMBP	alpha-1-microglobulin/bikunin precursor	9	9q32-q33	-9.21	-1.67	0.18	0.3	-3.31	down	N/A	N/A
273_at	273	AMPH	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	7	7p14-p13	-5.58	-0.91	0.16	0.5	-2.01	down	N/A	N/A
275_at	275	AMT	aminomethyltransferase	3	3p21.2-p21.1	-8.62	-1.75	0.2	0.31	-3.18	down	N/A	N/A
287_at	287	ANK2	ankyrin 2, neuronal	4	4q25-q27	-8.56	-3.27	0.38	0.13	-7.82	down	N/A	N/A
288_at	288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	10	10q21	-5.57	-0.91	0.16	0.55	-1.82	down	N/A	N/A
292_at	292	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	X	Xq24-q26	-4.51	-1.24	0.28	0.51	-1.95	down	N/A	N/A
320_at	320	APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)	9	9q13-q21.1	-4.89	-0.41	0.08	0.75	-1.33	down	N/A	N/A
327_at	327	APEH	N-acylaminoacyl-peptide hydrolase	3	3p21.31	-5.91	-1.52	0.26	0.4	-2.49	down	N/A	N/A
350_at	350	APOH	apolipoprotein H (beta-2-glycoprotein I)	17	17q23-qter	-11.93	-4.43	0.37	0.04	-25.6	down	N/A	N/A
6515_at	6515	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	12	12p13.3	5.01	1.81	0.36	3.52	3.52	up	yes	5.12
363_at	363	AQP6	aquaporin 6, kidney specific	12	12q13	-6.99	-0.58	0.08	0.67	-1.49	down	N/A	N/A
364_at	364	AQP7	aquaporin 7	9	9p13	-5.5	-0.99	0.18	0.48	-2.08	down	N/A	N/A
368_at	368	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	16	16p13.1	-5.22	-0.77	0.15	0.58	-1.74	down	N/A	N/A
379_at	379	ARL4D	ADP-ribosylation factor-like 4D	17	17q12-q21	-7.27	-1.56	0.21	0.38	-2.66	down	N/A	N/A
384_at	384	ARG2	arginase, type II	14	14q24.1-q24.3	-4.59	-2.11	0.46	0.34	-2.94	down	N/A	N/A
402_at	402	ARL2	ADP-ribosylation factor-like 2	11	11q13	-5.05	-0.73	0.14	0.61	-1.64	down	N/A	N/A
414_at	414	ARSD	arylsulfatase D	X	Xp22.3	-4.74	-0.6	0.13	0.66	-1.52	down	N/A	N/A
416_at	416	ARSF	arylsulfatase F	X	Xp22.3	-6.28	-1.27	0.2	0.44	-2.25	down	N/A	N/A
433_at	433	ASGR2	asialoglycoprotein receptor 2	17	17p	-4.25	-0.39	0.09	0.76	-1.32	down	N/A	N/A
435_at	435	ASL	argininosuccinate lyase	7	7cen-q11.2	-6.43	-1.31	0.2	0.42	-2.4	down	N/A	N/A
9332_at	9332	CD163	CD163 molecule	12	12p13.3	6.05	2.38	0.39	5.33	5.33	up	yes	5.61
460_at	460	ASTN1	astrotactin 1	1	1q25.2	-4.31	-0.38	0.09	0.77	-1.31	down	N/A	N/A
462_at	462	SERPINC1	serpin peptidase inhibitor, clade C (antithrombin), member 1	1	1q23-q25.1	-6.14	-0.73	0.12	0.59	-1.68	down	N/A	N/A
9976_at	9976	CLEC2B	C-type lectin domain family 2, member B	12	12p13-p12	6.02	1.43	0.24	2.93	2.93	up	yes	3.99
479_at	479	ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	13	13q12.12|13q12.1-q12.3	-6.46	-1.07	0.16	0.45	-2.21	down	N/A	N/A
501_at	501	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	5	5q31	-6.49	-1.05	0.16	0.48	-2.09	down	N/A	N/A
509_at	509	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	10	10p15.1	-5.14	-0.58	0.11	0.68	-1.47	down	N/A	N/A
516_at	516	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	17	17q21.32	-6.31	-0.81	0.13	0.58	-1.72	down	N/A	N/A
518_at	518	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	2	2q31.1	-5.01	-0.88	0.18	0.57	-1.76	down	N/A	N/A
522_at	522	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	21	21q21.1	-4.22	-0.64	0.15	0.66	-1.52	down	N/A	N/A
3678_at	3678	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	12	12q11-q13	4.26	0.79	0.18	1.82	1.82	up	yes	2.9
549_at	549	AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase	9	9q22.31	-6.37	-1.19	0.19	0.46	-2.16	down	N/A	N/A
563_at	563	AZGP1	alpha-2-glycoprotein 1, zinc-binding	7	7q22.1	-8.04	-4.05	0.5	0.08	-12.16	down	N/A	N/A
582_at	582	BBS1	Bardet-Biedl syndrome 1	11	11q13.1	-4.79	-0.55	0.12	0.68	-1.47	down	N/A	N/A
590_at	590	BCHE	butyrylcholinesterase	3	3q26.1-q26.2	-8.07	-2.58	0.32	0.17	-5.86	down	N/A	N/A
594_at	594	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	6	6q13-q15	-7.66	-1.36	0.18	0.4	-2.5	down	N/A	N/A
607_at	607	BCL9	B-cell CLL/lymphoma 9	1	1q21	-4.85	-0.52	0.11	0.7	-1.42	down	N/A	N/A
622_at	622	BDH1	3-hydroxybutyrate dehydrogenase, type 1	3	3q29	-5.38	-1.31	0.24	0.47	-2.14	down	N/A	N/A
623_at	623	BDKRB1	bradykinin receptor B1	14	14q32.1-q32.2	-4.97	-0.64	0.13	0.64	-1.56	down	N/A	N/A
624_at	624	BDKRB2	bradykinin receptor B2	14	14q32.1-q32.2	-4.45	-1.43	0.32	0.37	-2.74	down	N/A	N/A
634_at	634	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	19	19q13.2	-5.13	-1.24	0.24	0.45	-2.2	down	N/A	N/A
638_at	638	BIK	BCL2-interacting killer (apoptosis-inducing)	22	22q13.31	-5.36	-0.75	0.14	0.58	-1.72	down	N/A	N/A
655_at	655	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	20	20q13	-5.98	-0.42	0.07	0.75	-1.34	down	N/A	N/A
670_at	670	BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	6	6p25	-8.11	-2.25	0.28	0.21	-4.75	down	N/A	N/A
671_at	671	BPI	bactericidal/permeability-increasing protein	20	20q11.23-q12	-6.18	-1.48	0.24	0.32	-3.17	down	N/A	N/A
686_at	686	BTD	biotinidase	3	3p25	-7.14	-1.17	0.16	0.44	-2.25	down	N/A	N/A
727_at	727	C5	complement component 5	9	9q33-q34	-11.55	-1.84	0.16	0.28	-3.6	down	N/A	N/A
359_at	359	AQP2	aquaporin 2 (collecting duct)	12	12q12-q13	-28.1	-4.93	0.18	0.03	-33.04	down	yes	-3.9
762_at	762	CA4	carbonic anhydrase IV	17	17q23	-4.58	-1.52	0.33	0.4	-2.47	down	N/A	N/A
767_at	767	CA8	carbonic anhydrase VIII	8	8q11-q12	-5.42	-0.55	0.1	0.68	-1.47	down	N/A	N/A
773_at	773	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	19	19p13.2-p13.1	-4.69	-0.35	0.07	0.79	-1.27	down	N/A	N/A
788_at	788	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	3	3p21.31	-5.98	-1.05	0.17	0.47	-2.13	down	N/A	N/A
56901_at	56901	NDUFA4L2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2	12	12q13.3	8.91	3.52	0.4	14.69	14.69	up	yes	14.67
810_at	810	CALML3	calmodulin-like 3	10	10pter-p13	-6.36	-1.51	0.24	0.31	-3.25	down	N/A	N/A
815_at	815	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	5	5q33.1	-4.43	-0.42	0.09	0.75	-1.33	down	N/A	N/A
818_at	818	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	10	10q22	-6.34	-0.82	0.13	0.55	-1.81	down	N/A	N/A
7103_at	7103	TSPAN8	tetraspanin 8	12	12q14.1-q21.1	-9.21	-3.94	0.43	0.08	-12.82	down	yes	-4.12
828_at	828	CAPS	calcyphosine	19	19p13.3	-4.74	-0.5	0.1	0.71	-1.41	down	N/A	N/A
842_at	842	CASP9	caspase 9, apoptosis-related cysteine peptidase	1	1p36.3-p36.1	-4.87	-0.52	0.11	0.7	-1.42	down	N/A	N/A
846_at	846	CASR	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	3	3q13	-7.71	-0.77	0.1	0.59	-1.7	down	N/A	N/A
847_at	847	CAT	catalase	11	11p13	-6.45	-1.05	0.16	0.49	-2.05	down	N/A	N/A
866_at	866	SERPINA6	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	14	14q32.1	-5.71	-2.19	0.38	0.25	-3.99	down	N/A	N/A
956_at	956	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	3	3p21.3	-10.34	-1.31	0.13	0.4	-2.51	down	N/A	N/A
957_at	957	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	14	14q24	-10.2	-2.03	0.2	0.23	-4.32	down	N/A	N/A
1001_at	1001	CDH3	cadherin 3, type 1, P-cadherin (placental)	16	16q22.1	-8.32	-1.24	0.15	0.42	-2.4	down	N/A	N/A
1007_at	1007	CDH9	cadherin 9, type 2 (T1-cadherin)	5	5p14	-6.84	-1.23	0.18	0.44	-2.27	down	N/A	N/A
1013_at	1013	CDH15	cadherin 15, M-cadherin (myotubule)	16	16q24.3	-4.79	-0.41	0.09	0.75	-1.34	down	N/A	N/A
1014_at	1014	CDH16	cadherin 16, KSP-cadherin	16	16q22.1	-9.54	-1.96	0.2	0.27	-3.73	down	N/A	N/A
1028_at	1028	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	11	11p15.5	-4.96	-1.15	0.23	0.47	-2.13	down	N/A	N/A
1056_at	1056	CEL	carboxyl ester lipase (bile salt-stimulated lipase)	9	9q34.3	-6.5	-1.68	0.26	0.33	-3.05	down	N/A	N/A
1081_at	1081	CGA	glycoprotein hormones, alpha polypeptide	6	6q12-q21	-5.04	-0.6	0.12	0.65	-1.53	down	N/A	N/A
1113_at	1113	CHGA	chromogranin A (parathyroid secretory protein 1)	14	14q32	-4.27	-0.6	0.14	0.65	-1.55	down	N/A	N/A
1114_at	1114	CHGB	chromogranin B (secretogranin 1)	20	20pter-p12	-5.13	-2.02	0.39	0.35	-2.88	down	N/A	N/A
1124_at	1124	CHN2	chimerin (chimaerin) 2	7	7p15.3	-5.61	-0.41	0.07	0.75	-1.33	down	N/A	N/A
1141_at	1141	CHRNB2	cholinergic receptor, nicotinic, beta 2 (neuronal)	1	1q21.3	-4.7	-0.43	0.09	0.74	-1.35	down	N/A	N/A
1154_at	1154	CISH	cytokine inducible SH2-containing protein	3	3p21.3	-5.38	-0.95	0.18	0.54	-1.85	down	N/A	N/A
1184_at	1184	CLCN5	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	X	Xp11.23-p11.22	-7.56	-1.34	0.18	0.41	-2.42	down	N/A	N/A
1186_at	1186	CLCN7	chloride channel 7	16	16p13	-4.71	-0.47	0.1	0.72	-1.38	down	N/A	N/A
1634_at	1634	DCN	decorin	12	12q21.33	-7	-3.32	0.47	0.15	-6.58	down	yes	-5.81
1209_at	1209	CLPTM1	cleft lip and palate associated transmembrane protein 1	19	19q13.2-q13.3	-4.36	-0.64	0.15	0.63	-1.59	down	N/A	N/A
1285_at	1285	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	2	2q36-q37	-7.21	-0.67	0.09	0.63	-1.59	down	N/A	N/A
1286_at	1286	COL4A4	collagen, type IV, alpha 4	2	2q35-q37	-6.97	-1.64	0.23	0.33	-3	down	N/A	N/A
1287_at	1287	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	X	Xq22	-7.83	-0.88	0.11	0.55	-1.82	down	N/A	N/A
1288_at	1288	COL4A6	collagen, type IV, alpha 6	X	Xq22	-10	-0.76	0.08	0.59	-1.69	down	N/A	N/A
1294_at	1294	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	3	3p21.1	-5.16	-0.53	0.1	0.69	-1.44	down	N/A	N/A
1298_at	1298	COL9A2	collagen, type IX, alpha 2	1	1p33-p32	-4.73	-0.44	0.09	0.73	-1.37	down	N/A	N/A
1325_at	1325	CORT	cortistatin	1	1p36|1p36.22	-5.31	-0.68	0.13	0.62	-1.61	down	N/A	N/A
1370_at	1370	CPN2	carboxypeptidase N, polypeptide 2	3	3q29	-6.74	-2.09	0.31	0.23	-4.28	down	N/A	N/A
1376_at	1376	CPT2	carnitine palmitoyltransferase II	1	1p32	-4.58	-0.77	0.17	0.61	-1.65	down	N/A	N/A
1380_at	1380	CR2	complement component (3d/Epstein Barr virus) receptor 2	1	1q32	-5.36	-2.04	0.38	0.16	-6.08	down	N/A	N/A
1382_at	1382	CRABP2	cellular retinoic acid binding protein 2	1	1q21.3	-6.2	-0.56	0.09	0.68	-1.48	down	N/A	N/A
1384_at	1384	CRAT	carnitine acetyltransferase	9	9q34.1	-4.49	-0.8	0.18	0.59	-1.69	down	N/A	N/A
1393_at	1393	CRHBP	corticotropin releasing hormone binding protein	5	5q11.2-q13.3	-7.85	-2.67	0.34	0.16	-6.3	down	N/A	N/A
1409_at	1409	CRYAA	crystallin, alpha A	21	21q22.3	-10.81	-3.06	0.28	0.11	-9.47	down	N/A	N/A
1417_at	1417	CRYBB3	crystallin, beta B3	22	22q11.2-q12.1|22q11.23	-4.49	-0.43	0.1	0.73	-1.36	down	N/A	N/A
1428_at	1428	CRYM	crystallin, mu	16	16p13.11-p12.3	-7.39	-2.02	0.27	0.27	-3.72	down	N/A	N/A
1468_at	1468	SLC25A10	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10	17	17q25.3	-9.09	-1.61	0.18	0.32	-3.14	down	N/A	N/A
5053_at	5053	PAH	phenylalanine hydroxylase	12	12q22-q24.2	-7.38	-5.34	0.72	0.05	-20.44	down	yes	-8.22
1497_at	1497	CTNS	cystinosis, nephropathic	17	17p13	-4.26	-0.66	0.16	0.64	-1.57	down	N/A	N/A
1512_at	1512	CTSH	cathepsin H	15	15q24-q25	-7.52	-1.33	0.18	0.4	-2.48	down	N/A	N/A
1515_at	1515	CTSL2	cathepsin L2	9	9q22.2	-9.65	-2.54	0.26	0.16	-6.07	down	N/A	N/A
1545_at	1545	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	2	2p21	-4.46	-1.54	0.35	0.39	-2.59	down	N/A	N/A
1551_at	1551	CYP3A7	cytochrome P450, family 3, subfamily A, polypeptide 7	7	7q21-q22.1	-6.01	-2.23	0.37	0.18	-5.42	down	N/A	N/A
1555_at	1555	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	19	19q13.2	-4.37	-0.55	0.12	0.67	-1.48	down	N/A	N/A
1576_at	1576	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	7	7q21.1	-6.74	-0.94	0.14	0.52	-1.91	down	N/A	N/A
1579_at	1579	CYP4A11	cytochrome P450, family 4, subfamily A, polypeptide 11	1	1p33	-9.67	-2.16	0.22	0.23	-4.33	down	N/A	N/A
1582_at	1582	CYP8B1	cytochrome P450, family 8, subfamily B, polypeptide 1	3	3p22-p21.3	-9.75	-4.03	0.41	0.07	-14.53	down	N/A	N/A
1585_at	1585	CYP11B2	cytochrome P450, family 11, subfamily B, polypeptide 2	8	8q21-q22	-4.78	-0.67	0.14	0.63	-1.59	down	N/A	N/A
1586_at	1586	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1	10	10q24.3	-9.55	-3.28	0.34	0.07	-13.46	down	N/A	N/A
1594_at	1594	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	12	12q13.1-q13.3	-11.7	-4.8	0.41	0.03	-33.12	down	N/A	N/A
1602_at	1602	DACH1	dachshund homolog 1 (Drosophila)	13	13q22	-7.19	-2.03	0.28	0.26	-3.9	down	N/A	N/A
1610_at	1610	DAO	D-amino-acid oxidase	12	12q24	-10.27	-3.16	0.31	0.11	-9.06	down	N/A	N/A
1629_at	1629	DBT	dihydrolipoamide branched chain transacylase E2	1	1p31	-8.05	-0.95	0.12	0.51	-1.96	down	N/A	N/A
949_at	949	SCARB1	scavenger receptor class B, member 1	12	12q24.31	7.5	2.15	0.29	5.15	5.15	up	yes	15.62
1644_at	1644	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	7	7p11	-6.21	-1.42	0.23	0.37	-2.67	down	N/A	N/A
1647_at	1647	GADD45A	growth arrest and DNA-damage-inducible, alpha	1	1p31.2-p31.1	-5.31	-1.16	0.22	0.47	-2.13	down	N/A	N/A
1662_at	1662	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	11	11q22-q23	-4.62	-1.2	0.26	0.44	-2.3	down	N/A	N/A
1666_at	1666	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	8	8q21.3	-4.63	-0.84	0.18	0.59	-1.68	down	N/A	N/A
3242_at	3242	HPD	4-hydroxyphenylpyruvate dioxygenase	12	12q24-qter	-14.17	-6.24	0.44	0.01	-70.64	down	yes	-6.84
1676_at	1676	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	1	1p36.3-p36.2	-4.18	-0.42	0.1	0.75	-1.33	down	N/A	N/A
1733_at	1733	DIO1	deiodinase, iodothyronine, type I	1	1p33-p32	-19.69	-7.14	0.36	0.01	-105.18	down	N/A	N/A
1757_at	1757	SARDH	sarcosine dehydrogenase	9	9q33-q34	-5.6	-0.52	0.09	0.69	-1.44	down	N/A	N/A
1760_at	1760	DMPK	dystrophia myotonica-protein kinase	19	19q13.3	-4.61	-0.54	0.12	0.68	-1.48	down	N/A	N/A
1773_at	1773	DNASE1	deoxyribonuclease I	16	16p13.3	-5.03	-0.57	0.11	0.69	-1.46	down	N/A	N/A
1776_at	1776	DNASE1L3	deoxyribonuclease I-like 3	3	3p21.1-p14.3	-5.49	-1.75	0.32	0.35	-2.86	down	N/A	N/A
2254_at	2254	FGF9	fibroblast growth factor 9 (glia-activating factor)	13	13q11-q12	-8.89	-4.4	0.49	0.16	-6.39	down	yes	-5.73
1807_at	1807	DPYS	dihydropyrimidinase	8	8q22	-5.19	-2.66	0.51	0.18	-5.41	down	N/A	N/A
1838_at	1838	DTNB	dystrobrevin, beta	2	2p24	-5.31	-0.46	0.09	0.73	-1.37	down	N/A	N/A
1840_at	1840	DTX1	deltex homolog 1 (Drosophila)	12	12q24.13	-5.23	-0.74	0.14	0.59	-1.7	down	N/A	N/A
28984_at	28984	RGC32	response gene to complement 32	13	13q14.11	6.15	2.15	0.35	4.69	4.69	up	yes	4.7
1892_at	1892	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	10	10q26.2-q26.3	-11.17	-1.69	0.15	0.32	-3.17	down	N/A	N/A
10562_at	10562	OLFM4	olfactomedin 4	13	13q21.1	-7.36	-1.94	0.26	0.2	-4.9	down	yes	-6.3
6564_at	6564	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1	13	13q33-q34	-4.61	-1.55	0.34	0.43	-2.33	down	yes	-3.04
2016_at	2016	EMX1	empty spiracles homeobox 1	2	2p14-p13	-8.79	-0.98	0.11	0.51	-1.96	down	N/A	N/A
2036_at	2036	EPB41L1	erythrocyte membrane protein band 4.1-like 1	20	20q11.2-q12	-4.2	-0.63	0.15	0.65	-1.53	down	N/A	N/A
2052_at	2052	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	1	1q42.1	-4.6	-1.17	0.26	0.38	-2.61	down	N/A	N/A
2053_at	2053	EPHX2	epoxide hydrolase 2, cytoplasmic	8	8p21-p12	-9.52	-1.92	0.2	0.27	-3.71	down	N/A	N/A
2064_at	2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	17	17q11.2-q12|17q21.1	-5.12	-0.45	0.09	0.73	-1.36	down	N/A	N/A
2066_at	2066	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	2	2q33.3-q34	-6.73	-1.21	0.18	0.4	-2.47	down	N/A	N/A
3002_at	3002	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	14	14q11.2	5.07	1.99	0.39	5.68	5.68	up	yes	7.71
2109_at	2109	ETFB	electron-transfer-flavoprotein, beta polypeptide	19	19q13.3	-6.22	-0.93	0.15	0.53	-1.89	down	N/A	N/A
2121_at	2121	EVC	Ellis van Creveld syndrome	4	4p16	-5.31	-0.39	0.07	0.77	-1.31	down	N/A	N/A
2122_at	2122	EVI1	ecotropic viral integration site 1	3	3q24-q28	-5.41	-1.62	0.3	0.37	-2.71	down	N/A	N/A
2125_at	2125	EVPL	envoplakin	17	17q25	-4.88	-0.47	0.1	0.72	-1.39	down	N/A	N/A
2128_at	2128	EVX1	even-skipped homeobox 1	7	7p15-p14	-5.19	-0.41	0.08	0.75	-1.33	down	N/A	N/A
2139_at	2139	EYA2	eyes absent homolog 2 (Drosophila)	20	20q13.1	-6.13	-0.95	0.15	0.52	-1.93	down	N/A	N/A
