Affymetrix probe ID	Gene symbol	FC (DP/SP)	Up/downregulation
211637_x_at		0.36577	downregulated
200839_s_at	CTSB	0.36585	downregulated
210858_x_at	ATM	0.36602	downregulated
201212_at	LGMN	0.36628	downregulated
224215_s_at	DLL1	0.36678	downregulated
205471_s_at	DACH1	0.36678	downregulated
209409_at	GRB10	0.36746	downregulated
207535_s_at	NFKB2	0.36746	downregulated
211962_s_at	ZFP36L1	0.3684	downregulated
214669_x_at	IGKC	0.36865	downregulated
229872_s_at	LOC440667 /// LOC440669 ///LOC440688	0.36891	downregulated
201487_at	CTSC	0.36899	downregulated
215933_s_at	HHEX	0.36933	downregulated
243771_at	PPP1R16B	0.37045	downregulated
221002_s_at	TSPAN14	0.37045	downregulated
1553395_a_at	CD200R1	0.37053	downregulated
206542_s_at	SMARCA2	0.3707	downregulated
210612_s_at	SYNJ2	0.37105	downregulated
202694_at	STK17A	0.37105	downregulated
1556314_a_at		0.3719	downregulated
222838_at	SLAMF7	0.3719	downregulated
212956_at	KIAA0882	0.37259	downregulated
203240_at	FCGBP	0.37285	downregulated
1554899_s_at	FCER1G	0.37285	downregulated
218984_at	FLJ20485	0.37294	downregulated
204083_s_at	TPM2	0.37337	downregulated
220577_at	GVIN1	0.37371	downregulated
209765_at	ADAM19	0.37389	downregulated
205718_at	ITGB7	0.37414	downregulated
213275_x_at	CTSB	0.37414	downregulated
213932_x_at	HLA-A	0.3751	downregulated
244026_at	ELL2	0.37518	downregulated
209569_x_at	D4S234E	0.37544	downregulated
206341_at	IL2RA	0.37544	downregulated
228737_at	C20orf100	0.37588	downregulated
213733_at	MYO1F	0.37596	downregulated
211900_x_at	CD6	0.37657	downregulated
1566518_at		0.37683	downregulated
224950_at	PTGFRN	0.3771	downregulated
217707_x_at	SMARCA2	0.37718	downregulated
201666_at	TIMP1	0.37718	downregulated
223314_at	TSPAN14	0.37727	downregulated
207821_s_at	PTK2	0.37814	downregulated
1569871_at		0.37814	downregulated
235122_at		0.37814	downregulated
213958_at	CD6	0.3791	downregulated
210201_x_at	BIN1	0.3806	downregulated
208195_at	TTN	0.38077	downregulated
202747_s_at	ITM2A	0.38086	downregulated
1558517_s_at		0.38183	downregulated
47069_at	PRR5	0.38236	downregulated
232614_at	BCL2	0.38254	downregulated
225628_s_at	MLLT6	0.38262	downregulated
244447_at	KLF10	0.3828	downregulated
236561_at	TGFBR1	0.3828	downregulated
229874_x_at	LOC400741	0.38378	downregulated
238823_at	FMNL3	0.38404	downregulated
226517_at	BCAT1	0.38422	downregulated
201848_s_at	BNIP3	0.38475	downregulated
211530_x_at	HLA-G	0.3852	downregulated
39582_at	CYLD	0.3852	downregulated
223922_x_at	MS4A6A	0.38537	downregulated
231769_at	FBXO6	0.38582	downregulated
224928_at	SET7	0.38609	downregulated
227565_at		0.38636	downregulated
212311_at	KIAA0746	0.38644	downregulated
206255_at	BLK	0.38671	downregulated
201161_s_at	CSDA	0.3868	downregulated
200706_s_at	LITAF	0.38689	downregulated
220132_s_at	CLEC2D	0.38716	downregulated
217733_s_at	TMSB10	0.38797	downregulated
206600_s_at	SLC16A5	0.38806	downregulated
204588_s_at	SLC7A7	0.38868	downregulated
1566448_at	CD6	0.38886	downregulated
1559584_a_at	C16orf54	0.38904	downregulated
205823_at	RGS12	0.38904	downregulated
211269_s_at	IL2RA	0.3894	downregulated
217591_at	SKIL	0.38958	downregulated
230499_at		0.38967	downregulated
208890_s_at	PLXNB2	0.38985	downregulated
202497_x_at	SLC2A3	0.39148	downregulated
215379_x_at	IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 ///IGLV2-14 /// IGLJ3	0.39175	downregulated
225739_at	RAB11FIP4	0.39193	downregulated
226150_at	HTPAP	0.39238	downregulated
201926_s_at	DAF	0.39238	downregulated
204249_s_at	LMO2	0.39256	downregulated
214439_x_at	BIN1	0.39302	downregulated
221861_at		0.39356	downregulated
217763_s_at	RAB31	0.39365	downregulated
219352_at	HERC6	0.39374	downregulated
235497_at	LOC284591	0.39511	downregulated
207315_at	CD226	0.39539	downregulated
228343_at	POU2F2	0.39566	downregulated
202382_s_at	GNPDA1	0.39621	downregulated
213702_x_at	ASAH1	0.39621	downregulated
218454_at	FLJ22662	0.39667	downregulated
222150_s_at	LOC54103	0.39667	downregulated
215388_s_at	CFH /// CFHL1	0.39713	downregulated
225637_at	FLJ20186	0.3974	downregulated
201307_at	11-Sep	0.39749	downregulated
213587_s_at	ATP6V0E2L	0.39758	downregulated
218592_s_at	CECR5	0.39878	downregulated
244556_at	LCP2	0.39887	downregulated
204019_s_at	SH3YL1	0.40044	downregulated
52940_at	SIGIRR	0.40063	downregulated
212827_at	IGHM	0.40072	downregulated
231956_at	KIAA1618	0.40128	downregulated
201194_at	SEPW1	0.40211	downregulated
211856_x_at	CD28	0.4022	downregulated
210980_s_at	ASAH1	0.4023	downregulated
1555086_at	STAT5B	0.40276	downregulated
215059_at		0.40295	downregulated
212192_at	KCTD12	0.40351	downregulated
224569_s_at	IRF2BP2	0.4036	downregulated
202888_s_at	ANPEP	0.405	downregulated
218017_s_at	TMEM76	0.405	downregulated
232852_at	LDB2	0.4051	downregulated
1555356_a_at	SCML4	0.40519	downregulated
1553194_at	NEGR1	0.40528	downregulated
221802_s_at	KIAA1598	0.40547	downregulated
212672_at	ATM	0.40566	downregulated
241402_at	TSEN54	0.40594	downregulated
212999_x_at	HLA-DQB1	0.40594	downregulated
216226_at	TAF4B	0.40622	downregulated
210202_s_at	BIN1	0.40678	downregulated
207120_at	ZNF667	0.40688	downregulated
222930_s_at	AGMAT	0.4082	downregulated
208767_s_at	LAPTM4B	0.4082	downregulated
243296_at	PBEF1	0.40848	downregulated
240245_at	RBMS3	0.40886	downregulated
242277_at	PHACTR2	0.40923	downregulated
202931_x_at	BIN1	0.41075	downregulated
211675_s_at	MDFIC	0.41113	downregulated
211284_s_at	GRN	0.41132	downregulated
1555851_s_at	SEPW1	0.41132	downregulated
218094_s_at	C20orf35	0.41142	downregulated
1557055_s_at	LOC284591	0.41161	downregulated
225746_at	RAB11FIP4	0.4117	downregulated
225626_at	PAG1	0.41361	downregulated
230252_at	GPR92	0.41389	downregulated
202145_at	LY6E	0.41389	downregulated
221267_s_at	C19orf27	0.41428	downregulated
1554464_a_at	CRTAP	0.41447	downregulated
230207_s_at	DOCK5	0.41533	downregulated
239559_at	PLEKHA5	0.41591	downregulated
234260_at	CDC42SE2	0.4161	downregulated
204787_at	VSIG4	0.41639	downregulated
1554667_s_at	FLJ13984	0.41639	downregulated
201565_s_at	ID2	0.41658	downregulated
217764_s_at	RAB31	0.41668	downregulated
224916_at	LOC340061	0.41774	downregulated
1566166_at	ZNF650	0.41774	downregulated
222912_at	ARRB1	0.4187	downregulated
206980_s_at	FLT3LG	0.4187	downregulated
215151_at	DOCK10	0.41909	downregulated
1558732_at		0.41909	downregulated
200832_s_at	SCD	0.41919	downregulated
205476_at	CCL20	0.41957	downregulated
235051_at	C3orf6	0.41996	downregulated
1553387_at	ATM	0.42016	downregulated
232879_at	TORC3	0.42074	downregulated
217914_at	TPCN1	0.42093	downregulated
211840_s_at	PDE4D	0.42132	downregulated
205463_s_at	PDGFA	0.42171	downregulated
228479_at		0.42201	downregulated
218510_x_at	FLJ20152	0.4221	downregulated
229265_at	DRPLA	0.42298	downregulated
228482_at	NBLA10383	0.42386	downregulated
1567107_s_at	TPM3 /// TPM4	0.42406	downregulated
204958_at	PLK3	0.42416	downregulated
200736_s_at	GPX1	0.42416	downregulated
209030_s_at	IGSF4	0.42435	downregulated
244535_at	FOXP1	0.42612	downregulated
200788_s_at	PEA15	0.42632	downregulated
1561166_a_at	FOXP1	0.4275	downregulated
219871_at	FLJ13197	0.4277	downregulated
235421_at	MAP3K8	0.42809	downregulated
231205_at		0.42839	downregulated
216236_s_at	SLC2A3 /// SLC2A14	0.42849	downregulated
205483_s_at	G1P2	0.42859	downregulated
239288_at	TNIK	0.42899	downregulated
217168_s_at	HERPUD1	0.42938	downregulated
226782_at	SLC25A30	0.42948	downregulated
201743_at	CD14	0.42978	downregulated
209238_at	STX3A	0.43087	downregulated
222872_x_at	FLJ22833	0.43097	downregulated
204864_s_at	IL6ST	0.43187	downregulated
202459_s_at	LPIN2	0.43227	downregulated
209870_s_at	APBA2	0.43247	downregulated
206485_at	CD5	0.43247	downregulated
229094_at	LOC401431	0.43317	downregulated
225622_at	PAG1	0.43327	downregulated
235816_s_at	Rgr	0.43337	downregulated
242904_x_at		0.43357	downregulated
209555_s_at	CD36	0.43367	downregulated
220108_at	GNA14	0.43367	downregulated
201200_at	CREG1	0.43367	downregulated
239886_at	RNF130	0.43397	downregulated
226301_at	C6orf192	0.43457	downregulated
227374_at	KIAA1970	0.43467	downregulated
202177_at	GAS6	0.43507	downregulated
221757_at	MGC17330	0.43598	downregulated
204067_at	SUOX	0.43628	downregulated
235109_at	ZBED3	0.43628	downregulated
226384_at	PPAPDC1B	0.43638	downregulated
232556_at		0.43658	downregulated
206553_at	OAS2	0.43729	downregulated
226388_at	TCEA3	0.43739	downregulated
1560031_at	FRMD4A	0.4377	downregulated
1552623_at	HSH2D	0.4379	downregulated
205297_s_at	CD79B	0.4379	downregulated
212828_at	SYNJ2	0.4381	downregulated
219033_at	PARP8	0.4383	downregulated
244008_at		0.4383	downregulated
211828_s_at	TNIK	0.4384	downregulated
1557835_at	FLJ12681	0.43891	downregulated
230906_at	GALNT10	0.43891	downregulated
229752_at	ZNFN1A4	0.43911	downregulated
208475_at	FRMD4A	0.43942	downregulated
240743_at		0.44013	downregulated
232165_at	EPPK1	0.44054	downregulated
201516_at	SRM	0.44176	downregulated
204700_x_at	C1orf107	0.44207	downregulated
233085_s_at	FLJ22833	0.44237	downregulated
210479_s_at	RORA	0.44247	downregulated
233706_at	NFATC2	0.44258	downregulated
201481_s_at	PYGB	0.44299	downregulated
219513_s_at	SH2D3A	0.44319	downregulated
1555736_a_at	AGTRAP	0.44319	downregulated
1559425_at	PRKCH	0.44319	downregulated
217655_at	FXYD5	0.44329	downregulated
224603_at	SIAT7B	0.4435	downregulated
229367_s_at	GIMAP6	0.44452	downregulated
242485_at	PTK2	0.44463	downregulated
205611_at	TNFSF12	0.44555	downregulated
225344_at	NCOA7	0.44576	downregulated
224793_s_at	TGFBR1	0.44617	downregulated
221755_at	EHBP1L1	0.44627	downregulated
1552875_a_at	CD200R1	0.44658	downregulated
204205_at	APOBEC3G	0.44679	downregulated
211824_x_at	NALP1	0.447	downregulated
201502_s_at	NFKBIA	0.447	downregulated
201251_at	PKM2	0.44741	downregulated
1555088_x_at	STAT5B	0.44762	downregulated
221561_at	SOAT1	0.44772	downregulated
219386_s_at	SLAMF8	0.44803	downregulated
218552_at	ECHDC2	0.44886	downregulated
228402_at	ZBED3	0.44959	downregulated
210113_s_at	NALP1	0.45021	downregulated
202546_at	VAMP8	0.45021	downregulated
221218_s_at	TPK1	0.45073	downregulated
219550_at	ROBO3	0.45073	downregulated
201892_s_at	IMPDH2	0.45156	downregulated
239862_at	TPD52	0.45156	downregulated
1553042_a_at	TA-NFKBH	0.45188	downregulated
204863_s_at	IL6ST	0.45313	downregulated
216041_x_at	GRN	0.45334	downregulated
239605_x_at	TGFBR1	0.45397	downregulated
205205_at	RELB	0.45407	downregulated
205881_at	ZNF74	0.45428	downregulated
212390_at	PDE4DIP	0.4547	downregulated
214193_s_at	C1orf107	0.45491	downregulated
203701_s_at	TRMT1	0.45491	downregulated
223912_s_at	CLN8	0.45523	downregulated
209344_at	TPM4	0.45555	downregulated
209200_at	MEF2C	0.45618	downregulated
242874_at		0.4566	downregulated
200885_at	RHOC	0.45681	downregulated
207334_s_at	TGFBR2	0.4585	downregulated
218667_at	PJA1	0.45871	downregulated
205027_s_at	MAP3K8	0.45871	downregulated
213920_at	CUTL2	0.45946	downregulated
221760_at	MAN1A1	0.45988	downregulated
225059_at	AGTRAP	0.46031	downregulated
214765_s_at	ASAHL	0.46041	downregulated
201536_at	DUSP3	0.46126	downregulated
1564204_at	KIAA0493	0.46148	downregulated
55872_at	GM632	0.46148	downregulated
215874_at	SIAT4A	0.46158	downregulated
212345_s_at	CREB3L2	0.46158	downregulated
209879_at	SELPLG	0.46169	downregulated
212256_at	GALNT10	0.46244	downregulated
201577_at	NME1	0.46244	downregulated
209498_at	CEACAM1	0.4649	downregulated
225034_at	LOC286167	0.4663	downregulated
227201_at	LOC284591	0.46695	downregulated
219607_s_at	MS4A4A	0.46879	downregulated
228444_at	ARRB1	0.46965	downregulated
212018_s_at	RSL1D1	0.46998	downregulated
225879_at	TSEN54	0.4703	downregulated
227213_at	DEADC1	0.47063	downregulated
226525_at	STK17B	0.47074	downregulated
203595_s_at	IFIT5	0.47085	downregulated
213045_at	MAST3	0.47085	downregulated
1562194_at	ZFHX1B	0.47205	downregulated
1556033_at		0.47303	downregulated
207556_s_at	DGKZ	0.47303	downregulated
1557523_at	LOC92270	0.47336	downregulated
213182_x_at	CDKN1C	0.47347	downregulated
219452_at	DPEP2	0.4739	downregulated
232330_at	FLJ10803	0.47401	downregulated
200678_x_at	GRN	0.47544	downregulated
210027_s_at	APEX1	0.47577	downregulated
224345_x_at	E2IG5	0.47577	downregulated
213052_at	PRKAR2A	0.47632	downregulated
218694_at	ARMCX1	0.47676	downregulated
233500_x_at	CLEC2D	0.4772	downregulated
221726_at	RPL22	0.4772	downregulated
225783_at	NCE2	0.47886	downregulated
223193_x_at	E2IG5	0.47941	downregulated
207610_s_at	EMR2	0.47952	downregulated
208309_s_at	MALT1	0.48008	downregulated
211474_s_at	SERPINB6	0.48052	downregulated
231948_s_at	NCE2	0.48096	downregulated
220306_at	FAM46C	0.48119	downregulated
225055_at	SH3-domain GRB2-like pseudogene 3	0.48185	downregulated
206036_s_at	REL	0.48196	downregulated
219168_s_at	PRR5	0.48208	downregulated
228607_at	OAS2	0.4823	downregulated
201797_s_at	VARS	0.48252	downregulated
234211_at	PTK2	0.48453	downregulated
209516_at	SMYD5	0.48521	downregulated
215679_at		0.48532	downregulated
224634_at	GPATC4	0.48543	downregulated
200696_s_at	GSN	0.48847	downregulated
1560512_at		0.48847	downregulated
217853_at	TENS1	0.48847	downregulated
235242_at		0.48948	downregulated
1553715_s_at	MGC15416	0.48948	downregulated
221838_at	KLHL22	0.49062	downregulated
224929_at	LOC340061	0.4913	downregulated
213590_at	SLC16A5	0.49221	downregulated
232333_at	MAML2	0.49312	downregulated
204747_at	IFIT3	0.49403	downregulated
226104_at	DKFZP564A022	0.49643	downregulated
208758_at	ATIC	0.49712	downregulated
217850_at	GNL3	0.49896	downregulated
205131_x_at	CLEC11A	0.49977	downregulated
202018_s_at	LTF	0.49988	downregulated
209083_at	CORO1A	0.50139	downregulated
204165_at	WASF1	0.50139	downregulated
213294_at	FLJ38348	0.5015	downregulated
201690_s_at	TPD52	0.50174	downregulated
225787_at	NCE2	0.50232	downregulated
244414_at	MAML2	0.50418	downregulated
218648_at	TORC3	0.50476	downregulated
203737_s_at	PPRC1	0.50488	downregulated
230788_at	GCNT2	0.50499	downregulated
217933_s_at	LAP3	0.50604	downregulated
210017_at	MALT1	0.50639	downregulated
1553703_at		0.50827	downregulated
218140_x_at	SRPRB	0.50933	downregulated
221270_s_at	QTRT1	0.51121	downregulated
224741_x_at	GAS5	0.51169	downregulated
220169_at	FLJ23235	0.51181	downregulated
242405_at	MAML2	0.5124	downregulated
227517_s_at	RNU47	0.51263	downregulated
1555938_x_at	VIM	0.51287	downregulated
91703_at	EHBP1L1	0.51287	downregulated
240546_at	LOC389043	0.51489	downregulated
224596_at	SLC44A1	0.51489	downregulated
235458_at	HAVCR2	0.51513	downregulated
202182_at	GCN5L2	0.51584	downregulated
224841_x_at	GAS5	0.51656	downregulated
202314_at	CYP51A1	0.51692	downregulated
218889_at	NOC3L	0.51751	downregulated
224784_at	MLLT6	0.51799	downregulated
227308_x_at	LTBP3	0.51931	downregulated
221923_s_at	NPM1	0.52973	downregulated
203440_at	CDH2	0.53047	downregulated
227235_at		0.53342	downregulated
227607_at	AMSH-LP	0.54211	downregulated
226691_at	KIAA1856	0.54905	downregulated
218953_s_at	MGC3265	0.55427	downregulated
