Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value
Kctd15	potassium channel tetramerisation domain containing 15	A_51_P331805	Embryo:1.12625394381762	Embryo:0.00385524740547974
Endod1	endonuclease domain containing 1	A_51_P505823	Embryo:1.12507692399059	Embryo:0.00725456275552523
Nxph3	neurexophilin 3	A_51_P254262	Embryo:1.12418718854691	Embryo:0.00241458157590263
Ramp3	receptor (calcitonin) activity modifying protein 3	A_51_P227090	Embryo:1.12150409758978	Embryo:0.00247346164339769
Arl4d	ADP-ribosylation factor-like 4D	A_51_P402378	Embryo:1.12119880728665	Embryo:0.00137283086508777
Hs3st1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	A_51_P365152	Embryo:1.11995327456796	Embryo:0.0061089793770725
Gjc1	gap junction protein, gamma 1	A_52_P285041	Embryo:1.11966521257684	Embryo:0.00246321441474614
Ccdc85b	coiled-coil domain containing 85B	A_51_P477768	Embryo:1.11784413295519	Embryo:0.000708461115776662
Ift81	intraflagellar transport 81 homolog (Chlamydomonas)	A_52_P459276	Embryo:1.11735494457337	Embryo:0.00944604692409802
Thrsp	thyroid hormone responsive SPOT14 homolog (Rattus)	A_51_P194099	Embryo:1.11670453394152	Embryo:0.0309834049749952
Edn2	endothelin 2	A_51_P482121	Embryo:1.11581190914982	Embryo:0.0259499598213212
Stmn1	stathmin 1	A_51_P495641	Embryo:1.11438463865551	Embryo:0.00809482652788759
Rell1	RELT-like 1	A_51_P279712	Embryo:1.11357744546621	Embryo:0.00427199749764748
Stard3nl	STARD3 N-terminal like	A_51_P172688	Embryo:1.1134814359183	Embryo:6.72482002022079e-06
Sema4g	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	A_51_P331003	Embryo:1.11347318782906	Embryo:0.00375485602531652
Cpt1c	carnitine palmitoyltransferase 1c	A_52_P269942	Embryo:1.11238185840504	Embryo:0.000196411451409591
Akap13	A kinase (PRKA) anchor protein 13	A_51_P452702	Embryo:1.10969110887809	Embryo:0.00419499675635992
Bmp1	bone morphogenetic protein 1	A_51_P488646	Embryo:1.10927315143708	Embryo:0.00081824018722898
Pdzd11	PDZ domain containing 11	A_52_P443104	Embryo:1.10749106994818	Embryo:0.0381378121119886
4930523C07Rik	RIKEN cDNA 4930523C07 gene	A_52_P346901	Embryo:1.10658435073467	Embryo:0.0103715044791127
Acox3	acyl-Coenzyme A oxidase 3, pristanoyl	A_52_P745	Embryo:1.10224611796933	Embryo:4.16608642036117e-05
Hunk	hormonally upregulated Neu-associated kinase	A_51_P103237	Embryo:1.10103451526994	Embryo:0.0128805639240824
Epha4	Eph receptor A4	A_51_P221762	Embryo:1.10081658753541	Embryo:0.0153542352200445
Slc12a2	solute carrier family 12, member 2	A_51_P275527	Embryo:1.09895762425822	Embryo:0.00724058355926827
Tirap	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein	A_51_P278686	Embryo:1.0976485311096	Embryo:6.58267374140491e-05
Slc35e4	solute carrier family 35, member E4	A_51_P268934	Embryo:1.09746689162435	Embryo:0.000180198030078744
Nefm	neurofilament, medium polypeptide	A_51_P145220	Embryo:1.09694853542089	Embryo:0.0206297998262945
Hes6	hairy and enhancer of split 6 (Drosophila)	A_52_P512301	Embryo:1.09547250421559	Embryo:0.0407979266997883
Akap2	A kinase (PRKA) anchor protein 2	A_52_P306305	Embryo:1.09510328263881	Embryo:0.0114074062869197
Ankrd13b	ankyrin repeat domain 13b	A_51_P411757	Embryo:1.09496892671583	Embryo:0.00018037465016873
Rtn2	reticulon 2 (Z-band associated protein)	A_51_P209930	Embryo:1.09451421597597	Embryo:0.00303971134459068
Rhoj	ras homolog gene family, member J	A_51_P157193	Embryo:1.0925640126355	Embryo:5.1152398196692e-07
Lmo3	LIM domain only 3	A_51_P118188	Embryo:1.09202455240115	Embryo:0.00051793100340168
Paqr8	progestin and adipoQ receptor family member VIII	A_51_P422540	Embryo:1.08832971696633	Embryo:0.0388332266875468
N4bp3	NEDD4 binding protein 3	A_51_P208931	Embryo:1.08583245672398	Embryo:8.0938066693078e-05
Dusp28	dual specificity phosphatase 28	A_51_P249793	Embryo:1.08304945409171	Embryo:0.000309557628289553
Glcci1	glucocorticoid induced transcript 1	A_51_P199425	Embryo:1.08217053767395	Embryo:0.000603974532917686
Ctxn1	cortexin 1	A_52_P680870	Embryo:1.08090192463567	Embryo:0.00323454048811038
Lamc1	laminin, gamma 1	A_51_P199354	Embryo:1.08068643925325	Embryo:0.00885432188452698
March9	membrane-associated ring finger (C3HC4) 9	A_51_P226794	Embryo:1.07629070591765	Embryo:0.000191569817137111
Hdgfrp3	hepatoma-derived growth factor, related protein 3	A_52_P545066	Embryo:1.07027337476646	Embryo:0.0016995269389268
Chst7	carbohydrate (N-acetylglucosamino) sulfotransferase 7	A_51_P229925	Embryo:1.06992830665955	Embryo:2.35687578641996e-05
Megf6	multiple EGF-like-domains 6	A_52_P449718	Embryo:1.06861900871955	Embryo:4.4222262609603e-05
Srpx2	sushi-repeat-containing protein, X-linked 2	A_51_P425047	Embryo:1.06824997240207	Embryo:0.0451336309994923
Tpmt	thiopurine methyltransferase	A_51_P214663	Embryo:1.06008140368845	Embryo:0.00012610539257535
Glt28d2	glycosyltransferase 28 domain containing 2	A_51_P314652	Embryo:1.05851508994128	Embryo:0.0245874922995811
Olfr151	olfactory receptor 151	A_52_P214107	Embryo:1.05794050403158	Embryo:0.0276196140361069
Mustn1	musculoskeletal, embryonic nuclear protein 1	A_52_P335064	Embryo:1.05722177304039	Embryo:0.00532212538177567
Cyp4v3	cytochrome P450, family 4, subfamily v, polypeptide 3	A_52_P302345	Embryo:1.05691395837401	Embryo:0.0133931905608402
Fgd1	FYVE, RhoGEF and PH domain containing 1	A_52_P428521	Embryo:1.05485851508804	Embryo:0.0012308169236243
Klf13	Kruppel-like factor 13	A_51_P341169	Embryo:1.05412166455389	Embryo:0.00109935233221721
Wdr60	WD repeat domain 60	A_52_P663303	Embryo:1.05326129318352	Embryo:0.0399602841445909
Mpg	N-methylpurine-DNA glycosylase	A_51_P366161	Embryo:1.05155996759408	Embryo:0.000130859082850483
Ascl1	achaete-scute complex homolog 1 (Drosophila)	A_51_P437327	Embryo:1.05056508662453	Embryo:0.00215461880556175
Cyp39a1	cytochrome P450, family 39, subfamily a, polypeptide 1	A_52_P557265	Embryo:1.05001612350155	Embryo:8.46887880890892e-05
Rem2	rad and gem related GTP binding protein 2	A_51_P191909	Embryo:1.04582095540862	Embryo:1.44975208302258e-05
Ahsa2	AHA1, activator of heat shock protein ATPase homolog 2 (yeast)	A_51_P235297	Embryo:1.04555376871159	Embryo:0.00181132008760287
Pdzrn3	PDZ domain containing RING finger 3	A_52_P327176	Embryo:1.04205793924768	Embryo:0.0199611871508851
Rin1	Ras and Rab interactor 1	A_51_P211765	Embryo:1.04205444032607	Embryo:0.00411397369447342
Gm597	predicted gene 597	A_52_P534810	Embryo:1.04180096821884	Embryo:0.0166054290852309
Kcnj11	potassium inwardly rectifying channel, subfamily J, member 11	A_52_P402705	Embryo:1.03934328658339	Embryo:0.0450662604088082
Diras1	DIRAS family, GTP-binding RAS-like 1	A_51_P149503	Embryo:1.0382279748831	Embryo:3.40461551674668e-05
Evl	Ena-vasodilator stimulated phosphoprotein	A_51_P433467	Embryo:1.0356308097385	Embryo:5.22783363585634e-06
Ncald	neurocalcin delta	A_51_P291713	Embryo:1.03213096935611	Embryo:0.00859537848983632
Ckb	creatine kinase, brain	A_52_P385606	Embryo:1.03211775490561	Embryo:0.0163337001007593
Enox1	ecto-NOX disulfide-thiol exchanger 1	A_52_P529374	Embryo:1.03066685046119	Embryo:0.00668639893078157
Fam181a	family with sequence similarity 181, member A	A_52_P599478	Embryo:1.03034905839906	Embryo:0.00415926835481592
Ppfia3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3	A_52_P104581	Embryo:1.02923725823694	Embryo:0.0320559389901032
Col18a1	collagen, type XVIII, alpha 1	A_51_P191700	Embryo:1.02916675637178	Embryo:0.0185726974274188
Stard5	StAR-related lipid transfer (START) domain containing 5	A_52_P481182	Embryo:1.02587306487163	Embryo:0.00168370178153421
Ankrd28	ankyrin repeat domain 28	A_52_P37890	Embryo:1.02581573365839	Embryo:3.08835253657835e-07
Raet1e	retinoic acid early transcript 1E	A_52_P10063	Embryo:1.02389710403017	Embryo:0.00480049285309787
Mllt4	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	A_51_P493486	Embryo:1.02367148102959	Embryo:0.0166967853932844
Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	A_51_P472249	Embryo:1.0228499622502	Embryo:2.2555870281468e-06
Rabac1	Rab acceptor 1 (prenylated)	A_51_P374383	Embryo:1.02214830173492	Embryo:1.13874936556076e-05
Coro1c	coronin, actin binding protein 1C	A_52_P634856	Embryo:1.0219762923638	Embryo:0.00020391398583916
Mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3	A_51_P264388	Embryo:1.02128225892526	Embryo:3.44564137438387e-05
Pisd-ps3	phosphatidylserine decarboxylase, pseudogene 3	A_52_P654624	Embryo:1.02088133792379	Embryo:0.00376532022729758
Rep15	RAB15 effector protein	A_52_P230688	Embryo:1.0197109458196	Embryo:0.00385658118123399
Srebf2	sterol regulatory element binding factor 2	A_52_P473344	Embryo:1.01867693281302	Embryo:0.00661075970784567
Ebf3	early B-cell factor 3	A_51_P246543	Embryo:1.01605086593487	Embryo:0.00351746633756256
Slc6a8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	A_51_P450829	Embryo:1.0152784566444	Embryo:0.000255816632528566
Fam82b	family with sequence similarity 82, member B	A_52_P620432	Embryo:1.01439649960988	Embryo:0.0132623411252994
Il4ra	interleukin 4 receptor, alpha	A_51_P464478	Embryo:1.01280818686082	Embryo:0.000787214529055404
Lrrc17	leucine rich repeat containing 17	A_51_P301930	Embryo:1.01277782836691	Embryo:0.0399529066596963
Gli3	GLI-Kruppel family member GLI3	A_51_P171288	Embryo:1.01197375006682	Embryo:0.0276592984106082
Cxx1b	CAAX box 1 homolog B (human)	A_51_P293665	Embryo:1.01164569480283	Embryo:0.0152925867506916
Scand3	SCAN domain containing 3	A_51_P427232	Embryo:1.01156358522726	Embryo:0.0185298415076286
Fam115a	family with sequence similarity 115, member A	A_52_P250578	Embryo:1.01062470931813	Embryo:0.0417512049128326
Arid3a	AT rich interactive domain 3A (BRIGHT-like)	A_51_P485828	Embryo:1.00763334501787	Embryo:0.00678246434244684
Arl10	ADP-ribosylation factor-like 10	A_51_P271591	Embryo:1.00608387577657	Embryo:0.00179841549385819
Gng2	guanine nucleotide binding protein (G protein), gamma 2	A_52_P263518	Embryo:1.00459060995439	Embryo:0.000314168327210204
Nxn	nucleoredoxin	A_52_P57013	Embryo:1.0030855017264	Embryo:0.00171476063207318
Dynll1	dynein light chain LC8-type 1	A_52_P250555	Embryo:1.00292282243119	Embryo:6.83928047325219e-05
Slc35f1	solute carrier family 35, member F1	A_51_P207183	Embryo:1.00222320515258	Embryo:0.0157502173620671
Sncg	synuclein, gamma	A_51_P118300	Embryo:1.0009119609865	Embryo:0.000588707268025685
