Symbol	Name	ProbeId	Adult:Log2FC	Adult:adj_p-value
Trim24	tripartite motif-containing 24	A_52_P652293	Adult:1.09430115606458	Adult:0.00709245534784844
Btbd6	BTB (POZ) domain containing 6	A_52_P635271	Adult:1.09288470940513	Adult:0.000181804618741142
Sfxn3	sideroflexin 3	A_51_P150555	Adult:1.09264091409913	Adult:6.59411725347082e-05
Wdr19	WD repeat domain 19	A_51_P489108	Adult:1.09123226278761	Adult:2.57032769881224e-06
Klhl25	kelch-like 25 (Drosophila)	A_51_P491150	Adult:1.09083313318151	Adult:0.00018529675428979
Tonsl	tonsoku-like, DNA repair protein	A_51_P497402	Adult:1.08994406503542	Adult:0.000433151743685594
2310045N01Rik	RIKEN cDNA 2310045N01 gene	A_51_P348617	Adult:1.08877023486232	Adult:0.000124467128270759
Odf3b	outer dense fiber of sperm tails 3B	A_51_P422369	Adult:1.08647005000426	Adult:0.000753493325243771
Ccdc33	coiled-coil domain containing 33	A_52_P171178	Adult:1.08633395470039	Adult:0.000191193378970398
Gucy2f	guanylate cyclase 2f	A_51_P429663	Adult:1.08605034438535	Adult:3.94822878875154e-06
Gars	glycyl-tRNA synthetase	A_51_P196937	Adult:1.08547900604621	Adult:0.000644226741126337
Gnao1	guanine nucleotide binding protein, alpha O	A_52_P205037	Adult:1.08545366305421	Adult:0.0171006319811646
Sstr3	somatostatin receptor 3	A_51_P408666	Adult:1.0851316870753	Adult:1.84778367105565e-05
Zbtb44	zinc finger and BTB domain containing 44	A_51_P303000	Adult:1.08208829851742	Adult:0.000235308874788976
Mterfd3	MTERF domain containing 3	A_51_P202623	Adult:1.08206074896852	Adult:5.68668433735096e-05
Zfp862	zinc finger protein 862	A_52_P555629	Adult:1.08163418860299	Adult:0.000393493319923158
Supt5h	suppressor of Ty 5 homolog (S. cerevisiae)	A_52_P15229	Adult:1.08119291827063	Adult:0.00039694723861799
Accn4	amiloride-sensitive cation channel 4, pituitary	A_52_P200500	Adult:1.07762304185647	Adult:0.00872308582603767
Farp2	FERM, RhoGEF and pleckstrin domain protein 2	A_51_P425254	Adult:1.07646719843592	Adult:9.38674226058901e-06
Clcn1	chloride channel 1	A_52_P516878	Adult:1.07494649655925	Adult:0.0154745114006411
Ak4	adenylate kinase 4	A_51_P428582	Adult:1.07460658231534	Adult:0.000127681532485798
Klhl26	kelch-like 26 (Drosophila)	A_51_P143468	Adult:1.07421534451374	Adult:7.27699052047165e-06
Slc39a3	solute carrier family 39 (zinc transporter), member 3	A_51_P387248	Adult:1.07414466756946	Adult:0.00103892050859317
2810008D09Rik	RIKEN cDNA 2810008D09 gene	A_52_P555537	Adult:1.07242364479821	Adult:0.00306582941955976
Olfr282	olfactory receptor 282	A_51_P320751	Adult:1.07140291408794	Adult:0.0440242409814414
Olfr78	olfactory receptor 78	A_52_P225912	Adult:1.07094946749	Adult:0.0143677848254526
Zfp358	zinc finger protein 358	A_51_P350996	Adult:1.0693623358984	Adult:0.000153587379264393
Chchd5	coiled-coil-helix-coiled-coil-helix domain containing 5	A_52_P324694	Adult:1.06912239239086	Adult:0.00281445619475381
Olfr983	olfactory receptor 983	A_51_P420577	Adult:1.06906497083406	Adult:1.06237567223151e-05
Pa2g4	proliferation-associated 2G4	A_51_P119923	Adult:1.06795544009518	Adult:0.000965138255263542
Olfr976	olfactory receptor 976	A_51_P489688	Adult:1.06784081564758	Adult:0.0358244882282221
Tmem48	transmembrane protein 48	A_51_P407606	Adult:1.06738805636738	Adult:0.000265682188327016
Zfp14	zinc finger protein 14	A_51_P269634	Adult:1.06711680867391	Adult:0.0138201974373285
Pex5	peroxisomal biogenesis factor 5	A_51_P483344	Adult:1.06594290588575	Adult:0.0170882675998359
Lhfpl5	lipoma HMGIC fusion partner-like 5	A_51_P406193	Adult:1.06580187911712	Adult:0.00635965637920515
Ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	A_52_P432685	Adult:1.06555990144198	Adult:4.47587169663267e-05
Klhl2	kelch-like 2, Mayven (Drosophila)	A_51_P398164	Adult:1.06533557816857	Adult:0.00199236166854376
Cutc	cutC copper transporter homolog (E.coli)	A_51_P295582	Adult:1.06521280610463	Adult:1.22863843802645e-05
Mprip	myosin phosphatase Rho interacting protein	A_51_P275514	Adult:1.06401809261082	Adult:0.000315333357337931
Gmnn	geminin	A_51_P166155	Adult:1.06242939213706	Adult:0.000816793707971595
Wwox	WW domain-containing oxidoreductase	A_52_P611283	Adult:1.05821786181635	Adult:0.0196638995719121
Dlg2	discs, large homolog 2 (Drosophila)	A_52_P89049	Adult:1.05796126095486	Adult:0.00256430481609394
1700029I15Rik	RIKEN cDNA 1700029I15 gene	A_52_P546660	Adult:1.05706336888915	Adult:0.0153564618266175
Diexf	digestive organ expansion factor homolog (zebrafish)	A_52_P242251	Adult:1.0565071841648	Adult:8.51913084696967e-05
Prkrip1	Prkr interacting protein 1 (IL11 inducible)	A_52_P214897	Adult:1.05645150121816	Adult:0.00203249990278635
Pde4c	phosphodiesterase 4C, cAMP specific	A_52_P573543	Adult:1.05516647386988	Adult:0.00799260955754271
1810043G02Rik	RIKEN cDNA 1810043G02 gene	A_52_P198727	Adult:1.05448065708947	Adult:0.00270648811926136
Mrpl34	mitochondrial ribosomal protein L34	A_51_P107433	Adult:1.05444152126287	Adult:0.000430884705268444
Olfr1381	olfactory receptor 1381	A_52_P219853	Adult:1.0535184993204	Adult:7.23416644783019e-05
Zfp82	zinc finger protein 82	A_51_P419833	Adult:1.05112592872232	Adult:0.00178851005437324
Cry2	cryptochrome 2 (photolyase-like)	A_52_P248378	Adult:1.05028479967969	Adult:0.00571253651540526
Atp5j	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F	A_51_P100866	Adult:1.04987366508722	Adult:0.00150728832001564
Pfkl	phosphofructokinase, liver, B-type	A_51_P310896	Adult:1.04928750546977	Adult:0.000583550713501169
Haus1	HAUS augmin-like complex, subunit 1	A_51_P170696	Adult:1.04831352331345	Adult:2.14394462253082e-05
Oasl2	2-5 oligoadenylate synthetase-like 2	A_51_P387123	Adult:1.04747657646236	Adult:0.00319075401934263
Atp11c	ATPase, class VI, type 11C	A_51_P215815	Adult:1.04725684179799	Adult:0.0348118802463259
Cckbr	cholecystokinin B receptor	A_52_P596375	Adult:1.04590351501916	Adult:0.0215257321290053
Olfr918	olfactory receptor 918	A_51_P240425	Adult:1.04583916806945	Adult:1.18189446439008e-05
Gm9856	predicted gene 9856	A_51_P410927	Adult:1.04583723057004	Adult:0.00101316508359885
Pop7	processing of precursor 7, ribonuclease P family, (S. cerevisiae)	A_51_P307467	Adult:1.04518457988737	Adult:0.00421947737239871
5930438M14	hypothetical protein 5930438M14	A_52_P730956	Adult:1.04512992016437	Adult:0.0462295715435857
B9d2	B9 protein domain 2	A_51_P487228	Adult:1.04460842694671	Adult:0.00266137871494344
Ywhae	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	A_52_P171715	Adult:1.04451175844297	Adult:1.42794252059388e-05
4930548G14Rik	RIKEN cDNA 4930548G14 gene	A_51_P433975	Adult:1.0439081506409	Adult:0.020673235318162
C130050O18Rik	RIKEN cDNA C130050O18 gene	A_52_P371135	Adult:1.04305754545312	Adult:0.0150961543808944
Chchd6	coiled-coil-helix-coiled-coil-helix domain containing 6	A_51_P203771	Adult:1.04003771691258	Adult:0.000421942521653802
Dennd1a	DENN/MADD domain containing 1A	A_51_P146449	Adult:1.03908296905838	Adult:0.00322286627335193
Gtf3c5	general transcription factor IIIC, polypeptide 5	A_51_P105810	Adult:1.03877622430545	Adult:7.28613011825366e-06
Rdm1	RAD52 motif 1	A_51_P433127	Adult:1.03826344301893	Adult:1.9503578614994e-05
Pkm2	pyruvate kinase, muscle	A_51_P428913	Adult:1.03802006537495	Adult:6.44623306580511e-05
Fbxw14	F-box and WD-40 domain protein 14	A_51_P277454	Adult:1.03734783507692	Adult:0.000849218612450827
Mapk1ip1	mitogen-activated protein kinase 1 interacting protein 1	A_51_P467682	Adult:1.03681242366245	Adult:5.10535121198102e-05
Man1a2	mannosidase, alpha, class 1A, member 2	A_52_P120842	Adult:1.03632980699527	Adult:0.0013587989644778
Pofut2	protein O-fucosyltransferase 2	A_52_P88591	Adult:1.03581171780613	Adult:0.015089926519203
Myl6b	myosin, light polypeptide 6B	A_51_P476725	Adult:1.03480358014777	Adult:0.0042110484392683
Fbxo4	F-box protein 4	A_51_P513803	Adult:1.03398835822566	Adult:0.0209475499627287
Il18	interleukin 18	A_51_P153565	Adult:1.03363284352767	Adult:0.0453819790315554
Ang2	angiogenin, ribonuclease A family, member 2	A_51_P349888	Adult:1.03347725841017	Adult:0.00459210786419171
Nmt2	N-myristoyltransferase 2	A_51_P465512	Adult:1.03259163640252	Adult:6.49556597769128e-05
Poldip3	polymerase (DNA-directed), delta interacting protein 3	A_52_P113487	Adult:1.03240564757128	Adult:0.0438627042473971
Rnf138	ring finger protein 138	A_51_P261608	Adult:1.03174297327288	Adult:0.00295089787593627
Rab4a	RAB4A, member RAS oncogene family	A_51_P282883	Adult:1.03145667132	Adult:6.24607200599405e-05
F420014N23Rik	RIKEN cDNA F420014N23 gene	A_52_P811856	Adult:1.03108693641171	Adult:0.0348197118120173
Fto	fat mass and obesity associated	A_51_P199899	Adult:1.03107020989857	Adult:0.0101266436149108
Olfr1206	olfactory receptor 1206	A_51_P271395	Adult:1.03103287859436	Adult:0.00237644120092914
D3Ertd751e	DNA segment, Chr 3, ERATO Doi 751, expressed	A_52_P218955	Adult:1.03041116770582	Adult:0.0432470796075428
1700084M14Rik	RIKEN cDNA 1700084M14 gene	A_51_P428297	Adult:1.02995901510618	Adult:0.0278194166473606
Acad12	acyl-Coenzyme A dehydrogenase family, member 12	A_51_P384113	Adult:1.02910106706806	Adult:0.00492881804823575
AI426330	expressed sequence AI426330	A_52_P463687	Adult:1.02879394069281	Adult:0.002712625599546
Olfr1156	olfactory receptor 1156	A_51_P507429	Adult:1.02871591101562	Adult:0.00299935690246227
Acsl1	acyl-CoA synthetase long-chain family member 1	A_52_P597618	Adult:1.02747275750906	Adult:0.0345075788085767
Sap130	Sin3A associated protein	A_52_P40704	Adult:1.02622180131065	Adult:0.0257492136920948
Svip	small VCP/p97-interacting protein	A_51_P145631	Adult:1.02581357106341	Adult:0.0281574178338114
Ick	intestinal cell kinase	A_52_P562054	Adult:1.02492950866524	Adult:0.000120565811334432
Tas2r135	taste receptor, type 2, member 135	A_52_P522241	Adult:1.02484332073402	Adult:8.49591903633982e-07
Lrrc46	leucine rich repeat containing 46	A_51_P216085	Adult:1.02483707247208	Adult:2.2691694328772e-05
4930573C08Rik	RIKEN cDNA 4930573C08 gene	A_52_P380658	Adult:1.02382226174442	Adult:0.02987443851406
Amz2	archaelysin family metallopeptidase 2	A_51_P321086	Adult:1.02255709070441	Adult:1.0663922117767e-06
Ankrd40	ankyrin repeat domain 40	A_51_P335350	Adult:1.02157569261542	Adult:4.02943958303783e-05
Acap1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	A_51_P273489	Adult:1.02096611733598	Adult:0.00383259283015329
Mrps17	mitochondrial ribosomal protein S17	A_51_P121397	Adult:1.02035922361373	Adult:0.00134365110271951
Zc3h4	zinc finger CCCH-type containing 4	A_52_P521583	Adult:1.01921850130317	Adult:0.0406648078411661
Nme3	non-metastatic cells 3, protein expressed in	A_51_P395111	Adult:1.01881852392328	Adult:0.000310600392469068
Commd1	COMM domain containing 1	A_52_P23616	Adult:1.01772038317406	Adult:7.30203700286896e-05
Slc10a7	solute carrier family 10 (sodium/bile acid cotransporter family), member 7	A_52_P158546	Adult:1.01628893848038	Adult:0.000383518674931768
2310039H08Rik	RIKEN cDNA 2310039H08 gene	A_51_P214083	Adult:1.0150535685372	Adult:0.00136159342210304
Oxa1l	oxidase assembly 1-like	A_52_P523532	Adult:1.01124200359851	Adult:0.0495247622948785
Trim68	tripartite motif-containing 68	A_51_P490678	Adult:1.01122178850128	Adult:0.000638245609834265
Tshz1	teashirt zinc finger family member 1	A_51_P394833	Adult:1.01119509113098	Adult:0.0294291940828015
Aoc2	amine oxidase, copper containing 2 (retina-specific)	A_52_P441937	Adult:1.01061926304805	Adult:0.00201816471569164
Tigd3	tigger transposable element derived 3	A_52_P82636	Adult:1.00960649127516	Adult:0.00236272713934161
Usp18	ubiquitin specific peptidase 18	A_51_P164219	Adult:1.0095140197205	Adult:0.000673293418702555
Cenpc1	centromere protein C1	A_52_P674444	Adult:1.00600906890074	Adult:0.0144007409339773
Ip6k1	inositol hexaphosphate kinase 1	A_51_P103718	Adult:1.00595717844269	Adult:0.000928523448584123
Pign	phosphatidylinositol glycan anchor biosynthesis, class N	A_52_P275805	Adult:1.00586723422231	Adult:0.0039133475719847
A130006I12Rik	RIKEN cDNA A130006I12 gene	A_52_P410383	Adult:1.0039214786021	Adult:0.00618561686196064
Zfp68	zinc finger protein 68	A_51_P512561	Adult:1.00374214534341	Adult:0.00315809446500832
Psat1	phosphoserine aminotransferase 1	A_51_P317427	Adult:1.00337221282286	Adult:0.00756885047388337
Ctsm	cathepsin M	A_52_P678816	Adult:1.00224707058623	Adult:0.000640081048470668
BC055324	cDNA sequence BC055324	A_51_P198775	Adult:1.00165376814046	Adult:0.000664827860714679
Sall4	sal-like 4 (Drosophila)	A_51_P349087	Adult:1.00075593207983	Adult:0.0433824743815646
