Index	Mutated	Normal	FC	P value	FDR	Probe set	Description	Gene symbol
5428	12,4	9,11	1,37	0,042706	0,430	1554741_s_at	Fibroblast growth factor 7 (keratinocyte growth factor)Keratinocyte growth factor-like protein 1	FGF7KGFLP1
4147	45,9	33,7	1,37	0,030601	0,403	228251_at	UBX domain containing 1	UBXD1
1387	258	189	1,36	0,008348	0,329	217858_s_at	Armadillo repeat containing, X-linked 3	ARMCX3
2272	11,1	8,17	1,36	0,015090	0,363	1558184_s_at	Zinc finger protein 17	ZNF17
1460	96,0	70,4	1,36	0,008919	0,334	204703_at	Intraflagellar transport 88 homolog (Chlamydomonas)	IFT88
4159	72,9	53,5	1,36	0,030734	0,404	211944_at	BAT2 domain containing 1	BAT2D1
2174	61,0	44,8	1,36	0,014364	0,361	226203_at	cDNA clone IMAGE:5299888	-
5582	121	88,8	1,36	0,044509	0,436	206695_x_at	Zinc finger protein 43	ZNF43
5116	49,3	36,2	1,36	0,039390	0,421	227405_s_at	Frizzled homolog 8 (Drosophila)	FZD8
3582	63,8	46,9	1,36	0,025868	0,394	216905_s_at	Suppression of tumorigenicity 14 (colon carcinoma)	ST14
2652	20,8	15,3	1,36	0,018082	0,373	227987_at	Vacuolar protein sorting 13 homolog A (S. cerevisiae)	VPS13A
60	504	370	1,36	0,000226	0,201	224837_at	Forkhead box P1	FOXP1
5701	39,3	28,8	1,36	0,045646	0,438	209119_x_at	Nuclear receptor subfamily 2, group F, member 2	NR2F2
667	24,2	17,8	1,36	0,003838	0,308	244813_at	RAD51-like 1 (S. cerevisiae)	RAD51L1
6094	220	161	1,36	0,049743	0,446	209444_at	RAP1, GTP-GDP dissociation stimulator 1	RAP1GDS1
4939	60,7	44,6	1,36	0,037891	0,419	241425_at	Nucleoporin like 1	NUPL1
4818	211	155	1,36	0,036618	0,416	212423_at	Zinc finger, CCHC domain containing 24	ZCCHC24
3505	58,8	43,2	1,36	0,025182	0,392	242669_at	Ubiquitin-fold modifier 1	UFM1
3029	66,7	49,0	1,36	0,021321	0,385	204635_at	Ribosomal protein S6 kinase, 90kDa, polypeptide 5	RPS6KA5
447	29,5	21,7	1,36	0,002391	0,288	221555_x_at	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14B
4245	14,1	10,4	1,36	0,031505	0,406	205222_at	L-3-hydroxyacyl-CoA dehydrogenase	EHHADH
5360	9,21	6,78	1,36	0,042032	0,429	243041_s_at	RNA binding motif, single stranded interacting protein	RBMS3
1874	29,3	21,6	1,36	0,012125	0,354	242878_at	-	-
4558	30,0	22,1	1,36	0,034449	0,412	229654_at	Zinc finger protein 44	ZNF44
1532	141	104	1,36	0,009477	0,337	221787_at	Chromosome 6 open reading frame 120	C6orf120
3965	42,0	30,9	1,36	0,028965	0,399	230886_at	Transcribed locus	-
88	11,8	8,65	1,36	0,000330	0,201	236849_at	Vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	VTI1A
3132	39,2	28,9	1,36	0,022214	0,387	33494_at	Electron-transferring-flavoprotein dehydrogenase	ETFDH
4790	35,7	26,3	1,36	0,036330	0,415	202669_s_at	Ephrin-B2	EFNB2
317	236	174	1,36	0,001588	0,272	203704_s_at	RAS responsive element binding protein 1	RREB1
5952	20,4	15,0	1,36	0,048288	0,444	220840_s_at	Chromosome 1 open reading frame 112	C1orf112
688	35,9	26,5	1,36	0,003940	0,308	208876_s_at	p21 (CDKN1A)-activated kinase 2	PAK2
2682	21,3	15,7	1,36	0,018363	0,374	242722_at	LIM domain 7	LMO7
798	12,0	8,87	1,36	0,004555	0,311	243469_at	E74-like factor 2 (ets domain transcription factor)	ELF2
3478	6,79	5,00	1,36	0,024976	0,392	240866_at	LIM domain containing preferred translocation partner in lipoma	LPP
1214	29,9	22,0	1,36	0,007213	0,324	243772_at	Serologically defined colon cancer antigen 8	SDCCAG8
789	43,9	32,4	1,36	0,004507	0,311	1554003_at	Rho-guanine nucleotide exchange factor	RGNEF
3221	5,28	3,89	1,36	0,022830	0,387	239370_at	cDNA clone ZE01A04	-
4855	22,4	16,5	1,36	0,037023	0,417	242431_at	Ubiquitin-conjugating enzyme E2-binding protein 1	ARIH1
2485	56,8	41,9	1,36	0,016748	0,367	209105_at	Nuclear receptor coactivator 1	NCOA1
2033	82,9	61,1	1,36	0,013238	0,355	201746_at	Tumor protein p53 (Li-Fraumeni syndrome)	TP53
3111	415	306	1,36	0,021974	0,386	202743_at	Phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	PIK3R3
3605	26,9	19,8	1,36	0,026000	0,394	233977_at	Growth regulation by estrogen in breast cancer-like	KIAA1772
2465	136	100	1,36	0,016563	0,367	218379_at	RNA binding motif protein 7	RBM7
5161	69,2	51,0	1,36	0,039739	0,421	207606_s_at	Rho GTPase activating protein 12	ARHGAP12
773	139	103	1,36	0,004427	0,311	202305_s_at	Fasciculation and elongation protein zeta 2 (zygin II)	FEZ2
239	162	119	1,36	0,001109	0,250	203614_at	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)	UTP14C
4390	87,1	64,3	1,36	0,032708	0,407	1569057_s_at	Melanoma inhibitory activity family, member 3	MIA3
617	14,3	10,6	1,36	0,003494	0,308	241709_s_at	Dedicator of cytokinesis 1	DOCK1
5599	63,4	46,8	1,35	0,044658	0,436	221946_at	Chromosome 9 open reading frame 116	C9orf116
1488	138	102	1,35	0,009179	0,336	233952_s_at	Zinc finger protein 295	ZNF295
4219	26,3	19,4	1,35	0,031255	0,405	231403_at	Triple functional domain (PTPRF interacting)	TRIO
4627	21,7	16,1	1,35	0,034900	0,412	213623_at	Kinesin family member 3A	KIF3A
865	309	228	1,35	0,004995	0,313	218229_s_at	Pogo transposable element with KRAB domain	POGK
4290	558	412	1,35	0,031890	0,406	202351_at	Vitronectin receptor subunit alpha (antigen CD51)	ITGAV
1905	130	96,3	1,35	0,012386	0,355	201918_at	Solute carrier family 25, member 36	SLC25A36
2854	11,9	8,76	1,35	0,020010	0,383	232110_at	Polypeptide N-acetylgalactosaminyltransferase 5	GALNT5
4200	12,1	8,93	1,35	0,031059	0,404	233087_at	F-box and leucine-rich repeat protein 17	FBXL17
3455	66,4	49,1	1,35	0,024747	0,392	212858_at	Progestin and adipoQ receptor family member IV	PAQR4
5883	150	111	1,35	0,047590	0,442	201325_s_at	Epithelial membrane protein 1	EMP1
2304	72,5	53,6	1,35	0,015297	0,363	233936_s_at	Gametogenetin binding protein 2	GGNBP2
2480	98,6	73,0	1,35	0,016719	0,367	227413_at	Ubiquitin-like domain containing CTD phosphatase 1	UBLCP1
3273	78,5	58,1	1,35	0,023279	0,388	1554351_a_at	TIP41, TOR signaling pathway regulator-like (S. cerevisiae)	TIPRL
2985	45,0	33,3	1,35	0,020986	0,384	214175_x_at	PDZ and LIM domain 4	PDLIM4
623	84,1	62,3	1,35	0,003529	0,308	229009_at	SIX homeobox 5	SIX5
1463	9,71	7,19	1,35	0,008945	0,334	1569796_s_at	Attractin-like 1	ATRNL1
6114	407	301	1,35	0,049896	0,446	201876_at	Paraoxonase 2	PON2
1786	256	189	1,35	0,011410	0,349	209579_s_at	Methyl-CpG binding domain protein 4	MBD4
5600	106	78,6	1,35	0,044661	0,436	213025_at	THUMP domain containing 1	THUMPD1
5173	84,2	62,4	1,35	0,039846	0,421	226647_at	Transmembrane protein 25	TMEM25
2358	9,54	7,07	1,35	0,015729	0,364	216147_at	Septin 11	SEPT11
2122	19,6	14,6	1,35	0,013955	0,359	207950_s_at	Ankyrin 3, node of Ranvier (ankyrin G)	ANK3
4721	96,1	71,3	1,35	0,035710	0,413	226541_at	F-box protein 30	FBXO30
1300	471	349	1,35	0,007742	0,325	200984_s_at	CD59 molecule, complement regulatory protein	CD59
1086	220	163	1,35	0,006364	0,319	209107_x_at	Nuclear receptor coactivator 1	NCOA1
2328	163	121	1,35	0,015505	0,364	226247_at	Pleckstrin homology domain containing, family A member 1	PLEKHA1
3595	21,0	15,6	1,35	0,025928	0,394	222354_at	F11 receptor	FR11
4848	54,7	40,6	1,35	0,036936	0,417	229173_at	KIAA1715 protein	KIAA1715
2586	217	161	1,35	0,017543	0,371	224955_at	TEA domain family member 1 (SV40 transcriptional enhancer factor)	TEAD1
2420	7,43	5,52	1,35	0,016179	0,365	1553672_at	Enabled homolog (Drosophila)	ENAH
5114	24,5	18,2	1,35	0,039378	0,421	220918_at	Chromosome 21 open reading frame 96	C21orf96
2644	42,7	31,7	1,35	0,018026	0,373	218006_s_at	Zinc finger protein 22 (KOX 15)	ZNF22
3670	13,0	9,64	1,35	0,026522	0,395	233224_at	Karyopherin alpha 3 (importin alpha 4)	KPNA3
3755	23,7	17,6	1,34	0,027293	0,397	218833_at	sterile alpha motif and leucine zipper containing kinase AZK	ZAK
930	25,0	18,6	1,34	0,005346	0,313	223713_at	Radial spoke head 3 homolog (Chlamydomonas)	RSPH3
2608	185	138	1,34	0,017707	0,371	203173_s_at	Esophageal cancer associated protein	MGC16824
4214	190	141	1,34	0,031226	0,405	201910_at	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1	FARP1
4653	54,4	40,5	1,34	0,035147	0,413	206240_s_at	Zinc finger protein 136	ZNF136
473	106	78,9	1,34	0,002514	0,289	1553103_at	Nuclear transcription factor, X-box binding 1	NFX1
4139	111	82,5	1,34	0,030549	0,403	217952_x_at	PHD finger protein 3	PHF3
3243	82,9	61,7	1,34	0,022996	0,388	205405_at	Semaphorin 5A	SEMA5A
3398	605	451	1,34	0,024247	0,390	202442_at	Adaptor-related protein complex 3, sigma 1 subunit	AP3S1
1593	2123	1581	1,34	0,009902	0,340	215001_s_at	Glutamate-ammonia ligase (glutamine synthetase)	GLUL
2027	435	324	1,34	0,013216	0,355	208992_s_at	Signal transducer and activator of transcription 3	STAT3
3484	268	200	1,34	0,025016	0,392	200842_s_at	Glutamyl-prolyl-tRNA synthetase	EPRS
4810	38,9	29,0	1,34	0,036541	0,415	218766_s_at	Tryptophanyl tRNA synthetase 2, mitochondrial	WARS2
4762	221	165	1,34	0,036100	0,414	211948_x_at	BAT2 domain containing 1	BAT2D1
3254	178	133	1,34	0,023110	0,388	202180_s_at	Major vault protein	MVP
582	205	153	1,34	0,003194	0,300	212742_at	Zinc finger protein 364	ZNF364
4699	10,1	7,57	1,34	0,035478	0,413	222180_at	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	YES1
3257	73,2	54,6	1,34	0,023129	0,388	201083_s_at	BCL2-associated transcription factor 1	BCLAF1
2508	144	108	1,34	0,016854	0,367	203238_s_at	Notch homolog 3 (Drosophila)	NOTCH3
1383	49,5	36,9	1,34	0,008328	0,329	227438_at	Alpha-kinase 1	ALPK1
360	55,7	41,5	1,34	0,001852	0,281	219362_at	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	MAK10
2176	28,9	21,5	1,34	0,014396	0,361	1568594_s_at	Tripartite motif-containing 52	TRIM52
5472	7,55	5,63	1,34	0,043265	0,432	214524_at	Growth hormone releasing hormone	GHRH
3943	139	104	1,34	0,028790	0,399	221761_at	Adenylosuccinate synthase	ADSS
4459	13,3	9,95	1,34	0,033508	0,411	236704_at	Phosphodiesterase 4D interacting protein	PDE4DIP
1564	50,8	37,9	1,34	0,009715	0,339	221496_s_at	Transducer of ERBB2, 2	TOB2
5315	6,67	4,98	1,34	0,041471	0,427	207120_at	Zinc finger protein 667	ZNF667
2701	11,9	8,91	1,34	0,018527	0,375	1558815_at	Sorbin and SH3 domain containing 2	SORBS2
5371	58,1	43,4	1,34	0,042156	0,429	201888_s_at	Interleukin 13 receptor, alpha 1	IL13RA1
662	9,18	6,86	1,34	0,003823	0,308	1556235_at	cDNA FLJ34369 fis, clone FEBRA2017098	-
2171	186	139	1,34	0,014359	0,361	221664_s_at	F11 receptor	F11R
1808	445	333	1,34	0,011663	0,351	201413_at	Hydroxysteroid (17-beta) dehydrogenase 4	HSD17B4
3720	83,0	62,0	1,34	0,027005	0,397	219156_at	synaptojanin 2 binding protein	SYNJ2BP
3931	87,3	65,2	1,34	0,028738	0,399	206829_x_at	Zinc finger protein 430	ZNF430
5020	28,4	21,2	1,34	0,038621	0,420	223730_at	Glypican 6	GPC6
4715	1502	1123	1,34	0,035668	0,413	201666_at	TIMP metallopeptidase inhibitor 1	TIMP1
4621	46,9	35,1	1,34	0,034870	0,412	202516_s_at	Discs, large homolog 1 (Drosophila)	DLG1
4264	14,3	10,7	1,34	0,031728	0,406	236983_at	Transmembrane channel-like 5	TMC5
4698	226	169	1,34	0,035476	0,413	202656_s_at	SERTA domain containing 2	SERTAD2
2022	523	391	1,34	0,013188	0,355	224891_at	Forkhead box O3	FOXO3
2602	27,2	20,3	1,34	0,017666	0,371	212027_at	RNA binding motif protein 25	RBM25
6098	207	155	1,34	0,049784	0,446	223272_s_at	Chromosome 1 open reading frame 57	C1orf57
4477	242	181	1,34	0,033671	0,411	223223_at	ARV1 homolog (S. cerevisiae)	ARV1
6069	28,2	21,1	1,34	0,049529	0,446	243759_at	Splicing factor, arginine/serine-rich 15	SFRS15
620	16,2	12,1	1,34	0,003506	0,308	232206_at	Unc-51-like kinase 4 (C. elegans)	ULK4
2362	61,9	46,4	1,34	0,015765	0,364	206554_x_at	SET domain and mariner transposase fusion gene	SETMAR
4060	83,6	62,6	1,34	0,029796	0,401	229810_at	Transcribed locus	-
2189	39,4	29,5	1,34	0,014493	0,361	213494_s_at	YY1 transcription factor	YY1
2223	77,6	58,1	1,34	0,014765	0,363	240044_x_at	Trinucleotide repeat containing 6B	TNRC6B
4626	6,06	4,54	1,34	0,034891	0,412	235547_at	NEDD4 binding protein 2-like 2	N4BP2L2
3473	84,8	63,5	1,34	0,024915	0,392	214264_s_at	Chromosome 14 open reading frame 143	C14orf143
1197	34,4	25,7	1,33	0,007066	0,323	204180_s_at	Zinc finger and BTB domain containing 43	ZBTB43
1157	182	137	1,33	0,006801	0,321	224857_s_at	Polymerase (RNA) I polypeptide D, 16kDa	POLR1D
1212	305	228	1,33	0,007185	0,324	201133_s_at	Praja 2, RING-H2 motif containing	PJA2
281	93,4	70,0	1,33	0,001372	0,263	54632_at	Thyroid adenoma associated	THADA
4820	136	102	1,33	0,036650	0,416	202052_s_at	Retinoic acid induced 14	RAI14
4026	208	156	1,33	0,029485	0,400	214693_x_at	Neuroblastoma breakpoint family, member 14Neuroblastoma breakpoint family, member 1	NBPF14NBPF1
2097	30,6	22,9	1,33	0,013739	0,358	232097_at	TOX high mobility group box family member 4	TOX4
6000	49,1	36,8	1,33	0,048771	0,444	216835_s_at	Docking protein 1, 62kDa (downstream of tyrosine kinase 1)	DOK1
2874	52,8	39,6	1,33	0,020184	0,383	207688_s_at	Inhibin, beta C	INHBC
4127	49,9	37,4	1,33	0,030364	0,402	235938_at	Transcribed locus	-
4366	114	85,5	1,33	0,032479	0,407	213341_at	Fem-1 homolog c (C. elegans)	FEM1C
3385	131	98,4	1,33	0,024097	0,389	218578_at	Hyperparathyroidism 2 protein	CDC73
1576	23,2	17,4	1,33	0,009792	0,340	206429_at	Coagulation factor II (thrombin) receptor-like 1	F2RL1
3524	11,9	8,96	1,33	0,025289	0,392	210365_at	Runt-related transcription factor 1 (aml1 oncogene)	RUNX1
5571	99,3	74,5	1,33	0,044377	0,435	217985_s_at	Bromodomain adjacent to zinc finger domain, 1A	BAZ1A
5667	212	159	1,33	0,045223	0,436	214305_s_at	Splicing factor 3b, subunit 1, 155kDa	SF3B1
2017	36,0	27,0	1,33	0,013160	0,355	202972_s_at	Family with sequence similarity 13, member A1	FAM13A1
1624	318	239	1,33	0,010206	0,344	212463_at	CD59 molecule, complement regulatory protein	CD59
1005	520	391	1,33	0,005813	0,316	201251_at	Pyruvate kinase, muscle	PKM2
2183	105	78,6	1,33	0,014447	0,361	222754_at	tRNA nucleotidyl transferase, CCA-adding, 1	TRNT1
5305	1046	786	1,33	0,041390	0,426	201403_s_at	Microsomal glutathione S-transferase 3	MGST3
4047	69,0	51,8	1,33	0,029663	0,401	221277_s_at	Pseudouridylate synthase 3	PUS3
442	335	252	1,33	0,002345	0,288	214170_x_at	Fumarate hydratase	FH
3949	69,1	52,0	1,33	0,028839	0,399	1559038_at	Septin 2	SEPT2
357	83,5	62,8	1,33	0,001832	0,280	225757_s_at	Calmin (calponin-like, transmembrane)	CLMN
1884	4,78	3,59	1,33	0,012232	0,355	242033_at	Ring finger protein 180	RNF180
420	203	152	1,33	0,002205	0,286	218198_at	DEAH (Asp-Glu-Ala-His) box polypeptide 32	DHX32
1015	225	169	1,33	0,005873	0,316	204313_s_at	cAMP responsive element binding protein 1	CREB1
2338	46,9	35,3	1,33	0,015605	0,364	231016_s_at	Aryl hydrocarbon receptor nuclear translocator	ARNT
3400	124	93,6	1,33	0,024254	0,390	222667_s_at	Ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L
3648	55,8	42,0	1,33	0,026358	0,395	230734_x_at	Striatin, calmodulin binding protein	STRN
3298	118	88,6	1,33	0,023502	0,388	216246_at	Ribosomal protein S20	RPS20
5196	11,1	8,32	1,33	0,040056	0,421	237491_at	Myosin, heavy chain 10, non-muscle	MYH10
3673	159	120	1,33	0,026526	0,395	221589_s_at	Aldehyde dehydrogenase 6 family, member A1	ALDH6A1
4968	14,8	11,2	1,33	0,038109	0,419	208200_at	Interleukin 1, alpha	IL1A
241	529	398	1,33	0,001111	0,250	224838_at	Forkhead box P1	FOXP1
4215	58,5	44,0	1,33	0,031226	0,405	204085_s_at	Ceroid-lipofuscinosis, neuronal 5	CLN5
1121	36,6	27,6	1,33	0,006545	0,319	222599_s_at	Neuron navigator 2	NAV2
2190	29,8	22,4	1,33	0,014502	0,361	243790_at	Zinc finger protein 585A	ZNF585A
4744	28,7	21,6	1,33	0,035936	0,414	205809_s_at	Wiskott-Aldrich syndrome-like	WASL
5223	55,4	41,8	1,33	0,040397	0,423	228466_at	GA binding protein transcription factor, beta subunit 2	GABPB2
5051	121	91,5	1,33	0,038920	0,420	209515_s_at	RAB27A, member RAS oncogene family	RAB27A
1901	71,3	53,8	1,33	0,012362	0,355	203329_at	Protein tyrosine phosphatase, receptor type, M	PTPRM
1996	9,36	7,06	1,33	0,013038	0,355	237133_at	Sterile alpha motif and leucine zipper containing kinase AZK	ZAK
4347	118	89,1	1,33	0,032377	0,407	238002_at	Golgi integral membrane protein 4	GOLIM4
4166	160	121	1,33	0,030780	0,404	202040_s_at	Jumonji, AT rich interactive domain 1A	JARID1A
653	91,7	69,2	1,32	0,003728	0,308	221771_s_at	M-phase phosphoprotein, mpp8	HSMPP8
1534	63,7	48,1	1,32	0,009505	0,337	219348_at	SNARE-like tail-anchored protein 1 homolog	USE1
5194	197	149	1,32	0,040040	0,421	212044_s_at	Ribosomal protein L27a	RPL27A
3509	209	158	1,32	0,025212	0,392	226447_at	Ash1 (absent, small, or homeotic)-like (Drosophila)	ASH1L
228	73,2	55,3	1,32	0,001054	0,250	220212_s_at	Thyroid adenoma associated	THADA
1579	95,6	72,2	1,32	0,009820	0,340	225769_at	Component of oligomeric golgi complex 6	COG6
1185	42,8	32,3	1,32	0,006976	0,322	215153_at	Nitric oxide synthase 1 (neuronal) adaptor protein	NOS1AP
2519	35,1	26,5	1,32	0,016999	0,369	213575_at	Transformer-2 alpha	TRA2A
4716	6,36	4,81	1,32	0,035671	0,413	1569348_at	TPTE pseudogene	psiTPTE22
1461	95,4	72,1	1,32	0,008929	0,334	225507_at	Splicing factor, arginine/serine-rich 18	SFRS18
1156	9,67	7,31	1,32	0,006789	0,321	227766_at	Ligase IV, DNA, ATP-dependent	LIG4
4911	69,4	52,4	1,32	0,037558	0,418	215221_at	Forkhead box P1	FOXP1
2493	8,83	6,68	1,32	0,016799	0,367	241026_at	ADAM metallopeptidase domain 12	ADAM12
3175	149	113	1,32	0,022527	0,387	222763_s_at	WD repeat domain 33	WDR33
3837	91,7	69,3	1,32	0,028033	0,399	204312_x_at	cAMP responsive element binding protein 1	CREB1
3553	59,2	44,8	1,32	0,025615	0,394	243931_at	CD58 molecule	CD58
3066	42,4	32,1	1,32	0,021616	0,385	222487_s_at	Ribosomal protein S27-like	RPS27L
4162	10,4	7,88	1,32	0,030770	0,404	1560171_at	SNF2 histone linker PHD RING helicase	SHPRH
4674	22,8	17,3	1,32	0,035295	0,413	1554438_at	KIAA1217 protein	KIAA1217
783	28,0	21,2	1,32	0,004489	0,311	224023_s_at	Chromosome 3 open reading frame 10	C3orf10
5765	41,4	31,4	1,32	0,046330	0,439	216521_s_at	BRCA1/BRCA2-containing complex, subunit 3	BRCC3
1288	134	101	1,32	0,007671	0,325	218204_s_at	FYVE and coiled-coil domain containing 1	FYCO1
4728	128	97,1	1,32	0,035787	0,414	213642_at	Ribosomal protein L27	RPL27
4583	9,00	6,82	1,32	0,034643	0,412	207345_at	Follistatin	FST
2129	60,4	45,8	1,32	0,014003	0,359	214513_s_at	cAMP responsive element binding protein 1	CREB1
1218	121	92,0	1,32	0,007243	0,324	230440_at	Zinc finger protein 469	ZNF469
3325	822	623	1,32	0,023623	0,388	208662_s_at	Tetratricopeptide repeat domain 3	TTC3
182	6,02	4,56	1,32	0,000839	0,244	239539_at	NIMA (never in mitosis gene a)-related kinase 3	NEK3
1181	15,0	11,3	1,32	0,006957	0,322	1561689_at	cDNA DKFZp547G1518	-
2977	20,0	15,2	1,32	0,020921	0,384	243050_at	Peripheral myelin protein 22	PMP22
5448	51,0	38,6	1,32	0,042968	0,431	204645_at	Cyclin T2	CCNT2
1928	838	636	1,32	0,012570	0,355	218205_s_at	MAP kinase interacting serine/threonine kinase 2	MKNK2
4237	13,5	10,3	1,32	0,031402	0,405	242576_x_at	NEDD4 binding protein 2-like 2	N4BP2L2
3856	322	244	1,32	0,028153	0,399	218242_s_at	suppressor of variegation 4-20 homolog 1 (Drosophila)	SUV420H1
609	14,1	10,7	1,32	0,003435	0,308	236557_at	Zinc finger and BTB domain containing 38	ZBTB38
3342	6,90	5,24	1,32	0,023724	0,388	236930_at	Numb homolog (Drosophila)	NUMB
3069	7,22	5,48	1,32	0,021663	0,385	1558199_at	Fibronectin 1	FN1
4675	65,0	49,3	1,32	0,035307	0,413	202699_s_at	Transmembrane protein 63A	TMEM63A
6047	122	92,8	1,32	0,049281	0,445	227447_at	Superkiller viralicidic activity 2-like 2 (S. cerevisiae)	SKIV2L2
544	1223	928	1,32	0,002926	0,294	217802_s_at	Nuclear casein kinase and cyclin-dependent kinase substrate 1	NUCKS1
4833	239	181	1,32	0,036829	0,417	218618_s_at	Fibronectin type III domain containing 3B	FNDC3B
4430	24,1	18,3	1,32	0,033173	0,409	232716_at	cDNA FLJ11971 fis, clone HEMBB1001208	-
2011	1441	1094	1,32	0,013111	0,355	228222_at	Protein phosphatase 1, catalytic subunit, beta isoform	PPP1CB
1268	364	277	1,32	0,007544	0,325	224571_at	Interferon regulatory factor 2 binding protein 2	IRF2BP2
2999	34,2	26,0	1,32	0,021113	0,385	230395_at	Methyltransferase like 9	METTL9
3021	178	135	1,32	0,021274	0,385	214004_s_at	Vestigial like 4 (Drosophila)	VGLL4
3861	116	88,3	1,32	0,028187	0,399	202778_s_at	Zinc finger, MYM-type 2	ZMYM2
320	169	129	1,31	0,001600	0,272	225695_at	Chromosome 2 open reading frame 18	C2orf18
2708	10,9	8,26	1,31	0,018567	0,375	238967_at	Claudin 1	CLDN1
3709	137	104	1,31	0,026822	0,395	225181_at	AT rich interactive domain 1B (SWI1-like)	ARID1B
3507	64,4	49,0	1,31	0,025199	0,392	220992_s_at	Chromosome 1 open reading frame 25	C1orf25
3776	139	106	1,31	0,027447	0,397	224097_s_at	F11 receptor	F11R
2006	84,0	63,9	1,31	0,013086	0,355	223211_at	2-hydroxyacyl-CoA lyase 1	HACL1
2845	74,9	57,1	1,31	0,019914	0,383	232902_s_at	Arginyl-tRNA synthetase 2, mitochondrial (putative)	RARS2
3263	52,0	39,6	1,31	0,023162	0,388	236160_at	Thyroid hormone receptor interactor 11	TRIP11
2225	77,6	59,1	1,31	0,014790	0,363	218092_s_at	HIV-1 Rev binding protein	HRB
4676	73,8	56,2	1,31	0,035307	0,413	205084_at	B-cell receptor-associated protein 29	BCAP29
780	10,0	7,63	1,31	0,004474	0,311	232599_at	Exocyst complex component 6	EXOC6
4588	63,9	48,8	1,31	0,034690	0,412	230619_at	Aryl hydrocarbon receptor nuclear translocator	ARNT
2705	15,3	11,6	1,31	0,018551	0,375	210290_at	Zinc finger protein 174	ZNF174
1858	32,8	25,0	1,31	0,011974	0,352	214057_at	Myeloid cell leukemia sequence 1 (BCL2-related)	MCL1
2041	151	115	1,31	0,013276	0,355	208772_at	Ankyrin repeat and KH domain containing 1ANKHD1-EIF4EBP3 readthrough	ANKHD1ANKHD1-
5921	8,31	6,34	1,31	0,047993	0,443	228577_x_at	Outer dense fiber of sperm tails 2-like	ODF2L
3463	50,1	38,3	1,31	0,024811	0,392	204167_at	Biotinidase	BTD
794	57,5	43,9	1,31	0,004535	0,311	205340_at	Zinc finger and BTB domain containing 24	ZBTB24
3534	19,5	14,9	1,31	0,025404	0,393	236094_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
3199	26,7	20,4	1,31	0,022658	0,387	228184_at	Dispatched homolog 1 (Drosophila)	DISP1
4811	11,9	9,05	1,31	0,036542	0,415	222242_s_at	Kallikrein-related peptidase 5	KLK5
4173	75,7	57,8	1,31	0,030852	0,404	202440_s_at	Suppression of tumorigenicity 5	ST5
2829	67,6	51,6	1,31	0,019735	0,381	226981_at	Myeloid/lymphoid or mixed-lineage leukemia	MLL
3278	86,0	65,7	1,31	0,023351	0,388	218713_at	NMDA receptor regulated 2	NARG2
984	169	129	1,31	0,005692	0,315	203156_at	A kinase (PRKA) anchor protein 11	AKAP11
4681	27,3	20,9	1,31	0,035344	0,413	238028_at	Chromosome 6 open reading frame 132	C6orf132
5093	223	171	1,31	0,039187	0,420	202373_s_at	RAB3 GTPase activating protein subunit 2 (non-catalytic)	RAB3GAP2
4180	230	176	1,31	0,030902	0,404	212418_at	E74-like factor 1 (ets domain transcription factor)	ELF1
2049	221	169	1,31	0,013309	0,355	214594_x_at	ATPase, Class I, type 8B, member 1	ATP8B1
5159	51,8	39,6	1,31	0,039732	0,421	217653_x_at	-	-
3750	155	119	1,31	0,027267	0,397	218323_at	RAS homolog gene family, member T1	RHOT1
605	36,1	27,6	1,31	0,003356	0,303	235240_at	Ataxin 3	ATXN3
3666	1006	770	1,31	0,026498	0,395	223000_s_at	F11 receptor	F11R
2383	9,37	7,16	1,31	0,015893	0,364	244286_at	Formin binding protein 1	FNBP1
3106	262	201	1,31	0,021931	0,386	203137_at	Wilms tumor 1 associated protein	WTAP
4662	28,7	22,0	1,31	0,035198	0,413	243492_at	Thioesterase superfamily member 4	THEM4
5207	37,1	28,4	1,31	0,040181	0,422	1552656_s_at	U2AF homology motif (UHM) kinase 1	UHMK1
4844	87,7	67,1	1,31	0,036919	0,417	203883_s_at	RAB11 family interacting protein 2 (class I)	RAB11FIP2
4564	96,7	74,0	1,31	0,034503	0,412	202165_at	Protein phosphatase 1, regulatory (inhibitor) subunit 2	PPP1R2
223	16,1	12,3	1,31	0,001029	0,250	238841_at	Protein tyrosine phosphatase domain containing 1	PTPDC1
4893	372	285	1,31	0,037386	0,418	1554241_at	Coagulation factor C homolog, cochlin	COCH
912	78,1	59,8	1,31	0,005252	0,313	203187_at	Dedicator of cytokinesis 1	DOCK1
3399	60,0	45,9	1,31	0,024249	0,390	203375_s_at	Tripeptidyl peptidase II	TPP2
4012	71,5	54,7	1,31	0,029386	0,400	215698_at	Jumonji, AT rich interactive domain 1A	JARID1A
1399	290	222	1,31	0,008450	0,330	200931_s_at	Vinculin	VCL
