Probe set	Symbol	Title	p value	Fold
234214_at	234214_at	CDNA FLJ39333 fis, clone OCBBF2017306	0.003922	0.78
234279_at	234279_at	---	0.003922	0.79
234657_at	234657_at	CDNA: FLJ23521 fis, clone LNG04928	0.003922	0.78
234680_at	KRTAP17-1	keratin associated protein 17-1	0.003922	0.84
235039_x_at	LIN9	lin-9 homolog (C. elegans)	0.003922	1.41
235306_at	GIMAP8	GTPase, IMAP family member 8	0.003922	0.51
235641_at	TRIB1	Tribbles homolog 1 (Drosophila)	0.003922	0.78
236026_at	GPATCH2	G patch domain containing 2	0.003922	1.59
236307_at	236307_at	Transcribed locus	0.003922	0.57
236366_at	LOC440149	hypothetical LOC440149	0.003922	1.49
236605_at	EIF3K	eukaryotic translation initiation factor 3, subunit K	0.003922	0.75
236782_at	SAMD3	sterile alpha motif domain containing 3	0.003922	0.73
236804_at	236804_at	Catechol-O-methyltransferase transcript variant COMT_v5 (COMT) mRNA, alternatively spliced	0.003922	0.72
236812_at	236812_at	---	0.003922	0.83
237899_at	LOC729994	hypothetical protein LOC729994	0.003922	0.8
238031_at	238031_at	Transcribed locus, moderately similar to XP_001100429.1  similar to CG12393-PA, isoform A [Macaca mulatta]	0.003922	1.29
238129_s_at	238129_s_at	---	0.003922	0.77
238193_at	238193_at	Transcribed locus	0.003922	0.77
238636_at	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	0.003922	0.82
238912_x_at	C9orf85	chromosome 9 open reading frame 85	0.003922	1.44
239253_at	239253_at	Transcribed locus	0.003922	1.89
239286_at	239286_at	Transcribed locus	0.003922	0.83
239287_at	239287_at	Transcribed locus	0.003922	0.78
239343_at	LOC728705	hypothetical protein LOC728705	0.003922	1.51
239841_at	239841_at	Transcribed locus	0.003922	0.69
240556_at	DCN	Decorin	0.003922	0.89
240714_at	240714_at	Transcribed locus	0.003922	0.88
241074_at	241074_at	Transcribed locus, weakly similar to XP_001103249.1  similar to Ig heavy chain V region M315 precursor [Macaca mulatta]	0.003922	1.39
241087_at	241087_at	---	0.003922	0.86
241364_at	TMEM57	transmembrane protein 57	0.003922	1.63
241440_at	241440_at	---	0.003922	1.51
242826_at	242826_at	Transcribed locus	0.003922	1.44
243093_at	C2orf49	chromosome 2 open reading frame 49	0.003922	1.36
244703_x_at	IPO9	importin 9	0.003922	1.29
244852_at	DSEL	dermatan sulfate epimerase-like	0.003922	0.84
37022_at	PRELP	proline/arginine-rich end leucine-rich repeat protein	0.003922	0.75
52731_at	FLJ20294	hypothetical protein FLJ20294	0.003922	1.38
234480_at	DKFZP761C1711	Hypothetical protein DKFZp761C1711	0.004062	0.83
1557801_x_at	C11orf31	chromosome 11 open reading frame 31	0.004072	1.27
1553630_at	C10orf107	chromosome 10 open reading frame 107	0.004088	0.9
1556116_s_at	TNPO1	CDNA FLJ39215 fis, clone OCBBF2006388 /// Transportin 1	0.004097	0.85
236038_at	236038_at	Transcribed locus	0.004097	0.77
239203_at	C7orf53	chromosome 7 open reading frame 53	0.004097	0.66
200953_s_at	CCND2	cyclin D2	0.004099	0.51
209828_s_at	IL16	interleukin 16 (lymphocyte chemoattractant factor)	0.00449	0.76
222536_s_at	ZNF395	zinc finger protein 395	0.00449	1.45
238645_at	238645_at	Transcribed locus	0.00449	0.85
1553694_a_at	PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	0.004492	2.08
1565845_at	PDXDC2	Pyridoxal-dependent decarboxylase domain containing 2	0.004492	0.85
229821_at	229821_at	Transcribed locus	0.004492	0.82
234252_at	234252_at	CDNA FLJ20846 fis, clone ADKA01802	0.004492	0.9
243601_at	LOC285957	hypothetical protein LOC285957	0.004492	0.9
1566514_at	CWF19L2	CWF19-like 2, cell cycle control (S. pombe)	0.004502	0.83
210145_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	0.004531	0.75
208055_s_at	HERC4	hect domain and RLD 4	0.004557	1.64
243927_x_at	KIAA1429	KIAA1429	0.004572	1.35
210345_s_at	DNAH9	dynein, axonemal, heavy chain 9	0.004665	0.86
1570101_at	1570101_at	CDNA clone IMAGE:5269204	0.004666	0.91
1552417_a_at	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	0.004697	1.43
1552660_a_at	C5orf22	chromosome 5 open reading frame 22	0.004697	1.79
1553148_a_at	SNX13	sorting nexin 13	0.004697	1.44
1553311_at	C20orf197	chromosome 20 open reading frame 197	0.004697	0.9
1553636_at	TMCO5	transmembrane and coiled-coil domains 5	0.004697	0.87
1553984_s_at	DTYMK /// LOC727761	deoxythymidylate kinase (thymidylate kinase) /// similar to deoxythymidylate kinase (thymidylate kinase)	0.004697	1.52
1554518_at	GSTCD	glutathione S-transferase, C-terminal domain containing	0.004697	1.17
1554873_at	CSPP1	centrosome and spindle pole associated protein 1	0.004697	1.29
1555091_at	PPM1F	protein phosphatase 1F (PP2C domain containing)	0.004697	0.87
1555326_a_at	ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	0.004697	1.95
1555594_a_at	MBNL1	muscleblind-like (Drosophila)	0.004697	1.48
1555945_s_at	FAM120A	family with sequence similarity 120A	0.004697	1.67
1555972_s_at	FBXO28	F-box protein 28	0.004697	1.42
1559034_at	SIRPB2	signal-regulatory protein beta 2	0.004697	0.84
1559425_at	1559425_at	MRNA; cDNA DKFZp667O095 (from clone DKFZp667O095)	0.004697	0.51
1560596_at	1560596_at	Full length insert cDNA clone ZD43B07	0.004697	0.79
1560630_at	1560630_at	CDNA clone IMAGE:4838137	0.004697	0.84
1560988_a_at	1560988_a_at	Full length insert cDNA clone ZD65G03	0.004697	0.87
1562892_at	CHCHD5	Coiled-coil-helix-coiled-coil-helix domain containing 5	0.004697	0.84
1563142_at	1563142_at	Homo sapiens, clone IMAGE:5721993, mRNA	0.004697	0.83
1564193_at	FLJ39061	hypothetical protein FLJ39061	0.004697	0.83
1567223_at	HMGA2	high mobility group AT-hook 2	0.004697	0.91
1568785_a_at	1568785_a_at	CDNA clone IMAGE:5272174	0.004697	0.93
1569172_a_at	LOC441005	hypothetical gene supported by BC010180	0.004697	0.86
1570200_at	HELB	helicase (DNA) B	0.004697	0.81
200605_s_at	PRKAR1A	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	0.004697	1.63
200681_at	GLO1	glyoxalase I	0.004697	1.49
200813_s_at	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	0.004697	1.61
200881_s_at	DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	0.004697	1.64
201258_at	RPS16	ribosomal protein S16	0.004697	1.43
201370_s_at	CUL3	cullin 3	0.004697	1.58
201423_s_at	CUL4A	cullin 4A	0.004697	1.67
201849_at	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	0.004697	1.53
201856_s_at	ZFR	zinc finger RNA binding protein	0.004697	1.57
202013_s_at	EXT2	exostoses (multiple) 2	0.004697	1.47
202316_x_at	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)	0.004697	1.92
202340_x_at	NR4A1	nuclear receptor subfamily 4, group A, member 1	0.004697	0.69
202516_s_at	DLG1	discs, large homolog 1 (Drosophila)	0.004697	1.83
202520_s_at	MLH1	mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)	0.004697	1.34
202577_s_at	DDX19A	DEAD (Asp-Glu-Ala-As) box polypeptide 19A	0.004697	1.45
202762_at	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	0.004697	1.44
202874_s_at	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	0.004697	2.18
203169_at	KIAA0258	KIAA0258	0.004697	1.26
203362_s_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0.004697	2.81
203760_s_at	SLA	Src-like-adaptor	0.004697	0.51
203990_s_at	UTX	ubiquitously transcribed tetratricopeptide repeat, X chromosome	0.004697	1.74
204038_s_at	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	0.004697	0.8
204412_s_at	NEFH	neurofilament, heavy polypeptide 200kDa	0.004697	0.83
204581_at	CD22 /// MAG	CD22 molecule /// myelin associated glycoprotein	0.004697	0.73
204676_at	TMEM186	transmembrane protein 186	0.004697	1.38
204959_at	MNDA	myeloid cell nuclear differentiation antigen	0.004697	0.57
204964_s_at	SSPN	sarcospan (Kras oncogene-associated gene)	0.004697	0.59
205065_at	205065_at	---	0.004697	1.48
205139_s_at	UST	uronyl-2-sulfotransferase	0.004697	0.91
205169_at	RBBP5	retinoblastoma binding protein 5	0.004697	1.69
205206_at	KAL1	Kallmann syndrome 1 sequence	0.004697	0.63
205446_s_at	ATF2	activating transcription factor 2	0.004697	1.72
205470_s_at	KLK11	kallikrein-related peptidase 11	0.004697	0.8
205591_at	OLFM1	olfactomedin 1	0.004697	0.76
205687_at	UBFD1	ubiquitin family domain containing 1	0.004697	1.52
205779_at	RAMP2	receptor (G protein-coupled) activity modifying protein 2	0.004697	0.72
205831_at	CD2	CD2 molecule	0.004697	0.4
206022_at	NDP	Norrie disease (pseudoglioma)	0.004697	0.88
206026_s_at	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	0.004697	0.67
206236_at	GPR4	G protein-coupled receptor 4	0.004697	0.76
206285_at	NPHP1	nephronophthisis 1 (juvenile)	0.004697	0.9
206714_at	ALOX15B	arachidonate 15-lipoxygenase, type B	0.004697	0.66
206870_at	PPARA	peroxisome proliferator-activated receptor alpha	0.004697	1.87
206944_at	HTR6	5-hydroxytryptamine (serotonin) receptor 6	0.004697	0.79
207180_s_at	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	0.004697	1.81
207497_s_at	MS4A2	membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)	0.004697	0.81
207740_s_at	NUP62	nucleoporin 62kDa	0.004697	1.71
207985_at	207985_at	---	0.004697	0.87
208315_x_at	TRAF3	TNF receptor-associated factor 3	0.004697	0.71
208368_s_at	BRCA2	breast cancer 2, early onset	0.004697	1.42
208888_s_at	NCOR2	nuclear receptor co-repressor 2	0.004697	0.77
209480_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	0.004697	0.38
209892_at	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	0.004697	0.48
209897_s_at	SLIT2	slit homolog 2 (Drosophila)	0.004697	0.56
209957_s_at	NPPA	natriuretic peptide precursor A	0.004697	0.77
210360_s_at	MTSS1	metastasis suppressor 1	0.004697	1.73
210460_s_at	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	0.004697	1.72
210994_x_at	TRIM23	tripartite motif-containing 23	0.004697	1.72
211392_s_at	PATZ1	POZ (BTB) and AT hook containing zinc finger 1	0.004697	1.52
211917_s_at	PRLR	prolactin receptor	0.004697	1.26
212009_s_at	STIP1	stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)	0.004697	2.13
212065_s_at	USP34	ubiquitin specific peptidase 34	0.004697	2.03
212105_s_at	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	0.004697	1.54
212362_at	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	0.004697	1.43
212387_at	TCF4	transcription factor 4	0.004697	0.55
212621_at	KIAA0286	KIAA0286 protein	0.004697	1.66
212811_x_at	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	0.004697	2.09
213177_at	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	0.004697	0.73
213502_x_at	LOC91316	similar to bK246H3.1 (immunoglobulin lambda-like polypeptide 1, pre-B-cell specific)	0.004697	0.41
213543_at	213543_at	MRNA from chromosome 5q31-33 region	0.004697	0.69
213603_s_at	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	0.004697	0.45
213633_at	SH3BP1	SH3-domain binding protein 1	0.004697	0.73
214617_at	PRF1	perforin 1 (pore forming protein)	0.004697	0.59
215894_at	PTGDR	prostaglandin D2 receptor (DP)	0.004697	0.82
216482_x_at	ZNF79	zinc finger protein 79	0.004697	0.85
216996_s_at	FASTKD2	FAST kinase domains 2	0.004697	1.69
217428_s_at	COL10A1	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)	0.004697	0.74
217453_at	217453_at	MRNA; cDNA DKFZp434E2028 (from clone DKFZp434E2028)	0.004697	0.82
217876_at	GTF3C5	general transcription factor IIIC, polypeptide 5, 63kDa	0.004697	1.34
217954_s_at	PHF3	PHD finger protein 3	0.004697	1.45
218218_at	APPL2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	0.004697	1.63
218302_at	PSENEN	presenilin enhancer 2 homolog (C. elegans)	0.004697	1.5
218570_at	KBTBD4	kelch repeat and BTB (POZ) domain containing 4	0.004697	1.46
218778_x_at	EPS8L1	EPS8-like 1	0.004697	0.85
219109_at	SPAG16	sperm associated antigen 16	0.004697	1.96
219162_s_at	MRPL11	mitochondrial ribosomal protein L11	0.004697	1.47
219176_at	C2orf47	chromosome 2 open reading frame 47	0.004697	1.37
219700_at	PLXDC1	plexin domain containing 1	0.004697	0.63
219732_at	RP11-35N6.1	plasticity related gene 3	0.004697	2.85
219969_at	CXorf15	chromosome X open reading frame 15	0.004697	1.44
220965_s_at	RSHL1	radial spokehead-like 1	0.004697	0.8
221712_s_at	WDR74	WD repeat domain 74	0.004697	1.29
221756_at	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	0.004697	0.64
221824_s_at	40976	membrane-associated ring finger (C3HC4) 8	0.004697	1.62
221984_s_at	FAM134A	family with sequence similarity 134, member A	0.004697	1.48
222077_s_at	RACGAP1	Rac GTPase activating protein 1	0.004697	2.24
222271_at	222271_at	---	0.004697	0.75
222405_at	LOC732402 /// PTPLAD1	protein tyrosine phosphatase-like A domain containing 1 /// similar to butyrate-induced transcript 1	0.004697	1.44
222725_s_at	PALMD	palmdelphin	0.004697	2.06
222979_s_at	SURF4	surfeit 4	0.004697	1.67
223044_at	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	0.004697	1.32
223118_s_at	USP47	ubiquitin specific peptidase 47	0.004697	1.56
223267_at	RG9MTD1	RNA (guanine-9-) methyltransferase domain containing 1	0.004697	1.53
223330_s_at	SUGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	0.004697	1.74
223650_s_at	NRBF2	nuclear receptor binding factor 2	0.004697	1.89
223737_x_at	CHST9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	0.004697	0.36
224339_s_at	ANGPTL1	angiopoietin-like 1	0.004697	0.63
224453_s_at	ETNK1	ethanolamine kinase 1	0.004697	1.52
224866_at	MLSTD2	male sterility domain containing 2	0.004697	0.59
224884_at	AKAP13	A kinase (PRKA) anchor protein 13	0.004697	0.75
225691_at	CRKRS	Cdc2-related kinase, arginine/serine-rich	0.004697	1.27
225766_s_at	TNPO1	transportin 1	0.004697	1.87
225826_at	MMAB	methylmalonic aciduria (cobalamin deficiency) cblB type	0.004697	2.05
225922_at	KIAA1450	KIAA1450 protein	0.004697	0.58
226210_s_at	MEG3	maternally expressed 3	0.004697	0.57
226288_s_at	NLGN2	neuroligin 2	0.004697	0.7
226432_at	ETNK1	ethanolamine kinase 1	0.004697	1.89
226532_at	226532_at	Full-length cDNA clone CS0DD009YD14 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)	0.004697	1.55
226581_at	ZFYVE20	zinc finger, FYVE domain containing 20	0.004697	1.4
226695_at	PRRX1	paired related homeobox 1	0.004697	0.68
226770_at	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	0.004697	1.86
226943_at	KRTHB5	Keratin, hair, basic, 5	0.004697	1.64
227122_at	227122_at	Transcribed locus	0.004697	0.54
227185_at	LOC643988	hypothetical LOC643988	0.004697	0.8
227246_at	PLRG1	pleiotropic regulator 1 (PRL1 homolog, Arabidopsis)	0.004697	1.71
227628_at	LOC493869	similar to RIKEN cDNA 2310016C16	0.004697	0.52
228085_at	228085_at	CDNA clone IMAGE:4818335	0.004697	0.85
228139_at	RIPK3	receptor-interacting serine-threonine kinase 3	0.004697	0.77
228445_at	AIFM2	apoptosis-inducing factor, mitochondrion-associated, 2	0.004697	1.49
229099_at	LOC790955	hypothetical protein LOC790955	0.004697	1.47
229333_at	229333_at	Transcribed locus	0.004697	1.52
229399_at	C10orf118	chromosome 10 open reading frame 118	0.004697	1.38
229551_x_at	ZNF367	zinc finger protein 367	0.004697	1.86
229580_at	229580_at	Transcribed locus	0.004697	0.75
229741_at	MGC3260	Hypothetical protein MGC3260	0.004697	1.57
229839_at	SCARA5	Scavenger receptor class A, member 5 (putative)	0.004697	0.69
229881_at	KLF12	Kruppel-like factor 12	0.004697	2.02
229909_at	B4GALNT3	beta-1,4-N-acetyl-galactosaminyl transferase 3	0.004697	0.77
229986_at	ZNF717	zinc finger protein 717	0.004697	1.57
230052_s_at	TA-NFKBH	T-cell activation NFKB-like protein	0.004697	0.77
230422_at	FPRL2	formyl peptide receptor-like 2	0.004697	0.65
231032_at	LOC286071	hypothetical protein LOC286071	0.004697	1.34
231767_at	HOXB4	homeobox B4	0.004697	0.78
232287_at	PGBD3	piggyBac transposable element derived 3	0.004697	1.61
232388_at	CNTNAP4	contactin associated protein-like 4	0.004697	1.48
232617_at	CTSS	cathepsin S	0.004697	0.51
232808_at	232808_at	CDNA FLJ12293 fis, clone MAMMA1001815	0.004697	0.79
232988_at	KIAA0182	KIAA0182	0.004697	0.74
233100_at	233100_at	HSPC107	0.004697	0.86
233590_at	233590_at	CDNA FLJ10696 fis, clone NT2RP3000484	0.004697	0.78
234447_at	234447_at	MRNA; cDNA DKFZp564C1964 (from clone DKFZp564C1964)	0.004697	0.87
234749_s_at	WDR51A	WD repeat domain 51A	0.004697	1.32
235221_at	CBLN3	cerebellin 3 precursor	0.004697	0.46
235466_s_at	DISP1	Dispatched homolog 1 (Drosophila)	0.004697	1.75
235545_at	DEPDC1	DEP domain containing 1	0.004697	1.79
236083_at	C1orf178	chromosome 1 open reading frame 178	0.004697	0.87
236165_at	MSL3L1	male-specific lethal 3-like 1 (Drosophila)	0.004697	0.85
236270_at	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	0.004697	0.87
236369_at	236369_at	MRNA; cDNA DKFZp686H14196 (from clone DKFZp686H14196)	0.004697	0.87
237169_at	237169_at	Transcribed locus	0.004697	0.83
239100_x_at	PCNX	pecanex homolog (Drosophila)	0.004697	1.3
239254_at	CCDC40	coiled-coil domain containing 40	0.004697	0.78
240087_at	240087_at	Transcribed locus	0.004697	0.86
241168_at	241168_at	Transcribed locus	0.004697	0.91
241561_at	241561_at	Transcribed locus	0.004697	0.83
241597_at	241597_at	---	0.004697	0.82
241807_x_at	241807_x_at	Transcribed locus	0.004697	0.81
242605_at	242605_at	Transcribed locus	0.004697	0.87
243065_at	243065_at	Transcribed locus	0.004697	1.92
243219_x_at	MRPL50	mitochondrial ribosomal protein L50	0.004697	1.43
37152_at	PPARD	peroxisome proliferator-activated receptor delta	0.004697	0.66
39318_at	TCL1A	T-cell leukemia/lymphoma 1A	0.004697	0.8
41386_i_at	JMJD3	jumonji domain containing 3	0.004697	0.62
47069_at	PRR5	proline rich 5 (renal)	0.004697	0.71
52651_at	COL8A2	collagen, type VIII, alpha 2	0.004697	0.89
61734_at	RCN3	reticulocalbin 3, EF-hand calcium binding domain	0.004697	0.74
244806_at	244806_at	Transcribed locus	0.004836	0.84
204286_s_at	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	0.004836	0.7
211952_at	RANBP5	RAN binding protein 5	0.004874	1.62
229213_at	229213_at	Transcribed locus	0.004891	1.25
203070_at	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	0.004898	0.81
1562289_at	1562289_at	MRNA; cDNA DKFZp434N0220 (from clone DKFZp434N0220)	0.004901	0.82
242441_at	LOC646548	similar to a disintegrin and metalloprotease domain 4	0.004901	0.9
242509_at	242509_at	---	0.004901	0.85
243406_at	LOC440268	hypothetical LOC440268	0.004901	0.83
217427_s_at	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	0.004903	1.58
221150_at	MEPE	matrix, extracellular phosphoglycoprotein with ASARM motif (bone)	0.004903	0.78
230292_at	230292_at	CDNA FLJ25310 fis, clone SYN00991	0.004903	0.58
237860_at	237860_at	Full-length cDNA clone CS0DC006YD17 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)	0.004903	0.88
236033_at	ASB12	ankyrin repeat and SOCS box-containing 12	0.00535	0.83
1553078_at	OR5P3	olfactory receptor, family 5, subfamily P, member 3	0.005358	0.89
1561370_at	1561370_at	CDNA clone IMAGE:5304009	0.005358	0.87
219216_at	ETAA1	Ewings tumor-associated antigen 1	0.005358	1.27
219565_at	CYP20A1	cytochrome P450, family 20, subfamily A, polypeptide 1	0.005358	1.57
219786_at	MTL5	metallothionein-like 5, testis-specific (tesmin)	0.005358	1.31
224401_s_at	FCRL4	Fc receptor-like 4	0.005358	0.86
209448_at	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	0.005361	1.66
213193_x_at	TRBC1 /// TRBV19	T cell receptor beta variable 19 /// T cell receptor beta constant 1	0.005361	0.49
1557421_at	1557421_at	CDNA FLJ40256 fis, clone TESTI2025229	0.005371	0.81
215303_at	215303_at	Clones 24632 and 24634 mRNA sequence	0.005371	0.83
209582_s_at	CD200	CD200 molecule	0.00538	0.72
209083_at	CORO1A	coronin, actin binding protein, 1A	0.005391	0.49
241543_at	241543_at	---	0.005399	0.85
210084_x_at	TPSAB1	tryptase alpha/beta 1	0.005433	0.68
1553488_at	TEKT5	tektin 5	0.005563	0.84
244231_at	LOC149684	hypothetical protein LOC149684	0.005563	0.77
1552503_at	FRAS1	Fraser syndrome 1	0.005599	0.84
1553644_at	C14orf49	chromosome 14 open reading frame 49	0.005599	0.86
1553815_a_at	1553815_a_at	---	0.005599	1.34
1553982_a_at	RAB7B	RAB7B, member RAS oncogene family	0.005599	0.83
1554159_a_at	ZMYND11	zinc finger, MYND domain containing 11	0.005599	1.49
1554249_a_at	ZNF638	zinc finger protein 638	0.005599	1.59
1554394_at	NELL1	NEL-like 1 (chicken)	0.005599	0.84
1554464_a_at	CRTAP	cartilage associated protein	0.005599	2.88
1554747_a_at	41154	septin 2	0.005599	1.87
1554757_a_at	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	0.005599	1.63
1555229_a_at	C1S	complement component 1, s subcomponent	0.005599	3.86
1555468_at	NRP2	neuropilin 2	0.005599	0.82
1555613_a_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	0.005599	0.68
1555756_a_at	CLEC7A	C-type lectin domain family 7, member A	0.005599	0.77
1555948_s_at	FAM120A	family with sequence similarity 120A	0.005599	1.61
1556009_at	PEX13	peroxisome biogenesis factor 13	0.005599	1.84
1557754_at	LOC401068	hypothetical gene supported by BC028186	0.005599	1.82
1557984_s_at	RPAP3	RNA polymerase II associated protein 3	0.005599	1.56
1559627_at	LOC285941	hypothetical protein LOC285941	0.005599	0.88
1561396_at	EPHA6	EPH receptor A6	0.005599	0.91
1562194_at	1562194_at	Full length insert cDNA clone YW28D08	0.005599	0.65
1562257_x_at	NLRP1	NLR family, pyrin domain containing 1	0.005599	0.74
1563135_at	1563135_at	Homo sapiens, clone IMAGE:5742196, mRNA	0.005599	0.91
1564746_at	NHEDC2	Na+/H+ exchanger domain containing 2	0.005599	1.71
1565700_at	1565700_at	Transcribed locus	0.005599	0.83
1566268_at	1566268_at	Full length insert cDNA YR25G06	0.005599	0.82
1569150_x_at	PDLIM7	PDZ and LIM domain 7 (enigma)	0.005599	0.86
1569366_a_at	ZNF569	zinc finger protein 569	0.005599	1.34
1570040_at	1570040_at	CDNA clone IMAGE:5267944	0.005599	0.84
200034_s_at	LOC401725 /// LOC642828 /// LOC645387 /// RPL6	ribosomal protein L6 /// similar to 60S ribosomal protein L6 (TAX-responsive enhancer element-binding protein 107) (TAXREB107) (Neoplasm-related protein C140)	0.005599	1.27
200768_s_at	MAT2A	methionine adenosyltransferase II, alpha	0.005599	0.66
201017_at	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	0.005599	1.49
201299_s_at	MOBKL1B	MOB1, Mps One Binder kinase activator-like 1B (yeast)	0.005599	1.66
201472_at	VBP1	von Hippel-Lindau binding protein 1	0.005599	1.6
201476_s_at	RRM1	ribonucleotide reductase M1 polypeptide	0.005599	2.33
201580_s_at	TXNDC13	thioredoxin domain containing 13	0.005599	1.67
201628_s_at	RRAGA	Ras-related GTP binding A	0.005599	1.43
201740_at	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)	0.005599	1.4
202071_at	SDC4	syndecan 4	0.005599	0.69
202236_s_at	SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	0.005599	2.72
202346_at	HIP2	huntingtin interacting protein 2	0.005599	1.55
202464_s_at	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	0.005599	0.42
202647_s_at	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	0.005599	1.76
202729_s_at	LTBP1	latent transforming growth factor beta binding protein 1	0.005599	0.54
202780_at	OXCT1	3-oxoacid CoA transferase 1	0.005599	0.65
202988_s_at	RGS1	regulator of G-protein signaling 1	0.005599	0.33
203075_at	SMAD2	SMAD family member 2	0.005599	1.49
203287_at	LAD1	ladinin 1	0.005599	0.47
203402_at	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	0.005599	0.49
203585_at	ZNF185	zinc finger protein 185 (LIM domain)	0.005599	0.79
203592_s_at	FSTL3	follistatin-like 3 (secreted glycoprotein)	0.005599	0.43
203697_at	FRZB	frizzled-related protein	0.005599	0.44
203813_s_at	SLIT3	slit homolog 3 (Drosophila)	0.005599	0.75
204083_s_at	TPM2	tropomyosin 2 (beta)	0.005599	0.5
204135_at	FILIP1L	filamin A interacting protein 1-like	0.005599	0.57
204240_s_at	SMC2	structural maintenance of chromosomes 2	0.005599	1.83
204319_s_at	RGS10	regulator of G-protein signaling 10	0.005599	0.54
204724_s_at	COL9A3	collagen, type IX, alpha 3	0.005599	0.44
204807_at	TMEM5	transmembrane protein 5	0.005599	1.67
204843_s_at	PRKAR2A	protein kinase, cAMP-dependent, regulatory, type II, alpha	0.005599	1.42
204960_at	CORO1B /// PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein /// coronin, actin binding protein, 1B	0.005599	0.64
205456_at	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	0.005599	0.57
205858_at	NGFR	nerve growth factor receptor (TNFR superfamily, member 16)	0.005599	0.53
205959_at	MMP13	matrix metallopeptidase 13 (collagenase 3)	0.005599	0.82
205973_at	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	0.005599	0.86
206120_at	CD33	CD33 molecule	0.005599	0.8
206243_at	TIMP4	TIMP metallopeptidase inhibitor 4	0.005599	0.84
206337_at	CCR7	chemokine (C-C motif) receptor 7	0.005599	0.5
206475_x_at	CSH1	chorionic somatomammotropin hormone 1 (placental lactogen)	0.005599	0.89
207025_at	GJA12	gap junction protein, alpha 12, 47kDa	0.005599	0.83
207351_s_at	SH2D2A	SH2 domain protein 2A	0.005599	0.74
207794_at	CCR2 /// LOC729230	chemokine (C-C motif) receptor 2 /// similar to C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD192 antigen)	0.005599	0.84
