symbol	operon_ID	unigene  ID	C.I. Low	Fold Change	C.I. Up	signal-Control group	signal T2DM group	backgr. Signal Control group	backgr. Signal T2DM group
GALNT10	HSAC002322	Hs.558800	0.83	0.9	0.98	559	488	266	265
NA	HSAC015284	NA	0.82	0.9	1	547	476	260	246
CYBB	HSAC010295	Hs.292356	0.83	0.9	0.98	748	685	280	272
AP1GBP1	HSAC002471	Hs.101480	0.84	0.9	0.97	787	717	246	248
MMP2	HSAC011743	Hs.513617	0.86	0.9	0.95	59362	56332	4937	3791
ZNF414	HSAC019326	Hs.515114	0.83	0.9	0.99	724	627	269	257
RAB34	HSAC017959	Hs.301853	-	0.91	-	857	964	275	289
PHF10	HSAC001487	Hs.435933	0.83	0.91	1	698	642	293	292
Q96CX6	HSAC020555	NA	0.83	0.91	1	551	492	258	249
CDCA4	HSAC004255	Hs.34045	0.85	0.91	0.97	586	551	248	247
NA	HSAC020705	NA	0.84	0.91	0.99	768	742	241	245
ARHGEF17	HSAC004746	Hs.533719	0.84	0.91	0.99	677	643	274	275
NP_060385.1	HSAC012329	NA	0.83	0.91	0.99	483	489	243	243
NA	HSAC002341	NA	0.83	0.91	1	732	702	273	290
S100A6	HSAC017191	Hs.275243	0.87	0.91	0.96	56045	54629	1880	1571
ZNF614	HSAC009123	Hs.292336	0.85	0.91	0.98	631	612	264	266
NIN	HSAC004662	Hs.310429	0.84	0.91	0.99	640	622	244	244
GCDH	HSAC014247	Hs.532699	1.01	1.1	1.2	676	721	245	247
ARSB	HSAC000323	Hs.149103	1.02	1.1	1.19	654	710	273	295
RPS4Y1	HSAC008481	Hs.282376	1.01	1.1	1.21	2043	2123	282	279
VPS13D	HSAC014668	Hs.439381	1.01	1.11	1.23	992	1060	246	262
ATG10	HSAC009072	Hs.527193	1	1.11	1.23	871	896	240	250
HNRPF	HSAC000208	Hs.808	1.02	1.11	1.21	547	547	268	261
ZNF420	HSAC013084	Hs.444992	1.01	1.12	1.24	509	565	244	250
RTF1	HSAC007030	Hs.511096	1.01	1.12	1.24	1198	1254	245	260
MCM8	HSAC010294	Hs.437582	1	1.12	1.25	813	870	281	294
FAM38B	HSAC009597	Hs.293907	-	1.12	-	889	1574	247	251
RXRB	HSAC006680	Hs.388034	1.01	1.12	1.24	647	705	271	277
NA	HSAC017927	NA	1.02	1.12	1.23	494	493	242	243
RPAP1	HSAC000935	Hs.371045	1.03	1.13	1.23	779	795	271	277
ALS2	HSAC003786	Hs.471096	-	1.13	-	1809	1828	244	258
NOX3	HSAC015906	Hs.247776	1.02	1.13	1.25	591	604	276	261
NP_060720.1	HSAC002489	NA	1.03	1.13	1.24	528	559	265	273
DET1	HSAC004555	Hs.567523	1.01	1.13	1.26	587	602	254	264
Q8NBH1	HSAC021156	NA	1.02	1.13	1.25	521	575	250	263
FANCA	HSAC008734	Hs.567267	1.02	1.13	1.25	692	660	277	252
NP_597707.1	HSAC010417	NA	1.03	1.13	1.24	509	544	267	268
DDX52	HSAC010960	Hs.408452	1.02	1.13	1.26	890	928	266	268
STX6	HSAC002102	Hs.518417	1.01	1.13	1.27	1215	1140	270	257
LMO6	HSAC007667	Hs.166173	1.04	1.13	1.24	573	593	258	263
MKNK1	HSAC001078	Hs.576738	1.02	1.13	1.26	1075	1103	241	247
KIAA0652	HSAC006710	Hs.410092	1.02	1.13	1.26	770	733	267	257
STARD13	HSAC002311	Hs.507704	1.03	1.14	1.25	821	889	239	265
HDAC4	HSAC010484	Hs.20516	1.03	1.14	1.25	756	804	249	261
RAB4A	HSAC012173	Hs.296169	1.03	1.14	1.25	773	800	250	271
PCCA	HSAC006793	Hs.80741	1.01	1.14	1.28	572	632	251	257
ZCCHC11	HSAC002126	Hs.476164	1.03	1.14	1.26	591	574	276	263
DSCR3	HSAC003602	Hs.369488	1.02	1.14	1.28	1726	1816	251	264
CXCL16	HSAC006938	Hs.82407	1.02	1.14	1.27	736	876	259	280
NFS1	HSAC014649	Hs.194692	1.02	1.14	1.28	974	1036	242	249
BBS1	HSAC005127	Hs.502915	1.02	1.14	1.27	686	743	258	262
NARG2	HSAC019898	Hs.200943	1.03	1.14	1.26	2064	2122	242	250
BRD3	HSAC001257	Hs.522472	1.03	1.15	1.28	909	968	250	255
VWF	HSAC011712	Hs.440848	1.03	1.15	1.28	854	922	241	252
WDR74	HSAC000794	Hs.415220	1.04	1.15	1.27	676	722	252	256
TRIM37	HSAC001608	Hs.412767	1.04	1.15	1.26	724	781	256	269
TRAF7	HSAC008501	Hs.334479	1.01	1.15	1.31	626	624	310	293
NP_114427.1	HSAC009590	NA	1.02	1.15	1.29	860	927	263	270
PSEN1	HSAC000766	Hs.3260	1.02	1.15	1.29	579	588	237	237
GNAO1	HSAC009651	Hs.241431	1.03	1.15	1.28	636	676	303	320
ARID3A	HSAC013457	Hs.501296	1.02	1.15	1.29	570	603	268	269
TXLNA	HSAC006995	Hs.17987	1.02	1.15	1.3	1427	1527	244	257
FNBP4	HSAC001313	Hs.6834	1	1.15	1.32	1546	1545	275	273
GTF2H1	HSAC010353	Hs.523510	1.02	1.15	1.3	1783	1818	249	254
DENND1A	HSAC009924	Hs.435064	1.02	1.15	1.3	697	725	265	267
NA	HSAC003710	NA	1.02	1.16	1.31	1027	1035	301	285
EVI2A	HSAC005709	Hs.567266	-	1.16	-	575	882	245	249
K1043	HSAC001996	NA	1.04	1.16	1.28	1398	1459	258	264
TRIM4	HSAC005582	Hs.50749	1.02	1.16	1.31	744	829	254	261
ZNF598	HSAC014175	Hs.343828	1.03	1.16	1.3	625	656	238	243
SNX4	HSAC016602	Hs.507243	1.02	1.16	1.31	1014	1125	250	261
NP_954857.1	HSAC016399	NA	1	1.16	1.34	561	599	263	282
NP_849159.2	HSAC012231	NA	1.04	1.16	1.28	1322	1443	263	278
NA	HSAC010257	NA	1.01	1.16	1.33	2605	2803	252	248
PARP6	HSAC001668	Hs.270244	1.01	1.16	1.34	921	986	267	264
KIAA0240	HSAC014727	Hs.485426	1.05	1.16	1.28	815	863	255	259
KCNMA1	HSAC010324	Hs.144795	1.05	1.16	1.28	730	821	259	274
NA	HSAC010969	NA	1.02	1.16	1.32	951	967	311	304
IWS1	HSAC001077	NA	1.03	1.16	1.31	1274	1327	246	255
ROD1	HSAC013489	Hs.269988	1.07	1.16	1.26	537	593	256	270
NP_076999.1	HSAC018864	NA	1.04	1.16	1.3	559	578	259	254
TERF1	HSAC014626	Hs.442707	1.06	1.16	1.28	665	748	239	256
BCKDHB	HSAC000325	Hs.436387	1.06	1.17	1.28	542	607	265	276
JMJD2A	HSAC014122	Hs.155983	1.02	1.17	1.33	1356	1415	253	265
ALAD	HSAC000317	Hs.1227	1.01	1.17	1.34	705	787	255	271
ZFAND1	HSAC010970	Hs.390395	1.02	1.17	1.34	1694	1833	244	255
SPTBN1	HSAC020356	Hs.503178	1.01	1.17	1.35	515	569	248	250
HUWE1	HSAC000780	Hs.136905	1.03	1.17	1.32	4032	4127	272	312
XP_376189.1	HSAC015317	NA	1.06	1.17	1.28	523	643	245	255
ADAM15	HSAC010528	Hs.312098	1.04	1.17	1.32	1460	1566	266	273
WIBG	HSAC019475	Hs.505687	1	1.17	1.37	1487	1531	260	254
ANKRD16	HSAC010904	Hs.289828	1.02	1.17	1.34	925	1027	246	258
GPR175	HSAC001222	Hs.6418	1.04	1.17	1.31	715	803	240	250
SAFB	HSAC003350	Hs.23978	1.03	1.17	1.34	2961	3169	254	274
NP_110427.1	HSAC001285	NA	1.04	1.17	1.32	1062	1127	250	260
XP_375359.1	HSAC011072	NA	1.06	1.17	1.3	588	704	240	253
CPSF3L	HSAC001228	Hs.6449	1.05	1.17	1.31	815	851	260	274
NA	HSAC004923	NA	1.04	1.17	1.33	6342	6624	267	280
BRWD1	HSAC012182	Hs.314338	1.02	1.17	1.35	2254	2428	583	630
C1RL	HSAC010892	Hs.567497	1.07	1.17	1.29	522	530	272	252
NP_803190.1	HSAC009301	NA	1.03	1.17	1.34	964	1057	262	272
NA	HSAC017998	NA	1.04	1.18	1.33	29238	31766	302	303
CN128	HSAC002327	NA	1.01	1.18	1.37	838	891	249	263
NP_060544.2	HSAC003071	NA	1.01	1.18	1.37	1643	1659	278	307
BTBD15	HSAC008323	Hs.178499	1.03	1.18	1.35	1741	1998	248	259
TMEM64	HSAC010281	Hs.567759	1.04	1.18	1.34	11645	12741	289	291
NA	HSAC009331	NA	1.07	1.18	1.3	508	590	248	268
TNFSF5IP1	HSAC000820	Hs.464652	1.02	1.18	1.37	757	804	255	254
PLEKHA1	HSAC009191	Hs.287830	1.02	1.18	1.37	2428	2600	257	267
SLC39A10	HSAC005933	Hs.413434	1.04	1.18	1.34	1306	1495	266	281
PEX1	HSAC010994	Hs.164682	1.04	1.18	1.35	1193	1298	243	254
GSTZ1	HSAC003634	Hs.26403	1.06	1.18	1.32	773	872	249	263
CCDC32	HSAC019084	Hs.146520	1.07	1.18	1.31	611	679	255	257
EPHA4	HSAC015812	Hs.371218	1.01	1.18	1.39	518	614	236	253
HRG	HSAC000389	Hs.1498	1.03	1.18	1.36	460	517	248	254
MKL1	HSAC004070	Hs.474905	1.09	1.18	1.28	537	567	255	257
TNKS	HSAC012960	Hs.370267	1.04	1.19	1.36	1708	1852	270	284
GUSBL2	HSAC005222	Hs.571117	1.01	1.19	1.39	1749	1877	258	271
NP_060205.3	HSAC003595	NA	1.05	1.19	1.34	1586	1656	265	264
PTER	HSAC012874	Hs.567995	1.05	1.19	1.35	1258	1232	279	285
ABI2	HSAC008840	Hs.471156	1.1	1.19	1.28	933	896	259	252
UBE2E2	HSAC011563	Hs.475688	-	1.19	-	2900	3883	269	285
TRIM5	HSAC004001	Hs.370515	1.02	1.19	1.4	949	974	263	266
NA	HSAC000414	NA	-	1.19	-	851	1491	264	275
QARS	HSAC006662	Hs.79322	1.01	1.19	1.42	5160	5289	270	274
SIN3A	HSAC003165	Hs.513039	1.04	1.19	1.38	866	876	255	248
ZYG11B	HSAC014213	Hs.476280	-	1.19	-	3880	4355	250	262
NR_002323.1	HSAC005042	NA	1.02	1.19	1.41	4829	4226	262	274
DTX3L	HSAC002563	Hs.518201	1.09	1.2	1.32	629	702	257	267
COMMD3	HSAC004306	Hs.534398	1.01	1.2	1.42	3830	4070	268	283
STX18	HSAC002270	Hs.550519	1.06	1.2	1.36	1216	1263	321	362
NA	HSAC013975	NA	-	1.2	-	895	1094	280	292
SLC35C2	HSAC001886	Hs.517080	1.07	1.2	1.34	733	827	245	248
WASF2	HSAC009395	Hs.512079	1.04	1.2	1.38	1194	1252	292	294
NP_054758.2	HSAC001638	NA	-	1.2	-	580	621	255	253
ROR1	HSAC017019	Hs.436456	-	1.2	-	2377	2883	267	290
METAP1	HSAC006870	Hs.480364	1.05	1.2	1.37	1427	1436	259	259
CDK5RAP2	HSAC004158	Hs.269560	1.08	1.2	1.34	1083	1189	242	254
O15050	HSAC002614	NA	1.09	1.2	1.32	565	644	254	258
MRPL46	HSAC017248	Hs.534261	1.01	1.2	1.42	1056	1025	281	282
ZFYVE20	HSAC008100	Hs.475565	1.08	1.2	1.33	1631	1712	254	258
MSX1	HSAC000387	Hs.424414	1.02	1.2	1.41	5859	6326	293	291
ZFYVE28	HSAC015860	Hs.292056	1	1.2	1.44	561	708	252	262
GPR108	HSAC007737	Hs.167641	1.05	1.2	1.37	2817	3015	252	266
SGSH	HSAC004062	Hs.31074	1.07	1.2	1.35	1105	1260	249	273
SSB	HSAC007051	Hs.546301	1	1.2	1.44	5817	6100	265	279
ITPKC	HSAC003026	Hs.567593	1.13	1.2	1.28	723	775	239	250
RAB2B	HSAC003142	Hs.22399	1.02	1.2	1.42	3786	3785	270	279
SF1	HSAC008456	Hs.502829	1.04	1.2	1.39	2833	2719	251	260
NGFB	HSAC000643	Hs.2561	1.01	1.2	1.43	3053	3099	275	297
RBMY1H	HSAC000711	NA	1.03	1.2	1.4	1195	1239	270	280
NP_620585.2	HSAC002613	NA	1.07	1.2	1.36	586	631	256	248
DDX20	HSAC005570	Hs.485810	1.06	1.21	1.37	770	753	266	265
SUSD3	HSAC010275	Hs.88417	1.1	1.21	1.33	596	659	257	259
FN5	HSAC016480	Hs.438064	1.01	1.21	1.45	936	1002	256	269
MTX2	HSAC004104	Hs.470728	1	1.21	1.46	3874	4082	490	520
NA	HSAC004235	NA	1.07	1.21	1.37	1142	1317	243	267
EBF	HSAC004162	Hs.308048	1.05	1.21	1.4	908	994	296	287
CRSP2	HSAC003042	Hs.407604	1.1	1.21	1.34	593	618	258	260
ATBF1	HSAC011593	Hs.461285	1.09	1.21	1.36	1087	1183	245	262
RP1-6P5.2	HSAC017843	NA	1.04	1.21	1.42	23837	25070	316	316
NA	HSAC010430	NA	-	1.21	-	1067	1324	240	262
SLC27A1	HSAC002661	Hs.363138	1.1	1.22	1.35	653	715	241	252
NA	HSAC017942	NA	1.05	1.22	1.41	2324	2765	260	269
C4BPB	HSAC011006	Hs.99886	1.11	1.22	1.34	629	645	300	277
CAB39	HSAC001220	Hs.471593	1.04	1.22	1.42	2853	3013	258	268
Q9NQ39	HSAC017865	NA	1.03	1.22	1.45	2297	2477	287	281
PPFIBP2	HSAC002210	Hs.16019	1.02	1.22	1.46	746	903	247	256
XM_497679.1	HSAC018057	NA	1.02	1.22	1.45	3881	4430	263	285
MDN1	HSAC006318	Hs.529948	1.07	1.22	1.39	1326	1445	247	267
NA	HSAC009402	NA	1.09	1.22	1.37	884	949	249	259
TRIM25	HSAC001906	Hs.551516	1	1.22	1.49	2463	2540	266	261
UNC93B1	HSAC013152	Hs.502989	1.01	1.22	1.48	549	645	255	254
TCEB2	HSAC008076	Hs.172772	1.02	1.22	1.46	15088	16084	282	308
FBXO28	HSAC005553	Hs.64691	1.03	1.22	1.45	1858	1875	264	290
USP32	HSAC014105	Hs.132868	1.01	1.22	1.48	506	578	240	247
CB017	HSAC009851	NA	1.01	1.22	1.48	1430	1515	270	281
SASH1	HSAC001898	Hs.193133	1.05	1.22	1.42	4964	5346	311	340
NUDT16	HSAC017593	Hs.282050	1.06	1.22	1.41	1263	1318	250	250
RSL1D1	HSAC007172	Hs.401842	1.07	1.22	1.39	975	969	275	265
GNG12	HSAC001592	Hs.431101	1.01	1.22	1.48	4381	4720	324	332
ELAVL1	HSAC002120	Hs.184492	1.01	1.22	1.48	3365	3661	269	288
NP_079214.2	HSAC019772	NA	1.11	1.22	1.35	614	687	268	271
PNMA2	HSAC001497	Hs.521466	-	1.22	-	2486	3210	277	287
NQO1	HSAC006788	Hs.406515	1	1.22	1.49	2286	2425	331	357
SERPINB1	HSAC008675	Hs.381167	1.04	1.23	1.44	5782	6367	286	311
NP_060101.2	HSAC011635	NA	1	1.23	1.5	749	859	258	277
PRAF1	HSAC003449	Hs.446334	1.07	1.23	1.41	767	782	262	264
MOBK1B	HSAC019010	Hs.196437	1.09	1.23	1.39	3755	3882	267	286
NP_064538.2	HSAC019500	NA	1.06	1.23	1.43	1830	1993	255	262
NDFIP2	HSAC003997	Hs.525093	1.02	1.23	1.49	1019	1145	239	244
NP_060461.3	HSAC001511	NA	1	1.23	1.51	5062	5172	398	369
NP_116319.1	HSAC010869	NA	1.01	1.23	1.5	1062	1277	256	252
FLOT1	HSAC008394	Hs.179986	1.02	1.23	1.49	9359	9621	413	435
GABPB2	HSAC008513	Hs.511316	1.08	1.23	1.41	1083	1166	265	274
ZNF436	HSAC009583	Hs.293798	1.04	1.23	1.47	647	742	263	283
RPS9	HSAC008482	Hs.546288	1.01	1.23	1.51	11635	12711	581	619
TYSND1	HSAC002472	Hs.533655	1.04	1.24	1.47	608	662	266	277
NA	HSAC020265	NA	1.01	1.24	1.52	716	878	252	267
DIPA	HSAC005618	Hs.66713	1.06	1.24	1.44	1642	1904	327	333
XPR1	HSAC015387	Hs.227656	1.09	1.24	1.41	980	1103	252	261
NOLC1	HSAC006076	Hs.523238	1.06	1.24	1.44	2185	2312	298	323
PEF1	HSAC015752	Hs.470417	1.01	1.24	1.53	2388	2558	265	271
APH1B	HSAC003965	Hs.511703	1.03	1.24	1.5	985	1037	268	285
NP_690878.1	HSAC002382	NA	1.09	1.24	1.42	1423	1629	252	262
USP40	HSAC010739	Hs.96513	1.08	1.24	1.42	1128	1244	254	260
TRAFD1	HSAC001002	Hs.5148	1.03	1.24	1.49	2036	2158	276	279
MRGPRF	HSAC012114	Hs.118513	1.01	1.24	1.53	847	975	260	260
CT111	HSAC006199	NA	1.14	1.24	1.35	900	974	256	243
CBX6	HSAC011508	Hs.511952	1.01	1.24	1.53	1275	1427	281	288
PMS2	HSAC000829	Hs.567318	1.01	1.24	1.53	719	801	289	303
RCC1	HSAC007119	Hs.469723	-	1.24	-	730	712	277	249
MRPL39	HSAC007713	Hs.420696	1.09	1.24	1.42	2305	2401	252	259
CU056	HSAC019635	NA	1.12	1.25	1.39	449	509	238	249
SPTBN1	HSAC011494	Hs.503178	1.01	1.25	1.53	1456	1807	253	247
MAP2K2	HSAC005784	Hs.465627	1.03	1.25	1.51	2857	3176	281	267
DUS2L	HSAC001656	Hs.534460	1.09	1.25	1.42	1454	1547	265	281
NP_060922.2	HSAC008124	NA	1.07	1.25	1.46	747	850	275	274
BTBD3	HSAC001530	Hs.244590	1.11	1.25	1.4	1276	1453	237	240
RPS9	HSAC008482	Hs.546288	1.02	1.25	1.54	18878	20561	702	694
NA	HSAC019677	NA	1.04	1.25	1.5	2718	2607	290	277
JUP	HSAC000595	Hs.514174	1	1.25	1.56	12642	13500	315	334
SUI1	HSAC013708	Hs.150580	1.02	1.25	1.54	14111	13636	267	293
PTDSS1	HSAC006384	Hs.292579	1.06	1.25	1.48	3067	3104	346	352
RANBP5	HSAC011884	Hs.513057	1.03	1.26	1.53	5361	6105	266	274
LITAF	HSAC006297	Hs.459940	-	1.26	-	2480	3889	278	300
KIAA0274	HSAC001873	Hs.529959	1.21	1.26	1.31	2090	2156	264	287
RPL39	HSAC009895	Hs.558387	1.08	1.26	1.46	5070	5787	307	313
FHOD1	HSAC010686	Hs.95231	1.01	1.26	1.56	473	535	249	254
LHB	HSAC013986	Hs.154704	1.15	1.26	1.37	491	589	252	256
CSTF2T	HSAC003095	Hs.538493	1.01	1.26	1.56	1030	1262	253	263
FAM20A	HSAC013461	Hs.268874	1.01	1.26	1.56	612	755	248	259
RNMTL1	HSAC008616	Hs.182729	1.06	1.26	1.49	897	1007	266	296
UBE2L6	HSAC007873	Hs.425777	1.06	1.26	1.49	643	675	272	263
H6PD	HSAC008842	Hs.463511	1.1	1.26	1.44	1297	1466	270	286
NP_055462.1	HSAC004046	NA	1.12	1.26	1.41	3921	4286	275	282
RSNL2	HSAC005207	Hs.122927	1.05	1.26	1.51	4862	5978	283	298
NP_149989.1	HSAC012799	NA	1.06	1.26	1.5	664	789	239	276
OSR2	HSAC020221	Hs.253247	1.04	1.26	1.54	469	529	251	263
UCHL5	HSAC007976	Hs.145469	1.09	1.26	1.47	2459	2569	315	318
KAZALD1	HSAC013095	Hs.555990	1.12	1.26	1.43	446	546	266	268
NA	HSAC010653	NA	1.04	1.27	1.53	560	691	258	268
WDR45	HSAC003065	Hs.156701	1.02	1.27	1.57	3265	3434	272	284
GPR30	HSAC011857	Hs.567278	1.15	1.27	1.4	559	641	260	263
RPL34	HSAC016264	Hs.438227	1.04	1.27	1.55	1851	2235	251	258
NP_056496.1	HSAC002049	NA	1.04	1.27	1.54	839	974	246	240
DAAM1	HSAC014762	Hs.19156	1.1	1.27	1.45	1016	1177	265	252
ANKRD23	HSAC010264	Hs.516218	1.09	1.27	1.47	3584	4108	253	268
SEC22L1	HSAC017712	Hs.534212	1.04	1.27	1.55	932	1091	243	253
NA	HSAC013422	NA	1.14	1.27	1.42	663	665	243	236
BLMH	HSAC006585	Hs.371914	1.1	1.28	1.49	911	981	237	246
GPR133	HSAC007306	Hs.435168	1.01	1.28	1.61	519	652	256	274
NP_057618.2	HSAC005041	NA	1.11	1.28	1.47	2077	2296	250	247
BIN1	HSAC014543	Hs.193163	1.04	1.28	1.57	2164	2497	245	259
TPT1	HSAC017509	Hs.374596	1.03	1.28	1.59	11869	13103	292	287
BLVRB	HSAC006275	Hs.515785	1.06	1.28	1.55	1882	2215	279	275
CDK4	HSAC010697	Hs.95577	1.04	1.28	1.58	6377	7053	294	312
RPS9	HSAC008482	Hs.546288	1.04	1.28	1.57	11042	12478	317	341
OPTN	HSAC017348	Hs.332706	1.01	1.28	1.63	1293	1638	255	350
RPS9	HSAC008482	Hs.546288	1.05	1.28	1.57	24876	27309	364	429
RPS9	HSAC008482	Hs.546288	1.06	1.28	1.55	8233	8726	319	347
TMEM66	HSAC017547	Hs.521487	1.03	1.29	1.61	12002	13149	303	326
NA	HSAC001218	NA	1.05	1.29	1.58	2865	3368	268	277
EXOC4	HSAC011514	Hs.321273	1.04	1.29	1.58	1674	1888	277	292
NP_149106.2	HSAC001596	NA	1.09	1.29	1.51	998	1148	248	260
STAT1	HSAC013245	Hs.470943	1.01	1.29	1.64	784	950	292	307
DTWD1	HSAC005552	Hs.127432	1.13	1.29	1.47	651	759	264	249
C1GALT1	HSAC004796	Hs.239666	1.01	1.29	1.64	2494	2727	262	285
PSEN2	HSAC003518	Hs.25363	1.07	1.29	1.55	560	636	270	287
ALS2CR2	HSAC001101	Hs.408467	1.01	1.29	1.64	4832	5222	295	301
NA	HSAC019612	NA	1.03	1.29	1.61	634	810	244	247
DDX47	HSAC008788	Hs.504828	1.01	1.29	1.64	8427	8635	276	294
NM_207352.2	HSAC015591	NA	1.06	1.29	1.57	1225	1270	263	255
DDB1	HSAC011564	Hs.290758	1.02	1.29	1.63	3167	3259	269	266
NP_671722.1	HSAC019392	NA	1.17	1.29	1.43	447	521	254	251
RNF135	HSAC003961	Hs.29874	1.12	1.29	1.5	1403	1566	258	271
TRIM47	HSAC009570	Hs.293660	1.02	1.29	1.64	439	539	237	246
KLF5	HSAC007118	Hs.508234	1.06	1.29	1.58	696	836	271	275
PSMA3	HSAC020100	Hs.531089	1.03	1.29	1.62	7929	8757	508	501
LRPAP1	HSAC006014	Hs.533136	1.07	1.3	1.57	3141	3730	288	290
NFIB	HSAC004229	Hs.370359	-	1.3	-	2287	2991	267	292
ALDH3A2	HSAC007476	Hs.499886	1.14	1.3	1.48	578	622	260	258
Q9P007	HSAC017499	NA	1.04	1.3	1.62	1088	1381	243	254
EPAS1	HSAC001605	Hs.468410	1.2	1.3	1.41	477	606	261	261
NUB1	HSAC017481	Hs.173024	1.13	1.3	1.5	1884	2078	255	276
ABAT	HSAC017765	Hs.336768	1.18	1.3	1.44	535	594	239	242
CMKOR1	HSAC003226	Hs.471751	1.01	1.3	1.68	7523	10912	629	784
B4GALT4	HSAC002238	Hs.13225	1.05	1.3	1.63	2304	2453	284	290
EIF3S6IP	HSAC012206	Hs.446852	1.04	1.31	1.63	13066	14445	287	309
NP_057563.3	HSAC003379	NA	1.05	1.31	1.63	4913	5313	285	290
GPD2	HSAC011581	Hs.148266	1.01	1.31	1.7	1198	1285	269	282
PYGL	HSAC000196	Hs.282417	1.07	1.31	1.6	1545	1665	265	256
PRLR	HSAC000489	Hs.368587	1.04	1.31	1.66	663	790	283	299
PALM2	HSAC004568	Hs.259461	1.07	1.31	1.61	7081	8466	419	454
SLC16A4	HSAC003298	Hs.351306	1.03	1.31	1.67	1274	1810	255	262
NP_055870.1	HSAC013845	NA	1.14	1.31	1.51	890	984	253	255
RPS9	HSAC008482	Hs.546288	1.08	1.32	1.61	11230	12538	471	508
PIK3R3	HSAC010263	Hs.170510	1.21	1.32	1.44	665	745	246	248
CD47	HSAC006966	Hs.446414	1.05	1.32	1.66	6513	6817	268	275
PPM1B	HSAC001089	Hs.416769	1.09	1.32	1.59	2737	2941	360	377
TM2D3	HSAC009398	Hs.288912	1.11	1.32	1.56	3389	3564	254	277
CYHR1	HSAC008177	Hs.459379	1.03	1.32	1.69	624	789	255	267
NA	HSAC004936	NA	1.04	1.32	1.67	1008	1262	273	302
RPS9	HSAC008482	Hs.546288	1.07	1.32	1.63	5985	6756	306	341
ETHE1	HSAC001444	Hs.7486	1.02	1.33	1.74	1252	1354	258	261
RPS9	HSAC008482	Hs.546288	1.1	1.33	1.62	5451	6208	290	313
AHCY	HSAC008065	Hs.388004	1.01	1.33	1.76	5933	7046	290	309
NP_671722.1	HSAC004256	NA	1.08	1.33	1.64	1252	1549	273	297
NA	HSAC010993	NA	1.16	1.33	1.53	1017	1092	269	267
ZNF277	HSAC004584	Hs.489722	1.09	1.34	1.64	3416	3742	252	255
RHOU	HSAC002892	Hs.435106	1.05	1.34	1.7	574	743	267	271
CASP1	HSAC020222	Hs.2490	1.01	1.34	1.77	637	850	253	283
RAD23B	HSAC008332	Hs.521640	1.06	1.34	1.69	12589	14300	479	507
IMPDH2	HSAC006101	Hs.476231	1.01	1.34	1.77	7667	9496	287	309
AMOTL2	HSAC010525	Hs.426312	1.1	1.34	1.64	29284	35254	478	581
RAD1	HSAC001379	Hs.531879	1.14	1.34	1.59	1281	1468	261	280
NP_057296.1	HSAC017291	NA	1.03	1.34	1.76	461	675	243	259
NA	HSAC017881	NA	-	1.34	-	4074	4783	251	255
PLD1	HSAC006959	Hs.478230	1.14	1.34	1.58	383	469	232	226
RPL6	HSAC018767	Hs.546283	1.02	1.35	1.78	9008	10676	290	303
ARF1	HSAC005962	Hs.286221	1.02	1.35	1.77	16258	17062	337	382
MKNK2	HSAC016506	Hs.515032	1.01	1.35	1.79	8082	9045	288	300
MRPS18B	HSAC017084	Hs.274417	1.06	1.35	1.71	4245	4747	352	362
RHOT1	HSAC002358	Hs.462742	1.15	1.35	1.58	2812	2859	265	261
AKR1C1	HSAC018200	Hs.460260	-	1.35	-	10280	13230	438	441
MRPL18	HSAC003230	Hs.416998	1.1	1.35	1.66	4044	4524	259	281
Q9UFQ3	HSAC003382	NA	1.08	1.35	1.71	5787	5906	629	670
NA	HSAC019102	NA	1.13	1.36	1.63	17066	20479	478	557
AHRR	HSAC006734	Hs.50823	1.04	1.36	1.77	5088	5514	286	276
TNFSF9	HSAC000398	Hs.1524	1.16	1.36	1.59	965	1022	278	266
MANSC1	HSAC001137	Hs.5999	1.11	1.36	1.67	1243	1437	290	299
RNUT1	HSAC003041	Hs.21577	1.14	1.36	1.62	2479	2767	267	285
PRTFDC1	HSAC003195	Hs.405619	1.02	1.36	1.81	711	961	247	251
SLC15A3	HSAC015598	Hs.237856	1.02	1.36	1.82	1573	1816	245	251
CJ070	HSAC004633	NA	1.11	1.37	1.68	4569	5158	254	273
PDE4A	HSAC010400	Hs.89901	-	1.37	-	4485	5196	277	293
WFDC2	HSAC000668	Hs.2719	1.02	1.37	1.83	659	816	241	246
DHRS7B	HSAC002000	Hs.386989	1.04	1.37	1.8	953	1073	259	269
PLEKHG4	HSAC004947	Hs.188781	1.07	1.37	1.76	578	664	245	259
CDC37L1	HSAC012757	Hs.493361	1.15	1.37	1.64	1378	1569	272	309
CD58	HSAC006153	Hs.34341	1.07	1.37	1.76	1946	2384	256	274
NA	HSAC020099	NA	1.14	1.38	1.66	4967	5605	346	365
WDR18	HSAC019126	Hs.325321	1.05	1.38	1.81	5067	6160	310	339
RBPMS	HSAC011825	Hs.334587	1.17	1.38	1.63	1440	1597	238	250
LEPR	HSAC002006	Hs.23581	1.13	1.39	1.71	1971	2235	263	268
HDDC2	HSAC004181	Hs.32826	1.09	1.39	1.76	8529	9166	284	318
NP_057548.1	HSAC015686	NA	1.02	1.39	1.88	2026	2433	272	298
RAB3IL1	HSAC002316	Hs.13759	1.14	1.39	1.69	3207	3667	274	275
OTUD4	HSAC010335	Hs.270851	1.16	1.39	1.67	29979	36637	562	690
DYNLL1	HSAC000999	Hs.5120	1.02	1.39	1.88	27592	30838	374	401
