Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1426631_at	Pus7	pseudouridylate synthase 7 homolog (S. cerevisiae)	945	1281	-1.4	0.0103
1418236_s_at	Atg5	autophagy-related 5 (yeast)	109	147	-1.4	0.0125
1425615_a_at	Pck2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	497	674	-1.4	0.0364
1448579_at	Glg1	golgi apparatus protein 1	1381	1867	-1.4	0.0308
1422669_at	Ebag9	estrogen receptor-binding fragment-associated gene 9	446	601	-1.3	0.0468
1450852_s_at	F2r	coagulation factor II (thrombin) receptor	5103	6867	-1.3	0.0283
1423507_a_at	Sirt2	sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)	1370	1841	-1.3	0.0413
1434643_at	Tbl1x	transducin (beta)-like 1 X-linked	334	447	-1.3	0.0429
1448320_at	Stim1	stromal interaction molecule 1	160	213	-1.3	0.0446
1448597_at	Cstf1	cleavage stimulation factor, 3 pre-RNA, subunit 1	375	500	-1.3	0.0436
1416441_at	Pgcp	plasma glutamate carboxypeptidase	2238	2983	-1.3	0.0220
1452797_at	Fastkd3	FAST kinase domains 3	162	215	-1.3	0.0026
1434300_at	2610101N10Rik	RIKEN cDNA 2610101N10 gene	516	687	-1.3	0.0303
1448899_s_at	Rad51ap1	RAD51 associated protein 1	530	705	-1.3	0.0304
1435379_at	AK122209	cDNA sequence AK122209	347	461	-1.3	0.0480
1433699_at	Tnfaip3	tumor necrosis factor, alpha-induced protein 3	850	1128	-1.3	0.0439
1435739_at	AW208599	expressed sequence AW208599	234	309	-1.3	0.0158
1431131_s_at	A630007B06Rik /// LOC671029	RIKEN cDNA A630007B06 gene /// similar to oocyte-testis gene 1	83	109	-1.3	0.0251
1452737_at	2810008M24Rik	RIKEN cDNA 2810008M24 gene	3721	4921	-1.3	0.0089
1448195_at	Taf5l	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor	335	443	-1.3	0.0239
1438030_at	Rasgrp3	RAS, guanyl releasing protein 3	5726	7547	-1.3	0.0344
1435141_at	Sft2d2	SFT2 domain containing 2	1228	1616	-1.3	0.0323
1450981_at	Cnn2	calponin 2	5850	7696	-1.3	0.0376
1455311_at	Dgcr8	DiGeorge syndrome critical region gene 8	276	363	-1.3	0.0182
1423755_at	Zcchc8	zinc finger, CCHC domain containing 8	2080	2735	-1.3	0.0062
1434344_at	Gpkow	G patch domain and KOW motifs	803	1057	-1.3	0.0496
1415792_at	Rbck1	RanBP-type and C3HC4-type zinc finger containing 1	348	458	-1.3	0.0395
1416029_at	Klf10	Kruppel-like factor 10	857	1127	-1.3	0.0160
1420664_s_at	Procr	protein C receptor, endothelial	41788	54874	-1.3	0.0281
1419248_at	Rgs2	regulator of G-protein signaling 2	6330	8311	-1.3	0.0099
1453174_at	2310076G13Rik	RIKEN cDNA 2310076G13 gene	924	1212	-1.3	0.0301
1419455_at	Il10rb	interleukin 10 receptor, beta	1301	1704	-1.3	0.0162
1434958_at	Sacs	sacsin	3290	4307	-1.3	0.0076
1416501_at	Pdpk1	3-phosphoinositide dependent protein kinase-1	957	1252	-1.3	0.0248
1426485_at	Ubxd2	UBX domain containing 2	4173	5416	-1.3	0.0076
1423128_at	Aip	aryl-hydrocarbon receptor-interacting protein	953	1236	-1.3	0.0384
1426861_at	Aftph	aftiphilin	560	724	-1.3	0.0282
1427689_a_at	Tnip1	TNFAIP3 interacting protein 1	774	995	-1.3	0.0164
1437198_at	Lig3	ligase III, DNA, ATP-dependent	283	363	-1.3	0.0189
1438233_at	6030443O07Rik	RIKEN cDNA 6030443O07 gene	1228	1577	-1.3	0.0292
1456059_at	Psmd11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	408	523	-1.3	0.0201
1420636_a_at	Dusp12	dual specificity phosphatase 12	363	466	-1.3	0.0414
1439278_at	Zbtb20	zinc finger and BTB domain containing 20	742	950	-1.3	0.0118
1438735_at	Rsf1	remodeling and spacing factor 1	312	399	-1.3	0.0208
1434117_at	Tceb3	transcription elongation factor B (SIII), polypeptide 3	101	128	-1.3	0.0310
1423375_at	1700023B02Rik	RIKEN cDNA 1700023B02 gene	28	36	-1.3	0.0105
1452321_at	Brwd1	bromodomain and WD repeat domain containing 1	48	61	-1.3	0.0348
1442287_at		Transcribed locus	89	114	-1.3	0.0299
1450887_at	Rqcd1	rcd1 (required for cell differentiation) homolog 1 (S. pombe)	521	663	-1.3	0.0389
1416531_at	Gsto1	glutathione S-transferase omega 1	9569	12172	-1.3	0.0204
1423731_at	Aldh16a1	aldehyde dehydrogenase 16 family, member A1	92	117	-1.3	0.0311
1451431_a_at	Dbndd2	dysbindin (dystrobrevin binding protein 1) domain containing 2	428	543	-1.3	0.0297
1452806_at	1500016O10Rik	RIKEN cDNA 1500016O10 gene	7	10	-1.3	0.0298
1418616_at	Mafk	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)	362	459	-1.3	0.0330
1416060_at	Tbc1d15	TBC1 domain family, member 15	2867	3633	-1.3	0.0465
1434671_at	B230337E12Rik	RIKEN cDNA B230337E12 gene	588	744	-1.3	0.0174
1422517_a_at	Znrd1	zinc ribbon domain containing, 1	1742	2198	-1.3	0.0298
1420046_s_at	Maf1	MAF1 homolog (S. cerevisiae)	921	1157	-1.3	0.0463
1416270_at	Polr2g	polymerase (RNA) II (DNA directed) polypeptide G	4844	6082	-1.3	0.0171
1454834_at	Nfib	nuclear factor I/B	4843	6068	-1.3	0.0467
1434161_at	Lin52	lin-52 homolog (C. elegans)	441	551	-1.3	0.0361
1423461_a_at	Ubl3	ubiquitin-like 3	1408	1760	-1.2	0.0436
1422801_at	RP23-336J1.4	Ras-GTPase-activating protein SH3-domain binding protein	3521	4390	-1.2	0.0210
1436069_at	Ing5	inhibitor of growth family, member 5	345	429	-1.2	0.0323
1428000_at	Tmem60	transmembrane protein 60	1517	1885	-1.2	0.0451
1434219_at	Stim2	stromal interaction molecule 2	2178	2702	-1.2	0.0330
1421821_at	Ldlr	low density lipoprotein receptor	937	1162	-1.2	0.0415
1436795_at	9630058J23Rik	RIKEN cDNA 9630058J23 gene	148	183	-1.2	0.0385
1424640_at	Arl8a	ADP-ribosylation factor-like 8A	519	640	-1.2	0.0409
1425837_a_at	Ccrn4l	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	2788	3435	-1.2	0.0315
1448619_at	Dhcr7	7-dehydrocholesterol reductase	132	162	-1.2	0.0287
1450705_at	Rdbp	RD RNA-binding protein	1168	1433	-1.2	0.0277
1433666_s_at	Vps41	vacuolar protein sorting 41 (yeast)	615	754	-1.2	0.0236
1423539_at	Pms2	postmeiotic segregation increased 2 (S. cerevisiae)	257	315	-1.2	0.0438
1434665_at	Aga	aspartylglucosaminidase	721	881	-1.2	0.0252
1426968_a_at	Rdh10	retinol dehydrogenase 10 (all-trans)	163	198	-1.2	0.0143
1451291_at	Obfc2b	oligonucleotide/oligosaccharide-binding fold containing 2B	430	521	-1.2	0.0351
1416544_at	Ezh2	enhancer of zeste homolog 2 (Drosophila)	1811	2195	-1.2	0.0138
1456026_at	8030451K01Rik	RIKEN cDNA 8030451K01 gene	527	638	-1.2	0.0377
1422613_a_at	Rpl7a	ribosomal protein L7a	19659	23764	-1.2	0.0480
1452702_at	Clcn7	chloride channel 7	517	624	-1.2	0.0414
1423047_at	Tollip	toll interacting protein	1628	1950	-1.2	0.0478
1424149_at	Nsmce2	non-SMC element 2 homolog (MMS21, S. cerevisiae)	708	847	-1.2	0.0481
1417086_at	Pafah1b1	platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit	267	320	-1.2	0.0474
1438578_a_at	Btbd10	BTB (POZ) domain containing 10	2609	3120	-1.2	0.0195
1428842_a_at	Ngfrap1	nerve growth factor receptor (TNFRSF16) associated protein 1	3255	3889	-1.2	0.0471
1426817_at	LOC638774 /// Mki67	antigen identified by monoclonal antibody Ki 67 /// similar to Antigen KI-67	8730	10421	-1.2	0.0441
1452151_at	BC021523	cDNA sequence BC021523	501	597	-1.2	0.0127
1423975_s_at	Numa1	nuclear mitotic apparatus protein 1	816	968	-1.2	0.0441
1435679_at	Optn	optineurin	347	410	-1.2	0.0330
1419867_a_at	Ankhd1	ankyrin repeat and KH domain containing 1	522	614	-1.2	0.0387
1423275_at	Ints6	integrator complex subunit 6	600	697	-1.2	0.0446
1416963_at	Ubadc1	ubiquitin associated domain containing 1	705	812	-1.2	0.0413
1417451_a_at	Ppia	peptidylprolyl isomerase A	24814	28344	-1.1	0.0445
1442198_at	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7	5	6	-1.1	0.0303
1416642_a_at	Tpt1	tumor protein, translationally-controlled 1	31232	35179	-1.1	0.0393
1423772_x_at	Slc25a5	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5	17483	19690	-1.1	0.0439
1422994_at	Pip5k3	phosphatidylinositol-3-phosphate/phosphatidylinositol 5-kinase, type III	10	9	1.1	0.0493
1435811_a_at	Unc50	unc-50 homolog (C. elegans)	2761	2471	1.1	0.0274
1425298_a_at	Naip1	NLR family, apoptosis inhibitory protein 1	10	9	1.1	0.0366
1418203_at	Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1	12	10	1.2	0.0418
1426386_at	Rpl7l1	ribosomal protein L7-like 1	963	837	1.2	0.0492
1424670_s_at	Zfyve21	zinc finger, FYVE domain containing 21	897	778	1.2	0.0307
1416524_at	Spop	speckle-type POZ protein	3813	3296	1.2	0.0257
1436921_at	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	3480	2977	1.2	0.0227
1428345_at	Ppapdc2	phosphatidic acid phosphatase type 2 domain containing 2	74	63	1.2	0.0375
1460621_x_at	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	22991	19587	1.2	0.0220
1428624_at	2810482I07Rik	RIKEN cDNA 2810482I07 gene	5132	4369	1.2	0.0283
1460359_at	Armcx3	armadillo repeat containing, X-linked 3	1133	958	1.2	0.0493
1456205_x_at	Tbca	tubulin cofactor a	14281	12036	1.2	0.0420
1449351_s_at	Pdgfc	platelet-derived growth factor, C polypeptide	29	25	1.2	0.0145
1455174_at	Rps19bp1	ribosomal protein S19 binding protein 1	625	525	1.2	0.0382
1444602_at		Transcribed locus	13	11	1.2	0.0324
1426378_at	Eif4b	eukaryotic translation initiation factor 4B	2113	1757	1.2	0.0404
1455816_a_at	Kctd3	potassium channel tetramerisation domain containing 3	7392	6134	1.2	0.0422
1434056_a_at	Ndufb6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6	22759	18872	1.2	0.0171
1448771_a_at	Fth1	ferritin heavy chain 1	42224	34871	1.2	0.0201
1454829_at	Rundc1	RUN domain containing 1	155	126	1.2	0.0225
1423333_at	Ergic1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	741	605	1.2	0.0241
1424639_a_at	Hmgcl	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	470	383	1.2	0.0468
1448867_at	Tmem9b	TMEM9 domain family, member B	1866	1518	1.2	0.0251
1438760_x_at	Adam15	a disintegrin and metallopeptidase domain 15 (metargidin)	750	610	1.2	0.0142
1451044_at	Sip1	survivor of motor neuron protein interacting protein 1	708	574	1.2	0.0288
1424366_at	Dolk	dolichol kinase	1334	1081	1.2	0.0280
1428369_s_at	Arhgap21	Rho GTPase activating protein 21	3776	3059	1.2	0.0408
1449142_a_at	Yipf5	Yip1 domain family, member 5	866	700	1.2	0.0221
1447977_x_at	0610010B08Rik /// 3100002L24Rik /// 9230108I15Rik /// LOC626832 /// LOC627914 /// LOC628147 /// LOC668030 /// LOC668039 /// OTTMUSG00000016228 /// RP23-67E6.3	RIKEN cDNA 3100002L24 gene /// RIKEN cDNA 9230108I15 gene /// similar to gonadotropin inducible ovarian transcription factor 1 /// similar to zinc finger protein 709 /// RIKEN cDNA 0610010B08 gene /// predicted gene, OTTMUSG00000016228 /// similar to zinc finger protein 97 /// novel KRAB box and zinc finger, C2H2 type domain containing protein	1055	852	1.2	0.0393
1455795_at	Dse	dermatan sulfate epimerase	25	20	1.2	0.0245
1439401_x_at	Ppp2r5e	Protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	733	587	1.2	0.0149
1450407_a_at	Anp32a	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	910	724	1.3	0.0246
1439622_at	Rassf4	Ras association (RalGDS/AF-6) domain family 4	9	7	1.3	0.0162
1436848_x_at	Impa1	inositol (myo)-1(or 4)-monophosphatase 1	6535	5185	1.3	0.0241
1416465_a_at	Vapa	vesicle-associated membrane protein, associated protein A	11456	9080	1.3	0.0203
1420809_a_at	1500003O03Rik	RIKEN cDNA 1500003O03 gene	10421	8248	1.3	0.0061
1442097_at	EG665393	Predicted gene, EG665393	13	10	1.3	0.0243
1439561_at	2010012O05Rik	RIKEN cDNA 2010012O05 gene	26	20	1.3	0.0218
1422996_at	Acot2	acyl-CoA thioesterase 2	21	16	1.3	0.0413
1420641_a_at	Sqrdl	sulfide quinone reductase-like (yeast)	1433	1122	1.3	0.0267
1454678_s_at	A130022J15Rik	RIKEN cDNA A130022J15 gene	2765	2164	1.3	0.0404
1427760_s_at	Prl2c2 /// Prl2c3 /// Prl2c4	prolactin family 2, subfamily c, member 2 /// prolactin family 2, subfamily c, member 3 /// prolactin family 2, subfamily c, member 4	9	7	1.3	0.0075
1453021_at	Stxbp5	syntaxin binding protein 5 (tomosyn)	179	140	1.3	0.0397
1439268_x_at	Eif3s6	eukaryotic translation initiation factor 3, subunit 6	20085	15699	1.3	0.0179
1451318_a_at	LOC676654 /// Lyn	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog /// similar to Yamaguchi sarcoma viral (v-yes-1) oncogene homolog	1237	965	1.3	0.0306
1449338_at	D10Ertd641e	DNA segment, Chr 10, ERATO Doi 641, expressed	2891	2238	1.3	0.0238
1421275_s_at	Socs4	suppressor of cytokine signaling 4	70	54	1.3	0.0283
1418164_at	Stx2	syntaxin 2	430	332	1.3	0.0040
1456013_x_at	Slc35a4	solute carrier family 35, member A4	1444	1114	1.3	0.0174
1439368_a_at	Slc9a3r2	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 2	9050	6977	1.3	0.0400
1448334_a_at	Ccni	cyclin I	7542	5813	1.3	0.0328
1428074_at	Tmem158	transmembrane protein 158	9263	7136	1.3	0.0240
1448517_at	Timm22	translocase of inner mitochondrial membrane 22 homolog (yeast)	815	627	1.3	0.0124
1438646_x_at	2510039O18Rik	RIKEN cDNA 2510039O18 gene	615	474	1.3	0.0266
1441811_x_at	Tmem176a	transmembrane protein 176A	1649	1267	1.3	0.0206
1425486_s_at	Mtmr6	myotubularin related protein 6	4975	3797	1.3	0.0412
1416808_at	Nid1	nidogen 1	13524	10296	1.3	0.0423
1438928_x_at	Ninj1	ninjurin 1	920	698	1.3	0.0404
1437014_x_at	EG637273 /// LOC545161	similar to Peroxiredoxin 1 (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Osteoblast specific factor 3) (OSF-3) (Macrophage 23 kDa stress protein) /// predicted gene, EG637273	11223	8516	1.3	0.0231
1416179_a_at	Rdx	radixin	14090	10690	1.3	0.0482
1456604_a_at	Pcmt1	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1	4138	3138	1.3	0.0095
1424574_at	Tmed5	transmembrane emp24 protein transport domain containing 5	7315	5541	1.3	0.0024
1417162_at	Tmbim1	transmembrane BAX inhibitor motif containing 1	3931	2976	1.3	0.0060
1416911_a_at	6330407G11Rik	RIKEN cDNA 6330407G11 gene	4252	3214	1.3	0.0241
1454748_at	Naprt1	nicotinate phosphoribosyltransferase domain containing 1	92	70	1.3	0.0065
1418029_at	Faim	Fas apoptotic inhibitory molecule	3062	2308	1.3	0.0357
1426436_at	Tmem159	transmembrane protein 159	234	176	1.3	0.0460
1437385_at	Ccbe1	collagen and calcium binding EGF domains 1	1081	810	1.3	0.0167
1434267_at	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1	141	105	1.3	0.0305
1434692_at	1110034B05Rik	RIKEN cDNA 1110034B05 gene	611	455	1.3	0.0340
1456872_a_at	D230010M03Rik	RIKEN cDNA D230010M03 gene	59	44	1.3	0.0195
1452342_at	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	2278	1689	1.3	0.0451
1434853_x_at	Mkrn1	makorin, ring finger protein, 1	2165	1604	1.3	0.0364
1423402_at	Creb1	cAMP responsive element binding protein 1	363	268	1.4	0.0453
1422539_at	Extl2	exotoses (multiple)-like 2	569	419	1.4	0.0318
1452929_at	Clip1	CAP-GLY domain containing linker protein 1	1310	963	1.4	0.0395
1434084_at	5730601F06Rik	RIKEN cDNA 5730601F06 gene	2351	1726	1.4	0.0214
1436834_x_at	Mdh1	malate dehydrogenase 1, NAD (soluble)	11835	8689	1.4	0.0049
1424309_a_at	Mocs2	molybdenum cofactor synthesis 2	2653	1945	1.4	0.0138
1456739_x_at	Armcx2	armadillo repeat containing, X-linked 2	10713	7844	1.4	0.0078
1447277_s_at	Pcyox1	prenylcysteine oxidase 1	5792	4217	1.4	0.0271
1448707_at	Taf13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor	1948	1416	1.4	0.0336
1420827_a_at	Ccng1	cyclin G1	19660	14288	1.4	0.0457
1441931_x_at	Gss	glutathione synthetase	204	148	1.4	0.0456
1460346_at	Arsa	arylsulfatase A	1732	1256	1.4	0.0089
1441866_s_at	Ptdss1	phosphatidylserine synthase 1	2775	2011	1.4	0.0474
1434839_s_at	Tbl1xr1	transducin (beta)-like 1X-linked receptor 1	701	507	1.4	0.0386
1420967_at	Slc25a15	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15	2151	1553	1.4	0.0145
1427925_at	Stx17	syntaxin 17	709	512	1.4	0.0381
1435740_at	ENSMUSG00000072684	predicted gene, ENSMUSG00000072684	1252	902	1.4	0.0196
1437358_at	Wdfy1	WD repeat and FYVE domain containing 1	1220	878	1.4	0.0204
1449023_a_at	Ezh1	enhancer of zeste homolog 1 (Drosophila)	489	352	1.4	0.0309
1448724_at	Cish	cytokine inducible SH2-containing protein	72	52	1.4	0.0451
1451751_at	Ddit4l	DNA-damage-inducible transcript 4-like	244	174	1.4	0.0304
1456728_x_at	Aco1	aconitase 1	4639	3304	1.4	0.0148
1418854_at	Birc2	baculoviral IAP repeat-containing 2	640	456	1.4	0.0293
1428394_at	Lrrc8a /// Phyhd1	phytanoyl-CoA dioxygenase domain containing 1 /// leucine rich repeat containing 8A	21	15	1.4	0.0413
1416458_at	Arf2	ADP-ribosylation factor 2	451	321	1.4	0.0277
1459782_x_at	Abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	57	41	1.4	0.0297
1455152_at	AI462493	expressed sequence AI462493	789	560	1.4	0.0475
1416881_at	Mcl1	myeloid cell leukemia sequence 1	3680	2609	1.4	0.0170
1426345_at	Prepl	prolyl endopeptidase-like	325	230	1.4	0.0278
1447522_s_at	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	2652	1876	1.4	0.0061
1424782_at	Tmem77	transmembrane protein 77	670	474	1.4	0.0115
1434986_a_at	Sec61a1	Sec61 alpha 1 subunit (S. cerevisiae)	3140	2218	1.4	0.0035
1441906_x_at	Syap1	Synapse associated protein 1	409	288	1.4	0.0361
1424058_at	Prrc1	proline-rich coiled-coil 1	447	314	1.4	0.0259
1448673_at	Pvrl3	poliovirus receptor-related 3	1489	1048	1.4	0.0156
1427912_at	Cbr3	carbonyl reductase 3	1642	1153	1.4	0.0095
1437763_at	Dcun1d3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	224	157	1.4	0.0441
1435616_at	Cyp20a1	cytochrome P450, family 20, subfamily A, polypeptide 1	6942	4873	1.4	0.0382
1434534_at	Dsc3	desmocollin 3	15	10	1.4	0.0245
1453745_at	2700038G22Rik	RIKEN cDNA 2700038G22 gene	719	504	1.4	0.0145
1450744_at	Ell2	elongation factor RNA polymerase II 2	3878	2717	1.4	0.0037
1439047_s_at	Recql	RecQ protein-like	1188	832	1.4	0.0278
1449014_at	Lactb	lactamase, beta	462	323	1.4	0.0381
1455787_x_at	Minpp1	multiple inositol polyphosphate histidine phosphatase 1	2137	1492	1.4	0.0395
1418406_at	Pde8a	phosphodiesterase 8A	200	139	1.4	0.0458
1454727_at	Afap1l1	actin filament associated protein 1-like 1	1437	1002	1.4	0.0277
1439189_at	D630023B12Rik	RIKEN cDNA D630023B12 gene	571	397	1.4	0.0211
1450333_a_at	Gata2	GATA binding protein 2	699	486	1.4	0.0207
1426375_s_at	Oxnad1	oxidoreductase NAD-binding domain containing 1	143	99	1.4	0.0217
1418506_a_at	Prdx2	peroxiredoxin 2	12270	8529	1.4	0.0418
1421209_s_at	Ikbkg	inhibitor of kappaB kinase gamma	500	347	1.4	0.0068
1420381_a_at	Rpl31	ribosomal protein L31	1504	1045	1.4	0.0451
1448720_at	Lrrc40	leucine rich repeat containing 40	2444	1692	1.4	0.0406
1426922_s_at	Hrb	HIV-1 Rev binding protein	1462	1012	1.4	0.0494
1435753_a_at	Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1	2920	2019	1.4	0.0048
1438024_at	Ccdc90a	coiled-coil domain containing 90A	1025	705	1.5	0.0439
1450724_at	Drctnnb1a	down-regulated by Ctnnb1, a	6684	4581	1.5	0.0171
1437009_a_at	Zfp364	zinc finger protein 364	4185	2845	1.5	0.0245
1421644_at	Slfn3	schlafen 3	168	114	1.5	0.0269
1452011_a_at	Uxs1	UDP-glucuronate decarboxylase 1	5857	3972	1.5	0.0230
1443870_at	Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	2659	1800	1.5	0.0344
1455032_at	Ccnyl1	cyclin Y-like 1	6272	4227	1.5	0.0108
1452193_a_at	Wasl	Wiskott-Aldrich syndrome-like (human)	3064	2065	1.5	0.0310
1429019_s_at	Pon2	paraoxonase 2	1658	1117	1.5	0.0048
1437991_x_at	Rusc1	RUN and SH3 domain containing 1	337	227	1.5	0.0454
1434302_at	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	6333	4262	1.5	0.0099
1416989_at	Vps53	vacuolar protein sorting 53 (yeast)	2127	1428	1.5	0.0100
1431582_at	Itgb4bp	integrin beta 4 binding protein	249	167	1.5	0.0090
1428132_at	Cdc42se1	CDC42 small effector 1	655	438	1.5	0.0297
1455053_a_at	Dcun1d1	DCUN1D1 DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	402	269	1.5	0.0201
1433781_a_at	Cldn12	claudin 12	2191	1464	1.5	0.0295
1453228_at	Stx11	syntaxin 11	447	298	1.5	0.0147
1429307_s_at	Lzic	leucine zipper and CTNNBIP1 domain containing	351	234	1.5	0.0172
1417764_at	LOC636537 /// Ssr1	signal sequence receptor, alpha /// similar to signal sequence receptor, alpha	956	636	1.5	0.0236
1435727_s_at	Lima1	LIM domain and actin binding 1	1110	738	1.5	0.0297
1441942_x_at	Snupn	snurportin 1	284	189	1.5	0.0425
1428202_at	1810037C20Rik	RIKEN cDNA 1810037C20 gene	358	237	1.5	0.0257
1424084_at	Rod1	ROD1 regulator of differentiation 1 (S. pombe)	94	62	1.5	0.0238
1428586_at	Tmem41b	transmembrane protein 41B	1668	1104	1.5	0.0101
1422895_at	Vamp4	vesicle-associated membrane protein 4	1379	910	1.5	0.0189
1424852_at	Mef2c	myocyte enhancer factor 2C	849	559	1.5	0.0040
1419641_at	Purb	purine rich element binding protein B	1294	852	1.5	0.0043
1420116_s_at	Golph3	golgi phosphoprotein 3	1327	872	1.5	0.0231
1446737_a_at	Hook3	hook homolog 3 (Drosophila)	570	374	1.5	0.0158
1428644_at	Mgat5	mannoside acetylglucosaminyltransferase 5	1019	664	1.5	0.0115
1454685_at	Gpr146	G protein-coupled receptor 146	676	440	1.5	0.0297
1429581_at	Acad9	acyl-Coenzyme A dehydrogenase family, member 9	408	265	1.5	0.0288
1452054_at	Ube2w	ubiquitin-conjugating enzyme E2W (putative)	1660	1075	1.5	0.0218
1455646_at	2010004M13Rik	RIKEN cDNA 2010004M13 gene	57	37	1.5	0.0102
1435524_at	2010109N14Rik	RIKEN cDNA 2010109N14 gene	6776	4376	1.5	0.0325
1425476_at	Col4a5	procollagen, type IV, alpha 5	230	148	1.6	0.0224
1435488_at	LOC674367	region containing RIKEN cDNA C630010D07 gene; RIKEN cDNA 1110019K23 gene	643	414	1.6	0.0256
1455959_s_at			1526	982	1.6	0.0305
1440173_x_at	Selp	selectin, platelet	9248	5935	1.6	0.0065
1449263_at	Ufm1	ubiquitin-fold modifier 1	851	545	1.6	0.0342
1435653_at		Adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730024P13 product:unclassifiable, full insert sequence	525	336	1.6	0.0387
1443672_at	Lars2	leucyl-tRNA synthetase, mitochondrial	405	258	1.6	0.0201
1424604_s_at	Sumf1	sulfatase modifying factor 1	3319	2114	1.6	0.0470
1436549_a_at	Hnrpa1	heterogeneous nuclear ribonucleoprotein A1	1741	1108	1.6	0.0263
1452451_at	Bean	brain expressed, associated with Nedd4	31	20	1.6	0.0427
1417839_at	Cldn5	claudin 5	2430	1537	1.6	0.0071
1435641_at	9530018I07Rik	RIKEN cDNA 9530018I07 gene	765	484	1.6	0.0399
1436724_a_at	Lgtn	ligatin	2850	1800	1.6	0.0049
1427934_at	Lyrm2	LYR motif containing 2	264	166	1.6	0.0466
1433639_at	5730593F17Rik	RIKEN cDNA 5730593F17 gene	262	165	1.6	0.0468
1442060_at	Prepl	prolyl endopeptidase-like	30	19	1.6	0.0371
1416824_at	B230118H07Rik	RIKEN cDNA B230118H07 gene	716	449	1.6	0.0174
1450942_at	Ccdc16	coiled-coil domain containing 16	381	238	1.6	0.0171
1428963_at	Rwdd2	RWD domain containing 2	68	42	1.6	0.0279
1426646_at	9130011J15Rik	RIKEN cDNA 9130011J15 gene	563	351	1.6	0.0369
1455137_at	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5	2356	1469	1.6	0.0280
1436736_x_at	D0H4S114	DNA segment, human D4S114	7918	4920	1.6	0.0310
1460371_at	Hspa12b	heat shock protein 12B	1330	826	1.6	0.0171
1417369_at	Hsd17b4	hydroxysteroid (17-beta) dehydrogenase 4	2346	1447	1.6	0.0297
1417822_at	D17H6S56E-5	DNA segment, Chr 17, human D6S56E 5	8227	5072	1.6	0.0497
1454397_at	4632418H02Rik	RIKEN cDNA 4632418H02 gene	60	37	1.6	0.0300
1451240_a_at	Glo1	glyoxalase 1	17533	10790	1.6	0.0034
1447308_at	Lass5	longevity assurance homolog 5 (S. cerevisiae)	401	246	1.6	0.0095
1451277_at	Zadh2	zinc binding alcohol dehydrogenase, domain containing 2	1229	755	1.6	0.0288
1423176_at	Tob1	transducer of ErbB-2.1	1569	962	1.6	0.0162
1433985_at	Abi2	abl-interactor 2	1310	803	1.6	0.0285
1417045_at	Bid	BH3 interacting domain death agonist	390	239	1.6	0.0134
1457265_at	B230333C21Rik	RIKEN cDNA B230333C21 gene	183	112	1.6	0.0170
1425193_at	2010106G01Rik	RIKEN cDNA 2010106G01 gene	693	424	1.6	0.0134
1420731_a_at	Csrp2	cysteine and glycine-rich protein 2	1799	1096	1.6	0.0330
1418762_at	Cd55	CD55 antigen	1159	704	1.6	0.0165
1456516_x_at	LOC640502 /// Uap1	UDP-N-acetylglucosamine pyrophosphorylase 1 /// similar to UDP-N-acetylhexosamine pyrophosphorylase	220	134	1.6	0.0048
1455775_at	B230315N10Rik	RIKEN cDNA B230315N10 gene	365	221	1.6	0.0496
