miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-195	ZNF622	MGC17552|MGC2485|ZPR9	zinc finger protein 622	5	90441
hsa-miR-195	CLDN12		claudin 12	7	9069
hsa-miR-195	DYRK1B	MIRK	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	19	9149
hsa-miR-195	DCLK1	DCAMKL1|DCDC3A|DCLK|KIAA0369	doublecortin-like kinase 1	13	9201
hsa-miR-195	LRRFIP2	DKFZp434H2035|FLJ20248|FLJ22683|HUFI-2	leucine rich repeat (in FLII) interacting protein 2	3	9209
hsa-miR-195	SFRS11	DKFZp686M13204|dJ677H15.2|p54	splicing factor, arginine/serine-rich 11	1	9295
hsa-miR-195	SOCS6	CIS4|HSPC060|SOCS4|SSI4|STAI4|STATI4	suppressor of cytokine signaling 6	18	9306
hsa-miR-195	COPS2	ALIEN|CSN2|SGN2|TRIP15	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	15	9318
hsa-miR-195	MED26	CRSP7|CRSP70	mediator complex subunit 26	19	9441
hsa-miR-195	KIF23	CHO1|KNSL5|MKLP-1|MKLP1	kinesin family member 23	15	9493
hsa-miR-195	ADAMTS3	ADAMTS-4|KIAA0366	ADAM metallopeptidase with thrombospondin type 1 motif, 3	4	9508
hsa-miR-195	TBPL1	MGC:8389|MGC:9620|STUD|TLF|TLP|TRF2	TBP-like 1	6	9519
hsa-miR-195	BAG5	BAG-5	BCL2-associated athanogene 5	14	9529
hsa-miR-195	SPAG7	ACRP|FSA-1|MGC20134	sperm associated antigen 7	17	9552
hsa-miR-195	FNIP1	DKFZp686E18167|DKFZp781P0215|KIAA1961|MGC667	folliculin interacting protein 1	5	96459
hsa-miR-195	N4BP1	FLJ31821|KIAA0615|MGC176730	NEDD4 binding protein 1	16	9683
hsa-miR-195	SFI1	MGC131712|MGC150663|MGC156283|MGC57874|PISD|RP5-858B16.1|hSfi1p	Sfi1 homolog, spindle assembly associated (yeast)	22	9814
hsa-miR-195	FCHSD2	KIAA0769|NWK|SH3MD3	FCH and double SH3 domains 2	11	9873
hsa-miR-195	TLK1	KIAA0137|PKU-BETA	tousled-like kinase 1	2	9874
hsa-miR-195	ZBTB39	KIAA0352	zinc finger and BTB domain containing 39	12	9880
hsa-miR-195	USP15	KIAA0529|MGC131982|MGC149838|MGC74854|UNPH4	ubiquitin specific peptidase 15	12	9958
hsa-miR-195	CDC27	APC3|CDC27Hs|D0S1430E|D17S978E|HNUC	cell division cycle 27 homolog (S. cerevisiae)	17	996
hsa-miR-195	DMTF1	DMP1|DMTF|FLJ41265|hDMP1	cyclin D binding myb-like transcription factor 1	7	9988
hsa-miR-195|hsa-miR-30d	SEMA3A	Hsema-I|Hsema-III|MGC133243|SEMA1|SEMAD|SEMAIII|SEMAL|SemD|coll-1	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	7	10371
hsa-miR-195|hsa-miR-30d	SPEN	KIAA0929|MINT|RP1-134O19.1|SHARP	spen homolog, transcriptional regulator (Drosophila)	1	23013
hsa-miR-195|hsa-miR-30d	D4S234E	D4S234|NEEP21|NSG1|P21	DNA segment on chromosome 4 (unique) 234 expressed sequence	4	27065
hsa-miR-195|hsa-miR-30d	GOLGA1	MGC33154|golgin-97	golgi autoantigen, golgin subfamily a, 1	9	2800
hsa-miR-195|hsa-miR-30d	OMG	OMGP	oligodendrocyte myelin glycoprotein	17	4974
hsa-miR-195|hsa-miR-30d	CDC37L1	CDC37B|FLJ20639|HARC	cell division cycle 37 homolog (S. cerevisiae)-like 1	9	55664
hsa-miR-195|hsa-miR-30d	STOX2	DKFZp762K222	storkhead box 2	4	56977
hsa-miR-195|hsa-miR-30d	RAD23B	HHR23B|HR23B|P58	RAD23 homolog B (S. cerevisiae)	9	5887
hsa-miR-195|hsa-miR-30d	SCN8A	CerIII|MED|NaCh6|Nav1.6|PN4	sodium channel, voltage gated, type VIII, alpha subunit	12	6334
hsa-miR-195|hsa-miR-30d	RBM15	FLJ12479|FLJ21943|MGC119584|OTT|OTT1|SPEN	RNA binding motif protein 15	1	64783
hsa-miR-195|hsa-miR-30d	SEMA6D	FLJ11598|KIAA1479	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	15	80031
hsa-miR-195|hsa-miR-30d	YTHDC1	KIAA1966|YT521|YT521-B	YTH domain containing 1	4	91746
hsa-miR-195|hsa-miR-30d	QKI	DKFZp586I0923|Hqk|QK|QK1|QK3	quaking homolog, KH domain RNA binding (mouse)	6	9444
hsa-miR-195|hsa-miR-30d	PHACTR2	C6orf56|DKFZp686F18175|KIAA0680|MGC176642	phosphatase and actin regulator 2	6	9749
hsa-miR-221	EIF4E3	MGC39820|MGC86971	eukaryotic translation initiation factor 4E family member 3	3	317649
hsa-miR-221	HRB	MGC116938|MGC116940|RAB|RIP	HIV-1 Rev binding protein	2	3267
hsa-miR-221	SLC25A37	HT015|MFRN|MSC|MSCP|PRO1278|PRO1584|PRO2217	solute carrier family 25, member 37	8	51312
hsa-miR-222	ASB7	FLJ22551	ankyrin repeat and SOCS box-containing 7	15	140460
hsa-miR-222	KHDRBS2	FLJ38664|MGC26664|SLM-1|SLM1|bA535F17.1	KH domain containing, RNA binding, signal transduction associated 2	6	202559
hsa-miR-222	GOLSYN	FLJ20366|KIAA1472|SYBU	Golgi-localized protein	8	55638
hsa-miR-222	VEZF1	DB1|ZNF161	vascular endothelial zinc finger 1	17	7716
hsa-miR-222|hsa-miR-10b|hsa-miR-221	BCL2L11	BAM|BIM|BIM-alpha6|BIM-beta6|BIM-beta7|BOD|BimEL|BimL	BCL2-like 11 (apoptosis facilitator)	2	10018
hsa-miR-222|hsa-miR-134|hsa-miR-221	VGLL4	KIAA0121|VGL-4	vestigial like 4 (Drosophila)	3	9686
hsa-miR-222|hsa-miR-18a|hsa-miR-221	IRF2	DKFZp686F0244|IRF-2	interferon regulatory factor 2	4	3660
hsa-miR-222|hsa-miR-18a|hsa-miR-221|hsa-miR-7	ATXN1	ATX1|D6S504E|SCA1	ataxin 1	6	6310
hsa-miR-222|hsa-miR-193b|hsa-miR-221	ERBB4	HER4|MGC138404|p180erbB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	2	2066
hsa-miR-222|hsa-miR-193b|hsa-miR-221	NOVA1	Nova-1	neuro-oncological ventral antigen 1	14	4857
hsa-miR-222|hsa-miR-221	IRX5	IRX-2a|IRXB2	iroquois homeobox 5	16	10265
hsa-miR-222|hsa-miR-221	CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	12	1027
hsa-miR-222|hsa-miR-221	PAIP1	MGC12360	poly(A) binding protein interacting protein 1	5	10605
hsa-miR-222|hsa-miR-221	PPARGC1A	LEM6|PGC-1(alpha)|PGC-1v|PGC1|PGC1A|PPARGC1	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	4	10891
hsa-miR-222|hsa-miR-221	PDCD10	CCM3|MGC1212|MGC24477|TFAR15	programmed cell death 10	3	11235
hsa-miR-222|hsa-miR-221	RLBP1L2	C6orf212|C6orf213|MGC120572|bA160A10.4	retinaldehyde binding protein 1-like 2	6	134829
hsa-miR-222|hsa-miR-221	HECTD2	FLJ16050	HECT domain containing 2	10	143279
hsa-miR-222|hsa-miR-221	MIER3	DKFZP781I1119|DKFZp686L09111|DKFZp781G1119|DKFZp781I1119|FLJ35954	mesoderm induction early response 1, family member 3	5	166968
hsa-miR-222|hsa-miR-221	NRK	DKFZp686A17109|FLJ16788|MGC131849|NESK	Nik related kinase	X	203447
hsa-miR-222|hsa-miR-221	HIPK1	KIAA0630|MGC26642|MGC33446|MGC33548|Myak|Nbak2	homeodomain interacting protein kinase 1	1	204851
hsa-miR-222|hsa-miR-221	ETS2	ETS2IT1	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	21	2114
hsa-miR-222|hsa-miR-221	RBM24	FLJ26355|FLJ30829|FLJ37697|RNPC6|dJ259A10.1	RNA binding motif protein 24	6	221662
hsa-miR-222|hsa-miR-221	RSBN1L	FLJ42526|FLJ45813|MGC71764	round spermatid basic protein 1-like	7	222194
hsa-miR-222|hsa-miR-221	CHSY1	CSS1|KIAA0990	chondroitin sulfate synthase 1	15	22856
hsa-miR-222|hsa-miR-221	FMR1	FMRP|FRAXA|MGC87458	fragile X mental retardation 1	X	2332
hsa-miR-222|hsa-miR-221	ANGPTL2	ARP2|HARP|MGC8889	angiopoietin-like 2	9	23452
hsa-miR-222|hsa-miR-221	FOS	AP-1|C-FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	14	2353
hsa-miR-222|hsa-miR-221	FRAXA	FMR1	fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation)	X	2477
hsa-miR-222|hsa-miR-221	GARNL1	DKFZp566D133|DKFZp667F074|GRIPE|KIAA0884|TULIP1	GTPase activating Rap/RanGAP domain-like 1	14	253959
hsa-miR-222|hsa-miR-221	GABRA1	ECA4|EJM	gamma-aminobutyric acid (GABA) A receptor, alpha 1	5	2554
hsa-miR-222|hsa-miR-221	UNC84B	KIAA0668|MGC133055|MGC133056|SUN2	unc-84 homolog B (C. elegans)	22	25777
hsa-miR-222|hsa-miR-221	ZNF385A	DKFZP586G1122|HZF|RZF|ZFP385|ZNF385	zinc finger protein 385A	12	25946
hsa-miR-222|hsa-miR-221	NAP1L5	DRLM	nucleosome assembly protein 1-like 5	4	266812
hsa-miR-222|hsa-miR-221	GPI	AMF|GNPI|NLK|PGI|PHI|SA-36	glucose phosphate isomerase	19	2821
hsa-miR-222|hsa-miR-221	LOC285382		hypothetical gene supported by AK091454	3	285382
hsa-miR-222|hsa-miR-221	MYLIP	MIR	myosin regulatory light chain interacting protein	6	29116
hsa-miR-222|hsa-miR-221	FOXN2	HTLF	forkhead box N2	2	3344
hsa-miR-222|hsa-miR-221	INSIG1	CL-6|MGC1405	insulin induced gene 1	7	3638
hsa-miR-222|hsa-miR-221	MIA3	ARNT|FLJ21469|FLJ39207|KIAA0268|TANGO|UNQ6077	melanoma inhibitory activity family, member 3	1	375056
hsa-miR-222|hsa-miR-221	KIT	C-Kit|CD117|PBT|SCFR	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4	3815
hsa-miR-222|hsa-miR-221	SBK1	Sbk	SH3-binding domain kinase 1	16	388228
hsa-miR-222|hsa-miR-221	ARNT	HIF-1beta|HIF1B|HIF1BETA|TANGO	aryl hydrocarbon receptor nuclear translocator	1	405
hsa-miR-222|hsa-miR-221	MLL	ALL-1|CXXC7|FLJ11783|HRX|HTRX1|KMT2A|MLL/GAS7|MLL1A|TRX1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	11	4297
hsa-miR-222|hsa-miR-221	MYO10	FLJ10639|FLJ21066|FLJ22268|FLJ43256|KIAA0799|MGC131988	myosin X	5	4651
hsa-miR-222|hsa-miR-221	NTF3	HDNF|MGC129711|NGF-2|NGF2|NT3	neurotrophin 3	12	4908
hsa-miR-222|hsa-miR-221	ANGPTL4	ANGPTL2|ARP4|FIAF|HFARP|NL2|PGAR|pp1158	angiopoietin-like 4	19	51129
hsa-miR-222|hsa-miR-221	PAIP2	MGC72018|PAIP2A	poly(A) binding protein interacting protein 2	5	51247
hsa-miR-222|hsa-miR-221	NLK	DKFZp761G1211|FLJ21033	nemo-like kinase	17	51701
hsa-miR-222|hsa-miR-221	DCUN1D1	DCUN1L1|RP42|SCCRO|SCRO|Tes3	DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	3	54165
hsa-miR-222|hsa-miR-221	NSMCE4A	C10orf86|FLJ20003|NSE4A|RP11-500G22.3|bA500G22|bA500G22.3	non-SMC element 4 homolog A (S. cerevisiae)	10	54780
hsa-miR-222|hsa-miR-221	CASZ1	CST|FLJ12223|FLJ20321|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	1	54897
hsa-miR-222|hsa-miR-221	EIF5A2	EIF-5A2|eIF5AII	eukaryotic translation initiation factor 5A2	3	56648
hsa-miR-222|hsa-miR-221	DMRT3	DMRTA3|MGC142144	doublesex and mab-3 related transcription factor 3	9	58524
hsa-miR-222|hsa-miR-221	STYX		serine/threonine/tyrosine interacting protein	14	6815
hsa-miR-222|hsa-miR-221	TCF12	HEB|HTF4|HsT17266	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)	15	6938
hsa-miR-222|hsa-miR-221	YWHAG	14-3-3GAMMA	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	7	7532
hsa-miR-222|hsa-miR-221	C12orf30	DKFZp667K2112|FLJ13089	chromosome 12 open reading frame 30	12	80018
hsa-miR-222|hsa-miR-221	CAMKK1	CAMKKA|DKFZp761M0423|MGC34095	calcium/calmodulin-dependent protein kinase kinase 1, alpha	17	84254
hsa-miR-222|hsa-miR-221	PPP1R15B	FLJ14744	protein phosphatase 1, regulatory (inhibitor) subunit 15B	1	84919
hsa-miR-222|hsa-miR-221	EIF3J	EIF3S1|eIF3-alpha|eIF3-p35	eukaryotic translation initiation factor 3, subunit J	15	8669
hsa-miR-222|hsa-miR-221	MIDN	DKFZp547M072	midnolin	19	90007
hsa-miR-222|hsa-miR-221	BMF	FLJ00065	Bcl2 modifying factor	15	90427
hsa-miR-222|hsa-miR-221	CD4	CD4mut	CD4 molecule	12	920
hsa-miR-222|hsa-miR-221	CCDC64	FLJ26450|H_267D11.1	coiled-coil domain containing 64	12	92558
hsa-miR-222|hsa-miR-221	TOX	KIAA0808|TOX1	thymocyte selection-associated high mobility group box	8	9760
hsa-miR-222|hsa-miR-221|hsa-miR-195	FERMT2	FLJ34213|FLJ44462|KIND2|MIG2|PLEKHC1|UNC112|UNC112B|mig-2	fermitin family homolog 2 (Drosophila)	14	10979
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHAC2	MGC71598|PCDH-ALPHA-C2	protocadherin alpha subfamily C, 2	5	56134
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHAC1	PCDH-ALPHA-C1	protocadherin alpha subfamily C, 1	5	56135
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA13	CNR5|CNRN5|CNRS5|CRNR5|PCDH-ALPHA13	protocadherin alpha 13	5	56136
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA12	MGC138485|MGC141932|PCDH-ALPHA12	protocadherin alpha 12	5	56137
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA10	CNR8|CNRN8|CNRS8|CRNR8|PCDH-ALPHA10	protocadherin alpha 10	5	56139
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA8	PCDH-ALPHA8	protocadherin alpha 8	5	56140
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA7	CNR4|CNRN4|CNRS4|CRNR4|PCDH-ALPHA7	protocadherin alpha 7	5	56141
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA6	CNR2|CNRN2|CNRS2|CRNR2|PCDH-ALPHA6	protocadherin alpha 6	5	56142
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA5	CNR6|CNRN6|CNRS6|CRNR6|PCDH-ALPHA5	protocadherin alpha 5	5	56143
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA4	CNR1|CNRN1|CRNR1|MGC138307|MGC142169|PCDH-ALPHA4	protocadherin alpha 4	5	56144
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA3	MGC141669|PCDH-ALPHA3	protocadherin alpha 3	5	56145
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA2	PCDH-ALPHA2	protocadherin alpha 2	5	56146
hsa-miR-222|hsa-miR-221|hsa-miR-195	PCDHA1	PCDH-ALPHA1	protocadherin alpha 1	5	56147
hsa-miR-222|hsa-miR-221|hsa-miR-195	AXIN2	AXIL|DKFZp781B0869|MGC126582	axin 2 (conductin, axil)	17	8313
hsa-miR-222|hsa-miR-221|hsa-miR-195|hsa-miR-30d	UBE2J1	CGI-76|HSPC153|HSPC205|HSU93243|MGC12555|NCUBE1|Ubc6p	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	6	51465
hsa-miR-222|hsa-miR-221|hsa-miR-30d	CPNE8	MGC129645|MGC129646	copine VIII	12	144402
hsa-miR-222|hsa-miR-221|hsa-miR-30d	FNDC3A	FLJ31509|FNDC3|HUGO|KIAA0970|bA203I16.1|bA203I16.5	fibronectin type III domain containing 3A	13	22862
hsa-miR-222|hsa-miR-221|hsa-miR-30d	TMCC1	DKFZp686M0169|FLJ42680	transmembrane and coiled-coil domain family 1	3	23023
hsa-miR-222|hsa-miR-221|hsa-miR-30d	PPP3R1	CALNB1|CNB|CNB1	protein phosphatase 3 (formerly 2B), regulatory subunit B, alpha isoform	2	5534
hsa-miR-222|hsa-miR-221|hsa-miR-30d	KIAA1370	FLJ10980|MGC126494|MGC126495	KIAA1370	15	56204
hsa-miR-222|hsa-miR-221|hsa-miR-30d	MLL3	DKFZp686C08112|FLJ12625|FLJ38309|HALR|KIAA1506|KMT2C|MGC119851|MGC119852|MGC119853	myeloid/lymphoid or mixed-lineage leukemia 3	7	58508
hsa-miR-222|hsa-miR-221|hsa-miR-7	MEGF9	EGFL5	multiple EGF-like-domains 9	9	1955
hsa-miR-222|hsa-miR-221|hsa-miR-7	WDR47	FLJ90135|KIAA0893	WD repeat domain 47	1	22911
hsa-miR-222|hsa-miR-221|hsa-miR-7	SHANK2	CORTBP1|CTTNBP1|ProSAP1|SHANK|SPANK-3	SH3 and multiple ankyrin repeat domains 2	11	22941
hsa-miR-222|hsa-miR-221|hsa-miR-7	ARF4	ARF2	ADP-ribosylation factor 4	3	378
hsa-miR-222|hsa-miR-221|hsa-miR-7	RFXDC2	FLJ12994|FLJ21104|MGC131836	regulatory factor X domain containing 2	15	64864
hsa-miR-222|hsa-miR-221|hsa-miR-7|hsa-miR-195|hsa-miR-30d	KIF16B	C20orf23|KISC20ORF|SNX23	kinesin family member 16B	20	55614
hsa-miR-222|hsa-miR-30d	ANKHD1	MASK|VBARP	ankyrin repeat and KH domain containing 1	5	54882
hsa-miR-222|hsa-miR-31|hsa-miR-221	RIMS3	KIAA0237|NIM3|RIM3	regulating synaptic membrane exocytosis 3	1	9783
hsa-miR-222|hsa-miR-31|hsa-miR-221|hsa-miR-30d	ARID1A	B120|BAF250|BAF250a|BM029|C1orf4|P270|SMARCF1	AT rich interactive domain 1A (SWI-like)	1	8289
hsa-miR-222|hsa-miR-34a|hsa-miR-18a|hsa-miR-221	MSL2L1	FLJ10546|KIAA1585|MSL-2|RNF184	male-specific lethal 2-like 1 (Drosophila)	3	55167
hsa-miR-30d	MBNL3		muscleblind-like 3	X	100130541
hsa-miR-30d	LRRC17	P37NB	leucine rich repeat containing 17	7	10234
hsa-miR-30d	39878	KIAA0597|MARCH-VI|RNF176|TEB4	membrane-associated ring finger (C3HC4) 6	5	10299
hsa-miR-30d	ZNF238	C2H2-171|RP58|TAZ-1|ZBTB18	zinc finger protein 238	1	10472
hsa-miR-30d	SEC23A	CLSD|MGC26267	Sec23 homolog A (S. cerevisiae)	14	10484
hsa-miR-30d	CEL	BAL|BSDL|BSSL|CELL|CEase|FAP|FAPP|LIPA|MODY8	carboxyl ester lipase (bile salt-stimulated lipase)	9	1056
hsa-miR-30d	ERLIN1	C10orf69|Erlin-1|KE04|KEO4|SPFH1	ER lipid raft associated 1	10	10613
hsa-miR-30d	STAG2	DKFZp686P168|DKFZp781H1753|FLJ25871|SA-2|SA2|bA517O1.1	stromal antigen 2	X	10735
hsa-miR-30d	SRCAP	DOMO1|EAF1|FLJ44499|KIAA0309|SWR1	Snf2-related CREBBP activator protein	16	10847
hsa-miR-30d	MAN1A2	MAN1B	mannosidase, alpha, class 1A, member 2	1	10905
hsa-miR-30d	PAPOLA	MGC5378|PAP	poly(A) polymerase alpha	14	10914
hsa-miR-30d	RAB32		RAB32, member RAS oncogene family	6	10981
hsa-miR-30d	CPSF6	CFIM|CFIM68|HPBRII-4|HPBRII-7	cleavage and polyadenylation specific factor 6, 68kDa	12	11052
hsa-miR-30d	RAPGEF4	CAMP-GEFII|CGEF2|EPAC2|Nbla00496	Rap guanine nucleotide exchange factor (GEF) 4	2	11069
hsa-miR-30d	GLMN	FAP|FAP48|FAP68|FKBPAP|GLML|GVM|VMGLOM	glomulin, FKBP associated protein	1	11146
hsa-miR-30d	TNRC4	BRUNOL1|CAGH4|CELF3|ERDA4|MGC57297	trinucleotide repeat containing 4	1	11189
hsa-miR-30d	GLCCI1	FAM117C|GIG18	glucocorticoid induced transcript 1	7	113263
hsa-miR-30d	ESCO1	A930014I12Rik|EFO1|ESO1|KIAA1911|MGC105022	establishment of cohesion 1 homolog 1 (S. cerevisiae)	18	114799
hsa-miR-30d	NUS1	C6orf68|MGC117249|MGC7199|MGC:7199|NgBR	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	6	116150
hsa-miR-30d	GALNTL2	DKFZp686H1113|GALNT13|GALNT15|GALNT7|PIH5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	3	117248
hsa-miR-30d	IHPK3	INSP6K3|IP6K3|MGC102928	inositol hexaphosphate kinase 3	6	117283
hsa-miR-30d	RHEBL1	FLJ25797|MGC34869|RHEBL1c	Ras homolog enriched in brain like 1	12	121268
hsa-miR-30d	COL13A1	FLJ42485	collagen, type XIII, alpha 1	10	1305
hsa-miR-30d	FAM43A	FLJ90022	family with sequence similarity 43, member A	3	131583
hsa-miR-30d	ZNF280B	5OY11.1|D87009.C22.3|SUHW2|ZNF279|ZNF632	zinc finger protein 280B	22	140883
hsa-miR-30d	CSNK1A1	CK1|HLCDGP1|PRO2975	casein kinase 1, alpha 1	5	1452
hsa-miR-30d	CCDC117	FLJ33814|dJ366L4.1	coiled-coil domain containing 117	22	150275
hsa-miR-30d	MBOAT1	LPEAT1|MGC44669|OACT1|dJ434O11.1	membrane bound O-acyltransferase domain containing 1	6	154141
hsa-miR-30d	VKORC1L1	DKFZp762H0113	vitamin K epoxide reductase complex, subunit 1-like 1	7	154807
hsa-miR-30d	ZNF746	FLJ31413	zinc finger protein 746	7	155061
hsa-miR-30d	KIAA2026		KIAA2026	9	158358
hsa-miR-30d	CYP24A1	CP24|CYP24|MGC126273|MGC126274|P450-CC24	cytochrome P450, family 24, subfamily A, polypeptide 1	20	1591
hsa-miR-30d	PAPD4	FLJ38499	PAP associated domain containing 4	5	167153
hsa-miR-30d	DNMT3A	DNMT3A2|M.HsaIIIA	DNA (cytosine-5-)-methyltransferase 3 alpha	2	1788
hsa-miR-30d	CELSR3	CDHF11|EGFL1|FMI1|HFMI1|MEGF2|RESDA1	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	3	1951
hsa-miR-30d	GRAMD2		GRAM domain containing 2	15	196996
hsa-miR-30d	C9orf72	MGC23980|RP11-27J8.2	chromosome 9 open reading frame 72	9	203228
hsa-miR-30d	EPB41	4.1R|EL1|HE	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	1	2035
hsa-miR-30d	STX2	EPIM|EPM|MGC51014|STX2A|STX2B|STX2C	syntaxin 2	12	2054
hsa-miR-30d	ERG	erg-3|p55	v-ets erythroblastosis virus E26 oncogene homolog (avian)	21	2078
hsa-miR-30d	EXTL2	EXTR2	exostoses (multiple)-like 2	1	2135
hsa-miR-30d	FAP	DKFZp686G13158|DPPIV|FAPA	fibroblast activation protein, alpha	2	2191
hsa-miR-30d	RFXDC1	MGC33442|dJ955L16.1	regulatory factor X domain containing 1	6	222546
hsa-miR-30d	ELL2		elongation factor, RNA polymerase II, 2	5	22936
hsa-miR-30d	SNW1	Bx42|MGC119379|NCOA-62|PRPF45|Prp45|SKIIP|SKIP	SNW domain containing 1	14	22938
hsa-miR-30d	FOXD1	FKHL8|FREAC4	forkhead box D1	5	2297
hsa-miR-30d	KIAA0241	AVL9|DKFZp686G0344	KIAA0241	7	23080
hsa-miR-30d	PLEKHM2	KIAA0842|RP11-169K16.1|SKIP	pleckstrin homology domain containing, family M (with RUN domain) member 2	1	23207
hsa-miR-30d	DNAJC13	FLJ25863|KIAA0678|RME8	DnaJ (Hsp40) homolog, subfamily C, member 13	3	23317
hsa-miR-30d	WDR7	KIAA0541|TRAG	WD repeat domain 7	18	23335
hsa-miR-30d	RIMBP2	KIAA0318|MGC15831|RBP2|RIM-BP2	RIMS binding protein 2	12	23504
hsa-miR-30d	R3HDM1	FLJ23334|KIAA0029|R3HDM	R3H domain containing 1	2	23518
hsa-miR-30d	MMD	MMA|PAQR11	monocyte to macrophage differentiation-associated	17	23531
hsa-miR-30d	DDAH1	DDAH|FLJ21264|FLJ25539	dimethylarginine dimethylaminohydrolase 1	1	23576
hsa-miR-30d	ZMYND8	MGC31836|PRKCBP1|PRO2893|RACK7	zinc finger, MYND-type containing 8	20	23613
hsa-miR-30d	RAB38	NY-MEL-1|rrGTPbp	RAB38, member RAS oncogene family	11	23682
hsa-miR-30d	BRD1	BRL|BRPF1|BRPF2|DKFZp686F0325	bromodomain containing 1	22	23774
hsa-miR-30d	ABL1	ABL|JTK7|bcr/abl|c-ABL|p150|v-abl	c-abl oncogene 1, receptor tyrosine kinase	9	25
hsa-miR-30d	LYCAT	AGPAT8|ALCAT1|FLJ37965|UNQ1849	lysocardiolipin acyltransferase	2	253558
hsa-miR-30d	NAALADL2		N-acetylated alpha-linked acidic dipeptidase-like 2	3	254827
hsa-miR-30d	ELMOD2	9830169G11Rik|MGC10084	ELMO/CED-12 domain containing 2	4	255520
hsa-miR-30d	GALNT3	DKFZp686C10199|GalNAc-T3|HFTC|HHS|MGC61909	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	2	2591
hsa-miR-30d	PNKD	BRP17|DKFZp564N1362|DYT8|FKSG19|FPD1|KIAA1184|KIPP1184|MGC31943|MR-1|MR1|PDC|TAHCCP2	paroxysmal nonkinesigenic dyskinesia	2	25953
hsa-miR-30d	TMEM87A	DKFZP564G2022	transmembrane protein 87A	15	25963
hsa-miR-30d	CHMP2B	CHMP2.5|DKFZP564O123|DMT1|VPS2-2|VPS2B	chromatin modifying protein 2B	3	25978
hsa-miR-30d	TBC1D10B	DKFZP434P1750|FP2461	TBC1 domain family, member 10B	16	26000
hsa-miR-30d	GLCE	HSEPI|KIAA0836	glucuronic acid epimerase	15	26035
hsa-miR-30d	ANKRD17	FLJ22206|GTAR|KIAA0697|NY-BR-16	ankyrin repeat domain 17	4	26057
hsa-miR-30d	GIGYF2	DKFZp686I15154|DKFZp686J17223|FLJ23368|GYF2|KIAA0642|PERQ2|PERQ3|TNRC15	GRB10 interacting GYF protein 2	2	26058
hsa-miR-30d	EPC2	DKFZP566F2124|EPC-LIKE	enhancer of polycomb homolog 2 (Drosophila)	2	26122
hsa-miR-30d	GMEB2	KIAA1269|P79PIF|PIF79	glucocorticoid modulatory element binding protein 2	20	26205
hsa-miR-30d	PTPN18	BDP1	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	2	26469
hsa-miR-30d	GCNT2	CCAT|GCNT2C|GCNT5|IGNT|II|MGC163396|NACGT1|NAGCT1|ULG3|bA360O19.2|bA421M1.1	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	6	2651
hsa-miR-30d	GDNF	ATF1|ATF2|HFB1-GDNF	glial cell derived neurotrophic factor	5	2668
hsa-miR-30d	GLDC	GCE|GCSP|HYGN1|MGC138198|MGC138200|NKH	glycine dehydrogenase (decarboxylating)	9	2731
