Rank	Parametric p-value	FDR	Geom mean of intensities in Controls	Geom mean of intensities 1.25 Gy	Geom mean of intensities 3.75 Gy	Unique id	Description	Gene symbol
762	0.0000735	0.0019006	223.0428931	158.8658755	129.3784842	A_23_P5339	Homo sapiens transmembrane protein 177 (TMEM177), mRNA [NM_030577]	TMEM177
763	0.0000738	0.0019058	88.729643	63.3154268	37.5320917	A_32_P50066	Homo sapiens microtubule-associated protein 9 (MAP9), mRNA [NM_001039580]	MAP9
764	0.000074	0.0019085	100.837543	75.4374582	55.6856125	A_23_P426279	PEBP_MOUSE (P70296) Phosphatidylethanolamine-binding protein (PEBP) (HCNPpp) [Contains: Hippocampal cholinergic neurostimulating peptide (HCNP)], complete [THC2651548]	THC2651548
765	0.0000741	0.0019086	356.037369	255.5172796	234.5643922	A_23_P33511	Sequence 47 from Patent WO0220754. [AX721087]	AX721087
766	0.0000742	0.0019087	455.8827472	675.9058181	828.2868728	A_23_P77859	Homo sapiens transmembrane protein 88 (TMEM88), mRNA [NM_203411]	TMEM88
767	0.0000746	0.0019165	16.1585008	26.2014378	32.9176789	A_24_P52921	Homo sapiens branched chain aminotransferase 1, cytosolic (BCAT1), mRNA [NM_005504]	BCAT1
768	0.0000752	0.0019268	784.220553	1145.998413	1276.425293	A_24_P211351	CSL-type zinc finger-containing protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9H4G8] [ENST00000370395]	ENST00000370395
769	0.0000752	0.0019268	4747.219692	6544.832343	7580.363579	A_23_P106629	Homo sapiens immunoglobulin superfamily, member 6 (IGSF6), mRNA [NM_005849]	IGSF6
770	0.0000753	0.0019269	170.1758493	116.6034593	106.5251117	A_32_P2161	Homo sapiens cDNA FLJ12978 fis, clone NT2RP2006321. [AK023040]	AK023040
771	0.0000756	0.0019321	248.2417719	135.2137433	144.9983636	A_23_P130753	Homo sapiens D site of albumin promoter (albumin D-box) binding protein (DBP), mRNA [NM_001352]	DBP
772	0.0000758	0.0019347	1620.394706	893.3291167	680.877489	A_23_P56703	Homo sapiens cDNA FLJ46467 fis, clone THYMU3022668. [AK128325]	ENST00000335459
773	0.0000768	0.0019577	94.7413771	47.8425698	59.8164795	A_23_P419213	Homo sapiens KIAA1407 (KIAA1407), mRNA [NM_020817]	KIAA1407
774	0.0000777	0.001978	3615.589612	5825.676027	5375.641275	A_23_P32253	Homo sapiens nuclear factor, interleukin 3 regulated (NFIL3), mRNA [NM_005384]	NFIL3
775	0.0000783	0.0019856	26.3852479	46.6063419	49.5139147	A_24_P160969	Homo sapiens tumor protein p53 inducible protein 11 (TP53I11), mRNA [NM_001076787]	TP53I11
776	0.0000783	0.0019856	209.8061978	130.9806976	117.2210644	A_32_P159989	Protein CXorf42. [Source:Uniprot/SWISSPROT;Acc:Q8N9T2] [ENST00000371386]	ENST00000371386
777	0.0000784	0.0019856	111.6732589	82.8175769	63.2944484	A_24_P535219	PHD finger protein 10 (XAP135). [Source:Uniprot/SWISSPROT;Acc:Q8WUB8] [ENST00000341591]	ENST00000341591
778	0.0000784	0.0019856	4353.10562	2891.934813	2070.785352	A_23_P37685	Homo sapiens chromosome 16 open reading frame 30 (C16orf30), mRNA [NM_024600]	C16orf30
779	0.0000795	0.0020109	232.3044324	150.2764015	127.949068	A_32_P154121	Unknown	THC2740111
780	0.0000801	0.0020234	1758.335489	2982.751712	2837.168623	A_24_P172481	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	TRIM22
781	0.000081	0.0020435	801.1866125	1107.959168	1205.192892	A_24_P348989	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1 (LILRA1), mRNA [NM_006863]	LILRA1
782	0.0000811	0.0020435	229.9144912	384.1019083	365.425383	A_32_P224094	Human zinc finger protein (ZNF143) mRNA, complete cds. [U09850]	ZNF143
783	0.0000813	0.0020459	9524.084491	6637.919508	5160.745501	A_23_P258504	Homo sapiens T cell receptor alpha locus, mRNA (cDNA clone MGC:71411 IMAGE:4853814), complete cds. [BC063385]	TRA@
784	0.0000821	0.0020634	119.8899357	76.40057	72.9650859	A_23_P422305	Homo sapiens cDNA FLJ37976 fis, clone CTONG2010148. [AK095295]	SFXN4
785	0.0000827	0.0020758	288.1743231	477.4448438	434.021221	A_23_P150281	Homo sapiens tumor protein p53 inducible protein 11 (TP53I11), mRNA [NM_001076787]	TP53I11
786	0.000083	0.0020807	799.251714	1218.226649	946.9059125	A_23_P406986	Homo sapiens motile sperm domain containing 2 (MOSPD2), mRNA [NM_152581]	MOSPD2
787	0.0000839	0.0021006	2102.900046	2894.039802	3461.019687	A_23_P217447	Homo sapiens lysosomal-associated membrane protein 2 (LAMP2), transcript variant LAMP2A, mRNA [NM_002294]	LAMP2
788	0.0000842	0.0021054	389.4482049	572.9120113	614.1953126	A_32_P101844	PREDICTED: Homo sapiens similar to nuclear receptor binding factor 2 (LOC649551), mRNA [XR_019214]	LOC649551
789	0.0000858	0.0021425	740.0507601	805.646884	1223.126351	A_32_P23810	ALU4_HUMAN (P39191) Alu subfamily SB2 sequence contamination warning entry, partial (40%) [THC2543854]	THC2543854
790	0.0000859	0.0021425	521.8111698	588.9281058	928.3108954	A_23_P133142	Homo sapiens alpha-kinase 1 (ALPK1), mRNA [NM_025144]	ALPK1
791	0.0000868	0.0021565	34.933648	30.3784169	17.5792048	A_24_P942112	Homo sapiens polymerase (RNA) I polypeptide B, 128kDa (POLR1B), mRNA [NM_019014]	POLR1B
792	0.0000869	0.0021565	955.6029836	769.9285547	583.5159881	A_32_P8120	Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 1, mRNA [NM_014366]	GNL3
793	0.0000869	0.0021565	924.5716511	1388.884316	1440.63555	A_24_P239578	Homo sapiens Src-like-adaptor (SLA), transcript variant 1, mRNA [NM_001045556]	SLA
794	0.0000869	0.0021565	163.9798544	95.3502616	79.7103843	A_32_P119604	Unknown	THC2706736
795	0.0000872	0.002161	2587.825031	2261.054813	1076.079644	A_23_P209954	Homo sapiens granulysin (GNLY), transcript variant NKG5, mRNA [NM_006433]	GNLY
796	0.0000873	0.002161	322.831415	191.926616	126.85449	A_23_P252155	Homo sapiens spermatid perinuclear RNA binding protein (STRBP), mRNA [NM_018387]	STRBP
797	0.0000881	0.0021781	21.2735829	40.0220354	63.6841849	A_23_P153958	Unknown	THC2651501
798	0.0000891	0.0021967	523.1958534	763.2815037	772.2266574	A_24_P765784	Homo sapiens cDNA FLJ33108 fis, clone TRACH2000974, weakly similar to Transcription factor TFII-I. [AK057670]	GTF2I
799	0.0000892	0.0021967	62.7392931	35.5585454	29.5967574	A_23_P79482	Homo sapiens chimerin (chimaerin) 1 (CHN1), transcript variant 1, mRNA [NM_001822]	CHN1
800	0.0000893	0.0021967	222.9613207	148.6097472	119.7120642	A_23_P138686	Homo sapiens N-myristoyltransferase 2 (NMT2), mRNA [NM_004808]	NMT2
801	0.0000893	0.0021967	426.4537649	340.1417087	232.9759535	A_23_P73972	Homo sapiens glutathione peroxidase 7 (GPX7), mRNA [NM_015696]	GPX7
802	0.0000906	0.0022259	111.4926524	136.7733318	190.7911835	A_24_P83944	Homo sapiens zinc finger protein 586 (ZNF586), transcript variant 1, mRNA [NM_017652]	ZNF586
803	0.0000909	0.0022277	728.0218455	898.3576451	1313.762726	A_23_P400847	Homo sapiens iduronate 2-sulfatase (Hunter syndrome) (IDS), transcript variant 1, mRNA [NM_000202]	IDS
804	0.0000909	0.0022277	49.3704753	29.4996821	22.9813514	A_24_P68294	Homo sapiens hypothetical protein FLJ32549, mRNA (cDNA clone MGC:39839 IMAGE:5312126), complete cds. [BC036246]	FLJ32549
805	0.0000913	0.0022348	1258.811668	2082.76555	3041.676475	A_23_P91390	Homo sapiens thrombomodulin (THBD), mRNA [NM_000361]	THBD
806	0.0000917	0.0022418	355.4327427	311.1513873	205.1449277	A_23_P128663	Homo sapiens spastic ataxia of Charlevoix-Saguenay (sacsin) (SACS), mRNA [NM_014363]	SACS
807	0.0000922	0.0022484	125.8901024	71.8229557	48.5992933	A_24_P50738	Homo sapiens clone B2E9D5H myosin-reactive immunoglobulin heavy chain variable region mRNA, partial cds. [AF035020]	AF035020
808	0.0000922	0.0022484	790.9487458	1074.443555	1301.360801	A_24_P333019	Homo sapiens ring finger protein 24 (RNF24), mRNA [NM_007219]	RNF24
809	0.0000925	0.0022529	4351.669614	3737.519799	2438.73121	A_23_P148308	Homo sapiens RNA binding motif (RNP1, RRM) protein 3 (RBM3), transcript variant 2, mRNA [NM_001017430]	RBM3
810	0.0000935	0.0022745	106.6945579	157.3239114	165.4915442	A_23_P397671	Homo sapiens complement component (3b/4b) receptor 1 (Knops blood group) (CR1), transcript variant S, mRNA [NM_000651]	CR1
811	0.0000939	0.0022814	509.8681681	667.2867749	714.5861117	A_24_P110273	PREDICTED: Homo sapiens hypothetical LOC647195 (LOC647195), mRNA [XR_019590]	LOC647195
812	0.0000952	0.0023101	213.8276097	154.67895	116.3883344	A_32_P71113	Q25GJ8_MACFA (Q25GJ8) Brain cDNA, clone: QflA-22015, complete [THC2508355]	THC2508355
813	0.0000961	0.0023291	45.792142	18.1162651	16.9128196	A_32_P88958	Homo sapiens InaD-like (Drosophila) (INADL), mRNA [NM_176877]	INADL
814	0.0000963	0.0023306	261.1819341	157.6891702	130.586858	A_24_P249824	Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 (DYRK2), transcript variant 2, mRNA [NM_006482]	DYRK2
815	0.0000964	0.0023306	188.4851965	157.7874831	116.8035133	A_23_P16022	Homo sapiens zinc finger protein 256 (ZNF256), mRNA [NM_005773]	ZNF256
816	0.0000969	0.0023394	676.1725847	505.1873639	414.4690869	A_32_P80068	Homo sapiens C-type lectin domain family 2, member D (CLEC2D), transcript variant 2, mRNA [NM_001004419]	CLEC2D
817	0.000097	0.0023394	324.2380008	243.7126242	171.0398722	A_23_P207811	Homo sapiens poly(A) binding protein interacting protein 1 (PAIP1), transcript variant 1, mRNA [NM_006451]	PAIP1
818	0.0000973	0.0023433	183.5395288	107.1367502	84.0069476	A_24_P362931	Homo sapiens solute carrier family 4, sodium bicarbonate cotransporter, member 7 (SLC4A7), mRNA [NM_003615]	SLC4A7
819	0.0000974	0.0023433	35.5873611	28.2462845	21.2847512	A_23_P77201	Homo sapiens chromosome 15 open reading frame 41 (C15orf41), mRNA [NM_032499]	C15orf41
820	0.0000977	0.0023477	443.3819943	325.4907932	234.5392164	A_23_P135634	Homo sapiens NRAGE mRNA, complete cds. [AF217963]	MAGED1
821	0.0000984	0.0023587	17545.80576	23285.22274	28016.91041	A_24_P324465	Homo sapiens histone cluster 2, H3, pseudogene 2 (HIST2H3PS2), mRNA [NM_001025303]	HIST2H3PS2
822	0.0000984	0.0023587	82.7057451	59.1305713	35.4490004	A_32_P69849	Homo sapiens NGFRAP1-like 1 (NGFRAP1L1), mRNA [NM_001012978]	NGFRAP1L1
823	0.0000995	0.0023807	20.8986974	29.4216164	41.248774	A_23_P122508	Homo sapiens diffuse panbronchiolitis critical region 1 (DPCR1), mRNA [NM_080870]	DPCR1
824	0.0000996	0.0023807	320.5286329	478.5458317	470.0750342	A_24_P170025	Unknown	A_24_P170025
825	0.0000998	0.0023807	39.0868448	55.1954312	24.6150068	A_24_P943566	Homo sapiens mRNA for KIAA1733 protein, partial cds. [AB051520]	PHACTR1
826	0.0000998	0.0023807	46.2480616	34.3813791	21.8990978	A_24_P921122	Homo sapiens TXK tyrosine kinase (TXK), mRNA [NM_003328]	TXK
827	0.0001001	0.002385	683.8516324	902.9091985	1118.90059	A_23_P76573	Homo sapiens ADP-ribosylation factor-like 11 (ARL11), mRNA [NM_138450]	ARL11
828	0.0001004	0.0023892	445.7019205	299.8933698	218.155367	A_23_P14165	Homo sapiens G protein-coupled receptor 18 (GPR18), mRNA [NM_005292]	GPR18
829	0.0001014	0.0024101	3148.828414	4978.882124	5079.256719	A_23_P361584	Homo sapiens transmembrane protein 154 (TMEM154), mRNA [NM_152680]	TMEM154
830	0.0001016	0.002412	226.8291403	348.833757	360.7440677	A_24_P116805	Homo sapiens signal transducer and activator of transcription 3 (acute-phase response factor) (STAT3), transcript variant 3, mRNA [NM_213662]	STAT3
831	0.0001018	0.0024127	1560.279551	1081.330341	781.0389705	A_23_P64898	Homo sapiens killer cell lectin-like receptor subfamily G, member 1 (KLRG1), mRNA [NM_005810]	KLRG1
832	0.0001019	0.0024127	109.4497147	78.0037755	75.1271038	A_23_P170491	Homo sapiens TRAF interacting protein (TRAIP), mRNA [NM_005879]	TRAIP
833	0.000102	0.0024127	316.4434818	498.5959043	464.1809148	A_32_P10396	Homo sapiens WD repeat and FYVE domain containing 3 (WDFY3), transcript variant 1, mRNA [NM_014991]	WDFY3
834	0.0001023	0.0024169	77.870475	111.7564339	194.5344838	A_23_P112004	Homo sapiens leucine rich repeat containing 6 (LRRC6), mRNA [NM_012472]	LRRC6
835	0.0001029	0.0024242	3620.728256	4458.604763	5126.2107	A_23_P45475	Homo sapiens galactosidase, alpha (GLA), mRNA [NM_000169]	GLA
836	0.0001029	0.0024242	15941.73741	22868.44999	28220.33445	A_23_P208516	Homo sapiens leukocyte receptor cluster (LRC) member 4 (LENG4), mRNA [NM_024298]	LENG4
837	0.0001031	0.0024242	232.5566792	194.1802963	316.5364901	A_23_P26994	Homo sapiens guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 (GNGT2), mRNA [NM_031498]	GNGT2
838	0.0001031	0.0024242	206.9650908	241.24534	311.7036894	A_24_P318897	Homo sapiens sorting nexin family member 21 (SNX21), transcript variant 4, mRNA [NM_001042633]	SNX21
839	0.0001042	0.0024442	281.4256013	219.3626954	130.2744204	A_23_P61487	Homo sapiens leucine rich repeat containing 20 (LRRC20), transcript variant 3, mRNA [NM_018205]	LRRC20
840	0.0001042	0.0024442	13.061521	29.9327645	21.3579582	A_23_P28397	Unknown	A_23_P28397
841	0.0001044	0.0024454	1738.490765	2417.360569	2522.30742	A_23_P76969	Homo sapiens signal-induced proliferation-associated 1 like 1 (SIPA1L1), mRNA [NM_015556]	SIPA1L1
842	0.0001045	0.0024454	176.0678508	115.9634376	63.5881184	A_23_P155815	Homo sapiens non-SMC condensin I complex, subunit G (NCAPG), mRNA [NM_022346]	NCAPG
843	0.0001048	0.0024496	1065.344076	1389.256147	1587.606195	A_23_P165007	Homo sapiens RAS guanyl releasing protein 4 (RASGRP4), transcript variant 1, mRNA [NM_170603]	RASGRP4
844	0.0001055	0.002463	2005.447959	2895.914257	3349.875024	A_23_P27781	Homo sapiens leukocyte immunoglobulin-like receptor pseudogene 2 (LILRP2) on chromosome 19 [NR_003061]	LILRP2
845	0.0001061	0.0024741	90.0160685	142.2546722	143.3310516	A_24_P381455	Homo sapiens damage-regulated autophagy modulator (DRAM), mRNA [NM_018370]	DRAM
846	0.0001068	0.0024875	2835.085347	2143.844603	1471.414706	A_23_P130836	Homo sapiens granzyme M (lymphocyte met-ase 1) (GZMM), mRNA [NM_005317]	GZMM
847	0.0001071	0.0024915	89.2785454	56.9681562	25.9790485	A_23_P354705	Homo sapiens ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 (ST8SIA1), mRNA [NM_003034]	ST8SIA1
848	0.0001088	0.0025281	2835.274533	3591.662274	5403.012231	A_23_P21072	Homo sapiens PP4748 mRNA, complete cds. [AF258583]	RAB24
849	0.0001093	0.0025367	355.3805802	510.690069	545.0372092	A_23_P90172	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 15A (PPP1R15A), mRNA [NM_014330]	PPP1R15A
850	0.0001101	0.0025492	74.003559	49.04071	38.0433424	A_32_P6408	Homo sapiens mRNA; cDNA DKFZp547K054 (from clone DKFZp547K054). [AL390175]	DKFZp547K054
851	0.0001101	0.0025492	293.805511	145.947062	146.2671455	A_32_P160615	HUMBCAA Br-cadherin {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (13%) [THC2513403]	THC2513403
852	0.0001105	0.0025555	960.1361361	1160.891181	1557.030999	A_23_P212089	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta (NFKBIZ), transcript variant 1, mRNA [NM_031419]	NFKBIZ
853	0.0001109	0.0025588	1413.57152	2039.03801	2309.884349	A_24_P337058	Homo sapiens cyclin L1 (CCNL1), mRNA [NM_020307]	CCNL1
854	0.0001109	0.0025588	161.4682696	230.7902027	392.5681762	A_23_P430818	Homo sapiens galectin-related protein (HSPC159), mRNA [NM_014181]	HSPC159
855	0.0001112	0.0025627	1820.107663	2046.568403	2762.970973	A_23_P119835	Homo sapiens NLR family, CARD domain containing 4 (NLRC4), mRNA [NM_021209]	NLRC4
856	0.0001116	0.0025682	21.8381137	14.1377297	26.3683947	A_23_P16252	Homo sapiens kallikrein 1 (KLK1), mRNA [NM_002257]	KLK1
857	0.0001117	0.0025682	92.6542459	60.9486822	51.4411808	A_32_P122891	Homo sapiens cDNA FLJ34844 fis, clone NT2NE2011154, highly similar to Homo sapiens mRNA for TIP49. [AK092163]	AK092163
858	0.0001124	0.0025813	549.792923	1000.669965	817.8847605	A_23_P4096	Homo sapiens carbonic anhydrase IV (CA4), mRNA [NM_000717]	CA4
859	0.0001134	0.0026012	5570.813436	8790.700073	10282.57306	A_23_P110212	Homo sapiens acyl-CoA synthetase long-chain family member 1 (ACSL1), mRNA [NM_001995]	ACSL1
860	0.0001138	0.0026036	157.8848977	105.3970744	104.4308929	A_24_P365753	Homo sapiens mRNA; cDNA DKFZp686B1195 (from clone DKFZp686B1195). [BX537594]	CXorf42
861	0.0001138	0.0026036	632.2422717	1026.349735	796.8537401	A_23_P148768	Homo sapiens coagulation factor V (proaccelerin, labile factor) (F5), mRNA [NM_000130]	F5
862	0.0001139	0.0026036	1447.806438	1009.544134	835.9546876	A_23_P418031	Novel protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q5TF58] [ENST00000355609]	ENST00000355609
863	0.0001152	0.0026295	652.9372627	402.8069477	311.3597219	A_23_P115792	Homo sapiens pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1 (PLEKHA1), transcript variant 2, mRNA [NM_001001974]	PLEKHA1
864	0.0001153	0.0026295	745.8802491	937.2287789	1337.598521	A_32_P212058	Homo sapiens chromosome 3 open reading frame 34 (C3orf34), mRNA [NM_032898]	C3orf34
865	0.000116	0.0026408	1852.24286	972.7054827	1635.019403	A_23_P21882	Unknown	A_23_P21882
866	0.0001162	0.0026408	1136.709096	1598.667572	1674.556542	A_23_P30069	Homo sapiens cDNA FLJ13681 fis, clone PLACE2000014, weakly similar to HYPOTHETICAL HELICASE C28H8.3 IN CHROMOSOME III. [AK023743]	FLJ31033
867	0.0001162	0.0026408	137.2548312	101.2941263	75.4088452	A_32_P104746	Homo sapiens zinc finger, FYVE domain containing 28 (ZFYVE28), mRNA [NM_020972]	ZFYVE28
868	0.0001166	0.0026461	82.5877889	53.4656039	44.1676764	A_32_P874898	T-cell receptor beta chain C region. [Source:Uniprot/SWISSPROT;Acc:P01850] [ENST00000356506]	ENST00000356506
869	0.0001167	0.0026461	63.7642565	50.3540143	34.3963381	A_23_P25873	Homo sapiens WD repeat and HMG-box DNA binding protein 1 (WDHD1), transcript variant 1, mRNA [NM_007086]	WDHD1
870	0.000117	0.0026491	3956.285942	5437.314984	6470.148956	A_23_P17345	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian) (MAFB), mRNA [NM_005461]	MAFB
871	0.0001171	0.0026491	2695.877669	1713.871981	1482.165503	A_23_P98173	Homo sapiens protein tyrosine phosphatase, receptor type, C-associated protein (PTPRCAP), mRNA [NM_005608]	PTPRCAP
872	0.0001173	0.0026505	44.6380448	37.1330805	23.7080117	A_23_P167818	Homo sapiens chromosome 6 open reading frame 60 (C6orf60), mRNA [NM_024581]	C6orf60
873	0.0001177	0.0026535	231.9044374	617.8440422	493.9017096	A_23_P145965	Homo sapiens tyrosylprotein sulfotransferase 1 (TPST1), mRNA [NM_003596]	TPST1
874	0.0001177	0.0026535	864.5772456	1201.68479	1105.57416	A_23_P78209	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) (MAFG), transcript variant 1, mRNA [NM_002359]	MAFG
875	0.0001188	0.0026714	165.3146377	101.427444	72.7999754	A_23_P14853	Homo sapiens leukocyte tyrosine kinase (LTK), transcript variant 1, mRNA [NM_002344]	LTK
876	0.0001188	0.0026714	226.219101	154.7286593	137.0796247	A_32_P827528	Unknown	THC2507152
877	0.0001189	0.0026714	487.6920273	531.7763638	877.1512247	A_23_P209006	Homo sapiens insulin-like 3 (Leydig cell) (INSL3), mRNA [NM_005543]	INSL3
878	0.0001196	0.0026841	113.7626405	78.1279299	76.143992	A_24_P238046	Homo sapiens cDNA FLJ13314 fis, clone OVARC1001506, highly similar to POLYCYSTIN PRECURSOR. [AK023376]	AK023376
879	0.0001198	0.0026855	2195.141039	3257.150586	2874.671167	A_24_P166094	Homo sapiens ADP-ribosylation factor interacting protein 1 (arfaptin 1) (ARFIP1), transcript variant 1, mRNA [NM_001025595]	ARFIP1
880	0.0001203	0.0026936	21.6444706	43.12416	31.2602824	A_23_P121234	Unknown	A_23_P121234
881	0.0001208	0.0026987	1709.94609	2257.34136	2709.685358	A_23_P217258	Homo sapiens cytochrome b-245, beta polypeptide (chronic granulomatous disease) (CYBB), mRNA [NM_000397]	CYBB
882	0.0001208	0.0026987	5091.33473	6701.961974	10561.70605	A_23_P114903	Homo sapiens heat shock 70kDa protein 6 (HSP70B) (HSPA6), mRNA [NM_002155]	HSPA6
883	0.0001214	0.002709	446.5809579	602.824225	682.1256202	A_23_P64743	Homo sapiens serine/threonine kinase 38 like (STK38L), mRNA [NM_015000]	STK38L
884	0.0001221	0.0027216	101.1196826	62.7691643	57.0051404	A_23_P315789	Homo sapiens regulatory factor X-associated protein (RFXAP), mRNA [NM_000538]	RFXAP
885	0.0001224	0.0027243	81.0243602	38.1525989	33.8729307	A_32_P64016	Homo sapiens RUN domain containing 2C (RUNDC2C) on chromosome 16 [NR_002939]	RUNDC2C
886	0.0001225	0.0027243	1774.767439	2654.442823	2445.571408	A_23_P209636	Homo sapiens CDC42 effector protein (Rho GTPase binding) 3 (CDC42EP3), mRNA [NM_006449]	CDC42EP3
887	0.0001229	0.0027301	146.4981625	107.3196192	87.5611724	A_23_P329133	Human mitochondrial aspartate aminotransferase mRNA, complete cds. [M22632]	GOT2
888	0.0001244	0.0027603	126.513285	81.7475228	75.2673428	A_32_P169179	Homo sapiens msh homeobox 2 pseudogene (MSX2P) on chromosome 17 [NR_002307]	MSX2P
889	0.0001253	0.0027772	6618.939896	9880.506727	10697.43492	A_32_P30898	AA593970 nn01c05.s1 NCI_CGAP_Co9 Homo sapiens cDNA clone IMAGE:1076456 3, mRNA sequence [AA593970]	AA593970
890	0.0001259	0.0027873	900.7680663	1330.611836	1490.414486	A_23_P71433	Homo sapiens ubiquitin-conjugating enzyme E2W (putative) (UBE2W), transcript variant 1, mRNA [NM_001001481]	UBE2W
891	0.0001262	0.0027908	103.5123233	158.5050623	173.3856511	A_23_P3169	Homo sapiens guanosine monophosphate reductase 2 (GMPR2), transcript variant 2, mRNA [NM_001002000]	GMPR2
892	0.0001266	0.0027956	111.2786837	104.4678411	71.2912091	A_23_P331908	Homo sapiens cDNA FLJ40559 fis, clone THYMU2002910. [AK097878]	PRDM11
893	0.0001267	0.0027956	182.8462985	220.492661	241.4104317	A_24_P256093	Unknown	A_24_P256093
894	0.0001273	0.0028048	444.6645672	341.0624359	262.1190918	A_32_P114246	Homo sapiens ubiquitin specific peptidase 47 (USP47), mRNA [NM_017944]	USP47
895	0.0001274	0.0028048	353.3440599	449.4867389	256.9946032	A_23_P259611	Homo sapiens thioredoxin domain containing 3 (spermatozoa) (TXNDC3), mRNA [NM_016616]	TXNDC3
896	0.0001278	0.0028105	418.0960366	474.0528317	236.3664116	A_23_P138541	Homo sapiens aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II) (AKR1C3), mRNA [NM_003739]	AKR1C3
897	0.000129	0.0028327	1609.475326	2081.584222	2688.33028	A_32_P194779	Homo sapiens mRNA for KIAA1993 protein. [AB082524]	ZBTB34
898	0.0001291	0.0028327	137.4505906	185.7286473	247.5124637	A_23_P147826	Homo sapiens RAP2C, member of RAS oncogene family (RAP2C), mRNA [NM_021183]	RAP2C
899	0.0001295	0.0028374	122.5837132	90.4567022	73.5750613	A_23_P216396	Homo sapiens exosome component 2 (EXOSC2), mRNA [NM_014285]	EXOSC2
900	0.0001296	0.0028374	947.9945293	1357.204001	1448.64879	A_32_P224666	Homo sapiens capping protein (actin filament) muscle Z-line, alpha 2 (CAPZA2), mRNA [NM_006136]	CAPZA2
901	0.0001303	0.0028495	113.5619488	72.3990584	46.1803022	A_23_P63789	Homo sapiens ZW10 interactor (ZWINT), transcript variant 4, mRNA [NM_001005414]	ZWINT
902	0.0001306	0.0028498	682.2254925	459.8677901	263.5893048	A_24_P751074	Homo sapiens v-ets erythroblastosis virus E26 oncogene homolog 1 (avian) (ETS1), mRNA [NM_005238]	ETS1
903	0.0001306	0.0028498	28.4303803	33.3569577	47.5322813	A_24_P233406	Unknown	THC2733540
904	0.0001308	0.002851	2657.289276	4365.135762	4743.227699	A_23_P55649	Homo sapiens formyl peptide receptor-like 1 (FPRL1), transcript variant 1, mRNA [NM_001462]	FPRL1
905	0.0001315	0.0028631	58.4974864	87.7659724	116.0126243	A_24_P140621	Homo sapiens cyclin J-like (CCNJL), mRNA [NM_024565]	CCNJL
906	0.0001325	0.0028817	7485.515588	7402.625093	11448.33573	A_24_P183128	Homo sapiens placenta-specific 8 (PLAC8), mRNA [NM_016619]	PLAC8
907	0.0001332	0.0028937	8.2634217	10.5240196	17.4633701	A_23_P108180	Homo sapiens glutamate receptor, ionotropic, N-methyl-D-aspartate 3B (GRIN3B), mRNA [NM_138690]	GRIN3B
908	0.0001345	0.0029187	198.9424761	141.0801123	123.6482829	A_24_P302574	Homo sapiens O-sialoglycoprotein endopeptidase-like 1 (OSGEPL1), mRNA [NM_022353]	OSGEPL1
909	0.0001357	0.0029415	261.5886946	156.2311867	129.5520269	A_23_P89062	C16orf67 protein. [Source:Uniprot/SPTREMBL;Acc:Q9BW88] [ENST00000254109]	ENST00000254109
910	0.0001361	0.0029469	551.5614819	325.3182138	261.8359262	A_32_P122136	Homo sapiens cDNA FLJ33034 fis, clone THYMU2000236. [AK057596]	LOC150759
911	0.0001365	0.0029524	127.5671756	72.4654865	62.9983201	A_24_P944049	Homo sapiens mRNA for KIAA0582 protein, partial cds. [AB011154]	CEP68
912	0.0001378	0.0029772	4280.225923	3014.898353	1805.551622	A_23_P202520	Homo sapiens actin binding LIM protein 1 (ABLIM1), transcript variant 3, mRNA [NM_001003408]	ABLIM1
913	0.0001383	0.0029847	167.1883754	120.6341902	119.605402	A_23_P25019	Homo sapiens primase, polypeptide 1, 49kDa (PRIM1), mRNA [NM_000946]	PRIM1
914	0.0001386	0.0029879	3087.897808	2451.93193	2036.822562	A_32_P49423	Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1), transcript variant 3, mRNA [NM_001037738]	NPM1
915	0.0001404	0.0030234	80.8310963	54.3580234	64.0740988	A_32_P141708	BM091097 ig22c10.y1 Human Fetal Pancreas 1B Homo sapiens cDNA 5, mRNA sequence [BM091097]	THC2659348
916	0.0001406	0.0030244	425.3425184	398.3448172	788.3842636	A_23_P146284	Homo sapiens squalene epoxidase (SQLE), mRNA [NM_003129]	SQLE
