P-value	FDR	Fold-change (Slug/Neo Control)	Probe set	Gene symbol	Description
0.0002129	0.0005372	2.08	228667_at	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)
3.98E-05	0.0001887	2.075	202014_at	PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A
0.0006094	0.0011432	2.073	205347_s_at	TMSB15A	thymosin beta 15a
0.0005606	0.0010733	2.072	239474_at	NA	NA
4.30E-05	0.0001945	2.067	201825_s_at	SCCPDH	saccharopine dehydrogenase (putative)
0.0004235	0.0008713	2.064	210151_s_at	DYRK3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3
0.0004617	0.0009271	2.062	210619_s_at	HYAL1	hyaluronoglucosaminidase 1
0.0001319	0.0003878	2.062	232341_x_at	HABP4	hyaluronan binding protein 4
0.000304	0.0006915	2.055	1556346_at	NA	NA
0.000223	0.0005559	2.054	202973_x_at	FAM13A	family with sequence similarity 13, member A
0.0004213	0.0008691	2.041	209602_s_at	GATA3	GATA binding protein 3
8.86E-05	0.0003063	2.039	219061_s_at	LAGE3	L antigen family, member 3
0.0007895	0.0013979	2.031	1554127_s_at	MSRB3	methionine sulfoxide reductase B3
0.0003716	0.0007941	2.027	230264_s_at	AP1S2	adaptor-related protein complex 1, sigma 2 subunit
0.000597	0.0011264	2.021	1552287_s_at	AFG3L1	AFG3 ATPase family gene 3-like 1 (S. cerevisiae)
0.00033	0.0007294	2.021	37028_at	PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A
0.0005671	0.001083	2.018	236167_at	NA	NA
7.22E-05	0.0002698	2.018	225355_at	NEURL1B	neuralized homolog 1B (Drosophila)
0.0003909	0.0008237	2.007	1553960_at	SNX21	sorting nexin family member 21
0.0003749	0.0008004	2.007	207264_at	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
0.0002045	0.0005207	0.499	204879_at	PDPN	podoplanin
0.0002675	0.0006307	0.497	218204_s_at	FYCO1	FYVE and coiled-coil domain containing 1
8.62E-05	0.0003022	0.496	225726_s_at	PLEKHH1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
0.0007987	0.0014075	0.496	238461_at	EIF4E3	eukaryotic translation initiation factor 4E family member 3
0.000554	0.0010642	0.496	203962_s_at	NEBL	nebulette
0.0007581	0.0013561	0.496	235542_at	TET3	tet oncogene family member 3
0.000448	0.0009076	0.494	226313_at	C10orf35	chromosome 10 open reading frame 35
0.0003118	0.0007028	0.494	219625_s_at	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
0.0004962	0.0009856	0.494	1554246_at	C1orf210	chromosome 1 open reading frame 210
0.0009701	0.0016296	0.491	239309_at	DLX6	distal-less homeobox 6
0.0006377	0.0011799	0.491	239412_at	IRF5	interferon regulatory factor 5
0.0003121	0.0007028	0.489	1554894_a_at	PCBD2	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2
0.0001303	0.0003841	0.489	238451_at	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
0.0009084	0.0015558	0.488	225299_at	MYO5B	myosin VB
0.0007881	0.0013965	0.488	235165_at	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)
0.0001159	0.0003595	0.486	223466_x_at	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
8.83E-05	0.0003062	0.482	221636_s_at	MOSC2	MOCO sulphurase C-terminal domain containing 2
0.0007847	0.0013915	0.481	202342_s_at	TRIM2	tripartite motif-containing 2
0.0002339	0.0005786	0.48	201200_at	CREG1	cellular repressor of E1A-stimulated genes 1
0.0004454	0.0009048	0.48	1556773_at	NA	NA
0.000853	0.0014801	0.48	227404_s_at	EGR1	early growth response 1
0.0004223	0.0008704	0.479	205770_at	GSR	glutathione reductase
0.0001089	0.0003439	0.479	239273_s_at	MMP28	matrix metallopeptidase 28
7.80E-05	0.0002843	0.479	213260_at	FOXC1	forkhead box C1
2.80E-05	0.0001599	0.479	1553055_a_at	SLFN5	schlafen family member 5
0.0001694	0.0004522	0.478	203021_at	SLPI	secretory leukocyte peptidase inhibitor
5.69E-05	0.0002314	0.478	219527_at	MOSC2	MOCO sulphurase C-terminal domain containing 2
0.0006617	0.0012173	0.478	223232_s_at	CGN	cingulin
0.0001031	0.0003321	0.478	212686_at	PPM1H	protein phosphatase 1H (PP2C domain containing)
0.0004239	0.0008713	0.477	222587_s_at	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
0.0002639	0.0006281	0.476	204922_at	C11orf80	chromosome 11 open reading frame 80
6.08E-05	0.0002416	0.476	229377_at	GRTP1	growth hormone regulated TBC protein 1
4.31E-05	0.0001945	0.476	209885_at	RHOD	ras homolog gene family, member D
0.0001084	0.0003428	0.475	218510_x_at	FAM134B	family with sequence similarity 134, member B
5.23E-05	0.0002206	0.474	41660_at	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)
0.0005554	0.001066	0.474	209980_s_at	SHMT1	serine hydroxymethyltransferase 1 (soluble)
0.0008976	0.0015422	0.474	242726_at	NA	NA
0.0004639	0.0009299	0.473	227875_at	KLHL13	kelch-like 13 (Drosophila)
0.0006999	0.0012743	0.473	235026_at	C12orf66	chromosome 12 open reading frame 66
0.0009919	0.0016612	0.473	239653_at	NA	NA
9.76E-05	0.0003217	0.472	244665_at	NA	NA
0.0002634	0.0006276	0.472	209385_s_at	PROSC	proline synthetase co-transcribed homolog (bacterial)
0.0002964	0.0006817	0.472	215724_at	PLD1	phospholipase D1, phosphatidylcholine-specific
0.0001273	0.0003777	0.471	202409_at	IGF2	insulin-like growth factor 2 (somatomedin A)
0.0001189	0.0003653	0.471	240354_at	C12orf54	chromosome 12 open reading frame 54
0.0001017	0.0003294	0.47	205678_at	AP3B2	adaptor-related protein complex 3, beta 2 subunit
6.89E-05	0.0002609	0.47	222269_at	APOOL	apolipoprotein O-like
6.68E-05	0.0002577	0.469	218657_at	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1
0.0008512	0.0014793	0.468	214040_s_at	GSN	gelsolin (amyloidosis, Finnish type)
5.69E-05	0.0002314	0.467	204636_at	COL17A1	collagen, type XVII, alpha 1
0.0001135	0.0003554	0.467	1569201_a_at	NA	NA
0.0003789	0.0008059	0.466	211367_s_at	CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)
0.0008122	0.0014258	0.465	212339_at	EPB41L1	erythrocyte membrane protein band 4.1-like 1
0.0001211	0.000367	0.465	223183_at	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
0.0002362	0.0005833	0.464	208165_s_at	PRSS16	protease, serine, 16 (thymus)
0.0003282	0.0007261	0.464	200766_at	CTSD	cathepsin D
0.0009957	0.0016664	0.463	216969_s_at	KIF22	kinesin family member 22
0.0003152	0.0007084	0.462	213912_at	TBC1D30	TBC1 domain family, member 30
2.59E-05	0.0001529	0.462	1556194_a_at	NA	NA
0.0001739	0.0004626	0.461	226622_at	MUC20	mucin 20, cell surface associated
0.0005036	0.0009971	0.46	235684_s_at	SESN3	sestrin 3
0.0007415	0.0013316	0.46	206300_s_at	PTHLH	parathyroid hormone-like hormone
0.0009233	0.0015733	0.46	228338_at	LOC120376	Uncharacterized protein LOC120376
0.0001989	0.0005087	0.46	213618_at	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
3.90E-05	0.0001868	0.46	226789_at	LOC647121	embigin homolog (mouse) pseudogene
0.0001578	0.0004327	0.46	226213_at	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
0.0007687	0.0013707	0.459	230788_at	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)
0.0005804	0.0011018	0.459	242055_at	NA	NA
0.000752	0.0013484	0.458	1555812_a_at	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
2.20E-06	5.78E-05	0.458	204475_at	MMP1	matrix metallopeptidase 1 (interstitial collagenase)
0.0002906	0.0006705	0.458	228220_at	FCHO2	FCH domain only 2
0.0005115	0.0010092	0.457	220266_s_at	KLF4	Kruppel-like factor 4 (gut)
1.83E-05	0.0001277	0.457	227346_at	IKZF1	IKAROS family zinc finger 1 (Ikaros)
0.000946	0.0016058	0.457	218792_s_at	BSPRY	B-box and SPRY domain containing
3.01E-05	0.0001672	0.457	206023_at	NMU	neuromedin U
0.0002493	0.0006074	0.456	217924_at	C6orf106	chromosome 6 open reading frame 106
9.02E-05	0.0003095	0.455	225407_at	MBP	myelin basic protein
5.01E-05	0.0002149	0.455	223194_s_at	SLC22A23	solute carrier family 22, member 23
0.0005409	0.0010471	0.454	215386_at	NA	NA
0.0004269	0.0008751	0.454	225412_at	TMEM87B	transmembrane protein 87B
5.06E-05	0.0002163	0.453	229296_at	LOC100128501	hypothetical protein LOC100128501
3.53E-05	0.0001774	0.453	224164_at	TPM3	tropomyosin 3
0.0003804	0.0008068	0.453	213849_s_at	PPP2R2B	protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isoform
0.0001366	0.0003965	0.453	201566_x_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
3.30E-06	6.60E-05	0.452	227475_at	FOXQ1	forkhead box Q1
0.0003035	0.0006915	0.452	217974_at	TM7SF3	transmembrane 7 superfamily member 3
1.80E-06	5.65E-05	0.451	202744_at	SLC20A2	solute carrier family 20 (phosphate transporter), member 2
0.000267	0.0006302	0.451	203726_s_at	LAMA3	laminin, alpha 3
0.0001672	0.0004469	0.451	216782_at	NA	NA
0.000489	0.0009733	0.451	219764_at	FZD10	frizzled homolog 10 (Drosophila)
0.0005686	0.001084	0.451	1558404_at	LOC644242	hypothetical protein LOC644242
0.0001399	0.0004014	0.45	207414_s_at	PCSK6	proprotein convertase subtilisin/kexin type 6
1.42E-05	0.000113	0.449	224840_at	FKBP5	FK506 binding protein 5
0.0002755	0.0006435	0.449	219985_at	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
8.58E-05	0.0003017	0.448	207076_s_at	ASS1	argininosuccinate synthetase 1
0.0002228	0.0005559	0.447	213340_s_at	KIAA0495	KIAA0495
0.0001988	0.0005087	0.447	217744_s_at	PERP	PERP, TP53 apoptosis effector
0.0001387	0.0003995	0.447	235112_at	NA	NA
9.15E-05	0.0003106	0.446	213900_at	C9orf61	chromosome 9 open reading frame 61
6.31E-05	0.0002473	0.446	201691_s_at	TPD52	tumor protein D52
3.52E-05	0.0001774	0.446	223092_at	ANKH	ankylosis, progressive homolog (mouse)
0.0004128	0.0008551	0.444	230193_at	WDR66	WD repeat domain 66
2.67E-05	0.0001554	0.444	203837_at	MAP3K5	mitogen-activated protein kinase kinase kinase 5
0.0001446	0.0004084	0.444	232017_at	TJP2	tight junction protein 2 (zona occludens 2)
3.91E-05	0.0001869	0.444	230406_at	NA	NA
4.30E-05	0.0001945	0.444	202436_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1
0.0002822	0.0006564	0.443	242417_at	PLEKHA7	pleckstrin homology domain containing, family A member 7
0.0001912	0.0004975	0.443	226113_at	ZNF436	zinc finger protein 436
2.16E-05	0.0001391	0.443	203964_at	NMI	N-myc (and STAT) interactor
9.10E-06	9.35E-05	0.443	202085_at	TJP2	tight junction protein 2 (zona occludens 2)
8.90E-06	9.27E-05	0.443	222477_s_at	TM7SF3	transmembrane 7 superfamily member 3
1.20E-05	0.0001036	0.442	212964_at	HIC2	hypermethylated in cancer 2
0.0003846	0.000815	0.441	223182_s_at	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
7.59E-05	0.0002795	0.441	218776_s_at	TMEM62	transmembrane protein 62
6.61E-05	0.0002563	0.439	225619_at	SLAIN1	SLAIN motif family, member 1
4.98E-05	0.0002145	0.439	203143_s_at	KIAA0040	KIAA0040
0.0009234	0.0015733	0.439	1553989_a_at	ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2
0.0001751	0.0004647	0.439	225440_at	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
0.000129	0.0003813	0.439	212240_s_at	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (alpha)
0.0001058	0.0003374	0.438	232406_at	NA	NA
0.0009866	0.0016536	0.438	230493_at	SHISA2	shisa homolog 2 (Xenopus laevis)
3.09E-05	0.0001676	0.437	201900_s_at	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)
0.0003235	0.0007213	0.436	207382_at	TP63	tumor protein p63
0.0002203	0.000553	0.436	1560800_at	NA	NA
0.000113	0.0003549	0.435	203855_at	WDR47	WD repeat domain 47
0.0004017	0.0008402	0.435	220038_at	SGK3	serum/glucocorticoid regulated kinase family, member 3
4.32E-05	0.0001946	0.435	233487_s_at	LRRC8A	leucine rich repeat containing 8 family, member A
7.40E-05	0.0002743	0.434	221610_s_at	STAP2	signal transducing adaptor family member 2
0.0005319	0.0010341	0.434	238673_at	SAMD12	sterile alpha motif domain containing 12
1.06E-05	9.90E-05	0.434	218677_at	S100A14	S100 calcium binding protein A14
0.0002535	0.000611	0.434	230769_at	DENND2C	DENN/MADD domain containing 2C
9.80E-06	9.43E-05	0.434	214058_at	MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)
0.0001545	0.0004297	0.433	218035_s_at	RBM47	RNA binding motif protein 47
2.70E-05	0.0001559	0.432	226803_at	CHMP4C	chromatin modifying protein 4C
0.0006218	0.001159	0.432	216488_s_at	ATP11A	ATPase, class VI, type 11A
0.0007189	0.0013003	0.432	212128_s_at	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)
3.11E-05	0.0001676	0.432	220225_at	IRX4	iroquois homeobox 4
0.000628	0.0011667	0.432	210237_at	ARTN	artemin
0.0002937	0.0006762	0.431	1559607_s_at	GBP6	guanylate binding protein family, member 6
0.0002977	0.0006827	0.431	205455_at	MST1R	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
9.34E-05	0.0003143	0.43	205109_s_at	ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4
0.000909	0.0015558	0.43	223500_at	CPLX1	complexin 1
0.0001152	0.0003588	0.429	1562226_at	VWDE	von Willebrand factor D and EGF domains
4.54E-05	0.0002001	0.429	208908_s_at	CAST	calpastatin
9.23E-05	0.0003122	0.428	225133_at	KLF3	Kruppel-like factor 3 (basic)
4.06E-05	0.0001895	0.428	235141_at	MARVELD2	MARVEL domain containing 2
0.0004356	0.0008897	0.428	223094_s_at	ANKH	ankylosis, progressive homolog (mouse)
4.07E-05	0.0001895	0.428	242354_at	NA	NA
0.0002298	0.0005697	0.427	204667_at	FOXA1	forkhead box A1
3.12E-05	0.0001676	0.427	220354_at	hCG_1774568	similar to hCG1774568
0.0001157	0.0003595	0.427	212719_at	PHLPP	PH domain and leucine rich repeat protein phosphatase
4.27E-05	0.0001945	0.427	209748_at	SPAST	spastin
4.08E-05	0.0001895	0.426	212812_at	NA	NA
3.80E-05	0.0001836	0.425	238455_at	NA	NA
0.000438	0.000893	0.425	220285_at	FAM108B1	family with sequence similarity 108, member B1
0.0001654	0.0004431	0.425	204573_at	CROT	carnitine O-octanoyltransferase
3.25E-05	0.0001705	0.425	1556518_at	NA	NA
4.05E-05	0.0001895	0.424	243256_at	MKNK1	MAP kinase interacting serine/threonine kinase 1
0.0001405	0.0004016	0.424	226499_at	NRARP	NOTCH-regulated ankyrin repeat protein
0.0001828	0.0004817	0.424	206582_s_at	GPR56	G protein-coupled receptor 56
0.0001266	0.0003761	0.423	228575_at	IL20RB	interleukin 20 receptor beta
0.0003572	0.000773	0.423	204967_at	SHROOM2	shroom family member 2
0.0001173	0.0003613	0.422	1552477_a_at	IRF6	interferon regulatory factor 6
0.0001417	0.0004045	0.422	222603_at	ERMP1	endoplasmic reticulum metallopeptidase 1
1.08E-05	9.98E-05	0.422	203509_at	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing
2.08E-05	0.0001359	0.422	218802_at	CCDC109B	coiled-coil domain containing 109B
0.0003893	0.0008211	0.422	1559425_at	NA	NA
0.0009665	0.0016259	0.421	203210_s_at	RFC5	replication factor C (activator 1) 5, 36.5kDa
0.0008999	0.0015449	0.42	212974_at	DENND3	DENN/MADD domain containing 3
0.0002501	0.0006074	0.42	243000_at	CDK6	cyclin-dependent kinase 6
0.0007084	0.0012838	0.42	201009_s_at	TXNIP	thioredoxin interacting protein
9.50E-05	0.0003168	0.42	207030_s_at	CSRP2	cysteine and glycine-rich protein 2
5.04E-05	0.0002158	0.42	202761_s_at	SYNE2	spectrin repeat containing, nuclear envelope 2
0.000626	0.0011649	0.419	234331_s_at	FAM84A	family with sequence similarity 84, member A
0.0001636	0.0004398	0.418	206099_at	PRKCH	protein kinase C, eta
2.25E-05	0.0001414	0.417	228894_at	LOC253842	hypothetical protein LOC253842
0.0003457	0.0007542	0.417	202435_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1
6.70E-06	8.10E-05	0.416	219211_at	USP18	ubiquitin specific peptidase 18
3.80E-05	0.0001836	0.415	205560_at	PCSK5	proprotein convertase subtilisin/kexin type 5
0.0003021	0.0006906	0.415	205968_at	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3
0.0002754	0.0006435	0.414	236381_s_at	WDR8	WD repeat domain 8
5.49E-05	0.0002273	0.414	215023_s_at	PEX1	peroxisomal biogenesis factor 1
1.33E-05	0.0001106	0.414	235068_at	ZDHHC21	zinc finger, DHHC-type containing 21
0.0001344	0.0003926	0.414	232081_at	NA	NA
0.0007541	0.00135	0.413	231950_at	ZNF658	zinc finger protein 658
4.04E-05	0.0001895	0.412	236009_at	NA	NA
0.0003315	0.0007312	0.412	238320_at	NCRNA00084	non-protein coding RNA 84
0.0003338	0.0007351	0.412	225354_s_at	SH3BGRL2	SH3 domain binding glutamic acid-rich protein like 2
0.0005034	0.0009971	0.411	207675_x_at	ARTN	artemin
0.0002735	0.0006415	0.41	235092_at	NA	NA
0.0003199	0.0007174	0.41	209631_s_at	GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)
0.0003758	0.0008016	0.41	210372_s_at	TPD52L1	tumor protein D52-like 1
1.90E-06	5.65E-05	0.41	201764_at	TMEM106C	transmembrane protein 106C
0.0001619	0.0004394	0.41	207949_s_at	ICA1	islet cell autoantigen 1, 69kDa
0.0009611	0.0016211	0.409	233924_s_at	EXOC6	exocyst complex component 6
0.0006961	0.0012693	0.407	216918_s_at	DST	dystonin
0.0003112	0.0007028	0.406	206683_at	ZNF165	zinc finger protein 165
0.0001003	0.0003277	0.406	216258_s_at	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13
7.14E-05	0.0002685	0.406	236279_at	NA	NA
0.000163	0.0004398	0.405	224097_s_at	F11R	F11 receptor
0.0003645	0.0007834	0.405	223632_s_at	BCAN	brevican
3.22E-05	0.0001702	0.405	218499_at	RP6-213H19.1	serine/threonine protein kinase MST4
0.0001792	0.0004744	0.404	228653_at	SAMD5	sterile alpha motif domain containing 5
1.72E-05	0.0001227	0.404	235583_at	ILDR1	immunoglobulin-like domain containing receptor 1
1.21E-05	0.0001036	0.404	219476_at	C1orf116	chromosome 1 open reading frame 116
0.0003712	0.000794	0.403	206515_at	CYP4F3	cytochrome P450, family 4, subfamily F, polypeptide 3
9.41E-05	0.000316	0.403	200965_s_at	ABLIM1	actin binding LIM protein 1
0.0006032	0.0011335	0.402	243862_at	NA	NA
6.12E-05	0.0002423	0.401	212599_at	AUTS2	autism susceptibility candidate 2
0.0004657	0.0009318	0.401	1565863_at	NA	NA
0.0001625	0.0004398	0.401	225009_at	CMTM4	CKLF-like MARVEL transmembrane domain containing 4
0.0006721	0.0012325	0.401	200946_x_at	GLUD1	glutamate dehydrogenase 1
3.95E-05	0.000188	0.401	225846_at	RBM35A	RNA binding motif protein 35A
4.24E-05	0.0001945	0.4	212560_at	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing
0.0006107	0.0011432	0.4	219115_s_at	IL20RA	interleukin 20 receptor, alpha
2.49E-05	0.0001493	0.4	226597_at	REEP6	receptor accessory protein 6
0.0001376	0.0003977	0.4	205286_at	TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)
0.0001427	0.0004064	0.399	224460_s_at	L2HGDH	L-2-hydroxyglutarate dehydrogenase
0.0004496	0.0009093	0.399	231257_at	TCERG1L	transcription elongation regulator 1-like
0.0007967	0.0014058	0.398	228010_at	PPP2R2C	protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform
0.0002135	0.0005382	0.398	238599_at	IRAK1BP1	interleukin-1 receptor-associated kinase 1 binding protein 1
0.0009678	0.0016269	0.398	225123_at	NA	NA
0.0007784	0.0013836	0.398	210480_s_at	MYO6	myosin VI
0.0002208	0.000553	0.398	227642_at	TFCP2L1	transcription factor CP2-like 1
0.0001667	0.000446	0.398	219265_at	MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)
0.0005803	0.0011018	0.397	226226_at	TMEM45B	transmembrane protein 45B
2.89E-05	0.0001634	0.396	208792_s_at	CLU	clusterin
9.02E-05	0.0003095	0.396	1555765_a_at	GNG4	guanine nucleotide binding protein (G protein), gamma 4
2.50E-06	6.21E-05	0.396	231916_at	EXOSC6	exosome component 6
3.00E-07	3.57E-05	0.396	218706_s_at	GRAMD3	GRAM domain containing 3
0.0001925	0.0004994	0.395	242899_at	NA	NA
5.29E-05	0.0002223	0.395	206600_s_at	SLC16A5	solute carrier family 16, member 5 (monocarboxylic acid transporter 6)
0.0001461	0.0004114	0.395	214045_at	LIAS	lipoic acid synthetase
4.58E-05	0.0002011	0.394	220262_s_at	DLK2	delta-like 2 homolog (Drosophila)
0.0001217	0.0003679	0.393	215723_s_at	PLD1	phospholipase D1, phosphatidylcholine-specific
0.0003314	0.0007312	0.393	201565_s_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
0.0004965	0.0009856	0.392	213075_at	OLFML2A	olfactomedin-like 2A
0.0003882	0.0008195	0.392	209212_s_at	KLF5	Kruppel-like factor 5 (intestinal)
7.43E-05	0.0002749	0.392	226907_at	PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C
5.77E-05	0.0002338	0.391	208791_at	CLU	clusterin
4.72E-05	0.0002048	0.391	243278_at	FOXP2	forkhead box P2
0.0003416	0.0007462	0.391	208937_s_at	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
6.00E-07	4.84E-05	0.391	204971_at	CSTA	cystatin A (stefin A)
0.000602	0.0011333	0.391	211776_s_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3
3.03E-05	0.0001675	0.39	235075_at	DSG3	desmoglein 3 (pemphigus vulgaris antigen)
3.56E-05	0.0001777	0.39	220520_s_at	NUP62CL	nucleoporin 62kDa C-terminal like
0.0001012	0.0003288	0.39	235201_at	FOXP2	forkhead box P2
0.0002264	0.0005631	0.39	223574_x_at	PPP2R2C	protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform
0.0006129	0.0011462	0.39	227379_at	MBOAT1	membrane bound O-acyltransferase domain containing 1
1.52E-05	0.0001177	0.389	238689_at	GPR110	G protein-coupled receptor 110
0.0002825	0.0006565	0.389	226489_at	TMCC3	transmembrane and coiled-coil domain family 3
0.0004236	0.0008713	0.389	239945_at	NA	NA
0.0001634	0.0004398	0.387	214434_at	HSPA12A	heat shock 70kDa protein 12A
4.61E-05	0.000202	0.387	238593_at	C11orf80	chromosome 11 open reading frame 80
0.0004057	0.0008454	0.386	213996_at	YPEL1	yippee-like 1 (Drosophila)
4.05E-05	0.0001895	0.384	219481_at	TTC13	tetratricopeptide repeat domain 13
0.0007754	0.0013794	0.384	235050_at	SLC2A12	solute carrier family 2 (facilitated glucose transporter), member 12
1.38E-05	0.000111	0.384	239132_at	NOS1	nitric oxide synthase 1 (neuronal)
0.0001319	0.0003878	0.383	203126_at	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2
9.25E-05	0.0003122	0.383	233634_at	MARVELD3	MARVEL domain containing 3
0.0004006	0.0008387	0.383	227228_s_at	CCDC88C	coiled-coil domain containing 88C
4.60E-06	7.04E-05	0.383	202421_at	IGSF3	immunoglobulin superfamily, member 3
0.0008373	0.0014596	0.382	205724_at	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)
0.000335	0.0007358	0.382	224221_s_at	VAV3	vav 3 guanine nucleotide exchange factor
0.0003698	0.0007918	0.381	227032_at	PLXNA2	plexin A2
1.72E-05	0.0001227	0.38	202454_s_at	ERBB3	v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)
0.000572	0.0010886	0.38	231727_s_at	MIF4GD	MIF4G domain containing
7.00E-06	8.24E-05	0.38	204224_s_at	GCH1	GTP cyclohydrolase 1
0.0003389	0.0007418	0.38	226114_at	ZNF436	zinc finger protein 436
8.43E-05	0.0002992	0.38	36499_at	CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)
3.90E-06	6.75E-05	0.38	229764_at	TPRG1	tumor protein p63 regulated 1
0.0003582	0.000773	0.38	204199_at	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
2.57E-05	0.0001525	0.379	233198_at	GOLGA2L1	golgi autoantigen, golgin subfamily a, 2-like 1
0.0003099	0.0007007	0.379	222496_s_at	RBM47	RNA binding motif protein 47
3.00E-06	6.40E-05	0.379	225618_at	ARHGAP27	Rho GTPase activating protein 27
0.0001447	0.0004084	0.379	210547_x_at	ICA1	islet cell autoantigen 1, 69kDa
0.0007086	0.0012838	0.379	225611_at	MAST4	microtubule associated serine/threonine kinase family member 4
4.70E-06	7.04E-05	0.378	223245_at	STRBP	spermatid perinuclear RNA binding protein
0.000107	0.0003393	0.377	1555716_a_at	CXADR	coxsackie virus and adenovirus receptor
1.37E-05	0.000111	0.377	202831_at	GPX2	glutathione peroxidase 2 (gastrointestinal)
7.70E-06	8.41E-05	0.377	209596_at	MXRA5	matrix-remodelling associated 5
0.0001906	0.0004965	0.376	207549_x_at	CD46	CD46 molecule, complement regulatory protein
5.71E-05	0.0002318	0.376	1438_at	EPHB3	EPH receptor B3
2.86E-05	0.0001621	0.376	218692_at	GOLSYN	Golgi-localized protein
0.0002439	0.0005981	0.375	210145_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)
0.0009764	0.0016389	0.375	212681_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3
8.27E-05	0.0002973	0.375	235146_at	TMCC3	transmembrane and coiled-coil domain family 3
6.70E-06	8.10E-05	0.375	224650_at	MAL2	mal, T-cell differentiation protein 2
0.0003583	0.000773	0.374	219344_at	SLC29A3	solute carrier family 29 (nucleoside transporters), member 3
0.0007183	0.0013003	0.374	227863_at	CTSD	cathepsin D
9.06E-05	0.0003099	0.374	1569114_at	NA	NA
0.0002843	0.0006593	0.373	219676_at	ZSCAN16	zinc finger and SCAN domain containing 16
8.67E-05	0.000303	0.373	1554544_a_at	MBP	myelin basic protein
0.000411	0.0008525	0.372	244353_s_at	SLC2A12	solute carrier family 2 (facilitated glucose transporter), member 12
4.25E-05	0.0001945	0.372	218764_at	PRKCH	protein kinase C, eta
0.0001249	0.0003721	0.372	211806_s_at	KCNJ15	potassium inwardly-rectifying channel, subfamily J, member 15
0.0001519	0.0004253	0.371	225436_at	FAM108C1	family with sequence similarity 108, member C1
