Probe Set	Accession	Gene Symbol	FC:(D vs L)	pfp	Increase	Decrease
221730_at	NM_000393	COL5A2	"83,603"	"0,0011"	5	0
229218_at	AA628535	COL1A2	"84,169"	"0,0013"	5	0
216442_x_at	AK026737	FN1	"96,642"	"0,0006"	5	0
210495_x_at	AF130095	FN1	"9,895"	"0,0006"	5	0
212464_s_at	X02761	FN1	"105,108"	0	5	0
202310_s_at	K01228	COL1A1	"108,295"	0	4	0
204619_s_at	BF590263	CSPG2	"110,285"	0	4	0
221729_at	AL575735	COL5A2	"112,716"	0	5	0
213909_at	AU147799	LRRC15	"117,882"	0	4	0
229802_at	AA147884	WISP1	"123,532"	0	4	0
211719_x_at	BC005858	FN1	"125,355"	0	5	0
202311_s_at	AI743621	COL1A1	"12,951"	0	5	0
201852_x_at	AI813758	COL3A1	"137,334"	0	4	0
215076_s_at	AU144167	COL3A1	"138,233"	0	5	0
211161_s_at	AF130082	COL3A1	"14,933"	0	5	0
202404_s_at	NM_000089	COL1A2	"183,294"	0	5	0
225681_at	AA584310	CTHRC1	"184,965"	0	5	0
219087_at	NM_017680	ASPN	"232,815"	0	5	0
"FC, fold change for the specified comparison by rank products analysis; pfp, percentage of false positivities in rank products analysis; Increase – Decrease, count of changes more than 4 (out of 5) was used for parwise comparisons between tumour and normal cells."						
						

Supplementary Table 6. Differentially expressed probe sets between lobular carcinoma (Tlob) and normal lobular (L) cells found by both rank products and pairwise analysis.						
						
Probe Set	Accession	Gene Symbol	FC:(Tlob/ normal lobular)	pfp	Increase	Decrease
204455_at	NM_001723	DST	"-221,729"	0	0	5
209351_at	BC002690	KRT14	"-218,818"	0	0	5
229947_at	AI088609	PI15	"-185,185"	0	0	5
204712_at	NM_007191	WIF1	"-178,571"	0	0	4
201820_at	NM_000424	KRT5	"-112,613"	0	0	5
209292_at	AL022726	ID4	"-107,991"	0	0	5
202833_s_at	NM_000295	SERPINA1	"-102,987"	0	0	4
214087_s_at	BF593509	MYBPC1	"-100,705"	0	0	4
205157_s_at	NM_000422	KRT17	"-990,099"	0	0	5
227742_at	AI638295	CLIC6	"-934,579"	0	0	5
209301_at	M36532	CA2	"-919,118"	0	0	4
243140_at	AI917901	ACTA2	"-869,565"	0	0	5
211429_s_at	AF119873	SERPINA1	"-863,558"	0	0	4
202037_s_at	NM_003012	SFRP1	"-847,458"	0	0	4
212730_at	AK026420	DMN	"-720,981"	"0,0033"	0	5
202342_s_at	NM_015271	TRIM2	"-711,238"	"0,0033"	0	5
206509_at	NM_002652	PIP	"-701,262"	"0,0025"	0	4
212236_x_at	Z19574	KRT17	"-698,812"	"0,0035"	0	5
203951_at	NM_001299	CNN1	"-693,481"	"0,0037"	0	5
229357_at	BF060767	ADAMTS5	"-664,011"	"0,0081"	1	4
204734_at	NM_002275	KRT15	"-636,132"	"0,0039"	0	4
201131_s_at	NM_004360	CDH1	"-62,461"	"0,0036"	0	4
205044_at	NM_014211	GABRP	"-616,523"	"0,0032"	1	4
224823_at	AA526844	MYLK	"-594,884"	"0,0117"	0	4
242374_at	AA747563	HIAT1	"-590,319"	"0,0135"	0	4
225817_at	AB051536	CGNL1	"-588,235"	"0,0139"	0	4
220625_s_at	AF115403	ELF5	"-587,889"	"0,0061"	0	5
205358_at	NM_000826	GRIA2	"-57,241"	"0,0024"	1	4
205413_at	NM_001584	MPPED2	"-559,284"	"0,0116"	0	4
206825_at	NM_000916	OXTR	"-546,448"	"0,0142"	0	5
226147_s_at	AA838075	PIGR	"-539,665"	"0,0136"	0	4
203881_s_at	NM_004010	DMD	"-535,045"	"0,0113"	0	4
223412_at	AL136782	KBTBD7	"-525,486"	"0,0148"	0	4
221795_at	AI346341	NTRK2	"-510,986"	"0,022"	0	5
203438_at	AI435828	STC2	"-50,226"	"0,0135"	0	4
215300_s_at	AK022172	FMO5	"-493,583"	"0,0322"	0	4
1557286_at	AK001007	---	"-489,476"	"0,0187"	0	4
221530_s_at	BE857425	BHLHB3	"-484,262"	"0,0218"	0	5
227194_at	BF106962	FAM3B	"-482,393"	"0,0133"	0	4
201983_s_at	AW157070	EGFR	"-47,824"	"0,0322"	0	5
209270_at	L25541	LAMB3	"-476,417"	"0,0219"	0	5
226753_at	AW138704	FAM76B	"-471,921"	"0,0402"	0	4
227314_at	N95414	ITGA2	"-469,484"	"0,0324"	0	4
218247_s_at	NM_016626	RKHD2	"-466,636"	"0,0365"	0	4
209170_s_at	AF016004	GPM6B	"-465,333"	"0,0348"	0	4
220324_at	NM_024882	C6orf155	"-455,373"	"0,0366"	0	4
1565162_s_at	D16947	MGST1	"-452,694"	"0,0169"	0	4
216918_s_at	AL096710	DST	"-449,236"	"0,0319"	0	5
232528_at	AI338705	UBE2E3	"-448,632"	"0,0432"	1	4
228554_at	AL137566	---	"-448,229"	"0,0329"	0	5
227627_at	AV690866	SGK3	"-447,628"	"0,0321"	0	4
229596_at	AW271617	MGC35366	"-446,828"	"0,0449"	1	4
225297_at	AV715391	CCDC5	"-44,287"	"0,0329"	0	4
203075_at	AW151617	SMAD2	"-437,828"	"0,0405"	0	4
242865_at	AI332638	NPTN	"-43,573"	"0,0493"	1	4
241060_x_at	H37807	TSPAN5	"-433,088"	"0,0325"	0	4
209555_s_at	M98399	CD36	"-432,526"	"0,0132"	1	4
220230_s_at	NM_016229	CYB5R2	"-432,152"	"0,0318"	0	4
230061_at	AW338625	TM4SF18	"-429,738"	"0,0364"	1	4
204004_at	AI336206	PAWR	"-428,449"	"0,0291"	0	4
205380_at	NM_002614	PDZK1	"-422,119"	"0,0112"	0	4
225645_at	AI763378	EHF	"-417,188"	"0,0364"	0	4
226671_at	AI150000	---	"-41,425"	"0,0669"	0	4
213375_s_at	N80918	CG018	"-413,907"	"0,0708"	0	4
226493_at	AI627249	KCTD18	"-412,882"	"0,057"	0	5
217744_s_at	NM_022121	PERP	"-412,371"	"0,0325"	1	4
221958_s_at	AA775681	C1orf139	"-411,692"	"0,0579"	1	4
219850_s_at	NM_012153	EHF	"-4,095"	"0,0238"	0	4
220038_at	NM_013257	SGK3	"-408,497"	"0,017"	0	4
207938_at	NM_015886	PI15	"-407,498"	"0,0329"	0	4
222035_s_at	AI984479	PAPOLA	"-4,07"	"0,065"	1	4
209512_at	BC004331	HSDL2	"-406,835"	"0,0657"	0	4
205073_at	NM_000775	CYP2J2	"-405,351"	"0,057"	0	4
202504_at	NM_012101	TRIM29	"-403,063"	"0,0364"	0	5
200974_at	NM_001613	ACTA2	"-400,641"	"0,0567"	0	5
201496_x_at	S67238	MYH11	"-400,641"	"0,0745"	0	4
227702_at	AA557324	CYP4X1	-4	"0,0327"	0	4
1565666_s_at	AW864944	MUC6	"-39,984"	"0,019"	0	4
204485_s_at	NM_005486	TOM1L1	"-398,089"	"0,0488"	0	4
241387_at	AW276701	PTK2	"-396,197"	"0,0683"	0	4
217014_s_at	AC004522	AZGP1	"-39,604"	"0,0327"	0	5
218102_at	NM_015954	DERA	"-393,856"	"0,0693"	0	4
1557527_at	BU789637	---	"-393,391"	"0,0909"	0	4
202950_at	NM_001889	CRYZ	"-393,082"	"0,0854"	0	4
227764_at	AA227842	MGC52057	"-391,696"	"0,0354"	0	4
207791_s_at	NM_004161	RAB1A	"-386,548"	"0,096"	0	4
222156_x_at	AK022459	CCPG1	"-386,399"	"0,0541"	0	4
228854_at	AI492388	---	"-3,861"	"0,0628"	0	4
214912_at	AK022067	---	"-380,518"	"0,0623"	0	4
233002_at	AB046842	KIAA1622	"-374,953"	"0,0498"	0	4
203439_s_at	BC000658	STC2	"-374,251"	"0,033"	0	4
208703_s_at	BG427393	APLP2	"-373,692"	"0,0914"	0	4
229955_at	AW772096	FBXO3	"-372,995"	"0,0723"	0	4
222829_s_at	BE219979	IL20RA	"-372,162"	"0,0682"	0	5
205509_at	NM_001871	CPB1	"-369,276"	"0,0449"	1	4
228716_at	BG494007	THRB	"-369,004"	"0,0949"	0	4
225426_at	AW195360	PPP6C	"-365,097"	"0,0598"	0	5
218980_at	NM_025135	FHOD3	"-363,769"	"0,0967"	0	4
244267_at	AA237039	LOC401056	"-363,108"	"0,0874"	1	4
209309_at	D90427	AZGP1	"-362,582"	"0,058"	0	5
209369_at	M63310	ANXA3	"-357,015"	"0,0922"	1	4
219255_x_at	NM_018725	IL17RB	"-353,357"	"0,0821"	1	4
222387_s_at	BG476669	VPS35	"-352,113"	"0,0486"	1	4
218184_at	NM_020245	TULP4	"-350,018"	"0,096"	0	4
224361_s_at	AF250309	IL17RB	"-348,068"	"0,0924"	1	4
230364_at	BF940025	CHPT1	"-345,543"	"0,0687"	0	4
204591_at	NM_006614	CHL1	"-344,471"	"0,0893"	0	4
233019_at	AU145061	CNOT7	"-343,053"	"0,0825"	0	5
236538_at	BE219628	GRIA2	"-342,349"	"0,0238"	1	4
225207_at	AV707102	PDK4	"-34,118"	"0,0814"	1	4
212560_at	AV728268	C11orf32	"-339,443"	"0,0973"	0	5
225334_at	AI147621	C10orf32	"-337,952"	"0,0897"	1	4
215096_s_at	AU145746	ESD	"-335,683"	"0,0978"	0	5
206306_at	NM_001036	RYR3	"-330,907"	"0,0839"	0	4
235182_at	AI816793	C20orf82	"-313,578"	"0,0939"	0	4
239348_at	AI285970	USP31	"-304,044"	"0,0846"	0	4
204955_at	NM_006307	SRPX	"22,556"	"0,0921"	4	1
216834_at	S59049	RGS1	"27,752"	"0,0658"	4	1
224791_at	AW513835	DDEF1	"30,101"	"0,0973"	4	1
202988_s_at	NM_002922	RGS1	"31,415"	"0,092"	4	1
204831_at	R59697	CDK8	"32,477"	"0,0805"	4	1
232458_at	AU146808	---	"3,486"	"0,0716"	4	0
211981_at	NM_001845	COL4A1	"35,047"	"0,0504"	4	0
211651_s_at	M20206	LAMB1	"35,562"	"0,0672"	4	1
222018_at	AI992187	NACA /// NACAP1	"36,708"	"0,0709"	4	1
74694_s_at	AA907940	RABEP2	"37,179"	"0,0705"	4	1
231838_at	AK026760	C20orf119	"37,427"	"0,0531"	4	0
212551_at	NM_006366	CAP2	"37,699"	"0,0922"	4	1
224724_at	AL133001	SULF2	"3,844"	"0,0598"	5	0
218308_at	NM_006342	TACC3	"38,524"	"0,0882"	4	0
38241_at	U90548	BTN3A3	"39,002"	"0,0484"	4	0
223122_s_at	AF311912	SFRP2	"39,076"	"0,0617"	4	1
202786_at	NM_013233	STK39	"39,119"	"0,0919"	4	0
214059_at	BE049439	IFI44	"39,179"	"0,0719"	4	0
212522_at	W73272	PDE8A	"39,517"	"0,0749"	4	0
221731_x_at	BF218922	CSPG2	"40,149"	"0,0477"	4	0
204051_s_at	AW089415	SFRP4	"40,162"	"0,0362"	4	1
226695_at	AA775472	PRRX1	"40,237"	"0,05"	5	0
210809_s_at	D13665	POSTN	"40,244"	"0,0472"	5	0
204776_at	NM_003248	THBS4	"40,395"	"0,0604"	4	0
213790_at	W46291	ADAM12	"40,401"	"0,0387"	4	0
201069_at	NM_004530	MMP2	"4,054"	"0,0665"	4	0
209596_at	AF245505	MXRA5	"40,885"	"0,0476"	5	0
219562_at	NM_014353	RAB26	"41,811"	"0,0654"	4	0
201792_at	NM_001129	AEBP1	"41,989"	"0,0468"	4	0
202543_s_at	BC005359	GMFB	"42,362"	"0,0476"	4	0
210114_at	AF039217	INVS	"42,404"	"0,0609"	4	0
218254_s_at	NM_016103	SAR1B	"4,25"	"0,0368"	5	0
211964_at	X05610	COL4A2	"4,277"	"0,0301"	5	0
202664_at	AW058622	WASPIP	"43,563"	"0,0334"	4	0
229732_at	AI417785	HSZFP36	"44,573"	"0,0315"	4	0
201438_at	NM_004369	COL6A3	"44,592"	"0,0319"	5	0
204620_s_at	NM_004385	CSPG2	"44,781"	"0,0258"	4	0
220088_at	NM_001736	C5R1	"44,831"	"0,0205"	4	0
214657_s_at	AU134977	---	"44,862"	"0,043"	5	0
1556821_x_at	H48516	---	"45,092"	"0,0152"	4	0
229723_at	BF591040	TAGAP	"4,511"	"0,0347"	4	0
1555778_a_at	AY140646	POSTN	"45,233"	"0,02"	5	0
203878_s_at	NM_005940	MMP11	"45,908"	"0,0448"	4	0
224967_at	W72338	UGCG	"46,344"	"0,029"	4	0
238436_s_at	AV726376	LOC390980	"46,757"	"0,0258"	4	1
201261_x_at	BC002416	BGN	"48,333"	"0,0164"	4	0
225664_at	AA788946	COL12A1	"48,404"	"0,0282"	4	0
205269_at	AI123251	LCP2	"48,966"	"0,0102"	4	0
212646_at	D42043	RAFTLIN	"50,135"	"0,01"	4	0
229861_at	N66669	LOC440426	"50,695"	"0,0149"	5	0
202589_at	NM_001071	TYMS	"51,161"	"0,0208"	4	0
232165_at	AL137725	EPPK1	"51,858"	"0,0202"	4	0
1556499_s_at	BE221212	COL1A1	"5,336"	"0,0117"	4	0
227300_at	AL521682	LOC338773	"53,881"	"0,0149"	5	0
229218_at	AA628535	COL1A2	"5,499"	"0,0113"	5	0
226777_at	AA147933	ADAM12	"57,243"	"0,01"	5	0
215446_s_at	L16895	LOX	"57,418"	"0,0102"	4	0
219787_s_at	NM_018098	ECT2	"58,072"	"0,0076"	4	0
223121_s_at	AW003584	SFRP2	"58,153"	"0,0087"	4	1
202403_s_at	AA788711	COL1A2	"62,089"	"0,0069"	4	0
209875_s_at	M83248	SPP1	"64,648"	"0,0029"	5	0
203083_at	NM_003247	THBS2	"65,243"	"0,0054"	4	0
226930_at	AI345957	FNDC1	"65,399"	"0,0044"	4	1
215076_s_at	AU144167	COL3A1	"65,671"	"0,0048"	5	0
37892_at	J04177	COL11A1	"66,394"	"0,0047"	4	0
205713_s_at	NM_000095	COMP	"66,758"	"0,003"	4	0
217028_at	AJ224869	CXCR4	"67,206"	"0,0028"	5	0
201852_x_at	AI813758	COL3A1	"69,855"	"0,0029"	5	0
212489_at	AI983428	COL5A1	"70,685"	"0,0031"	4	0
212488_at	N30339	COL5A1	"71,614"	"0,0023"	4	0
213909_at	AU147799	LRRC15	"73,073"	"0,0024"	4	1
210495_x_at	AF130095	FN1	"74,298"	"0,003"	5	0
227539_at	AW298099	GNA13	"75,071"	"0,0028"	4	0
235318_at	AW955612	FBN1	"76,767"	"0,0022"	4	1
212464_s_at	X02761	FN1	"80,165"	"0,0024"	5	0
216442_x_at	AK026737	FN1	"80,492"	"0,0025"	5	0
213905_x_at	AA845258	BGN /// SDCCAG33	"82,684"	"0,002"	5	0
226237_at	AL359062	COL8A1	"84,093"	"0,0026"	4	1
204619_s_at	BF590263	CSPG2	"87,529"	"0,0021"	4	0
217428_s_at	X98568	COL10A1	"88,735"	"0,0028"	4	0
241342_at	BG288115	TMEM65	"90,614"	"0,0023"	5	0
229802_at	AA147884	WISP1	"91,643"	"0,0027"	4	0
221729_at	AL575735	COL5A2	"93,198"	"0,0033"	5	0
1557411_s_at	AK094254	LOC203427	"9,364"	"0,0029"	5	0
211719_x_at	BC005858	FN1	"95,835"	"0,0025"	5	0
211161_s_at	AF130082	COL3A1	"97,744"	"0,0025"	5	0
202310_s_at	K01228	COL1A1	"103,836"	"0,0017"	5	0
213975_s_at	AV711904	LYZ /// LILRB1	"107,604"	0	5	0
202311_s_at	AI743621	COL1A1	"126,839"	0	5	0
219087_at	NM_017680	ASPN	"221,022"	0	5	0
202404_s_at	NM_000089	COL1A2	"304,894"	0	5	0
225681_at	AA584310	CTHRC1	"483,776"	0	5	0
