GID	yorf	NAME	GWEIGHT	155 A	67 A	17 A	218 A	117 A	146 A	148 A	149 A	145 A	203 B	203 A	148 B	152 A	152 B	201 A	202 A	227 A	263 A	90 A	21 A	262 B	30 A	30 B	175 A	125 A	61 A	70 A	141 A	123 A	262 A	151 A	123 B	223 B	217 B	217 A	202 B	263 B	228 B	216 A	216 B	228 A	125 B	90 B	201 B	218 B	145 B	175 B	227 B	67 B	P3 B	61 B	138 A	138 B	39 B	39 A	64 A	64 B	P3 A	155 B	223 A	141 B	146 B	21 B	117 B	17 B	70 B	149 B	151 B
GENE416X	HSI095G06	FCER1A		-0.944	-1.087	-1.111	-1.051	-0.6027	-1.207	-1.302	-1.056	-1.33	-0.6002	-0.7053	-0.7813	-0.2606	-0.3053	-0.2055	-0.615	0.3994	0.2566	-0.4297	-0.2509	-0.02084	-1.349	-0.7959	-0.3405	0.7347	-0.3382	-1.237	-0.7437	-0.6346	0.02435	-0.9152	0.3061	-0.05241	-0.1978	1.976	1.776	0.8716	0.7698	1.182	-0.1839	0.5078	1.247	1.34	0.9342	2.398	1.235	2.838	0.4518	0.982	1.694	1.543	-1.11	-0.2039	-0.2518	-0.5105	-0.8244	-0.4949	1.662	1.797	-0.8233	-0.8914	-0.3013	0.06104	0.3998	-0.466	-0.06199	-0.1349	-0.6584
GENE351X	HSI076D06	C7		-0.841	-0.9888	-1.009	-0.8996	-0.6128	-1.493	-1.245	-1.234	-1.011	-0.06046	-0.01808	-0.9207	0.1962	-0.2708	-0.4362	-0.6776	-0.3763	1.151	-0.6267	-0.4515	1.064	-0.8922	0.8056	-0.9819	-1.053	-0.3574	-0.07245	-0.7547	-0.7618	0.7684	-1.004	-0.3539	-0.6363	-0.5511	0.5763	0.9736	1.917	2.507	2.408	0.1769	0.3203	-0.1273	1.856	-0.5366	0.9358	2.331	2.447	0.8098	1.347	1.084	0.7404	-0.5662	-0.3806	0.4059	-0.3635	-0.4775	0.308	1.739	0.6283	-0.3526	-0.9081	-0.6347	-0.6991	-0.24	-0.7255	-0.5944	-0.2192	-0.07806
GENE32X	HSI149A01	EST		-1.071	-1.049	-0.8585	-0.9465	-0.4845	-1.034	-1.034	-1.146	-0.7822	-0.8474	-1.194	-1.178	-0.2973	-0.06462	-0.9226	-1.325	-0.4255	-0.4604	0.3214	-0.4884	1.554	-0.8557	-0.3969	-0.8129	-0.1146	-0.4448	-0.264	-0.939	-0.001221	-0.5136	-1.215	-0.7632	-0.4764	-0.2858	0.2465	0.09597	2.781	1.302	1.587	0.6941	1.792	-0.2765	0.8439	-0.2825	1.348	2.411	1.529	0.9129	1.233	2.839	1.598	-0.7005	-0.4097	0.979	0.05008	-0.291	-0.4228	0.2189	0.4634	-0.3373	-0.3665	-0.9178	-0.06725	0.5101	-0.1999	0.5307	0.3105	0.8131
GENE72X	HSI066B08	COL14A1		-1.829	-1.705	-1.108	-1.5	-1.007	-1.359	-1.717	-1.339	-1.131	-0.04478	-0.3629	-1.108	-0.5198	0.396	-0.5712	-0.4684	-0.1792	-0.1688	-0.2905	-0.5196	0.678	-1.3	-0.9506	-0.5393	-0.3742	-0.43	0.02611	-0.3274	0.1124	-0.215	-0.9458	-0.4001	-0.09845	-0.5753	-0.3407	-0.06066	2.199	1.432	0.2723	0.2431	1.228	-0.16	0.7904	0.2958	0.6786	2.143	1.668	2.367	1.342	2.312	0.5159	-0.8402	-0.1038	0.8269	-0.492	-0.6223	-0.5183	0.6463	1.114	0.128	0.4751	0.2791	-0.2041	0.3862	-0.1733	0.9637	1.519	1.561
GENE276X	HSI036F11	P2RY5		-0.1027	-1.329	-0.4394	-1.194	-1.555	-1.597	-1.688	-1.244	-1.649	0.8539	0.01908	-0.2181	0.8972	0.7941	-0.6476	-0.1597	0.5473	-0.4082	0.1995	-1.938	0.782	-1.646	-0.3243	1.102	-0.02499	-0.6261	-0.5108	-0.7944	0.1021	-0.7649	-1.07	-0.5922	-0.3651	1.446	0.3029	1.466	2.802	0.8555	0.8894	0.1575	1.464	-0.2048	0.7666	0.844	1.027	2.065	1.37	-0.1162	1.334	1.577	0.4112	-0.9322	-1.155	-0.3837	-1.352	-0.4308	-0.2041	1.368	0.4719	-0.01201	-0.2832	-0.4498	0.5858	0.1537	0.3794	0.07406	-0.5141	-0.1819
GENE415X	HSI087G12	CLIC2		-0.7895	-1.356	-1.095	-1.359	-0.3414	-1.261	-1.562	-1.445	-1.066	0.5906	0.5928	-0.4002	0.1224	0.7592	-0.715	-0.5107	-0.3718	0.3753	-0.04324	-0.7951	-0.473	-0.5053	0.5744	-0.3627	0.3538	-0.6345	-0.7301	-0.6453	-0.202	-0.5631	-1.236	-0.4008	-1.187	1.458	-0.04005	1.001	1.714	0.7617	1.976	1.222	1.581	0.5499	1.112	1.288	0.8385	3.011	1.75	0.7112	1.331	0.8723	-1.416	-0.8693	-0.4128	-1.193	-0.9209	0.7658	-1.226	0.7231	1.156	-0.4383	-0.6491	-0.162	0.6969	0.343	-0.1184	0.1977	0.08934	-1.019
GENE40X	HSI055F07	ZNF537		-1.314	-1.336	-1.311	-0.9699	0.04293	-1.667	-1.823	-2.072	-1.609	-0.9627	-1.208	-0.3132	-0.7244	1.127	-0.7039	-0.1695	-0.1626	-0.3494	0.6649	0.8321	0.6671	-1.302	-0.8469	-0.6925	1.348	-0.5659	-0.6085	-0.3548	-0.2906	-1.603	-0.7458	-0.9361	0.3491	-0.5183	0.5301	-0.8819	1.953	0.4613	0.297	1.581	1.296	-0.06105	0.5397	0.5099	1.458	2.126	1.524	0.4067	0.2023	1.726	1.335	-0.3227	-0.738	0.1026	-0.927	0.00259	0.2948	0.7431	0.4923	-0.05516	0.5096	0.3091	-0.01236	0.9361	1.344	0.7383	0.9734	0.7322
GENE113X	HSI067H02	ASPN		-1.229	-1.795	-1.392	-1.209	-0.9464	-1.534	-1.899	-1.594	-1.729	-0.6996	-0.8096	-1.141	-0.1766	0.7334	0.01599	0.2156	-0.4095	-0.892	1.18	0.3102	0.2531	-1.25	-1.329	0.4969	0.9951	0.4314	0.455	0.07162	-0.3818	-1.165	-0.8788	-0.6675	-0.124	-0.536	0.8452	-0.5037	1.867	-0.2561	-0.8348	1.405	1.07	-0.3674	0.8739	0.3162	1.227	1.675	0.09718	0.655	1.144	1.951	1.728	-0.1749	-0.4685	0.8039	-0.8742	-0.05127	-0.1881	1.165	0.5965	-0.5298	0.8442	0.1493	-0.05775	-0.1624	1.642	1.586	0.7472	0.7081
GENE114X	HSI067F08	C21orf70		-1.294	-1.709	-1.312	-1.162	-0.9964	-1.538	-1.945	-1.46	-1.636	-0.698	-1.054	-1.096	-0.3701	0.6954	-0.1103	-0.0532	-0.4255	-0.9643	1.092	0.2167	0.4123	-1.289	-1.284	0.5317	0.9978	0.3222	0.3534	-0.06374	-0.3282	-1.208	-0.7518	-0.5803	-0.1885	-0.5147	0.6682	-0.6386	1.937	0.06433	-0.7714	1.46	1.109	-0.2556	0.8687	0.1455	1.055	1.787	0.0867	0.9515	1.239	1.99	1.771	-0.2004	-0.4578	0.8698	-0.8112	0.1151	-0.1709	1.106	0.3323	-0.5458	0.8558	0.2321	-0.06821	-0.09305	1.615	1.616	0.8805	0.6682
GENE334X	HSI079E05	OMD		-0.9874	-1.302	-1.116	-1.06	-1.193	-1.301	-1.41	-0.8575	-1.299	-0.6547	-0.2484	-0.4098	-0.2849	0.245	0.08097	-0.212	-0.6283	-0.8242	0.7693	-0.4104	1.306	-1.429	-0.7198	-0.6136	0.1924	-0.3183	-0.7507	-0.8867	-1.163	-0.9677	0.339	-0.966	-0.7503	-0.406	1.09	0.0339	1.24	0.4187	0.5402	1.915	1.778	-0.4248	0.3158	0.539	1.833	1.436	-0.2145	0.5205	1.085	3.223	1.517	-0.5343	-0.5621	-0.02272	-1.144	-0.03233	0.5438	1.1	1.297	-0.3468	0.3651	-0.5755	-0.5533	-0.2343	1.773	1.248	0.4155	0.6533
GENE329X	HSI055A11	ECM2		-0.3043	-1.548	-1.039	-0.9891	-1.183	-1.46	-1.788	-1.666	-1.297	0.1116	-0.2139	-0.2685	-0.1757	0.8006	-0.5697	-0.6356	-0.3481	-0.8597	-0.09696	-0.5164	0.9658	-0.9076	-0.5793	-0.7266	0.3638	-0.7912	-1.27	-0.9913	-0.8511	-0.7099	-1.035	-1.22	-0.08364	-0.6028	-0.1709	0.3141	0.6413	0.3184	0.1942	1.06	1.288	0.3955	-0.1286	1.098	0.3543	2.364	0.2325	1.71	1.162	2.928	1.967	-0.6591	-0.3615	0.5111	-0.1104	0.09106	0.4829	1.147	1.322	-0.6165	0.8074	-0.2803	0.2061	0.1543	2.069	0.8807	0.287	0.8259
GENE305X	HSI106E05	ECM2		-0.6544	-1.269	-1.076	-0.8357	-0.6328	-1.325	-0.7797	-0.8955	-0.909	0.4356	-0.08297	-0.3506	-0.4406	-0.06942	-0.03009	-0.1989	-0.9279	-1.027	-0.07599	0.01154	1.348	-0.677	-0.7825	-0.6434	-0.4778	-0.09853	-0.7793	-0.4176	-1.713	-1.214	-0.834	-0.6084	-1.351	0.00371	0.4474	0.9003	0.4479	0.8137	0.5046	1.363	0.7093	0.908	0.5812	1.701	0.5659	3.094	0.06377	1.594	0.615	2.725	1.78	-1.667	-0.7364	0.3789	-0.8574	-0.1702	0.6192	1.082	1.136	-0.9605	0.5189	-0.3744	-0.2801	-0.8396	1.689	0.02804	0.2584	0.7389
GENE195X	HSI018E09	C8orf57		-0.6424	-1.016	0.3404	-0.8517	-1.263	-0.9532	-1.155	-0.8157	-0.7566	-0.8951	-0.6546	-1.681	-0.8887	-0.6036	0.1554	1.6	0.05295	-0.5216	1.822	-0.7404	-0.1212	-0.9348	-1.572	-0.8454	0.379	-0.733	-0.4407	0.6299	-0.5888	-0.8436	-0.09399	-0.2975	-0.5246	1.164	0.3609	0.5876	0.4823	0.1001	-0.2045	0.7447	1.587	0.7193	2.218	0.6317	0.8137	0.8037	0.2952	-0.6914	0.8595	3.14	2.144	-0.03862	0.6526	-0.6105	-1.487	-0.8522	-1.327	0.7547	-1.052	-0.7761	1.436	-0.358	-0.2647	0.5088	0.5494	0.9985	0.8614	0.7021
GENE250X	HSI018D04	TCF8		-2.057	-2.062	-0.9584	-0.4957	-1.471	-1.241	-1.333	-1.525	-0.7338	-0.3989	-0.0892	-0.8117	-0.8867	0.7302	0.1686	0.4173	-0.2842	-0.3939	0.6587	-0.9894	-0.05529	-1.763	-1.186	-1.008	0.4983	0.01442	-0.2815	-0.6073	-1.001	-0.918	0.1041	0.01312	-0.09406	-0.2174	0.7802	0.5331	1.609	0.9633	-0.006534	0.9126	1.278	0.7642	1.579	1.425	1.377	1.899	0.8279	-0.1374	0.7089	2.286	0.9103	-1.114	-0.331	-0.01711	-1.654	0.2667	0.02599	1.267	-0.3223	0.2933	0.114	-0.02398	-0.5661	-0.03915	1.711	0.954	0.8713	1.113
GENE200X	HSI067G09	EDNRA		-1.943	-2.193	-0.9299	-0.7942	-0.6419	-1.176	-2.04	-1.569	-1.056	-0.609	-0.946	-1.409	-0.8539	0.7409	0.05051	-0.06152	0.5368	-0.2631	0.6642	-0.8124	-0.7319	-1.899	-1.606	0.1329	0.918	-0.4742	-0.2413	0.2195	0.0208	-0.56	0.6146	0.1186	0.9381	-0.05314	0.2423	0.3993	2.604	1.191	0.2979	1.667	1.766	0.4827	0.6612	1.648	1.463	0.66	0.2731	1.651	-0.05068	1.141	0.5751	-0.6851	-0.5839	-0.5753	-1.06	-0.05994	-0.7421	0.1762	0.1863	0.07138	0.3079	-0.2238	0.07521	0.6007	1.239	0.9819	0.6416	0.8839
GENE256X	HSI041D10	C5orf13		-2.767	-1.583	-1.68	-0.6795	-0.2721	0.3219	-2.634	-1.862	-0.3044	0.2097	-0.2433	-1.82	-1.113	-0.3119	0.4488	0.3484	0.8854	-0.1635	0.5744	0.271	0.9394	-1.677	-1.771	-0.4487	0.2201	0.3563	-0.2475	0.3873	-0.8341	-0.4276	-0.3059	-0.08488	0.5438	0.7424	0.7586	0.5594	1.041	0.5109	0.509	1.513	1.366	0.6398	0.7824	1.654	1.362	1.428	0.7028	1.794	0.1935	1.167	1.151	-1.601	-1.267	0.2352	-0.08572	0.06908	0.2979	0.1906	-1.008	-0.2732	0.2813	0.6452	-0.4716	-0.2487	0.05562	0.4566	0.2324	0.3417
GENE410X	HSI055C06	CPA3		-1.3	-0.8769	-0.4963	-0.5947	-0.0346	-1.346	-1.539	-1.541	-1.403	0.02395	0.1189	-0.9605	0.255	0.1003	1.294	1.17	0.4644	0.09438	-0.1639	-1.146	-0.408	-1.249	-0.6703	-0.804	0.6514	-0.4874	-0.01649	-0.9006	-0.8825	0.2318	-0.8739	-0.3743	0.7178	1.246	1.975	1.682	1.307	-0.0716	0.3323	0.1212	0.7855	0.8786	0.5798	2.906	2.27	1.51	0.3162	1.49	1.197	0.7837	0.5336	-1.287	-0.7175	-0.7477	-1.603	-0.8386	-0.7854	-0.436	-0.5355	0.4356	-0.2497	-0.4022	0.1293	1	-1.068	0.9555	-0.2818	-0.464
GENE265X	HSI027E10	CFI		-2.101	-1.973	-1.331	-1.526	-0.9901	-1.318	-1.567	-0.7404	-0.2237	0.5588	0.265	-1.125	-0.8372	0.8101	-0.3721	-0.4129	-0.4104	0.386	0.4611	-1.096	-0.8248	-1.287	-0.01029	-0.4295	0.4297	-0.01483	0.1318	-1.278	-0.3355	-0.8978	-0.8066	0.5931	-0.6327	-0.6127	0.4033	1.568	0.9155	1.259	1.653	1.473	0.8195	1.428	0.3531	1.463	1.552	1.89	2.414	0.5384	0.5574	1.777	0.2163	-0.5714	0.2971	0.7487	-0.7415	0.3227	0.02318	0.5377	1.181	-1.218	-0.8549	-0.6463	-0.2111	-0.167	0.1737	0.3312	-0.09269	0.1245
GENE292X	HSI038E11	CAV1		-2.284	-1.377	-0.9872	-1.04	-0.651	-1.323	-1.918	-1.762	0.1225	-0.07019	-0.1655	-0.8266	-1.061	-0.05888	-0.5191	-1.262	-0.8234	0.229	-0.02776	-0.5671	-0.2481	-0.9812	0.03051	-0.8246	-0.3421	0.1533	-0.4231	-0.4352	-0.5586	-0.8458	-0.5131	0.1706	-0.3319	-0.1781	0.1508	2.005	1.399	1.103	1.664	0.6534	0.1201	1.836	1.063	1.735	1.2	2.835	1.825	1.485	2.103	0.1991	0.4308	-0.4584	1.259	0.2799	-0.1837	-0.2894	-0.3348	0.5285	-0.2426	0.08006	-0.4057	-0.1738	-0.2517	0.3194	-0.06242	-0.0564	-0.07547	-0.03992
GENE163X	HSI040E09	MME		-1.83	-1.119	-2.125	-1.229	-0.6685	-1.67	-1.428	-1.464	-0.3237	0.192	0.02646	-0.3698	-0.7815	-1.405	-0.06546	-0.5318	0.01037	-0.204	0.5929	-0.7807	-0.9727	-0.8816	0.2212	-0.7517	0.7243	-0.5893	-0.6584	-0.332	0.9822	-1.004	-0.795	0.2537	0.3981	-0.5101	0.05706	0.8563	0.9567	0.211	1.205	0.6223	0.4821	1.594	1.527	0.8709	0.9441	3.099	2.288	1.111	1.587	1.284	0.9479	-0.4016	0.7349	0.8324	-0.4346	-0.8456	-0.4763	0.5477	0.3611	-0.8955	-0.9044	-0.3747	-0.7325	0.2926	0.9881	0.3882	0.1708	0.1955
GENE288X	HSI017A05	KIAA2002		-0.8132	-2.357	-1.165	-0.9985	-0.5132	-0.6299	-3.513	-2.257	0.5858	0.2128	-0.335	-1.172	-1.253	-0.1224	-0.257	-0.5774	-1.226	-0.2857	0.5291	-0.5218	-0.06996	-1.702	-0.2835	-0.498	0.3242	0.542	0.2245	-0.5246	-0.678	-0.7911	-0.4151	0.6206	-0.03414	-0.2988	0.3393	0.6991	-0.1867	0.5575	0.9884	1.019	0.3186	1.488	0.7215	1.551	1.568	2.21	0.8893	1.352	1.329	0.5224	0.8625	0.7982	1.122	0.5267	-1.366	0.2044	0.3157	-0.07906	1.122	-0.8856	-0.3066	0.2855	-0.01699	0.4383	0.2624	0.8547	0.4664	0.284
GENE409X	HSI045G12	CXCL12		-2.881	-1.775	-1.047	-1.658	-1.382	-1.097	-1.108	-1.062	-0.1478	0.1113	-0.8018	-0.5052	-0.7365	0.5957	-1.377	-1.26	-1.311	0.004201	0.02339	1.699	0.4214	-0.7024	0.5107	-1.077	0.3362	0.1815	0.653	-0.7606	-1.773	-0.5781	-0.5381	-0.06908	0.9043	-0.6911	0.9453	0.3297	0.2068	0.8757	1.169	0.7952	0.3142	1.42	-0.172	1.187	1.898	1.234	1.571	1.234	0.8924	1.326	0.3094	0.5705	1.137	1.403	-0.2795	0.3379	0.5987	0.05394	0.5187	-1.193	-0.584	-0.1462	-0.09894	-1.003	0.5662	1.127	0.1188	0.2357
GENE242X	HSI153A04	PAPLN		-1.532	-1.526	-2.12	-1.158	-0.7886	-1.442	-1.26	-1.324	0.4578	-0.2107	0.08191	-0.00634	-0.7099	-0.6735	-0.7145	-0.9895	-0.4988	1.619	-0.1127	-0.1289	-0.829	-0.737	0.7658	-0.5504	-0.004132	-0.3855	0.2302	-0.8216	-1.043	-1.308	-0.5912	-0.4646	0.1882	-0.2687	2.366	0.1348	0.9966	2.296	1.522	0.5178	0.7262	1.261	-0.1664	0.1872	1.87	1.899	1.438	1.51	0.8996	0.4714	0.2961	0.8661	1.968	0.578	-0.826	-0.07281	0.7148	0.72	-0.2884	-0.4492	-0.6822	-0.2116	-1.005	-0.5667	-0.3713	0.4464	-0.05997	-0.1285
GENE213X	HSI044D04	FMO1		-1.515	-1.098	-1.705	-1.322	-0.4082	-1.068	-1.592	-1.485	-0.654	-0.5927	-0.564	-0.2914	-0.3985	0.1747	-0.6464	-0.7113	0.1434	-0.2279	-0.1887	1.355	-0.2052	-1.078	0.3874	-0.9119	0.4205	-0.09893	-0.6031	0.1756	-0.813	-0.4765	-1.166	0.0129	-0.8002	0.3272	0.8381	0.612	-0.3937	0.8899	1.981	2.179	1.896	0.3198	0.06684	-0.2561	0.8109	2.269	2.043	1.631	1.543	0.841	0.4523	-1.186	-0.1636	0.8191	-0.6431	1.49	1.767	0.3279	-0.4707	-0.4817	0.05004	-0.5241	-0.625	-0.5121	1.483	-0.1621	-0.5535	-0.7151
GENE377X	HSI098G12	RARRES1		-2.64	-0.8487	-1.689	-1.896	-0.3961	-0.6021	-1.001	-0.9921	-0.3044	-0.3605	-0.3592	-0.1609	-0.6512	0.0981	-0.475	-1.41	-0.03688	0.193	-0.4832	-0.5258	-0.3705	-0.2082	0.9021	-0.6908	0.515	-0.3886	-0.389	-1.01	-0.3285	-1.349	-0.9771	-0.1628	-0.4001	-1.042	0.1661	0.6828	0.8945	0.9689	1.571	1.415	1.152	0.477	0.3819	1.051	0.7385	3.494	1.191	0.121	0.6394	0.05414	0.4968	0.05233	1.424	1.486	0.5796	1.458	1.702	0.412	0.8034	-1.572	-0.846	-0.5725	-0.3639	0.3668	0.6917	0.2775	-0.3817	-0.5698
GENE237X	HSI127A04	FLJ25371		-0.8163	-0.7801	-1.656	-1.531	-0.872	-1.625	-1.159	-0.2682	-0.6688	0.8487	0.09221	0.5045	-0.2881	-0.467	-0.3296	-0.3088	-0.4314	-1.031	0.1106	-1.245	0.2927	-0.5928	-0.8704	-0.5171	-0.245	-0.1251	-0.327	-0.7419	-1.172	-1.154	-0.6406	-0.9111	-0.6794	0.7117	1.373	0.8676	-1.276	0.3045	1.359	2.099	0.6044	1.014	0.4042	1.332	2.262	2.371	1.089	0.2334	1.143	1.993	1.208	-0.9477	0.08577	0.7311	0.3516	0.3267	0.9967	1.928	0.1663	-1.657	-0.9928	-0.7071	-0.5286	0.3233	0.4145	0.2827	-0.1431	-0.1187
GENE221X	HSI131F10	SSPN		-2.027	-0.9094	-1.433	-1.103	-0.8866	-1.876	-1.685	-1.531	-1.621	-0.5849	-0.7768	-0.7278	-0.4577	0.03137	-0.17	0.08308	-0.1056	-0.5802	0.2539	-0.109	0.6515	-1.049	-0.581	-0.1582	0.2966	-0.3593	-0.142	-0.6811	-1.058	-0.921	-1.164	-0.653	-0.4721	-0.1071	1.141	1.082	1.122	1.522	1.474	1.465	1.115	0.5059	0.9128	0.7013	1.45	2.566	0.5987	1.037	1.093	2.312	1.495	-0.2291	0.4756	0.6377	-0.175	-0.06076	0.9115	1.549	-0.05115	-0.6784	-0.4593	-0.7861	-0.5956	-0.2499	0.03657	0.42	0.1392	0.1361
GENE303X	HSI147G11	RBMS1		-0.6779	-1.089	-2.314	-0.4248	-0.402	-1.706	-1.38	-1.697	-1.25	0.4711	0.02362	-0.5086	-1.302	0.2541	0.4974	-0.4021	0.3941	0.4462	-0.01036	-1.017	0.3419	-1.325	0.1659	-0.648	-0.02325	-0.6309	-0.4124	-0.4904	-0.8557	-1.703	-1.188	-0.4819	-0.7408	0.6278	1.744	0.8679	0.003953	0.35	1.604	1.992	1.169	1.014	0.7084	1.741	1.167	2.461	1.78	1.331	0.8795	0.8027	0.7741	0.2692	1.338	0.3865	-0.1646	-0.06407	1.088	0.5495	-0.4182	-0.6752	-0.4749	-1.035	-0.6422	-0.01664	-0.378	-0.03108	-0.2508	-0.4131
GENE35X	HSI004D07	EFEMP1		-2.577	-1.592	-0.2037	0.2923	-0.2877	-0.9826	-1.028	-0.1211	1.872	-0.2167	-0.2873	-0.509	-0.4741	0.6424	-1.495	-1.023	0.3676	-0.2151	0.0228	-0.6878	0.46	-0.5425	-0.1257	-1.65	0.2595	-0.7301	-0.2335	-1.207	-0.6963	-1.314	-0.7986	-1.082	-1.301	0.7008	2.471	0.9058	1.039	1.596	1.653	1.056	0.1577	1.428	0.1955	0.1827	2.067	2.207	0.9378	0.9728	1.432	0.2005	0.9756	-1.033	0.298	0.5692	-0.1621	0.2372	0.3726	0.347	0.4433	0.356	-0.9969	-0.785	-0.06551	-0.4329	-0.2996	-0.6288	-0.7309	-0.2034
GENE241X	HSI131A10	SYNPO2		-1.329	-1.451	-1.676	-0.4308	-0.5944	-0.4044	-1.129	-1.13	-0.6731	-0.4147	-0.6439	-1.059	-1.073	-0.03504	-1.201	-1.227	-0.4138	0.3284	-0.3022	-0.9931	0.4494	-0.4836	0.6698	-0.8767	-0.08954	-0.7771	-0.7422	-1.04	-1.138	0.3197	-0.5202	0.01301	-0.5909	1.767	0.6961	1.334	0.1061	1.729	2.188	0.8826	0.5444	1.678	0.9391	0.7513	1.023	2.752	1.514	2.023	2.088	1.138	0.5508	-1.05	-0.07077	0.5849	-0.4699	-0.08575	0.6046	-0.06046	0.3832	-0.8298	-0.8841	0.02965	-0.5345	-0.03461	-0.1417	-0.1881	-0.2269	-0.07045
GENE336X	HSI112C11	EST		-0.6661	-1.787	-0.1751	-0.09831	-0.1712	-1.175	-1.132	-1.032	0.2235	0.3087	0.3996	-0.4007	-1.028	-0.5369	-0.6061	-1.148	-0.3504	1.029	-0.6641	-1.14	0.1691	-0.5081	1.176	-1.446	-0.4368	-1.172	-0.724	-0.8086	-0.7321	-0.2294	-0.996	-0.1392	-1.735	0.5364	-0.01969	1.279	-0.1233	2.19	1.366	0.3186	0.4481	1.896	0.9462	1.231	0.2104	2.365	1.789	1.622	2.276	0.8806	0.4895	-1.223	0.5465	0.4496	-0.4584	-0.1548	1.483	0.9277	0.265	-0.83	-1.406	-0.2299	0.6211	-0.1629	-0.6931	-0.1729	-0.5755	-0.3549
GENE341X	HSI164A11	ADAMTS9		-1.285	-1.293	-0.7676	-0.6317	-0.3661	-1.614	-1.086	-1.484	-0.007082	-0.7139	-1.179	-0.9615	-1.15	0.435	-0.5837	-1.117	-0.559	0.6588	-0.2097	-0.5777	0.38	-1.009	0.03897	-0.8902	0.3533	-0.4925	-0.3124	-0.174	-0.7276	-0.5834	-1.26	0.7365	0.5508	-0.2192	0.7193	1.067	-0.6924	1.731	2.135	1.741	0.7425	1.428	1.303	1.706	0.7608	2.305	2.173	1.725	1.217	1.177	0.4372	-0.8275	0.01647	0.4866	-0.109	0.167	0.7541	-0.1064	-0.4724	-1.599	-1.195	-0.4211	0.5901	0.334	0.1029	-0.06997	-0.6045	-0.6186
GENE24X	HSI056E01	ATP5D		-1.875	-0.5042	-1.749	-0.9444	-0.6863	0.5206	0.877	-0.2646	0.1443	0.3127	0.01847	-0.8509	-1.104	-1.772	-0.5624	-0.7482	-1.014	0.06522	-0.1529	-0.4306	0.9257	-0.4579	-0.02246	-0.1723	-0.3251	-0.8722	-0.1468	-0.6031	-1.205	0.729	-0.621	-0.1699	-1.33	0.1383	-0.1715	1.28	1.427	2.181	1.735	0.02404	0.4936	0.7158	0.1824	0.6595	0.6848	2.808	1.413	1.849	0.9589	1.246	-0.2756	-1.796	-0.8409	1.716	-0.7887	0.6469	0.806	0.2615	0.886	-1.434	-1.355	0.2295	-0.842	-0.6222	-0.1299	0.4705	0.3533	0.08111
GENE284X	HSI141F05	C10orf56		-1.081	-1.177	-2.126	-0.7186	-0.3183	-1.134	-1.503	-1.895	-0.2553	-0.504	-0.9237	-0.5726	-0.8214	-0.7307	-0.1853	-0.04689	-0.04149	1.053	0.7582	1.005	1.864	-0.9018	0.1173	-0.8647	-0.09908	-0.7488	0.1358	-0.4241	-1.41	-0.4023	-0.9286	-0.4584	0.2161	-0.5095	1.428	0.9624	0.2194	1.423	1.479	0.9348	0.7202	1.323	1.172	1.451	1.25	1.641	1.442	2.537	0.9918	1.219	0.4338	-1.78	-0.3968	-0.1247	-1.402	-0.4701	0.1689	0.6037	-0.09722	-0.3186	-0.3592	-0.1479	-0.6488	-0.783	-0.4434	0.7743	0.2055	0.226
GENE5X	HSI054F01	VIM		-2.409	-2.542	-1.232	-0.4412	-0.4252	-0.478	-1.243	-1.174	-0.2623	0.04956	-0.4699	0.06897	-0.6191	1.027	-0.5802	0.09596	0.4242	0.6036	-0.479	0.749	0.6418	-1.289	-0.3686	-1.223	-0.0668	-1.43	-1.489	-0.1819	-1.12	-0.6265	-0.5495	-0.7753	-0.7064	-0.5068	0.7033	1.363	-0.4711	0.581	1.264	1.242	0.7925	1.385	0.5297	1.932	0.8155	2.485	1.38	2.036	0.9661	1.274	1.359	-1.564	-0.1176	0.6805	0.429	-0.3521	0.7229	0.5929	0.3104	-0.2317	-0.35	-0.3721	0.2542	-0.5847	-0.04627	-0.2857	0.08437	0.2176
GENE406X	HSI031A12	FSTL1		-2.871	-2.528	-2.114	-0.7652	-0.3726	-0.775	-1.832	-1.321	-0.4326	-0.08365	-0.6765	-0.355	-0.8967	0.07353	0.09159	-0.2892	-0.04447	0.6721	0.1268	0.3603	-0.2056	-1.611	-0.6411	-0.716	0.2652	-0.4734	-0.3782	0.1851	-1.281	-0.6425	0.3255	-0.1213	-0.1201	-0.09769	1.185	0.9272	-0.7535	0.9713	0.9085	1.397	1.104	1.125	0.9226	1.829	1.451	1.836	1.015	2.521	1.446	1.056	0.7939	-0.7318	0.449	0.4321	-0.7766	-0.09047	0.4896	0.2386	-0.2393	-0.432	-0.2799	-0.1309	-0.2757	-0.2356	-0.0696	0.4179	0.5314	0.513
GENE119X	HSI120H08	HEG1		-2.002	-1.729	-0.4775	-0.6755	-0.1625	-1.136	-1.065	-1.439	-0.3075	-0.2049	-0.6567	-1.034	-1.001	1.004	-0.1002	-0.5887	-0.6504	-0.1891	0.06074	1.43	0.7581	-1.186	-0.9408	-0.6198	-0.1718	-0.0137	-0.122	-0.7341	-1.356	-1.466	-0.6157	-0.1257	-0.7086	0.1603	1.603	1.069	0.8576	0.9169	1.829	1.374	0.7372	1.353	0.4802	2.751	1.53	2.162	1.281	1.944	0.5441	0.9836	0.203	-1.675	-0.216	0.1033	-0.4671	0.6593	0.344	-0.2017	-0.09507	-0.568	-0.6888	-0.6231	-0.07133	-0.374	-0.05775	0.2941	0.04869	0.03429
