Rank	Fold difference of geom means (control/transfected cell lines)	Probe set	Gene symbol	Description
733	1.431	1416417_a_at	Ndufb7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7
734	1.431	1452852_at	Twistnb	TWIST neighbor
735	1.429	1423769_at	Ptcd2	pentatricopeptide repeat domain 2
736	1.429	1443103_at	D830046C22Rik	RIKEN cDNA D830046C22 gene
737	1.428	1415747_s_at	Riok3	RIO kinase 3 (yeast)
738	1.427	1429118_a_at	4930429M06Rik	RIKEN cDNA 4930429M06Rik
739	1.426	1424202_at	Seh1l	SEH1-like (S. cerevisiae
740	1.426	1418399_at	Kctd9	potassium channel tetramerisation domain containing 9
741	1.425	1415860_at	Kpna2	karyopherin (importin) alpha 2
742	1.423	1437217_at	Ankrd6	ankyrin repeat domain 6
743	1.422	1416070_a_at	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
744	1.422	1416071_at	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
745	1.421	1455855_x_at	Hnrpab	heterogeneous nuclear ribonucleoprotein A/B
746	1.416	1451110_at	Egln1	EGL nine homolog 1 (C. elegans)
747	1.416	1417912_at	0610009E20Rik	RIKEN cDNA 0610009E20 gene
748	1.415	1448597_at	Cstf1	cleavage stimulation factor, 3 pre-RNA, subunit 1
749	1.412	1423829_at	0910001A06Rik	RIKEN cDNA 0910001A06 gene
750	1.411	1439152_at	BC052066	cDNA sequence BC052066
751	1.41	1420091_s_at	Morc3	microrchidia 3
752	1.41	1428099_a_at	Sfrs1	splicing factor, arginine/serine-rich 1 (ASF/SF2)
753	1.406	1415723_at	Eif5	eukaryotic translation initiation factor 5
754	1.405	1425844_a_at	Rngtt	RNA guanylyltransferase and 5-phosphatase
755	1.398	1440261_at	Ap4e1	adaptor-related protein complex AP-4, epsilon 1
756	1.398	1415783_at	Vps35	vacuolar protein sorting 35
757	1.39	1418543_s_at	D11Ertd707e	DNA segment, Chr 11, ERATO Doi 707, expressed
758	1.377	1457712_at	Chd8	chromodomain helicase DNA binding protein 8
