Rank	Fold difference of geom means (Transfected/Control cell lines)	Probe set	Gene symbol	Description
792	0.599	1428916_s_at	Sirt5	sirtuin 5 (silent mating type information regulation 2 homolog) 5 (S. cerevisiae)
793	0.599	1421950_at	Pfdn2	prefoldin 2
794	0.599	1420170_at	Myh9	myosin, heavy polypeptide 9, non-muscle
795	0.6	1416662_at	Sardh	sarcosine dehydrogenase
796	0.6	1435455_at	C79267	expressed sequence C79267
797	0.6	1439478_at		mitochondrial acyl-CoA thioesterase 1
798	0.601	1428714_at	Pgrmc2	progesterone receptor membrane component 2
799	0.602	1428646_at	2310056B04Rik	RIKEN cDNA 2310056B04 gene
800	0.602	1436560_at	AW124694	expressed sequence AW124694
801	0.603	1417612_at	Ier5	immediate early response 5
802	0.604	1448372_a_at	Tmem4	transmembrane protein 4
803	0.605	1451525_at	Arhgap12	Rho GTPase activating protein 12
804	0.605	1460211_a_at	Kdelr1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
805	0.606	1424812_at	BC017158	cDNA sequence BC017158
806	0.606	1451401_a_at	0610009K11Rik	RIKEN cDNA 0610009K11 gene
807	0.607	1451040_at	Hars2	histidyl tRNA synthetase 2
808	0.607	1448648_at	9130005N14Rik	RIKEN cDNA 9130005N14 gene
809	0.607	1434193_at	Zfp258	zinc finger protein 258
810	0.607	1451783_a_at	Kifap3	kinesin-associated protein 3
811	0.609	1422054_a_at	Skil	SKI-like
812	0.61	1422895_at	Vamp4	vesicle-associated membrane protein 4
813	0.61	1444235_at		CDNA clone MGC:14005 IMAGE:3660311, complete cds
814	0.61	1423965_at	Cd99l2	Cd99 antigen-like 2
815	0.61	1424496_at	5133401N09Rik	RIKEN cDNA 5133401N09 gene
816	0.61	1423426_at	1300012G16Rik	RIKEN cDNA 1300012G16 gene
817	0.61	1452235_at	Man1b1	Mannosidase, alpha, class 1B, member 1
818	0.61	1421872_at	Rab24	RAB24, member RAS oncogene family
819	0.611	1452601_a_at	Acbd6	acyl-Coenzyme A binding domain containing 6
820	0.611	1451036_at	Spg21	spastic paraplegia 21 homolog (human)
821	0.612	1452603_at	5330431N19Rik	RIKEN cDNA 5330431N19 gene
822	0.612	1436431_at	1700025G04Rik	RIKEN cDNA 1700025G04 gene
823	0.612	1426587_a_at	Stat3	signal transducer and activator of transcription 3
824	0.613	1415736_at	Pfdn5	prefoldin 5
825	0.613	1434069_at	BC067047	cDNA sequence BC067047
826	0.614	1452119_at	2600005C20Rik	RIKEN cDNA 2600005C20 gene
827	0.614	1426235_a_at	Glul	glutamate-ammonia ligase (glutamine synthase)
828	0.614	1451974_at	Osbpl2	oxysterol binding protein-like 2
829	0.615	1437783_x_at	Tmem4	transmembrane protein 4
830	0.615	1422821_s_at	Stard5	StAR-related lipid transfer (START) domain containing 5
831	0.616	1420641_a_at	Sqrdl	sulfide quinone reductase-like (yeast)
832	0.616	1416773_at	Wee1	wee 1 homolog (S. pombe)
833	0.617	1424628_a_at	1500032D16Rik	RIKEN cDNA 1500032D16 gene
834	0.618	1424148_a_at	AW049765	expressed sequence AW049765
835	0.618	1456070_at	5430405N12Rik	RIKEN cDNA 5430405N12 gene
836	0.618	1449198_a_at	St3gal5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
837	0.619	1434130_at	Lhfpl2	lipoma HMGIC fusion partner-like 2
838	0.619	1436546_at	6330549D23Rik	RIKEN cDNA 6330549D23 gene
839	0.619	1448491_at	Ech1	enoyl coenzyme A hydratase 1, peroxisomal
840	0.62	1452143_at	Spnb2	spectrin beta 2
841	0.62	1456080_a_at	Tde1	Tumor differentially expressed 1
842	0.62	1427195_at		Mus musculus, clone IMAGE:3983419, mRNA
843	0.621	1417530_a_at	Srp9	signal recognition particle 9
844	0.621	1449001_at	Ivd	isovaleryl coenzyme A dehydrogenase
845	0.621	1431931_a_at	Rabl2a	RAB, member of RAS oncogene family-like 2A
846	0.621	1452161_at	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase
847	0.622	1416857_at	Sdf2	stromal cell derived factor 2
848	0.622	1429429_s_at	A030012M09Rik	RIKEN cDNA A030012M09 gene
849	0.623	1424840_at	Rbks	ribokinase
850	0.623	1452890_at	D630041K24Rik	RIKEN cDNA D630041K24 gene
851	0.623	1431832_x_at	Exosc10	exosome component 10
852	0.623	1460038_at	Pou3f1	POU domain, class 3, transcription factor 1
853	0.623	1449283_a_at	Mapk12	mitogen-activated protein kinase 12
854	0.623	1418929_at	Esrrbl1	estrogen-related receptor beta like 1
855	0.624	1434548_at	Tde1	tumor differentially expressed 1
856	0.624	1417062_at	2810037C14Rik	RIKEN cDNA 2810037C14 gene
857	0.625	1416427_at	Ccni	cyclin I
858	0.625	1424597_at	ORF19	open reading frame 19
859	0.625	1426525_at	Arid2	AT rich interactive domain 2 (Arid-rfx like)
860	0.627	1423263_at	H3f3a	H3 histone, family 3A
861	0.627	1424530_at	Sec14l2	SEC14-like 2 (S. cerevisiae)
862	0.627	1448847_at	Tde1	tumor differentially expressed 1
863	0.628	1434062_at	Rabgap1l	RAB GTPase activating protein 1-like
864	0.628	1415906_at	Tmsb4x	thymosin, beta 4, X chromosome
865	0.628	1428743_at	Bri3bp	Bri3 binding protein
866	0.629	1426362_at	5730537D05Rik	RIKEN cDNA 5730537D05 gene
867	0.629	1448547_at	Rassf3	Ras association (RalGDS/AF-6) domain family 3
868	0.63	1434865_a_at	Exoc7	exocyst complex component 7
869	0.631	1418846_at	Ap4m1	adaptor-related protein complex AP-4, mu 1
870	0.632	1417316_at	Them2	thioesterase superfamily member 2
871	0.632	1419665_a_at	Nupr1	nuclear protein 1
872	0.632	1421610_at	Cx3cl1	chemokine (C-X3-C motif) ligand 1
873	0.632	1428556_at	2610022G08Rik	RIKEN cDNA 2610022G08 gene
874	0.632	1448753_at	Srp9	signal recognition particle 9
875	0.632	1416661_at	Eif3s10	eukaryotic translation initiation factor 3, subunit 10 (theta)
876	0.633	1450843_a_at	Serpinh1	serine (or cysteine) proteinase inhibitor, clade H, member 1
877	0.634	1434557_at	Hip1	huntingtin interacting protein 1
878	0.634	1423532_at	Rnf44	ring finger protein 44
879	0.635	1456502_at	Dyrk2	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
880	0.635	1456733_x_at	Serpinh1	serine (or cysteine) proteinase inhibitor, clade H, member 1
881	0.636	1428113_at	4930403J22Rik	RIKEN cDNA 4930403J22 gene
882	0.636	1426312_at	Bre	brain and reproductive organ-expressed protein
883	0.636	1426857_a_at	Hsdl2	hydroxysteroid dehydrogenase like 2
884	0.636	1418258_s_at	6720463E02Rik	RIKEN cDNA 6720463E02 gene
885	0.637	1428842_a_at	Ngfrap1	nerve growth factor receptor (TNFRSF16) associated protein 1
886	0.638	1423061_at	Arvcf	armadillo repeat gene deleted in velo-cardio-facial syndrome
887	0.638	1452711_at	Spg3a	spastic paraplegia 3A homolog (human)
888	0.638	1449407_at	Cdv1	carnitine deficiency-associated gene expressed in ventricle 1
889	0.638	1427574_s_at	Sh3d19	SH3 domain protein D19
890	0.639	1455133_s_at	AI848100	expressed sequence AI848100
891	0.639	1423779_at	Chchd6	coiled-coil-helix-coiled-coil-helix domain containing 6
892	0.64	1437448_s_at	Ctnnd1	catenin (cadherin associated protein), delta 1
893	0.641	1439038_at	9130227C08Rik	RIKEN cDNA 9130227C08 gene
894	0.642	1428029_a_at	H2afv	H2A histone family, member V
895	0.642	1417255_at	Wdtc2	WD and tetratricopeptide repeats 2
896	0.643	1428608_at	Mylc2b	myosin light chain, regulatory B
897	0.643	1450008_a_at	Ctnnb1	catenin (cadherin associated protein), beta 1, 88kDa
898	0.643	1419666_x_at	Nupr1	nuclear protein 1
899	0.643	1452258_at	6820402O20Rik	RIKEN cDNA 6820402O20 gene
900	0.643	1416708_a_at	D7Bwg0611e	DNA segment, Chr 7, Brigham & Womens Genetics 0611 expressed
901	0.644	1422785_at	Rasa2	RAS p21 protein activator 2
902	0.644	1416830_at	0610031J06Rik	RIKEN cDNA 0610031J06 gene
903	0.644	1427903_at	Phpt1	phosphohistidine phosphatase 1
904	0.644	1423414_at	Ptgs1	prostaglandin-endoperoxide synthase 1
905	0.645	1448422_at	Tmed4	transmembrane emp24 protein transport domain containing 4
906	0.645	1427952_at	Aipl1	aryl hydrocarbon receptor-interacting protein-like 1
907	0.647	1424349_a_at	Lpgat1	lysophosphatidylglycerol acyltransferase 1
908	0.647	1448727_at	Tle6	transducin-like enhancer of split 6, homolog of Drosophila E(spl)
909	0.648	1448546_at	Rassf3	Ras association (RalGDS/AF-6) domain family 3
910	0.649	1427909_at	2410015M20Rik	RIKEN cDNA 2410015M20 gene
911	0.649	1428214_at	Tomm7	translocase of outer mitochondrial membrane 7 homolog (yeast)
912	0.649	1422286_a_at	Tgif	TG interacting factor
913	0.649	1440920_at	Mmp14	Matrix metalloproteinase 14 (membrane-inserted)
914	0.65	1451587_a_at	Tiprl	TIP41, TOR signalling pathway regulator-like (S. cerevisiae)
915	0.651	1452832_s_at	Cds2	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
916	0.651	1429181_at	1700009P17Rik	RIKEN cDNA 1700009P17 gene
917	0.653	1432000_a_at	Dedd	death effector domain-containing
918	0.653	1415798_at	Ddr1	discoidin domain receptor family, member 1
919	0.653	1435394_s_at	Rhoc	ras homolog gene family, member C
920	0.653	1416607_at	4931406C07Rik	RIKEN cDNA 4931406C07 gene
921	0.653	1428579_at	Fmnl2	formin-like 2
922	0.654	1416789_at	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma
923	0.654	1431279_s_at	D630041K24Rik	RIKEN cDNA D630041K24 gene
924	0.654	1450727_a_at	Poldip2	polymerase (DNA-directed), delta interacting protein 2
925	0.654	1424753_at	Nudt14	nudix (nucleoside diphosphate linked moiety X)-type motif 14
926	0.655	1456012_x_at	Rnaset2	ribonuclease T2
927	0.655	1433604_x_at	Aldoa	aldolase 1, A isoform
928	0.657	1449157_at	Nr2c1	nuclear receptor subfamily 2, group C, member 1
929	0.657	1434129_s_at	Lhfpl2	lipoma HMGIC fusion partner-like 2
930	0.658	1436918_at	1810038L18Rik	RIKEN cDNA 1810038L18 gene
931	0.658	1440329_s_at	Gpatc2	G patch domain containing 2
932	0.659	1416327_at	Ufc1	ubiquitin-fold modifier conjugating enzyme 1
933	0.66	1452164_at	BC038286	cDNA sequence BC038286
934	0.66	1434799_x_at	Aldoa	aldolase 1, A isoform
935	0.661	1420160_s_at	Myo1e	myosin IE
936	0.662	1423262_a_at	H3f3a	H3 histone, family 3A
937	0.662	1431354_a_at	Fars2	phenylalanine-tRNA synthetase 2 (mitochondrial)
938	0.662	1423833_a_at	Brp44	brain protein 44
939	0.662	1423973_a_at	Arf3	ADP-ribosylation factor 3
940	0.662	1419359_at	Hexim1	hexamethylene bis-acetamide inducible 1
941	0.662	1417697_at	Soat1	sterol O-acyltransferase 1
942	0.664	1448335_s_at	Ccni	cyclin I
943	0.664	1449230_at	Idua	iduronidase, alpha-L-
944	0.666	1423945_a_at	Pkig	protein kinase inhibitor, gamma
945	0.666	1417892_a_at	Sirt3	sirtuin 3 (silent mating type information regulation 2, homolog) 3 (S. cerevisiae)
946	0.667	1448063_at	Iqsec2	IQ motif and Sec7 domain 2
947	0.667	1424795_a_at	1700001O22Rik	RIKEN cDNA 1700001O22 gene
948	0.667	1418088_a_at	Stx8	syntaxin 8
949	0.668	1415995_at	Casp6	caspase 6
950	0.669	1434205_at	Ppp2r5c	protein phosphatase 2, regulatory subunit B (B56), gamma isoform
951	0.671	1435259_s_at	D2Ertd217e	DNA segment, Chr 2, ERATO Doi 217, expressed
952	0.671	1428197_at	Tspan9	tetraspanin 9
953	0.672	1418901_at	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta
954	0.673	1452696_a_at	4933439C10Rik	RIKEN cDNA 4933439C10 gene
955	0.677	1427879_at	1810031K17Rik	RIKEN cDNA 1810031K17 gene
956	0.678	1456131_x_at	Dag1	dystroglycan 1
957	0.678	1428429_at	Rgmb	RGM domain family, member B
958	0.68	1418988_at	Pex7	peroxisome biogenesis factor 7
959	0.68	1424403_a_at	D5Bwg0860e	DNA segment, Chr 5, Brigham & Womens Genetics 0860 expressed
960	0.68	1418886_s_at	Idh3b	isocitrate dehydrogenase 3 (NAD+) beta
961	0.681	1417691_at	Bin3	bridging integrator 3
962	0.682	1451742_a_at	Ugp2	UDP-glucose pyrophosphorylase 2
963	0.683	1437488_at	Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), isoform 9
964	0.683	1428857_at	2610304F09Rik	RIKEN cDNA 2610304F09 gene
965	0.685	1417785_at	Pla1a	phospholipase A1 member A
966	0.686	1450885_at	Dffa	DNA fragmentation factor, alpha subunit
967	0.688	1443951_at	C230076A16Rik	RIKEN cDNA C230076A16 gene
968	0.688	1418419_at	4632423N09Rik	RIKEN cDNA 4632423N09 gene
969	0.691	1435450_at	Cpne3	copine III
970	0.693	1443000_at	D3Ertd300e	DNA segment, Chr 3, ERATO Doi 300, expressed
971	0.696	1427069_at	Fbxo28	F-box protein 28
972	0.696	1418101_a_at	Rtn3	reticulon 3
973	0.696	1418885_a_at	Idh3b	isocitrate dehydrogenase 3 (NAD+) beta
974	0.698	1439490_at		Transcribed locus
975	0.699	1450084_s_at	Ivns1abp	influenza virus NS1A binding protein
976	0.701	1451569_at	Nr2c2	nuclear receptor subfamily 2, group C, member 2
977	0.706	1458536_at	Ccni	Cyclin I
978	0.707	1455890_x_at	Snrpn /// LOC545062	small nuclear ribonucleoprotein N /// similar to small nuclear ribonucleoparticle-associated protein
979	0.713	1428215_x_at	Tomm7	translocase of outer mitochondrial membrane 7 homolog (yeast)
980	0.718	1416381_a_at	Prdx5	peroxiredoxin 5
981	0.719	1455446_x_at	Acadsb	acyl-Coenzyme A dehydrogenase, short/branched chain
