Affymetrix probe ID	Gene ID	Gene symbol	Gene name	MSI vs. MSS
233317_at	AK025016	CD9	CD9 molecule	Down
233486_at	AA573826	LOC729940	hypothetical protein LOC729940	Down
233571_x_at	AL121829	C20orf149	chromosome 20 open reading frame 149	Down
233604_at	AI650260	FLJ22763	hypothetical gene supported by AK026416	Down
234034_at	AL137510	KCNMB4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	Down
234331_s_at	AK025063	FAM84A	family with sequence similarity 84, member A	Down
234850_at	AC_004876	MOGAT3	monoacylglycerol O-acyltransferase 3	Down
235028_at	BG288330	NA	NA	Down
235035_at	BF342223	SLC35E1	solute carrier family 35, member E1	Down
235094_at	AI972661	TPM4	tropomyosin 4	Down
235147_at	R56118	SATB2	SATB homeobox 2	Down
235263_at	BF530545	GTF2IRD2	GTF2I repeat domain containing 2	Down
235322_at	BF038869	NA	NA	Down
235371_at	AI452595	PPP4R2	protein phosphatase 4, regulatory subunit 2	Down
235381_at	BF033855	NA	NA	Down
235573_at	AL536101	NA	NA	Down
235685_at	BF116042	NA	NA	Down
235862_at	AA954908	RAI1	retinoic acid induced 1	Down
235878_at	AA780048	TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	Down
235956_at	AI797063	KIAA1377	KIAA1377	Down
235984_at	AL036662	NA	NA	Down
236274_at	AW129967	EIF3B	eukaryotic translation initiation factor 3, subunit B	Down
236437_at	N30158	LAMB1	laminin, beta 1	Down
236492_at	AI934447	PPP2R2A	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform	Down
236978_at	N51961	MED13	mediator complex subunit 13	Down
238068_at	AI824977	ARIH2	ariadne homolog 2 (Drosophila)	Down
238070_at	AA573217	CHD1L	chromodomain helicase DNA binding protein 1-like	Down
238156_at	AW205632	RPS6	ribosomal protein S6	Down
238530_at	BF695396	NA	NA	Down
238589_s_at	AW601184	ATXN2	ataxin 2	Down
238684_at	AI300909	NA	NA	Down
238804_at	AI433468	NA	NA	Down
238806_at	AA456945	LOC728730	hypothetical protein LOC728730	Down
238909_at	BF126155	S100A10	S100 calcium binding protein A10	Down
238999_at	AI610347	AVIL	advillin	Down
239018_at	AL045816	WBSCR18	Williams Beuren syndrome chromosome region 18	Down
239173_at	AI697184	INADL	InaD-like (Drosophila)	Down
239388_at	T53260	RNASET2	ribonuclease T2	Down
239449_at	AV693734	ANKH	ankylosis, progressive homolog (mouse)	Down
239577_at	AV699781	NA	NA	Down
239595_at	AA569032	GPX2	glutathione peroxidase 2 (gastrointestinal)	Down
239731_at	AI674685	ACBD6	acyl-Coenzyme A binding domain containing 6	Down
239748_x_at	H09533	OCIAD1	OCIA domain containing 1	Down
239757_at	AA741493	ZFAND6	zinc finger, AN1-type domain 6	Down
239815_at	R16784	NCOA5	nuclear receptor coactivator 5	Down
239884_at	BE467579	CADPS	Ca2+-dependent secretion activator	Down
240045_at	AI694242	NA	NA	Down
240110_at	AI090874	NA	NA	Down
240297_at	AA605090	EPDR1	ependymin related protein 1 (zebrafish)	Down
240339_at	AA829860	ANKRD23	ankyrin repeat domain 23	Down
240385_at	BF002339	GATA6	GATA binding protein 6	Down
240432_x_at	AI333006	NA	NA	Down
240452_at	AA580082	GSPT1	G1 to S phase transition 1	Down
240728_at	AI224105	PLCB4	phospholipase C, beta 4	Down
240963_x_at	BF434274	PLXDC1	plexin domain containing 1	Down
241020_at	BF002217	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	Down
241071_at	BF432757	RERE	arginine-glutamic acid dipeptide (RE) repeats	Down
241415_at	BF509725	NA	NA	Down
241547_at	H57166	ASAH2B	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2B	Down
241586_at	BE672651	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	Down
242099_at	T83938	NA	NA	Down
242272_at	AI375066	ZNF785	zinc finger protein 785	Down
242377_x_at	AI051976	THUMPD3	THUMP domain containing 3	Down
242390_at	AI821925	WDFY1	WD repeat and FYVE domain containing 1	Down
242414_at	AW960707	QPRT	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating))	Down
242759_at	AI821726	NA	NA	Down
242909_at	AI802969	NA	NA	Down
243233_at	AI701943	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	Down
243441_at	AI738422	NA	NA	Down
243539_at	AI560205	KIAA1841	KIAA1841	Down
243669_s_at	AA502331	PRAP1	proline-rich acidic protein 1	Down
243759_at	AI041854	SFRS15	splicing factor, arginine/serine-rich 15	Down
244023_at	AW467357	SYK	spleen tyrosine kinase	Down
244292_at	AL119491	NA	NA	Down
244433_at	AI950023	NA	NA	Down
34868_at	AB029012	SMG5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	Down
38069_at	Z67743	CLCN7	chloride channel 7	Down
44790_s_at	AI129310	C13orf18	chromosome 13 open reading frame 18	Down
48031_r_at	H93077	C5orf4	chromosome 5 open reading frame 4	Down
49878_at	AA523441	PEX16	peroxisomal biogenesis factor 16	Down
50221_at	AI524138	TFEB	transcription factor EB	Down
60474_at	AA469071	C20orf42	chromosome 20 open reading frame 42	Down
64371_at	AI978718	SFRS14	splicing factor, arginine/serine-rich 14	Down
65635_at	AL044097	FLJ21865	endo-beta-N-acetylglucosaminidase	Down
