Ac.NUM.	Leydigvs.Serous	Leydigvs.Normal	Gene	Gene function
AA706824	4.56	7.02	SLC13A4	solute carrier family 13 (sodium/sulfate symporters), member 4
N23756	6.22	5.96	SLC23A2	solute carrier family 23 (nucleobase transporters), member 2
AA404486	2.98	5.82	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotidetranslocator), member 5
N50655	0.16	0.16	SLC27A3	solute carrier family 27 (fatty acid transporter), member 3
T69305	2.33	3.61	SLC27A5	solute carrier family 27 (fatty acid transporter), member 5
AA431179	2.29	2.73	SLC35D2	solute carrier family 35, member D2
R45292	2.91	3.43	SLC38A1	solute carrier family 38, member 1
R12695	0.49	0.41	SLC43A1	solute carrier family 43, member 1
R62384	2.77	2.95	SLC6A2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
AA425299	6.02	7.28	SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1
AA037014	0.41	0.37	SLCO2A1	solute carrier organic anion transporter family, member 2A1
N49107	0.36	0.25	SLMAP	sarcolemma associated protein
AA053810	0.4	0.44	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator ofchromatin, subfamily d, member 3
AA195255	0.42	0.35	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator ofchromatin, subfamily e, member 1
AA404360	2.96	2.4	SMC5L1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)
H98694	9.09	10.42	SMG1	PI-3-kinase-related kinase SMG-1
N58239	2.4	2.74	SNAP29	synaptosomal-associated protein, 29kDa
AA421284	0.48	0.36	SNAP91	synaptosomal-associated protein, 91kDa homolog (mouse)
W15452	2.71	2.74	SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa
AA443638	0.49	0.42	SNCG	synuclein, gamma (breast cancer-specific protein 1)
W68396	0.29	0.27	SNRK	SNF-1 related kinase, 198
AA122272	2.71	4.84	SNRPA1	small nuclear ribonucleoprotein polypeptide A
W72920	2.63	2.57	SNTB1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)
AA449430	3.19	2.16	SNX1	sorting nexin 1
W42746	4.39	2.53	SPG4	spastic paraplegia 4 (autosomal dominant; spastin)
AA458849	0.24	0.41	SPINT2	serine protease inhibitor, Kunitz type, 2
AA001897	2.97	4	SPTA1	spectrin, alpha, erythrocytic 1 (elliptocytosis 2)
AA599078	3.38	2.16	SRP54	signal recognition particle 54kDa
AA455242	0.43	0.29	SRP68	signal recognition particle 68kDa
AA598621	3.15	2.31	SRPR	signal recognition particle receptor (docking protein)
AA416785	2.77	7.1	SRR	serine racemase
AA451851	0.39	0.29	SSBP2	single-stranded DNA binding protein 2
N21470	0.35	0.25	SSPN	sarcospan (Kras oncogene-associated gene)
AA450360	2.07	2.7	SSR1	signal sequence receptor, alpha (translocon-associated protein alpha)
AA488075	0.4	0.39	STAT1	signal transducer and activator of transcription 1, 91kDa
R91570	0.48	0.45	STAT4	signal transducer and activator of transcription 4
AA432075	0.33	0.47	STEAP	six transmembrane epithelial antigen of the prostat
R49144	4.34	16.82	STK16	serine/threonine kinase 16
AA156737	3.4	4.93	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)
AA884281	5.28	4.83	STX11	syntaxin 11
N62832	0.46	0.23	STX17	syntaxin 17
AA452148	2.45	8.21	STX5A	syntaxin 5A
AA195080	0.49	0.5	SUMF1	sulfatase modifying factor 1
N49224	3.28	4.99	SURF2	surfeit 2
AA464168	4.59	4.66	SURF4	surfeit 4
AA479060	0.31	0.2	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
N47008	3.31	2.87	SYNJ2	synaptojanin 2
AA149827	0.5	0.43	T1A2	lung type-I cell membrane-associated glycoprotein
H47327	0.4	0.29	TACC1	transforming, acidic coiled-coil containing protein 1
AA857343	3.7	4.07	TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associatedfactor, 68kDa
W92041	0.37	0.41	TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associatedfactor, 65kDa
AA150301	3.29	8.62	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor,32kDa
N69283	0.35	0.23	TARDBP	TAR DNA binding protein
AA148213	2.36	2.72	TAZ	transcriptional co-activator with PDZ-binding motif (TAZ)
AA400457	0.49	0.35	TBC1D4	TBC1 domain family, member 4
AA486067	0.41	0.5	TBL1X	transducin (beta)-like 1X-linked
R44477	2.86	5.57	TBRG1	transforming growth factor beta regulator 1
AA412500	0.37	0.37	TCEA2	transcription elongation factor A (SII), 2
AA045180	0.37	0.34	TCERG1	transcription elongation regulator 1 (CA150)
H98856	2.29	5.45	TCF12	transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
AI268824	2.79	2.68	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box), 251
AI005042	0.33	0.27	TD60	RCC1-like
AA620407	2.29	4.64	TDP1	tyrosyl-DNA phosphodiesterase 1
R92962	0.36	0.22	TEGT	testis enhanced gene transcript (BAX inhibitor 1)
AA457102	3.17	2.15	TEX27	testis expressed sequence 27
R63971	0.44	0.32	TFCP2L2	transcription factor CP2-like 2
AA633901	5.74	11.89	TGFBI	transforming growth factor, beta-induced, 68kDa
AA487034	3.74	2.21	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)
AA256378	0.45	0.36	THBD	thrombomodulin
H38240	0.35	0.19	THBS2	thrombospondin
AA459383	0.43	0.39	THRAP1	thyroid hormone receptor associated protein 1
AA181646	2.2	2.27	THRAP1	thyroid hormone receptor associated protein 1
W85832	0.32	0.33	THRAP3	thyroid hormone receptor associated protein 3
AA427664	2.36	2.38	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
H65449	0.39	0.44	TIAM1	T-cell lymphoma invasion and metastasis 1
R38345	2.59	2.88	TIF1	tyrosine kinase with immunoglobulin and epidermal growth factor homologydomains
AA029497	3.95	4.29	TK2	tissue inhibitor of metalloproteinase 2
AA873564	0.49	0.46	TLE2	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)
R65765	0.5	0.44	TLE4	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)
AA487893	5.93	2.94	TM4SF1	transmembrane 4 superfamily member 1
W84524	2.5	3.11	TM4SF5	transmembrane 4 superfamily member 5
AA520979	0.46	0.45	TM7SF1	transmembrane 7 superfamily member 1 (upregulated in kidney)
AA481480	2.29	2.46	TM9SF4	transmembrane 9 superfamily protein member 4
R22439	2.07	2.16	TMEM4	transmembrane protein 4
AA423800	0.22	0.06	TMSB4X	thymosin, beta 4, X-linked
AA424562	0.42	0.47	TNFSF13	tumor necrosis factor (ligand) superfamily, member 13
R53527	2.52	2.67	TNRC4	trinucleotide repeat containing 4
AA453410	2.82	4.39	TNRFSF10B	Tumor necrosis factor receptor superfamily, member 10b
AA644550	3.18	5.57	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)
N48169	0.41	0.32	TORC3	transducer of regulated cAMP response element-binding protein (CREB) 3
AA521389	0.29	0.42	TP53BP1	tumor protein p53 binding protein, 1
AA490096	0.45	0.29	TPD52L2	tumor protein D52-like 2
R11490	3.14	3.82	TPR	translocated promoter region (to activated MET oncogene)
AA431192	0.41	0.31	TPTE	transmembrane phosphatase with tensin homology
AA598758	3.91	4.72	TRA1	tumor rejection antigen (gp96) 1
AA432256	2.56	11.92	TRIP12	thyroid hormone receptor interactor 12
AA598982	0.36	0.24	TRO	trophinin
AA463629	0.45	0.43	TSPYL4	TSPY-like 4
AA291718	0.35	0.21	TTC1	tetratricopeptide repeat domain 1
AA505009	0.32	0.26	TTLL4	tubulin tyrosine ligase-like family, member 4
AA426374	5.09	5.07	TUBA2	tubulin, alpha 2
AA626698	5.64	4.37	TUBA2	tubulin, alpha 2
AA126760	5.21	6.69	TUBG2	tubulin, gamma 2
H15278	2.47	2.32	TULP4	tubby like protein 4
AA187679	2.5	2.64	TULP4	tubby like protein 4
H99205	0.37	0.29	TXNL2	thioredoxin-like 2
AA482128	2.07	2.23	TYK2	tyrosine kinase 2
H12338	0.28	0.25	TYROBP	TYRO protein tyrosine kinase binding protein
H11320	2.74	0.35	UBA2	SUMO-1 activating enzyme subunit 2
AA600173	0.48	0.41	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
AA598492	0.47	0.48	UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)
AA430504	4.1	4.22	UBE2C	ubiquitin-conjugating enzyme E2C
AA017200	0.44	0.49	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)
AA044025	0.17	0.09	UBE2E1	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)
AA453584	0.2	0.38	UBE2E2	ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)
AA487197	0.42	0.37	UBE2I	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
AA476626	0.21	0.12	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)
R85213	0.35	0.42	UBE3A	ubiquitin protein ligase E3A (human papilloma virus E6-associatedprotein, Angelman syndrome)
AA680407	2.09	2.26	UBPH	similar to ubiquitin binding protein
N69460	3.45	6	UBQLN1	ubiquilin 1
N27190	0.42	0.46	UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
AA165628	0.48	0.42	UGCG	UDP-glucose ceramide glucosyltransferase
T65861	2.74	3.2	USP14	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)
AA039512	2.83	4.09	USP14	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)
R99287	3.79	13.1	USP14	ubiquitin specific protease 14 (tRNA-guanine transglycosylase)
AA489619	0.43	0.47	USP16	ubiquitin specific protease 16
N28259	0.44	0.45	USP3	ubiquitin specific protease 3
AA456018	0.48	0.41	USP30	ubiquitin specific protease 30
R01706	0.4	0.37	USP7	ubiquitin specific protease 7 (herpes virus-associated), 535
R93207	0.31	0.26	USP9X	ubiquitin specific protease 9, X-linked (fat facets-like, Drosophila)
AA669603	2.43	2.84	VAT1	vesicle amine transport protein 1 homolog (T californica)
AA486321	0.13	0.07	VIM	vimentin
AA455636	0.37	0.33	VPS11	vacuolar protein sorting 11 (yeast)
AA064946	0.47	0.29	VPS26	vacuolar protein sorting 26 (yeast)
AA112979	0.45	0.42	VRK1	vaccinia related kinase 1
AA633545	0.47	0.24	WAC	WW domain containing adaptor with coiled-coil
T71990	2.77	4.21	WBP2	WW domain binding protein 2
R10117	2.06	2.69	WBSCR14	Williams Beuren syndrome chromosome region 14
N49763	0.34	0.28	WTAP	Wilms tumor 1 associated protein
N40968	0.43	0.49	XPR1	exportin, tRNA (nuclear export receptor for tRNAs)
H56929	0.16	0.1	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
AA425447	2.73	7.25	YME1L1	YME1-like 1 (S. cerevisiae)
N21624	2.55	3.13	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,epsilon polypeptide
H94670	0.23	0.27	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,zeta polypeptide
AA609598	3.24	4.27	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,zeta polypeptide
AA418724	0.27	0.28	ZC3HAV1	zinc finger CCCH type, antiviral 1
N26899	4.89	2.15	ZC3HDC6	zinc finger CCCH type domain containing 6
N95490	3.5	12.71	ZCCHC10	zinc finger, CCHC domain containing 10
H11642	2	2.05	ZDHHC18	zinc finger, DHHC domain containing 18
R20670	3.47	3.45	ZDHHC21	zinc finger, DHHC domain containing 21
N50895	0.25	0.45	ZF	HCF-binding transcription factor Zhangfei
R49439	0.46	0.29	ZFPM2	zinc finger protein, multitype 2
N73846	2.49	2.81	ZFYVE19	zinc finger, FYVE domain containing 19
AA683058	4.85	6.93	ZMYND11	zinc finger, MYND domain containing 11
H80724	2.29	6.23	ZNF124	zinc finger protein 124 (HZF-16)
N49093	0.41	0.32	ZNF155	zinc finger protein 155 (pHZ-96)
AA256471	0.48	0.4	ZNF189	zinc finger protein 189
AA252169	0.46	0.28	ZNF193	zinc finger protein 193
AA251581	0.43	0.5	ZNF198	zinc finger protein 198
AA148578	2.21	2.73	ZNF20	zinc finger protein 20 (KOX 13)
N59119	0.36	0.34	ZNF207	zinc finger protein 207
AA702561	0.47	0.37	ZNF288	zinc finger protein 288
AA099580	2.15	3.01	ZNF30	zinc finger protein 30 (KOX 28)
AA700419	3.31	3.45	ZNF33A	zinc finger protein 33a (KOX 31)
AA877082	0.25	0.26	ZNF345	zinc finger protein 345
AA429027	0.45	0.36	ZNF451	zinc finger protein 451
H09601	4.09	6	ZNF496	zinc finger protein 496
N54526	2.31	3.64	ZNF525	zinc finger protein 525
AA446885	3.36	6.2	ZNF528	zinc finger protein 528
H80749	0.29	0.18	ZNF532	zinc finger protein 532
H18646	0.34	0.28	ZNF532	zinc finger protein 532
R43957	3.64	3.48	ZNF559	zinc finger protein 559
N93104;AI668686	0.49	0.43	ZNF564	zinc finger protein 564
N52039	4.04	8.07	ZNF589	zinc finger protein 589
AA063598	3.88	12.13	ZNF594	zinc finger protein 594
AI014727	2.49	2.53	ZNF616	zinc finger protein 608
H93335	0.46	0.47	ZNFN1A4	Zinc finger protein, subfamily 1A, 4 (Eos)
AA706968	0.5	0.48	ZWINT	ZW10 interactor antisense
R26143	2.3	2.28	ZZEF1	Zinc finger, ZZ-type with EF hand domain 1
AA452831	0.4	0.49	ZZZ3	Zinc finger, ZZ-type containing 3
