GID	yorf	NAME	GWEIGHT	216 A	216 B	228 A	228 B	125 B	175 B	217 B	217 A	218 B	201 B	202 B	145 B	263 B	39 A	39 B	138 A	138 B	64 A	64 B	262 B	21 A	227 B	155 A	155 B	218 A	223 A	67 A	17 A	21 B	146 A	146 B	117 A	117 B	30 A	30 B	148 B	148 A	149 A	70 A	70 B	223 B	61 A	175 A	125 A	17 B	141 A	141 B	123 A	123 B	151 A	145 A	262 A	61 B	67 B	90 A	90 B	149 B	151 B	P3 A	P3 B	201 A	202 A	227 A	263 A	203 A	203 B	152 A	152 B
GENE1219X	HSI182G03	MT1X		1.409	-0.6104	1.085	1.056	-0.396	-1.937	0.07965	-0.1286	-0.2077	-1.135	-1.557	0.8756	0.2866	1.615	1.011	-0.01666	-0.1301	-0.411	-0.4661	0.3301	0.8097	0.05127	1.898	1.585	-0.9827	-0.1857	1.178	1.229	0.6162	-0.7094	-0.7978	0.1391	0.6652	1.487	1.003	0.00648	0.5161	0.3929	0.1995	-0.0161	-1.103	0.217	-0.2661	-0.2857	-0.04931	0.3083	-0.516	0.1857	-0.06887	-1.177	-0.6146	-1.377	1.009	1.099	1.903	2.169	-0.6374	-0.713	0.1261	-0.5785	-1.939	-2.742	-1.083	-1.038	-1.369	-0.5903	-0.1991	-0.5051
GENE2047X	HSI038F06	AFG3L1		-1.102	-0.1634	1.103	0.1745	0.4293	1.093	1.776	-0.657	-1.299	-0.2172	-1.609	-1.514	-1.589	-0.4605	-0.5955	-0.561	-1.202	-0.2638	-0.7073	-0.6309	1.096	-1.944	-0.168	-0.6444	-0.05451	0.3221	1.082	0.7171	0.3244	1.671	1.45	1.142	1.105	-0.9938	-0.03736	-1.384	-0.1976	0.8912	-0.4829	-0.8349	0.2803	2.136	0.7973	-0.1889	0.3667	1.208	1.209	-0.3237	-0.7967	0.1086	1.102	-0.1876	1.159	-0.3673	0.5695	1.662	0.9779	0.8561	-0.3017	-0.7549	-1.125	-1.721	-0.9217	-2.014	0.03155	1.113	0.1824	-0.1211
GENE1968X	HSI053A11	MRPS23		-0.5064	-0.01384	1.559	0.9297	1.519	1.13	-0.3876	-0.1438	-1.115	0.1786	-0.7081	-0.9448	-0.8163	-0.7697	-1.178	-1.417	-0.6401	-1.157	-0.8877	0.7113	1.536	-2.133	0.1209	-1.01	0.1487	0.2563	0.6637	0.7108	0.4133	1.844	1.42	1.24	0.8972	-0.47	-0.1155	-1.061	0.6093	1.083	-0.9645	-0.2377	-0.3056	1.497	0.6118	-0.8039	0.1128	0.99	0.8838	-1.048	-0.8298	-0.4357	1.346	-0.3918	1.497	-0.05287	0.8492	0.9285	0.5444	0.4746	-1.09	-1.555	-1.648	-1.707	-0.632	-1.699	0.4567	1.377	-0.2939	0.6282
GENE2046X	HSI038D06	HIST2H2BE		-0.9406	-0.1861	1.127	0.4459	0.9602	0.9631	-0.7568	-0.3726	-1.279	-0.03904	-1.196	-1.432	-0.7114	-0.2681	-0.8646	-0.7945	-1.173	-0.9919	-1.079	0.0004609	1.248	-1.899	-0.1637	-0.7972	-0.1038	0.1375	0.8282	0.7158	0.5227	1.993	1.389	1.237	0.9141	-0.9123	-0.1354	-1.324	0.444	1.248	-0.7641	-0.5777	0.1709	1.556	0.7879	-0.4903	0.2426	1.449	1.076	-0.6464	-0.7192	0.1894	1.358	-0.5268	1.493	0.08643	0.6285	1.642	0.9362	0.8818	-0.3972	-0.9648	-1.621	-1.628	-0.8344	-1.967	0.3501	1.59	-0.4088	0.3538
GENE1204X	HSI020G09	HIST1H2BK		0.2466	-0.09222	0.899	-0.1547	0.3802	0.6363	1.423	-0.01249	-0.7802	-0.7884	-0.5393	0.02908	-1.572	1.208	0.5175	-0.4161	-0.6129	0.06051	0.855	1.814	0.8612	-1.624	0.7383	-0.4242	-0.4588	-0.2353	0.2053	1.218	0.6885	1.115	0.4785	0.3747	0.3775	1.281	1.473	-1.082	0.9981	0.7842	0.7473	0.5808	-1.075	-1.027	0.7386	0.569	0.02665	1.627	0.9045	-0.736	-0.9357	-1.011	0.6028	0.7225	0.1063	-0.4232	0.9148	1.351	-0.2516	-0.287	0.08266	-0.9296	-3.123	-1.882	-0.6776	-0.602	-1.362	-0.6621	-2.035	-1.823
GENE147X	HSI072G07	TAF6L		0.009309	-0.5594	0.8651	-0.3578	0.2511	0.2756	1.349	0.3187	-0.2674	-0.9225	-0.5342	-0.4934	-1.252	1.157	0.1612	-0.5111	-1.105	-0.08892	0.6163	1.531	1.054	-1.407	0.6994	-0.8542	-0.6813	-0.5002	0.1415	1.339	0.6393	1.066	0.218	-0.01794	0.1338	1.218	1.812	-1.141	1.954	1.258	1.06	0.7184	-0.9192	-0.344	0.8973	0.7279	-0.262	1.585	0.7757	-0.8331	-1.309	-0.1042	0.6024	0.8524	-0.1392	-0.7701	1.234	1.311	-0.3177	-0.3976	-0.2985	-1.318	-2.962	-1.14	-0.4865	-0.6435	-0.9815	-0.1913	-1.774	-1.947
GENE2167X	HSI072G06	CEL		0.02529	-0.4702	0.5112	-0.4349	0.2176	0.1028	0.9828	0.05983	-0.6384	-1.073	-0.511	-0.4654	-1.81	1.321	0.3708	-0.259	-0.9497	0.1304	0.7086	1.731	0.9049	-1.498	0.4813	-0.5894	-0.6547	-0.467	0.2075	1.025	0.5748	0.9082	0.3411	0.4657	0.2498	1.513	1.74	-0.8765	1.883	1.038	1.272	1.007	-0.8517	-0.4931	1.117	0.723	0.02042	1.537	0.9373	-1.232	-1.056	-0.5204	0.4334	0.6514	0.1206	-0.6642	1.107	1.223	-0.2932	-0.3404	-0.05989	-1.331	-3.223	-1.126	-0.6803	-0.7139	-1.053	-0.174	-1.488	-1.648
GENE630X	HSI041B02	EST		-0.7138	-0.5124	0.6663	-0.3128	-0.3779	0.6654	0.1004	-0.8201	-1.261	-1.026	-0.4885	-1.045	-0.9287	0.4676	-0.5444	-0.9102	-1.51	-0.7387	-0.03514	1.647	0.3609	-0.9418	0.7601	-0.5428	-0.7972	-0.7426	0.2487	0.1753	0.9289	1.435	0.3542	0.8118	1.523	1.879	2.018	-1.735	1.679	0.5391	0.6586	0.6608	-0.7013	-0.3887	2.036	-0.05855	-0.2711	1.917	1.223	-0.7323	-0.8606	-0.6849	0.2896	0.796	0.5882	-0.714	1.077	1.393	-0.6183	-0.5314	-0.2266	-1.217	-1.698	-1.271	-1.012	-0.8389	-1.095	-0.3138	1.013	1.305
GENE257X	HSI085B01	HIST1H2BN		0.5687	-0.4479	1.24	0.6616	0.319	-0.5043	1.002	0.1798	-0.5583	-1.175	-1.541	-0.6054	-0.1812	0.798	-0.2008	-0.8094	-0.9927	-0.5147	0.571	1.815	1.215	-0.9519	0.1418	-0.3884	-0.615	-0.4795	0.2555	0.9323	0.7716	1.159	0.2436	1.37	1.315	1.945	1.574	-1.761	1.206	0.197	0.7027	0.3257	-0.9218	-0.8618	1.27	-0.06433	-0.386	1.259	0.7007	-0.833	-0.734	-0.4395	0.2993	0.2259	0.7635	-0.2219	1.351	1.543	-0.4891	-0.1612	0.07719	-0.977	-2.102	-2.091	-1.265	-1.327	-2.202	-1.101	-0.06363	-0.03228
GENE462X	HSI093D08	FLJ90086		0.2232	-0.5993	1.099	0.601	0.5873	-0.8037	1.178	0.038	-1.295	-1.294	-1.067	-0.4222	-0.761	0.6316	-0.3157	-0.9577	-0.5586	-0.4093	0.7944	2.133	1.003	-1.047	0.6644	-0.6834	-0.8772	-1.011	-0.208	1.111	0.5252	0.811	0.1482	1.028	2.336	2.09	1.423	-1.467	0.8823	0.2078	0.5834	0.3656	-0.9647	-1.452	0.874	-0.3241	-0.6786	1.062	0.9511	-0.6126	-0.665	-0.7861	0.2822	0.4205	0.8578	-0.02395	1.257	2.062	-0.8651	-0.7747	-0.107	-0.3919	-1.582	-1.796	-1.185	-1.146	-1.303	-0.5634	0.3833	0.3835
GENE876X	HSI082H03	HIST1H3H		-1.234	-0.5613	2.156	0.5416	1.039	0.05267	1.005	-0.6527	-1.263	-0.406	-1.229	0.1203	-1.198	-0.467	-0.565	-0.5055	-0.5879	-0.07077	0.5184	0.5227	-0.9607	-0.7261	-0.02109	-0.8868	-0.2915	-0.7218	-0.02162	0.5697	0.41	1.791	1.58	0.9445	0.9238	0.4379	1.972	-1.256	0.4875	1.316	0.6674	1.02	-0.8345	0.3398	0.5272	-1.26	-0.5742	1.187	1.956	-1.172	-1.235	-1.112	1.993	-0.5057	1.334	-0.8847	1.715	1.045	0.2382	0.5963	-0.0001436	-0.7747	-0.4894	-0.9609	-1.285	-1.065	-1.401	-0.9095	-0.562	-0.3535
GENE1022X	HSI014B03	HIST1H4H		-0.8048	-0.6303	0.2357	-0.4464	0.3897	-0.6596	-0.498	-0.8186	-0.9511	-0.6972	-0.6372	-0.1183	-1.078	1.265	1.234	-0.4759	-0.8402	-0.1212	0.3178	0.5273	-0.8386	-0.7935	-0.1525	-0.9565	-0.8503	-0.7601	0.3035	-0.9162	0.8226	0.3172	1.108	1.766	2.022	1.663	2.857	-1.101	-0.3004	0.1248	1.673	2.452	-0.9118	0.22	1.119	0.4588	-0.1293	1.558	1.425	-0.6336	-0.5177	-1.176	0.08224	-0.7035	0.2163	-0.2734	1.251	1.905	-0.272	-0.2543	0.4507	-0.633	-0.8089	-1.353	-1.071	-1.09	-0.7958	-0.2396	-0.7008	-0.7535
GENE278X	HSI168F07	EST		-1.158	-2.18	-1.185	-0.9374	-0.7572	1.102	-1.493	-0.05774	-1.263	-0.1163	0.3316	-0.2686	-1.001	-1.566	-1.153	-0.7738	-0.7649	-0.4501	-0.5096	-0.1125	-0.9995	0.7581	-2.106	-1.376	0.2144	0.7037	-1.562	0.3235	0.3087	0.7246	0.6815	0.06755	0.1328	-1.349	0.5469	3.152	1.816	1.829	0.2598	1.142	1.339	0.7226	0.141	-0.3768	-0.6795	0.2247	0.06751	-0.1621	-0.1306	0.8034	0.5508	-0.1081	0.317	-0.1202	0.07347	-0.1188	1.513	0.8811	1.22	0.7886	-1.475	0.7498	0.4876	0.4968	-0.1321	0.4314	0.3907	1.151
GENE1009X	HSI181A09	CCL3L1		-1.414	-0.2623	-1.073	-1.087	0.8329	2.103	0.6854	-1.296	-1.051	0.5521	0.03752	1.299	0.1703	-0.1292	1.027	-0.6172	-0.117	-0.7261	0.348	0.6519	-0.327	3.289	-1.373	-0.07774	-0.4518	-0.2023	-1.896	1.037	0.2748	-0.06734	1.57	-0.3858	-0.1329	0.1722	-0.2218	1.692	1.336	1.061	-1.294	-1.025	0.1149	0.8512	0.8372	0.06197	0.7765	-1.145	-0.5095	-0.6351	-0.09731	0.2417	0.4909	-0.9753	0.1186	0.9231	-1.247	-0.9364	1.908	1.837	-0.9372	-0.529	-0.8081	-1.125	0.1818	0.169	-0.6791	-0.1664	-1.032	-0.6017
GENE1478X	HSI049H10	ITPK1		-0.6532	-1.811	-0.04578	-0.5502	1.828	-0.1522	-0.5854	-0.9133	-1.15	-0.4457	-1.759	0.0946	-0.2682	-0.403	1.787	-0.1257	0.3809	-0.3835	-0.6713	-0.5213	0.411	2.406	-1.019	-0.4114	-1.161	-1.14	-0.9692	-0.5671	-0.3551	0.5052	-0.3977	-0.02959	-1.104	0.2179	1.089	0.4535	2.611	1.856	0.8521	0.986	0.829	0.9392	3.089	0.5544	-0.1417	0.6589	-1.299	-0.3574	0.7089	0.5127	0.4118	0.9897	-0.2014	0.5604	-0.7751	-0.6567	-0.4149	-0.1077	-0.7627	-1.031	-1.37	-1.065	-0.2248	1.103	-0.007399	0.1491	0.1047	-0.08021
GENE2358X	HSI039G12	CSF1R		-0.8497	-1.516	-0.4081	-0.2784	0.9855	0.02858	-0.8777	-1.592	-1.266	-0.2224	-1.112	1.293	0.018	0.1035	-0.05907	-0.6626	0.3916	0.3495	-0.9664	-0.5108	0.2605	1.553	0.2318	-0.1685	-0.8101	-0.5857	-1.763	0.5259	0.69	0.1976	-0.8864	-0.4221	-1.287	0.3581	1.62	1.943	2.951	1.757	0.09561	1.025	0.458	0.1054	1.789	1.642	0.08652	0.9483	-0.5438	-0.9919	0.7396	0.3782	0.8144	-0.914	0.6511	1.497	-0.7988	-0.938	0.03375	0.2108	-0.6837	-0.466	-1.463	-1.209	-0.8666	-0.1967	-0.9245	-1.098	0.377	1.231
GENE158X	HSI093E01	ITGAM		-0.7236	-0.2008	-0.7326	-0.4066	3.094	0.5728	-0.05888	-0.5903	0.02285	-0.3153	-1.135	0.8288	-2.231	-0.2465	1.426	-0.6155	0.6968	0.1418	-0.0542	-0.513	0.2185	1.534	-1.39	-1.401	-0.9396	-0.6889	-1.375	-0.4496	0.1048	-0.4829	-1.345	-1.14	-1.081	-0.4943	0.3508	1.762	1.078	0.566	-0.5825	0.7031	1.619	0.1006	1.29	0.5954	0.05508	0.8012	-0.8534	0.4303	1.491	0.3534	0.08045	-0.1376	0.0206	0.9461	-0.7748	0.07052	0.02784	-0.1202	-1.063	-0.9664	-1.094	-0.2557	1.845	-0.09186	-1.092	-0.7795	1.932	1.662
GENE1479X	HSI051H04	TREM2		-1.21	-1.317	-0.1361	-0.6599	0.8365	0.9271	-0.7214	-0.5468	-0.523	0.3122	-0.566	2.056	-1.146	-1.913	0.3077	-0.8628	0.4352	-0.5937	-1.065	-0.6402	1.401	1.788	-1.262	-1.342	-0.1373	-0.3991	-1.755	-0.5278	-0.1078	1.277	-0.1581	-0.4226	-1	-1.235	-0.6809	1.16	1.522	0.8227	0.1179	0.6587	0.1012	-0.8343	2.602	0.9383	0.6303	1.282	0.1229	-0.1272	-0.04342	0.9649	0.333	-0.4212	-0.3161	0.4754	-1.016	-0.5197	0.2703	0.2764	-1.117	-0.7016	-0.9892	-0.7232	1.08	1.069	-0.3764	0.7736	1.376	2.196
GENE713X	HSI018G08	SPP1		-1.222	-0.2947	-0.5018	-0.3805	-0.2463	0.2497	-0.5313	-0.203	-0.6682	-0.4128	-0.9695	2.446	-0.3984	0.8406	1.656	0.334	0.4767	-1.557	-0.7883	-1.863	-0.1754	1.103	0.1941	-0.5546	-1.145	-1.196	-1.534	-0.9553	0.183	0.3523	-1.928	-0.07698	-0.7549	-0.1532	-0.58	2.183	0.4462	1.148	-0.4174	0.4434	-0.09302	2.254	1.368	1.626	1.94	-0.4016	-1.004	-0.2742	-1.01	0.676	-0.2607	-1.471	2.091	-0.1947	-0.3469	0.3625	0.3416	0.354	0.4563	0.06462	-0.6708	0.7697	0.7016	0.09806	-1.023	-0.3154	0.263	1.148
GENE202X	HSI008H07	MAFB		-0.8691	-0.4949	0.6201	-0.4852	2.188	1.149	-0.6559	-1.622	-1.208	0.2516	-1.104	0.3712	-1.844	-1.212	1.228	0.7868	1.206	0.6727	0.9131	0.163	1.375	0.4898	-1.418	-0.5624	-1.345	-0.6778	-0.3465	-1.572	-0.4008	-1.389	-0.9407	-1.25	-1.182	-1.077	-0.2593	1.373	0.2469	0.731	-0.09492	1.962	0.3195	0.7516	1.561	1.27	-0.09368	0.6517	-0.6947	-0.4102	1.349	0.7534	-0.08154	-1.39	0.1685	0.7302	-1.203	-1.494	1.38	1.225	0.3695	1.463	-0.2164	-0.2471	-0.2431	0.478	-0.00519	-0.2812	-0.2348	0.406
GENE1776X	HSI058G05	MGC16291		-1.257	1.329	-0.8105	-1.308	0.2626	-0.1738	-2.089	-1.446	-1.065	0.3212	-2.252	1.661	-2.33	-0.07654	0.8183	0.4266	0.8561	0.8422	0.3025	-0.6434	0.9398	1.192	-1.11	0.04632	-1.093	-0.3824	0.2939	-0.997	0.4007	-0.4364	-0.1782	-0.3312	0.3956	-0.736	0.1755	1.337	0.02729	0.2459	0.07114	1.327	0.2091	0.8206	0.8956	1.613	0.9884	0.3683	0.5672	0.2435	1.059	0.6245	0.1997	-1.658	0.8781	1.206	0.2788	-0.9332	0.3787	0.3485	0.1127	0.2463	0.2677	-1.971	-0.112	-1.009	-1.741	-1.098	0.8616	1.799
GENE1016X	HSI006F09	MRPL15		-0.715	-0.5716	-0.3023	-0.1513	2.77	-0.5229	-1.313	-0.8297	-0.4461	0.6942	-1.091	1.642	-0.9556	-0.6659	0.5041	0.2276	0.3103	1.14	-0.2487	1.718	-0.3451	-0.5753	-0.2559	-0.0459	-1.054	-1.194	-1.06	-1.122	-0.7845	0.0944	0.4397	-0.8643	-0.1042	-0.9328	-0.95	1.82	0.5659	0.1607	-0.2699	2.957	-0.8232	1.78	0.9167	0.8738	-0.7114	0.1522	-0.1143	-0.9248	1.135	-0.5718	0.4308	-0.2753	0.3815	1.923	-0.7689	1.101	0.07781	-0.2643	1.155	1.682	0.6683	-0.6713	-0.9769	-0.261	-0.8232	-1.054	-0.8013	-0.9105
GENE1450X	HSI010H04	SPARCL1		-0.716	-0.9137	-0.3941	0.2383	1.853	-0.5162	-2.04	-1.077	-0.4013	0.6971	-0.6969	1.166	-0.3369	-0.5158	0.4108	-1.271	0.3475	0.1685	0.5179	0.2555	-1.697	-0.8887	0.2077	1.312	-1.57	-1.691	-1.449	-2.002	0.6167	-0.02392	0.4417	0.5903	0.9004	-0.537	0.8908	-0.6614	-0.377	-0.1072	1.057	1.122	-1.396	0.8013	0.6674	0.3676	0.5927	0.5867	0.01523	0.135	0.7693	1.762	0.6974	-1.318	0.7477	1.891	0.5789	1.428	0.8988	0.9877	1.169	1.472	0.3685	-0.826	-1.119	-0.3772	-1.045	-1.458	-1.251	-0.05503
GENE821X	HSI011B09	VSIG4		-1.118	-0.5039	-1.035	-0.9182	1.432	-0.2384	-1.085	-1.154	-0.9332	0.3363	-0.53	1.912	-1.436	-0.1645	1.097	-1.131	0.6288	1.049	0.2536	0.4415	-0.5213	-0.05505	-0.4323	-0.03873	-0.9951	-1.009	-1.007	-0.9215	0.4328	-0.358	0.3552	-0.8236	0.07001	-0.2251	0.126	2.612	1.805	1.645	-0.7101	1.768	-0.3977	0.6653	1.234	0.1266	0.3053	0.9539	-0.1318	-1.177	-0.09933	-0.1004	-0.1517	-0.9425	0.1375	2.944	-1.401	0.1746	0.5034	0.4678	0.1315	1.833	-0.4415	-0.7517	-0.5655	-0.8875	-1.221	-1.035	0.05406	1.155
GENE1448X	HSI006D10	SEC31L2		-1.264	-0.3014	-0.742	-1.28	1.067	0.5155	-0.3734	-1.18	-1.226	-0.3832	-0.9658	2.084	-1.219	-0.2095	1.15	-0.7561	0.2698	0.3674	0.5869	0.9512	-1.117	0.0625	-1.049	0.05241	-0.921	-0.7595	-1.041	-0.7888	0.3028	0.04752	1.921	-0.05907	0.519	-0.02774	-0.1225	1.919	1.801	1.252	-0.3607	0.5622	-0.5332	1.557	1.234	0.478	0.8542	-0.5251	-0.1053	-0.98	0.09788	0.01978	0.942	-1.389	0.2631	1.745	-0.6791	-0.0294	2.216	2.322	-0.2904	0.3267	-0.668	-1.008	-0.3703	-1.14	-1.146	-1.19	-0.8656	-0.4213
GENE0X	HSI003D01	CD74		-0.2724	-1.719	-0.8902	0.2919	1.783	-0.6244	-0.6604	-0.6621	-0.5931	0.4761	-0.4663	0.4931	0.721	0.2277	0.7883	-1.624	0.3257	0.9206	0.9631	1.096	0.733	1.191	-0.9319	-1.064	-1.25	-3.283	-0.7478	-0.6016	-0.2857	0.7012	0.5239	-0.8659	-0.7124	-0.3616	0.876	1.434	2.248	1.533	-0.1611	1.189	0.3281	1.737	1.152	-1.147	-1.021	0.52	-0.7956	-1.644	0.4882	1.162	1.067	-0.07442	-0.3081	0.8976	-0.9508	0.7132	0.3874	0.3665	0.1629	0.5079	-0.4196	-1.198	-1.023	-0.05565	-0.09439	-0.5318	-0.2299	-0.7348
GENE605X	HSI004H02	C1QB		-0.6661	-0.7902	-0.3395	-0.6711	1.346	-0.781	-0.7261	-1.241	-1.205	0.4593	-2.115	1.849	-1.99	-0.704	0.5279	-0.5069	0.5813	1.977	0.6945	-0.3351	-0.1813	0.3364	-0.5973	-0.8219	-0.7383	-1.261	-0.05373	-0.7381	-0.2772	0.8419	0.5507	-0.7885	-0.5398	-0.3256	1.187	1.876	2.869	1.811	-0.3731	1.203	-0.5095	0.3548	1.888	-0.16	-0.6162	0.5419	0.2582	-0.9869	0.3144	0.3707	0.6315	-1.147	-0.7464	1.271	-1.309	-0.1603	0.4941	0.4285	0.3232	1.863	0.1842	-0.6188	-0.8215	-0.4433	-0.1749	-0.7763	0.1335	0.0712
GENE612X	HSI008H08	SLC15A3		-0.1104	-0.2808	-0.1676	-0.7	1.278	-0.4266	-0.6791	-0.9322	-0.7524	0.6094	-1.084	1.415	-1.513	-0.803	0.6898	-1.613	0.2415	1.867	-0.3718	-0.3439	0.7129	0.2676	-1.008	-1.06	-0.6996	-0.7385	-0.9931	-0.9469	-0.9633	0.2074	-0.1195	-0.659	-1.008	-0.6745	0.6446	1.949	3.001	1.927	-0.1885	2.284	-0.4019	1.434	2.559	-0.04278	-0.2625	0.2923	-0.5774	-0.3438	-0.276	1.068	1.01	-0.3384	0.0152	1.503	-0.9634	-0.0565	0.6606	0.5215	-0.8741	-0.1931	-0.6602	-0.1956	-0.3131	-0.2592	-0.3722	-1.138	0.201	-0.2541
GENE106X	HSI026G07	TYROBP		-0.6268	-1.697	-0.6439	-0.1779	1.791	-0.3322	-0.5043	-0.8765	-1.146	-0.6243	-1.697	1.676	-0.319	0.7796	1.828	-0.4929	0.8494	-0.2452	0.4252	0.1851	-0.5123	1.177	-1.287	-1.334	-1.62	-1.385	-0.8564	-1.23	0.07455	0.2729	-0.2437	-0.07871	-0.1588	0.908	0.9555	1.309	1.7	1.334	0.6216	1.886	0.1096	1.097	2.688	0.499	-0.1256	1.241	-0.4107	-0.3767	0.7029	0.1817	0.3604	-0.7228	0.8906	1.264	-0.6181	0.398	0.3857	0.3079	-0.5051	-0.452	-1.073	-1.522	-0.2859	-0.246	-1.186	-0.714	-0.858	-0.7157
GENE2179X	HSI088A12	DDX6		-1.109	-1.119	-0.524	-0.1215	1.754	-0.5488	-1.218	-1.417	-1.341	-0.3475	-1.209	1.001	-1.344	1.321	1.403	-0.3509	0.1773	1.698	0.7588	-0.3862	-0.1725	0.8697	-1.281	-1.669	-1.262	-0.9075	-0.4343	-0.3338	0.6656	0.7652	-0.0004056	0.05481	-0.4676	1.404	1.199	1.483	1.998	1.602	0.9038	1.943	-0.6593	-0.3861	1.838	0.827	0.1836	0.7501	-0.4651	-0.4926	0.5536	-0.08269	0.9069	-0.9272	0.3161	1.823	-0.2478	-0.2126	0.1436	0.3626	-0.7834	-0.4873	-0.951	-1.021	-1.006	-1.013	-0.4802	-0.8617	-0.5803	-0.484
GENE1369X	HSI056A04	NAPSA		-0.7595	-1.179	-0.2534	-0.3103	1.461	-0.888	-1.109	-1.267	-1.186	-0.7153	-1.483	0.1239	-1.255	0.6482	1.241	-0.3249	0.8916	1.164	0.3625	-0.373	-0.5554	-0.7328	-0.8355	-1.1	-1.074	-1.147	-0.534	-0.3424	-0.1821	0.4141	0.1833	-0.05147	-0.1608	1.536	2.123	2.703	1.363	0.8774	0.5184	1.281	-0.8084	-0.1715	2.548	0.5563	0.2004	-0.07601	0.003804	-0.3959	1.006	0.9447	1.551	-0.9774	1.33	0.3224	0.2393	0.3169	0.5673	0.5444	0.3479	0.06322	-1.394	-1.366	-1.032	-0.9363	-1.127	-1.241	-0.1514	0.06467
GENE1743X	HSI022A05	CENTA2		-1.197	-1.219	-1.02	-1.364	0.5041	-0.8693	-1.432	-1.518	-1.508	-0.6763	-1.631	0.1454	-1.505	0.8865	1.295	0.3707	0.5685	1.312	0.6845	-0.5577	0.4485	-0.3906	-0.9827	-1.723	-0.408	-0.6543	0.2851	-0.4916	1.019	-0.2132	-0.3047	0.3355	-0.5257	1.018	1.714	1.852	2.083	0.9956	1.23	1.888	0.4507	1.625	1.238	1.517	0.5903	0.5145	-0.009447	-0.6096	0.5584	0.6134	0.6857	-0.3242	1.03	1.236	-0.554	-1.151	0.1632	0.3684	-0.2904	-0.4725	-0.5706	-0.8508	-0.8767	-0.5476	-0.8375	-1.094	-0.6921	-0.1541
GENE119X	HSI042C01	HLA-DQA1		-0.8503	-2.073	0.3447	1.544	2.182	-0.5344	-2.286	-0.6573	-0.8928	0.8127	-1.929	1.116	0.3755	0.9621	2.101	-0.1938	-0.3242	-0.08188	1.159	-0.07174	-0.08594	-0.4541	-1.157	-1.051	-0.9171	-0.5839	-0.7306	1.152	0.9583	-0.6667	-0.9233	0.3008	-0.8134	0.09952	1.269	1.368	-1.232	-0.2373	1.545	1.465	-0.8593	1.361	1.139	1.762	-0.2617	0.1484	-0.9627	-0.2166	0.1497	-0.4139	-0.4663	-0.7588	1.574	0.3535	0.3369	0.3256	-0.4106	-0.3696	0.09496	0.1481	0.1501	-1	-1.697	-0.07352	0.6447	0.2408	-0.6632	-0.2853
GENE1148X	HSI043G09	HPS5		-0.7634	-1.837	-0.4116	0.06178	1.903	-0.8328	-2.478	-0.8257	-0.7956	2.015	-0.6718	0.6803	-1.095	0.564	1.262	-0.8266	0.1861	0.723	1.047	0.9009	0.5064	-0.5992	-1.726	-1.971	-3.078	-1.684	-0.9625	0.2917	0.4037	-1.083	-0.2847	0.175	-0.8461	0.3535	0.9628	1.146	0.9291	0.48	0.8532	1.065	-0.4827	0.7979	1.409	0.8895	0.2123	-0.1999	-0.7857	-0.7349	0.1777	-0.5076	0.3058	0.1636	0.9802	0.8945	-0.4103	-0.155	0.2287	0.2748	0.126	0.5386	0.8288	-0.5594	-0.7684	0.4707	0.9179	0.9524	0.5629	0.1351
GENE739X	HSI043C08	APOC1		-0.2796	-0.8774	0.9086	-0.1013	1.947	-0.7978	-0.3128	-0.7413	-0.9018	0.7918	-0.8505	2.333	-0.7563	0.7419	2.038	-1.57	-0.5843	1.626	1.611	-0.384	0.5455	0.7212	-1.397	-1.253	-1.017	-0.6425	-0.9589	-1.663	-0.5076	0.2498	-2.134	0.5371	-0.4625	0.7535	1.322	1.473	0.4649	1.011	1.19	1.265	-0.7994	0.3913	1.718	1.295	1.063	0.3277	-1.656	-0.4759	-0.4108	-0.9977	-0.6483	-0.6128	0.8673	-0.0697	0.03654	0.1254	-0.2403	-0.2749	-0.2859	-0.5591	-0.7659	-1.173	0.3395	-0.4856	-0.3825	0.03326	0.4474	-0.1459
GENE749X	HSI055E02	PLEKHO1		-0.4674	-0.6775	0.0407	-0.2555	1.724	-0.202	-0.1283	-0.7706	-0.6604	0.9345	-0.6849	0.7147	-1.738	1.172	1.202	-0.9329	-0.9495	1.441	1.59	0.4363	0.2339	0.8381	-1.622	-1.038	-1.071	-0.6729	-0.4384	-1.522	0.194	-1.002	-2.135	0.07792	-1.046	1.073	2.151	0.9321	1.358	0.6616	1.089	1.176	0.415	1.278	1.836	1.051	-0.4112	0.8684	-1.432	-1.374	0.3383	0.2084	0.9759	-1.382	1.082	0.5943	0.1562	-0.6006	-0.1027	-0.2952	0.002837	0.1267	-0.8351	-1.715	-0.779	-0.4094	-0.6201	-0.3272	0.05971	0.2652
GENE1256X	HSI036D10	HLA-DRB1		-0.1325	-1.113	-0.06812	1.055	1.687	-1.882	0.08224	-1.224	-1.712	0.1513	-0.1812	0.5106	-3.314	0.2481	1.465	-0.4852	0.406	1.012	1.019	1.324	-1.31	1.929	-1.506	-1.969	-1.357	-0.8502	-0.8555	-0.121	0.1192	-0.1716	0.01468	0.7348	-0.3206	0.4378	1.467	1.118	1.355	0.6867	1.108	1.149	-0.7565	1.117	1.055	0.5432	-0.1078	0.2763	-0.3579	-0.9834	0.1335	0.4217	-0.1915	-0.4476	0.8233	0.6473	0.004213	0.3367	0.1337	0.231	0.1501	0.5514	0.4453	0.1269	-0.8196	-1.389	-1.453	-0.4956	0.1382	-0.6407
