Affy ID	Accession	Gene Symbol	Description	Ctrl mean	Ctrl SD	SD/mean Ctrl	BC mean	BC SD	SD/mean BC	BC/ctrl	direction	P-value
209203_s_at	BC002327		bicaudal D homolog 2 (Drosophila)	0.86	0.18	0.21	1.04	0.17	0.16	1.20	up	0.007553592
209221_s_at	AI753638	OSBPL2	oxysterol binding protein-like 2	1.17	0.22	0.18	1.08	0.27	0.25	0.92	down	0.048269105
209225_x_at	AI653355	KPNB2	transportin 1	0.78	0.23	0.29	1.32	0.45	0.34	1.70	up	7.83E-05
209226_s_at	U72069	KPNB2	transportin 1	0.80	0.37	0.46	1.51	1.32	0.87	1.89	up	5.63E-04
209257_s_at	BF795297	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	0.75	0.33	0.43	1.09	0.36	0.33	1.45	up	0.003308497
209258_s_at	AI373676	CSPG6	chondroitin sulfate proteoglycan 6 (bamacan)	0.69	0.31	0.45	1.08	0.26	0.24	1.57	up	0.001583001
209344_at	BC002827	TPM4	tropomyosin 4	0.86	0.25	0.29	1.05	0.34	0.33	1.22	up	0.023455726
209357_at	AF109161	CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 /// Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	0.90	0.18	0.20	1.25	0.65	0.52	1.39	up	0.048269105
209376_x_at	AW084759	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein	0.82	0.29	0.35	1.08	0.24	0.22	1.33	up	8.65E-04
209398_at	BC002649	HIST1H1C; H1.2; H1F2; MGC:3992	histone 1, H1c /// histone 1, H1c	1.19	0.33	0.27	0.86	0.32	0.37	0.72	down	0.01467616
209477_at	BC000738	EMD	emerin (Emery-Dreifuss muscular dystrophy) /// emerin (Emery-Dreifuss muscular dystrophy)	1.23	0.19	0.15	0.91	0.32	0.35	0.74	down	9.60E-04
209499_x_at	BF448647	TNFSF13	tumor necrosis factor (ligand) superfamily, member 13	0.84	0.22	0.26	0.95	0.19	0.20	1.13	up	0.008807338
209514_s_at	BE502030	RAB27A	RAB27A, member RAS oncogene family	0.83	0.20	0.24	1.22	0.91	0.75	1.46	up	0.043092809
209534_x_at	BF222823	AKAP13	A kinase (PRKA) anchor protein 13	0.88	0.16	0.19	1.22	0.33	0.28	1.39	up	0.002770437
209544_at	AF027706	RIPK2	receptor-interacting serine-threonine kinase 2 /// receptor-interacting serine-threonine kinase 2	0.82	0.26	0.31	1.07	0.25	0.24	1.30	up	0.030171071
209579_s_at	AL556619	MBD4	methyl-CpG binding domain protein 4	0.93	0.19	0.21	1.09	0.17	0.15	1.18	up	0.006985679
209584_x_at	AF165520	APOBEC3C	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C	0.80	0.25	0.31	1.01	0.34	0.34	1.25	up	0.038369689
209599_s_at	AI762105	HTCD37	TcD37 homolog	1.12	0.19	0.17	0.92	0.21	0.23	0.82	down	0.036191734
209606_at	L06633	PSCDBP	pleckstrin homology, Sec7 and coiled-coil domains, binding protein /// pleckstrin homology, Sec7 and coiled-coil domains, binding protein	1.20	0.17	0.14	0.97	0.23	0.23	0.81	down	0.00117728
209610_s_at	BF340083		solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	0.90	0.21	0.23	1.58	1.33	0.85	1.76	up	0.028380669
209628_at	AK023289	NXT2	nuclear transport factor 2-like export factor 2	0.83	0.22	0.26	1.11	0.46	0.41	1.33	up	0.016849603
209669_s_at	BC003049	PAI-RBP1	PAI-1 mRNA-binding protein	0.87	0.17	0.19	1.04	0.23	0.22	1.19	up	0.004658583
209734_at	BC001604	HEM1	hematopoietic protein 1 /// hematopoietic protein 1	0.87	0.20	0.23	1.09	0.31	0.29	1.24	up	0.004288241
209753_s_at	BG391171	TMPO	thymopoietin	0.90	0.14	0.16	1.01	0.22	0.21	1.12	up	0.01467616
209762_x_at	AF280094	SP110	SP110 nuclear body protein	1.08	0.21	0.19	0.97	0.30	0.31	0.90	down	0.036191734
209766_at	AF118073	PRDX3; AOP1; MER5; AOP-1; SP-22; PRO1748; MGC24293	peroxiredoxin 3	1.15	0.24	0.21	0.98	0.15	0.15	0.86	down	0.019268589
209906_at	U62027	C3AR1	complement component 3a receptor 1 /// complement component 3a receptor 1	0.74	0.29	0.40	2.09	2.03	0.97	2.82	up	0.002309612
210057_at	U32581	SMG1	PI-3-kinase-related kinase SMG-1	0.78	0.42	0.54	1.18	0.51	0.43	1.51	up	0.006454409
210116_at	AF072930	SH2D1A	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome) /// SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	1.25	0.39	0.31	0.99	0.39	0.39	0.79	down	0.045648446
210131_x_at	D49737	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	0.87	0.13	0.15	1.14	0.73	0.64	1.32	up	0.034071627
210145_at	M68874	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	0.88	0.33	0.38	1.31	0.69	0.53	1.48	up	0.023455726
210162_s_at	U08015	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1 /// nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	1.05	0.07	0.07	0.98	0.25	0.25	0.94	down	0.025006967
210279_at	AF261135	GPR18	G protein-coupled receptor 18	1.20	0.25	0.21	0.91	0.38	0.42	0.76	down	0.007553592
210312_s_at	BC002640	LOC90410	intraflagellar transport protein IFT20	1.13	0.18	0.16	1.10	0.28	0.26	0.97	down	0.048269105
210317_s_at	U28936	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	0.85	0.17	0.21	1.11	0.40	0.36	1.31	up	0.007553592
210321_at	M36118	GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX)	0.69	0.40	0.58	0.99	0.64	0.65	1.43	up	0.036191734
210385_s_at	AF106037	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	0.84	0.16	0.19	0.93	0.31	0.34	1.10	up	0.048269105
210448_s_at	U49396	P2RX5	purinergic receptor P2X, ligand-gated ion channel, 5 /// purinergic receptor P2X, ligand-gated ion channel, 5	1.32	0.50	0.38	1.10	0.50	0.45	0.84	down	0.038369689
210639_s_at	AF293841	APG5L	APG5 autophagy 5-like (S. cerevisiae) /// APG5 autophagy 5-like (S. cerevisiae)	0.91	0.12	0.13	1.07	0.28	0.27	1.17	up	0.030171071
210644_s_at	AF109683	LAIR1	leukocyte-associated Ig-like receptor 1 /// leukocyte-associated Ig-like receptor 1	0.87	0.15	0.17	1.21	0.68	0.56	1.38	up	0.043092809
210646_x_at	BC001675	RPL13A	ribosomal protein L13a	1.08	0.10	0.09	0.99	0.15	0.15	0.92	down	0.013668535
210649_s_at	AF231056	SMARCF1	AT rich interactive domain 1A (SWI- like) /// AT rich interactive domain 1A (SWI- like)	1.07	0.14	0.13	1.05	0.38	0.36	0.99	down	0.040700539
210752_s_at	AF213666	TCFL4	transcription factor-like 4	1.11	0.16	0.15	0.99	0.12	0.12	0.89	down	0.034071627
210774_s_at	AL162047	NCOA4	nuclear receptor coactivator 4	1.01	0.10	0.10	0.93	0.11	0.12	0.92	down	0.025006967
210889_s_at	M31933	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor for (CD32) /// Fc fragment of IgG, low affinity IIb, receptor for (CD32)	1.43	0.45	0.31	1.06	0.34	0.33	0.74	down	0.008160128
210916_s_at	AF098641	CD44	CD44 antigen (homing function and Indian blood group system)	0.87	0.12	0.14	1.00	0.47	0.47	1.15	up	0.043092809
210943_s_at	U84744	CHS1	Chediak-Higashi syndrome 1 /// Chediak-Higashi syndrome 1	0.82	0.39	0.47	1.14	0.48	0.42	1.39	up	0.007553592
211004_s_at	BC002553	ALDH3B1	aldehyde dehydrogenase 3 family, member B1 /// aldehyde dehydrogenase 3 family, member B1	0.93	0.26	0.28	1.17	0.38	0.33	1.26	up	0.013668535
211073_x_at	BC006483	RPL3	ribosomal protein L3 /// ribosomal protein L3	1.10	0.11	0.10	0.94	0.20	0.22	0.86	down	0.003308497
211074_at	AF000381		---	0.85	0.19	0.23	1.43	0.60	0.42	1.69	up	0.003308497
211085_s_at	Z25430	STK4	serine/threonine kinase 4 /// serine/threonine kinase 4	0.84	0.35	0.41	1.11	0.39	0.35	1.32	up	0.013668535
211102_s_at	U82277	LILRB1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2	0.81	0.25	0.31	1.12	0.52	0.46	1.38	up	0.030171071
211113_s_at	U34919	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	1.15	0.27	0.23	1.01	0.38	0.37	0.88	down	0.020589577
211325_x_at	U72518	na	destrin-2 pseudogene	0.85	0.14	0.17	1.08	0.30	0.28	1.28	up	0.001916633
211345_x_at	AF119850		eukaryotic translation elongation factor 1 gamma	1.13	0.22	0.19	1.02	0.20	0.19	0.90	down	0.040676371
211487_x_at	BC004886		---	1.09	0.16	0.15	0.97	0.17	0.18	0.89	down	0.009506378
211503_s_at	AF112206	RAB14	RAB14, member RAS oncogene family /// RAB14, member RAS oncogene family	0.87	0.15	0.18	1.16	0.43	0.37	1.33	up	0.004288241
211542_x_at	BC004334		---	1.11	0.13	0.12	1.00	0.16	0.16	0.91	down	0.012730241
211623_s_at	M30448	CSNK2B	fibrillarin /// fibrillarin	1.18	0.28	0.24	0.96	0.24	0.25	0.81	down	0.036191734
211666_x_at	L22453	RPL3	ribosomal protein L3 /// ribosomal protein L3	1.15	0.18	0.16	0.96	0.23	0.24	0.83	down	0.011846416
211672_s_at	AF019888	ARPC4	actin related protein 2/3 complex, subunit 4, 20kDa /// actin related protein 2/3 complex, subunit 4, 20kDa	0.84	0.24	0.28	1.11	0.43	0.39	1.31	up	0.015718787
211710_x_at	BC005817	RPL4	ribosomal protein L4 /// ribosomal protein L4	1.14	0.18	0.15	0.99	0.22	0.22	0.86	down	0.025024684
211720_x_at	BC005863	RPLP0	ribosomal protein, large, P0 /// ribosomal protein, large, P0	1.15	0.18	0.15	1.03	0.22	0.22	0.90	down	0.032094185
211733_x_at	BC005911	SCP2	sterol carrier protein 2 /// sterol carrier protein 2	0.95	0.21	0.22	1.10	0.35	0.32	1.15	up	0.016849603
211769_x_at	BC006088	TDE1	tumor differentially expressed 1 /// tumor differentially expressed 1	0.91	0.22	0.24	1.04	0.21	0.20	1.15	up	0.040676371
211795_s_at	AF198052	FYB	FYN binding protein (FYB-120/130) /// FYN binding protein (FYB-120/130)	0.93	0.15	0.16	1.15	0.35	0.30	1.23	up	0.048269105
211927_x_at	BE963164	EEF1G	eukaryotic translation elongation factor 1 gamma	1.10	0.18	0.16	0.97	0.19	0.20	0.88	down	0.028380669
211934_x_at	W87689	G2AN	glucosidase, alpha; neutral AB	0.71	0.30	0.42	0.93	0.26	0.28	1.32	up	0.032073358
211968_s_at	AI962933	HSPCA	heat shock 90kDa protein 1, alpha	0.79	0.20	0.25	1.06	0.34	0.32	1.33	up	0.001179099
211975_at	BE299671		zinc finger protein 289, ID1 regulated	1.10	0.13	0.12	0.98	0.17	0.17	0.89	down	0.012741388
211998_at	AW138159	H3F3B	H3 histone, family 3B (H3.3B)	1.16	0.17	0.15	1.04	0.35	0.34	0.89	down	0.023455726
211999_at	Z48950	H3F3B; H3.3B	H3 histone, family 3B (H3.3B)	1.14	0.17	0.15	0.97	0.18	0.19	0.85	down	0.022000545
212007_at	AI927512	UBXD2	UBX domain containing 2	0.85	0.29	0.35	1.07	0.16	0.15	1.26	up	0.006985679
212014_x_at	AI493245	CD44	CD44 antigen (homing function and Indian blood group system)	0.85	0.13	0.15	1.15	0.50	0.44	1.35	up	0.011846416
212039_x_at	BG339228	RPL3	ribosomal protein L3	1.05	0.11	0.11	0.89	0.20	0.23	0.84	down	0.011846416
212050_at	AK026913	WIRE	WIRE protein	1.15	0.19	0.17	1.02	0.27	0.26	0.89	down	0.023455726
212102_s_at	AK002111	KPNA6	karyopherin alpha 6 (importin alpha 7) /// karyopherin alpha 6 (importin alpha 7)	0.90	0.13	0.14	1.07	0.38	0.35	1.19	up	0.040676371
212119_at	BF670447		ras homolog gene family, member Q	0.94	0.23	0.25	1.14	0.31	0.27	1.21	up	0.043092809
212188_at	AA551075	LOC115207	potassium channel tetramerisation domain containing 12	0.85	0.20	0.23	1.07	0.33	0.31	1.27	up	0.019268589
212191_x_at	AW574664	RPL13	ribosomal protein L13	1.17	0.17	0.15	0.97	0.23	0.24	0.82	down	0.002105193
212194_s_at	AI418892	KIAA0255	transmembrane 9 superfamily protein member 4	0.91	0.13	0.14	1.10	0.26	0.23	1.21	up	0.022000545
212220_at	AI972268	PSME4	proteasome (prosome, macropain) activator subunit 4	0.82	0.40	0.49	1.09	0.39	0.36	1.34	up	0.022000545
212221_x_at	AV703259	na	iduronate 2-sulfatase (Hunter syndrome)	1.05	0.11	0.11	0.91	0.19	0.21	0.86	down	0.030171071
212237_at	N64780		additional sex combs like 1 (Drosophila)	1.08	0.13	0.12	0.97	0.13	0.13	0.90	down	0.00303302
212239_at	AI680192		phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	0.79	0.24	0.30	1.06	0.22	0.21	1.33	up	0.001438145
212240_s_at	AI679268	PIK3R1	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	0.81	0.35	0.43	1.02	0.24	0.24	1.26	up	0.015718787
212244_at	AL050091	GRINL1A	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	1.11	0.25	0.23	0.92	0.18	0.20	0.83	down	0.045648446
212249_at	AI934473	PIK3R1	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	0.76	0.44	0.58	1.16	0.48	0.41	1.52	up	0.003934113
212251_at	AI972475	LYRIC	LYRIC/3D3	0.91	0.19	0.21	1.21	0.48	0.40	1.34	up	0.023455726
212318_at	NM_012470	TRN-SR	transportin 3 /// transportin 3	0.93	0.14	0.15	1.03	0.15	0.14	1.10	up	0.038369689
212329_at	D83782	SCAP	SREBP CLEAVAGE-ACTIVATING PROTEIN	1.19	0.24	0.20	1.06	0.24	0.22	0.89	down	0.048269105
212400_at	AL043266		hypothetical protein MGC50853	1.24	0.25	0.20	0.92	0.22	0.24	0.74	down	0.002770437
212413_at	D50918	6-Sep	septin 6	1.21	0.28	0.23	0.94	0.18	0.19	0.78	down	0.005061696
212414_s_at	D50918	6-Sep	septin 6	1.31	0.28	0.21	0.93	0.30	0.32	0.71	down	9.62E-04
212417_at	BF058944	SCAMP1	secretory carrier membrane protein 1	0.75	0.33	0.44	1.02	0.37	0.36	1.36	up	0.019283461
212420_at	AL559590	ELF1	E74-like factor 1 (ets domain transcription factor)	0.79	0.35	0.44	1.13	0.40	0.36	1.44	up	0.006985679
212498_at	AF056433		Clone FBD3 Cri-du-chat critical region mRNA	1.10	0.16	0.15	0.99	0.16	0.16	0.90	down	0.02664114
212578_x_at	BF026595	RPS17	ribosomal protein S17	1.15	0.21	0.19	0.99	0.21	0.21	0.87	down	0.015718787
212587_s_at	AI809341	PTPRC	protein tyrosine phosphatase, receptor type, C	0.75	0.23	0.31	1.02	0.23	0.23	1.35	up	0.004658583
212611_at	AV728526	MPEG1	deltex 4 homolog (Drosophila)	1.24	0.34	0.27	0.94	0.20	0.21	0.76	down	0.008807338
212622_at	N64760	KIAA0033	KIAA0033 protein	1.13	0.18	0.16	1.02	0.12	0.11	0.90	down	0.006454409
212642_s_at	AL023584		human immunodeficiency virus type I enhancer binding protein 2	1.14	0.18	0.16	0.97	0.21	0.22	0.85	down	0.038369689
212734_x_at	AI186735	RPL13	ribosomal protein L13	1.07	0.09	0.08	0.94	0.16	0.17	0.88	down	0.006454409
212761_at	AI949687	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	0.94	0.33	0.35	1.20	0.45	0.37	1.29	up	0.019283461
212790_x_at	BF942308	RPL13A	ribosomal protein L13a	1.10	0.11	0.10	0.99	0.17	0.17	0.90	down	0.006992892
212794_s_at	AK001728	KIAA1033	KIAA1033 protein	0.80	0.29	0.36	1.01	0.14	0.14	1.26	up	0.040676371
212835_at	AA777641	KIAA0157	KIAA0157	0.86	0.17	0.20	1.02	0.22	0.21	1.18	up	0.025006967
212839_s_at	AK024044		Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)	0.84	0.20	0.23	1.04	0.19	0.18	1.25	up	0.006992892
212840_at	BG339560	KIAA0794	KIAA0794 protein	0.92	0.22	0.24	1.11	0.21	0.18	1.21	up	0.009497343
212901_s_at	BF732638	CSTF2T	cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa, tau variant	1.24	0.31	0.25	0.98	0.23	0.24	0.79	down	0.013668535
212902_at	BE645231	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	0.89	0.20	0.23	1.09	0.26	0.24	1.23	up	0.028380669
212917_x_at	AI814728	RECQL	RecQ protein-like (DNA helicase Q1-like)	0.85	0.24	0.29	1.03	0.23	0.22	1.21	up	0.023455726
212933_x_at	AA961748	RPL13	ribosomal protein L13	1.13	0.21	0.18	0.97	0.23	0.23	0.86	down	0.036191734
212946_at	AK025432	KIAA0564	KIAA0564 protein	1.11	0.16	0.14	0.93	0.20	0.21	0.83	down	0.004658583
212952_at	AA910371	CALR	MAX binding protein	0.82	0.22	0.27	1.22	0.44	0.36	1.49	up	0.005494224
213002_at	AA770596	MARCKS	myristoylated alanine-rich protein kinase C substrate	0.89	0.15	0.17	1.16	0.40	0.35	1.29	up	0.023455726
213020_at	AI814252	GOSR1	golgi SNAP receptor complex member 1	1.14	0.20	0.17	0.97	0.18	0.18	0.85	down	0.011024637
213034_at	AB023216	KIAA0999	KIAA0999 protein	1.07	0.16	0.15	0.95	0.19	0.20	0.89	down	0.028380669
213056_at	AU145019	GRSP1	GRP1-binding protein GRSP1	0.82	0.21	0.26	1.19	0.45	0.38	1.45	up	0.008807338
213084_x_at	BF125158	RPL23A	ribosomal protein L23a	1.03	0.09	0.08	0.94	0.15	0.16	0.91	down	0.038369689
213104_at	AI799802	MGC24381	hypothetical protein MGC24381	1.11	0.18	0.16	0.97	0.15	0.15	0.88	down	0.010232337
213117_at	AW138594	KIAA1354	KIAA1354 protein	0.83	0.24	0.29	1.02	0.26	0.25	1.22	up	0.022000545
213152_s_at	AI343248		Splicing factor, arginine/serine-rich, 46kD	1.16	0.22	0.19	0.97	0.24	0.25	0.83	down	0.016849603
213208_at	AI801951	KIAA0240	KIAA0240	1.06	0.13	0.12	0.96	0.20	0.21	0.91	down	0.038369689
213213_at	AL035669		death associated transcription factor 1	1.19	0.29	0.24	0.93	0.23	0.25	0.78	down	0.005061696
213218_at	AV705032	ZNF187	zinc finger protein 187	1.12	0.13	0.12	0.97	0.18	0.18	0.86	down	0.009506378
213274_s_at	AA020826		cathepsin B	0.88	0.23	0.26	0.99	0.20	0.20	1.13	up	0.011846416
213315_x_at	L43577	LOC91966	hypothetical protein LOC91966	0.92	0.14	0.16	1.07	0.22	0.21	1.16	up	0.032094185
213326_at	AU150319	VAMP1	vesicle-associated membrane protein 1 (synaptobrevin 1)	1.08	0.19	0.18	0.97	0.19	0.19	0.90	down	0.048269105
213340_s_at	AI073551	KIAA0495	KIAA0495	1.24	0.20	0.16	0.99	0.17	0.18	0.80	down	1.73E-04
213347_x_at	AW132023	RPS4X	ribosomal protein S4, X-linked	1.18	0.18	0.15	0.98	0.21	0.22	0.83	down	0.002534309
213379_at	AF091086	CL640	hypothetical protein CL640	0.85	0.18	0.22	1.12	0.31	0.27	1.31	up	0.005494224
213446_s_at	AI679073	IQGAP1	IQ motif containing GTPase activating protein 1	0.66	0.36	0.54	1.24	0.67	0.54	1.87	up	0.002309612
213588_x_at	AA838274	RPL14	ribosomal protein L14	1.24	0.24	0.19	1.04	0.28	0.27	0.84	down	0.011024637
213666_at	AK026589	6-Sep	septin 6	1.13	0.15	0.13	1.04	0.33	0.32	0.92	down	0.022000545
213672_at	AA621558	MARS	methionine-tRNA synthetase	1.10	0.19	0.17	1.00	0.26	0.26	0.91	down	0.048269105
213687_s_at	BE968801	RPL35A	ribosomal protein L35a	1.17	0.24	0.21	0.99	0.25	0.25	0.85	down	0.014663846
213729_at	Z78308	FNBP3	formin binding protein 3	0.89	0.17	0.19	1.03	0.16	0.16	1.16	up	0.016836046
213742_at	AW241752	SFRS11	splicing factor, arginine/serine-rich 11	0.92	0.45	0.49	1.24	0.56	0.45	1.35	up	0.028361428
213746_s_at	AW051856		filamin A, alpha (actin binding protein 280)	0.83	0.26	0.32	1.01	0.30	0.29	1.21	up	0.036169262
213801_x_at	AW304232	LAMR1	laminin receptor 1 (ribosomal protein SA, 67kDa)	1.16	0.22	0.19	1.00	0.24	0.24	0.87	down	0.032073358
213803_at	BG545463	KPNB1	karyopherin (importin) beta 1	0.93	0.13	0.14	1.11	0.24	0.22	1.20	up	0.030171071
213812_s_at	AK024748	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta /// calcium/calmodulin-dependent protein kinase kinase 2, beta	0.83	0.36	0.44	1.30	0.58	0.45	1.57	up	0.032073358
213850_s_at	AI984932	SFRS2IP	splicing factor, arginine/serine-rich 2, interacting protein	0.79	0.23	0.29	1.02	0.21	0.21	1.29	up	0.001745382
213890_x_at	AI200589	RPS16	ribosomal protein S16	1.15	0.18	0.15	0.98	0.18	0.18	0.85	down	0.002530978
213915_at	NM_005601	NKG7	natural killer cell group 7 sequence /// natural killer cell group 7 sequence	0.71	0.23	0.32	1.07	0.35	0.32	1.50	up	2.22E-04
213941_x_at	AI970731	RPS7	ribosomal protein S7	1.12	0.17	0.15	0.99	0.15	0.15	0.88	down	0.016849603
213969_x_at	BF683426		ribosomal protein L29	1.13	0.17	0.15	0.98	0.21	0.21	0.86	down	0.018018373
213971_s_at	AI924660	na	joined to JAZF1	0.86	0.23	0.27	1.10	0.21	0.19	1.27	up	0.015718787
214007_s_at	AW665024	PTK9	PTK9 protein tyrosine kinase 9	0.84	0.26	0.31	1.16	0.58	0.50	1.38	up	0.023455726
214012_at	BE551138	ARTS-1	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	1.16	1.32	1.14	1.49	0.95	0.64	1.28	up	0.043092809
214041_x_at	BE857772	RPL37A	ribosomal protein L37a	0.89	0.46	0.52	1.58	1.77	1.12	1.78	up	0.02664114
214085_x_at	AI912583	HRB2	GLI pathogenesis-related 1 (glioma)	1.16	0.21	0.18	1.03	0.24	0.24	0.89	down	0.034071627
214143_x_at	AI560573	RPL24	ribosomal protein L24	1.18	0.19	0.16	1.00	0.21	0.21	0.85	down	0.012730241
214167_s_at	AA555113	RPLP0	ribosomal protein, large, P0	1.19	0.28	0.24	0.95	0.27	0.28	0.80	down	0.032073358
214196_s_at	AA602532	CLN2	ceroid-lipofuscinosis, neuronal 2, late infantile (Jansky-Bielschowsky disease)	0.86	0.15	0.17	1.11	0.30	0.27	1.28	up	0.003609678
214298_x_at	AL568374	6-Sep	septin 6	1.34	0.34	0.25	1.09	0.45	0.41	0.81	down	0.005494224
214315_x_at	AI348935	CALR	calreticulin	0.90	0.21	0.23	1.02	0.27	0.26	1.13	up	0.02664114
214351_x_at	AA789278		ribosomal protein L13	1.12	0.14	0.12	0.88	0.22	0.25	0.79	down	0.001301052
214500_at	AF044286	H2AFY	H2A histone family, member Y	0.89	0.11	0.12	1.03	0.29	0.28	1.16	up	0.022000545
214525_x_at	AB039667	MLH3	mutL homolog 3 (E. coli)	1.48	0.54	0.37	0.91	0.26	0.29	0.61	down	0.00117728
214658_at	BG286537	CGI-109	CGI-109 protein	0.88	0.22	0.25	1.10	0.35	0.32	1.25	up	0.040700539
214659_x_at	AC_007956		chromosome 14 open reading frame 170	0.90	0.19	0.21	1.04	0.21	0.20	1.16	up	0.023455726
214688_at	BF217301	BCE-1	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	1.27	0.35	0.27	0.98	0.18	0.18	0.77	down	0.021984286
214693_x_at	BE732345	FLJ21272	chomosome one amplified sequence 1 cyclophilin	0.79	0.50	0.63	1.03	0.30	0.29	1.31	up	0.034071627
214731_at	AB037854	DKFZp547A023	hypothetical protein DKFZp547A023	1.16	0.24	0.21	0.98	0.16	0.16	0.84	down	0.006985679
214737_x_at	AV725195	HNRPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	1.03	0.06	0.06	0.94	0.15	0.16	0.91	down	0.045622534
214771_x_at	AK025604	RHOIP3	myosin phosphatase-Rho interacting protein	1.14	0.23	0.20	0.98	0.21	0.21	0.86	down	0.016836046
214773_x_at	AI983505	MGC3794	putative MAPK activating protein	0.84	0.22	0.26	1.11	0.37	0.34	1.31	up	0.006454409
214833_at	AB007958	KIAA0792	KIAA0792 gene product	1.15	0.20	0.18	1.02	0.27	0.27	0.89	down	0.011846416
214918_at	AK024911	HNRPM; HTGR1; NAGR1; HNRNPM; HNRPM4; HNRNPM4	heterogeneous nuclear ribonucleoprotein M	1.08	0.23	0.21	0.91	0.18	0.20	0.84	down	0.014663846
214923_at	AK001155	MPP5	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	0.92	0.16	0.17	1.08	0.21	0.20	1.17	up	0.005067366
214933_at	AA769818		calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	1.24	0.29	0.24	1.02	0.18	0.18	0.82	down	0.023455726
214965_at	AF070574	MGC26885	hypothetical protein MGC26885	1.17	0.26	0.22	1.03	0.27	0.26	0.88	down	0.018018373
215071_s_at	AL353759		histone 1, H2ac	1.10	0.15	0.13	0.90	0.24	0.26	0.82	down	0.012730241
215082_at	BF973387		ELOVL family member 5, elongation of long chain fatty aci(FEN1/Elo2, SUR4/Elo3-like, yeast)	1.16	0.21	0.18	0.93	0.16	0.17	0.80	down	0.025024684
215338_s_at	AI688640	NKTR	natural killer-tumor recognition sequence	0.99	0.53	0.54	1.12	0.24	0.21	1.13	up	0.025024684
215343_at	AF070587	na	Clone 24741 mRNA sequence	0.87	0.19	0.21	1.08	0.40	0.37	1.24	up	0.048269105
215521_at	AK023029	PHC3	polyhomeotic like 3 (Drosophila)	0.97	0.31	0.32	1.11	0.20	0.18	1.14	up	0.034071627
215555_at	AU158442		CDNA FLJ13712 fis, clone PLACE2000394	1.26	0.27	0.21	0.98	0.29	0.30	0.78	down	0.005957871
215629_s_at	AA905286		deleted in lymphocytic leukemia, 2	0.83	0.26	0.32	1.02	0.21	0.20	1.23	up	0.032094185
215707_s_at	AV725328	PRNP	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	0.88	0.12	0.13	0.94	0.21	0.23	1.07	up	0.034071627
215718_s_at	AI949220		PHD finger protein 3	1.09	0.20	0.19	1.01	0.16	0.16	0.92	down	0.038369689
215726_s_at	M22976	CYB5	cytochrome b-5 /// cytochrome b-5	1.20	0.36	0.30	0.90	0.22	0.25	0.75	down	0.011024637
215794_x_at	AC_006144	GLUD2; GLUDP1	glutamate dehydrogenase 1	0.91	0.12	0.13	0.99	0.28	0.28	1.09	up	0.02664114
215884_s_at	AK001029	UBQLN2	ubiquilin 2 /// ubiquilin 2	0.91	0.17	0.19	1.10	0.32	0.29	1.21	up	0.022000545
216037_x_at	AA664011	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	0.84	0.24	0.28	1.07	0.30	0.28	1.28	up	0.016849603
216294_s_at	AL137254	KIAA1109	hypothetical protein KIAA1109	0.81	0.23	0.29	1.03	0.31	0.31	1.28	up	0.018018373
216342_x_at	AL121916		ribosomal protein S4, X-linked	1.12	0.19	0.17	1.00	0.19	0.19	0.89	down	0.023455726
