Genbank	0.1mM Ibu Ratio	0.1mM Ibu P-value	Description
NM_003353	2.13	0.040	urocortin
NM_025040	2.13	0.003	zinc finger protein 614
NM_005337	2.13	0.011	NCK-associated protein 1-like
NM_003692	2.13	0.029	transmembrane protein with EGF-like and two follistatin-like domains 1
NM_000798	2.13	0.002	dopamine receptor D5
NM_014782	2.13	0.009	armadillo repeat containing, X-linked 2
NM_003904	2.13	0.014	zinc finger protein 259
NM_006558	2.13	0.028	KH domain containing, RNA binding, signal transduction associated 3
AL049327	2.13	0.036	KRIT1, ankyrin repeat containing
NM_025132	2.13	0.009	WD repeat domain 19
BX104647	2.13	0.029	G protein-coupled receptor 64
AW135067	2.13	0.002	Transcribed locus
NM_031301	2.13	0.002	anterior pharynx defective 1 homolog B (C. elegans)
NM_006110	2.13	0.018	CD2 (cytoplasmic tail) binding protein 2
NM_015948	2.13	0.007	solute carrier family 35, member B3
NM_052861	2.12	0.013	hypothetical protein MGC21675
NM_012323	2.12	0.007	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
NM_003569	2.12	0.007	syntaxin 7
BQ446527	2.12	0.020	Membrane associated guanylate kinase
NM_183373	2.12	0.001	chromosome 6 open reading frame 145
BM797967	2.12	0.007	Steroid receptor RNA activator 1
AA356925	2.12	0.013	Component of oligomeric golgi complex 5
NM_005318	2.12	0.002	H1 histone family, member 0
NM_020898	2.11	0.030	calcium binding and coiled-coil domain 1
NM_018343	2.11	0.002	RIO kinase 2 (yeast)
AL832248	2.11	0.004	TatD DNase domain containing 3
NM_153273	2.11	0.007	inositol hexaphosphate kinase 1
C04733	2.11	0.030	Fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)
NM_018102	2.11	0.004	zinc finger protein 334
BC030694	2.11	0.003	v-myc myelocytomatosis viral oncogene homolog 1
NM_004361	2.11	0.030	cadherin 7, type 2
NM_016531	2.11	0.042	Kruppel-like factor 3 (basic)
CK004241	2.11	0.011	GTPase activating Rap/RanGAP domain-like 1
AF359418	2.11	0.005	Olfactory receptor-like (PJCG9) pseudogene mRNA, partial sequence
C00837	2.11	0.009	Acyl-CoA thioesterase 4
NM_020390	2.11	0.024	eukaryotic translation initiation factor 5A2
BC037316	2.11	0.002	zinc finger protein 630
NM_002587	2.10	0.015	protocadherin 1 (cadherin-like 1)
NM_138284	2.10	0.031	interleukin 17D
AW603401	2.10	0.046	SMAD, mothers against DPP homolog 2 (Drosophila)
NM_006375	2.10	0.012	cytosolic ovarian carcinoma antigen 1
AL390152	2.10	0.024	ribosomal protein S6 kinase-like 1
T47593	2.10	0.003	Small nuclear ribonucleoprotein polypeptide E
NM_003900	2.10	0.003	sequestosome 1
NM_194071	2.10	0.007	cAMP responsive element binding protein 3-like 2
NM_004684	2.10	0.011	SPARC-like 1 (mast9, hevin)
BU167504	2.10	0.031	Zinc finger protein 620
NM_022837	2.10	0.001	hypothetical protein FLJ22833
NM_194252	2.10	0.013	tubulin tyrosine ligase-like family, member 11
BM904026	2.10	0.047	Vacuolar protein sorting 72 (S. cerevisiae)
AA775448	2.09	0.0001	Amine oxidase, copper containing 2 (retina-specific)
AI458081	2.09	0.007	Nitric oxide synthase 3 (endothelial cell)
NM_024588	2.09	0.033	hypothetical protein FLJ23584
NM_005080	2.09	0.003	X-box binding protein 1
N76345	2.09	0.020	Dynein, axonemal, light polypeptide 4
BX648466	2.09	0.041	kelch-like 24 (Drosophila)
AI123296	2.09	0.040	B-cell receptor-associated protein 29
BE812080	2.09	0.004	Ubiquilin 1
NM_015603	2.08	0.028	coiled-coil domain containing 9
NM_025195	2.08	0.001	tribbles homolog 1 (Drosophila)
NM_033027	2.08	0.009	AXIN1 up-regulated 1
NM_031306	2.08	0.009	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59
NM_015675	2.08	0.049	growth arrest and DNA-damage-inducible, beta
NM_016639	2.08	0.007	tumor necrosis factor receptor superfamily, member 12A
NM_002201	2.08	0.043	interferon stimulated exonuclease gene 20kDa
CB410003	2.08	0.002	Family with sequence similarity 40, member B
NM_015641	2.08	0.021	testis derived transcript (3 LIM domains)
NM_173561	2.08	0.005	unc-5 homolog C (C. elegans)-like
NM_080676	2.08	0.026	chromosome 20 open reading frame 133
NM_032280	2.08	0.001	zinc finger, CCHC domain containing 9
NM_000303	2.08	0.009	phosphomannomutase 2
NM_198457	2.08	0.0004	zinc finger protein 600
NM_002924	2.08	0.002	regulator of G-protein signalling 7
NM_021934	2.08	0.019	chromosome 12 open reading frame 44
AA425426	2.08	0.026	Sorcin
BM796556	2.08	0.038	Polycystic kidney and hepatic disease 1 (autosomal recessive)
BI857232	2.07	0.008	CDNA clone IMAGE:3613441
NM_199135	2.07	0.023	FOXD4-like 2
BU075110	2.07	0.034	Serine peptidase inhibitor, Kazal type 1
BG332137	2.07	0.078	Solute carrier family 1 (neutral amino acid transporter), member 5
NM_004418	2.07	0.009	dual specificity phosphatase 2
NM_032581	2.07	0.012	family with sequence similarity 126, member A
NM_000907	2.07	0.036	natriuretic peptide receptor B/guanylate cyclase B
NM_006992	2.07	0.001	leucine rich repeat containing 23
NM_080429	2.07	0.017	aquaporin 10
NM_020142	2.07	0.008	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2
NM_012382	2.07	0.015	tetratricopeptide repeat domain 33
BC021677	2.06	0.017	Aryl hydrocarbon receptor
L39060	2.06	0.0004	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa
NM_003369	2.06	0.002	UV radiation resistance associated gene
NM_024692	2.06	0.012	restin-like 2
AK023104	2.06	0.014	ETAA16
NM_080749	2.06	0.021	neuralized-like 2 (Drosophila)
NM_017635	2.06	0.030	suppressor of variegation 4-20 homolog 1 (Drosophila)
R37434	2.06	0.031	Neuroblastoma breakpoint family, member 1
NM_007283	2.05	0.014	monoglyceride lipase
AA393680	2.05	0.019	Tensin 3
AV656964	2.05	0.036	SCC-112 protein
NM_006111	2.05	0.0003	acetyl-Coenzyme A acyltransferase 2
AI125034	2.05	0.005	FYN oncogene related to SRC, FGR, YES
AI147428	2.05	0.006	Solute carrier family 13 (sodium-dependent dicarboxylate transporter)
NM_019556	2.05	0.002	motile sperm domain containing 1
BX103818	2.05	0.027	SET binding factor 2
NM_172341	2.05	0.036	presenilin enhancer 2 homolog (C. elegans)
CB139838	2.05	0.011	Zinc finger CCCH-type, antiviral 1
NM_003714	2.05	0.002	stanniocalcin 2
NM_005028	2.05	0.018	phosphatidylinositol-4-phosphate 5-kinase, type II, alpha
NM_016270	2.05	0.003	Kruppel-like factor 2 (lung)
NM_000259	2.05	0.020	myosin VA (heavy polypeptide 12, myoxin)
NM_052873	2.05	0.002	chromosome 14 open reading frame 179
NM_024741	2.04	0.001	zinc finger protein 408
NM_022133	2.04	0.006	sorting nexin 16
AA613783	2.04	0.015	Desmocollin 2
AF211169	2.04	0.023	fibroblast growth factor 1 (acidic)
BQ416907	2.04	0.049	Sterile alpha motif and leucine zipper containing kinase AZK
NM_006852	2.04	0.0001	tousled-like kinase 2
AK124513	2.04	0.006	zinc finger, X-linked, duplicated B
NM_024722	2.04	0.021	acyl-Coenzyme A binding domain containing 4
BU664757	2.04	0.028	Calcium/calmodulin-dependent protein kinase (CaM kinase) II delta
NM_013321	2.04	0.001	sorting nexin 8
AI523492	2.04	0.028	A kinase (PRKA) anchor protein 13
NM_013240	2.04	0.023	HemK methyltransferase family member 2
NM_012141	2.04	0.007	integrator complex subunit 6
NM_030818	2.04	0.005	coiled-coil domain containing 130
BE003001	2.04	0.031	Transcription factor CP2-like 1
NM_004675	2.03	0.012	DIRAS family, GTP-binding RAS-like 3
NM_177951	2.03	0.006	protein phosphatase 1A (formerly 2C), magnesium-dependent
AK095850	2.03	0.020	hypothetical protein BC004360
AK090613	2.03	0.023	hypothetical gene supported by BC040853
NM_021184	2.03	0.022	chromosome 6 open reading frame 47
NM_003718	2.03	0.044	cell division cycle 2-like 5 (cholinesterase-related cell division controller)
BF510814	2.03	0.037	SH3 and multiple ankyrin repeat domains 3
NM_019000	2.03	0.006	hypothetical protein FLJ20152
AB007861	2.03	0.041	hypothetical protein MGC22014
NM_152495	2.03	0.006	cornichon homolog 3 (Drosophila)
NM_031479	2.02	0.023	inhibin, beta E
NM_024804	2.02	0.018	zinc finger protein 669
NM_030664	2.02	0.010	phosphotriesterase related
NM_005156	2.02	0.027	ROD1 regulator of differentiation 1 (S. pombe)
BG990621	2.02	0.036	Interferon, alpha 1
NM_138783	2.02	0.004	zinc finger protein 653
NM_014900	2.02	0.022	COBL-like 1
NM_032866	2.02	0.001	cingulin-like 1
NM_006111	2.02	0.002	acetyl-Coenzyme A acyltransferase 2
AI680997	2.02	0.006	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
NM_004892	2.02	0.008	SEC22 vesicle trafficking protein homolog B (S. cerevisiae)
NM_004290	2.01	0.003	ring finger protein 14
NM_016499	2.01	0.035	HSPC244
AA296466	2.01	0.018	Myelin oligodendrocyte glycoprotein
NM_139178	2.01	0.002	alkB, alkylation repair homolog 3 (E. coli)
AW182949	2.01	0.011	Albumin
AL832607	2.01	0.002	KPL2 protein
NM_017843	2.01	0.015	breast carcinoma amplified sequence 4
NM_013380	2.01	0.001	zinc finger protein 228
NM_138348	2.01	0.003	family with sequence similarity 105, member B
BF516217	2.01	0.008	Coiled-coil domain containing 76
NM_015900	2.01	0.026	phospholipase A1 member A
NM_012110	2.01	0.002	cysteine-rich hydrophobic domain 2
NM_152384	2.01	0.012	Bardet-Biedl syndrome 5
AW971519	2.01	0.033	Tryptophanyl-tRNA synthetase
NM_000368	2.01	0.006	tuberous sclerosis 1
NM_152519	2.01	0.041	hypothetical protein FLJ23861
NM_022787	2.01	0.042	nicotinamide nucleotide adenylyltransferase 1
N80086	0.49	0.004	Cystatin B (stefin B)
BE383341	0.49	0.038	Basigin (Ok blood group)
NM_006235	0.49	0.004	POU domain, class 2, associating factor 1
BX111745	0.49	0.0002	Growth factor receptor-bound protein 2
BC035586	0.49	0.013	Zinc finger protein 746
NM_005086	0.49	0.001	sarcospan (Kras oncogene-associated gene)
BX106989	0.49	0.034	Erythrocyte membrane protein band 4.1-like 3
BF799421	0.49	0.006	Group-specific component (vitamin D binding protein)
NM_002634	0.49	0.014	prohibitin
NM_052865	0.49	0.014	chromosome 20 open reading frame 72
NM_002561	0.49	0.002	purinergic receptor P2X, ligand-gated ion channel, 5
NM_005916	0.49	0.021	MCM7 minichromosome maintenance deficient 7
NM_198451	0.49	0.001	forkhead box R2
NM_018336	0.49	0.007	TAF6-like RNA polymerase II
NM_152692	0.49	0.015	C1GALT1-specific chaperone 1
BI496646	0.49	0.004	CDC42 small effector 1
NM_080626	0.49	0.017	BRI3 binding protein
BX640973	0.49	0.008	KIAA1509
AW136157	0.49	0.002	Activin A receptor, type IIB
N52789	0.49	0.009	STT3, subunit of the oligosaccharyltransferase complex, homolog A
NM_006293	0.49	0.019	TYRO3 protein tyrosine kinase
NM_006502	0.49	0.003	polymerase (DNA directed), eta
BI906624	0.49	0.048	Formyl peptide receptor-like 1
AI814877	0.49	0.012	RAS p21 protein activator 3
NM_005966	0.49	0.017	NGFI-A binding protein 1 (EGR1 binding protein 1)
NM_006205	0.49	0.025	phosphodiesterase 6H, cGMP-specific, cone, gamma
BX112756	0.49	0.026	Nitric oxide synthase 3 (endothelial cell)
AV718237	0.49	0.019	Transcribed locus
NM_144726	0.49	0.041	hypothetical protein FLJ31951
NM_198277	0.49	0.027	solute carrier family 37 (glycerol-3-phosphate transporter), member 2
NM_014890	0.49	0.033	downregulated in ovarian cancer 1
BX116062	0.49	0.005	Interferon (alpha, beta and omega) receptor 1
CB994138	0.49	0.027	LIM homeobox 4
AI336108	0.49	0.029	CDNA FLJ37011 fis, clone BRACE2009957
NM_006986	0.49	0.040	melanoma antigen family D, 1
NM_012327	0.49	0.025	phosphatidylinositol glycan anchor biosynthesis, class N
NM_023915	0.49	0.002	G protein-coupled receptor 87
BM695035	0.49	0.004	Protein kinase, AMP-activated, beta 2 non-catalytic subunit
NM_012426	0.49	0.025	splicing factor 3b, subunit 3, 130kDa
NM_006550	0.49	0.009	fibrinogen silencer binding protein
AL518022	0.49	0.023	Similar to zinc finger protein 569
BE548324	0.49	0.004	Cullin 4B
J03474	0.49	0.045	serum amyloid A2
AW897912	0.49	0.043	Septin 8
AA203257	0.49	0.044	Sorbin and SH3 domain containing 2
NM_024642	0.49	0.012	UDP-N-acetyl-alpha-D-galactosamine
AK021972	0.49	0.036	Leucine rich repeat and fibronectin type III domain containing 5
BM006471	0.49	0.024	Syntaxin 16
AU124172	0.49	0.042	G protein-coupled receptor 125
BM712750	0.49	0.020	Basic, immunoglobulin-like variable motif containing
NM_178123	0.49	0.001	SEC14 and spectrin domains 1
CB217655	0.49	0.016	Leucine zipper protein 5
BM856490	0.49	0.029	H19, imprinted maternally expressed untranslated mRNA
T36227	0.49	0.022	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)
AF367017	0.49	0.014	caspase-1 dominant-negative inhibitor pseudo-ICE
NM_004119	0.49	0.010	fms-related tyrosine kinase 3
BM718969	0.49	0.006	Limb region 1 homolog (mouse)-like
BI495885	0.49	0.016	TEA domain family member 1 (SV40 transcriptional enhancer factor)
AK093870	0.49	0.004	Hypothetical protein MGC29671
NM_006591	0.49	0.001	polymerase (DNA-directed), delta 3, accessory subunit
AA311914	0.48	0.004	Myosin VIIB
NM_002081	0.48	0.019	glypican 1
NM_024101	0.48	0.002	melanophilin
AI500246	0.48	0.007	Inducible T-cell co-stimulator ligand
F01863	0.48	0.030	Cyclin-dependent kinase inhibitor 3
NM_003492	0.48	0.003	chromosome X open reading frame 12
NM_006904	0.48	0.006	protein kinase, DNA-activated, catalytic polypeptide
AI394036	0.48	0.005	Interleukin 1 receptor accessory protein
NM_004168	0.48	0.009	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
W76003	0.48	0.045	Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
AK094194	0.48	0.013	Pregnancy-associated plasma protein A, pappalysin 1
NM_001769	0.48	0.013	CD9 molecule
BX538190	0.48	0.003	contactin associated protein-like 3B
NM_014917	0.48	0.014	netrin G1
NM_139177	0.48	0.020	solute carrier family 39 (metal ion transporter), member 11
NM_000351	0.48	0.0002	steroid sulfatase (microsomal), arylsulfatase C, isozyme S
NM_014602	0.48	0.041	phosphoinositide-3-kinase, regulatory subunit 4, p150
NM_018918	0.48	0.003	protocadherin gamma subfamily A, 5
AW118530	0.48	0.026	Pre-B-cell leukemia transcription factor 1
N47708	0.48	0.009	Chromosome 6 open reading frame 106
AK023047	0.48	0.004	zinc finger protein 702
BI915179	0.48	0.011	H19, imprinted maternally expressed untranslated mRNA
AI217654	0.48	0.004	Transcribed locus
NM_006407	0.48	0.025	ADP-ribosylation-like factor 6 interacting protein 5
CB987193	0.48	0.003	DiGeorge syndrome critical region gene 8
NM_006276	0.48	0.012	splicing factor, arginine/serine-rich 7, 35kDa
NM_032319	0.48	0.004	chromosome 2 open reading frame 7
NM_015134	0.48	0.009	myosin phosphatase-Rho interacting protein
NM_138809	0.48	0.003	carboxymethylenebutenolidase-like (Pseudomonas)
BX640900	0.48	0.028	R7 binding protein
NM_004000	0.48	0.004	chitinase 3-like 2
BQ711228	0.48	0.010	Casein kinase 1, delta
NM_024496	0.48	0.040	chromosome 14 open reading frame 4
AL832201	0.48	0.011	KPL2 protein
NM_014141	0.48	0.036	contactin associated protein-like 2
W56137	0.48	0.015	CD109 molecule
AB007954	0.48	0.005	KIAA0485 protein
NM_024808	0.48	0.013	chromosome 13 open reading frame 34
AB029026	0.48	0.047	transforming, acidic coiled-coil containing protein 1
AW592049	0.48	0.034	Unc-84 homolog A (C. elegans)
AU127142	0.48	0.024	Coiled-coil domain containing 80
BX089508	0.48	0.006	Transcribed locus
CB144195	0.48	0.006	Plexin A2
NM_004462	0.48	0.002	farnesyl-diphosphate farnesyltransferase 1
NM_003362	0.48	0.005	uracil-DNA glycosylase
AW771045	0.47	0.021	Protein phosphatase 1, regulatory (inhibitor) subunit 12A
BQ695116	0.47	0.016	Basigin (Ok blood group)
AA760860	0.47	0.038	Gelsolin (amyloidosis, Finnish type)
BM714280	0.47	0.007	Diablo homolog (Drosophila)
AK002088	0.47	0.007	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)
NM_005155	0.47	0.001	palmitoyl-protein thioesterase 2
NM_052839	0.47	0.021	pannexin 2
AI675029	0.47	0.047	Complement component 7
AA453014	0.47	0.016	Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1)
BF000268	0.47	0.007	Suppressor of zeste 12 homolog (Drosophila)
NM_002819	0.47	0.020	polypyrimidine tract binding protein 1
NM_017413	0.47	0.033	apelin, AGTRL1 ligand
NM_000213	0.47	0.049	integrin, beta 4
NM_005567	0.47	0.002	lectin, galactoside-binding, soluble, 3 binding protein
NM_153613	0.47	0.004	1-acylglycerol-3-phosphate O-acyltransferase 7
NM_001628	0.47	0.028	aldo-keto reductase family 1, member B1 (aldose reductase)
NM_013381	0.47	0.047	thyrotropin-releasing hormone degrading enzyme
NM_003088	0.47	0.034	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
NM_000033	0.47	0.041	ATP-binding cassette, sub-family D (ALD), member 1
NM_005505	0.47	0.007	scavenger receptor class B, member 1
CD723006	0.47	0.018	Albumin
NM_000231	0.47	0.016	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)
NM_145661	0.47	0.009	apolipoprotein L, 4
AA775233	0.47	0.022	Peptidylglycine alpha-amidating monooxygenase
NM_005654	0.47	0.011	nuclear receptor subfamily 2, group F, member 1
NM_024895	0.47	0.042	PDZ domain containing 7
NM_015259	0.47	0.023	inducible T-cell co-stimulator ligand
CA433961	0.47	0.017	Symplekin
N63490	0.47	0.008	DEP domain containing 1B
NM_000927	0.47	0.035	ATP-binding cassette, sub-family B (MDR/TAP), member 1
NM_004485	0.47	0.0003	guanine nucleotide binding protein (G protein), gamma 4
AW015549	0.47	0.007	Nuclear receptor co-repressor 2
NM_006617	0.47	0.008	nestin
NM_152701	0.47	0.012	ATP-binding cassette, sub-family A (ABC1), member 13
AL353944	0.46	0.014	runt-related transcription factor 2
NM_006932	0.46	0.029	smoothelin
NM_018490	0.46	0.018	leucine-rich repeat-containing G protein-coupled receptor 4
AL359626	0.46	0.011	CAP-binding protein complex interacting protein 1
AA827037	0.46	0.010	Poliovirus receptor-related 1 (herpesvirus entry mediator C; nectin)
BC041434	0.46	0.037	Furry homolog-like (Drosophila)
NM_004041	0.46	0.030	arrestin, beta 1
NM_030805	0.46	0.006	lectin, mannose-binding 2-like
NM_005518	0.46	0.016	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)
NM_020795	0.46	0.002	neuroligin 2
AJ251973	0.46	0.023	neuron navigator 1
AK022738	0.46	0.024	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
NM_004526	0.46	0.005	MCM2 minichromosome maintenance deficient 2, mitotin
D31765	0.46	0.012	processing of precursor 1, ribonuclease P/MRP subunit
NM_015035	0.46	0.022	zinc fingers and homeoboxes 3
AF220048	0.46	0.031	integrin alpha FG-GAP repeat containing 2
Z39373	0.46	0.001	Acetyl-Coenzyme A carboxylase beta
BX115683	0.46	0.005	Syndecan binding protein (syntenin)
CA311286	0.46	0.002	Nucleoporin like 2
NM_052903	0.46	0.002	tubulin, gamma complex associated protein 5
NM_178033	0.46	0.033	cytochrome P450, family 4, subfamily X, polypeptide 1
AK025089	0.46	0.003	PTK2 protein tyrosine kinase 2
NM_031426	0.46	0.021	chromosome 9 open reading frame 58
NM_138959	0.46	0.015	vang-like 1 (van gogh, Drosophila)
NM_001846	0.46	0.039	collagen, type IV, alpha 2
NM_014051	0.46	0.016	transmembrane protein 14A
AI870287	0.46	0.014	Protein kinase C binding protein 1
BC049848	0.46	0.009	ASCL830
NM_133483	0.46	0.009	RAC/CDC42 exchange factor
NM_005595	0.46	0.047	nuclear factor I/A
NM_025240	0.46	0.020	CD276 molecule
NM_018134	0.46	0.0002	IQ motif containing C
NM_139058	0.46	0.023	aristaless related homeobox
NM_198493	0.46	0.008	ankyrin repeat domain 45
NM_012193	0.46	0.031	frizzled homolog 4 (Drosophila)
NM_002646	0.46	0.008	phosphoinositide-3-kinase, class 2, beta polypeptide
AK127265	0.46	0.047	Carbohydrate (chondroitin 4) sulfotransferase 11
H53875	0.46	0.009	T-complex 1
NM_003129	0.46	0.008	squalene epoxidase
BX114405	0.45	0.040	ADAM metallopeptidase domain 12 (meltrin alpha)
N74014	0.45	0.030	SET and MYND domain containing 1
AA176225	0.45	0.012	Aspartate beta-hydroxylase
NM_019106	0.45	0.009	septin 3
AI142075	0.45	0.021	Activin A receptor, type IIA
NM_001216	0.45	0.023	carbonic anhydrase IX
NM_005563	0.45	0.009	stathmin 1/oncoprotein 18
NM_153705	0.45	0.018	KDEL (Lys-Asp-Glu-Leu) containing 2
NM_001412	0.45	0.012	eukaryotic translation initiation factor 1A, X-linked
NM_001043	0.45	0.047	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
NM_018494	0.45	0.041	leucine-rich repeats and death domain containing
NM_033061	0.45	0.011	keratin associated protein 4-7
AK027548	0.45	0.004	chromosome 9 open reading frame 100
NM_013432	0.45	0.036	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2
NM_022739	0.45	0.026	SMAD specific E3 ubiquitin protein ligase 2
AA759210	0.45	0.036	Down syndrome critical region gene 1
AK024385	0.45	0.045	ADAM metallopeptidase domain 12 (meltrin alpha)
NM_000110	0.45	0.007	dihydropyrimidine dehydrogenase
BX107606	0.45	0.004	Chromosome 18 open reading frame 10
BQ186227	0.45	0.023	SEC14-like 3 (S. cerevisiae)
AW382204	0.45	0.006	Parvin, alpha
NM_002688	0.45	0.019	septin 5
NM_006034	0.45	0.020	tumor protein p53 inducible protein 11
BC041933	0.45	0.028	Ubiquitin protein ligase E3C
AK022986	0.45	0.014	Cdon homolog (mouse)
NM_014121	0.45	0.269	S-adenosyl homocysteine hydrolase homolog;
BX647700	0.45	0.009	gasdermin-like
NM_002893	0.45	0.015	retinoblastoma binding protein 7
NM_006055	0.45	0.025	LanC lantibiotic synthetase component C-like 1 (bacterial)
AA873769	0.45	0.034	Chemokine-like factor
AW023384	0.45	0.007	Runt-related transcription factor 1
BF509312	0.45	0.036	Glucocorticoid receptor DNA binding factor 1
AK025839	0.45	0.010	transmembrane protein 19
NM_152551	0.45	0.004	chromosome 6 open reading frame 151
NM_002629	0.45	0.021	phosphoglycerate mutase 1 (brain)
AW291120	0.44	0.006	Williams-Beuren syndrome chromosome region 17
NM_005515	0.44	0.001	homeobox HB9
NM_003519	0.44	0.048	histone 1, H2bl
AI798701	0.44	0.024	SAM and SH3 domain containing 1
BF528121	0.44	0.017	Claudin 15
NM_019001	0.44	0.037	5-3 exoribonuclease 1
NM_004265	0.44	0.009	fatty acid desaturase 2
AW183530	0.44	0.016	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2
NM_033056	0.44	0.020	protocadherin 15
CB215071	0.44	0.019	Ethanolamine kinase 1
NM_004631	0.44	0.015	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
R43262	0.44	0.007	Structural maintenance of chromosomes 1A
NM_005795	0.44	0.005	calcitonin receptor-like
NM_021953	0.44	0.032	forkhead box M1
BE967509	0.44	0.009	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
NM_001425	0.44	0.039	epithelial membrane protein 3
BE327359	0.44	0.024	PHD finger protein 20
AL834278	0.44	0.017	Ubiquitin specific peptidase 35
AW627948	0.44	0.040	Structural maintenance of chromosomes 2
AW272513	0.44	0.037	Delta-like 1 homolog (Drosophila)
NM_007331	0.44	0.012	Wolf-Hirschhorn syndrome candidate 1
NM_004452	0.44	0.398	estrogen-related receptor beta
NM_003348	0.44	0.011	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)
NM_006176	0.44	0.032	neurogranin (protein kinase C substrate, RC3)
BU595577	0.44	0.019	TSC22 domain family, member 3
AK000937	0.44	0.026	Microtubule associated monoxygenase
BE747016	0.44	0.038	Prostaglandin F2 receptor negative regulator
W79683	0.44	0.008	Collagen, type XXVII, alpha 1
NM_052871	0.44	0.025	hypothetical protein MGC4677
NM_015720	0.44	0.007	podocalyxin-like 2
BG034847	0.44	0.015	Anthrax toxin receptor 2
AK127847	0.44	0.030	FLJ45950 protein
NM_003898	0.43	0.004	synaptojanin 2
NM_018101	0.43	0.033	cell division cycle associated 8
BI825911	0.43	0.039	Albumin
NM_004479	0.43	0.046	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)
NM_006115	0.43	0.014	preferentially expressed antigen in melanoma
NM_014275	0.43	0.036	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
AA199833	0.43	0.0004	Similar to High mobility group protein 1-like 10 (HMG-1L10)
NM_031285	0.43	0.009	Homo sapiens tetraspanin 9 (TSPAN9), mRNA.
NM_015032	0.43	0.002	androgen-induced proliferation inhibitor
AK094176	0.43	0.027	Chromosome 3 open reading frame 10
BM799581	0.43	0.018	RAS p21 protein activator 4
X97198	0.43	0.003	protein tyrosine phosphatase, receptor type, U
BG171488	0.43	0.002	Phosphatidylinositol glycan anchor biosynthesis, class K
NM_000304	0.43	0.046	peripheral myelin protein 22
NM_000930	0.43	0.029	plasminogen activator, tissue
NM_025004	0.43	0.011	coiled-coil domain containing 15
NM_032783	0.43	0.009	carbonyl reductase 4
NM_003390	0.43	0.041	WEE1 homolog (S. pombe)
AW117545	0.43	0.005	Homo sapiens, clone IMAGE:4454331, mRNA
NM_000610	0.43	0.030	CD44 molecule (Indian blood group)
BM905431	0.43	0.035	Chromosome 14 open reading frame 106
NM_003603	0.43	0.025	sorbin and SH3 domain containing 2
AA865547	0.43	0.033	ADAM metallopeptidase with thrombospondin type 1 motif, 8
NM_003238	0.43	0.049	transforming growth factor, beta 2
BQ369826	0.43	0.008	Methylcrotonoyl-Coenzyme A carboxylase 2 (beta)
NM_182509	0.43	0.030	thrombospondin, type I, domain containing 3
NM_000495	0.43	0.029	collagen, type IV, alpha 5 (Alport syndrome)
D61989	0.43	0.002	Vacuolar protein sorting 13 homolog A (S. cerevisiae)
NM_021000	0.43	0.021	pituitary tumor-transforming 3
AI193574	0.43	0.036	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
D79473	0.42	0.016	Tuberous sclerosis 2
BU739793	0.42	0.043	Phosphodiesterase 4B, cAMP-specific
NM_152362	0.42	0.016	tumor necrosis factor, alpha-induced protein 8-like 1
NM_012411	0.42	0.026	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
NM_000262	0.42	0.002	N-acetylgalactosaminidase, alpha-
BC016384	0.42	0.049	Myosin phosphatase-Rho interacting protein
BX098966	0.42	0.034	Chromosome 16 open reading frame 74
AK095791	0.42	0.015	ADAM metallopeptidase with thrombospondin type 1 motif, 8
NM_007210	0.42	0.016	UDP-N-acetyl-alpha-D-galactosamine
NM_032391	0.42	0.002	small nuclear protein PRAC
T31036	0.42	0.009	Astrotactin
AW170360	0.42	0.049	Midkine (neurite growth-promoting factor 2)
NM_173646	0.42	0.030	hypothetical protein FLJ39660
NM_006478	0.42	0.0003	growth arrest-specific 2 like 1
NM_000251	0.42	0.004	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)
NM_080792	0.42	0.010	signal-regulatory protein alpha
AL121307	0.42	0.016	Paired box gene 5 (B-cell lineage specific activator)
NM_006444	0.42	0.008	structural maintenance of chromosomes 2
