Kegg Pathway	Pathway description	Gene symbol	Parametric p-value	Hazard Ratio
hsa04060	Cytokine-cytokine receptor interaction	EDAR	0.2136399	0.737
hsa04060	Cytokine-cytokine receptor interaction	CCL18	0.2139185	0.926
hsa04060	Cytokine-cytokine receptor interaction	IL20RA	0.2142886	0.829
hsa04060	Cytokine-cytokine receptor interaction	VEGFC	0.2151637	1.357
hsa04060	Cytokine-cytokine receptor interaction	LIF	0.2187228	1.123
hsa04060	Cytokine-cytokine receptor interaction	IL4R	0.2222736	0.844
hsa04060	Cytokine-cytokine receptor interaction	CXCL11	0.2271745	0.897
hsa04060	Cytokine-cytokine receptor interaction	LEPR	0.2279087	1.219
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF11A	0.2322164	0.781
hsa04060	Cytokine-cytokine receptor interaction	IL5	0.2444967	0.733
hsa04060	Cytokine-cytokine receptor interaction	INHBB	0.2530044	0.874
hsa04060	Cytokine-cytokine receptor interaction	IL5RA	0.25397	0.764
hsa04060	Cytokine-cytokine receptor interaction	IFNG	0.2559024	0.865
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF4	0.2562987	0.787
hsa04060	Cytokine-cytokine receptor interaction	IL17RA	0.2566057	0.783
hsa04060	Cytokine-cytokine receptor interaction	CSF2RB	0.2573355	0.72
hsa04060	Cytokine-cytokine receptor interaction	CXCL9	0.2604353	0.935
hsa04060	Cytokine-cytokine receptor interaction	IL12A	0.2695883	0.76
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF10A	0.2826029	0.796
hsa04060	Cytokine-cytokine receptor interaction	PF4	0.2830939	0.816
hsa04060	Cytokine-cytokine receptor interaction	IL20	0.2870921	0.846
hsa04060	Cytokine-cytokine receptor interaction	IL7	0.2877025	0.85
hsa04060	Cytokine-cytokine receptor interaction	EDA2R	0.2907795	0.797
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF9	0.2929315	0.909
hsa04060	Cytokine-cytokine receptor interaction	EDA	0.2971817	1.245
hsa04060	Cytokine-cytokine receptor interaction	IFNA21	0.2998845	0.834
hsa04060	Cytokine-cytokine receptor interaction	EGFR	0.3011526	0.73
hsa04060	Cytokine-cytokine receptor interaction	INHBC	0.3124715	0.775
hsa04060	Cytokine-cytokine receptor interaction	CD27	0.3178919	0.76
hsa04060	Cytokine-cytokine receptor interaction	IL11	0.3278108	0.806
hsa04060	Cytokine-cytokine receptor interaction	CLCF1	0.3285065	0.84
hsa04060	Cytokine-cytokine receptor interaction	IL23R	0.3300896	1.234
hsa04060	Cytokine-cytokine receptor interaction	TNFSF18	0.3330154	0.827
hsa04060	Cytokine-cytokine receptor interaction	CCL25	0.3393701	0.778
hsa04060	Cytokine-cytokine receptor interaction	CCR7	0.3397768	1.236
hsa04060	Cytokine-cytokine receptor interaction	IL26	0.3418193	0.854
hsa04060	Cytokine-cytokine receptor interaction	TNFSF15	0.3422633	1.294
hsa04060	Cytokine-cytokine receptor interaction	IFNAR2	0.3427705	0.761
hsa04060	Cytokine-cytokine receptor interaction	OSMR	0.3430289	0.798
hsa04060	Cytokine-cytokine receptor interaction	IFNGR1	0.3443637	1.159
hsa04060	Cytokine-cytokine receptor interaction	CSF1R	0.3511959	0.903
hsa04060	Cytokine-cytokine receptor interaction	IL21R	0.3741202	0.831
hsa04060	Cytokine-cytokine receptor interaction	CX3CR1	0.3815069	1.171
hsa04060	Cytokine-cytokine receptor interaction	IL6ST	0.3896401	1.166
hsa04060	Cytokine-cytokine receptor interaction	IL1RAP	0.4129701	0.901
hsa04060	Cytokine-cytokine receptor interaction	IL22RA1	0.4164704	0.798
hsa04060	Cytokine-cytokine receptor interaction	CNTF	0.4180464	0.892
hsa04060	Cytokine-cytokine receptor interaction	INHBE	0.4304641	1.174
hsa04060	Cytokine-cytokine receptor interaction	IL10RB	0.4330949	1.142
hsa04060	Cytokine-cytokine receptor interaction	IFNA4	0.4353992	0.878
hsa04060	Cytokine-cytokine receptor interaction	ACVR1	0.4484855	0.83
hsa04060	Cytokine-cytokine receptor interaction	IFNA2	0.4558166	0.824
hsa04060	Cytokine-cytokine receptor interaction	IL2RA	0.4559098	0.83
hsa04060	Cytokine-cytokine receptor interaction	IFNAR1	0.4559722	1.16
hsa04060	Cytokine-cytokine receptor interaction	IL25	0.4748862	1.122
hsa04060	Cytokine-cytokine receptor interaction	IFNA8	0.4763726	0.879
hsa04060	Cytokine-cytokine receptor interaction	IFNA5	0.4791112	1.106
hsa04060	Cytokine-cytokine receptor interaction	EPO	0.486926	0.886
hsa04060	Cytokine-cytokine receptor interaction	IFNGR2	0.4891724	0.921
hsa04060	Cytokine-cytokine receptor interaction	PDGFRB	0.4923498	1.246
hsa04060	Cytokine-cytokine receptor interaction	TNFSF10	0.4968139	0.946
hsa04060	Cytokine-cytokine receptor interaction	IL1B	0.4986345	0.919
hsa04060	Cytokine-cytokine receptor interaction	CCR9	0.5129585	0.896
hsa04060	Cytokine-cytokine receptor interaction	CD40	0.5214596	0.879
hsa04060	Cytokine-cytokine receptor interaction	IL1R2	0.5237056	0.89
hsa04060	Cytokine-cytokine receptor interaction	CXCR4	0.5358231	1.064
hsa04060	Cytokine-cytokine receptor interaction	IFNA1	0.5372896	0.889
hsa04060	Cytokine-cytokine receptor interaction	IL23A	0.5546083	0.921
hsa04060	Cytokine-cytokine receptor interaction	CXCL3	0.5587601	0.937
hsa04060	Cytokine-cytokine receptor interaction	GH1	0.5658352	0.872
hsa04060	Cytokine-cytokine receptor interaction	VEGFA	0.5676	1.101
hsa04060	Cytokine-cytokine receptor interaction	AMHR2	0.5690252	1.078
hsa04060	Cytokine-cytokine receptor interaction	IL12B	0.5771703	0.905
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF1B	0.581256	0.925
hsa04060	Cytokine-cytokine receptor interaction	CXCL10	0.5818664	0.963
hsa04060	Cytokine-cytokine receptor interaction	IL8	0.5945442	1.038
hsa04060	Cytokine-cytokine receptor interaction	AMH	0.6093471	1.108
hsa04060	Cytokine-cytokine receptor interaction	CXCL6	0.6138044	1.059
hsa04060	Cytokine-cytokine receptor interaction	CCR5	0.6177261	0.883
hsa04060	Cytokine-cytokine receptor interaction	FASLG	0.6261828	0.891
hsa04060	Cytokine-cytokine receptor interaction	CX3CL1	0.6307655	0.936
hsa04060	Cytokine-cytokine receptor interaction	CTF1	0.6334909	1.084
hsa04060	Cytokine-cytokine receptor interaction	IL13	0.6369287	1.149
hsa04060	Cytokine-cytokine receptor interaction	IL21	0.641395	1.073
hsa04060	Cytokine-cytokine receptor interaction	IL9	0.6457289	1.086
hsa04060	Cytokine-cytokine receptor interaction	IL10	0.6463974	0.894
hsa04060	Cytokine-cytokine receptor interaction	TNFSF8	0.6471784	0.92
hsa04060	Cytokine-cytokine receptor interaction	IL12RB2	0.6593041	0.915
hsa04060	Cytokine-cytokine receptor interaction	LEP	0.6618403	1.069
hsa04060	Cytokine-cytokine receptor interaction	GH2	0.6666875	0.937
hsa04060	Cytokine-cytokine receptor interaction	HGF	0.6802947	0.877
hsa04060	Cytokine-cytokine receptor interaction	TPO	0.6840554	1.083
hsa04060	Cytokine-cytokine receptor interaction	CD40LG	0.692798	1.149
hsa04060	Cytokine-cytokine receptor interaction	CCL22	0.7227406	0.915
hsa04060	Cytokine-cytokine receptor interaction	IL24	0.7272032	1.058
hsa04060	Cytokine-cytokine receptor interaction	CXCL1	0.7304571	0.974
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF21	0.7395837	0.966
hsa04060	Cytokine-cytokine receptor interaction	CXCR3	0.7418823	0.955
hsa04060	Cytokine-cytokine receptor interaction	IL6R	0.7688041	0.976
hsa04060	Cytokine-cytokine receptor interaction	IFNW1	0.7737026	1.062
hsa04060	Cytokine-cytokine receptor interaction	BMP2	0.7737879	1.035
hsa04060	Cytokine-cytokine receptor interaction	TNFSF13	0.780483	0.952
hsa04060	Cytokine-cytokine receptor interaction	CCR1	0.78608	0.954
hsa04060	Cytokine-cytokine receptor interaction	PDGFC	0.7983249	1.029
hsa04060	Cytokine-cytokine receptor interaction	IL3	0.8052222	0.927
hsa04060	Cytokine-cytokine receptor interaction	CCL11	0.814992	0.966
hsa04060	Cytokine-cytokine receptor interaction	IL18R1	0.8226434	1.026
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF17	0.8235872	0.982
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF1A	0.8295847	0.963
hsa04060	Cytokine-cytokine receptor interaction	IL6	0.8364198	0.983
hsa04060	Cytokine-cytokine receptor interaction	IL1R1	0.8366513	1.029
hsa04060	Cytokine-cytokine receptor interaction	IL1A	0.8380968	0.972
hsa04060	Cytokine-cytokine receptor interaction	CCL17	0.8392984	1.034
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF10D	0.8417461	1.06
hsa04060	Cytokine-cytokine receptor interaction	KIT	0.8440401	1.032
hsa04060	Cytokine-cytokine receptor interaction	IL18	0.8465377	1.02
hsa04060	Cytokine-cytokine receptor interaction	CCR6	0.8583938	1.067
hsa04060	Cytokine-cytokine receptor interaction	MET	0.8655418	0.979
hsa04060	Cytokine-cytokine receptor interaction	INHBA	0.8756397	0.964
hsa04060	Cytokine-cytokine receptor interaction	IL22	0.8832048	1.027
hsa04060	Cytokine-cytokine receptor interaction	TNFRSF6B	0.8896547	1.034
hsa04060	Cytokine-cytokine receptor interaction	IFNA6	0.9053263	0.981
hsa04060	Cytokine-cytokine receptor interaction	CCL27	0.9063082	1.024
hsa04060	Cytokine-cytokine receptor interaction	CCL20	0.9109098	0.991
hsa04060	Cytokine-cytokine receptor interaction	IL8RB	0.9149165	0.984
hsa04060	Cytokine-cytokine receptor interaction	TNFSF13B	0.9259421	1.007
hsa04060	Cytokine-cytokine receptor interaction	KITLG	0.9500726	1.018
hsa04060	Cytokine-cytokine receptor interaction	CCL26	0.9509881	0.983
hsa04060	Cytokine-cytokine receptor interaction	CCR8	0.9669995	0.991
hsa04060	Cytokine-cytokine receptor interaction	BMPR2	0.9879381	1.002
hsa04060	Cytokine-cytokine receptor interaction	CCL15	0.9900405	1.003
hsa04060	Cytokine-cytokine receptor interaction	TGFBR1	0.9922962	0.999
hsa04060	Cytokine-cytokine receptor interaction	FLT4	0.9942903	0.998
hsa04110	Cell cycle	GSK3B	0.0014928	0.489
hsa04110	Cell cycle	SFN	0.0051326	0.769
hsa04110	Cell cycle	CDKN1C	0.0141228	1.27
hsa04110	Cell cycle	CDKN1A	0.0184709	0.744
hsa04110	Cell cycle	ANAPC5	0.0253705	1.668
hsa04110	Cell cycle	CDC16	0.0267437	1.57
hsa04110	Cell cycle	ORC3L	0.0283204	1.461
hsa04110	Cell cycle	CDK2	0.0347318	0.487
hsa04110	Cell cycle	YWHAQ	0.0349634	1.503
hsa04110	Cell cycle	ORC4L	0.0365624	1.485
hsa04110	Cell cycle	ANAPC1	0.0416396	1.65
hsa04110	Cell cycle	ANAPC2	0.0447799	0.639
hsa04110	Cell cycle	SMAD4	0.0461569	1.4
hsa04110	Cell cycle	TGFB2	0.0463852	1.318
hsa04110	Cell cycle	BUB1	0.0529783	1.261
hsa04110	Cell cycle	ORC5L	0.053128	1.498
hsa04110	Cell cycle	CHEK1	0.0623085	1.498
hsa04110	Cell cycle	SMC1A	0.0749248	0.702
hsa04110	Cell cycle	PKMYT1	0.0843312	0.701
hsa04110	Cell cycle	SMAD3	0.0865017	0.737
hsa04110	Cell cycle	CDC27	0.0910557	1.511
hsa04110	Cell cycle	ANAPC10	0.0956624	0.712
hsa04110	Cell cycle	DBF4	0.0983431	1.358
hsa04110	Cell cycle	MAD2L1	0.1031722	1.174
hsa04110	Cell cycle	ORC6L	0.1095072	1.221
hsa04110	Cell cycle	CCNE1	0.1106271	1.159
hsa04110	Cell cycle	TGFB1	0.1118066	0.772
hsa04110	Cell cycle	MCM6	0.1171863	1.207
hsa04110	Cell cycle	CCND3	0.1193048	0.691
hsa04110	Cell cycle	TGFB3	0.1219262	1.297
hsa04110	Cell cycle	MCM7	0.1372505	1.208
hsa04110	Cell cycle	MAD1L1	0.1381704	0.796
hsa04110	Cell cycle	CCNA2	0.138575	1.183
hsa04110	Cell cycle	CDC20	0.1458664	1.149
hsa04110	Cell cycle	RBL2	0.1619704	0.65
hsa04110	Cell cycle	GADD45A	0.1737701	0.846
hsa04110	Cell cycle	SMC1B	0.1766558	0.779
hsa04110	Cell cycle	CCNB1	0.1823212	1.165
hsa04110	Cell cycle	HDAC2	0.191571	1.182
hsa04110	Cell cycle	MCM5	0.2013068	0.811
hsa04110	Cell cycle	YWHAG	0.2045977	1.292
hsa04110	Cell cycle	ORC2L	0.2252104	1.29
hsa04110	Cell cycle	HDAC1	0.2268885	1.232
hsa04110	Cell cycle	CDC23	0.2307939	1.296
hsa04110	Cell cycle	TP53	0.2348326	0.841
hsa04110	Cell cycle	YWHAH	0.2452193	0.806
hsa04110	Cell cycle	ANAPC4	0.2538166	0.776
hsa04110	Cell cycle	YWHAZ	0.2574845	1.183
hsa04110	Cell cycle	CDK4	0.2660459	0.785
hsa04110	Cell cycle	YWHAB	0.2734351	1.295
hsa04110	Cell cycle	CCND2	0.2843275	1.1
hsa04110	Cell cycle	MDM2	0.2850487	1.307
hsa04110	Cell cycle	CDC25C	0.2999204	1.258
hsa04110	Cell cycle	RBL1	0.3056291	0.841
hsa04110	Cell cycle	PTTG2	0.3096559	1.116
hsa04110	Cell cycle	CCNB2	0.3334742	1.338
hsa04110	Cell cycle	CDK6	0.335793	1.159
hsa04110	Cell cycle	BUB3	0.3546381	1.225
hsa04110	Cell cycle	EP300	0.3738664	1.13
hsa04110	Cell cycle	MCM4	0.3937427	1.104
hsa04110	Cell cycle	ESPL1	0.3945793	0.826
hsa04110	Cell cycle	PCNA	0.4037952	1.09
hsa04110	Cell cycle	CDC14B	0.4123556	1.175
hsa04110	Cell cycle	RB1	0.425285	1.126
hsa04110	Cell cycle	CDC6	0.4293319	1.129
hsa04110	Cell cycle	RBX1	0.4358665	1.08
hsa04110	Cell cycle	CDC45L	0.4567163	0.898
hsa04110	Cell cycle	CDC2	0.4575047	1.082
hsa04110	Cell cycle	CCNH	0.4685563	0.876
hsa04110	Cell cycle	CDKN1B	0.484474	1.13
hsa04110	Cell cycle	WEE1	0.552453	0.914
hsa04110	Cell cycle	CUL1	0.5560571	0.863
hsa04110	Cell cycle	E2F4	0.5793975	1.083
hsa04110	Cell cycle	FZR1	0.6032247	0.838
hsa04110	Cell cycle	BUB1B	0.6039866	1.072
hsa04110	Cell cycle	CCND1	0.6228846	0.959
hsa04110	Cell cycle	CDC25A	0.6425292	0.878
hsa04110	Cell cycle	CDKN2B	0.6697456	1.08
hsa04110	Cell cycle	YWHAE	0.6881945	1.058
hsa04110	Cell cycle	CDC25B	0.7058986	1.086
hsa04110	Cell cycle	CCNE2	0.7195858	1.059
hsa04110	Cell cycle	MAD2L2	0.7221842	1.062
hsa04110	Cell cycle	PLK1	0.724449	1.052
hsa04110	Cell cycle	CDK7	0.7391114	0.949
hsa04110	Cell cycle	ANAPC11	0.7449375	1.058
hsa04110	Cell cycle	SKP2	0.7652299	0.935
hsa04110	Cell cycle	E2F5	0.772577	1.06
hsa04110	Cell cycle	CDKN2A	0.7812452	1.021
hsa04110	Cell cycle	CREBBP	0.7850258	1.034
hsa04110	Cell cycle	GADD45G	0.8011076	0.975
hsa04110	Cell cycle	CDC14A	0.8093137	0.955
hsa04110	Cell cycle	CCNA1	0.8250736	0.984
hsa04110	Cell cycle	CDKN2C	0.8263256	1.049
hsa04110	Cell cycle	ABL1	0.8826419	0.958
hsa04110	Cell cycle	MCM3	0.8941509	1.02
hsa04110	Cell cycle	GADD45B	0.9042931	1.014
hsa04110	Cell cycle	MCM2	0.9348146	1.01
hsa04110	Cell cycle	CCNB3	0.9386994	0.984
hsa04110	Cell cycle	CDC7	0.9600607	1.006
hsa04110	Cell cycle	PRKDC	0.9665553	0.99
hsa04110	Cell cycle	SKP1A	0.968675	0.993
hsa04110	Cell cycle	CDKN2D	0.9703988	0.992
hsa04110	Cell cycle	ORC1L	0.9723326	1.005
hsa04110	Cell cycle	SMAD2	0.9949577	0.999
hsa04310	Wnt signaling pathway	WNT16	0.0009106	0.478
hsa04310	Wnt signaling pathway	GSK3B	0.0014928	0.489
hsa04310	Wnt signaling pathway	RAC2	0.0032095	0.64
hsa04310	Wnt signaling pathway	MAP3K7	0.0039233	1.507
hsa04310	Wnt signaling pathway	WNT2	0.0055236	0.478
hsa04310	Wnt signaling pathway	RAC1	0.0056371	1.879
hsa04310	Wnt signaling pathway	FZD10	0.008617	1.57
hsa04310	Wnt signaling pathway	NLK	0.0112221	0.57
hsa04310	Wnt signaling pathway	FZD7	0.011516	1.711
hsa04310	Wnt signaling pathway	FZD1	0.0191229	1.303
hsa04310	Wnt signaling pathway	MAPK10	0.0195041	0.641
hsa04310	Wnt signaling pathway	SFRP4	0.0331897	1.253
hsa04310	Wnt signaling pathway	SFRP2	0.0331953	1.126
hsa04310	Wnt signaling pathway	CXXC4	0.0336685	0.701
hsa04310	Wnt signaling pathway	TCF7L1	0.0377912	1.238
hsa04310	Wnt signaling pathway	PPP3CC	0.0386457	0.551
hsa04310	Wnt signaling pathway	ROCK1	0.0439457	1.439
hsa04310	Wnt signaling pathway	LRP5	0.0451433	0.701
hsa04310	Wnt signaling pathway	SMAD4	0.0461569	1.4
hsa04310	Wnt signaling pathway	PPP2CA	0.0485596	0.652
hsa04310	Wnt signaling pathway	CACYBP	0.0500292	1.341
hsa04310	Wnt signaling pathway	ROCK2	0.0527488	1.407
hsa04310	Wnt signaling pathway	PRKACB	0.0559549	0.649
hsa04310	Wnt signaling pathway	PPP2R1B	0.0585173	0.557
hsa04310	Wnt signaling pathway	MAPK8	0.059392	1.327
hsa04310	Wnt signaling pathway	WNT11	0.0609294	1.23
hsa04310	Wnt signaling pathway	FZD6	0.0796947	0.785
hsa04310	Wnt signaling pathway	WIF1	0.0864909	1.268
hsa04310	Wnt signaling pathway	SMAD3	0.0865017	0.737
hsa04310	Wnt signaling pathway	SIAH1	0.0959358	1.565
hsa04310	Wnt signaling pathway	WNT3A	0.1043424	0.649
hsa04310	Wnt signaling pathway	APC2	0.106551	0.678
hsa04310	Wnt signaling pathway	MYC	0.1091658	0.859
hsa04310	Wnt signaling pathway	PRKACA	0.1184354	0.8
hsa04310	Wnt signaling pathway	CCND3	0.1193048	0.691
hsa04310	Wnt signaling pathway	PLCB2	0.1295171	0.843
hsa04310	Wnt signaling pathway	DKK4	0.1453393	0.818
hsa04310	Wnt signaling pathway	PSEN1	0.1471372	1.263
hsa04310	Wnt signaling pathway	WNT8B	0.1514501	1.361
hsa04310	Wnt signaling pathway	PPP3R1	0.1556647	1.28
hsa04310	Wnt signaling pathway	CSNK2A2	0.1559202	0.687
hsa04310	Wnt signaling pathway	WNT10B	0.1703287	0.755
hsa04310	Wnt signaling pathway	CAMK2D	0.1710507	0.715
hsa04310	Wnt signaling pathway	CTBP2	0.1928559	1.278
hsa04310	Wnt signaling pathway	PRKCA	0.1964316	0.779
hsa04310	Wnt signaling pathway	VANGL2	0.2044741	1.175
hsa04310	Wnt signaling pathway	MRPS14	0.206362	1.22
hsa04310	Wnt signaling pathway	FZD5	0.2065604	1.296
hsa04310	Wnt signaling pathway	PRKCG	0.2121237	0.689
hsa04310	Wnt signaling pathway	FZD2	0.220674	1.24
hsa04310	Wnt signaling pathway	TCF7L2	0.2250512	0.835
hsa04310	Wnt signaling pathway	WNT5B	0.2306019	1.235
hsa04310	Wnt signaling pathway	TP53	0.2348326	0.841
hsa04310	Wnt signaling pathway	FBXW11	0.2383962	0.621
hsa04310	Wnt signaling pathway	BTRC	0.254176	0.675
hsa04310	Wnt signaling pathway	CAMK2A	0.2655101	0.798
hsa04310	Wnt signaling pathway	WNT1	0.2754556	0.764
hsa04310	Wnt signaling pathway	CCND2	0.2843275	1.1
hsa04310	Wnt signaling pathway	PORCN	0.2972948	1.169
hsa04310	Wnt signaling pathway	NKD1	0.2981385	0.844
hsa04310	Wnt signaling pathway	CSNK1A1	0.324114	1.198
hsa04310	Wnt signaling pathway	SOX17	0.3330027	1.127
hsa04310	Wnt signaling pathway	DAAM2	0.3394961	1.162
hsa04310	Wnt signaling pathway	PPARD	0.348101	0.842
hsa04310	Wnt signaling pathway	CAMK2B	0.3525238	0.882
hsa04310	Wnt signaling pathway	PPP2R1A	0.3561983	1.163
hsa04310	Wnt signaling pathway	PLCB4	0.36211	1.176
hsa04310	Wnt signaling pathway	WNT9B	0.3685627	1.186
hsa04310	Wnt signaling pathway	NFAT5	0.3726336	0.783
hsa04310	Wnt signaling pathway	EP300	0.3738664	1.13
hsa04310	Wnt signaling pathway	WNT2B	0.374306	0.877
hsa04310	Wnt signaling pathway	DVL2	0.378426	1.119
hsa04310	Wnt signaling pathway	NFATC2	0.3828395	1.12
hsa04310	Wnt signaling pathway	FZD3	0.3883351	1.133
hsa04310	Wnt signaling pathway	CSNK1A1L	0.3908394	1.199
hsa04310	Wnt signaling pathway	CTNNB1	0.3974541	1.143
hsa04310	Wnt signaling pathway	MMP7	0.4251987	1.044
hsa04310	Wnt signaling pathway	SFRP5	0.4255349	0.871
hsa04310	Wnt signaling pathway	PPP2R2C	0.4281079	0.94
hsa04310	Wnt signaling pathway	RBX1	0.4358665	1.08
hsa04310	Wnt signaling pathway	PPP3CA	0.4440953	1.232
hsa04310	Wnt signaling pathway	DVL3	0.4488374	0.781
hsa04310	Wnt signaling pathway	LONP2	0.4511263	0.872
hsa04310	Wnt signaling pathway	LRP6	0.4642098	0.833
hsa04310	Wnt signaling pathway	NKD2	0.4693216	0.804
hsa04310	Wnt signaling pathway	WNT3	0.4813348	0.841
hsa04310	Wnt signaling pathway	CTBP1	0.486729	0.863
hsa04310	Wnt signaling pathway	JUN	0.4881456	1.132
hsa04310	Wnt signaling pathway	CSNK1E	0.4895613	0.88
hsa04310	Wnt signaling pathway	CSNK2A1	0.4916347	1.124
hsa04310	Wnt signaling pathway	TCF7	0.5004034	0.783
hsa04310	Wnt signaling pathway	PRICKLE2	0.5243413	1.23
hsa04310	Wnt signaling pathway	APC	0.5396907	1.13
hsa04310	Wnt signaling pathway	AXIN1	0.5510033	1.116
hsa04310	Wnt signaling pathway	CUL1	0.5560571	0.863
hsa04310	Wnt signaling pathway	DKK1	0.5687807	0.952
hsa04310	Wnt signaling pathway	DAAM1	0.5709187	0.916
hsa04310	Wnt signaling pathway	FZD4	0.5798688	0.943
hsa04310	Wnt signaling pathway	CHP	0.5858702	1.158
hsa04310	Wnt signaling pathway	PPP3CB	0.593355	1.132
hsa04310	Wnt signaling pathway	WNT8A	0.5963671	0.933
hsa04310	Wnt signaling pathway	WNT9A	0.6035318	1.093
hsa04310	Wnt signaling pathway	SENP2	0.6149098	1.076
hsa04310	Wnt signaling pathway	CCND1	0.6228846	0.959
hsa04310	Wnt signaling pathway	AXIN2	0.6279019	1.175
hsa04310	Wnt signaling pathway	PRKACG	0.6309917	0.869
hsa04310	Wnt signaling pathway	PLCB3	0.633092	0.882
hsa04310	Wnt signaling pathway	MAPK9	0.6404316	0.914
hsa04310	Wnt signaling pathway	FRAT1	0.6457542	1.067
hsa04310	Wnt signaling pathway	PRKY	0.6529573	1.136
hsa04310	Wnt signaling pathway	WNT5A	0.6534841	1.14
hsa04310	Wnt signaling pathway	DVL1	0.6567701	1.123
hsa04310	Wnt signaling pathway	PRICKLE1	0.6749824	0.941
hsa04310	Wnt signaling pathway	WNT6	0.6783293	1.128
hsa04310	Wnt signaling pathway	PPP2R2B	0.6983891	0.907
hsa04310	Wnt signaling pathway	FRAT2	0.7191482	1.107
hsa04310	Wnt signaling pathway	NFATC3	0.7235065	0.902
hsa04310	Wnt signaling pathway	TBL1Y	0.7334933	0.932
hsa04310	Wnt signaling pathway	LEF1	0.7353118	0.948
hsa04310	Wnt signaling pathway	NFATC1	0.7416464	1.127
hsa04310	Wnt signaling pathway	FOSL1	0.7760829	0.96
hsa04310	Wnt signaling pathway	CREBBP	0.7850258	1.034
hsa04310	Wnt signaling pathway	WNT7A	0.8042157	1.028
hsa04310	Wnt signaling pathway	PRKCB1	0.814647	0.952
hsa04310	Wnt signaling pathway	FZD8	0.8423928	0.953
hsa04310	Wnt signaling pathway	DKK2	0.8486513	1.029
hsa04310	Wnt signaling pathway	SFRP1	0.8612515	1.015
hsa04310	Wnt signaling pathway	PPP2CB	0.8887453	0.978
hsa04310	Wnt signaling pathway	TBL1X	0.9110199	0.989
hsa04310	Wnt signaling pathway	CTNNBIP1	0.9158196	1.021
hsa04310	Wnt signaling pathway	WNT4	0.9197167	1.02
hsa04310	Wnt signaling pathway	CAMK2G	0.9342952	0.982
hsa04310	Wnt signaling pathway	VANGL1	0.9399159	0.979
hsa04310	Wnt signaling pathway	SKP1A	0.968675	0.993
hsa04310	Wnt signaling pathway	NFATC4	0.9729215	0.992
hsa04310	Wnt signaling pathway	RAC3	0.9752804	0.992
hsa04310	Wnt signaling pathway	WNT10A	0.9810203	0.998
hsa04310	Wnt signaling pathway	TBL1XR1	0.9893596	1.002
hsa04310	Wnt signaling pathway	CER1	0.9937906	0.999
hsa04310	Wnt signaling pathway	SMAD2	0.9949577	0.999
hsa04310	Wnt signaling pathway	RUVBL1	0.9992716	1
hsa04360	Axon guidance	GSK3B	0.0014928	0.489
hsa04360	Axon guidance	RAC2	0.0032095	0.64
hsa04360	Axon guidance	RAC1	0.0056371	1.879
hsa04360	Axon guidance	SLIT2	0.011074	0.511
hsa04360	Axon guidance	EPHA5	0.0115462	0.592
hsa04360	Axon guidance	EFNB3	0.013312	1.483
hsa04360	Axon guidance	EPHA3	0.0150947	0.667
hsa04360	Axon guidance	SEMA3C	0.0152249	1.348
hsa04360	Axon guidance	MRAS	0.0200077	0.605
hsa04360	Axon guidance	SEMA4C	0.0215809	1.722
hsa04360	Axon guidance	UNC5A	0.0242704	0.754
hsa04360	Axon guidance	RRAS2	0.0290342	1.248
hsa04360	Axon guidance	PPP3CC	0.0386457	0.551
hsa04360	Axon guidance	NTN4	0.0438689	0.823
hsa04360	Axon guidance	ROCK1	0.0439457	1.439
hsa04360	Axon guidance	SRGAP2	0.0505624	1.379
hsa04360	Axon guidance	ROCK2	0.0527488	1.407
hsa04360	Axon guidance	HRAS	0.0580522	1.443
hsa04360	Axon guidance	RGS3	0.0685249	0.517
hsa04360	Axon guidance	KRAS	0.0713768	1.402
hsa04360	Axon guidance	SEMA5A	0.0738792	1.27
hsa04360	Axon guidance	EPHA4	0.0842775	1.286
hsa04360	Axon guidance	RASA1	0.095634	1.284
hsa04360	Axon guidance	ITGB1	0.1057269	1.341
hsa04360	Axon guidance	PAK3	0.108398	0.796
hsa04360	Axon guidance	EPHB4	0.1148001	1.233
hsa04360	Axon guidance	CDK5	0.1148874	1.267
hsa04360	Axon guidance	ROBO1	0.1261363	0.707
hsa04360	Axon guidance	PAK6	0.1436089	0.777
hsa04360	Axon guidance	DPYSL5	0.1464729	0.628
hsa04360	Axon guidance	SEMA6C	0.1514794	0.69
hsa04360	Axon guidance	PPP3R1	0.1556647	1.28
hsa04360	Axon guidance	CFL1	0.1652542	0.418
hsa04360	Axon guidance	SEMA6B	0.165555	0.597
hsa04360	Axon guidance	SEMA4A	0.1660735	0.77
hsa04360	Axon guidance	CXCL12	0.1765776	1.108
hsa04360	Axon guidance	CDC42	0.1805217	1.493
hsa04360	Axon guidance	PLXNB2	0.1839801	0.853
hsa04360	Axon guidance	ROBO3	0.1926897	0.751
hsa04360	Axon guidance	CFL2	0.2019153	0.695
hsa04360	Axon guidance	DCC	0.2347387	0.72
hsa04360	Axon guidance	ABLIM3	0.2367031	0.724
hsa04360	Axon guidance	NTN1	0.2395394	0.829
