ProbeID (Affymetrix)	Fold Change(CLDN1 transfectants/Mock)	Gene Symbol	Common Name	Description	Location	Function	Genbank	UniGene	RefSeq	Pathways	GO biological process	GO molecular function	GO cellular component	Map_
212593_s_at	0.469	PDCD4	PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	Nucleus	other	N92498	Hs.232543	NM_014456 ; NM_145341					10q24
202643_s_at	0.469	TNFAIP3	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	Nucleus	other	AI738896	Hs.211600	NM_006290					6q23
201288_at	0.47	ARHGDIB	D4; GDIA2; GDID4; LYGDI; Ly-GDI; RAP1GN1	Rho GDP dissociation inhibitor (GDI) beta	Cytoplasm	other	NM_001175	Hs.504877	NM_001175	G13_Signaling_Pathway ; GenMAPP	GO:7266(Rho protein signal transduction); GO:30036(actin cytoskeleton organization and biogenesis); GO:7275(development); GO:6955(immune response); GO:7162(negative regulation of cell adhesion)	GO:5096(GTPase activator activity); GO:5094(Rho GDP-dissociation inhibitor activity)	GO:5737(cytoplasm); GO:16023(cytoplasmic membrane-bound vesicle)	12p12.3
208966_x_at	0.47	IFI16	PYHIN2; IFNGIP1	interferon, gamma-inducible protein 16	Nucleus	transcription regulator	AF208043	Hs.380250	NM_005531		GO:42771(DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis); GO:8283(cell proliferation); GO:6955(immune response); GO:30224(monocyte differentiation); GO:6355(regulation of transcription, DNA-dependent); GO:9615(response to virus); GO:6350(transcription)	GO:3690(double-stranded DNA binding); GO:5515(protein binding); GO:16564(transcriptional repressor activity)	GO:5730(nucleolus); GO:5654(nucleoplasm)	1q22
209864_at	0.471	FRAT2	MGC10562	frequently rearranged in advanced T-cell lymphomas 2	Cytoplasm	other	AB045118	Hs.140720	NM_012083	KEGG pathway: Wnt signaling pathway 04310	GO:16055(Wnt receptor signaling pathway); GO:8283(cell proliferation); GO:7275(development)	GO:5554(molecular function unknown)	GO:8372(cellular component unknown)	10q24.1
209781_s_at	0.471	KHDRBS3	Etle; SALP; SLM2; SLM-2; T-STAR; etoile	KH domain containing, RNA binding, signal transduction associated 3	Nucleus	other	AF069681	Hs.444558	NM_006558		GO:7283(spermatogenesis)	GO:3723(RNA binding); GO:5515(protein binding)	GO:5634(nucleus)	8q24.2
226756_at	0.471		FLJ36031	Hypothetical protein FLJ36031			AA191741	Hs.29692	NM_175884					7q22.3
213929_at	0.472			Homo sapiens, Similar to likely ortholog of yeast ARV1, clone IMAGE:4733238, mRNA			AL050204	Hs.28540						11
225334_at	0.473	C10ORF32	C10orf32	Chromosome 10 open reading frame 32	Unknown	other	AI147621	Hs.34492	NM_144591					10q24.32
226425_at	0.473	CLIP4	RSNL2	Restin-like 2	Unknown	other	AU144247	Hs.122927	NM_024692					2p23.2
221012_s_at	0.473	TRIM8	GERP; RNF27	tripartite motif-containing 8	Nucleus	other	NM_030912	Hs.336810	NM_030912		GO:4(biological process unknown); GO:16567(protein ubiquitination)	GO:46872(metal ion binding); GO:4842(ubiquitin-protein ligase activity); GO:8270(zinc ion binding)	GO:8372(cellular component unknown); GO:151(ubiquitin ligase complex)	10q24.3
219587_at	0.474	TTC12	TPARM; FLJ13859; FLJ20535	tetratricopeptide repeat domain 12	Unknown	other	NM_017868	Hs.288772	NM_017868			GO:5488(binding)		11q23.1-q23.2
224872_at	0.475	DIP2B	KIAA1463; MGC104005	KIAA1463 protein	Unknown	other	AB040896	Hs.505516	NM_173602		GO:8152(metabolism)	GO:3824(catalytic activity); GO:8134(transcription factor binding)	GO:5634(nucleus)	12q13.12
225302_at	0.475	TXNDC10	TXNDC10	Thioredoxin domain containing 10	Cytoplasm	enzyme	BE503286	Hs.440534	NM_019022					18q22
222761_at	0.476	BIVM	BIVM	Basic, immunoglobulin-like variable motif containing	Unknown	other	AI862694	Hs.288809	NM_017693					13q32-q33.1
218500_at	0.476	C8ORF55	DSCD75	chromosome 8 open reading frame 55	Unknown	other	NM_016647	Hs.368402	NM_016647		GO:6810(transport)	GO:5488(binding); GO:5215(transporter activity)		8q24.3
227979_at	0.476	RBM4B	RBM30	RNA binding motif protein 30	Nucleus	other	AU152162	Hs.567606	NM_031492					11q13
236219_at	0.476		TMEM20	Transmembrane protein 20			AI452512	Hs.437409	NM_153226					10q23.33
206376_at	0.477	SLC6A15	V7-3; NTT73; hv7-3; FLJ10316; MGC87066; DKFZp761I0921	solute carrier family 6, member 15	Plasma Membrane	transporter	NM_018057	Hs.44424	NM_018057		GO:6836(neurotransmitter transport)	GO:5328(neurotransmitter:sodium symporter activity); GO:15293(symporter activity)	GO:5887(integral to plasma membrane); GO:16020(membrane)	12q21.3
228242_at	0.477			Transcribed locus			BF055201	Hs.391463						4
226017_at	0.478	CMTM7	CKLFSF7	CKLF-like MARVEL transmembrane domain containing 7	Extracellular Space	cytokine	AI708432	Hs.440494	NM_138410 ; NM_181472					3p23
201059_at	0.478	CTTN	EMS1	cortactin	Plasma Membrane	other	NM_005231	Hs.567262	NM_005231	KEGG pathway: Tight junction 04530		GO:5515(protein binding)	GO:5938(cell cortex); GO:5856(cytoskeleton); GO:30027(lamellipodium); GO:1726(ruffle); GO:5625(soluble fraction)	11q13
231164_at	0.478	LOC440331		Hypothetical gene supported by AK095200; BC042853	Unknown	other	AI570450	Hs.376281	XM_498629					16p13.3
204284_at	0.478	PPP1R3C	PPP1R3C	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	Cytoplasm	phosphatase	N26005	Hs.303090	NM_005398	Circadian_Exercise ; GenMAPP				10q23-q24
237058_x_at	0.478	SLC6A13	SLC6A13	Solute carrier family 6 (neurotransmitter transporter, GABA), member 13	Plasma Membrane	transporter	AI802118	Hs.504398	NM_016615					12p13.3
1555461_at	0.478						BC015866
209635_at	0.48	AP1S1	AP19; CLAPS1; SIGMA1A	adaptor-related protein complex 1, sigma 1 subunit	Cytoplasm	transporter	BC003561	Hs.489365	NM_001283		GO:6886(intracellular protein transport); GO:6898(receptor mediated endocytosis)	GO:5515(protein binding); GO:8565(protein transporter activity)	GO:30121(AP-1 adaptor complex); GO:5795(Golgi stack); GO:5802(Golgi trans face); GO:5905(coated pit)	7q22.1
213275_x_at	0.48	CTSB		zc34d07.s1 Soares_senescent_fibroblasts_NbHSF Homo sapiens cDNA clone IMAGE:324205 3 similar to contains Alu repetitive element;, mRNA sequence.	Cytoplasm	peptidase	W47179	Hs.520898	NM_001908 ; NM_147780 ; NM_147781 ; NM_147782 ; NM_147783					8p22
239202_at	0.48	RAB3B	RAB3B	RAB3B, member RAS oncogene family	Cytoplasm	enzyme	BE552383	Hs.123072	NM_002867					1p32-p31
221269_s_at	0.48	SH3BGRL3	TIP-B1	SH3 domain binding glutamic acid-rich protein like 3	Nucleus	other	NM_031286	Hs.109051	NM_031286				GO:5634(nucleus)	1p35-p34.3
226974_at	0.48			AL536553 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF038YD07 3-PRIME, mRNA sequence.			AL536553	Hs.185677	NM_015277					18q21
228568_at	0.481	GCOM1	Gup1	GRINL1A combined protein	Unknown	other	AI926697	Hs.50841	NM_001018090 ; NM_001018091 ; NM_001018092 ; NM_001018093 ; NM_001018094 ; NM_001018095 ; NM_001018096 ; NM_001018097 ; NM_001018098 ; NM_001018099 ; NM_001018100 ; NM_001018101 ; NM_152451					15q21.3
226886_at	0.481		GFPT1	Glutamine-fructose-6-phosphate transaminase 1			AF131846	Hs.468864						2p13
1561017_at	0.482	CAB39L		Full length insert cDNA clone YW28G08	Unknown	other	AF087983	Hs.384565						13
238712_at	0.482	FOXP1		Transcribed locus	Nucleus	transcription regulator	BF801735	Hs.439558						3
226022_at	0.482	SASH1	SASH1	SAM and SH3 domain containing 1	Unknown	other	AU144882	Hs.193133	NM_015278					6q24.3
201362_at	0.483	IVNS1ABP	ND1; NS-1; NS1-BP; HSPC068; KIAA0850; DKFZp686K06216	influenza virus NS1A binding protein	Nucleus	other	AF205218	Hs.497183	NM_006469			GO:5515(protein binding)		1q25.1-q31.1
218087_s_at	0.483	SORBS1	CAP; FLAF2; R85FL; SH3D5; SORB1; SH3P12; FLJ12406; KIAA1296; DKFZp451C066; DKFZp586P1422	sorbin and SH3 domain containing 1	Plasma Membrane	other	NM_015385	Hs.38621	NM_001034954	KEGG pathway: Adherens junction 04520; KEGG pathway: Insulin signaling pathway 04910	GO:48041(focal adhesion formation); GO:15758(glucose transport); GO:8286(insulin receptor signaling pathway); GO:43149(stress fiber formation); GO:6810(transport)	GO:3779(actin binding); GO:5158(insulin receptor binding)	GO:5924(cell-substrate adherens junction); GO:45121(lipid raft); GO:16020(membrane); GO:5634(nucleus); GO:1725(stress fiber); GO:5915(zonula adherens)	10q23.3-q24.1
223000_s_at	0.484	F11R	JAM; KAT; JAM1; JAMA; JCAM; JAM-1; JAM-A; PAM-1	F11 receptor	Plasma Membrane	other	AF172398	Hs.517293	NM_016946	KEGG pathway: Cell adhesion molecules (CAMs) 04514; KEGG pathway: Tight junction 04530	GO:6928(cell motility); GO:6954(inflammatory response)	GO:16787(hydrolase activity); GO:4872(receptor activity)	GO:5737(cytoplasm); GO:16021(integral to membrane); GO:5923(tight junction)	1q21.2-q21.3
202896_s_at	0.484	SIRPA	PTPNS1	synonyms: BIT, MFR, P84, SIRP, MYD-1, SHPS1, SHPS-1, SIRPalpha, SIRPalpha2, SIRP-ALPHA-1; myd-1 antigen; signal regulatory protein, alpha type 2; SHP substrate-1; brain-immunoglobulin-like molecule with tyrosine-based activation motifs; signal regulatory protein, alpha type 1; tyrosine phosphatase SHP substrate 1; macrophage fusion receptor; Homo sapiens protein tyrosine phosphatase, non-receptor type substrate 1 (PTPNS1), mRNA.	Plasma Membrane	phosphatase	NM_004648	Hs.128846	NM_080792	; KEGG ; Calcium signaling pathway ; KEGG ; Type I diabetes mellitus ; KEGG				20p13
210299_s_at	0.485	FHL1	FHL1B; KYO-T; SLIM1; MGC111107; bA535K18.1	four and a half LIM domains 1	Cytoplasm	other	AF063002	Hs.435369	NM_001449		GO:30154(cell differentiation); GO:16049(cell growth); GO:7517(muscle development); GO:9887(organ morphogenesis)	GO:46872(metal ion binding); GO:5554(molecular function unknown); GO:8270(zinc ion binding)	GO:8372(cellular component unknown); GO:5634(nucleus)	Xq26
225579_at	0.485	PQLC3	C2orf22	PQ loop repeat containing 3	Unknown	other	AL516202	Hs.274415	NM_152391					2p25.1
215172_at	0.485	PTPN20B	PTPN20; PTPN20A; DKFZP566K0524; DKFZp781P23155	protein tyrosine phosphatase, non-receptor type 20	Unknown	phosphatase	AL050040	Hs.499552	NM_015605		GO:6470(protein amino acid dephosphorylation)	GO:16787(hydrolase activity); GO:4725(protein tyrosine phosphatase activity); GO:4872(receptor activity)		10q11.22
201858_s_at	0.485	SRGN	PPG; PRG; MGC9289; FLJ12930; SERGLYCIN	proteoglycan 1, secretory granule	Extracellular Space	other	J03223	Hs.1908	NM_002727					10q22.1
221858_at	0.486	TBC1D12	TBC1D12	TBC1 domain family, member 12	Unknown	other	N34407	Hs.500598	XM_051081					10q23.33
229759_s_at	0.486	VEPH1	FLJ12604	Ventricular zone expressed PH domain homolog 1 (zebrafish)	Nucleus	other	AA988323	Hs.127657	NM_024621					3q24-q25
1558280_s_at	0.489	ARHGAP29	PARG1	Rho GTPase activating protein 29	Cytoplasm	other	AK092668	Hs.483238	NM_004815					1p22.1
222607_s_at	0.489	DIS3	KIAA1008	KIAA1008	Nucleus	enzyme	AI188190	Hs.531029	NM_014953					13q22.1
206377_at	0.489	FOXF2	FKHL6; FREAC2	forkhead box F2	Nucleus	transcription regulator	NM_001452	Hs.484423	NM_001452		GO:6355(regulation of transcription, DNA-dependent); GO:6350(transcription); GO:6366(transcription from RNA polymerase II promoter)	GO:3702(RNA polymerase II transcription factor activity); GO:3713(transcription coactivator activity); GO:3700(transcription factor activity)	GO:5634(nucleus); GO:5667(transcription factor complex)	6p25.3
226076_s_at	0.489	MBD6	MBD6	Methyl-CpG binding domain protein 6	Unknown	other	AI174548	Hs.524523	NM_052897					12
208510_s_at	0.489	PPARG	NR1C3; PPARG1; PPARG2; HUMPPARG	peroxisome proliferative activated receptor, gamma	Nucleus	ligand-dependent nuclear receptor	NM_015869	Hs.162646	NM_005037	Nuclear_Receptors ; GenMAPP	GO:6091(generation of precursor metabolites and energy); GO:6629(lipid metabolism); GO:6357(regulation of transcription from RNA polymerase II promoter); GO:7584(response to nutrient); GO:7165(signal transduction); GO:6350(transcription); GO:50872(white fat cell differentiation)	GO:46872(metal ion binding); GO:5515(protein binding); GO:3707(steroid hormone receptor activity); GO:3700(transcription factor activity); GO:8270(zinc ion binding)	GO:5634(nucleus)	3p25
206875_s_at	0.489	SLK	STK2; se20-9; KIAA0204; bA16H23.1	STE20-like kinase (yeast)	Nucleus	kinase	NM_014720	Hs.500972	NM_014720		GO:6289(nucleotide-excision repair); GO:6468(protein amino acid phosphorylation)	GO:5524(ATP binding); GO:3677(DNA binding); GO:4518(nuclease activity); GO:4674(protein serine/threonine kinase activity)		10q25.1
202289_s_at	0.489	TACC2	AZU-1; ECTACC	transforming, acidic coiled-coil containing protein 2	Nucleus	other	NM_006997	Hs.501252	NM_006997			GO:5515(protein binding)	GO:5634(nucleus)	10q26
224755_at	0.489		SMBP	SM-11044 binding protein			BE621524	Hs.500674	NM_020123					10q24.1
227833_s_at	0.49	MBD6	MBD6	Methyl-CpG binding domain protein 6	Unknown	other	AW207668	Hs.524523	NM_052897					12
227528_s_at	0.49	MLL2	MLL2	Myeloid/lymphoid or mixed-lineage leukemia 2	Nucleus	transcription regulator	AI394529	Hs.567364	NM_003482					12q12-q14
228876_at	0.491	BAIAP2L2	FLJ22582	BAI1-associated protein 2-like 2	Unknown	other	AA532851	Hs.474822	NM_025045					22q13.1
223132_s_at	0.491	TRIM8	GERP; RNF27	tripartite motif-containing 8	Nucleus	other	AF220034	Hs.336810	NM_030912		GO:4(biological process unknown); GO:16567(protein ubiquitination)	GO:46872(metal ion binding); GO:4842(ubiquitin-protein ligase activity); GO:8270(zinc ion binding)	GO:8372(cellular component unknown); GO:151(ubiquitin ligase complex)	10q24.3
222825_at	0.492	OTUD6B	CGI-77	OTU domain containing 6B	Unknown	other	BF435752	Hs.30532	NM_016023					8q21.3
209822_s_at	0.492	VLDLR	VLDLRCH; FLJ35024	very low density lipoprotein receptor	Plasma Membrane	transporter	L22431	Hs.370422	NM_001018056		GO:8203(cholesterol metabolism); GO:6897(endocytosis); GO:6629(lipid metabolism); GO:6869(lipid transport); GO:7613(memory); GO:7399(nervous system development); GO:7165(signal transduction); GO:8202(steroid metabolism)	GO:5509(calcium ion binding); GO:5319(lipid transporter activity); GO:5041(low-density lipoprotein receptor activity); GO:4872(receptor activity)	GO:5905(coated pit); GO:16021(integral to membrane); GO:16020(membrane); GO:5624(membrane fraction)	9p24
1555193_a_at	0.492	ZNF277P	NRIF4	zinc finger protein 277	Nucleus	transcription regulator	BC020626	Hs.489722	NM_021994		GO:6355(regulation of transcription, DNA-dependent); GO:6350(transcription)	GO:46872(metal ion binding); GO:3700(transcription factor activity); GO:8270(zinc ion binding)	GO:5634(nucleus)	7q31.1
1558279_a_at	0.492		FVT1	Follicular lymphoma variant translocation 1			BF666293	Hs.74050	NM_002035					18q21.3
243115_at	0.493	ITGB3		Transcribed locus	Plasma Membrane	transmembrane receptor	AI633618	Hs.560559						17
239694_at	0.493	TRIM7	TRIM7	Tripartite motif-containing 7	Cytoplasm	other	AA527412	Hs.487412	NM_033342 ; NM_203293 ; NM_203294 ; NM_203295 ; NM_203296 ; NM_203297					5q35.3
213822_s_at	0.493	UBE3B	UBE3B	Ubiquitin protein ligase E3B	Unknown	enzyme	BE856776	Hs.374067	NM_130466 ; NM_183414 ; NM_183415					12q24.11
47571_at	0.493	ZNF236	ZNF236	Zinc finger protein 236	Nucleus	transcription regulator	AA004757	Hs.189826	NM_007345					18q22-q23
242037_at	0.493		ASPH	Aspartate beta-hydroxylase			AA543030	Hs.332422						8q12.1
211382_s_at	0.494	TACC2	AZU-1; ECTACC	transforming, acidic coiled-coil containing protein 2	Nucleus	other	AF220152	Hs.501252	NM_006997			GO:5515(protein binding)	GO:5634(nucleus)	10q26
226831_at	0.494			IMAGE cDNA clone 26881			AA928542	Hs.194761	NM_138773					16
1553611_s_at	0.495	FLJ33790	FLJ33790	hypothetical protein FLJ33790	Unknown	other	NM_173583	Hs.292451	NM_173583					11q13.4
217763_s_at	0.495	RAB31	Rab22B	RAB31, member RAS oncogene family	Cytoplasm	enzyme	NM_006868	Hs.99528	NM_006868		GO:15031(protein transport); GO:7264(small GTPase mediated signal transduction)	GO:5525(GTP binding); GO:3924(GTPase activity); GO:166(nucleotide binding)		18p11.3
203196_at	0.496	ABCC4	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Plasma Membrane	transporter	AI948503	Hs.508423	NM_005845					13q32
224780_at	0.496	RBM17	RBM17	RNA binding motif protein 17	Nucleus	other	N48353	Hs.498548	NM_032905	mRNA_processing_Reactome ; GenMAPP				10p15.1
231864_at	0.496	ZNF33A	KOX31; ZNF33; ZZAPK; FLJ23404; KIAA0065	zinc finger protein 33A	Nucleus	transcription regulator	D31763	Hs.435774	NM_006974		GO:6355(regulation of transcription, DNA-dependent); GO:6350(transcription)	GO:46872(metal ion binding); GO:3676(nucleic acid binding); GO:3700(transcription factor activity); GO:16564(transcriptional repressor activity); GO:8270(zinc ion binding)	GO:5622(intracellular); GO:5634(nucleus)	10p11.2
1554522_at	0.497	CNNM2	ACDP2	cyclin M2	Unknown	other	BC021222	Hs.500903	NM_017649					10q24.33
230645_at	0.497	FRMD3	FRMD3	FERM domain containing 3	Unknown	other	BF110588	Hs.127535	NM_174938					9q21.32
211105_s_at	0.497	NFATC1	NFAT2; NFATc; NF-ATC	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1	Nucleus	transcription regulator	U80918	Hs.534074	NM_006162	KEGG pathway: Axon guidance 04360; KEGG pathway: B cell receptor signaling pathway 04662; KEGG pathway: Calcium signaling pathway 04020; KEGG pathway: Natural killer cell mediated cytotoxicity 04650; KEGG pathway: T cell receptor signaling pathway 04660; KEGG pathway: Wnt signaling pathway 04310	GO:6355(regulation of transcription, DNA-dependent); GO:6366(transcription from RNA polymerase II promoter)	GO:5528(FK506 binding); GO:3700(transcription factor activity)	GO:5737(cytoplasm); GO:5634(nucleus)	18q23
226034_at	0.497		DUSP4	Dual specificity phosphatase 4			BE222344	Hs.417962						8p12-p11
206332_s_at	0.498	IFI16	PYHIN2; IFNGIP1	interferon, gamma-inducible protein 16	Nucleus	transcription regulator	NM_005531	Hs.380250	NM_005531		GO:42771(DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis); GO:8283(cell proliferation); GO:6955(immune response); GO:30224(monocyte differentiation); GO:6355(regulation of transcription, DNA-dependent); GO:9615(response to virus); GO:6350(transcription)	GO:3690(double-stranded DNA binding); GO:5515(protein binding); GO:16564(transcriptional repressor activity)	GO:5730(nucleolus); GO:5654(nucleoplasm)	1q22
205924_at	0.498	RAB3B	RAB3B	RAB3B, member RAS oncogene family	Cytoplasm	enzyme	BC005035	Hs.123072	NM_002867	KEGG pathway: Tight junction 04530	GO:6886(intracellular protein transport); GO:7264(small GTPase mediated signal transduction)	GO:5525(GTP binding); GO:3924(GTPase activity); GO:166(nucleotide binding)		1p32-p31
242939_at	0.498	TFDP1	TFDP1	Transcription factor Dp-1	Nucleus	transcription regulator	AI950069	Hs.79353	NM_007111	Cell_cycle_KEGG ; GenMAPP ; G1_to_S_cell_cycle_Reactome ; GenMAPP				13q34
230033_at	0.499	C19ORF51	LOC352909	Similar to hypothetical testis protein from macaque	Unknown	other	BF436398	Hs.351582	NM_001031802 ; NM_178837					19q13.4
204734_at	0.499	KRT15	K15; CK15; K1CO	keratin 15	Cytoplasm	other	NM_002275	Hs.80342	NM_002275	KEGG pathway: Cell Communication 01430	GO:8544(epidermis development)	GO:5200(structural constituent of cytoskeleton); GO:5198(structural molecule activity)	GO:5882(intermediate filament)	17q21.2
221063_x_at	0.499	RNF123	KPC1; FP1477; FLJ12565	ring finger protein 123	Unknown	other	NM_022064	Hs.553723	NM_022064		GO:16567(protein ubiquitination)	GO:16874(ligase activity); GO:46872(metal ion binding); GO:4842(ubiquitin-protein ligase activity); GO:8270(zinc ion binding)	GO:151(ubiquitin ligase complex)	3p24.3
226625_at	0.499		TGFBR3	Transforming growth factor, beta receptor III (betaglycan, 300kDa)			AW193698	Hs.482390	NM_003243	TGF_Beta_Signaling_Pathway ; GenMAPP				1p33-p32
235486_at	0.5	C11ORF41	MGC34830	Hypothetical protein MGC34830	Unknown	other	AI879661	Hs.22270	NM_152314					11p13
226817_at	2.001	DSC2	DSC2	Desmocollin 2	Plasma Membrane	other	AU154691	Hs.95612	NM_004949 ; NM_024422					18q12.1
230763_at	2.002	SPATA17	LOC128153	Hypothetical protein BC014608	Unknown	other	AA905508	Hs.171130	NM_138796					1q41
225665_at	2.004	ZAK	ZAK	Hypothetical protein LOC339751	Cytoplasm	kinase	AI129320	Hs.444451	NM_016653 ; NM_133646					2q24.2
213135_at	2.006	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	Cytoplasm	other	U90902	Hs.517228	NM_003253					21q22.1
218499_at	2.009		MASK; RP6-213H19.1	Mst3 and SOK1-related kinase	Nucleus	kinase	NM_016542	Hs.444247	NM_016542		GO:6468(protein amino acid phosphorylation); GO:42981(regulation of apoptosis)	GO:5524(ATP binding); GO:287(magnesium ion binding); GO:166(nucleotide binding); GO:42802(protein self binding); GO:4674(protein serine/threonine kinase activity); GO:4713(protein-tyrosine kinase activity); GO:16740(transferase activity)	GO:5795(Golgi stack)	Xq26.2
213017_at	2.01	ABHD3	ABHD3	Abhydrolase domain containing 3	Unknown	enzyme	AL534702	Hs.397978	NM_138340					18q11.2
220040_x_at	2.011	KIAA1166	HCA127	KIAA1166	Unknown	other	NM_018684	Hs.28249	NM_018684					Xq11.2
209304_x_at	2.013	GADD45B	MYD118; GADD45BETA; DKFZP566B133	growth arrest and DNA-damage-inducible, beta	Cytoplasm	other	AF087853	Hs.110571	NM_015675	KEGG pathway: Cell cycle 04110; KEGG pathway: MAPK signaling pathway 04010	GO:185(activation of MAPKKK activity); GO:6915(apoptosis); GO:30154(cell differentiation); GO:6950(response to stress)			19p13.3
207549_x_at	2.014	CD46	TLX; CD46; MIC10; TRA2.10; MGC26544	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	Plasma Membrane	other	NM_002389	Hs.510402	NM_002389	KEGG pathway: Complement and coagulation cascades 04610	GO:6958(complement activation, classical pathway); GO:45087(innate immune response)	GO:4872(receptor activity)	GO:5887(integral to plasma membrane); GO:5886(plasma membrane)	1q32
215440_s_at	2.015	BEXL1	BEXL1	Brain expressed X-linked-like 1	Unknown	other	AL523320	Hs.184736	XM_043653					Xq22.1-q22.3
215596_s_at	2.015	ZNF294		zinc finger protein 294	Nucleus	other	AL163248	Hs.288773	NM_015565					21q22.11
232083_at	2.016	C20ORF23	SNX23; KISC20ORF	chromosome 20 open reading frame 23	Cytoplasm	other	AB046810	Hs.101774	NM_024704		GO:7242(intracellular signaling cascade); GO:7018(microtubule-based movement)	GO:5524(ATP binding); GO:3777(microtubule motor activity); GO:166(nucleotide binding)	GO:5874(microtubule); GO:5875(microtubule associated complex)	20p11.23
201211_s_at	2.017	DDX3X	DBX; DDX3; HLP2; DDX14	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	Nucleus	enzyme	AF061337	Hs.380774	NM_001356			GO:5524(ATP binding); GO:4004(ATP-dependent RNA helicase activity); GO:3677(DNA binding); GO:3723(RNA binding); GO:16787(hydrolase activity); GO:166(nucleotide binding)	GO:5737(cytoplasm); GO:5634(nucleus)	Xp11.3-p11.23
232530_at	2.017		PLD1	Phospholipase D1, phophatidylcholine-specific			AA132961	Hs.478230	NM_002662					3q26
218076_s_at	2.018	ARHGAP17	RICH1; WBP15; MST066; MST110; NADRIN; MSTP066; MSTP110; FLJ43368; MGC87805; DKFZp564A1363	Rho GTPase activating protein 17	Cytoplasm	other	NM_018054	Hs.373793	NM_001006634		GO:6418(tRNA aminoacylation for protein translation)	GO:5524(ATP binding); GO:5515(protein binding); GO:4812(tRNA ligase activity)	GO:5737(cytoplasm)	16p12.1
242332_at	2.018	LOC283904	LOC283904	Hypothetical protein LOC283904	Unknown	other	AI356966	Hs.448825						16q24.1
243179_at	2.019			CDNA FLJ33993 fis, clone DFNES2007757			BG231554	Hs.408455						6
210202_s_at	2.023	BIN1	AMPH2; AMPHL; SH3P9; MGC10367; DKFZp547F068	bridging integrator 1	Nucleus	other	U87558	Hs.193163	NM_004305		GO:30154(cell differentiation); GO:8283(cell proliferation); GO:45786(negative regulation of progression through cell cycle); GO:30100(regulation of endocytosis)	GO:5515(protein binding)	GO:15629(actin cytoskeleton); GO:5737(cytoplasm); GO:5634(nucleus)	2q14
221591_s_at	2.025	FAM64A	FLJ10156; FLJ10491	family with sequence similarity 64, member A	Unknown	other	BC005004	Hs.404323	NM_019013					17p13.2
209094_at	2.026	DDAH1		dimethylarginine dimethylaminohydrolase 1	Cytoplasm	enzyme	AL078459	Hs.379858	NM_012137					1p22
226636_at	2.027	PLD1	PLD1	Phospholipase D1, phophatidylcholine-specific	Cytoplasm	enzyme	AI378587	Hs.478230	NM_002662					3q26
221959_at	2.028	FAM110B	MGC39325	Chromosome 8 open reading frame 72	Unknown	other	BE672313	Hs.154652	NM_147189					8q12.1
212828_at	2.033	SYNJ2	SYNJ2	Synaptojanin 2	Cytoplasm	phosphatase	AA191573	Hs.434494	NM_003898					6q25.3
226571_s_at	2.033		PTPRS	Protein tyrosine phosphatase, receptor type, S			N38920	Hs.408456	NM_002850 ; NM_130853 ; NM_130854 ; NM_130855					19p13.3
227345_at	2.034	TNFRSF10D	TNFRSF10D	Tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	Plasma Membrane	transmembrane receptor	AI738556	Hs.213467	NM_003840					8p21
210567_s_at	2.035	SKP2	FBL1; FLB1; FBXL1; MGC1366	S-phase kinase-associated protein 2 (p45)	Nucleus	other	BC001441	Hs.23348	NM_005983	KEGG pathway: Cell cycle 04110; KEGG pathway: Ubiquitin mediated proteolysis 04120	GO:82(G1/S transition of mitotic cell cycle); GO:8283(cell proliferation); GO:74(regulation of progression through cell cycle); GO:6512(ubiquitin cycle)	GO:5515(protein binding)		5p13
211019_s_at	2.036	LSS	OSC	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	Cytoplasm	enzyme	D63807	Hs.517366	NM_001001438	KEGG pathway: Biosynthesis of steroids 00100	GO:8152(metabolism); GO:6694(steroid biosynthesis)	GO:16853(isomerase activity); GO:250(lanosterol synthase activity); GO:16829(lyase activity)		21q22.3
1555326_a_at	2.038	ADAM9	MCMP; MDC9; Mltng; KIAA0021	ADAM metallopeptidase domain 9 (meltrin gamma)	Plasma Membrane	peptidase	AF495383	Hs.2442	NM_001005845		GO:7243(protein kinase cascade); GO:6508(proteolysis)	GO:17124(SH3 domain binding); GO:5178(integrin binding); GO:46872(metal ion binding); GO:4222(metalloendopeptidase activity); GO:5515(protein binding); GO:19901(protein kinase binding); GO:8270(zinc ion binding)	GO:5887(integral to plasma membrane)	8p11.23
