Probe set	Gene Name	Gene symbol	Fold change rC2/rC1	p value
218712_at	chromosome 1 open reading frame 109	C1orf109	1.5	0.000668
203866_at	notchless homolog 1 (Drosophila)	NLE1	1.5	0.0005777
219443_at	taspase, threonine aspartase, 1	TASP1	1.5	0.0002306
217719_at	eukaryotic translation initiation factor 3, subunit 6 interacting protein	EIF3S6IP	1.5	0.0005472
201303_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48	DDX48	1.5	0.0004654
204827_s_at	cyclin F	CCNF	1.5	0.000779
217754_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	DDX56	1.5	0.0007249
210416_s_at	CHK2 checkpoint homolog (S. pombe)	CHEK2	1.5	0.0007507
217884_at	N-acetyltransferase-like protein	FLJ10774	1.5	0.0009283
220789_s_at	transforming growth factor beta regulator 4	TBRG4	1.5	0.0008392
216457_s_at	splicing factor 3a, subunit 1, 120kDa	SF3A1	1.5	0.0006937
208405_s_at	CD164 antigen, sialomucin	CD164	1.4	0.0006633
213099_at	angel homolog 1 (Drosophila)	ANGEL1	1.4	0.0002255
200010_at	Ribosomal protein L11	RPL11	1.4	0.0009003
204317_at	G-2 and S-phase expressed 1 /// hypothetical gene supported by BC069212	GTSE1 /// LOC440834	1.4	0.000113
208021_s_at	replication factor C (activator 1) 1, 145kDa	RFC1	1.4	0.0009467
200888_s_at	ribosomal protein L23	RPL23	1.4	0.0001282
211543_s_at	G protein-coupled receptor kinase 6	GRK6	1.4	0.0008336
217840_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	DDX41	1.4	0.0007246
200013_at	ribosomal protein L24 /// ribosomal protein L24	RPL24	1.4	4.91E-05
212167_s_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	SMARCB1	1.4	0.0002272
203368_at	cysteine-rich with EGF-like domains 1	CRELD1	1.4	0.0009363
201002_s_at	ubiquitin-conjugating enzyme E2 variant 1	UBE2V1 /// Kua-UEV	1.4	0.000891
209134_s_at	ribosomal protein S6	RPS6	1.4	0.0006367
200029_at	ribosomal protein L19	RPL19	1.4	0.0004894
200997_at	RNA binding motif protein 4	RBM4	1.4	0.0005469
220039_s_at	CDK5 regulatory subunit associated protein 1-like 1	CDKAL1	1.4	0.0002355
204366_s_at	general transcription factor IIIC, polypeptide 2, beta 110kDa	GTF3C2	1.4	0.0001983
204171_at	ribosomal protein S6 kinase, 70kDa, polypeptide 1	RPS6KB1	1.4	0.0006652
221843_s_at	KIAA1609 protein	KIAA1609	1.4	0.0002683
220967_s_at	zinc finger protein 696	ZNF696	1.4	0.0005818
218117_at	ring-box 1	RBX1	1.4	0.0003729
201788_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	DDX42	1.4	0.0005734
210415_s_at	outer dense fiber of sperm tails 2	ODF2	1.4	0.000539
218443_s_at	DAZ associated protein 1	DAZAP1	1.4	0.0003651
207809_s_at	ATPase, H+ transporting, lysosomal accessory protein 1	ATP6AP1	1.4	0.0009098
219294_at	chromosome 6 open reading frame 139	C6orf139	1.4	0.0001058
222206_s_at	nicalin homolog (zebrafish)	NCLN	1.4	0.0005893
209725_at	down-regulated in metastasis	DRIM	1.4	0.0005971
209065_at	ubiquinol-cytochrome c reductase binding protein	UQCRB	1.4	0.000429
220663_at	interleukin 1 receptor accessory protein-like 1	IL1RAPL1	1.4	0.0007112
207348_s_at	ligase III, DNA, ATP-dependent	LIG3	1.4	0.000392
220417_s_at	THAP domain containing 4	THAP4	1.4	5.58E-05
220587_s_at	G protein beta subunit-like	GBL	1.4	0.0004439
211048_s_at	protein disulfide isomerase family A, member 4	PDIA4	1.4	0.0007601
202730_s_at	programmed cell death 4 (neoplastic transformation inhibitor)	PDCD4	1.4	0.0001727
209222_s_at	oxysterol binding protein-like 2	OSBPL2	1.4	0.0007262
207515_s_at	polymerase (RNA) I polypeptide C, 30kDa	POLR1C	1.4	0.0004004
208880_s_at	chromosome 20 open reading frame 14	C20orf14	1.4	0.0009704
219637_at	armadillo repeat containing 9	ARMC9	1.4	0.0006687
214804_at	FSH primary response (LRPR1 homolog, rat) 1	FSHPRH1	1.4	0.0004426
202758_s_at	regulatory factor X-associated ankyrin-containing protein	RFXANK	1.4	0.0007395
202356_s_at	general transcription factor IIF, polypeptide 1, 74kDa	GTF2F1	1.3	0.0007895
209313_at	XPA binding protein 1, GTPase	XAB1	1.3	0.0009799
201000_at	alanyl-tRNA synthetase	AARS	1.3	0.0008927
201870_at	translocase of outer mitochondrial membrane 34	TOMM34	1.3	0.0003095
200068_s_at	calnexin /// calnexin	CANX	1.3	0.000815
36865_at	angel homolog 1 (Drosophila)	ANGEL1	1.3	0.0003394
208598_s_at	HECT, UBA and WWE domain containing 1	HUWE1	1.3	0.0003521
218513_at	hypothetical protein FLJ11184	FLJ11184	1.3	0.0008097
220123_at	solute carrier family 35, member F5	SLC35F5	1.3	0.000586
205659_at	histone deacetylase 9	HDAC9	0.8	0.0008854
214285_at	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	FABP3	0.8	0.0008706
219821_s_at	glucose-fructose oxidoreductase domain containing 1	GFOD1	0.8	0.0006661
204653_at	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	TFAP2A	0.8	0.0006284
206039_at	RAB33A, member RAS oncogene family	RAB33A	0.8	0.0006945
1729_at	TNFRSF1A-associated via death domain	TRADD	0.8	0.0007282
209287_s_at	CDC42 effector protein (Rho GTPase binding) 3	CDC42EP3	0.8	0.0008803
219064_at	inter-alpha (globulin) inhibitor H5	ITIH5	0.7	0.0004935
204650_s_at	amyloid beta (A4) precursor protein-binding, family B, member 3	APBB3	0.7	0.000278
202592_at	biogenesis of lysosome-related organelles complex-1, subunit 1	BLOC1S1	0.7	0.0008371
208989_s_at	F-box and leucine-rich repeat protein 11	FBXL11	0.7	0.0005351
204276_at	thymidine kinase 2, mitochondrial	TK2	0.7	0.0006591
217940_s_at	hypothetical protein FLJ10769	FLJ10769	0.7	0.000387
209540_at	insulin-like growth factor 1 (somatomedin C)	IGF1	0.7	0.0001189
210100_s_at	ATP-binding cassette, sub-family A (ABC1), member 2	ABCA2	0.7	0.0001619
220691_at	Novel prostate-specific antigen	TMEM23	0.7	0.0004795
206099_at	protein kinase C, eta	PRKCH	0.7	0.0002511
212195_at	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	0.7	0.0006889
207651_at	G protein-coupled receptor 171	GPR171	0.7	0.0008745
203143_s_at	KIAA0040	KIAA0040	0.7	0.0006481
213715_s_at	ankyrin repeat domain 47	ANKRD47	0.7	0.000748
209437_s_at	spondin 1, extracellular matrix protein	SPON1	0.7	0.0004354
206706_at	neurotrophin 3	NTF3	0.7	0.0007747
37590_g_at	Hypothetical protein DKFZp547K1113	DKFZp547K1113	0.7	0.0004658
214180_at	mannosidase, alpha, class 1C, member 1	MAN1C1	0.7	0.0002391
213444_at	likely ortholog of mouse SCO-spondin	KIAA0543	0.7	0.0005709
217998_at	pleckstrin homology-like domain, family A, member 1	PHLDA1	0.7	0.0002003
201891_s_at	beta-2-microglobulin	B2M	0.7	4.54E-05
213900_at	chromosome 9 open reading frame 61	C9orf61	0.7	0.0002836
202747_s_at	integral membrane protein 2A	ITM2A	0.7	0.0007068
205223_at	DEP domain containing 5	DEPDC5	0.7	0.0007767
208530_s_at	retinoic acid receptor, beta	RARB	0.7	0.0003919
201621_at	neuroblastoma, suppression of tumorigenicity 1	NBL1	0.7	0.0002984
203657_s_at	cathepsin F	CTSF	0.7	0.0003239
213596_at	caspase 4, apoptosis-related cysteine peptidase	CASP4	0.7	0.0004097
200761_s_at	ADP-ribosylation-like factor 6 interacting protein 5	ARL6IP5	0.7	0.0004032
218805_at	GTPase, IMAP family member 5	GIMAP5	0.7	0.000644
208871_at	atrophin 1	ATN1	0.7	0.0002103
203836_s_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	0.7	0.0004165
212660_at	PHD finger protein 15	PHF15	0.7	0.0005916
211941_s_at	prostatic binding protein	PBP	0.7	0.0004495
203217_s_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	ST3GAL5	0.7	0.0005726
210825_s_at	prostatic binding protein	PBP	0.6	9.91E-05
212359_s_at	KIAA0913	KIAA0913	0.6	4.36E-05
219091_s_at	multimerin 2	MMRN2	0.6	0.0005035
216231_s_at	beta-2-microglobulin	B2M	0.6	7.51E-05
221474_at	myosin regulatory light chain MRLC2	MRLC2	0.6	0.0001415
219561_at	coatomer protein complex, subunit zeta 2	COPZ2	0.6	9.04E-05
209481_at	SNF related kinase	SNRK	0.6	0.0009344
216250_s_at	leupaxin	LPXN	0.6	0.0001671
213295_at	Cylindromatosis (turban tumor syndrome)	CYLD	0.6	0.0001766
218764_at	protein kinase C, eta	PRKCH	0.6	0.000114
205398_s_at	SMAD, mothers against DPP homolog 3 (Drosophila)	SMAD3	0.6	0.0003382
213661_at	regeneration associated muscle protease	DKFZP586H2123	0.6	0.0005683
207601_at	sulfotransferase family, cytosolic, 1B, member 1	SULT1B1	0.6	0.0006545
201762_s_at	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	PSME2	0.6	0.0007764
204790_at	SMAD, mothers against DPP homolog 7 (Drosophila)	SMAD7	0.6	0.0009401
213657_s_at	Hypothetical protein DKFZp547K1113	DKFZp547K1113	0.6	6.43E-05
209782_s_at	D site of albumin promoter (albumin D-box) binding protein	DBP	0.6	0.0001719
200788_s_at	phosphoprotein enriched in astrocytes 15	PEA15	0.6	5.26E-05
212764_at			0.6	0.000906
205291_at	interleukin 2 receptor, beta	IL2RB	0.6	0.0001696
212463_at	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	CD59	0.6	0.0003033
206082_at			0.6	0.0001258
220933_s_at	zinc finger, CCHC domain containing 6	ZCCHC6	0.6	0.0007085
212642_s_at	human immunodeficiency virus type I enhancer binding protein 2	HIVEP2	0.6	0.0007271
212647_at	related RAS viral (r-ras) oncogene homolog	RRAS	0.6	0.0003258
212321_at	sphingosine-1-phosphate lyase 1	SGPL1	0.6	0.0006977
203139_at	death-associated protein kinase 1	DAPK1	0.6	7.91E-05
202079_s_at	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa	OIP106	0.6	0.0001769
212071_s_at	spectrin, beta, non-erythrocytic 1	SPTBN1	0.6	4.67E-05
208906_at	Bernardinelli-Seip congenital lipodystrophy 2 (seipin) /// heterogeneous nuclear ribonucleoprotein U-like 2	BSCL2 /// HNRPUL2	0.6	0.0001246
212796_s_at	KIAA1055 protein	KIAA1055	0.6	0.0002196
204656_at	Src homology 2 domain containing adaptor protein B	SHB	0.6	0.0006171
214767_s_at	heat shock protein, alpha-crystallin-related, B6	HSPB6	0.6	0.0006602
213247_at	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	SVEP1	0.6	0.0002382
215688_at	Ras protein-specific guanine nucleotide-releasing factor 1	RASGRF1	0.6	0.00038
214265_at	integrin, alpha 8	ITGA8	0.6	6.16E-05
209750_at	nuclear receptor subfamily 1, group D, member 2	NR1D2	0.6	0.0008722
204891_s_at	lymphocyte-specific protein tyrosine kinase	LCK	0.6	0.0002691
205192_at	mitogen-activated protein kinase kinase kinase 14	MAP3K14	0.6	0.0001869
1294_at	ubiquitin-activating enzyme E1-like	UBE1L	0.6	7.20E-06
222315_at			0.6	0.0007895
201346_at	adiponectin receptor 2	ADIPOR2	0.6	0.000376
203002_at	angiomotin like 2	AMOTL2	0.6	0.0005674
203281_s_at	ubiquitin-activating enzyme E1-like	UBE1L	0.6	0.000239
210958_s_at	microtubule associated serine/threonine kinase family member 4	MAST4	0.6	1.87E-05
205221_at	homogentisate 1,2-dioxygenase (homogentisate oxidase)	HGD	0.6	0.0005943
205898_at	chemokine (C-X3-C motif) receptor 1	CX3CR1	0.6	0.0001432
201032_at	bladder cancer associated protein	BLCAP	0.6	6.22E-05
209081_s_at	collagen, type XVIII, alpha 1	COL18A1	0.6	0.0005405
219427_at	FAT tumor suppressor homolog 4 (Drosophila)	FAT4	0.6	0.00043
202759_s_at	PALM2-AKAP2 protein	PALM2-AKAP2	0.6	0.0003442
212423_at	chromosome 10 open reading frame 56	C10orf56	0.5	0.0005022
202011_at	tight junction protein 1 (zona occludens 1)	TJP1	0.5	4.26E-05
201568_at	low molecular mass ubiquinone-binding protein (9.5kD)	QP-C	0.5	0.0004346
208869_s_at	GABA(A) receptor-associated protein like 1	GABARAPL1	0.5	0.0009821
205821_at	killer cell lectin-like receptor subfamily K, member 1	KLRK1	0.5	0.0002385
220765_s_at	LIM and senescent cell antigen-like domains 2	LIMS2	0.5	7.62E-05
213488_at	sushi, nidogen and EGF-like domains 1	SNED1	0.5	0.0004371
214261_s_at	alcohol dehydrogenase 6 (class V)	ADH6	0.5	3.82E-05
45288_at	abhydrolase domain containing 6	ABHD6	0.5	7.34E-05
1598_g_at	growth arrest-specific 6	GAS6	0.5	1.34E-05
218284_at	SMAD, mothers against DPP homolog 3 (Drosophila)	SMAD3	0.5	1.92E-05
211458_s_at	GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3	GABARAPL1 /// GABARAPL3	0.5	0.0003037
205846_at	protein tyrosine phosphatase, receptor type, B	PTPRB	0.5	0.000133
217861_s_at	prolactin regulatory element binding	PREB	0.5	0.0005947
40016_g_at	microtubule associated serine/threonine kinase family member 4	MAST4	0.5	1.52E-05
204134_at	phosphodiesterase 2A, cGMP-stimulated	PDE2A	0.5	5.09E-05
201432_at	catalase	CAT	0.5	2.89E-05
203335_at	phytanoyl-CoA hydroxylase (Refsum disease)	PHYH	0.5	0.000763
208890_s_at	plexin B2	PLXNB2	0.5	0.0005891
212641_at	human immunodeficiency virus type I enhancer binding protein 2	HIVEP2	0.5	3.61E-05
205326_at	receptor (calcitonin) activity modifying protein 3	RAMP3	0.5	7.42E-05
217080_s_at	homer homolog 2 (Drosophila)	HOMER2	0.5	0.0002194
202555_s_at	myosin, light polypeptide kinase /// myosin, light polypeptide kinase	MYLK	0.5	0.0008108
212907_at	Solute carrier family 30 (zinc transporter), member 1	SLC30A1	0.5	0.0009489
220246_at	calcium/calmodulin-dependent protein kinase ID	CAMK1D	0.5	6.85E-05
200986_at	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	SERPING1	0.5	0.0001524
209436_at	spondin 1, extracellular matrix protein	SPON1	0.5	0.0001196
202948_at	interleukin 1 receptor, type I	IL1R1	0.5	8.87E-05
205175_s_at	ketohexokinase (fructokinase)	KHK	0.5	0.0004394
212494_at	tensin like C1 domain containing phosphatase (tensin 2)	TENC1	0.5	9.62E-05
214058_at	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	MYCL1	0.5	0.0002003
209365_s_at	extracellular matrix protein 1	ECM1	0.5	0.0002636
216903_s_at	calcium binding atopy-related autoantigen 1	CBARA1	0.5	4.60E-06
215253_s_at	Down syndrome critical region gene 1	DSCR1	0.5	0.0005931
222125_s_at	hypoxia-inducible factor prolyl 4-hydroxylase	PH-4	0.5	2.40E-06
205383_s_at	zinc finger and BTB domain containing 20	ZBTB20	0.5	0.0009142
218628_at	CGI-116 protein	CGI-116	0.5	0.0009779
202796_at	synaptopodin	SYNPO	0.5	3.33E-05
200675_at	CD81 antigen (target of antiproliferative antibody 1)	CD81	0.5	0.0005044
221552_at	abhydrolase domain containing 6	ABHD6	0.5	6.50E-06
203140_at	B-cell CLL/lymphoma 6 (zinc finger protein 51)	BCL6	0.5	0.0009723
213261_at	lupus brain antigen 1	LBA1	0.5	8.49E-05
218007_s_at	ribosomal protein S27-like	RPS27L	0.5	0.0004798
214896_at	MRNA full length insert cDNA clone EUROIMAGE 29222		0.5	0.0001201
214255_at	ATPase, Class V, type 10A	ATP10A	0.5	0.000904
222348_at			0.5	0.0004091
218418_s_at	ankyrin repeat domain 25	ANKRD25	0.5	0.0002291
206305_s_at	complement component 8, alpha polypeptide	C8A	0.5	0.0008052
202177_at	growth arrest-specific 6	GAS6	0.5	0.0007995
219478_at	WAP four-disulfide core domain 1	WFDC1	0.5	0.0001344
205120_s_at	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	SGCB	0.5	0.0001552
219436_s_at	endomucin	EMCN	0.5	0.0004102
209605_at	thiosulfate sulfurtransferase (rhodanese)	TST	0.4	0.0002745
206680_at	CD5 antigen-like (scavenger receptor cysteine rich family)	CD5L	0.4	0.0004022
208683_at	calpain 2, (m/II) large subunit	CAPN2	0.4	7.27E-05
37201_at	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	ITIH4	0.4	0.0004917
205633_s_at	aminolevulinate, delta-, synthase 1	ALAS1	0.4	5.50E-06
205442_at	microfibrillar-associated protein 3-like	MFAP3L	0.4	1.59E-05
214470_at	killer cell lectin-like receptor subfamily B, member 1	KLRB1	0.4	0.0006095
213174_at	tetratricopeptide repeat domain 9	TTC9	0.4	2.50E-05
215001_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	0.4	6.71E-05
201301_s_at	annexin A4	ANXA4	0.4	0.0009566
206878_at	D-amino-acid oxidase	DAO	0.4	0.0006639
209785_s_at	phospholipase A2, group IVC (cytosolic, calcium-independent)	PLA2G4C	0.4	4.90E-06
214204_at	PARK2 co-regulated	PACRG	0.4	0.0001541
201809_s_at	endoglin (Osler-Rendu-Weber syndrome 1)	ENG	0.4	2.65E-05
206263_at	flavin containing monooxygenase 4	FMO4	0.4	0.0001637
213158_at	MRNA; cDNA DKFZp586B211 (from clone DKFZp586B211)		0.4	0.0002119
204965_at	group-specific component (vitamin D binding protein)	GC	0.4	0.0004776
206481_s_at	LIM domain binding 2	LDB2	0.4	0.0004026
201302_at	annexin A4	ANXA4	0.4	0.0002775
201185_at	HtrA serine peptidase 1	HTRA1	0.4	0.000822
204780_s_at	Fas (TNF receptor superfamily, member 6)	FAS	0.4	0.0008457
215111_s_at	TSC22 domain family, member 1	TSC22D1	0.4	2.32E-05
203758_at	cathepsin O	CTSO	0.4	0.0005869
201425_at	aldehyde dehydrogenase 2 family (mitochondrial)	ALDH2	0.4	9.00E-07
208763_s_at	TSC22 domain family, member 3	TSC22D3	0.4	0.0009343
202053_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	0.4	7.81E-05
209496_at	retinoic acid receptor responder (tazarotene induced) 2	RARRES2	0.4	0.0004549
213293_s_at	tripartite motif-containing 22	TRIM22	0.4	0.0007663
201502_s_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKBIA	0.4	0.0002094
219733_s_at	solute carrier family 27 (fatty acid transporter), member 5	SLC27A5	0.4	0.0009733
204781_s_at	Fas (TNF receptor superfamily, member 6)	FAS	0.4	7.33E-05
213519_s_at	laminin, alpha 2 (merosin, congenital muscular dystrophy)	LAMA2	0.4	0.0006649
202054_s_at	aldehyde dehydrogenase 3 family, member A2	ALDH3A2	0.4	2.62E-05
212774_at	zinc finger protein 238	ZNF238	0.4	0.0002083
218322_s_at	acyl-CoA synthetase long-chain family member 5	ACSL5	0.4	0.0003729
213381_at	Chromosome 10 open reading frame 72	C10orf72	0.4	2.90E-06
204072_s_at	hypothetical protein CG003	13CDNA73	0.4	0.0001402
205076_s_at	myotubularin related protein 11	MTMR11	0.3	0.0004069
207820_at	alcohol dehydrogenase 1A (class I), alpha polypeptide	ADH1A	0.3	0.0006197
214419_s_at	Cytochrome P450, family 2, subfamily C, polypeptide 9	CYP2C9	0.3	0.0007936
211110_s_at	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	AR	0.3	0.0006856
214156_at	myosin VIIA and Rab interacting protein	MYRIP	0.3	0.0003094
201170_s_at	basic helix-loop-helix domain containing, class B, 2	BHLHB2	0.3	0.0002131
206262_at	alcohol dehydrogenase 1A (class I), alpha polypeptide /// alcohol dehydrogenase IB (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1A /// ADH1B /// ADH1C	0.3	0.0003823
208370_s_at	Down syndrome critical region gene 1	DSCR1	0.3	7.67E-05
215126_at	CDNA FLJ42949 fis, clone BRSTN2006583		0.3	2.50E-05
205749_at	cytochrome P450, family 1, subfamily A, polypeptide 1	CYP1A1	0.3	1.09E-05
220988_s_at	C1q and tumor necrosis factor related protein 3 /// C1q and tumor necrosis factor related protein 3	C1QTNF3	0.3	0.0003883
206287_s_at	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	ITIH4	0.3	5.66E-05
205083_at	aldehyde oxidase 1	AOX1	0.3	0.0001806
205554_s_at	deoxyribonuclease I-like 3	DNASE1L3	0.3	0.0001595
204679_at	potassium channel, subfamily K, member 1	KCNK1	0.3	0.0001549
207030_s_at	cysteine and glycine-rich protein 2	CSRP2	0.3	0.0005319
209975_at	cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	0.3	9.00E-07
206030_at	aspartoacylase (Canavan disease)	ASPA	0.3	2.68E-05
205082_s_at	aldehyde oxidase 1	AOX1	0.3	0.0007656
208747_s_at	complement component 1, s subcomponent	C1S	0.3	< 1e-07
222083_at	glycine-N-acyltransferase	GLYAT	0.3	0.00013
200648_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	0.3	0.0002173
210143_at	annexin A10	ANXA10	0.3	7.81E-05
217504_at	ATP-binding cassette, sub-family A (ABC1), member 6	ABCA6	0.3	5.62E-05
203423_at	retinol binding protein 1, cellular	RBP1	0.3	0.0007107
212067_s_at	complement component 1, r subcomponent	C1R	0.3	5.30E-06
204845_s_at	glutamyl aminopeptidase (aminopeptidase A)	ENPEP	0.3	8.00E-06
203571_s_at	chromosome 10 open reading frame 116	C10orf116	0.3	0.0001746
201693_s_at	early growth response 1	EGR1	0.3	0.0002879
217202_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	0.2	0.0003616
205969_at	arylacetamide deacetylase (esterase)	AADAC	0.2	3.13E-05
207185_at	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	SLC10A1	0.2	0.0002833
206505_at	UDP glucuronosyltransferase 2 family, polypeptide B4	UGT2B4	0.2	9.20E-06
204844_at	glutamyl aminopeptidase (aminopeptidase A)	ENPEP	0.2	4.94E-05
201694_s_at	early growth response 1	EGR1	0.2	0.0002035
203908_at	solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4	0.2	0.000425
206754_s_at	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene 1	CYP2B7P1	0.2	0.0009239
1431_at	cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	0.2	2.79E-05
203766_s_at	leiomodin 1 (smooth muscle)	LMOD1	0.2	0.0005231
203726_s_at	laminin, alpha 3	LAMA3	0.2	2.80E-06
209976_s_at	cytochrome P450, family 2, subfamily E, polypeptide 1	CYP2E1	0.2	1.58E-05
207655_s_at	B-cell linker	BLNK	0.2	7.10E-06
210366_at	solute carrier organic anion transporter family, member 1B1	SLCO1B1	0.2	6.07E-05
206024_at	4-hydroxyphenylpyruvate dioxygenase	HPD	0.2	1.00E-07
205152_at	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	SLC6A1	0.2	5.26E-05
206840_at	afamin	AFM	0.2	4.10E-06
206354_at	solute carrier organic anion transporter family, member 1B3	SLCO1B3	0.2	0.0007457
205568_at	aquaporin 9	AQP9	0.2	9.00E-07
206742_at	c-fos induced growth factor (vascular endothelial growth factor D)	FIGF	0.2	0.0009675
217558_at	cytochrome P450, family 2, subfamily C, polypeptide 9	CYP2C9	0.2	0.0006404
202992_at	complement component 7	C7	0.2	0.0005603
205700_at	hydroxysteroid (17-beta) dehydrogenase 6	HSD17B6	0.1	0.0006765
203178_at	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	GATM	0.1	0.0005274
211896_s_at	decorin	DCN	0.1	0.0008747
202196_s_at	dickkopf homolog 3 (Xenopus laevis)	DKK3	0.1	4.60E-05
216733_s_at	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	GATM	0.1	0.0001231
205498_at	growth hormone receptor	GHR	0.1	2.00E-07
206738_at	apolipoprotein C-IV	APOC4	0.1	4.00E-07
214247_s_at	dickkopf homolog 3 (Xenopus laevis)	DKK3	0.1	4.86E-05
206345_s_at	paraoxonase 1	PON1	0.1	0.0007133
209614_at	alcohol dehydrogenase 1A (class I), alpha polypeptide /// alcohol dehydrogenase IB (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1A /// ADH1B /// ADH1C	0.1	2.11E-05
209612_s_at	alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B	0.1	0.0003051
205404_at	hydroxysteroid (11-beta) dehydrogenase 1	HSD11B1	0.1	0.0001265
209613_s_at	alcohol dehydrogenase IB (class I), beta polypeptide	ADH1B	0.1	0.0001706
206496_at	flavin containing monooxygenase 3	FMO3	0.1	0.0002013
40665_at	flavin containing monooxygenase 3	FMO3	0.0	0.0002003
206350_at	amyloid P component, serum	APCS	0.0	< 1e-07
