HG U133A probe set	Gene Symbol	MLL rearranged	non-MLL rearranged	Fold change	t statistic	P	q
218505_at	FLJ12270	734.3	979.9	-1.3	-3.6	0.0019	0.0418
221267_s_at	C19orf27	2510.6	1822.1	1.4	3.6	0.0019	0.0418
219357_at	GTPBP1	646.2	891.4	-1.4	-3.6	0.0019	0.0419
210152_at	LILRB4	411.5	256.7	1.6	3.5	0.0019	0.0420
221281_at	---	26.5	60.6	-2.3	-3.3	0.0019	0.0420
203367_at	DUSP14	221.5	399.7	-1.8	-3.6	0.0020	0.0423
221760_at	MAN1A1	556.0	2670.4	-4.8	-3.7	0.0019	0.0423
206332_s_at	IFI16	1282.1	2138.1	-1.7	-3.6	0.0020	0.0425
213880_at	GPR49	21.8	64.3	-2.9	-3.6	0.0020	0.0426
211043_s_at	CLTB	625.6	467.7	1.3	3.3	0.0020	0.0427
202812_at	GAA	1594.0	850.4	1.9	3.5	0.0020	0.0428
207076_s_at	ASS	230.5	621.6	-2.7	-3.6	0.0020	0.0428
213389_at	ZNF592	401.3	334.3	1.2	3.3	0.0020	0.0428
218240_at	NKIRAS2	746.4	640.2	1.2	3.3	0.0020	0.0428
218735_s_at	ZNF544	382.2	606.7	-1.6	-3.5	0.0020	0.0428
209500_x_at	TNFSF13 /// TNFSF12-TNFSF13	2374.2	1972.1	1.2	3.3	0.0020	0.0428
202592_at	BLOC1S1	2085.4	1509.5	1.4	3.6	0.0020	0.0428
208861_s_at	ATRX	956.7	1167.6	-1.2	-3.5	0.0020	0.0429
213494_s_at	---	392.5	317.1	1.2	3.4	0.0020	0.0429
214717_at	DKFZp434H1419	85.4	170.2	-2.0	-3.5	0.0020	0.0430
218764_at	PRKCH	368.4	930.3	-2.5	-3.7	0.0020	0.0430
203562_at	FEZ1	647.3	187.6	3.5	3.8	0.0020	0.0431
212066_s_at	USP34	1717.2	2109.5	-1.2	-3.5	0.0020	0.0431
41220_at	MSF	2934.6	5011.5	-1.7	-3.6	0.0020	0.0434
217887_s_at	EPS15	800.9	1226.1	-1.5	-3.6	0.0021	0.0436
218552_at	FLJ10948	647.3	456.4	1.4	3.5	0.0021	0.0436
205804_s_at	T3JAM	787.9	642.0	1.2	3.3	0.0021	0.0437
207671_s_at	VMD2	175.2	119.5	1.5	3.4	0.0021	0.0437
212935_at	MCF2L	21.1	33.7	-1.6	-3.3	0.0021	0.0437
221796_at	NTRK2	15.2	40.7	-2.7	-3.4	0.0021	0.0439
202296_s_at	RER1	1782.1	1479.1	1.2	3.5	0.0021	0.0441
203568_s_at	TRIM38	1096.2	827.3	1.3	3.5	0.0021	0.0441
204073_s_at	C11orf9	104.0	256.7	-2.5	-3.5	0.0021	0.0441
204874_x_at	---	14.4	55.6	-3.9	-3.3	0.0021	0.0441
207904_s_at	LNPEP	195.9	141.5	1.4	3.3	0.0021	0.0441
209610_s_at	SLC1A4	1073.9	602.8	1.8	3.5	0.0021	0.0441
211181_x_at	RUNX1	138.6	326.1	-2.4	-3.5	0.0021	0.0441
207697_x_at	LILRB2	1625.7	776.5	2.1	3.5	0.0021	0.0442
200774_at	C9orf10	4813.2	3924.0	1.2	3.5	0.0021	0.0443
209235_at	CLCN7	546.4	467.2	1.2	3.2	0.0021	0.0443
202265_at	BMI1	2130.7	950.6	2.2	3.6	0.0021	0.0444
214709_s_at	KTN1 /// TXNDC7	1044.8	1443.5	-1.4	-3.6	0.0022	0.0447
217992_s_at	EFHD2	2191.0	1597.7	1.4	3.4	0.0022	0.0447
200800_s_at	HSPA1A /// HSPA1B	1646.2	1210.1	1.4	3.4	0.0022	0.0447
201689_s_at	TPD52	40.8	113.4	-2.8	-3.5	0.0022	0.0449
209420_s_at	SMPD1	424.9	323.9	1.3	3.3	0.0022	0.0449
220108_at	---	200.6	102.7	2.0	3.5	0.0022	0.0449
210417_s_at	PIK4CB	1001.1	866.0	1.2	3.3	0.0022	0.0449
208886_at	H1F0	396.9	1029.7	-2.6	-3.6	0.0022	0.0450
209543_s_at	CD34	930.3	2511.4	-2.7	-3.6	0.0022	0.0450
211202_s_at	JARID1B	1156.9	2112.5	-1.8	-3.6	0.0022	0.0450
213134_x_at	BTG3	421.4	785.9	-1.9	-3.5	0.0022	0.0450
221689_s_at	DSCR5	850.1	1155.6	-1.4	-3.6	0.0022	0.0450
201587_s_at	IRAK1	2393.4	1813.3	1.3	3.5	0.0022	0.0450
204250_s_at	Cep164	176.6	121.5	1.5	3.3	0.0022	0.0450
210811_s_at	DDX49	172.4	134.2	1.3	3.3	0.0022	0.0450
212959_s_at	MGC4170	1113.3	1722.0	-1.5	-3.5	0.0022	0.0450
220945_x_at	MANSC1	90.6	170.7	-1.9	-3.3	0.0022	0.0450
221458_at	HTR1F	354.6	193.8	1.8	3.6	0.0022	0.0450
221622_s_at	HT007	1476.3	1286.0	1.1	3.3	0.0022	0.0450
219955_at	---	156.7	106.8	1.5	3.4	0.0022	0.0452
202956_at	ARFGEF1	725.3	973.5	-1.3	-3.5	0.0022	0.0452
210701_at	CFDP1	252.3	185.0	1.4	3.3	0.0022	0.0452
208983_s_at	PECAM1	1912.5	1321.2	1.4	3.3	0.0023	0.0452
220507_s_at	UPB1	133.5	51.2	2.6	3.6	0.0023	0.0452
211368_s_at	CASP1	1095.3	748.2	1.5	3.4	0.0023	0.0453
211752_s_at	NDUFS7	854.5	666.1	1.3	3.5	0.0023	0.0453
218151_x_at	GPR172A	963.4	764.7	1.3	3.3	0.0023	0.0453
209186_at	ATP2A2	1513.0	1932.8	-1.3	-3.5	0.0023	0.0454
201549_x_at	JARID1B	987.3	1779.2	-1.8	-3.6	0.0023	0.0455
204561_x_at	APOC2	3330.9	417.4	8.0	3.6	0.0023	0.0459
210419_at	BARX2	37.3	74.1	-2.0	-3.4	0.0023	0.0459
213733_at	MYO1F	4085.6	2692.4	1.5	3.5	0.0023	0.0459
211535_s_at	FGFR1	176.0	464.4	-2.6	-3.5	0.0023	0.0461
217363_x_at	---	395.0	318.7	1.2	3.2	0.0023	0.0462
218893_at	FLJ23469	374.7	297.8	1.3	3.3	0.0023	0.0462
219994_at	APBB1IP	570.0	500.0	1.1	3.2	0.0023	0.0462
218540_at	THTPA	859.2	733.7	1.2	3.2	0.0024	0.0466
202579_x_at	HMGN4	1834.0	2193.4	-1.2	-3.4	0.0024	0.0466
221889_at	KCTD13	367.0	298.7	1.2	3.2	0.0024	0.0466
200864_s_at	RAB11A	298.0	442.6	-1.5	-3.3	0.0024	0.0468
206381_at	SCN2A2	35.6	71.7	-2.0	-3.4	0.0024	0.0468
203857_s_at	PDIR	749.3	1099.8	-1.5	-3.6	0.0024	0.0469
208966_x_at	IFI16	1729.3	2882.9	-1.7	-3.5	0.0024	0.0469
211919_s_at	CXCR4	6978.7	4317.2	1.6	3.5	0.0024	0.0469
214280_x_at	HNRPA1	4197.6	5526.3	-1.3	-3.4	0.0024	0.0469
219548_at	ZNF16	261.4	337.5	-1.3	-3.5	0.0024	0.0469
202166_s_at	PPP1R2	629.1	477.6	1.3	3.4	0.0024	0.0470
203232_s_at	ATXN1	418.3	214.3	2.0	3.4	0.0024	0.0471
203280_at	SAFB2	384.8	310.1	1.2	3.3	0.0024	0.0471
210971_s_at	ARNTL	137.2	87.2	1.6	3.3	0.0024	0.0471
210150_s_at	LAMA5	97.4	240.9	-2.5	-3.5	0.0024	0.0471
213379_at	CL640	765.8	567.1	1.4	3.4	0.0024	0.0471
213835_x_at	GTPBP3	525.6	664.1	-1.3	-3.4	0.0024	0.0471
214259_s_at	AKR7A2	1929.1	1138.9	1.7	3.6	0.0024	0.0471
213246_at	C14orf109	343.3	275.1	1.2	3.4	0.0025	0.0475
219423_x_at	TNFRSF25	163.7	327.6	-2.0	-3.5	0.0025	0.0475
209485_s_at	OSBPL1A	224.9	184.8	1.2	3.2	0.0025	0.0477
220252_x_at	CXorf21	970.9	531.3	1.8	3.5	0.0025	0.0477
213475_s_at	ITGAL	1260.7	736.1	1.7	3.4	0.0025	0.0479
205084_at	BCAP29	202.0	172.0	1.2	3.2	0.0025	0.0479
207824_s_at	MAZ	726.5	601.4	1.2	3.2	0.0025	0.0479
212685_s_at	TBL2	578.4	477.5	1.2	3.4	0.0025	0.0481
201565_s_at	ID2	2223.0	1024.4	2.2	3.5	0.0025	0.0481
203974_at	HDHD1A	877.7	444.5	2.0	3.6	0.0025	0.0482
205316_at	SLC15A2	667.8	551.9	1.2	3.3	0.0025	0.0482
203913_s_at	HPGD	39.8	281.6	-7.1	-3.3	0.0025	0.0484
215201_at	REPS1	150.2	130.4	1.2	3.2	0.0025	0.0484
217756_x_at	SERF2	6519.7	5379.9	1.2	3.3	0.0025	0.0484
58696_at	EXOSC4	761.8	621.2	1.2	3.3	0.0026	0.0485
203407_at	PPL	19.2	45.1	-2.4	-3.3	0.0026	0.0485
220227_at	CDH4	186.2	299.5	-1.6	-3.3	0.0026	0.0485
221081_s_at	FLJ22457	558.2	399.4	1.4	3.3	0.0026	0.0485
213486_at	DKFZP761N09121	186.5	270.8	-1.5	-3.3	0.0026	0.0485
209384_at	PROSC	1576.6	1229.0	1.3	3.4	0.0026	0.0487
213314_at	C6orf162	166.3	242.2	-1.5	-3.4	0.0026	0.0487
212125_at	RANGAP1	711.0	578.9	1.2	3.2	0.0026	0.0491
212912_at	RPS6KA2	68.2	183.3	-2.7	-3.5	0.0026	0.0495
201243_s_at	ATP1B1	328.4	750.0	-2.3	-3.5	0.0026	0.0496
200989_at	HIF1A	1581.7	2862.7	-1.8	-3.6	0.0027	0.0497
202929_s_at	DDT	817.7	675.2	1.2	3.2	0.0027	0.0497
210352_at	BRD8	45.1	99.0	-2.2	-3.4	0.0027	0.0497
213038_at	IBRDC3	519.5	379.2	1.4	3.3	0.0027	0.0497
214228_x_at	TNFRSF4	34.3	133.7	-3.9	-3.2	0.0027	0.0497
219099_at	C12orf5	392.9	208.3	1.9	3.4	0.0027	0.0497
219520_s_at	KIAA1280	327.7	571.2	-1.7	-3.2	0.0027	0.0497
205239_at	AREG	72.7	225.9	-3.1	-3.3	0.0027	0.0498
203041_s_at	LAMP2	1291.5	930.5	1.4	3.4	0.0027	0.0498
202081_at	IER2	4512.5	7025.4	-1.6	-3.5	0.0027	0.0499
201679_at	ARS2	320.0	260.3	1.2	3.1	0.0027	0.0499
