HG-U133A probe set	Gene Symbol	Gene	NPM1-mutated	NPM1-WT, MLL-WT	Fold change	t statistic	P	q
204998_s_at	ATF5	activating transcription factor 5	421.8	284.9	1.5	3.8	0.0047	0.1830
205171_at	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	493.3	340.7	1.4	3.6	0.0047	0.1840
221443_x_at	PRLH	prolactin releasing hormone	267.2	218.2	1.2	3.2	0.0047	0.1850
205346_at	SIAT4B	sialyltransferase 4B (beta-galactoside alpha-2,3-sialyltransferase)	173.5	136.9	1.3	3.3	0.0048	0.1860
211116_at	SLC9A2	solute carrier family 9 (sodium/hydrogen exchanger), isoform 2	11.6	39.8	-3.4	-3.5	0.0048	0.1860
202789_at	PLCG1	phospholipase C, gamma 1	149.9	315.8	-2.1	-3.4	0.0048	0.1860
215237_at	DOCK9	dedicator of cytokinesis 9	114.8	73.2	1.6	3.7	0.0048	0.1860
216866_s_at	COL14A1	Collagen, type XIV, alpha 1 (undulin)	20.3	54.2	-2.7	-3.8	0.0048	0.1860
221908_at	FLJ14627	Hypothetical protein FLJ14627	30.0	70.6	-2.4	-3.6	0.0048	0.1860
206837_at	CART1	cartilage paired-class homeoprotein 1	44.8	39.3	1.1	3.4	0.0048	0.1860
210110_x_at	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	1479.2	1067.8	1.4	4.0	0.0048	0.1860
204072_s_at	13CDNA73	hypothetical protein CG003	879.4	678.3	1.3	3.3	0.0049	0.1870
202767_at	ACP2	acid phosphatase 2, lysosomal	575.5	450.0	1.3	3.8	0.0049	0.1890
208944_at	---	---	869.1	1346.9	-1.5	-4.1	0.0049	0.1890
200650_s_at	LDHA	lactate dehydrogenase A	8103.2	10476.0	-1.3	-4.1	0.0050	0.1890
203290_at	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 1	38.8	389.2	-10.0	-3.7	0.0050	0.1890
203963_at	CA12	carbonic anhydrase XII	166.4	142.0	1.2	3.1	0.0050	0.1890
201605_x_at	CNN2	calponin 2	1163.7	1676.1	-1.4	-3.9	0.0050	0.1900
202399_s_at	AP3S2	adaptor-related protein complex 3, sigma 2 subunit	1094.1	886.3	1.2	3.9	0.0050	0.1900
211352_s_at	NCOA3	nuclear receptor coactivator 3	303.8	266.7	1.1	3.0	0.0050	0.1900
203291_at	CNOT4	CCR4-NOT transcription complex, subunit 4	399.4	310.6	1.3	3.4	0.0050	0.1900
218119_at	TIMM23	translocase of inner mitochondrial membrane 23 homolog (yeast)	934.2	715.2	1.3	3.9	0.0050	0.1900
221813_at	FBXO42	F-box protein 42	428.9	345.6	1.2	3.2	0.0051	0.1900
201389_at	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	956.4	1631.3	-1.7	-4.0	0.0051	0.1910
205317_s_at	SLC15A2	solute carrier family 15 (H+/peptide transporter), member 2	431.7	348.7	1.2	3.5	0.0051	0.1910
217963_s_at	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	2536.0	1364.8	1.9	3.8	0.0051	0.1920
203955_at	KIAA0649	KIAA0649	497.1	216.8	2.3	3.8	0.0052	0.1920
203575_at	CSNK2A2	casein kinase 2, alpha prime polypeptide	295.8	461.6	-1.6	-4.0	0.0052	0.1930
210299_s_at	FHL1	four and a half LIM domains 1	47.8	279.2	-5.8	-4.1	0.0052	0.1930
202913_at	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	489.2	291.4	1.7	3.8	0.0055	0.1930
203035_s_at	PIAS3	protein inhibitor of activated STAT, 3	227.5	153.3	1.5	3.7	0.0055	0.1930
203568_s_at	TRIM38	tripartite motif-containing 38	1083.4	827.3	1.3	3.7	0.0054	0.1930
203759_at	SIAT4C	sialyltransferase 4C (beta-galactoside alpha-2,3-sialyltransferase)	247.6	168.0	1.5	3.5	0.0052	0.1930
204074_s_at	KIAA0562	Glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein	406.9	321.2	1.3	3.2	0.0053	0.1930
204180_s_at	ZNF297B	zinc finger protein 297B	421.1	354.6	1.2	3.1	0.0053	0.1930
204260_at	CHGB	chromogranin B (secretogranin 1)	222.1	169.1	1.3	3.4	0.0052	0.1930
204571_x_at	PIN4	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)	960.3	856.2	1.1	3.2	0.0054	0.1930
205155_s_at	SPTBN2	spectrin, beta, non-erythrocytic 2	29.8	68.2	-2.3	-3.1	0.0053	0.1930
205462_s_at	HPCAL1	hippocalcin-like 1	347.8	666.5	-1.9	-3.4	0.0054	0.1930
205485_at	RYR1	ryanodine receptor 1 (skeletal)	31.3	112.5	-3.6	-3.9	0.0053	0.1930
206111_at	RNASE2	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	9103.8	6063.3	1.5	3.5	0.0053	0.1930
206359_at	SOCS3	suppressor of cytokine signaling 3	38.9	131.8	-3.4	-3.8	0.0052	0.1930
208098_at	OR12D3 /// OR5V1	olfactory receptor, family 12, subfamily D, member 3 /// olfactory receptor, family 12, subfamily D, member 3 /// olfactory receptor, family 5, subfamily V, member 1 /// olfactory receptor, family 5, subfamily V, member 1	23.9	59.7	-2.5	-3.7	0.0053	0.1930
209346_s_at	PI4KII	phosphatidylinositol 4-kinase type II	40.5	80.0	-2.0	-3.3	0.0054	0.1930
210379_s_at	TLK1	tousled-like kinase 1	140.8	114.5	1.2	3.3	0.0054	0.1930
212439_at	---	---	728.4	607.0	1.2	3.2	0.0053	0.1930
213169_at	---	Clone TUA8 Cri-du-chat region mRNA	267.3	176.0	1.5	3.6	0.0054	0.1930
214425_at	---	---	268.8	191.9	1.4	3.6	0.0054	0.1930
214746_s_at	EZI	likely ortholog of mouse zinc finger protein EZI	459.3	748.9	-1.6	-3.6	0.0054	0.1930
216304_x_at	YME1L1	YME1-like 1 (S. cerevisiae)	1471.0	1210.0	1.2	3.7	0.0054	0.1930
216459_x_at	---	---	203.4	136.0	1.5	3.5	0.0053	0.1930
216803_at	LIM	LIM protein (similar to rat protein kinase C-binding enigma)	130.0	88.1	1.5	3.5	0.0054	0.1930
218780_at	HOOK2	hook homolog 2 (Drosophila)	90.5	253.0	-2.8	-4.0	0.0054	0.1930
219229_at	SLCO3A1	solute carrier organic anion transporter family, member 3A1	516.3	369.6	1.4	3.4	0.0053	0.1930
219304_s_at	PDGFD	platelet derived growth factor D	539.3	340.4	1.6	3.7	0.0054	0.1930
205120_s_at	SGCB	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)	133.8	87.0	1.5	3.6	0.0055	0.1940
212800_at	---	Clone 23570 mRNA sequence	167.4	147.1	1.1	3.0	0.0055	0.1940
218242_s_at	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	1012.2	799.5	1.3	3.4	0.0055	0.1940
201834_at	PRKAB1	protein kinase, AMP-activated, beta 1 non-catalytic subunit	473.2	362.9	1.3	3.6	0.0055	0.1950
205305_at	FGL1	fibrinogen-like 1	242.5	214.0	1.1	3.0	0.0056	0.1950
208447_s_at	PRPS1	phosphoribosyl pyrophosphate synthetase 1	581.6	456.2	1.3	3.6	0.0056	0.1950
212412_at	LIM	LIM protein (similar to rat protein kinase C-binding enigma)	739.9	603.4	1.2	3.4	0.0056	0.1950
206652_at	---	MRNA; cDNA DKFZp779H233 (from clone DKFZp779H233)	104.5	75.0	1.4	3.4	0.0056	0.1960
205116_at	LAMA2	laminin, alpha 2 (merosin, congenital muscular dystrophy)	135.3	81.3	1.7	3.7	0.0056	0.1960
222212_s_at	LASS2	LAG1 longevity assurance homolog 2 (S. cerevisiae)	2067.4	2532.8	-1.2	-3.1	0.0056	0.1960
215335_at	---	MRNA; cDNA DKFZp434M0835 (from clone DKFZp434M0835)	19.8	46.6	-2.4	-3.4	0.0057	0.1970
219463_at	C20orf103	chromosome 20 open reading frame 103	59.6	421.0	-7.1	-3.0	0.0057	0.1970
202255_s_at	SIPA1L1	signal-induced proliferation-associated 1 like 1	46.9	173.5	-3.7	-3.7	0.0057	0.1970
207269_at	DEFA4	defensin, alpha 4, corticostatin	161.8	1785.1	-11.0	-3.6	0.0057	0.1970
220326_s_at	FLJ10357	hypothetical protein FLJ10357	752.8	569.0	1.3	3.3	0.0057	0.1970
204099_at	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	330.1	242.9	1.4	3.4	0.0057	0.1970
