Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.12h_Signal	L3.12h_Signal	L4.12h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
215725_at	DGCR11	0.004336	DiGeorge syndrome critical region gene 11	 	 	 	 	 	-1.74	-1.05	-0.65	1.61	0.79	1.11
215793_at	MTMR7	0.000723	myotubularin related protein 7	 	 	 	 	 	-1.4	-0.87	-1.28	0.81	1.26	1.46
215800_at	DUOX1	0.015323	dual oxidase 1	electron transport	peroxidase activity	membrane	 	 	-1.14	-1.05	-0.21	0.54	0.54	1.31
215839_at	LIR9	0.008753	leukocyte Ig-like receptor 9	 	 	 	 	 	-1.09	-1.02	-0.92	0.21	1	1.61
215848_at	ZNF291	0.012432	zinc finger protein 291	 	nucleic acid binding	nucleus	 	 	-0.32	-0.8	-0.47	0.13	0.73	0.72
215849_x_at	---	0.02852	 	 	 	 	 	 	-1.45	-1.24	-0.89	-0.24	1.55	1.84
215850_s_at	NDUFA5	0.046112	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa	 	 	 	Ubiquinone biosynthesis	GENMAPP/KEGG	-0.73	-1.37	0.2	0.76	0.81	0.51
215895_x_at	---	0.015655	CDNA FLJ11999 fis, clone HEMBB1001527	 	 	 	 	 	-1.2	-1.47	-0.98	0.6	0.43	2.14
215972_at	---	0.003487	Clone 24820 mRNA sequence	 	 	 	 	 	-1.39	-1.44	-1.04	0.51	1.84	1.32
216073_at	---	0.023231	MRNA full length insert cDNA clone EUROIMAGE 28993	 	 	 	 	 	-1.12	-1.42	0.04	0.83	1.22	0.61
216140_at	---	0.00548	MRNA; cDNA DKFZp434K1126 (from clone DKFZp434K1126)	 	 	 	 	 	-1.62	-1.44	-0.95	1.41	1.93	0.45
216157_at	---	0.001705	CDNA FLJ14169 fis, clone NT2RP2002056	 	 	 	 	 	-1.06	-1.31	-0.7	0.78	1.43	0.85
216182_at	SYNJ2	0.030283	synaptojanin 2	 	inositol/phosphatidylinositol phosphatase activity	 	 	 	-0.86	-0.39	-0.5	0.82	-0.07	0.95
216230_x_at	SMPD1	0.001162	sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase)	carbohydrate metabolism	sphingomyelin phosphodiesterase activity	lysosome	Sphingophospholipid biosynthesis	GENMAPP/KEGG	-0.63	-0.65	-0.99	1.03	0.69	0.55
216361_s_at	MYST3	0.008581	MYST histone acetyltransferase (monocytic leukemia) 3	DNA packaging	DNA binding	nucleosome	 	 	-0.67	-1.05	-0.16	0.54	0.65	0.74
216376_x_at	KAL1	0.002758	Kallmann syndrome 1 sequence	cell motility	serine-type endopeptidase inhibitor activity	extracellular matrix	 	 	-0.56	-0.74	-0.39	0.44	0.83	0.41
216521_s_at		0.034027	c6.1A	cell growth and/or maintenance	 	 	 	 	-0.19	-0.25	-0.62	0.02	0.62	0.42
216634_at	KIAA1069	0.00673	KIAA1069 protein	lipid metabolism	phosphoinositide phospholipase C activity	 	 	 	-1.33	-1.23	-1.21	1.95	1.16	0.34
216648_s_at	RREB1	0.035871	ras responsive element binding protein 1	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus	 	 	-0.03	-1.06	-0.77	1.14	0.35	0.38
216747_at	APBB2	0.000172	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	cell cycle arrest	beta-amyloid binding	nucleus	 	 	-1.2	-0.93	-0.99	0.78	1.2	1.13
216758_at	---	0.012472	CDNA: FLJ21385 fis, clone COL03356	 	 	 	 	 	-0.87	-1.08	-0.91	0.64	0.3	1.69
216844_at	RoXaN	0.022779	ubiquitous tetratricopeptide containing protein RoXaN	 	nucleic acid binding	nucleus	 	 	-1.36	-1.42	-1.38	0.74	0.14	2.45
216875_x_at	HAB1	0.046033	B1 for mucin	 	 	 	 	 	-0.3	-0.18	-0.24	0.56	0.07	0.07
216914_at	CDC25C	0.041925	cell division cycle 25C	regulation of cyclin dependent protein kinase activity	protein tyrosine phosphatase activity	nucleus	Cell_cycle	GENMAPP/KEGG	-1.01	-0.63	-0.5	1.43	-0.09	0.63
216919_at	TP53I11	0.013178	tumor protein p53 inducible protein 11	response to stress	 	 	 	 	-1.63	-0.25	-1.06	1.44	1.04	0.58
216946_at	HLA-DOA	0.037041	major histocompatibility complex, class II, DO alpha	immune response	MHC class II receptor activity	plasma membrane	 	 	-1.29	-0.97	-0.91	0.27	0.23	2.1
216979_at	NR4A3	0.023708	nuclear receptor subfamily 4, group A, member 3	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Hypertrophy_model	GENMAPP/KEGG	-0.13	-0.74	-0.8	0.1	0.76	0.8
217068_at	---	0.009536	 	 	 	 	 	 	-1.02	-0.81	-0.63	1.04	0.14	1.19
217117_x_at	MUC3B	8.60E-05	mucin 3B	 	extracellular matrix structural constituent	 	 	 	-0.7	-0.73	-0.51	0.6	0.74	0.62
217124_at	KIAA1023	0.001004	KIAA1023 protein	 	 	 	 	 	-1.56	-0.97	-0.82	1.17	1.34	0.9
217215_s_at	EAN57	0.00735	hypothetical protein EAN57	 	 	 	 	 	-0.39	-0.33	-0.8	0.37	0.78	0.37
217249_x_at	COX7A3	0.001574	cytochrome c oxidase subunit VIIa polypeptide 3 (liver)	electron transport	cytochrome-c oxidase activity	mitochondrion	 	 	-0.61	-0.66	-1.12	1.06	0.69	0.65
217250_s_at	CHD5	0.001825	chromodomain helicase DNA binding protein 5	chromatin assembly/disassembly	chromatin binding	chromatin	 	 	-1.19	-1.19	-1.05	1.03	0.62	1.66
217288_at	FLJ13236	0.035819	hypothetical protein FLJ13236	 	 	 	 	 	-0.52	-0.89	-0.61	0.9	-0.16	1.17
217385_at	---	0.007225	 	 	 	 	 	 	-1.08	-0.74	-0.65	0.51	1.38	0.49
217418_x_at	MS4A1	0.024146	membrane-spanning 4-domains, subfamily A, member 1	immune response	receptor activity	integral to plasma membrane	 	 	-0.11	-0.52	-0.72	0.34	0.2	0.8
217429_at	---	0.011036	MRNA; cDNA DKFZp564A216 (from clone DKFZp564A216)	 	 	 	 	 	-0.86	-0.34	-1.59	1.12	0.54	1.25
217460_at	TNP2	0.000438	transition protein 2 (during histone to protamine replacement)	DNA packaging	DNA binding	nucleosome	 	 	-1.2	-1.37	-0.8	1.36	1.12	0.92
217464_at	RPS2	0.000807	ribosomal protein S2	protein biosynthesis	RNA binding	intracellular	Ribosomal_Proteins	GENMAPP/KEGG	-0.58	-0.58	-0.7	0.38	0.82	0.64
217538_at	RUTBC1	0.018072	RUN and TBC1 domain containing 1	 	 	 	 	 	-1.39	-0.32	-1.38	0.53	0.7	1.77
217657_at	---	0.00677	Transcribed sequences	 	 	 	 	 	-0.79	-0.53	-0.5	0.91	0.71	0.18
217706_at	---	0.04909	Transcribed sequence with weak similarity to protein sp:P39188 (H.sapiens) ALU1_HUMAN Alu subfamily J sequence contamination warning entry	 	 	 	 	 	-0.53	-0.93	-0.96	1.13	-0.32	1.4
217813_s_at	SPIN	0.006406	spindlin	gametogenesis	 	 	 	 	-0.68	-1.16	-0.31	0.57	0.65	0.98
218027_at	MRPL15	0.034577	mitochondrial ribosomal protein L15	protein biosynthesis	structural constituent of ribosome	intracellular	 	 	-0.48	-1.04	-0.05	0.37	0.89	0.36
218156_s_at	FLJ10534	0.027089	hypothetical protein FLJ10534	 	 	 	 	 	-0.62	-0.98	-0.08	0.18	0.64	0.89
218238_at	GTPBP4	0.000964	GTP binding protein 4	 	GTP binding	nucleus	 	 	-0.45	-0.94	-1.08	0.84	0.82	0.85
218299_at	C11orf24	0.021839	chromosome 11 open reading frame 24	 	 	 	 	 	-0.87	-0.28	-0.38	0.81	0.61	0.1
218330_s_at	NAV2	0.021545	neuron navigator 2	 	nucleotide binding	 	 	 	-0.29	-0.31	-1.14	0.47	0.41	0.91
218479_s_at	XPO4	0.036955	exportin 4	intracellular protein transport	protein transporter activity	nucleus	 	 	-0.78	-0.27	-0.09	0.39	0.63	0.14
218497_s_at	RNASEH1	0.019502	ribonuclease H1	RNA catabolism	magnesium ion binding	 	 	 	0	-0.54	-0.84	0.48	0.49	0.46
218512_at	WDR12	0.03412	WD repeat domain 12	 	 	 	 	 	-0.41	-0.66	-0.3	0.11	0.25	0.96
218513_at	FLJ11184	0.045397	hypothetical protein FLJ11184	 	 	 	 	 	-0.92	-1.32	0.09	0.21	1.19	0.83
218516_s_at	FLJ20421	0.008384	hypothetical protein FLJ20421	 	inositol/phosphatidylinositol phosphatase activity	 	 	 	-0.31	-0.77	-1.03	0.41	0.62	1.09
218624_s_at	MGC2752	0.040669	hypothetical protein MGC2752	 	 	 	 	 	-0.61	-0.41	-0.38	-0.14	0.65	0.84
218666_s_at	STX17	0.002234	syntaxin 17	transport	 	integral to membrane	 	 	-0.34	-0.54	-0.63	0.55	0.67	0.28
218688_at	DKFZP586B1621	0.032233	DKFZP586B1621 protein	glycerol metabolism	glycerone kinase activity	 	 	 	-0.63	-0.51	-0.35	0.96	0.51	-0.04
218717_s_at	LEPREL1	0.044993	leprecan-like 1	protein metabolism	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	 	 	 	-0.55	-0.31	-0.37	0.8	-0.12	0.51
218736_s_at	PALMD	0.046362	palmdelphin	 	 	 	 	 	-1.58	0.33	-1.41	0.85	0.65	1.43
218786_at	TU12B1-TY	0.008859	TU12B1-TY protein	 	 	 	 	 	-0.37	-0.6	-0.64	0.84	0.6	0.14
218791_s_at	FLJ22557	0.033042	hypothetical protein FLJ22557	 	 	 	 	 	0.05	-0.76	-0.86	0.79	0.23	0.58
218807_at	VAV3	0.005029	vav 3 oncogene	small GTPase mediated signal transduction	SH3/SH2 adaptor protein activity	 	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	-0.27	-0.77	-0.39	0.32	0.55	0.58
218833_at	ZAK	0.021389	sterile alpha motif and leucine zipper containing kinase AZK	DNA damage response, signal transduction resulting in cell cycle arrest	protein serine/threonine kinase activity	 	 	 	-0.82	-0.64	-0.91	0.66	1.47	0.06
218859_s_at	C20orf6	0.02079	chromosome 20 open reading frame 6	 	 	 	 	 	-0.61	-1.07	-0.15	0.4	0.44	1.01
218945_at	MGC2654	0.014933	hypothetical protein MGC2654	 	 	 	 	 	-0.8	-0.77	-0.44	0.05	0.89	1.01
218990_s_at	SPRR3	0.037603	small proline-rich protein 3	 	structural molecule activity	 	 	 	-1.19	-1.07	-0.59	1.55	-0.26	1.3
219031_s_at	CGI-37	0.003876	comparative gene identification transcript 37	 	RNA binding	 	 	 	-1.57	-1	-1.26	1.52	1.7	0.47
219065_s_at	CGI-27	0.006965	C21orf19-like	 	 	 	 	 	-0.7	-0.38	-0.37	0.63	0.17	0.64
219073_s_at	OSBPL10	0.042568	oxysterol binding protein-like 10	lipid transport	 	 	 	 	-1.45	-0.56	-0.97	0.82	-0.11	1.91
219112_at	RAPGEF6	0.033898	Rap guanine nucleotide exchange factor (GEF) 6	neuropeptide signaling pathway	guanyl-nucleotide exchange factor activity	plasma membrane	 	 	-0.63	-0.66	-0.37	0.44	0.01	1.13
219131_at	TERE1	0.017635	transitional epithelia response protein	 	 	membrane	 	 	-0.76	-0.42	-0.56	0.29	1.11	0.28
219172_at	UBTD1	0.011301	hypothetical protein FLJ11807	 	 	 	 	 	-0.38	-0.04	-0.29	0.27	0.27	0.17
219244_s_at	MRPL46	0.017336	mitochondrial ribosomal protein L46	 	structural constituent of ribosome	mitochondrion	 	 	-0.93	-0.91	-0.3	0.59	0.25	1.26
219258_at	FLJ20516	0.035285	timeless-interacting protein	 	 	 	 	 	-1.6	-0.69	-0.85	-0.17	1.35	1.72
219303_at	C13orf7	0.029675	chromosome 13 open reading frame 7	 	 	 	 	 	-0.62	-0.43	-0.42	1	0.05	0.34
219355_at	FLJ10178	0.004456	hypothetical protein FLJ10178	 	nucleic acid binding	 	 	 	-0.59	-0.26	-0.67	0.75	0.34	0.43
219419_at	C18orf22	0.03961	chromosome 18 open reading frame 22	 	 	 	 	 	-1.66	-1.04	-0.32	0	1.81	1.07
219420_s_at	FLJ12439	0.001892	hypothetical protein FLJ12439	 	 	 	 	 	-1.27	-1.14	-1.66	1.55	1.74	0.66
219561_at	COPZ2	0.02604	coatomer protein complex, subunit zeta 2	intracellular protein transport	protein transporter activity	Golgi cis-face	 	 	-0.07	-1.05	-0.88	0.38	0.47	1.15
219597_s_at	DUOX1	0.047019	dual oxidase 1	electron transport	peroxidase activity	membrane	 	 	-1.54	-1.04	-1.25	-0.46	2.28	1.24
219641_at	DET1	0.007035	de-etiolated 1	 	 	 	 	 	-0.4	-0.41	-0.11	0.18	0.42	0.32
219778_at	ZFPM2	0.007511	zinc finger protein, multitype 2	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	-0.55	-1.52	-1.18	1.54	1.24	0.45
219790_s_at	NPR3	0.042381	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	skeletal development	receptor activity	integral to membrane	 	 	-0.79	-0.84	-0.65	0.16	0.21	1.63
219819_s_at	MRPS28	0.03286	mitochondrial ribosomal protein S28	 	RNA binding	mitochondrion	 	 	-0.68	-1.12	-0.35	0.46	0.17	1.41
219828_at	C9orf86	0.028392	chromosome 9 open reading frame 86	 	 	 	 	 	-0.58	-0.19	-0.26	0.11	0.25	0.66
219929_s_at	ZFYVE21	0.02152	zinc finger, FYVE domain containing 21	 	zinc ion binding	 	 	 	-1.15	-0.86	-0.31	0.76	0.17	1.33
220078_at	USP48	0.034138	ubiquitin specific protease 48	ubiquitin-dependent protein catabolism	cysteine-type endopeptidase activity	 	 	 	-1.43	-0.42	-0.99	-0.06	1.08	1.65
220123_at	SLC35F5	0.005439	solute carrier family 35, member F5	 	 	 	 	 	-0.51	-1.02	-1.48	1.47	0.93	0.64
220145_at	FLJ21159	0.002632	hypothetical protein FLJ21159	 	 	 	 	 	-0.33	-0.5	-0.33	0.21	0.38	0.55
220177_s_at	TMPRSS3	0.008819	transmembrane protease, serine 3	proteolysis and peptidolysis	chymotrypsin activity	endoplasmic reticulum	 	 	-0.43	-0.75	-0.82	0.22	1.08	0.65
220214_at	ZNF215	0.045598	zinc finger protein 215	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus	 	 	-0.59	-0.55	-0.37	1.11	-0.02	0.33
220222_at	PRO1905	0.035509	hypothetical protein PRO1905	 	 	 	 	 	-0.34	-0.23	-0.11	0	0.23	0.45
220409_at	CAMSAP1	0.020402	calmodulin regulated spectrin-associated protein 1	 	 	 	 	 	-0.53	-0.31	-0.08	0.27	0.16	0.5
220459_at	MCM3APAS	0.045739	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein, antisense	 	 	 	 	 	-0.57	-0.93	0.07	0.15	0.67	0.66
220541_at	MMP26	0.017188	matrix metalloproteinase 26	collagen catabolism	metalloendopeptidase activity	extracellular matrix	Matrix_Metalloproteinases	GENMAPP/KEGG	-0.87	-0.23	-0.35	0.24	0.75	0.46
220549_at	FSBP	2.70E-05	fibrinogen silencer binding protein	 	 	 	 	 	-1.26	-1.38	-1.29	1.07	1.45	1.38
220602_s_at	FLJ22795	0.034116	hypothetical protein FLJ22795	 	 	 	 	 	-1.38	-0.59	-1.22	1.93	-0.1	1
220636_at	DNAI2	0.009642	dynein, axonemal, intermediate polypeptide 2	 	motor activity	dynein complex	 	 	-1.47	-1.43	-0.61	0.89	1.9	0.56
220658_s_at	ARNTL2	0.026279	aryl hydrocarbon receptor nuclear translocator-like 2	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-0.83	-1.16	-0.51	1.39	-0.05	1.02
220707_s_at	FLJ23322	0.04623	hypothetical protein FLJ23322	electron transport	disulfide oxidoreductase activity	 	 	 	-1.67	-1.72	-0.29	0.85	0.08	2.34
220784_s_at	UTS2	0.040229	urotensin 2	muscle contraction	hormone activity	extracellular space	 	 	-0.7	-0.85	-0.55	0.42	0	1.47
220820_at	---	0.032461	Transcribed sequence with weak similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	 	 	 	 	 	-0.73	-0.23	-0.56	0.58	0.93	-0.02
220865_s_at	TPRT	0.029667	trans-prenyltransferase	isoprenoid biosynthesis	transferase activity	 	 	 	-0.23	-0.4	-1.47	0.38	0.77	1.09
220901_at	GPR157	0.039389	G protein-coupled receptor 157	 	G-protein coupled receptor activity	membrane	 	 	-0.96	-0.38	-0.72	0	1.39	0.52
220979_s_at	SIAT7E	0.017988	sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) E	protein amino acid glycosylation	sialyltransferase activity	Golgi apparatus	 	 	-1.02	-0.08	-1.19	0.93	0.38	1.05
221030_s_at	ARHGAP24	0.029908	Rho GTPase activating protein 24	 	 	 	 	 	-0.6	-0.6	-0.84	1.38	0.14	0.34
221122_at	HRASLS2	0.015491	HRAS-like suppressor 2	 	 	 	 	 	-0.21	-1.58	-1.52	1.1	1.71	0.59
221171_at	FLJ20972	0.000979	hypothetical protein FLJ20972	 	 	 	 	 	-1.11	-1.25	-1.23	0.63	1.37	1.49
221212_x_at	PB1	0.000135	polybromo 1	chromatin remodeling	DNA binding	nuclear chromosome	 	 	-0.83	-1.31	-1.25	1.08	1.2	1.14
221245_s_at	DKFZP434E2135	0.019533	hypothetical protein DKFZp434E2135	 	 	 	 	 	-0.8	-1.41	-0.65	1.24	0.04	1.45
221302_at	KLF15	0.013491	Kruppel-like factor 15	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	-1.01	-0.65	-1.09	0.07	1.33	1.22
221303_at	PCDHB1	0.007259	protocadherin beta 1	cell adhesion	calcium ion binding	integral to membrane	 	 	-0.86	-1.15	-1.31	0.52	0.74	1.83
221434_s_at	DC50	0.007595	hypothetical protein DC50	 	rrm;nucleic acid binding;7.1e-15	 	 	 	-1.11	-0.45	-0.51	0.49	0.54	1.05
221544_s_at	THRAP5	0.034745	thyroid hormone receptor associated protein 5	regulation of transcription from Pol II promoter	transcription cofactor activity	mediator complex	 	 	-0.02	-1.44	-0.85	0.35	0.74	1.31
221548_s_at	ILKAP	0.011272	integrin-linked kinase-associated serine/threonine phosphatase 2C	protein amino acid dephosphorylation	magnesium ion binding	protein serine/threonine phosphatase complex	 	 	-0.56	-0.87	-0.45	1.03	0.17	0.64
221551_x_at	SIAT7D	0.039603	sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase)	protein amino acid glycosylation	alpha-N-acetylneuraminyl-2,3-alpha-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase activity	Golgi apparatus	Ganglioside biosynthesis	GENMAPP/KEGG	-0.12	-0.51	-0.83	0.81	-0.01	0.65
221610_s_at	STAP2	0.011833	signal-transducing adaptor protein-2	intracellular signaling cascade	kinase activity	 	 	 	-0.34	-0.49	-0.18	0.35	0.55	0.11
221615_at	BMP8B	0.016815	peptidylprolyl isomerase E (cyclophilin E)	protein folding	RNA binding	nucleus	 	 	-1.1	-0.75	-0.49	0.75	1.34	0.15
221656_s_at	FLJ10521	0.049017	hypothetical protein FLJ10521	 	 	 	 	 	-0.34	-0.6	-0.33	0.9	0.4	-0.08
221662_s_at	SLC22A7	0.034166	solute carrier family 22 (organic anion transporter), member 7	 	sugar_tr;transporter activity;1.4e-07	 	 	 	-0.51	-0.98	-0.98	1.14	1.35	-0.18
221722_x_at	LZTS1	0.035633	leucine zipper, putative tumor suppressor 1	transcription	DNA binding	nucleus	 	 	-0.42	-0.53	-0.32	0.72	0.62	-0.11
221738_at	KIAA1219	0.005848	KIAA1219 protein	 	GTPase activator activity	 	 	 	-0.26	-0.65	-0.37	0.21	0.54	0.52
221835_at	DTX3	0.048041	deltex 3 homolog (Drosophila)	 	 	 	 	 	-0.51	-0.93	-1.04	0.52	-0.07	1.72
221859_at	SYT13	0.033588	synaptotagmin XIII	transport	transporter activity	synaptic vesicle	 	 	-1.09	-0.28	-0.74	0.19	0.43	1.38
222009_at	CGI-14	0.001319	CGI-14 protein	N-acetylglucosamine metabolism	N-acetylglucosamine-6-phosphate deacetylase activity	 	 	 	-0.35	-0.77	-0.59	0.67	0.43	0.61
222028_at	ZNF45	0.005096	zinc finger protein 45 (a Kruppel-associated box (KRAB) domain polypeptide)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-0.07	-0.3	-0.33	0.23	0.28	0.2
222057_at	MGC3731	0.04213	hypothetical protein MGC3731	 	 	 	 	 	-0.25	-1.38	-1.23	0.95	1.76	-0.03
222107_x_at	LZTS1	0.006779	leucine zipper, putative tumor suppressor 1	transcription	DNA binding	nucleus	 	 	-0.97	-0.54	-1.7	1.58	0.8	0.89
222216_s_at	MRPL17	0.045849	mitochondrial ribosomal protein L17	protein biosynthesis	structural constituent of ribosome	intracellular	 	 	-0.49	-0.7	-0.33	-0.01	1.11	0.35
222227_at	ZNF236	0.032357	zinc finger protein 236	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	 	 	-1.11	-0.13	-1.11	0.08	1.28	0.96
222267_at	FLJ14803	0.049517	hypothetical protein FLJ14803	 	 	 	 	 	-1.27	-1.51	-1.11	-0.58	1.55	2.17
222319_at	---	0.012026	Transcribed sequence with weak similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry	 	 	 	 	 	-1.77	-1.59	-0.25	0.7	1.35	1.72
222327_x_at	LOC283491	0.042206	hypothetical protein LOC283491	 	 	 	 	 	-0.09	-0.33	-1.11	0.87	0.33	0.38
222379_at	KCNE4	0.012299	potassium voltage-gated channel, Isk-related family, member 4	ion transport	voltage-gated potassium channel activity	integral to membrane	 	 	-1.46	-1.23	-0.36	0.75	0.61	1.66
33307_at	CGI-96	0.028898	CGI-96 protein	 	 	 	 	 	-0.4	-0.37	-0.38	0.02	0.3	0.79
34260_at	KIAA0683	0.03922	KIAA0683 gene product	 	 	 	 	 	-0.44	-0.56	-1.28	0.31	0.29	1.54
34471_at	MYH8	0.045836	myosin, heavy polypeptide 8, skeletal muscle, perinatal	striated muscle contraction	motor activity	muscle myosin	 	 	-1.39	-1.38	0.08	1.49	1.13	0.14
36920_at	MTM1	0.034572	myotubular myopathy 1	protein amino acid dephosphorylation	protein serine/threonine phosphatase activity	 	 	 	-0.4	-0.3	-0.85	0.69	0.88	-0.04
37004_at	SFTPB	0.041604	surfactant, pulmonary-associated protein B	lipid metabolism	 	extracellular space	 	 	-1.28	-1.34	0	1.59	0.8	0.22
37512_at	RODH	3.00E-06	3-hydroxysteroid epimerase	androgen biosynthesis	electron transporter activity	 	 	 	-1.26	-1.07	-1.23	1.22	1.19	1.16
44617_at	FLJ13491	0.000161	hypothetical protein FLJ13491	protein metabolism	procollagen-lysine 5-dioxygenase activity	endoplasmic reticulum	 	 	-0.31	-0.41	-0.33	0.41	0.28	0.37
55872_at	KIAA1196	0.030401	KIAA1196 protein	regulation of transcription, DNA-dependent	DNA binding	nucleus	 	 	-0.2	-0.57	-0.46	0.02	0.4	0.78
64371_at	SFRS14	0.04799	splicing factor, arginine/serine-rich 14	 	 	 	 	 	-0.2	0.02	-0.42	0.15	0.34	0.12
AFFX-r2-Hs28SrRNA-3_at	---	0.016351	 	 	 	 	 	 	-0.12	-1.34	-1.65	1.58	1	0.7
200620_at	C1orf8	0.010159	chromosome 1 open reading frame 8	open reading frame 8	C1orf8	 	 	integral to membrane	0.07	0.72	0.87	-0.6	-0.59	-0.52
200714_x_at	OS-9	0.028708	amplified in osteosarcoma	 	 	 	 	 	0.62	0.9	0.01	-0.26	-0.48	-0.82
200905_x_at	HLA-E	0.008185	major histocompatibility complex, class I, E	immune response	MHC class I receptor activity	integral to membrane	Proteasome_Degradation	GENMAPP/KEGG	0.59	0.25	0.22	-0.33	-0.22	-0.52
200976_s_at	TAX1BP1	0.039014	Tax1 (human T-cell leukemia virus type I) binding protein 1	anti-apoptosis	nucleic acid binding	nucleus	 	 	0.28	0.05	0.84	-0.49	-0.53	-0.18
201025_at	EIF5B	0.048337	eukaryotic translation initiation factor 5B	protein biosynthesis	translation initiation factor activity	 	Translation_Factors	GENMAPP/KEGG	0.1	0.5	0.23	-0.06	-0.19	-0.58
201034_at	HADHSC	0.03995	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	fatty acid metabolism	3-hydroxyacyl-CoA dehydrogenase activity	mitochondrion	Fatty_Acid_Degradation	GENMAPP/KEGG	0.63	0.01	1.15	-0.39	-1.07	-0.37
201056_at	---	0.002137	MRNA; cDNA DKFZp686F09142 (from clone DKFZp686F09142)	 	 	 	 	 	0.69	0.41	0.32	-0.38	-0.63	-0.43
201189_s_at	ITPR3	0.017568	inositol 1,4,5-triphosphate receptor, type 3	cation transport	receptor activity	endoplasmic reticulum	Calcium_Channels	GENMAPP/KEGG	0.8	0.4	0.28	-0.11	-0.78	-0.57
201253_s_at	CDIPT	0.010309	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	phospholipid biosynthesis	magnesium ion binding	integral to membrane	Glycerolipid metabolism	GENMAPP/KEGG	0.13	0.32	0.19	-0.23	-0.33	-0.08
201335_s_at	ARHGEF12	0.023806	Rho guanine nucleotide exchange factor (GEF) 12	cell growth and/or maintenance	signal transducer activity	 	 	 	0.95	-0.03	1.69	-0.72	-1.02	-1.14
201535_at	UBL3	0.034005	ubiquitin-like 3	 	 	 	 	 	0.34	1.19	0.06	-0.56	-0.45	-0.69
201598_s_at	INPPL1	0.046235	inositol polyphosphate phosphatase-like 1	DNA repair	inositol/phosphatidylinositol phosphatase activity	 	Inositol phosphate metabolism	GENMAPP/KEGG	0.85	0.16	0.05	-0.32	-0.4	-0.38
201634_s_at	CYB5-M	0.006741	cytochrome b5 outer mitochondrial membrane precursor	 	 	 	 	 	0.43	0.74	0.89	-0.41	-0.49	-1.13
201685_s_at	C14orf92	0.033765	chromosome 14 open reading frame 92	regulation of transcription, DNA-dependent	DNA binding	chromatin	 	 	0.72	0.13	0.44	-0.03	-0.52	-0.73
201752_s_at	ADD3	0.04235	adducin 3 (gamma)	 	structural constituent of cytoskeleton	cytoskeleton	 	 	1.03	0.01	1.28	-0.65	-1.43	-0.23
201782_s_at	AIP	0.047893	aryl hydrocarbon receptor interacting protein	protein folding	transcription coactivator activity	cytoplasm	 	 	0.37	-0.07	0.79	-0.3	-0.28	-0.54
201981_at	PAPPA	0.049821	pregnancy-associated plasma protein A	proteolysis and peptidolysis	metallopeptidase activity	extracellular space	 	 	0.98	-0.09	1.11	-0.72	-0.14	-1.17
201982_s_at	PAPPA	0.024065	pregnancy-associated plasma protein A	proteolysis and peptidolysis	metallopeptidase activity	extracellular space	 	 	0.99	0.1	1.82	-1.35	-1.3	-0.49
202002_at	ACAA2	0.012742	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	 	2.3.1.16;acetyl-CoA C-acyltransferase activity;1.68e-138	 	Fatty acid biosynthesis (path 2)	GENMAPP/KEGG	0.99	0.52	1.43	-1.51	-1.09	-0.26
202256_at	CD2BP2	0.016209	CD2 antigen (cytoplasmic tail) binding protein 2	antimicrobial humoral response (sensu Vertebrata)	 	cytoplasm	 	 	0.46	0.84	0.14	-0.66	-0.23	-0.57
202362_at	RAP1A	0.029811	RAP1A, member of RAS oncogene family	signal transduction	GTPase activity	 	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	1.51	1.23	-0.07	-0.43	-1.1	-1.31
