Gene	Fold Change	Gene Name
TMEM4	1.530528053	transmembrane protein 4
TAF9B	1.530256057	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated
LOC653068	1.530256057	LOC653068
GTPBP4	1.529077958	GTP binding protein 4
C17orf85	1.529060394	chromosome 17 open reading frame 85
CAMTA1	1.528785914	calmodulin binding transcription activator 1
SCP2	1.528695137	sterol carrier protein 2
GALNT4	1.528232625	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
M-RIP	1.528224366	myosin phosphatase-Rho interacting protein
PCNA	1.527842005	proliferating cell nuclear antigen
LGALS8	1.527475168	lectin, galactoside-binding, soluble, 8 (galectin 8)
C21orf45	1.527345184	chromosome 21 open reading frame 45
DDR1	1.52721588	discoidin domain receptor family, member 1
BUD13	1.527131142	BUD13 homolog (S. cerevisiae)
MRPL13	1.526968968	mitochondrial ribosomal protein L13
AZI2	1.526425446	5-azacytidine induced 2
LOC643556	1.526384893	LOC643556
AURKAIP1	1.526384893	aurora kinase A interacting protein 1
GFM1	1.526346177	G elongation factor, mitochondrial 1
KIAA1704	1.526217154	KIAA1704
XAGE3	1.525926296	X antigen family, member 3
PSMB1	1.525926296	proteasome (prosome, macropain) subunit, beta type, 1
UCRC	1.525720135	ubiquinol-cytochrome c reductase complex (7.2 kD)
FUNDC2	1.525674973	FUN14 domain containing 2
ATP6V1D	1.525644213	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D
CLPX	1.525642676	ClpX caseinolytic peptidase X homolog (E. coli)
CTR9	1.525456494	Ctr9, Paf1/RNA polymerase II complex component, homolog (S.
CCDC44	1.525307566	coiled-coil domain containing 44
ACO1	1.525211694	aconitase 1, soluble
ANKRD15	1.525211694	ankyrin repeat domain 15
CTSK	1.525012797	cathepsin K
MPP2	1.524764525	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)
FHL1	1.523690447	four and a half LIM domains 1
MTERFD2	1.523228023	MTERF domain containing 2
ORC6L	1.522822994	origin recognition complex, subunit 6 like (yeast)
CAPZB	1.522811718	capping protein (actin filament) muscle Z-line, beta
FKBP11	1.522594069	FK506 binding protein 11, 19 kDa
IPO11	1.52235752	importin 11
UNC119	1.521200805	unc-119 homolog (C. elegans)
GCDH	1.521090264	glutaryl-Coenzyme A dehydrogenase
WDR23	1.520342982	WD repeat domain 23
CITED2	1.520127988	Cbp/p300-interacting transactivator, with Glu/Asp-rich
LSM3	1.518069937	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
PRC1	1.51804349	protein regulator of cytokinesis 1
MTCH2	1.517697589	mitochondrial carrier homolog 2 (C. elegans)
CAT	1.515924441	catalase
NDUFC1	1.51552971	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa
ANXA7	1.515078011	annexin A7
MULK	1.514559596	MULK
HIST1H2BD	1.513950247	histone cluster 1, H2bd
AKR7A2	1.513839908	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde
CSRP2	1.511571396	cysteine and glycine-rich protein 2
ID4	1.510589442	inhibitor of DNA binding 4, dominant negative helix-loop-helix
RUTBC3	1.510141165	RUN and TBC1 domain containing 3
NBN	1.509440573	nibrin
C6orf182	1.509390289	chromosome 6 open reading frame 182
TCP1	1.50921412	t-complex 1
ARL10	1.508492721	ADP-ribosylation factor-like 10
ARPC3	1.508398068	actin related protein 2/3 complex, subunit 3, 21kDa
XRCC6	1.508199469	X-ray repair complementing defective repair in Chinese hamster cells
UBE2G1	1.507557661	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)
NEXN	1.507100693	nexilin (F actin binding protein)
CMAS	1.506995548	cytidine monophosphate N-acetylneuraminic acid synthetase
TOMM40	1.506340125	translocase of outer mitochondrial membrane 40 homolog (yeast)
PDGFD	1.505436689	platelet derived growth factor D
NDUFA2	1.50520138	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
MIPOL1	1.505099582	mirror-image polydactyly 1
AP4E1	1.50444803	adaptor-related protein complex 4, epsilon 1 subunit
ZNF226	1.504201889	zinc finger protein 226
STAT3	1.503804992	signal transducer and activator of transcription 3 (acute-phase
TCEA2	1.503304052	transcription elongation factor A (SII), 2
HSDL2	1.502906932	hydroxysteroid dehydrogenase like 2
CDC2	1.501372858	cell division cycle 2, G1 to S and G2 to M
KIAA0179	1.500543683	KIAA0179
XPNPEP1	1.500268903	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
SGCB	1.500197392	sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)
SUPV3L1	1.500107879	suppressor of var1, 3-like 1 (S. cerevisiae)
PLP2	-1.500468526	proteolipid protein 2 (colonic epithelium-enriched)
RAB7L1	-1.500755726	RAB7, member RAS oncogene family-like 1
RHBDD3	-1.500893416	rhomboid domain containing 3
C20orf42	-1.50148538	chromosome 20 open reading frame 42
FVT1	-1.501788034	follicular lymphoma variant translocation 1
PTEN	-1.502509383	phosphatase and tensin homolog (mutated in multiple advanced cancers
GGPS1	-1.503189319	geranylgeranyl diphosphate synthase 1
LAP3	-1.503522576	leucine aminopeptidase 3
GADD45B	-1.503765122	growth arrest and DNA-damage-inducible, beta
SH3BP5	-1.503780763	SH3-domain binding protein 5 (BTK-associated)
ZNF447	-1.504003889	ZNF447
ZNF655	-1.504720699	zinc finger protein 655
RPL32	-1.505180425	ribosomal protein L32
GEM	-1.50604065	GTP binding protein overexpressed in skeletal muscle
HSPC159	-1.50614364	galectin-related protein
ANKRD6	-1.50624616	ankyrin repeat domain 6
SMEK2	-1.506646591	SMEK homolog 2, suppressor of mek1 (Dictyostelium)
CFLAR	-1.50684276	CASP8 and FADD-like apoptosis regulator
CCDC47	-1.507294121	coiled-coil domain containing 47
MID1	-1.508427673	midline 1 (Opitz/BBB syndrome)
VPS28	-1.50859337	vacuolar protein sorting 28 homolog (S. cerevisiae)
JUB	-1.508795352	jub, ajuba homolog (Xenopus laevis)
GOLGA1	-1.508799471	golgi autoantigen, golgin subfamily a, 1
ZNF420	-1.508937989	zinc finger protein 420
ZBTB41	-1.509661089	zinc finger and BTB domain containing 41
ALPPL2	-1.509692579	alkaline phosphatase, placental-like 2
ARMCX3	-1.510160628	armadillo repeat containing, X-linked 3
NR2F6	-1.510619349	nuclear receptor subfamily 2, group F, member 6
HCST	-1.510696067	hematopoietic cell signal transducer
AHI1	-1.511260441	Abelson helper integration site 1
C3orf37	-1.51198447	chromosome 3 open reading frame 37
C17orf82	-1.512630579	chromosome 17 open reading frame 82
EMP1	-1.513387023	epithelial membrane protein 1
PLSCR1	-1.514119461	phospholipid scramblase 1
EXDL2	-1.514650787	exonuclease 3-5 domain-like 2
ABHD6	-1.514820187	abhydrolase domain containing 6
SP1	-1.514889032	Sp1 transcription factor
LOC643194	-1.515075614	hypothetical LOC643194
TDRD3	-1.515233821	tudor domain containing 3
ULK2	-1.515525022	unc-51-like kinase 2 (C. elegans)
C14orf46	-1.515599879	C14orf46
LOC649094	-1.515606782	LOC649094
HRB	-1.515606782	HIV-1 Rev binding protein
KRTAP4-7	-1.515614595	keratin associated protein 4-7
LOC642701	-1.516116173	LOC642701
PPAPDC2	-1.516892057	phosphatidic acid phosphatase type 2 domain containing 2
PLEKHA3	-1.517561058	pleckstrin homology domain containing, family A (phosphoinositide
AFTPH	-1.518172456	aftiphilin
ITGAV	-1.518962757	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen
MFSD4	-1.519081247	major facilitator superfamily domain containing 4
DLG5	-1.519311113	discs, large homolog 5 (Drosophila)
LOC388789	-1.519326916	hypothetical gene supported by AF147354
LOC643072	-1.519469246	hypothetical LOC643072
PHC2	-1.520040287	polyhomeotic homolog 2 (Drosophila)
GLTSCR2	-1.520074291	glioma tumor suppressor candidate region gene 2
EIF4EBP1	-1.52009203	eukaryotic translation initiation factor 4E binding protein 1
SERPINI1	-1.520385923	serpin peptidase inhibitor, clade I (neuroserpin), member 1
FUT10	-1.520965383	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)
PPP3CA	-1.521192569	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha
RPLP1	-1.522264921	ribosomal protein, large, P1
ATG5	-1.522839032	ATG5 autophagy related 5 homolog (S. cerevisiae)
C20orf108	-1.522911873	chromosome 20 open reading frame 108
EIF3S7	-1.523048096	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa
DNAJA2	-1.523098115	DnaJ (Hsp40) homolog, subfamily A, member 2
HGF	-1.523351954	hepatocyte growth factor (hepapoietin A; scatter factor)
SACS	-1.523402778	spastic ataxia of Charlevoix-Saguenay (sacsin)
PFDN4	-1.523584125	prefoldin subunit 4
ZNF571	-1.523699766	zinc finger protein 571
TBL1XR1	-1.524158435	transducin (beta)-like 1X-linked receptor 1
ZNRF3	-1.524393714	zinc and ring finger 3
FYCO1	-1.525440487	FYVE and coiled-coil domain containing 1
BOLA2B	-1.525461192	bolA homolog 2B (E. coli)
BOLA2	-1.525461192	bolA homolog 2 (E. coli)
LOC400055	-1.525664625	LOC400055
RPL26	-1.525664625	ribosomal protein L26
RAB31	-1.526082936	RAB31, member RAS oncogene family
TMEM52	-1.526501982	transmembrane protein 52
MCART1	-1.52689375	mitochondrial carrier triple repeat 1
RPLP0	-1.527596215	ribosomal protein, large, P0
LOC493754	-1.528500961	LOC493754
C5orf28	-1.528564746	chromosome 5 open reading frame 28
CECR7	-1.528730694	CECR7
RICTOR	-1.528915674	rapamycin-insensitive companion of mTOR
DDX10	-1.529728495	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
OCEL1	-1.530759118	occludin/ELL domain containing 1
ZNF397	-1.531471216	zinc finger protein 397
FAM102B	-1.531859759	family with sequence similarity 102, member B
NAP1L3	-1.532501132	nucleosome assembly protein 1-like 3
ZNF146	-1.53250334	zinc finger protein 146
NETO2	-1.532570742	neuropilin (NRP) and tolloid (TLL)-like 2
CDCA7L	-1.533640727	cell division cycle associated 7-like
LOC619208	-1.533766805	hypothetical protein LOC619208
SPCS2	-1.533883973	signal peptidase complex subunit 2 homolog (S. cerevisiae)
GP1BA	-1.534122009	glycoprotein Ib (platelet), alpha polypeptide
DGAT2	-1.534190346	diacylglycerol O-acyltransferase homolog 2 (mouse)
SYNGR2	-1.534198094	synaptogyrin 2
RBM15B	-1.534822437	RNA binding motif protein 15B
THADA	-1.534875196	thyroid adenoma associated
ECOP	-1.535226257	EGFR-coamplified and overexpressed protein
RPS19	-1.536797984	ribosomal protein S19
C14orf167	-1.536904108	C14orf167
C1orf53	-1.537576047	chromosome 1 open reading frame 53
C1orf115	-1.537654868	chromosome 1 open reading frame 115
WTAP	-1.53771911	Wilms tumor 1 associated protein
FLJ14668	-1.537855241	hypothetical protein FLJ14668
C14orf104	-1.538015017	chromosome 14 open reading frame 104
THRAP1	-1.538161807	thyroid hormone receptor associated protein 1
SHOX2	-1.538653884	short stature homeobox 2
UBXD6	-1.538968352	UBX domain containing 6
LASS2	-1.539251526	LAG1 homolog, ceramide synthase 2 (S. cerevisiae)
ZNF260	-1.540804637	zinc finger protein 260
ATP5G2	-1.540947174	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2
ZNF567	-1.541160397	zinc finger protein 567
TULP4	-1.542242532	tubby like protein 4
C1orf123	-1.542701581	chromosome 1 open reading frame 123
STX7	-1.542763873	syntaxin 7
MAEA	-1.543143087	macrophage erythroblast attacher
SERPINF1	-1.543671822	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment
TMEM168	-1.543931843	transmembrane protein 168
PRKCA	-1.544201135	protein kinase C, alpha
PIK3AP1	-1.544485294	phosphoinositide-3-kinase adaptor protein 1
DHRS7	-1.545013184	dehydrogenase/reductase (SDR family) member 7
SNHG5	-1.545672074	SNHG5
WDR32	-1.546284946	WD repeat domain 32
PIGL	-1.546880794	phosphatidylinositol glycan anchor biosynthesis, class L
RFP	-1.547303046	RFP
DET1	-1.548003924	de-etiolated homolog 1 (Arabidopsis)
UBIAD1	-1.548677905	UbiA prenyltransferase domain containing 1
SPATA7	-1.548881629	spermatogenesis associated 7
FOXK2	-1.549755457	forkhead box K2
RPL4	-1.550174551	ribosomal protein L4
H3F3B	-1.550602458	H3 histone, family 3B (H3.3B)
COX7A2L	-1.550679807	cytochrome c oxidase subunit VIIa polypeptide 2 like
ZFAND3	-1.550896714	zinc finger, AN1-type domain 3
BBS7	-1.551351416	Bardet-Biedl syndrome 7
EIF2S2	-1.55184106	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa
ATM	-1.552191494	ataxia telangiectasia mutated (includes complementation groups A, C
LATS2	-1.552673732	LATS, large tumor suppressor, homolog 2 (Drosophila)
CD83	-1.552970039	CD83 molecule
LGTN	-1.553239931	ligatin
RPL13A	-1.553286758	ribosomal protein L13a
PWWP2	-1.553739706	PWWP domain containing 2
GARNL3	-1.554312449	GTPase activating Rap/RanGAP domain-like 3
C1orf66	-1.554455446	chromosome 1 open reading frame 66
LAMA2	-1.554744212	laminin, alpha 2 (merosin, congenital muscular dystrophy)
GATAD1	-1.554852321	GATA zinc finger domain containing 1
QDPR	-1.554896329	quinoid dihydropteridine reductase
NAPE-PLD	-1.55518018	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D
ZNF277	-1.55533686	ZNF277
RBL2	-1.555580523	retinoblastoma-like 2 (p130)
KCTD15	-1.55562245	potassium channel tetramerisation domain containing 15
TNRC6C	-1.556782276	trinucleotide repeat containing 6C
ZNF691	-1.556786074	zinc finger protein 691
FLJ31306	-1.55746007	FLJ31306
LOC153546	-1.557613804	LOC153546
LOC285812	-1.558115309	LOC285812
ADAM15	-1.559095679	ADAM metallopeptidase domain 15 (metargidin)
CKMT2	-1.55931094	creatine kinase, mitochondrial 2 (sarcomeric)
BCL10	-1.560559796	B-cell CLL/lymphoma 10
ALG3	-1.560772133	asparagine-linked glycosylation 3 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase)
RPL12	-1.560892139	ribosomal protein L12
SFRS7	-1.561037529	splicing factor, arginine/serine-rich 7, 35kDa
CCDC100	-1.561832049	coiled-coil domain containing 100
LOC130940	-1.561883352	hypothetical protein BC015395
PPP2R2A	-1.563171256	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha
GYG1	-1.563955614	glycogenin 1
SUMF1	-1.564214748	sulfatase modifying factor 1
ZC3H10	-1.564320328	zinc finger CCCH-type containing 10
NDFIP2	-1.564446455	Nedd4 family interacting protein 2
PHF20	-1.565141126	PHD finger protein 20
NUDT6	-1.565179048	nudix (nucleoside diphosphate linked moiety X)-type motif 6
ARHGEF2	-1.565190028	rho/rac guanine nucleotide exchange factor (GEF) 2
LOC221710	-1.565192947	LOC221710
SIAE	-1.566391867	sialic acid acetylesterase
NPM1	-1.566509516	nucleophosmin (nucleolar phosphoprotein B23, numatrin)
WDR5B	-1.567127203	WD repeat domain 5B
VANGL1	-1.567440134	vang-like 1 (van gogh, Drosophila)
LOC90110	-1.568296751	LOC90110
LOC388344	-1.568658612	similar to ribosomal protein L13
TMEM50A	-1.570741324	transmembrane protein 50A
FADS3	-1.570786517	fatty acid desaturase 3
SMARCAL1	-1.571807123	SWI/SNF related, matrix associated, actin dependent regulator of
C1orf160	-1.572257837	chromosome 1 open reading frame 160
HIVEP2	-1.573438572	human immunodeficiency virus type I enhancer binding protein 2
ARHGEF10	-1.575482094	Rho guanine nucleotide exchange factor (GEF) 10
RPS16	-1.576073106	ribosomal protein S16
FBXO16	-1.576130126	F-box protein 16
ZNF395	-1.576130126	zinc finger protein 395
XK	-1.577016292	X-linked Kx blood group (McLeod syndrome)
CHST11	-1.577044025	carbohydrate (chondroitin 4) sulfotransferase 11
TMEM140	-1.577838929	transmembrane protein 140
MID1IP1	-1.578080757	MID1 interacting protein 1 (gastrulation specific G12 homolog
MANEA	-1.578155178	mannosidase, endo-alpha
PTPN2	-1.578317202	protein tyrosine phosphatase, non-receptor type 2
PPP2R4	-1.578975702	protein phosphatase 2A activator, regulatory subunit 4
CFHR2	-1.579150248	complement factor H-related 2
NFYA	-1.579233171	nuclear transcription factor Y, alpha
ASPHD2	-1.579397896	aspartate beta-hydroxylase domain containing 2
PRKCSH	-1.580983201	protein kinase C substrate 80K-H
AKAP12	-1.580990323	A kinase (PRKA) anchor protein (gravin) 12
IER5	-1.58106462	immediate early response 5
LOC389765	-1.581364452	LOC389765
TPP1	-1.581507959	tripeptidyl peptidase I
NRF1	-1.581559777	nuclear respiratory factor 1
CHRNA5	-1.581611876	cholinergic receptor, nicotinic, alpha 5
GSTA4	-1.58167751	glutathione S-transferase A4
MRFAP1	-1.582066737	Mof4 family associated protein 1
ZCCHC4	-1.582128726	zinc finger, CCHC domain containing 4
VPS13A	-1.582209632	vacuolar protein sorting 13 homolog A (S. cerevisiae)
ENO3	-1.583098046	enolase 3 (beta, muscle)
POLR3H	-1.583101442	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)
LOC646762	-1.583649593	hypothetical protein LOC646762
SLC2A12	-1.583867833	solute carrier family 2 (facilitated glucose transporter), member 12
C8orf70	-1.584041428	chromosome 8 open reading frame 70
PRMT6	-1.58487878	protein arginine methyltransferase 6
SLC22A15	-1.585493221	solute carrier family 22 (organic cation transporter), member 15
GRPEL1	-1.585568363	GrpE-like 1, mitochondrial (E. coli)
TES	-1.586281633	testis derived transcript (3 LIM domains)
VKORC1L1	-1.588112267	vitamin K epoxide reductase complex, subunit 1-like 1
ZNF281	-1.588987548	zinc finger protein 281
USP40	-1.589699309	ubiquitin specific peptidase 40
CBX7	-1.591133827	chromobox homolog 7
NFKBIZ	-1.591195657	nuclear factor of kappa light polypeptide gene enhancer in B-cells
RPLP0-like	-1.591928012	RPLP0-like
CANX	-1.593124477	calnexin
TRAPPC2	-1.593591654	trafficking protein particle complex 2
HNRPR	-1.594123161	heterogeneous nuclear ribonucleoprotein R
SLC41A3	-1.595079019	solute carrier family 41, member 3
LOC346887	-1.597091373	LOC346887
BCL2L13	-1.597822718	BCL2-like 13 (apoptosis facilitator)
RPS18	-1.600376464	ribosomal protein S18
RPS11	-1.600795449	ribosomal protein S11
HHLA3	-1.601041224	HERV-H LTR-associating 3
SLBP	-1.601686114	stem-loop (histone) binding protein
IL10RB	-1.60303457	interleukin 10 receptor, beta
HEMK2	-1.603100828	HEMK2
PMP22	-1.603277474	peripheral myelin protein 22
LOC653127	-1.603823409	LOC653127
FLJ10038	-1.603994364	FLJ10038
KIAA0802	-1.604671304	KIAA0802
C21orf57	-1.604671304	chromosome 21 open reading frame 57
PCBD2	-1.604692669	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of
MYC	-1.604744785	v-myc myelocytomatosis viral oncogene homolog (avian)
CRBN	-1.606565758	cereblon
BTBD15	-1.606590428	BTBD15
HLA-DRB1	-1.606635796	major histocompatibility complex, class II, DR beta 1
ZNF74	-1.607701564	zinc finger protein 74
FGFR1	-1.608460586	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
ARMETL1	-1.608912093	arginine-rich, mutated in early stage tumors-like 1
LZIC	-1.609047413	leucine zipper and CTNNBIP1 domain containing
DIAPH2	-1.610121049	diaphanous homolog 2 (Drosophila)
NCOA7	-1.610381251	nuclear receptor coactivator 7
KRT10	-1.610431585	keratin 10 (epidermolytic hyperkeratosis; keratosis palmaris et
GSTA1	-1.611029122	glutathione S-transferase A1
C12orf29	-1.611724396	chromosome 12 open reading frame 29
C8orf53	-1.612472569	chromosome 8 open reading frame 53
NIPA1	-1.61381683	non imprinted in Prader-Willi/Angelman syndrome 1
RAD50	-1.613950389	RAD50 homolog (S. cerevisiae)
MMAA	-1.61425586	methylmalonic aciduria (cobalamin deficiency) cblA type
CXorf23	-1.61597731	chromosome X open reading frame 23
EFCAB4A	-1.615981611	EF-hand calcium binding domain 4A
ZNF25	-1.617921476	zinc finger protein 25
FLJ37798	-1.61857341	FLJ37798
ATP6V1E2	-1.618765801	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2
CHURC1	-1.618914021	churchill domain containing 1
KIAA0323	-1.61987639	KIAA0323
YPEL5	-1.620143221	yippee-like 5 (Drosophila)
LARS	-1.620669145	leucyl-tRNA synthetase
C7orf38	-1.620983372	chromosome 7 open reading frame 38
CLN3	-1.621049713	ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt
PARP6	-1.621414812	poly (ADP-ribose) polymerase family, member 6
LRRFIP2	-1.621510844	leucine rich repeat (in FLII) interacting protein 2
C6orf149	-1.621883657	C6orf149
TFAM	-1.622017671	transcription factor A, mitochondrial
RALBP1	-1.622590883	ralA binding protein 1
COPS8	-1.622819799	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)
LOC391356	-1.624759477	similar to CG14903-PA
GBL	-1.625369957	G protein beta subunit-like
C14orf168	-1.628440997	C14orf168
WDR45	-1.628468074	WD repeat domain 45
TMTC4	-1.630430198	transmembrane and tetratricopeptide repeat containing 4
C19orf42	-1.631060945	chromosome 19 open reading frame 42
TMEM17	-1.632154685	transmembrane protein 17
MUC3B	-1.632272876	intestinal mucin MUC3B precursor
CPT1A	-1.632599656	carnitine palmitoyltransferase 1A (liver)
LOC148189	-1.63272792	LOC148189
EIF2A	-1.633849321	eukaryotic translation initiation factor 2A, 65kDa
FLRT2	-1.633879562	fibronectin leucine rich transmembrane protein 2
RNH1	-1.633889838	ribonuclease/angiogenin inhibitor 1
SORL1	-1.634806092	sortilin-related receptor, L(DLR class) A repeats-containing
TIMM9	-1.635095661	translocase of inner mitochondrial membrane 9 homolog (yeast)
DKFZp434N062	-1.635339582	DKFZp434N062
ARHGAP24	-1.635750535	Rho GTPase activating protein 24
RNASET2	-1.636340215	ribonuclease T2
HEXIM1	-1.636764016	hexamethylene bis-acetamide inducible 1
LOC401152	-1.637230652	HCV F-transactivated protein 1
PARP3	-1.637468429	poly (ADP-ribose) polymerase family, member 3
FLJ32549	-1.637683398	hypothetical protein FLJ32549
C1orf26	-1.63785416	chromosome 1 open reading frame 26
PTRH2	-1.638033112	peptidyl-tRNA hydrolase 2
TBRG1	-1.638494003	transforming growth factor beta regulator 1
NFKBIA	-1.639761185	nuclear factor of kappa light polypeptide gene enhancer in B-cells
HDAC4	-1.639900723	histone deacetylase 4
CNOT4	-1.639935945	CCR4-NOT transcription complex, subunit 4
LOC284288	-1.640102099	similar to ribosomal protein L24-like
PCNXL2	-1.641237017	pecanex-like 2 (Drosophila)
SNX16	-1.642075643	sorting nexin 16
LEPROT	-1.642386795	leptin receptor overlapping transcript
ABCC4	-1.642592405	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
NICN1	-1.642713587	nicolin 1
RPL28	-1.643506474	ribosomal protein L28
PRKCI	-1.64410532	protein kinase C, iota
LOC339260	-1.646981346	LOC339260
FTL	-1.647163629	ferritin, light polypeptide
C10orf22	-1.64744295	chromosome 10 open reading frame 22
C14orf126	-1.648861121	chromosome 14 open reading frame 126
BTG2	-1.649280522	BTG family, member 2
ATPBD4	-1.649365777	ATP binding domain 4
SLC39A6	-1.649877164	solute carrier family 39 (zinc transporter), member 6
CALCOCO2	-1.650872513	calcium binding and coiled-coil domain 2
PPAP2B	-1.651807022	phosphatidic acid phosphatase type 2B
LRRC44	-1.653029334	LRRC44
GLCCI1	-1.653610853	glucocorticoid induced transcript 1
LMBRD1	-1.655440489	LMBR1 domain containing 1
TPBG	-1.65709053	trophoblast glycoprotein
METTL4	-1.65754031	methyltransferase like 4
AMZ2	-1.657614737	archaemetzincins-2
UNQ1887	-1.658934744	signal peptide peptidase 3
MKNK2	-1.65908231	MAP kinase interacting serine/threonine kinase 2
C1orf107	-1.659703698	chromosome 1 open reading frame 107
SMOX	-1.660506556	spermine oxidase
NCOA3	-1.661356986	nuclear receptor coactivator 3
CYBRD1	-1.661760528	cytochrome b reductase 1
DHRS10	-1.662091898	DHRS10
PAM	-1.662679942	peptidylglycine alpha-amidating monooxygenase
HSPC157	-1.663008465	HSPC157
SH3YL1	-1.663132598	SH3 domain containing, Ysc84-like 1 (S. cerevisiae)
DCN	-1.663851618	decorin
CFHR1	-1.664095012	complement factor H-related 1
FBXL5	-1.664427355	F-box and leucine-rich repeat protein 5
CASP6	-1.665162561	caspase 6, apoptosis-related cysteine peptidase
QRSL1	-1.665562249	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
ZNF613	-1.665604371	zinc finger protein 613
SLC25A35	-1.665987384	solute carrier family 25, member 35
H2AFJ	-1.666309047	H2A histone family, member J
LOC253039	-1.668053719	LOC253039
DYNC1I2	-1.66842227	dynein, cytoplasmic 1, intermediate chain 2
CCNB1IP1	-1.668445002	cyclin B1 interacting protein 1
SFT2D3	-1.669752806	SFT2 domain containing 3
XBP1	-1.670231479	X-box binding protein 1
REEP5	-1.670967044	receptor accessory protein 5
JAGN1	-1.671418973	jagunal homolog 1 (Drosophila)
MBNL1	-1.672169976	muscleblind-like (Drosophila)
TFDP2	-1.673230514	transcription factor Dp-2 (E2F dimerization partner 2)
KIAA0974	-1.674224978	KIAA0974
EID-3	-1.675299291	EID-3
RPL15	-1.675434263	ribosomal protein L15
PRMT3	-1.676594763	protein arginine methyltransferase 3
ZPLD1	-1.676626598	zona pellucida-like domain containing 1
B4GALT6	-1.676876705	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6
LOC653778	-1.676892933	LOC653778
PHF15	-1.676939604	PHD finger protein 15
BTF3L4	-1.677225889	similar to basic transcription factor 3-like 4
FLJ35348	-1.677506324	FLJ35348
UBE2D2	-1.677801206	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)
ZNF12	-1.67782141	zinc finger protein 12
GRB10	-1.678497918	growth factor receptor-bound protein 10
LOC283340	-1.678521519	similar to ribosomal protein L13a
LOC644511	-1.678521519	similar to ribosomal protein L13a
	-1.678521519	RP11-365K22.1
LOC642209	-1.678521519	similar to ribosomal protein L13a
ZNF264	-1.678726095	zinc finger protein 264
TLK2	-1.678756477	tousled-like kinase 2
SLC35B3	-1.678810349	solute carrier family 35, member B3
EPHA2	-1.678930028	EPH receptor A2
MYOC	-1.68013813	myocilin, trabecular meshwork inducible glucocorticoid response
CEBPD	-1.682025052	CCAAT/enhancer binding protein (C/EBP), delta
ZNF319	-1.68214261	zinc finger protein 319
LOC144233	-1.68223623	LOC144233
LOC116236	-1.683775139	hypothetical protein LOC116236
EIF1B	-1.684422698	eukaryotic translation initiation factor 1B
MDS032	-1.684871772	uncharacterized hematopoietic stem/progenitor cells protein MDS032
LSM14A	-1.685048254	LSM14A, SCD6 homolog A (S. cerevisiae)
EHD4	-1.68567773	EH-domain containing 4
APOLD1	-1.686089348	apolipoprotein L domain containing 1
JUND	-1.687384368	jun D proto-oncogene
KIAA1276	-1.687470726	KIAA1276 protein
MGC33302	-1.687956204	MGC33302
ERN1	-1.689201498	endoplasmic reticulum to nucleus signalling 1
LOC388526	-1.689972942	LOC388526
MARCKS	-1.691172024	myristoylated alanine-rich protein kinase C substrate
PGCP	-1.691396821	plasma glutamate carboxypeptidase
EIF2S3	-1.69561759	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa
ZNF721	-1.695941481	zinc finger protein 721
TMEM77	-1.696665963	transmembrane protein 77
OR7E37P	-1.697919102	OR7E37P
PRKD1	-1.699165223	protein kinase D1
FLJ21127	-1.699367132	FLJ21127
DBP	-1.700318677	D site of albumin promoter (albumin D-box) binding protein
ALCAM	-1.700846833	activated leukocyte cell adhesion molecule
C9orf7	-1.700972166	chromosome 9 open reading frame 7
CD3EAP	-1.701751769	CD3e molecule, epsilon associated protein
ADD1	-1.701877215	adducin 1 (alpha)
ARID2	-1.702029097	AT rich interactive domain 2 (ARID, RFX-like)
