ProbeSet	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	N2.C_Signal	N3.C_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
216092_s_at	SLC7A8	0.046683	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	protein complex assembly	amino acid-polyamine transporter activity	integral to plasma membrane			-0.62	-1.27	0.46	1.26	0.18
216302_at	HNRPC	0.026432	heterogeneous nuclear ribonucleoprotein C (C1/C2)	RNA splicing	RNA binding	heterogeneous nuclear ribonucleoprotein complex			-0.8	-0.78	0.33	0.23	1.02
216314_at	CRISP1	0.036469	cysteine-rich secretory protein 1	spermatogenesis		extracellular space			-0.84	-1.25	1.39	0.43	0.25
216336_x_at	MT1A	0.027002	metallothionein 1A (functional)		copper ion binding	cytoplasm			-1.57	-1.67	2.05	0.66	0.43
216361_s_at	MYST3	0.011777	MYST histone acetyltransferase (monocytic leukemia) 3	DNA packaging	DNA binding	ubiquitin ligase complex			-0.35	-0.76	0.28	0.39	0.47
216366_x_at	---	0.043556							-0.75	-0.54	0.22	0.15	0.9
216371_at	---	0.04231							-0.63	-1.76	0.56	0.49	1.52
216373_at	FLJ90013	0.005564	hypothetical protein FLJ90013						-1.41	-1.44	0.62	1.5	0.87
216418_at	ABCD1	0.041053	ATP-binding cassette, sub-family D (ALD), member 1	transport	transporter activity	peroxisome			-0.51	-1.25	0.2	0.54	1.08
216470_x_at	PRSS2	0.021345	protease, serine, 2 (trypsin 2)	proteolysis and peptidolysis	chymotrypsin activity				-0.65	-1.57	0.7	0.52	1.2
216512_s_at	DCT	0.006351	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	melanin biosynthesis from tyrosine	dopachrome isomerase activity	integral to membrane			-0.53	-0.3	0.26	0.36	0.22
216540_at		0.003805							-0.7	-0.56	0.52	0.24	0.51
216564_at	---	0.015268	Similar to Argininosuccinate synthase (Citrulline--aspartate ligase)						-0.78	-0.91	0.95	0.21	0.55
216578_at		0.015206							-0.66	-0.43	0.16	0.59	0.35
216648_s_at	RREB1	0.011948							-1.18	-1.05	1.28	0.48	0.51
216747_at	APBB2	0.007857							-0.63	-0.94	0.28	0.71	0.63
216753_at	---	0.035229							-0.32	-0.62	0.22	0.59	0.13
216758_at	---	0.046722							-1.06	-1.17	0.46	0.12	1.55
216771_at	---	0.046531	CDNA: FLJ21541 fis, clone COL06166						-1.09	-1.28	-0.14	1.3	1.16
216791_at	---	0.046752							-0.42	-0.24	0.11	0.09	0.46
216939_s_at	HTR4	0.035657	5-hydroxytryptamine (serotonin) receptor 4	G-protein signaling, coupled to cyclic nucleotide second messenger	rhodopsin-like receptor activity	integral to plasma membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-1.29	-1.49	1.11	-0.01	1.64
217119_s_at	CXCR3	0.01305	chemokine (C-X-C motif) receptor 3	cell motility	rhodopsin-like receptor activity	cytoplasm	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-0.43	-0.22	0.22	0.3	0.13
217124_at	KIAA1023	0.005321	IQ motif containing E						-0.98	-1.72	1.03	1.2	0.75
217204_at	MTRF1L	0.019583	mitochondrial translational release factor 1-like	translational termination	translation release factor activity				-1.35	-1.17	1.13	0.15	1.29
217215_s_at	---	0.00725							-0.79	-0.68	0.35	0.78	0.35
217249_x_at	---	0.035946							-1.33	-0.36	0.87	0.49	0.46
217293_at	---	0.014378							-0.51	-0.71	0.13	0.5	0.6
217390_x_at	---	0.029463							-0.48	-1.2	0.4	0.96	0.39
217404_s_at	COL2A1	0.00778	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	skeletal development	extracellular matrix structural constituent	collagen			-0.46	-0.81	0.41	0.59	0.31
217415_at	POLR2A	0.005067					Purine metabolism	GENMAPP/KEGG	-0.72	-0.95	0.48	0.4	0.83
217457_s_at	RAP1GDS1	0.033026	RAP1, GTP-GDP dissociation stimulator 1		GTPase activator activity				-0.4	-0.64	0.31	0.08	0.65
217460_at	TNP2	0.020044	transition protein 2 (during histone to protamine replacement)	DNA packaging	DNA binding	nucleosome			-0.48	-0.42	0.53	0.28	0.09
217464_at	---	0.034442					Ribosomal_Proteins	GENMAPP/KEGG	-0.85	-0.3	0.16	0.6	0.42
217518_at	FER1L3	0.04664	fer-1-like 3, myoferlin (C. elegans)	muscle contraction		nuclear membrane			-1.29	-1.34	1.66	0.97	-0.1
217685_at	SLC16A3	0.019415							-1.28	-0.43	0.68	0.54	0.64
217699_at	---	0.013239							-1.37	-1.13	0.39	0.75	1.41
217777_s_at	HSPC121	0.046884	butyrate-induced transcript 1	I-kappaB kinase/NF-kappaB cascade	GTPase activator activity				-1.35	-1.11	-0.01	0.75	1.63
217845_x_at	HIG1	0.037851	likely ortholog of mouse hypoxia induced gene 1						-0.89	-1.09	1.12	-0.04	0.89
217944_at	FLJ20277	0.038015	O-linked mannose beta1,2-N-acetylglucosaminyltransferase	N-linked glycosylation	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	Golgi membrane			-0.79	-1.67	1.2	1.28	0.11
218027_at	MRPL15	0.005184	mitochondrial ribosomal protein L15	protein biosynthesis	structural constituent of ribosome	intracellular			-0.89	-1.13	0.54	1.03	0.53
218049_s_at	MRPL13	0.047583	mitochondrial ribosomal protein L13	protein biosynthesis	structural constituent of ribosome	intracellular			-0.54	-0.8	0.04	0.38	0.91
218056_at	BFAR	0.008182	bifunctional apoptosis regulator	anti-apoptosis	ubiquitin-protein ligase activity	ubiquitin ligase complex			-0.54	-0.85	0.7	0.35	0.37
218130_at	MGC4368	0.039975	hypothetical protein MGC4368						-0.23	-0.57	0.35	0.05	0.42
218238_at	GTPBP4	0.013987	GTP binding protein 4		GTP binding	nucleus			-0.2	-0.5	0.24	0.22	0.25
218299_at	C11orf24	0.010457	chromosome 11 open reading frame 24						-0.89	-0.96	0.92	0.74	0.23
218395_at	ACTR6	0.02332	ARP6 actin-related protein 6 homolog (yeast)		structural constituent of cytoskeleton	actin cytoskeleton			-0.46	-0.79	0.67	0.12	0.47
218417_s_at	FLJ20489	0.049788	hypothetical protein FLJ20489						-1.07	-0.34	0.87	0.22	0.38
218583_s_at	RP42	0.018196	RP42 homolog						-0.54	-0.75	0.1	0.62	0.59
218651_s_at	FLJ11196	0.034587	acheron						-0.69	-1.08	0.99	0.03	0.77
218685_s_at	SMUG1	0.039224	single-strand selective monofunctional uracil DNA glycosylase	DNA repair	single-stranded DNA binding				-0.34	-0.61	0.36	0.56	0.03
218736_s_at	PALMD	0.020576	palmdelphin	regulation of cell shape		membrane			-0.72	-1.31	0.57	0.37	1.17
218755_at	KIF20A	0.0168	kinesin family member 20A	protein transport	motor activity	Golgi apparatus			-0.59	-1.23	0.82	0.79	0.31
218911_at	GAS41	0.041165	YEATS domain containing 4	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.61	-1.07	1.02	0.63	0.04
218945_at	MGC2654	0.029497	hypothetical protein MGC2654						-1.3	-0.74	0.11	0.93	1.05
219002_at	FLJ21901	0.010521	hypothetical protein FLJ21901						-0.52	-1.19	0.55	0.6	0.68
219227_at	FLJ14166	0.019718	hypothetical protein FLJ14166						-0.42	-0.69	0.33	0.63	0.17
219346_at	LRFN3	0.016468	leucine rich repeat and fibronectin type III domain containing 3						-1.22	-1.29	0.32	0.75	1.46
219355_at	FLJ10178	0.016897	hypothetical protein FLJ10178		nucleic acid binding				-0.43	-0.51	0.55	0.15	0.23
219395_at	FLJ21918	0.036412	hypothetical protein FLJ21918						-0.83	-0.94	1.06	0.7	-0.01
219471_at	C13orf18	0.049235	chromosome 13 open reading frame 18						-1.03	-0.67	1.2	0.22	0.24
219473_at	GDAP2	0.024866	ganglioside induced differentiation associated protein 2						-0.68	-0.93	0.11	0.57	0.94
219511_s_at	SNCAIP	0.039336	synuclein, alpha interacting protein (synphilin)		protein binding	cytoplasm			-0.71	-0.59	0.01	0.46	0.83
219526_at	C14orf169	0.026623	chromosome 14 open reading frame 169						-0.36	-0.47	0.23	0.08	0.51
219561_at	COPZ2	0.049409	coatomer protein complex, subunit zeta 2	intracellular protein transport		Golgi cis-face			-0.41	-1.39	0.35	0.44	1.13
219617_at	FLJ23451	0.012553	hypothetical protein FLJ23451						-1.24	-1.56	0.33	1.4	1.19
219744_at	FN3K	0.003565	fructosamine-3-kinase	fructoselysine metabolism	transferase activity				-1.03	-1.1	0.56	1.06	0.58
219773_at	NOX4	0.021551	NADPH oxidase 4	energy pathways	nucleotide binding	membrane			-1.46	-0.63	1.05	0.36	0.82
219785_s_at	FBXO31	0.000118	F-box protein 31						-0.99	-0.93	0.58	0.71	0.72
219916_s_at	RNF39	0.028114	ring finger protein 39	protein ubiquitination	ubiquitin-protein ligase activity	ubiquitin ligase complex			-1.57	-0.98	1.08	1.41	0.13
220093_at	ANTXR1	0.029122	anthrax toxin receptor 1		receptor activity	integral to membrane			-1.35	-1.57	0.51	1.89	0.45
220160_s_at	KPTN	0.014866	kaptin (actin binding protein)	cell motility	actin binding	nucleus			-1.42	-1.31	0.4	0.79	1.59
220267_at	KRT24	0.005046	keratin 24		structural molecule activity	intermediate filament			-1.09	-1.43	0.65	1.29	0.73
220287_at	ADAMTS9	0.021632	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 9	glycoprotein catabolism	metalloendopeptidase activity	extracellular matrix (sensu Metazoa)			-0.61	-0.36	0.14	0.55	0.29
220295_x_at	DEPDC1	0.004463	DEP domain containing 1	intracellular signaling cascade					-0.59	-0.72	0.27	0.63	0.44
220337_at	NGB	0.011025	neuroglobin	transport	oxygen transporter activity	hemoglobin complex			-1.32	-0.9	0.32	1.06	0.93
220343_at	PDE7B	0.030188	phosphodiesterase 7B	signal transduction	cAMP-specific phosphodiesterase activity		G_Protein_Signaling	GENMAPP/KEGG	-0.35	-0.16	0.13	0.3	0.08
220349_s_at	FLJ21865	0.029143	endo-beta-N-acetylglucosaminidase	carbohydrate metabolism	hydrolase activity, acting on glycosyl bonds	intracellular	N-Glycan degradation	GENMAPP/KEGG	-0.26	-0.85	0.51	0.34	0.3
220358_at	SNFT	0.008165	Jun dimerization protein p21SNFT	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.51	-1.18	1.45	0.54	0.84
220407_s_at	TGFB2	0.004165							-0.84	-1.46	0.72	0.96	0.81
220429_at	NDST3	0.023267	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3	protein amino acid deacetylation	sulfotransferase activity				-0.56	-0.53	0.46	0.05	0.59
220432_s_at	CYP39A1	0.002201	cytochrome P450, family 39, subfamily A, polypeptide 1	electron transport	monooxygenase activity	endoplasmic reticulum			-1.34	-1.34	0.97	1.25	0.63
220468_at	FLJ22595	0.031248	hypothetical protein FLJ22595	small GTPase mediated signal transduction	GTP binding				-1.24	-0.85	1.28	0.12	0.7
220486_x_at	FLJ22679	0.007795	hypothetical protein FLJ22679						-0.67	-1.25	0.47	0.72	0.84
220533_at	FLJ13385	0.018571							-1.51	-1.54	0.35	0.92	1.8
220545_s_at	TSKS	0.034517	testis-specific kinase substrate						-0.29	-0.92	0.61	0.42	0.22
220567_at	ZNFN1A2	0.00304	zinc finger protein, subfamily 1A, 2 (Helios)	regulation of transcription, DNA-dependent	nucleic acid binding	nucleus			-1.57	-1.63	1.59	0.76	1.1
220682_s_at	KLHL5	0.020168	kelch-like 5 (Drosophila)	actin cytoskeleton organization and biogenesis	actin binding	cytoskeleton			-1.45	-1.35	1.5	0.17	1.18
220685_at	CXorf17	0.045669	chromosome X open reading frame 17						-0.37	-1.59	0.62	1.11	0.47
220691_at	PRO0097	0.016739	PRO0097 protein						-0.6	-1.57	1.03	0.67	0.71
220737_at	RPS6KA6	0.002092					Ribosomal_Proteins	GENMAPP/KEGG	-0.99	-1.25	0.96	0.54	0.87
220865_s_at	TPRT	0.027467	trans-prenyltransferase	isoprenoid biosynthesis	transferase activity				-0.76	-0.57	0.08	0.46	0.79
220951_s_at	ACF	0.043636	apobec-1 complementation factor	mRNA editing	double-stranded RNA binding	nucleus			-0.59	-0.75	0.53	-0.03	0.83
221073_s_at	CARD4	0.037671	caspase recruitment domain family, member 4	signal transduction	signal transducer activity	intracellular			-1.04	-0.31	0.7	0.24	0.48
221101_at	C14orf113	0.003958	chromosome 14 open reading frame 113						-0.99	-1.1	0.58	1.06	0.53
221106_at	SLC22A17	0.016719	solute carrier family 22 (organic cation transporter), member 17	tRNA aminoacylation for protein translation	tRNA ligase activity	integral to membrane			-1.27	-1.13	0.84	1.35	0.25
221119_at	FLJ20184	0.042707	hypothetical protein FLJ20184						-0.94	-0.76	1.1	0	0.57
221141_x_at	EPN1	0.049195	epsin 1	endocytosis	lipid binding				-1.34	-1.2	1.71	0	0.68
221171_at	FLJ20972	0.023294	hypothetical protein FLJ20972						-0.78	-1.3	0.16	0.93	1.06
221177_at	MIA2	0.014246	melanoma inhibitory activity 2						-0.61	-1.42	0.68	0.55	0.96
221189_s_at	FLJ12528	0.023431	threonyl-tRNA synthetase	protein biosynthesis	threonine-tRNA ligase activity				-0.59	-0.56	0.16	0.27	0.73
221264_s_at	TARDBP	0.035024	TAR DNA binding protein	nuclear mRNA splicing, via spliceosome	transcription factor activity	nucleus			-0.23	-0.86	0.33	0.29	0.52
221299_at	SREB3	0.029491	G-protein coupled receptor 173	signal transduction	rhodopsin-like receptor activity	integral to membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-1.53	-0.39	0.78	0.63	0.76
221343_at	OR11A1	0.034405	olfactory receptor, family 11, subfamily A, member 1	G-protein coupled receptor protein signaling pathway	olfactory receptor activity	integral to membrane	GPCRs_Class_A_Rhodopsin-like	GENMAPP/KEGG	-1.47	-1.07	0.01	1.15	1.41
221384_at	UCP1	0.008039	uncoupling protein 1 (mitochondrial, proton carrier)	energy pathways	transporter activity	membrane fraction	Electron_Transport_Chain	GENMAPP/KEGG	-1.09	-1.46	0.55	0.76	1.36
221447_s_at	LOC83468	0.008708	gycosyltransferase	carbohydrate biosynthesis	transferase activity				-1.24	-1.31	0.45	1.38	0.81
221452_s_at	MGC1223	0.01493							-0.7	-1.16	0.88	0.24	0.8
221454_at	BOK	0.008458	BCL2-related ovarian killer	induction of apoptosis			Apoptosis	GENMAPP/KEGG	-0.14	-0.14	0.13	0.04	0.13
221548_s_at	ILKAP	0.045711	integrin-linked kinase-associated serine/threonine phosphatase 2C	protein amino acid dephosphorylation	magnesium ion binding	protein serine/threonine phosphatase complex			-0.88	-0.49	0.87	0.02	0.48
221570_s_at	HSPC133	0.039862	HSPC133 protein		S-adenosylmethionine-dependent methyltransferase activity				-0.19	-0.82	0.29	0.31	0.45
221573_at	C7orf25	0.008263	chromosome 7 open reading frame 25						-0.99	-0.57	0.72	0.54	0.35
221615_at	BMP8B	0.009889	bone morphogenetic protein 8b (osteogenic protein 2)	skeletal development	cytokine activity	extracellular			-1.68	-1.39	1.08	1.64	0.49
221685_s_at	FLJ20364	0.012054	hypothetical protein FLJ20364						-0.5	-0.44	0.49	0.35	0.11
221727_at	PC4	0.003054	activated RNA polymerase II transcription cofactor 4	transcription	single-stranded DNA binding	nucleus			-1.09	-1.37	1.08	0.54	0.99
221783_at	WIZ	0.014849	widely-interspaced zinc finger motifs		nucleic acid binding	nucleus			-1.53	-1.5	0.3	1.19	1.63
221786_at	PHF10	0.01564	PHD finger protein 10	regulation of transcription, DNA-dependent	DNA binding				-0.53	-0.42	0.32	0.53	0.11
221851_at	LOC90379	0.022294	hypothetical protein BC002926						-0.64	-0.21	0.26	0.36	0.25
221925_s_at	FLJ22490	0.049425	hypothetical protein FLJ22490						-0.83	-0.86	0.73	1.03	-0.1
221999_at	VRK3	0.01737	vaccinia related kinase 3	protein amino acid phosphorylation	protein serine/threonine kinase activity				-0.4	-0.6	0.31	0.13	0.56
222028_at	ZNF45	0.008897	zinc finger protein 45 (a Kruppel-associated box (KRAB) domain polypeptide)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-0.19	-0.39	0.19	0.24	0.16
222047_s_at	ARS2	0.042869	arsenate resistance protein ARS2	response to arsenate					-0.33	-0.59	0.01	0.37	0.54
222077_s_at	RACGAP1	0.036094	Rac GTPase activating protein 1	electron transport	electron transporter activity				-0.46	-0.66	0.61	0.51	0
222204_s_at	RRN3	0.026307	RRN3 RNA polymerase I transcription factor homolog (yeast)	transcription from Pol I promoter	RNA polymerase I transcription factor activity				-1.23	-0.98	1.41	0.45	0.34
222227_at	ZNF236	0.03749	zinc finger protein 236	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			-1.4	-0.82	0.04	1.27	0.95
222325_at	---	0.025276							-1.14	-1.14	0.98	0.07	1.24
222327_x_at	OR7E156P	0.045655	olfactory receptor, family 7, subfamily E, member 156 pseudogene						-0.45	-0.43	0.63	0.1	0.14
37170_at	BMP2K	0.049649	BMP2 inducible kinase	protein amino acid phosphorylation	protein serine/threonine kinase activity	nucleus			-0.53	-0.41	0.62	-0.03	0.34
37226_at	BNIP1	0.030015	BCL2/adenovirus E1B 19kDa interacting protein 1	apoptosis		integral to membrane			-0.31	-0.98	0.3	0.65	0.41
37512_at	RODH	0.002586	3-hydroxysteroid epimerase	androgen biosynthesis	electron transporter activity				-0.16	-0.23	0.16	0.13	0.1
40273_at	SPHK2	0.030827	sphingosine kinase 2	sphinganine-1-phosphate biosynthesis	diacylglycerol kinase activity	membrane fraction	S1P_Signaling	GENMAPP/KEGG	-0.37	-0.15	0.06	0.26	0.2
40837_at	TLE2	0.019491	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	regulation of transcription, DNA-dependent		nucleus			-1.12	-0.89	0.14	0.85	1.05
52159_at	HEMK1	0.000909	HemK methyltransferase family member 1	DNA methylation	DNA binding				-0.48	-0.42	0.23	0.32	0.36
53720_at	FLJ11286	0.039064	hypothetical protein FLJ11286						-1.03	-0.42	0.91	0.26	0.33
AFFX-r2-Hs28SrRNA-M_at	AFFX-r2-Hs28SrRNA-M_at	0.039195							-0.37	-1.3	0.86	0.29	0.64
200652_at	SSR2	0.043824	signal sequence receptor, beta (translocon-associated protein beta)	cotranslational protein-membrane targeting	signal sequence binding	endoplasmic reticulum			0.34	0.75	-0.13	-0.71	-0.27
200700_s_at	KDELR2	0.001234	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	intracellular protein transport	receptor activity	endoplasmic reticulum			1.34	1.34	-1.04	-0.67	-1.16
200711_s_at	SKP1A	0.000845	S-phase kinase-associated protein 1A (p19A)						0.57	0.63	-0.32	-0.39	-0.51
200714_x_at	OS-9	0.019154	amplified in osteosarcoma	cell growth and/or maintenance		soluble fraction			0.56	1.44	-0.51	-0.69	-0.98
200732_s_at	PTP4A1	0.000915	protein tyrosine phosphatase type IVA, member 1	protein amino acid dephosphorylation	structural constituent of ribosome	nucleus			0.47	0.38	-0.22	-0.33	-0.3
200740_s_at	SUMO3	0.01078	SMT3 suppressor of mif two 3 homolog 3 (yeast)			kinetochore	Circadian_Exercise	GENMAPP/KEGG	0.6	0.69	-0.6	-0.55	-0.15
200810_s_at	CIRBP	0.043399	cold inducible RNA binding protein	response to cold	RNA binding	nucleus			0.5	1.24	-0.25	-1.11	-0.44
200827_at	PLOD	0.027185	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI)	protein modification	electron transporter activity	endoplasmic reticulum	Lysine degradation	GENMAPP/KEGG	0.75	1.01	-0.6	-0.11	-1.05
200857_s_at	NCOR1	0.028741	nuclear receptor co-repressor 1	regulation of transcription, DNA-dependent	DNA binding	nucleus	Ovarian_Infertility_Genes	GENMAPP/KEGG	0.97	0.74	-0.06	-0.99	-0.67
200920_s_at	BTG1	0.010683					Circadian_Exercise	GENMAPP/KEGG	1.76	1.24	-1.67	-0.64	-0.86
200927_s_at	RAB14	0.01198	RAB14, member RAS oncogene family						0.36	0.43	-0.29	-0.4	-0.09
201056_at	---	0.01702	MRNA; cDNA DKFZp686F09142 (from clone DKFZp686F09142)						0.93	0.38	-0.35	-0.6	-0.4
201367_s_at	ZFP36L2	0.032726	zinc finger protein 36, C3H type-like 2	cell proliferation	transcription factor activity	nucleus			1.39	0.9	-1.48	-0.27	-0.54
201401_s_at	ADRBK1	0.021169	adrenergic, beta, receptor kinase 1	protein amino acid phosphorylation	G-protein coupled receptor kinase activity	soluble fraction			1.02	1.34	-1.42	-0.29	-0.67
201427_s_at	SEPP1	0.007337	selenoprotein P, plasma, 1	response to oxidative stress	selenium binding	extracellular	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	2.96	1.35	-2	-1.92	-1.67
201474_s_at	ITGA3	0.036773	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	cell-matrix adhesion	receptor activity	integrin complex	Integrin-mediated_cell_adhesion	GENMAPP/KEGG	0.53	0.58	0.03	-0.55	-0.58
201487_at	CTSC	0.026716	cathepsin C	proteolysis and peptidolysis	cysteine-type endopeptidase activity	lysosome			0.67	1.77	-1.29	-0.98	-0.44
201536_at	DUSP3	0.01036	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	protein amino acid dephosphorylation	protein tyrosine phosphatase activity				1.31	1.36	-0.72	-0.51	-1.51
201560_at	CLIC4	0.044846	chloride intracellular channel 4	ion transport	voltage-gated chloride channel activity	membrane			0.29	1.09	-0.72	-0.22	-0.51
201598_s_at	INPPL1	0.007124	inositol polyphosphate phosphatase-like 1	phosphate metabolism	inositol or phosphatidylinositol phosphatase activity		Inositol phosphate metabolism	GENMAPP/KEGG	0.13	0.18	-0.05	-0.14	-0.12
201630_s_at	ACP1	0.022603	acid phosphatase 1, soluble	protein amino acid dephosphorylation	acid phosphatase activity	soluble fraction	gamma-Hexachlorocyclohexane degradation	GENMAPP/KEGG	0.5	0.31	-0.48	-0.18	-0.15
201782_s_at	AIP	0.006532	aryl hydrocarbon receptor interacting protein	protein folding	transcription coactivator activity	cytoplasm			0.42	0.44	-0.22	-0.2	-0.45
201813_s_at	TBC1D5	0.048606	TBC1 domain family, member 5		GTPase activator activity				0.28	0.41	-0.46	-0.22	0
201815_s_at	TBC1D5	0.021387	TBC1 domain family, member 5		GTPase activator activity				0.57	0.52	-0.67	-0.18	-0.23
201941_at	CPD	0.014048	carboxypeptidase D	proteolysis and peptidolysis	carboxypeptidase A activity	membrane fraction			0.85	0.47	-0.45	-0.24	-0.67
202009_at	PTK9L	0.011301	PTK9L protein tyrosine kinase 9-like (A6-related protein)		actin binding	intracellular			0.28	0.41	-0.18	-0.15	-0.37
202030_at	BCKDK	0.005086	branched chain alpha-ketoacid dehydrogenase kinase	signal transduction	two-component sensor molecule activity	mitochondrion			0.25	0.3	-0.25	-0.21	-0.1
202033_s_at	RB1CC1	0.044959	RB1-inducible coiled-coil 1						0.78	0.52	0	-0.45	-0.84
202048_s_at	CBX6	0.011588	chromobox homolog 6	chromatin assembly or disassembly	chromatin binding	chromatin			1.5	1.25	-0.54	-1.57	-0.73
202056_at	KPNA1	0.028726	karyopherin alpha 1 (importin alpha 5)	regulation of DNA recombination	protein binding	nucleus			0.95	1.01	-0.24	-0.43	-1.27
202058_s_at	KPNA1	0.049297	karyopherin alpha 1 (importin alpha 5)	regulation of DNA recombination	protein binding	nucleus			0.24	0.22	-0.28	0.03	-0.2
202061_s_at	SEL1L	0.010629	sel-1 suppressor of lin-12-like (C. elegans)			integral to membrane			0.74	1.44	-0.83	-0.49	-1.02
202161_at	PRKCL1	0.014305	protein kinase N1	protein amino acid phosphorylation	protein serine/threonine kinase activity	intracellular	G13_Signaling_Pathway	GENMAPP/KEGG	0.59	1.29	-0.77	-0.83	-0.4
202283_at	SERPINF1	0.006085	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	development	serine-type endopeptidase inhibitor activity	extracellular			2.32	1.96	-0.78	-1.9	-2.06
202315_s_at	BCR	0.043338	breakpoint cluster region	protein amino acid phosphorylation	protein serine/threonine kinase activity				1.11	1.25	0.1	-1.37	-1.04
202344_at	HSF1	0.0028	heat shock transcription factor 1	regulation of transcription, DNA-dependent	transcription factor activity	nucleus			0.38	0.48	-0.37	-0.19	-0.31
202367_at	CUTL1	0.003689	cut-like 1, CCAAT displacement protein (Drosophila)	negative regulation of transcription from Pol II promoter	transcription factor activity	nucleus			1.06	0.95	-0.69	-0.97	-0.43
202378_s_at	OBRGRP	0.000465	leptin receptor gene-related protein			integral to plasma membrane			1.39	1.34	-1.06	-1.12	-0.77
202395_at	NSF	0.020408	N-ethylmaleimide-sensitive factor	protein transport	nucleotide binding	endoplasmic reticulum			0.6	1.52	-0.44	-0.91	-0.97
202423_at	MYST3	0.013983	MYST histone acetyltransferase (monocytic leukemia) 3	DNA packaging	DNA binding	ubiquitin ligase complex			0.95	0.63	-0.89	-0.34	-0.39
202450_s_at	CTSK	0.01638	cathepsin K (pycnodysostosis)	proteolysis and peptidolysis	cathepsin K activity	lysosome			1.57	1.3	-0.4	-0.85	-1.68
202470_s_at	CPSF6	0.043608	cleavage and polyadenylation specific factor 6, 68kDa	mRNA processing	RNA binding	nucleus			0.25	0.36	-0.43	-0.14	-0.05
202495_at	TBCC	0.000835	tubulin-specific chaperone c	protein folding	unfolded protein binding	cytoskeleton			0.97	0.89	-0.68	-0.48	-0.77
202612_s_at	CRSP2	0.028065	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa	regulation of transcription from Pol II promoter	receptor activity	mediator complex			0.36	1.18	-0.61	-0.67	-0.36
202636_at	RNF103	0.004342	ring finger protein 103	central nervous system development	ubiquitin-protein ligase activity	ubiquitin ligase complex			0.8	0.99	-0.36	-0.84	-0.65
202657_s_at	SERTAD2	0.002362	SERTA domain containing 2	regulation of transcription, DNA-dependent					1.05	0.98	-0.96	-0.49	-0.67
202765_s_at	FBN1	0.005949							1.32	2.42	-1.72	-1.62	-1.1
202766_s_at	FBN1	0.001753							1.58	2.03	-1.43	-1.62	-0.99
202781_s_at	SKIP	0.031643	skeletal muscle and kidney enriched inositol phosphatase						0.34	0.28	-0.1	-0.11	-0.41
202789_at	PLCG1	0.045208	phospholipase C, gamma 1	lipid metabolism	phosphoinositide phospholipase C activity		Inositol phosphate metabolism	GENMAPP/KEGG	1.11	1.24	0.01	-0.73	-1.54
202849_x_at	GRK6	0.005586	G protein-coupled receptor kinase 6	protein amino acid phosphorylation	G-protein coupled receptor kinase activity				1.32	1.37	-1.28	-0.46	-1.09
202869_at	OAS1	0.04329	2,5-oligoadenylate synthetase 1, 40/46kDa	nucleobase, nucleoside, nucleotide and nucleic acid metabolism	RNA binding	cytoplasm			1.39	0.52	-0.98	-0.93	-0.12
202951_at	STK38	0.013266	serine/threonine kinase 38	protein amino acid phosphorylation	protein serine/threonine kinase activity	nucleus			1.18	0.58	-0.58	-0.4	-0.87
202956_at	BIG1	0.00352	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	exocytosis	guanyl-nucleotide exchange factor activity				0.71	0.56	-0.26	-0.56	-0.47
203025_at	ARD1	0.027997	ARD1 homolog, N-acetyltransferase (S. cerevisiae)	DNA packaging	N-acetyltransferase activity	nucleus			0.46	0.22	-0.4	-0.11	-0.17
203052_at	C2	0.032279	complement component 2	proteolysis and peptidolysis	classical-complement-pathway C3/C5 convertase activity	complement component C2 complex	Complement_Activation_Classical	GENMAPP/KEGG	0.49	1.13	-0.33	-0.37	-0.98
