Probe set	GeneSymbol	Gene Title	Geom mean  tissue-LAI	Geom mean  tissue-PTCL unsp	Fold difference of geom means	Parametric p-value	Geom mean cell-LAI	FC LAI cell/tissue	rank
200720_s_at	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	146	112	1.3	1.93E-03	169	1.15	937
204375_at	CLSTN3	calsyntenin 3	52	40	1.3	1.79E-03	40	0.77	905
219828_at	C9orf86	chromosome 9 open reading frame 86	13	10	1.3	8.85E-04	14	1.08	635
221882_s_at	TMEM8	transmembrane protein 8 (five membrane-spanning domains)	79	61	1.3	1.98E-03	80	1.01	944
230386_at		Transcribed locus	16	13	1.3	1.61E-03	20	1.23	848
204611_s_at	PPP2R5B	protein phosphatase 2, regulatory subunit B (B56), beta isoform	89	69	1.29	2.21E-04	83	0.93	318
208757_at	TMED9	transmembrane emp24 protein transport domain containing 9	207	160	1.29	1.36E-04	203	0.98	253
209179_s_at	LENG4	leukocyte receptor cluster (LRC) member 4	74	57	1.29	3.12E-04	60	0.82	377
217716_s_at	SEC61A1	Sec61 alpha 1 subunit (S. cerevisiae)	257	199	1.29	3.37E-04	202	0.79	387
219729_at	PRRX2	paired related homeobox 2	38	29	1.29	1.22E-03	33	0.87	750
227563_at	MGC42630	hypothetical protein MGC42630	14	11	1.29	6.81E-04	12	0.86	544
230242_at	NFASC	neurofascin	15	12	1.29	7.08E-04	15	0.97	556
44702_at	SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	40	31	1.29	7.67E-05	28	0.7	187
200634_at	PFN1	profilin 1	2707	2102	1.28	4.63E-05	2783	1.03	148
203006_at	INPP5A	inositol polyphosphate-5-phosphatase, 40kDa	33	26	1.28	1.13E-03	11	0.34	709
214853_s_at	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	416	323	1.28	1.57E-04	172	0.41	278
223419_at	FBXW9	F-box and WD-40 domain protein 9	17	14	1.28	1.70E-03	15	0.86	875
45749_at	FAM65A	family with sequence similarity 65, member A	143	111	1.28	1.82E-03	90	0.63	911
209747_at	TGFB3	transforming growth factor, beta 3	30	24	1.27	1.87E-03	16	0.53	919
218547_at	DHDDS	dehydrodolichyl diphosphate synthase	56	43	1.27	1.74E-03	47	0.85	894
223525_at	DLL4	delta-like 4 (Drosophila)	56	44	1.27	2.07E-04	45	0.8	306
228625_at	CITED4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	20	16	1.27	1.58E-03	16	0.78	838
1556181_at	DRAP1	Similar to ankyrin	12	10	1.26	5.49E-04	10	0.83	486
200635_s_at	PTPRF	protein tyrosine phosphatase, receptor type, F	24	19	1.26	5.57E-04	17	0.7	491
201240_s_at	SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)	886	701	1.26	1.51E-04	820	0.93	272
209834_at	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3	12	9	1.26	1.19E-03	7	0.59	738
230440_at	ZNF469	zinc finger protein 469	50	40	1.26	5.41E-04	45	0.9	481
231803_at	FGF11	fibroblast growth factor 11	12	10	1.26	7.23E-04	10	0.83	570
635_s_at	PPP2R5B	protein phosphatase 2, regulatory subunit B (B56), beta isoform	27	21	1.26	4.36E-05	23	0.85	140
202044_at	GRLF1	glucocorticoid receptor DNA binding factor 1	22	17	1.25	1.14E-03	24	1.11	712
213273_at	ODZ4	odz, odd Oz/ten-m homolog 4 (Drosophila)	10	8	1.25	7.11E-04	9	0.88	561
229168_at	COL23A1	collagen, type XXIII, alpha 1	11	9	1.25	6.51E-04	10	0.88	527
229898_at		Transcribed locus	26	21	1.25	7.49E-04	20	0.76	581
221495_s_at	KIAA1049	KIAA1049 protein	300	240	1.24	1.34E-03	238	0.79	784
223004_s_at	C3orf1	chromosome 3 open reading frame 1	370	298	1.24	3.27E-05	270	0.73	120
204974_at	RAB3A	RAB3A, member RAS oncogene family	16	13	1.23	1.84E-03	15	0.94	916
37831_at	SIPA1L3	signal-induced proliferation-associated 1 like 3	39	32	1.23	9.70E-04	32	0.82	660
204281_at	TEAD4	TEA domain family member 4	20	17	1.22	5.93E-04	18	0.89	503
205752_s_at	GSTM5	glutathione S-transferase M5	11	9	1.22	1.81E-03	9	0.86	908
207388_s_at	PTGES	prostaglandin E synthase	46	38	1.22	8.42E-04	39	0.84	614
217875_s_at	TMEPAI	transmembrane, prostate androgen induced RNA	16	13	1.22	1.71E-03	12	0.74	878
230119_at		CDNA FLJ43434 fis, clone OCBBF2028055	14	12	1.22	9.92E-04	13	0.92	669
202575_at	CRABP2	cellular retinoic acid binding protein 2	34	28	1.21	1.33E-03	30	0.88	777
206236_at	GPR4	G protein-coupled receptor 4	12	10	1.21	5.55E-04	13	1.05	489
38157_at	DOM3Z	dom-3 homolog Z (C. elegans)	44	36	1.21	1.73E-03	45	1.03	888
1557226_a_at	LOC374569	Similar to Lysophospholipase	18	15	1.2	2.09E-04	17	0.97	307
200721_s_at	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	96	79	1.2	6.55E-04	73	0.76	529
208660_at	CS	citrate synthase	435	362	1.2	1.73E-03	348	0.8	884
222647_at	SLC35C1	solute carrier family 35, member C1	54	46	1.19	1.18E-03	36	0.66	734
223205_s_at	L3MBTL2	l(3)mbt-like 2 (Drosophila)	114	96	1.19	1.10E-03	119	1.04	702
242505_at		LOC440962	10	9	1.19	1.63E-03	23	2.21	859
205567_at	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	18	15	1.17	8.78E-04	14	0.79	629
220743_at		---	11	10	1.16	1.74E-03	12	1.06	891
201786_s_at	ADAR	adenosine deaminase, RNA-specific	890	1054	0.84	4.81E-04			458
217794_at	DKFZp564J157	DKFZp564J157 protein	432	517	0.83	2.50E-04			334
217877_s_at	GPBP1L1	GC-rich promoter binding protein 1-like 1	139	165	0.83	1.25E-03			756
223099_s_at	LONPL	peroxisomal LON protease like	45	54	0.83	8.61E-04			618
212180_at	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	125	152	0.82	1.16E-03			721
212744_at	BBS4	Bardet-Biedl syndrome 4	15	18	0.82	3.70E-04			401
204177_s_at	KLHL20	kelch-like 20 (Drosophila)	43	53	0.81	3.46E-04			393
208616_s_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	1065	1314	0.81	6.05E-04			510
224281_s_at	NGRN	neugrin, neurite outgrowth associated	110	136	0.81	1.27E-03			761
216988_s_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	706	873	0.8	1.37E-03			800
226031_at	FLJ20097	hypothetical protein FLJ20097	99	123	0.8	1.53E-03			825
1552633_at	ZNF101	zinc finger protein 101	18	23	0.79	1.07E-03			689
219163_at	ZNF562	zinc finger protein 562	34	42	0.79	8.04E-04			602
219437_s_at	ANKRD11	ankyrin repeat domain 11	19	23	0.79	9.10E-04			648
222305_at	HK2	hexokinase 2	13	16	0.79	1.62E-03			849
228839_s_at	LOC439994	hypothetical gene supported by AF064843; AK025716	33	42	0.79	3.11E-04			375
202745_at	USP8	Ubiquitin specific peptidase 8	67	85	0.78	7.70E-04			587
212591_at	RBM34	RNA binding motif protein 34	225	287	0.78	6.64E-04			537
224660_at	PIGY	phosphatidylinositol glycan class Y	199	254	0.78	6.32E-04			524
244881_at		---	8	10	0.78	1.16E-03			722
202814_s_at	HEXIM1	hexamethylene bis-acetamide inducible 1	75	96	0.77	1.26E-03			758
203269_at	NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor	117	152	0.77	5.91E-04			502
205178_s_at	RBBP6	retinoblastoma binding protein 6	104	135	0.77	1.09E-03			699
210840_s_at	IQGAP1	IQ motif containing GTPase activating protein 1	205	266	0.77	9.27E-04			650
217955_at	BCL2L13	BCL2-like 13 (apoptosis facilitator)	35	45	0.77	1.63E-03			858
218545_at	FLJ11088	GGA binding partner	43	55	0.77	2.38E-04			325
222790_s_at	RSBN1	round spermatid basic protein 1	78	100	0.77	8.94E-04			640
223404_s_at	C1orf25	chromosome 1 open reading frame 25	10	12	0.77	1.36E-03			794
232149_s_at	NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor	34	43	0.77	1.21E-03			749
201493_s_at	PUM2	pumilio homolog 2 (Drosophila)	141	185	0.76	1.17E-03			729
202174_s_at	PCM1	pericentriolar material 1	205	268	0.76	1.31E-03			774
202322_s_at	GGPS1	geranylgeranyl diphosphate synthase 1	114	149	0.76	1.44E-03			812
203486_s_at	ARMC8	armadillo repeat containing 8	53	70	0.76	4.03E-04			415
209284_s_at	RAP140	retinoblastoma-associated protein 140	128	168	0.76	6.02E-04			507
209787_s_at	HMGN4	high mobility group nucleosomal binding domain 4	176	231	0.76	1.17E-03			728
215040_at	FLJ11712	Hypothetical protein FLJ11712	10	13	0.76	5.55E-04			488
221014_s_at	RAB33B	RAB33B, member RAS oncogene family /// RAB33B, member RAS oncogene family	8	11	0.76	1.42E-04			263
222489_s_at	WRNIP1	Werner helicase interacting protein 1	183	239	0.76	1.63E-03			852
202864_s_at	SP100	nuclear antigen Sp100	164	217	0.75	4.72E-04			449
208995_s_at	PPIG	peptidyl-prolyl isomerase G (cyclophilin G)	34	46	0.75	1.29E-03			767
212469_at	NIPBL	Nipped-B homolog (Drosophila)	78	104	0.75	6.03E-04			508
222122_s_at	THOC2	THO complex 2	62	82	0.75	7.24E-04			571
235784_at		Transcribed locus, weakly similar to XP_518535.1 PREDICTED: similar to dJ108C2.1.4 (MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), variant 4) [Pan troglodytes]	8	11	0.75	1.00E-03			672
239213_at	SERPINB1	Serpin peptidase inhibitor, clade B (ovalbumin), member 1	14	19	0.75	1.11E-03			704
203128_at	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	28	37	0.74	1.60E-03			846
203481_at	C10orf6	chromosome 10 open reading frame 6	36	49	0.74	1.18E-03			735
204373_s_at	CAP350	centrosome-associated protein 350	71	95	0.74	8.64E-04			620
207318_s_at	CDC2L5	cell division cycle 2-like 5 (cholinesterase-related cell division controller)	103	139	0.74	6.56E-04			530
210361_s_at	ELF2	E74-like factor 2 (ets domain transcription factor)	17	23	0.74	1.91E-03			931
213025_at	THUMPD1	THUMP domain containing 1	65	87	0.74	1.15E-03			718
218669_at	RAP2C	RAP2C, member of RAS oncogene family	76	102	0.74	1.11E-03			705
219013_at	GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	54	72	0.74	1.74E-03			892
221096_s_at	PRO1580	hypothetical protein PRO1580	25	34	0.74	1.77E-03			898
225034_at	LOC286167	hypothetical protein LOC286167	21	28	0.74	2.41E-04			330
227205_at	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	42	57	0.74	4.15E-04			422
227784_s_at	COG1	component of oligomeric golgi complex 1	59	79	0.74	4.36E-04			434
235954_at	ANP32A	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	11	15	0.74	1.09E-03			700
203689_s_at	FMR1	fragile X mental retardation 1	86	118	0.73	1.41E-04			257
204635_at	RPS6KA5	ribosomal protein S6 kinase, 90kDa, polypeptide 5	10	14	0.73	7.18E-04			566
208809_s_at	C6orf62	chromosome 6 open reading frame 62	198	268	0.73	2.76E-04			352
213019_at	RANBP6	RAN binding protein 6	79	107	0.73	1.06E-04			224
219284_at	HSPBAP1	HSPB (heat shock 27kDa) associated protein 1	25	34	0.73	7.84E-04			594
224452_s_at	MGC12966	hypothetical protein MGC12966 /// hypothetical protein MGC12966	146	199	0.73	1.73E-03			886
228446_at	KIAA2026	KIAA2026	45	61	0.73	6.03E-04			509
233329_s_at	LOC51315	hypothetical protein LOC51315	47	64	0.73	1.69E-03			869
235581_at		Transcribed locus, weakly similar to NP_990417.1 ferritin H chain [Gallus gallus]	10	14	0.73	8.76E-04			627
239392_s_at	POGK	Pogo transposable element with KRAB domain	8	10	0.73	5.98E-05			166
41512_at	BRAP	BRCA1 associated protein	29	39	0.73	1.66E-03			862
203321_s_at	KIAA0863	KIAA0863 protein	41	56	0.72	8.54E-05			197
205750_at	BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	16	22	0.72	5.16E-04			472
211678_s_at	ZNF313	zinc finger protein 313 /// zinc finger protein 313	155	213	0.72	4.37E-04			436
212378_at	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	148	204	0.72	1.88E-03			925
216862_s_at	MTCP1	mature T-cell proliferation 1	106	147	0.72	1.84E-03			915
222770_s_at	FLJ13220	hypothetical protein FLJ13220	23	32	0.72	7.35E-04			577
223269_at	POLR3GL	polymerase (RNA) III (DNA directed) polypeptide G (32kD) like	109	151	0.72	8.72E-04			625
226562_at	ZNF690	zinc finger protein 690	41	57	0.72	3.50E-05			128
228453_at	LOC284267	hypothetical protein LOC284267	12	16	0.72	9.90E-04			666
228385_at	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	43	59	0.72	1.71E-03			879
231921_at	FLJ13096	hypothetical protein FLJ13096	21	29	0.72	8.69E-04			624
238122_at	RBM12B	RNA binding motif protein 12B	8	10	0.72	2.20E-04			317
1554178_a_at	MGC39518	hypothetical protein MGC39518	12	16	0.71	3.97E-04			413
1568594_s_at	TRIM52	tripartite motif-containing 52	17	24	0.71	1.19E-03			739
200934_at	DEK	DEK oncogene (DNA binding)	386	537	0.71	3.49E-04			394
201986_at	THRAP1	thyroid hormone receptor associated protein 1	152	212	0.71	1.33E-03			782
206555_s_at	THUMPD1	THUMP domain containing 1	90	125	0.71	1.72E-03			882
208662_s_at	TTC3	tetratricopeptide repeat domain 3	134	187	0.71	3.16E-04			379
219658_at	PTCD2	pentatricopeptide repeat domain 2	16	23	0.71	1.14E-03			715
224806_at	TRIM25	tripartite motif-containing 25	111	157	0.71	9.97E-05			218
227284_at	LOC90321	hypothetical protein LOC90321	53	74	0.71	8.59E-04			617
227523_s_at	PHF20L1	PHD finger protein 20-like 1	46	64	0.71	1.67E-03			863
228998_at	TNRC6B	trinucleotide repeat containing 6B	9	13	0.71	4.32E-05			139
229322_at	PPP2R5E	protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	92	130	0.71	1.69E-03			873
236265_at	SP4	Sp4 transcription factor	81	114	0.71	5.43E-04			484
239070_at		---	13	18	0.71	5.89E-04			500
51228_at	RBM12B	RNA binding motif protein 12B	8	11	0.71	4.06E-05			134
1553099_at	TIGD1	tigger transposable element derived 1	21	30	0.7	1.28E-03			765
203318_s_at	ZNF148	zinc finger protein 148 (pHZ-52)	113	160	0.7	1.55E-04			276
203567_s_at	TRIM38	tripartite motif-containing 38	99	140	0.7	3.70E-04			402
217954_s_at	PHF3	PHD finger protein 3	103	147	0.7	4.19E-04			424
221771_s_at	HSMPP8	M-phase phosphoprotein, mpp8	77	108	0.7	7.65E-04			586
226270_at	SEC5L1	SEC5-like 1 (S. cerevisiae)	48	68	0.7	1.47E-05			74
226843_s_at	PAPD5	PAP associated domain containing 5	41	58	0.7	1.12E-04			231
234649_at	POU2F1	POU domain, class 2, transcription factor 1	9	13	0.7	8.85E-04			634
235819_at	MGC23908	Basic transcription factor 3-like 4	15	21	0.7	5.14E-04			470
65493_at	ABC1	amplified in breast cancer 1	18	26	0.7	1.84E-04			292
1554342_s_at	HEL308	DNA helicase HEL308	17	24	0.69	6.26E-04			520
201918_at	FLJ10618	Solute carrier family 25, member 36	50	73	0.69	6.57E-04			532
218991_at	ABC1	amplified in breast cancer 1	42	60	0.69	1.99E-05			87
226493_at	KCTD18	potassium channel tetramerisation domain containing 18	25	36	0.69	5.03E-04			465
226393_at	CYP2U1	cytochrome P450, family 2, subfamily U, polypeptide 1	23	33	0.69	1.69E-03			874
227139_s_at	HPS3	Hermansky-Pudlak syndrome 3	106	153	0.69	3.70E-04			403
235132_at	LOC254128	hypothetical protein LOC254128	16	24	0.69	1.54E-03			828
1552263_at	MAPK1	mitogen-activated protein kinase 1	43	62	0.68	1.13E-03			710
202984_s_at	BAG5	BCL2-associated athanogene 5	8	12	0.68	1.07E-03			690
203497_at	PPARBP	PPAR binding protein	109	159	0.68	4.37E-04			435
203628_at	IGF1R	insulin-like growth factor 1 receptor	12	18	0.68	2.00E-03			948
205571_at	LIPT1	lipoyltransferase 1	46	67	0.68	4.95E-05			154
208835_s_at	CROP	cisplatin resistance-associated overexpressed protein	86	125	0.68	3.16E-04			380
210817_s_at	NDP52	nuclear domain 10 protein	143	208	0.68	1.19E-03			740
213026_at	ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	74	109	0.68	6.12E-04			513
213246_at	C14orf109	chromosome 14 open reading frame 109	71	103	0.68	8.03E-04			601
221744_at	WDR68	WD repeat domain 68	113	164	0.68	1.90E-05			86
222313_at	CNOT2	CCR4-NOT transcription complex, subunit 2	7	11	0.68	1.53E-03			827
223190_s_at	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	160	233	0.68	1.63E-03			851
223470_at	PIGM	phosphatidylinositol glycan, class M	34	50	0.68	4.89E-04			461
227973_at	FLJ38973	hypothetical protein FLJ38973	36	53	0.68	1.28E-03			766
227977_at	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	21	31	0.68	4.12E-04			417
227931_at		MRNA; cDNA DKFZp686D22106 (from clone DKFZp686D22106)	41	60	0.68	8.41E-04			612
228097_at	MYLIP	myosin regulatory light chain interacting protein	9	13	0.68	1.02E-03			677
228545_at	ZNF148	Zinc finger protein 148 (pHZ-52)	58	86	0.68	6.14E-04			514
228927_at	ZNF397	zinc finger protein 397	37	54	0.68	5.69E-04			492
238860_at	C6orf130	chromosome 6 open reading frame 130	14	21	0.68	3.08E-04			374
1554239_s_at	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	47	70	0.67	4.75E-04			453
202171_at	ZNF161	zinc finger protein 161	71	106	0.67	2.37E-05			99
208661_s_at	TTC3	tetratricopeptide repeat domain 3	59	86	0.67	1.55E-03			831
214787_at	MYCPBP	c-myc promoter binding protein	11	16	0.67	1.37E-03			795
218085_at	CHMP5	chromatin modifying protein 5	72	107	0.67	7.14E-04			563
223474_at	C14orf4	chromosome 14 open reading frame 4	208	310	0.67	3.55E-04			397
225674_at	BCAP29	B-cell receptor-associated protein 29	29	43	0.67	1.07E-03			691
227161_at	NOM1	nucleolar protein with MIF4G domain 1	19	29	0.67	1.15E-03			719
231207_at	MRPS30	Mitochondrial ribosomal protein S30	10	15	0.67	4.56E-04			441
232095_at	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	20	30	0.67	9.89E-04			665
235409_at	MGA	MAX gene associated	9	14	0.67	9.92E-04			668
238937_at	ZNF420	zinc finger protein 420	8	12	0.67	6.17E-04			516
203338_at	PPP2R5E	protein phosphatase 2, regulatory subunit B (B56), epsilon isoform	93	141	0.66	4.39E-05			141
212027_at	RBM25	RNA binding motif protein 25	28	43	0.66	8.94E-05			203
212979_s_at	KIAA0738	KIAA0738 gene product	10	15	0.66	1.32E-04			251
214718_at	GATAD1	GATA zinc finger domain containing 1	16	25	0.66	1.18E-03			732
222414_at	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	61	92	0.66	1.08E-03			692
223139_s_at	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	206	308	0.66	8.33E-04			610
235984_at		---	16	24	0.66	1.99E-03			947
239142_at	LOC317671	LOC317671	8	12	0.66	1.31E-03			772
1554021_a_at	ZNF12	zinc finger protein 12	36	55	0.65	1.31E-04			247
210985_s_at	SP100	nuclear antigen Sp100	8	12	0.65	1.86E-03			918
212981_s_at	KIAA0738	KIAA0738 gene product	8	13	0.65	1.23E-03			752
220319_s_at	MYLIP	myosin regulatory light chain interacting protein	59	89	0.65	1.99E-04			301
222787_s_at	FLJ11273	hypothetical protein FLJ11273	40	60	0.65	6.98E-04			551
223592_s_at	RNF135	ring finger protein 135	129	196	0.65	1.63E-03			853
224736_at	CCAR1	cell division cycle and apoptosis regulator 1	108	166	0.65	5.49E-05			161
227601_at	KIAA1627	KIAA1627 protein	50	76	0.65	1.37E-05			71
228095_at	PHF14	PHD finger protein 14	78	120	0.65	2.64E-04			344
1554480_a_at	SVH	SVH protein	60	92	0.64	1.91E-04			297
1556203_a_at	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	8	13	0.64	7.98E-04			600
205603_s_at	DIAPH2	diaphanous homolog 2 (Drosophila)	24	38	0.64	9.18E-04			649
208615_s_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	80	125	0.64	6.33E-04			525
213940_s_at	FNBP1	formin binding protein 1	147	228	0.64	1.08E-03			693
218136_s_at	SLC25A37	solute carrier family 25, member 37	14	22	0.64	5.40E-04			480
218668_s_at	RAP2C	RAP2C, member of RAS oncogene family	57	88	0.64	1.18E-03			731
219349_s_at	SEC5L1	SEC5-like 1 (S. cerevisiae)	37	57	0.64	2.66E-04			347
219885_at	FLJ10260	likely ortholog of mouse schlafen 3	13	20	0.64	1.58E-03			839
222708_s_at	STX17	syntaxin 17	44	67	0.64	2.10E-04			309
223849_s_at	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	22	33	0.64	2.39E-04			327
224933_s_at	JMJD1C	jumonji domain containing 1C	54	84	0.64	1.62E-03			850
225033_at	LOC286167	hypothetical protein LOC286167	58	91	0.64	6.72E-04			541
235158_at	FLJ14803	hypothetical protein FLJ14803	31	48	0.64	1.29E-03			768
236254_at	VPS13B	vacuolar protein sorting 13B (yeast)	13	20	0.64	1.75E-03			895
52975_at	C9orf28	chromosome 9 open reading frame 28	60	93	0.64	4.15E-04			421
1554067_at	FLJ32549	hypothetical protein FLJ32549	7	10	0.63	1.56E-03			832
1557081_at	RBM25	RNA binding motif protein 25	8	12	0.63	7.70E-04			588
200612_s_at	AP2B1	adaptor-related protein complex 2, beta 1 subunit	112	177	0.63	9.80E-05			217
201602_s_at	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A	58	92	0.63	1.21E-03			748
203568_s_at	TRIM38	tripartite motif-containing 38	76	119	0.63	1.74E-04			286
224939_at	182FIP	82-kD FMRP Interacting Protein	132	206	0.63	1.45E-04			266
225457_s_at	DKFZP564I1171	DKFZP564I1171 protein	19	30	0.63	1.26E-03			759
226203_at		CDNA clone IMAGE:5299888	20	31	0.63	4.13E-04			419
228243_at	PAXIP1L	PAX interacting (with transcription-activation domain) protein 1	14	23	0.63	4.00E-04			414
232645_at	LOC153684	hypothetical protein LOC153684	47	74	0.63	1.45E-03			813
238635_at	FLJ21657	hypothetical protein FLJ21657	6	10	0.63	1.97E-03			942
238768_at		Hypothetical LOC388969	24	38	0.63	1.05E-03			685
1552724_at	OTEX	paired-like homeobox protein OTEX	7	11	0.62	1.63E-04			280
205761_s_at	DUS4L	dihydrouridine synthase 4-like (S. cerevisiae)	17	28	0.62	1.06E-03			686
207186_s_at	FALZ	fetal Alzheimer antigen	54	87	0.62	1.18E-04			240
208859_s_at	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	12	20	0.62	1.67E-04			281
222528_s_at	SLC25A37	solute carrier family 25, member 37	11	18	0.62	1.63E-03			856
222773_s_at	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	8	13	0.62	7.81E-04			593
223130_s_at	MYLIP	myosin regulatory light chain interacting protein	43	68	0.62	7.28E-04			574
223134_at	BBX	bobby sox homolog (Drosophila)	18	29	0.62	3.39E-04			390
226874_at	KLHL8	kelch-like 8 (Drosophila)	30	48	0.62	6.93E-05			179
235698_at	ZFP90	zinc finger protein 90 homolog (mouse)	23	37	0.62	6.24E-04			519
1569594_a_at	SDCCAG1	serologically defined colon cancer antigen 1	35	57	0.61	4.13E-04			418
210561_s_at	WSB1	WD repeat and SOCS box-containing 1	236	386	0.61	8.67E-04			623
211944_at	BAT2D1	BAT2 domain containing 1	35	57	0.61	3.01E-04			371
217936_at	ARHGAP5	Rho GTPase activating protein 5	8	14	0.61	2.86E-04			359
219317_at	POLI	polymerase (DNA directed) iota	21	34	0.61	1.29E-03			769
222529_at	SLC25A37	solute carrier family 25, member 37	24	38	0.61	8.87E-04			637
223161_at	LCHN	LCHN protein	17	28	0.61	2.02E-04			303
223282_at	SDCCAG33	serologically defined colon cancer antigen 33	26	43	0.61	1.69E-03			871
223980_s_at	SP110	SP110 nuclear body protein	128	206	0.61	3.78E-04			406
227259_at	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	22	36	0.61	5.20E-04			475
227406_at	GABPB2	GA binding protein transcription factor, beta subunit 2	38	61	0.61	9.67E-04			659
232008_s_at	BBX	bobby sox homolog (Drosophila)	19	31	0.61	3.71E-04			404
1557411_s_at	LOC203427	similar to solute carrier family 25 , member 16	12	19	0.6	6.57E-04			531
1559881_s_at	ZNF12	zinc finger protein 12	44	74	0.6	4.20E-04			425
201941_at	CPD	carboxypeptidase D	62	102	0.6	1.09E-03			696
205169_at	RBBP5	retinoblastoma binding protein 5	29	49	0.6	3.20E-05			119
208993_s_at	PPIG	peptidyl-prolyl isomerase G (cyclophilin G)	53	88	0.6	6.52E-04			528
222906_at	FLVCR	feline leukemia virus subgroup C cellular receptor	11	18	0.6	1.40E-03			806
224687_at	ANKIB1	ankyrin repeat and IBR domain containing 1	72	119	0.6	4.71E-05			149
225956_at	LOC153222	adult retina protein	52	85	0.6	6.19E-04			518
225957_at	LOC153222	adult retina protein	63	105	0.6	5.87E-04			499
226301_at	C6orf192	chromosome 6 open reading frame 192	13	21	0.6	4.76E-04			456
211986_at	AHNAK	AHNAK nucleoprotein (desmoyokin)	228	383	0.59	2.58E-04			341
212240_s_at	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	72	122	0.59	1.00E-03			671
212442_s_at	LASS6	LAG1 longevity assurance homolog 6 (S. cerevisiae)	144	241	0.59	4.25E-05			137
213294_at	FLJ38348	Hypothetical protein FLJ38348	88	147	0.59	1.69E-04			284
225452_at	PPARBP	PPAR binding protein	30	51	0.59	1.54E-04			275
227567_at	SH3domainGRB2likepseudogene3	SH3-domain GRB2-like pseudogene 3	50	84	0.59	7.30E-04			576
202173_s_at	ZNF161	zinc finger protein 161	34	59	0.58	2.00E-05			88
205483_s_at	G1P2	interferon, alpha-inducible protein (clone IFI-15K)	319	542	0.58	1.73E-03			885
217974_at	TM7SF3	transmembrane 7 superfamily member 3	15	25	0.58	1.17E-04			237
218645_at	ZNF277	zinc finger protein 277	55	93	0.58	2.05E-04			304
218885_s_at	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	13	22	0.58	1.35E-03			789
222413_s_at	MLL3	myeloid/lymphoid or mixed-lineage leukemia 3	17	29	0.58	1.20E-03			747
228152_s_at	FLJ31033	hypothetical protein FLJ31033	17	30	0.58	1.60E-03			845
238706_at	PAPD4	PAP associated domain containing 4	50	86	0.58	1.51E-03			822
203303_at	TCTE1L	t-complex-associated-testis-expressed 1-like	101	174	0.57	2.84E-04			356
219757_s_at	C14orf101	chromosome 14 open reading frame 101	42	73	0.57	2.25E-04			321
219571_s_at	ZNF12	zinc finger protein 12	47	82	0.57	2.70E-05			112
228098_s_at	MYLIP	myosin regulatory light chain interacting protein	43	75	0.57	3.41E-04			391
235643_at	SAMD9L	sterile alpha motif domain containing 9-like	13	22	0.57	1.67E-03			865
236841_at	FLJ25222	CXYorf1-related protein	11	19	0.57	1.19E-04			241
213015_at	BBX	Bobby sox homolog (Drosophila)	40	70	0.56	1.52E-04			274
