Parametric p-value	Permutation p-value	Geom mean of ratios in class 1 : N	Geom mean of ratios in class 2 : R	Geom mean of ratios in class 3 : T	Unique id	Description	Clone	UG cluster	Gene symbol	Map
0.000227	5.00E-04	0.375	0.66	0.72	163071	Homo sapiens cDNA: FLJ21409 fis, clone COL03924.	1340424	Hs.172129	NA	5
0.0002333	0	0.863	1.553	1.071	168121	Homo sapiens clone FBD3 Cri-du-chat critical region mRNA	1910705	Hs.432862	NA	2
0.0002335	0	6.583	3.727	2.39	162403	topoisomerase (DNA) II alpha 170kDa	129009	Hs.156346	TOP2A	17q21-q22
0.00024	0	0.597	0.974	0.823	166983	hypothetical protein FLJ21877	584794	Hs.16063	FLJ21877	2p21
0.0002403	0	0.33	0.715	0.612	159857	RNA binding motif protein 5	3596638	Hs.201675	RBM5	3p21.3
0.0002417	0	0.539	1.313	1.011	161016	nuclear RNA export factor 1	1722870	Hs.323502	NXF1	11q12-q13
0.0002423	0	0.303	0.565	0.617	165484	ESTs	2820853	Hs.443584	NA	14
0.0002428	5.00E-04	0.485	0.682	1.544	162351	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	2060621	Hs.278573	CD59	11p13
0.0002443	5.00E-04	1.076	0.599	0.672	168712	Human clone 23612 mRNA sequence	308761	Hs.82141	NA	21
0.0002447	5.00E-04	0.543	0.772	0.514	164415	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	471870	Hs.31176	SIRT1	10q22.1
0.0002503	5.00E-04	0.999	0.557	0.866	168241	KIAA1295 protein	1208611	Hs.26204	KIAA1295	5q35.2
0.0002504	0	0.27	0.255	0.644	160881	transmembrane protease, serine 2	991163	Hs.318545	TMPRSS2	21q22.3
0.000251	5.00E-04	0.883	2.272	1.62	168745	zinc finger protein 3 (A8-51)	997067	Hs.155470	ZNF3	7q22.1
0.0002554	0	0.236	0.442	0.388	168393	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	1998519	Hs.173987	EIF3S1	15q15.1
0.0002576	0	1.347	2.285	2.085	161358	nuclear pore complex interacting	2715266	Hs.251928	NPIP	16p13-p11
0.0002587	0	0.64	1.24	1.822	164149	putative ankyrin-repeat containing protein	2626237	Hs.4996	DKFZP564D166	17q23.3
0.0002596	0	1.096	0.541	0.601	168299	Homo sapiens cDNA FLJ37042 fis, clone BRACE2011947.	1208908	Hs.432542	NA	5
0.0002601	0	0.084	0.351	0.57	161308	glutathione S-transferase A3	2658641	Hs.102484	GSTA3	6p12.1
0.0002616	0	0.963	1.937	1.961	161106	cyclin-dependent kinase (CDC2-like) 10	1695859	Hs.77313	CDK10	16q24
0.000262	5.00E-04	1.665	0.632	0.747	168080	ESTs, Moderately similar to neuronal thread protein [Homo sapiens] [H.sapiens]	1293515	Hs.97109	NA	1
0.0002634	5.00E-04	1.274	0.686	0.895	160455	LIS1-interacting protein NUDEL; endooligopeptidase A	2132359	Hs.3850	NUDEL	17p13.1
0.0002638	0	1.499	0.571	0.762	165226	proteasome (prosome, macropain) subunit, beta type, 2	1986028	Hs.432607	PSMB2	1p34.2
0.0002649	0	1.085	0.848	0.774	164832	hypothetical protein FLJ11294	2871116	Hs.107000	FLJ11294	2q14.3
0.000267	0	1.5	4.555	2.665	164622	CD99 antigen	3031028	Hs.433387	CD99	Xp22.32
0.0002673	0	0.665	1.428	1.589	165886	RAB, member of RAS oncogene family-like 4	583177	Hs.50267	RABL4	22q13.1
0.0002676	0	1.379	2.156	2.709	161607	argininosuccinate lyase	3283759	Hs.61258	ASL	7cen-q11.2
0.0002776	5.00E-04	0.187	0.4	0.78	165782	actin binding LIM protein 1	1722853	Hs.158203	ABLIM1	10q25
0.0002779	0	1.83	0.674	1.329	161558	keratin, hair, basic, 3	1719403	Hs.182506	KRTHB3	12q13
0.0002781	0	1.116	0.41	0.877	160276	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)	459817	Hs.22	TGM1	14q11.2
0.0002781	0	0.426	0.634	0.674	167523	cytochrome P450, family 2, subfamily B, polypeptide 7 pseudogene	2796468	Hs.330780	CYP2B7	19q13.2
0.0002786	0.001	0.59	1.684	1.66	162313	transforming growth factor beta-stimulated protein TSC-22	197908	Hs.114360	TSC22	13q14
0.000285	0.001	1.615	1.333	2.894	161244	ADP-ribosylation factor 4-like	2852403	Hs.183153	ARF4L	17q12-q21
0.0002852	0	0.222	0.375	0.682	163385	Homo sapiens mRNA; cDNA DKFZp564J0323 (from clone DKFZp564J0323)	2294339	Hs.99766	NA	11
0.0002856	5.00E-04	1.739	0.425	0.974	165579	visinin-like 1	1741701	Hs.2288	VSNL1	2p24.3
0.000291	5.00E-04	0.895	1.404	1.292	165108	Incyte EST	2685601	NA	NA	NA
0.000291	0	0.086	0.127	0.429	167405	flavin containing monooxygenase 2	3492330	Hs.132821	FMO2	1q23-q25
0.000302	0	0.432	0.643	1.239	167196	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)	1922001	Hs.76893	BDH	3q29
0.0003048	0	0.924	0.07	0.745	168898	small proline-rich protein 2A	24263	Hs.355542	SPRR2A	1q21-q22
0.0003049	0	6.083	3.134	3.992	169400	fibronectin 1	3553729	Hs.287820	FN1	2q34
0.0003059	0	0.208	0.688	0.522	160138	nischarin	1809315	Hs.26285	NISCH	3p21.1
0.0003063	0	1.739	0.5	0.691	161384	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa	3969924	Hs.407604	CRSP2	Xp11.4-p11.2
0.0003074	0.002	0.657	0.742	1.382	161577	Homo sapiens DNA from chromosome 19, cosmid F21856	3615515	NA	NA	NA
0.000309	5.00E-04	1.377	0.826	0.464	168250	steroidogenic acute regulatory protein	218387	Hs.3132	STAR	8p11.2
0.0003177	0	1.367	2.103	1.976	167182	splicing factor, arginine/serine-rich 4	1967517	Hs.76122	SFRS4	1p35.2
0.0003209	0	0.348	0.537	0.885	166697	period homolog 3 (Drosophila)	2289901	Hs.12592	PER3	1p36.22
0.000321	0	0.986	0.416	0.411	161689	growth hormone receptor	2639411	Hs.125180	GHR	5p13-p12
0.0003221	0	1.261	0.962	0.845	165197	ESTs	3052608	Hs.269386	NA	2
0.0003222	0.0015	0.385	0.327	1.079	159905	sushi-repeat protein	3598293	Hs.126782	SRPUL	Xq21.33-q23
0.0003311	5.00E-04	1.304	0.97	2.258	160396	hypothetical protein from clone 643	1451876	Hs.206501	LOC57228	12q13.12
0.0003312	5.00E-04	1.063	0.828	0.666	168481	Homo sapiens cDNA FLJ32368 fis, clone PUAEN1000275.	1997493	Hs.350268	NA	1
0.0003381	0.001	0.806	1.427	1.806	161134	melanoma antigen, family D, 2	2418918	Hs.4943	MAGED2	Xp11.4-p11.1
0.0003398	0	3.023	2.193	1.475	161544	CHK1 checkpoint homolog (S.pombe)	2594058	Hs.20295	CHEK1	11q24-q24
0.000343	0	0.238	0.509	0.605	160559	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	1634540	Hs.102307	SLC13A2	17p11.1-q11.1
0.0003434	0	0.197	0.323	0.537	167671	arachidonate 15-lipoxygenase	2798041	Hs.73809	ALOX15	17p13.3
0.0003446	0	0.53	0.922	0.826	160408	PHD finger protein 2	2790394	Hs.93868	PHF2	9q22.31
0.0003501	0	0.267	0.412	0.724	168186	midline 1 (Opitz/BBB syndrome)	2170171	Hs.27695	MID1	Xp22
0.0003518	0	1.424	0.425	0.742	164017	KIAA0450 gene product	2799177	Hs.170156	KIAA0450	1p36.32
0.0003547	0	0.562	0.187	0.862	168157	ESTs	931235	Hs.445586	NA	19
0.0003623	0	0.391	0.791	1.004	167377	aldehyde dehydrogenase 3 family, member A2	2009053	Hs.159608	ALDH3A2	17p11.2
0.0003655	5.00E-04	0.329	0.25	0.81	161565	prostate stem cell antigen	1900949	Hs.423634	PSCA	8q24.2
0.0003673	5.00E-04	0.508	0.67	0.919	164401	ALFY	1218823	Hs.198135	ALFY	4q21.3
0.0003736	5.00E-04	0.265	0.528	0.462	166142	deiodinase, iodothyronine, type II	2869983	Hs.154424	DIO2	14q24.2-q24.3
0.0003765	0	0.567	1.193	1.067	165628	spastic paraplegia 7, paraplegin (pure and complicated autosomal recessive)	1454012	Hs.296847	SPG7	16q24.3
0.000379	0	1.675	1.421	1.14	163139	general transcription factor IIIC, polypeptide 4, 90kDa	3462016	Hs.22302	GTF3C4	9q34.3
0.0003836	0	1.402	2.083	2.718	168974	hypothetical protein BC007772	210233	Hs.105640	LOC93109	3q29
0.000396	0	2.064	2.424	1.502	163199	Bardet-Biedl syndrome 2	1723772	Hs.332633	BBS2	16q21
0.0003982	0	0.769	1.383	1.212	164130	KIAA0194 protein	1429306	Hs.216958	KIAA0194	5q33.1
0.0003995	5.00E-04	0.398	0.642	0.804	168624	Homo sapiens mRNA; cDNA DKFZp686D0521 (from clone DKFZp686D0521)	2132466	Hs.356786	NA	9
0.0004063	5.00E-04	1.739	3.274	3.787	165416	single stranded DNA binding protein 4	1760716	Hs.324618	SSBP4	19p13.1
0.000411	5.00E-04	0.772	0.842	0.542	163753	Homo sapiens clone HQ0290	639847	Hs.446574	NA	1
0.0004191	0	0.22	0.62	0.694	163752	CGI-43 protein	2040650	NA	NA	NA
0.0004256	5.00E-04	0.446	0.772	0.732	165048	coronin, actin binding protein, 2A	2210264	Hs.44396	CORO2A	9q22.3
0.0004496	0	1.095	0.706	0.807	160767	death effector domain containing	1877071	Hs.169681	DEDD	1q23.1
0.0004539	0	0.487	0.569	1.168	168204	cytochrome P450, family 24, subfamily A, polypeptide 1	3118873	Hs.89663	CYP24A1	20q13
0.0004571	0	0.48	0.297	0.852	165942	transforming growth factor, alpha	3125996	Hs.170009	TGFA	2p13
0.0004572	0	0.557	0.48	0.982	168530	EphB3	1227385	Hs.2913	EPHB3	3q21-qter
0.0004607	5.00E-04	1.601	1.147	0.591	165414	hypothetical protein FLJ20641	415720	Hs.121553	FLJ20641	12q23.1
0.0004639	0.001	0.909	0.504	0.308	160653	Spi-B transcription factor (Spi-1/PU.1 related)	1561204	Hs.192861	SPIB	19q13.3-q13.4
0.0004678	0	4.689	3.158	2.223	160413	uridine monophosphate kinase	1959569	Hs.95734	UMPK	1q23
0.0004737	0.002	2.181	5.397	8.269	166359	tubulin, beta polypeptide	3334367	Hs.336780	TUBB	6p21.3
0.0004744	0	0.224	0.558	0.481	163259	ESTs	2556393	Hs.381113	NA	4
0.0004818	5.00E-04	0.156	0.441	0.306	164647	Homo sapiens cDNA FLJ10158 fis, clone HEMBA1003463.	1967531	Hs.104627	NA	3
0.0004818	0.001	0.17	0.262	0.85	162158	activated leukocyte cell adhesion molecule	1793853	Hs.10247	ALCAM	3q13.1
0.0004852	0	0.281	0.647	0.661	166673	connector enhancer of KSR-like (Drosophila kinase suppressor of ras)	4001076	Hs.16232	CNK1	1p35.3
0.0004867	0.001	0.661	1.537	0.945	169678	Homo sapiens, clone IMAGE:5262734, mRNA	2957644	Hs.296031	NA	X
0.0004897	5.00E-04	0.586	1.34	1.343	163539	cathepsin F	1569235	Hs.11590	CTSF	11q13
0.0004899	0	0.451	0.983	0.85	165387	cyclin L2	2886955	Hs.143601	CCNL2	1p36.33
0.0004946	0	1.222	2.358	5.423	166426	protein S (alpha)	2592991	Hs.64016	PROS1	3p11-q11.2
0.0004961	0.0015	0.547	1.117	0.793	169631	Homo sapiens cDNA: FLJ23005 fis, clone LNG00396, highly similar to AF055023 Homo sapiens clone 24723 mRNA sequence.	447148	Hs.58220	NA	17
0.0004964	0	1.057	0.547	0.569	164113	NICE-5 protein	2396483	Hs.337078	HSA243666	1q21.3
0.0004983	5.00E-04	1.227	0.751	0.893	164952	very low density lipoprotein receptor	1690952	Hs.73729	VLDLR	9p24
0.0004986	5.00E-04	0.653	0.959	0.566	164506	mannosidase, beta A, lysosomal	1805840	Hs.115945	MANBA	4q22-q25
0.0004996	5.00E-04	17.149	5.945	6.566	161765	caveolin 1, caveolae protein, 22kDa	4271973	Hs.74034	CAV1	7q31.1
0.0005022	0	1.501	0.713	0.886	160530	KIAA1357 protein	1266388	Hs.170162	KIAA1357	6q23.3
0.0005061	0	0.311	0.892	1.302	167524	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2369929	Hs.99841	NA	2
0.0005091	0	3.017	2.708	1.971	165622	integrin, beta 4	1930711	Hs.85266	ITGB4	17q11-qter
0.0005112	0	3.92	3.869	2.321	167571	sterile alpha and HEAT/Armadillo motif protein, ortholog of Drosophila	2612729	Hs.128759	SARM	17
0.0005201	5.00E-04	0.61	0.741	1.083	161730	enhancer of zeste homolog 1 (Drosophila)	2964704	Hs.194669	EZH1	17q21.1-q21.3
0.0005222	5.00E-04	1.03	0.677	0.592	164045	ESTs	2346766	Hs.446670	NA	2
0.0005241	0	3.104	9.295	5.644	160068	enolase 2, (gamma, neuronal)	1672630	Hs.146580	ENO2	12p13
0.0005259	0	0.975	1.595	1.373	166990	stromal cell protein	334820	Hs.292154	LOC55974	1q21.3
0.0005271	0	1.234	0.608	0.885	164441	Incyte EST	1618195	NA	NA	NA
0.0005299	0	0.631	0.691	1.017	166145	DKFZP434C212 protein	1282176	Hs.172069	DKFZP434C212	9q34.11
0.0005321	5.00E-04	0.486	1.97	1.43	168594	ADP-ribosylation factor-like 3	67300	Hs.182215	ARL3	10q23.3
0.0005329	0.0015	0.427	0.599	1.001	160197	villin 2 (ezrin)	615749	Hs.155191	VIL2	6q25.2-q26
0.0005345	5.00E-04	0.531	0.751	0.498	160132	zinc finger protein with interaction domain	3728922	Hs.3053	ZID	9q34.11
0.000538	0.001	1.593	0.86	1.092	169469	major histocompatibility complex, class II, DM beta	735149	Hs.1162	HLADMB	6p21.3
0.0005386	0	0.806	1.505	1.147	166768	ESTs	496874	Hs.125494	NA	X
0.000539	0.001	0.387	0.806	0.82	165506	tumor protein p53 binding protein, 1	618622	Hs.170263	TP53BP1	15q15-q21
0.0005413	0	1.223	0.532	0.784	168948	nuclear receptor subfamily 4, group A, member 3	1919520	Hs.80561	NR4A3	9q22
0.0005416	0	0.958	0.567	0.894	160991	interleukin 13 receptor, alpha 1	1476267	Hs.285115	IL13RA1	Xq24
0.0005468	0	0.48	0.813	0.791	167221	Human clone CE29 7.2 (CAC)n/(GTG)n repeat-containing mRNA.	3704132	Hs.133065	NA	2
0.0005479	0.0015	0.445	0.622	1.018	167427	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	2296270	Hs.47584	KCNS3	2p24
0.0005524	0	1.53	0.479	0.636	165205	paired mesoderm homeo box 1	3118038	Hs.443452	PMX1	1q24
0.0005527	0	1.233	0.746	0.483	166760	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	2060369	Hs.185973	DEGS	1q42.12
0.0005532	0.001	0.34	0.866	0.772	169734	ESTs	2917169	Hs.42294	NA	19
0.0005617	0	3.862	3.716	2.287	169095	centromere protein A, 17kDa	2444942	Hs.1594	CENPA	2p24-p21
0.0005638	0	1.25	0.871	0.921	162751	ESTs, Weakly similar to NAL2_HUMAN NACHT-, LRR- and PYD-containing protein 2 (Nucleotide-binding site protein 1) [H.sapiens]	2751667	Hs.285363	NA	19
0.0005649	0	1.081	0.617	0.475	163517	zinc finger protein 281	2260783	Hs.59757	ZNF281	1q32.1
0.0005661	0	0.457	0.445	1.219	165363	bone morphogenetic protein 1	1804401	Hs.1274	BMP1	8p21
0.0005708	0	2.288	0.593	1.769	166165	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	682741	Hs.87149	ITGB3	17q21.32
0.0005749	0	0.129	0.41	0.331	161039	kinase insert domain receptor (a type III receptor tyrosine kinase)	1480063	Hs.12337	KDR	4q11-q12
0.0005773	5.00E-04	1.534	0.645	0.803	166258	ocular albinism 1 (Nettleship-Falls)	2808289	Hs.74124	OA1	Xp22.3
0.000578	0.001	0.604	1.151	1.202	163757	centaurin, gamma 3	884855	Hs.286084	CENTG3	7q36.1
0.0005813	5.00E-04	0.111	0.157	0.863	161601	ATPase, Class V, type 10B	2532486	Hs.109358	ATP10B	5q34
0.0005826	0	0.158	0.406	0.453	162413	interferon-stimulated transcription factor 3, gamma 48kDa	1942550	Hs.1706	ISGF3G	14q11.2
0.0005836	0.0015	1.362	0.758	1.128	161709	hypothetical protein FLJ11560	1990361	Hs.301696	FLJ11560	9p13.1
0.0005848	0.0015	1.395	0.918	0.801	169022	chromosome 1 open reading frame 19	2285569	Hs.32058	C1orf19	1q25
0.0005872	0.001	1.615	3.249	3.693	163347	dimethylarginine dimethylaminohydrolase 2	1911142	Hs.247362	DDAH2	6p21.3
0.0005887	0	0.263	0.376	0.547	164327	ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2833929	Hs.97579	NA	17
0.0005905	5.00E-04	0.804	1.008	1.027	168363	WD40 and FYVE domain containing 2	2092446	Hs.16400	WDFY2	13q14.12
0.000598	0	0.48	1.407	0.947	169247	NIMA (never in mitosis gene a)-related kinase 9	1661837	Hs.7200	NEK9	14q24.2
0.0005986	0	1.176	0.674	0.786	166385	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	1741702	Hs.93597	CDK5R1	17q11.2
0.000608	5.00E-04	0.694	0.99	0.831	160781	RNA helicase-related protein	2132758	Hs.8765	RNAHP	17q24.1
0.0006091	0	1.086	0.772	1.323	166046	5-nucleotidase, cytosolic II	2474690	Hs.138593	NT5C2	10q24.32
0.0006094	0.002	0.027	0.045	0.234	169113	gamma-aminobutyric acid (GABA) A receptor, pi	1824443	Hs.70725	GABRP	5q33-q34
0.0006106	0.001	0.796	0.282	1.06	169654	BENE protein	1560987	Hs.185055	BENE	2q13
0.0006119	0	9.183	3.967	2.447	164132	MAD2 mitotic arrest deficient-like 1 (yeast)	2414624	Hs.79078	MAD2L1	4q27
0.0006125	0.001	3.514	4.807	6.216	164814	glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	1867652	Hs.1691	GBE1	3p12.3
0.000613	0.001	0.996	0.765	1.561	162107	histamine receptor H1	1210839	Hs.1570	HRH1	3p25
0.0006136	0	0.075	0.241	0.259	166700	potassium inwardly-rectifying channel, subfamily J, member 2	630604	Hs.1547	KCNJ2	17q23.1-q24.2
0.0006142	0.001	4.24	3.105	1.891	162041	H2A histone family, member Z	1466276	Hs.119192	H2AFZ	4q24
0.0006185	0	1.775	0.732	1.002	167838	Homo sapiens, clone MGC:43036 IMAGE:4839025, mRNA, complete cds	2937340	Hs.97717	NA	7
0.0006237	0.001	0.827	1.176	0.939	169112	hypothetical protein FLJ10900	587420	Hs.16277	FLJ10900	7q11.21
0.0006243	0.001	0.768	0.428	0.962	162745	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	2098990	Hs.91139	SLC1A1	9p24
0.0006249	0	0.573	1.09	1.196	162737	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	3148152	Hs.113271	ABO	9q34.1-q34.2
0.0006278	5.00E-04	1.797	0.313	0.966	161767	sciellin	4554357	Hs.115166	SCEL	13q22
0.0006346	0.001	0.233	0.184	0.546	165202	ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	1933018	Hs.125376	NA	2
0.0006454	5.00E-04	1.653	0.898	3.575	160500	kallikrein 11	2668780	Hs.57771	KLK11	19q13.3-q13.4
0.0006472	5.00E-04	1.112	1.918	1.443	164513	hypothetical protein FLJ20551	1924027	Hs.7994	FLJ20551	3p21.33
0.0006514	0	0.136	0.106	0.309	169495	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	513943	Hs.40968	HS3ST1	4p16
0.000652	5.00E-04	0.621	1.11	1.525	169013	quiescin Q6	1854220	Hs.77266	QSCN6	1q24
0.0006527	0	0.46	0.859	0.804	166351	chromosome 21 open reading frame 2	2844768	Hs.388842	C21orf2	21q22.3
0.0006581	0	0.629	0.766	0.494	168357	zinc finger protein 265	1845253	Hs.194718	ZNF265	1p31
0.0006609	0	1.038	0.629	0.665	164477	hypothetical protein FLJ32115	2374046	Hs.293902	FLJ32115	12p13.1
0.0006662	0.0015	0.51	1.006	0.98	163755	ESTs, Weakly similar to Solute carrier family 11 member 1 (natural resistance-associated macrophage protein 1); Natural resistance-associated macrophage protein; solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1 [Rattus	75549	Hs.22049	NA	19
0.0006734	5.00E-04	0.72	1.254	1.13	167379	spinocerebellar ataxia 2 (olivopontocerebellar ataxia 2, autosomal dominant, ataxin 2)	664095	Hs.76253	SCA2	12q24
0.0006795	5.00E-04	0.941	0.855	0.649	160456	KIAA0903 protein	2968321	Hs.16218	KIAA0903	2p14
0.0006867	0.001	0.232	0.578	0.744	162347	dynein, axonemal, light polypeptide 4	1242664	Hs.182595	DNAL4	22q13.1
0.0006867	0.001	0.515	1.406	1.091	166639	SET binding protein 1	2903158	Hs.151717	SETBP1	18q21.1
0.0006898	0	0.708	0.472	2.032	164722	thyroid hormone receptor interactor 4	1970421	Hs.116784	TRIP4	15q22.1
0.0006904	5.00E-04	1.621	0.589	0.924	164659	soluble liver antigen/liver pancreas antigen	3231844	Hs.161436	SLA / LP	4p15.31
0.0006931	0.0015	0.597	0.756	0.388	168918	lamin B receptor	564104	Hs.152931	LBR	1q42.1
0.0006968	0.0025	1.072	0.585	0.852	162691	heat shock 70kDa protein 1-like	535732	Hs.80288	HSPA1L	6p21.3
0.0006972	0	0.5	0.94	0.744	166945	phosphorylase kinase, alpha 2 (liver)	2365335	Hs.54941	PHKA2	Xp22.2-p22.1
0.0006983	5.00E-04	8.777	5.855	4.2	168912	likely ortholog of mouse gene rich cluster, C8 gene	44938	Hs.30114	GRCC8	12p13
0.0007015	5.00E-04	0.506	0.85	0.719	168038	ariadne homolog 2 (Drosophila)	1698803	Hs.241558	ARIH2	3p21.2-p21.3
0.0007083	0.001	1.62	1.048	1.638	161201	serine/threonine kinase 24 (STE20 homolog, yeast)	1755014	Hs.168913	STK24	13q31.2-q32.3
0.0007085	0.001	0.387	0.87	0.81	161789	CDC14 (cell division cycle 14, S.cerevisiae) homolog B	3438934	NA	NA	NA
0.0007171	0	1.472	0.73	0.71	161496	chloride intracellular channel 2	2581144	Hs.54570	CLIC2	Xq28
0.0007208	0	0.23	0.176	0.647	165543	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	1758055	Hs.278611	GALNT3	2q24-q31
0.0007284	0	0.523	0.827	0.779	162248	Incyte EST	2131862	NA	NA	NA
0.0007299	0.0015	0.414	0.977	0.573	160681	biglycan	1963963	Hs.821	BGN	Xq28
0.000735	0	1.239	1.714	1.984	166776	autocrine motility factor receptor	1630117	Hs.80731	AMFR	16q21
0.0007352	0	0.478	0.681	0.677	166153	pancreatic lipase-related protein 1	2084515	Hs.73923	PNLIPRP1	10q26.11
0.0007356	0	0.395	0.617	0.601	161233	Incyte EST	1602194	NA	NA	NA
0.000736	5.00E-04	1.166	0.497	0.62	163132	ESTs	2676494	Hs.433013	NA	8
0.0007446	0	1.6	0.605	0.731	166791	G protein-coupled receptor 86	1782488	Hs.13040	GPR86	3q24
0.0007518	0.002	0.879	1.66	1.548	160764	F-box only protein 7	1911835	Hs.5912	FBXO7	22q12-q13
0.000754	5.00E-04	0.475	1.295	1.172	166123	glypican 4	2182642	Hs.58367	GPC4	Xq26.1
0.0007579	0	1.65	2.38	3.118	162113	destrin (actin depolymerizing factor)	2062011	Hs.408576	DSTN	20p11.23
0.0007583	0	0.555	1.036	0.73	169700	gonadotropin-releasing hormone 1 (leutinizing-releasing hormone)	1830640	Hs.82963	GNRH1	8p21-p11.2
0.0007648	5.00E-04	1.604	1.293	1.091	169017	hypothetical protein LOC220988	1929355	Hs.249247	LOC220988	2q31.2
0.0007672	5.00E-04	1.3	6.887	4.068	165842	four and a half LIM domains 1	224996	Hs.239069	FHL1	Xq26
0.000771	0.001	0.551	0.864	0.384	168380	TBC1 domain family, member 4	924189	Hs.173802	TBC1D4	13q21.33
0.0007757	0	0.221	0.714	0.636	168539	hypothetical protein FLJ21127	1996522	Hs.382368	FLJ21127	12q24.11
0.0007779	5.00E-04	0.312	0.496	0.557	164087	Homo sapiens cDNA FLJ13432 fis, clone PLACE1002537.	2689747	Hs.164005	NA	10
0.0007823	0.002	1.365	1.793	1.911	164798	hypothetical protein PRO1580	2842526	Hs.270863	PRO1580	5q31.3
0.0007921	0.0015	1.972	1.565	1.145	163166	hypothetical protein FLJ20425	2233551	Hs.425427	LYAR	4p16.2
0.0007973	0	1.082	1.837	2.156	167050	Homo sapiens, clone IMAGE:4541768, mRNA	632002	Hs.30579	NA	7
0.0007973	0.001	0.441	1.025	0.768	160949	Vam6/Vps39-like	1674319	Hs.9452	VPS39	15q14
0.0007986	0.001	1.488	0.68	0.944	164667	Homo sapiens, clone IMAGE:5206119, mRNA	3136873	Hs.270312	NA	17
0.000801	5.00E-04	1.235	1.407	0.949	167733	complement component 3a receptor 1	1995864	Hs.155935	C3AR1	12p13.31
0.0008076	0.001	1.606	1.157	1.077	168251	activator of basal transcription 1	1996818	Hs.109428	ABT1	6p21.33
0.0008173	0	0.303	0.381	0.774	164581	retinol dehydrogenase 10 (all-trans)	2506090	Hs.432987	RDH10	8q13.2
0.000818	0.001	0.355	0.85	0.896	164003	MGC16028 similar to RIKEN cDNA 1700019E19 gene	2367207	Hs.8984	MGC16028	14q24.2
0.00082	0	0.26	0.481	0.89	165308	ESTs	201053	Hs.245997	NA	21
0.0008298	0	1.755	0.693	0.953	163226	mannan-binding lectin serine protease 2	2513394	Hs.119983	MASP2	1p36.3-p36.2
0.0008317	0.0015	2.986	1.582	5.208	160756	glutathione peroxidase 2 (gastrointestinal)	1633118	Hs.2704	GPX2	14q24.1
0.0008323	0.001	1.147	0.73	0.821	161387	hypothetical protein MGC46341	3729130	Hs.34665	MGC46341	6q22.31
0.0008331	0	0.724	1.484	1.368	166596	Incyte EST	1376090	NA	NA	NA
0.0008363	0.001	0.955	1.503	1.131	169595	eukaryotic translation initiation factor 4A, isoform 2	2060081	NA	NA	NA
0.0008404	0	0.63	1.218	1.587	161410	KIAA0672 gene product	2769881	Hs.6336	KIAA0672	17p12
0.0008498	0	0.769	0.234	0.711	161587	kallikrein 8 (neuropsin/ovasin)	2604309	Hs.104570	KLK8	19q13.3-q13.4
0.0008505	0	1.692	2.134	1.038	165894	protein kinase, cAMP-dependent, regulatory, type II, beta	1968465	Hs.77439	PRKAR2B	7q22-q31.1
0.0008525	5.00E-04	1.374	2.134	1.503	159953	glyceronephosphate O-acyltransferase	3600267	Hs.12482	GNPAT	1q42.11-42.3
0.000853	0.0015	9.873	2.249	4.505	164126	Homo sapiens cDNA: FLJ21962 fis, clone HEP05564.	2507593	Hs.7567	NA	12
0.0008545	0	7.451	2.33	5.781	166171	Homo sapiens cDNA FLJ14241 fis, clone OVARC1000533.	2082211	Hs.183765	NA	19
0.0008613	0.001	1.477	0.672	0.897	167508	corticotropin releasing hormone receptor 1	2494107	Hs.79117	CRHR1	17q12-q22
0.0008646	0.001	0.614	0.969	0.807	160448	oral-facial-digital syndrome 1	2080379	Hs.6483	OFD1	Xp22.2-p22.3
0.0008681	0.0015	1.099	0.786	0.607	166255	lymphocyte antigen 64 homolog, radioprotective 105kDa (mouse)	410370	Hs.87205	LY64	5q12
0.000869	5.00E-04	1.438	1.533	1.042	160299	KIAA0117 protein	1238619	NA	NA	NA
0.0008734	5.00E-04	0.68	1.025	1.019	164427	KIAA1395 protein	1506055	Hs.8982	KIAA1395	19p13.2
