Probe Set	Exp. 1  Signal Log Ratio	Exp. 2  Signal Log Ratio	Description	Gene Symbol
218663_at	3.9	3.6	chromosome condensation protein G	HCAP-G
218721_s_at	0.7	0.7	hypothetical protein FLJ20505	FLJ20505
218728_s_at	0.9	1.3	HSPC163 protein	HSPC163
218751_s_at	2.3	1.7	hypothetical protein FLJ11071	FLJ11071
218768_at	0.8	0.1	nuclear pore complex protein	NUP107
218771_at	-0.8	-1.1	hypothetical protein FLJ10782	FLJ10782
218784_s_at	0.7	2.5	hypothetical protein FLJ11101	FLJ11101
218802_at	0.6	0.3	hypothetical protein FLJ20647	FLJ20647
218827_s_at	0.3	0.3	hypothetical protein FLJ10352	FLJ10352
218852_at	1	0.6	hypothetical protein FLJ20644	FLJ20644
218856_at	0.3	0.3	hypothetical protein	LOC51323
218859_s_at	1	0.9	HDCMC28P protein	HDCMC28P
218875_s_at	0.5	0.9	F-box only protein 5	FBXO5
218883_s_at	1.1	0.9	hypothetical protein FLJ23468	FLJ23468
218898_at	0.8	0.6	hypothetical protein FLJ22282	FLJ22282
218932_at	0.5	0.4	hypothetical protein FLJ20729	FLJ20729
218947_s_at	0.4	1.2	hypothetical protein FLJ10486	FLJ10486
218974_at	-2.2	-1.4	hypothetical protein FLJ10159	FLJ10159
218993_at	0.3	0.6	hypothetical protein FLJ10581	FLJ10581
219031_s_at	0.5	0.7	hypothetical protein	HSPC031
219038_at	0.7	0.3	hypothetical protein FLJ11565	FLJ11565
219043_s_at	0.4	1.8	hypothetical protein MGC3062	MGC3062
219087_at	1.9	2.2	asporin (LRR class 1)	ASPN
219104_at	1.1	0.2	C3HC4-like zinc finger protein	ZFP26
219147_s_at	0.3	0.2	hypothetical protein FLJ20559	FLJ20559
219148_at	1.7	1.1	Homo sapiens PDZ-binding kinase; T-cell originated protein kinase (TOPK), mRNA.	TOPK
219158_s_at	0.3	1.2	hypothetical protein FLJ13340	FLJ13340
219162_s_at	0.3	0.6	CGI-113 protein	LOC51017
219212_at	1.1	1.1	heat shock protein hsp70-related protein	LOC51182
219258_at	0.8	0.4	hypothetical protein FLJ20516	FLJ20516
219279_at	0.2	2.8	hypothetical protein FLJ20220	FLJ20220
219304_s_at	-1.2	-1.4	spinal cord-derived growth factor-B	SCDGF-B
219306_at	1.3	0.8	kinesin-like protein 2	hklp2
219347_at	0.6	0.1	hypothetical protein FLJ10956	FLJ10956
219449_s_at	0.3	1.7	hypothetical protein FLJ20533	FLJ20533
219493_at	1.3	0.9	hypothetical protein FLJ22009	FLJ22009
219496_at	0.8	1.1	hypothetical protein FLJ21870	FLJ21870
219553_at	0.7	0.5	Homo sapiens NME7 (NME7), mRNA.	NME7
219555_s_at	1.8	3.5	uncharacterized bone marrow protein BM039	BM039
219572_at	-1.7	-1.4	hypothetical protein FLJ20761	FLJ20761
219645_at	-1.3	-1.6	skeletal muscle calsequestrin 1	CASQ1
219732_at	-1	-1.4	hypothetical protein FLJ20300	FLJ20300
219757_s_at	-1	-0.1	hypothetical protein FLJ20392	FLJ20392
219759_at	1.2	0.6	aminopeptidase	LOC64167
219787_s_at	1	1.1	hypothetical protein FLJ10461	FLJ10461
219795_at	-1.1	-2.1	solute carrier family 6 (neurotransmittertransporter), member 14	SLC6A14
219905_at	0.9	2.5	hypothetical protein PRO2801	PRO2801
219918_s_at	1.4	1.3	hypothetical protein FLJ10517	FLJ10517
219932_at	0.5	1	very long-chain acyl-CoA synthetase homolog 1	VLCS-H1
219951_s_at	-1.1	-1.2	hypothetical protein FLJ10600	FLJ10600
219979_s_at	1	2.1	hypothetical protein	HSPC138
219998_at	0.6	0.4	HSPC159 protein	HSPC159
220115_s_at	-1.7	-1.2	cadherin 10, type 2 (T2-cadherin)	CDH10
220175_s_at	0.6	0.1	hypothetical protein from clone 1659351	LOC57397
220183_s_at	2.4	3.7	nudix (nucleoside diphosphate linked moietyX)-type motif 6	NUDT6
220193_at	-3.6	-1.3	hypothetical protein FLJ22938	FLJ22938
220239_at	0.3	0.1	SBBI26 protein	SBBI26
220329_s_at	1.1	0.5	hypothetical protein FLJ20627	FLJ20627
220403_s_at	0.8	0.5	p53-regulated apoptosis-inducing protein 1	P53AIP1
220494_s_at	1	3.6	lipopolysaccharide specific response-68 protein	LSR68
220533_at	-1.3	-1.4	hypothetical protein FLJ13385	FLJ13385
220625_s_at	-1.5	-2.1	Ets transcription factor ESE-2b	ELF5
220867_s_at	-1.2	-1	solute carrier family 24(sodiumpotassiumcalcium exchanger), member 2	SLC24A2
220897_at	-1.1	-1.5	hypothetical protein FLJ11556	FLJ11556
220925_at	0.8	1.4	hypothetical protein FLJ21613 similar to ratcorneal wound healing related protein	FLJ21613
220941_s_at	0.8	0.2	hypothetical protein LOC54149	YG81
221263_s_at	0.4	2.1	hypothetical protein MGC3133	MGC3133
221381_s_at	0.2	1.1	mortality factor 4	MORF4
221437_s_at	1.3	2.6	mitochondrial ribosomal protein S15	MRPS15
221452_s_at	1.1	1	hypothetical protein MGC1223	MGC1223
221464_at	-1.7	-2	olfactory receptor, family 1, subfamily D,member 2	OR1D2
221504_s_at	0.9	1.3	Vacuolar proton pump subunit SFD alpha isoform	LOC51606
221521_s_at	0.6	0.2	Homo sapiens, HSPC037 protein, clone MGC:673, mRNA, complete cds.	LOC51659
221524_s_at	1.1	1.2	Homo sapiens Rag D mRNA, complete cds.	RAGD
221547_at	0.7	0.4	pre-mRNA splicing factor similar to S.cerevisiae Prp18	PRP18
221580_s_at	0.6	1	Homo sapiens, clone MGC:5306, mRNA, complete cds.	MGC5306
221622_s_at	0.4	0.5	Homo sapiens HT026 mRNA, complete cds.	HT007
221702_s_at	0.3	1	BBP-like protein 2	BLP2
221748_s_at	-0.6	-1.3	tensin	TNS
221766_s_at	1	0.2	hypothetical protein FLJ20037	FLJ20037
221776_s_at	1.4	0.8	bromodomain-containing 7	BRD7
221803_s_at	0.2	0.7	nuclear receptor binding factor-2	NRBF-2
221823_at	0.4	0.3	Homo sapiens clone 23860 mRNA sequence	NA
221829_s_at	1	0.1	karyopherin (importin) beta 2	KPNB2
221916_at	-1.3	-2	hypothetical protein	DKFZp434B0417
221943_x_at	-0.8	-1.6	ribosomal protein L38	RPL38
221974_at	-0.8	-1	imprinted in Prader-Willi syndrome	IPW
221986_s_at	1	2.5	hypothetical protein FLJ20059	FLJ20059
221989_at	0.5	1.1	ribosomal protein L10	RPL10
222037_at	1.2	3.4	minichromosome maintenance deficient (S. cerevisiae) 4	MCM4
222040_at	0.4	0.9	heterogeneous nuclear ribonucleoprotein A1	HNRPA1
222077_s_at	1.1	0.6	GTPase activating protein	ID-GAP
222108_at	-1	-1.4	Human BAC clone GS1-99H8	NA
222113_s_at	-1	-1.3	epidermal growth factor receptor substrate EPS15R	EPS15R
222231_s_at	0.3	0.6	hypothetical protein PRO1855	PRO1855
222380_s_at	-0.8	-0.9	ESTs	NA
266_s_at	-1.9	-1.5	Homo sapiens CD24 signal transducer mRNA, complete cds and 3 region	NA
34031_i_at	0.6	1.6	Human Krit1 mRNA, complete cds	NA
36129_at	-0.6	-1.1	Homo sapiens KIAA0397 mRNA, complete cds	NA
36552_at	-0.6	-1.3	Homo sapiens mRNA; cDNA DKFZp586P0123 (from clone DKFZp586P0123)	NA
36830_at	1.2	0.6	Human mitochondrial intermediate peptidase precursor (MIPEP) mRNA, mitochondrial gene encoding mitochondrial protein, complete cds	NA
37547_at	-0.9	-2	Human clone IMAGE-22181 unknown protein mRNA, partial cds	NA
37577_at	0.9	0.9	Human clone 23719 mRNA sequence	NA
38241_at	1	3.2	Human butyrophilin (BTF3) mRNA, complete cds	NA
39705_at	-0.7	-0.9	Homo sapiens mRNA for KIAA0700 protein, partial cds	NA
39891_at	-1.1	-1	Cluster Incl. AI246730:qk40b01.x1 Homo sapiens cDNA, 3 end	NA
40016_g_at	-0.6	-1.8	Human mRNA for KIAA0303 gene, partial cds	NA
41387_r_at	-0.9	-0.9	Human mRNA for KIAA0346 gene, partial cds	NA
44702_at	-1	-1.3	NA	NA
44783_s_at	-0.9	-1.3	NA	NA
45749_at	-1	-1.3	NA	NA
47550_at	-0.8	-0.9	NA	NA
47571_at	-0.7	-1.1	NA	NA
48031_r_at	-1.5	-1.7	NA	NA
48808_at	0.8	1.5	NA	NA
49327_at	-0.9	-1.1	NA	NA
49878_at	-1.1	-0.8	NA	NA
51158_at	-0.9	-1.2	NA	NA
51774_s_at	-0.9	-0.8	NA	NA
52285_f_at	0.5	0.2	NA	NA
54632_at	-0.4	-1	NA	NA
56256_at	-0.5	-1.5	NA	NA
57739_at	-0.6	-1.2	NA	NA
58780_s_at	-1.2	-1.6	NA	NA
58900_at	-0.9	-1	NA	NA
60471_at	-1	-1.1	NA	NA
60528_at	-0.7	-1.2	NA	NA
65635_at	-0.5	-1.1	NA	NA
AFFX- hum_alu_at	-0.6	-1.1	Human Alu-Sq subfamily consensus sequence.	Alu-Sq
AFFX-M27830_M_at	-0.6	-1.1	Human 28S ribosomal RNA gene, complete cds.	28S rRNA
