Acc. No.	Gene	Title	D1B/MPC	P value (D1B vs MPC)	D2B/MPC	P value (D2B vs MPC)	D7B/MPC	P value (D7B vs MPC)
AA047778		Homo sapiens cDNA FLJ20153 fis, clone COL08656, highly similar to AJ001381 Homo sapiens incomplete cDNA for a mutated allele	0.39	0.07	0.4	0.05	0.54	0.07
H99170			1.1	0.8	1.52	0.18	2.13	0.05
W73406		ESTs	1.12	0.8	1.49	0.49	2.28	0.02
N66396		ESTs, Moderately similar to Pro-a2(XI) [H.sapiens]	1.26	0.45	1.47	0.29	2.18	0.02
R56604			1.29	0.49	2.09	0.19	2.83	0
AA281347		Human clone A9A2BRB6 (CAC)n/(GTG)n repeat-containing mRNA	1.32	0.42	1.84	0.41	2.81	0.03
H61449			1.34	0.13	1.66	0.06	2.19	0.02
AA426352			1.5	0.07	1.75	0	2.28	0.01
AA446316		ESTs	1.64	0.14	1.69	0.07	2.57	0.04
AA732983		ESTs, Moderately similar to JC4969 pig-c protein - human [H.sapiens]	1.68	0.23	1.44	0.08	3.07	0.04
AA855158		EST, Highly similar to CAH4_HUMAN CARBONIC ANHYDRASE IV PRECURSOR [H.sapiens]	1.98	0.3	2.76	0.24	4.08	0.04
AA701554		H.sapiens mRNA for hcgVIII protein	2.14	0.31	2.72	0.16	4.54	0.03
AA487543		ESTs, Highly similar to mosaic protein LR11 [H.sapiens]	2.52	0.01	2.53	0.03	2.95	0.23
H99170			1.1	0.8	1.52	0.18	2.13	0.05
H54627			1.51	0.59	2.44	0.1	3.03	0.05
AA703660		Human DNA sequence from intron 22 of the factor VIII gene, Xq28. Contains the end of a 9.5kb repeated region, int22h-1, involved in many cases of haemophilia	1.49	0.09	1.66	0.21	2.24	0.04
W60015		Human translation initiation factor eIF-2alpha mRNA, 3UTR	0.44	0.11	0.45	0.03	0.55	0.1
R56562			1.84	0.09	2.28	0.18	3.01	0.01
