Gene	Clone	UG cluster	Fold-diff L/AT	t-value
highly charged protein	1652341	Hs.151236	1.21	4.176
hypothetical protein FLJ11342	941442	Hs.266514	1.21	3.92
tyrosylprotein sulfotransferase 2	1967582	Hs.26350	1.21	3.757
chromosome 1 open reading frame 19	1665871	Hs.32058	1.21	4.761
speckle-type POZ protein	1737972	Hs.129951	1.21	3.738
translocation protein 1	1402260	Hs.8146	1.21	3.978
KIAA0842 protein	2083876	Hs.74569	1.21	3.827
bromodomain and PHD finger containing, 1	509202	Hs.1004	1.21	5.658
CUG triplet repeat, RNA binding protein 1	1966926	Hs.81248	1.21	5.214
EST	465764	Hs.397078	1.21	4.362
heterogeneous nuclear ribonucleoprotein H1 (H)	818917	Hs.245710	1.21	3.615
dendritic cell protein	1923176	Hs.69469	1.21	4.613
signal peptidase 12kDa	374570	Hs.11125	1.21	4.603
ribosomal protein L3	337500	Hs.119598	1.21	6.652
nucleoporin 88kDa	797600	Hs.172108	1.21	4.142
EST	970933	Hs.401109	1.21	4.52
Homo sapiens (clone s153) mRNA fragment	1335294		1.21	5.593
centaurin, gamma 3	884855	Hs.286084	1.21	4.511
DnaJ (Hsp40) homolog, subfamily C, member 9	4540	Hs.44131	1.21	4.71
hypothetical protein FLJ20323	814763	Hs.83937	1.21	4.356
TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	1637427	Hs.78865	1.2	4.483
vesicle-associated membrane protein 5 (myobrevin)	122826	Hs.74669	1.2	4.587
ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2396385	Hs.13297	1.2	4.342
translation factor sui1 homolog	2155922	Hs.21756	1.2	4.138
transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)	981592	Hs.2022	1.2	4.257
autophagy Apg3p/Aut1p-like	2839245	Hs.26367	1.2	3.945
E1A binding protein p400	1967172	Hs.306094	1.2	4.264
prefoldin 5	1473652	Hs.288856	1.2	3.663
requiem, apoptosis response zinc finger gene	1708816	Hs.13495	1.2	3.62
hypothetical protein DKFZp434B195	1832850	Hs.10748	1.2	4.163
ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 1	2992044	Hs.90336	1.2	3.727
colony stimulating factor 3 (granulocyte)	3662230	Hs.2233	1.2	4.208
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 28	2663948	Hs.155049	1.2	3.689
hypothetical protein FLJ11136	2593434	Hs.274324	1.2	5.468
Huntingtin interacting protein E	3557074	Hs.407881	1.2	5.228
spermine synthase	2061432	Hs.89718	1.2	4.394
eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	1617031	Hs.78592	1.2	3.864
tumor protein p53 binding protein, 2	1259219	Hs.44585	1.2	4.677
KIAA0095 gene product	1859907	Hs.155314	1.2	3.712
Rho-associated, coiled-coil containing protein kinase 1	1351711	Hs.17820	1.2	5.721
ESTs	2510008	Hs.124296	1.2	4.922
hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	1686516	Hs.197540	1.2	4.933
H.sapiens mRNA (clone p5) for archain	2132036	Hs.399365	1.2	3.954
lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	1457718	Hs.93199	1.2	3.699
KIAA0978 protein	2234421	Hs.3686	1.2	6.535
KIAA0020 gene product	348143	Hs.382749	1.2	3.811
non-metastatic cells 3, protein expressed in	2455170	Hs.81687	1.2	3.885
proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	2803219	Hs.148495	1.2	4.27
ribosomal protein L7	1120	Hs.153	1.2	5.399
KIAA0187 gene product	1645971	Hs.10848	1.2	4.406
Charot-Leyden crystal protein	288800	Hs.889	1.2	5.179
mannosidase, alpha, class 2A, member 2	1966756	Hs.295605	1.2	4.41
family with sequence similarity 11 member A	1493488	Hs.11522	1.2	3.691
phosphomannomutase 2	1677945	Hs.154695	1.2	4.371
nitrogen fixation cluster-like	1695864	Hs.9908	1.2	4.021
nudix (nucleoside diphosphate linked moiety X)-type motif 5	1920522	Hs.82043	1.19	4.911
CGI-94 protein	2348309	Hs.111449	1.19	4.845
cisplatin resistance-associated overexpressed protein	2360580	Hs.3688	1.19	4.001
ESTs	1994747	Hs.409268	1.19	4.971
hypothetical protein FLJ20643	1472206	Hs.5245	1.19	3.856
phosphatidylinositol glycan, class C	1759794	Hs.75790	1.19	3.973
Homo sapiens, Similar to retinitis pigmentosa 9 homolog (human), clone IMAGE:4903338, mRNA, partial cds	2019252	Hs.292057	1.19	3.946
annexin A7	1805836	Hs.78637	1.19	3.742
ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	2226159	Hs.389180	1.19	3.915
DnaJ (Hsp40) homolog, subfamily C, member 8	1627543	Hs.74711	1.19	3.87
protocadherin 11 Y-linked	2285276	Hs.159156	1.19	3.835
developmentally regulated GTP binding protein 1	1694415	Hs.115242	1.19	3.652
FYVE-finger-containing Rab5 effector protein rabenosyn-5	2964448	Hs.389022	1.19	5.338
proteasome (prosome, macropain) subunit, beta type, 6	2989852	Hs.77060	1.19	3.929
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1930654	Hs.82719	1.19	5.588
laminin receptor 1 (ribosomal protein SA, 67kDa)	143987	Hs.181357	1.19	4.943
ribonuclease H1	2017160	Hs.178655	1.19	4.608
similar to Zinc finger protein 136	2288112	Hs.14831	1.19	4.892
EST	3038946	Hs.6651	1.19	4.626
EST, Weakly similar to A47363 RNA helicase A - human [H.sapiens]	2885204	Hs.90869	1.19	4.082
activity-dependent neuroprotector	549299	Hs.3657	1.19	3.855
eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	2397815	Hs.12163	1.19	4.266
H-2K binding factor-2	1930602	Hs.347340	1.19	5.349
ESTs	1987975	Hs.409209	1.19	3.988
homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	2054420	Hs.146393	1.19	4.745
beta-amyloid binding protein precursor	983775	Hs.333541	1.18	4.138
proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	1835394	Hs.75925	1.18	3.913
likely ortholog of mouse sex-lethal interactor homolog (Drosophila)	375209	Hs.274319	1.18	3.759
EST, Highly similar to PIG8_HUMAN p53-induced protein 8 [H.sapiens]	1963874	Hs.372542	1.18	3.997
Nijmegen breakage syndrome 1 (nibrin)	1801931	Hs.25812	1.18	3.857
Janus kinase 1 (a protein tyrosine kinase)	1511407	Hs.50651	1.18	3.621
kinesin family member 1C	1967518	Hs.139648	1.18	4.705
chromosome 21 open reading frame 4	2075469	Hs.284142	1.18	3.96
leukocyte receptor cluster (LRC) member 5	2344777	Hs.15580	1.18	4.596
KIAA0107 gene product	1438533	Hs.23488	1.18	4.435
Incyte EST	3043401		1.18	4.159
KIAA0800 gene product	1676311	Hs.118738	1.18	3.786
nucleoporin Nup43	1508944	Hs.53263	1.18	3.742
KIAA0663 gene product	2057266	Hs.17969	1.18	4.637
EST	1428225	Hs.401062	1.18	3.948
hypothetical protein FLJ10392	2197670	Hs.20887	1.18	4.2
cullin 4A	1997406	Hs.183874	1.18	4.076
epoxide hydrolase 1, microsomal (xenobiotic)	272873	Hs.89649	1.18	3.826
tubulin-specific chaperone d	2345411	Hs.12570	1.17	3.943
DKFZP434I116 protein	2232040	Hs.16621	1.17	4.097
protein tyrosine phosphatase, non-receptor type 12	1382374	Hs.62	1.17	4.261
N-methylpurine-DNA glycosylase	1467565	Hs.79396	1.17	3.671
ESTs, Highly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2780880	Hs.61210	1.17	4.234
mitogen-activated protein kinase kinase kinase 4	567566	Hs.32353	1.17	4.596
hypothetical protein MGC19556	1830315	Hs.356357	1.17	4.215
pericentrin 1	1670872	Hs.333136	1.17	3.724
hypothetical protein HSPC148	1923186	Hs.42743	1.17	3.832
EST	1511321	Hs.396784	1.17	4.096
splicing factor 3b, subunit 1, 155kDa	1977	Hs.334826	1.17	3.935
proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	2233153	Hs.75925	1.17	4.222
SPRY domain-containing SOCS box protein SSB-1	1445131	Hs.392072	1.17	4.002
EST	1661837	Hs.7200	1.17	4.162
N-acetylgalactosaminidase, alpha-	1664863	Hs.75372	1.17	3.805
Homo sapiens, clone MGC:17492 IMAGE:3453013, mRNA, complete cds	1503717	Hs.347187	1.17	3.637
spondyloepiphyseal dysplasia, late, pseudogene	2257342	Hs.5699	1.17	4.26
modulator of apoptosis 1	1967338	Hs.24719	1.17	3.813
ribosomal protein L41	3332106	Hs.409245	1.16	4.137
inhibitor of growth family, member 3	794067	Hs.143198	1.16	4.098
caspase recruitment domain family, member 10	3739467	Hs.57973	1.16	3.753
telomeric repeat binding factor 2	1985326	Hs.100030	1.16	3.923
KIAA0863 protein	2019643	Hs.131915	1.16	4.869
mitochondrial ribosomal protein S27	1870704	Hs.409040	1.16	3.681
EST, Highly similar to S71752 giant protein p619 - human [H.sapiens]	3520261	Hs.306359	1.16	3.888
EST, Weakly similar to ZN91_HUMAN Zinc finger protein 91 (Zinc finger protein HTF10) (HPF7) [H.sapiens]	1876941	Hs.196437	1.16	4.487
copine I	1910461	Hs.166887	1.16	3.82
CDC23 (cell division cycle 23, yeast, homolog)	1534423	Hs.153546	1.16	4.335
p53 regulated PA26 nuclear protein	2718391	Hs.14125	1.16	3.889
likely ortholog of mouse Paneth cell enhanced expression	2886955	Hs.408959	1.16	3.836
reproduction 8	2254530	Hs.153678	1.15	3.645
Incyte EST	1433260		1.15	4.069
DKFZP547E1010 protein	1730581	Hs.323817	1.15	3.824
KIAA1043 protein	683325	Hs.11390	1.15	3.927
U6 snRNA-associated Sm-like protein LSm7	1911913	Hs.70830	1.15	4.317
RAS p21 protein activator (GTPase activating protein) 1	147344	Hs.758	1.15	4.291
squamous cell carcinoma antigen recognised by T cells 3	1760362	Hs.116875	1.15	4.385
ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2606738	Hs.13836	1.15	3.734
ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	499870	Hs.84285	1.15	3.677
chromosome 20 open reading frame 4	1342448	Hs.11314	1.15	3.612
hypothetical protein DKFZp451G182	2739522	Hs.50794	1.15	4.462
tRNA nucleotidyl transferase, CCA-adding, 1	3519565	Hs.18925	1.15	5.077
splicing factor, arginine/serine-rich 11	2862646	Hs.11482	1.15	3.767
Homo sapiens OVN6-2 mRNA, partial cds	1415409	Hs.285519	1.15	3.983
COP9 homolog	2114020	Hs.75193	1.14	4.029
activator of basal transcription 1	1996818	Hs.109428	1.14	4.358
ESTs	1848981	Hs.355581	1.14	3.643
dystonia 1, torsion (autosomal dominant; torsin A)	1487434	Hs.19261	1.14	4.035
hypothetical protein FLJ21616	2259392	Hs.23590	1.14	3.676
Homo sapiens, Similar to uterine protein, clone MGC:4279 IMAGE:3609552, mRNA, complete cds	1552481	Hs.372864	1.14	3.651
hypothetical protein SP329	1798560	Hs.19928	1.14	4.444
ESTs	1967543	Hs.356525	1.14	3.71
EST	2132277	Hs.396981	1.13	3.868
UBX domain containing 2	1940994	Hs.77495	1.12	4.044
hypothetical SBBI03 protein	546993	Hs.153639	1.11	3.666
KIAA0553 protein	2737361	Hs.105749	1.1	3.952
striatin, calmodulin binding protein 3	1339241	Hs.183105	0.88	-3.866
nuclear DNA-binding protein	1926081	Hs.15164	0.87	-3.996
adaptor-related protein complex 1, gamma 1 subunit	3524393	Hs.5344	0.87	-4.161
ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)	499558	Hs.78563	0.87	-3.834
voltage-dependent anion channel 2	2189062	Hs.78902	0.87	-3.618
hypothetical protein FLJ20010	667101	Hs.91816	0.87	-3.991
dedicator of cyto-kinesis 1	1671436	Hs.82295	0.87	-3.701
chromosome 13 open reading frame 1	2023022	Hs.388306	0.86	-4.401
interleukin 1 receptor-like 2	3988922	Hs.102865	0.86	-4.648
ubiquitin specific protease	437227	Hs.155787	0.86	-4.606
hydroxyacyl glutathione hydrolase	1932084	Hs.155482	0.85	-4.145
serine palmitoyltransferase, long chain base subunit 2	1753155	Hs.59403	0.85	-5.244
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1639631	Hs.27607	0.85	-3.731
hypothetical protein MGC27076	2875922	Hs.13138	0.85	-3.616
glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV)	1867652	Hs.1691	0.85	-4.307
potassium inwardly-rectifying channel, subfamily J, member 13	1849449	Hs.296361	0.85	-6.487
hypothetical protein FLJ20343	2556708	Hs.252692	0.85	-4.181
HCDI protein	1820846	Hs.7911	0.85	-3.979
hect domain and RLD 3	1465660	Hs.35804	0.84	-3.873
axin 1	2210158	Hs.184434	0.84	-4.59
KIAA0446 gene product	2778432	Hs.158286	0.84	-5.091
Homo sapiens hypothetical protein SB141 mRNA, complete cds	1984396	Hs.334700	0.84	-4.053
potassium inwardly-rectifying channel, subfamily J, member 8	605831	Hs.102308	0.84	-5.208
protein tyrosine phosphatase, receptor type, A	641973	Hs.26045	0.84	-3.89
inositol(myo)-1(or 4)-monophosphatase 1	1403168	Hs.171776	0.83	-4.26
membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)	1719670	Hs.277721	0.83	-4.089
type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	1342493	Hs.247043	0.83	-3.724
aldehyde dehydrogenase 7 family, member A1	1811220	Hs.74294	0.83	-3.918
hypothetical protein BC010682	1493357	Hs.392911	0.83	-3.751
adducin 2 (beta)	2112288	Hs.247423	0.83	-3.976
annexin A11	2061771	Hs.75510	0.83	-4.092
oxidative-stress responsive 1	1652555	Hs.95220	0.83	-3.78
PP4189	1721744	Hs.374849	0.83	-4.465
hypothetical protein DKFZp762D096	1858556	Hs.54320	0.83	-4.328
LIM and SH3 protein 1	2059176	Hs.334851	0.82	-4.402
clone HQ0477 PRO0477p	1711744	Hs.174134	0.82	-4.303
coiled-coil protein BICD2	522905	Hs.330988	0.82	-4.475
ESTs, Highly similar to vessicle-associated membrane protein (VAMP)-associated protein of 33 kDa; vesicle-associated membrane protein (VAMP), 33 kDa; VAMP-associated protein A [Homo sapiens] [H.sapiens]	1661015	Hs.409173	0.82	-3.968
v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	2956906	Hs.252229	0.82	-4.739
START domain containing 3	1821420	Hs.77628	0.82	-3.649
c-myc binding protein	2991221	Hs.78221	0.82	-5.513
KIAA0303 protein	3043089	Hs.54985	0.82	-4.429
ESTs	4997978	Hs.371420	0.82	-4.399
cell division cycle 2-like 5 (cholinesterase-related cell division controller)	546754	Hs.59498	0.82	-3.703
EST, Moderately similar to ST14_HUMAN Suppressor of tumorigenicity 14 (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease TADG-15) (Tumor associated differentially-expressed gene-15 protein) [H.sapiens]	478960	Hs.56937	0.82	-4.156
centaurin, beta 2	1449083	Hs.24340	0.82	-3.954
Incyte EST	2160566		0.82	-4.161
aldehyde dehydrogenase 6 family, member A1	1794046	Hs.293970	0.82	-4.114
v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	2811651	Hs.25960	0.82	-4.635
EST, Highly similar to I37468 house keeping gene 33 - human [H.sapiens]	1819287	Hs.400938	0.82	-4.316
c-src tyrosine kinase	1830292	Hs.77793	0.82	-4.225
ATPase, Class II, type 9A	1942046	Hs.284791	0.81	-3.923
hairy/enhancer-of-split related with YRPW motif 1	2023037	Hs.234434	0.81	-6.99
ERO1-like (S. cerevisiae)	2171401	Hs.25740	0.81	-4.825
linked to Surfeit genes in Fugu rubripes 2; LSFR2 gene 2	664170	Hs.21701	0.81	-4.09
dynactin 2 (p50)	1873115	Hs.84153	0.81	-4.478
EST, Moderately similar to PC4259 ferritin associated protein - human (fragment) [H.sapiens]	1656490	Hs.69707	0.81	-4.593
peroxisome biogenesis factor 13	1849880	Hs.115240	0.81	-4.35
cullin 3	2057912	Hs.78946	0.81	-4.089
capping protein (actin filament) muscle Z-line, alpha 1	2056163	Hs.184270	0.81	-5.328
hypothetical protein DKFZP761M1511	2364392	Hs.408727	0.81	-4.145
interferon-related developmental regulator 1	1752254	Hs.7879	0.81	-4.775
CASP2 and RIPK1 domain containing adaptor with death domain	747345	Hs.155566	0.81	-3.613
hypothetical protein ET	1625553	Hs.73965	0.8	-3.659
protein phosphatase 1, catalytic subunit, beta isoform	1749663	Hs.21537	0.8	-4.608
Homo sapiens, similar to FLJ00226 protein, clone MGC:45879 IMAGE:5017908, mRNA, complete cds	2114381	Hs.408335	0.8	-4.26
chromosome 1 open reading frame 25	1811283	Hs.107149	0.8	-4.55
lethal giant larvae homolog 2 (Drosophila)	1930207	Hs.3123	0.8	-3.703
KIAA0451 gene product	1503868	Hs.18586	0.8	-5.219
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1886821	Hs.831	0.8	-5.357
ESTs	1570161	Hs.14931	0.8	-3.759
arginyltransferase 1	1879587	Hs.355315	0.8	-3.808
hypothetical protein FLJ20343	1547733	Hs.252692	0.8	-3.648
ring finger protein 40	1844284	Hs.65238	0.8	-5.458
acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	3425159	Hs.37	0.8	-3.972
thyroid hormone receptor interactor 4	1970421	Hs.116784	0.79	-4.957
serine/threonine kinase with Dbl- and pleckstrin homology domains	2285303	Hs.162189	0.79	-3.724
alkylglycerone phosphate synthase	334227	Hs.22580	0.79	-4.787
Homo sapiens PAK2 mRNA, complete cds	1849154	Hs.284275	0.79	-4.889
ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	1931920	Hs.272630	0.79	-5.346
DKFZp564D177 protein	2355124	Hs.24608	0.79	-4.209
translational inhibitor protein p14.5	532254	Hs.18426	0.79	-4.586
cell division cycle 42 (GTP binding protein, 25kDa)	2834543	Hs.146409	0.79	-4.219
protein geranylgeranyltransferase type I, beta subunit	815861	Hs.766	0.79	-4.743
phosphofructokinase, liver	885601	Hs.155455	0.78	-5.616
lipopolysaccharide specific response-68 protein	2652746	Hs.409030	0.78	-4.354
hypothetical protein FLJ12242	1711423	Hs.94810	0.78	-4.551
proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	113452	Hs.90744	0.78	-3.996
zinc finger protein 197	2811412	Hs.170341	0.78	-4.192
protein phosphatase 2, regulatory subunit B (B56), alpha isoform	1857808	Hs.155079	0.78	-5.076
KIAA0310 gene product	1880859	Hs.5716	0.78	-4.638
ADP-ribosyltransferase 3	2011270	Hs.24976	0.78	-4.092
ribosomal protein S6 kinase, 90kDa, polypeptide 5	2764911	Hs.109058	0.78	-3.891
protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	284124	Hs.28219	0.78	-5.045
ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2937410	Hs.15617	0.78	-4.789
sorcin	3031144	Hs.300741	0.78	-4.153
UDP-glucose ceramide glucosyltransferase	1601323	Hs.395863	0.78	-4.725
acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1926543	Hs.166160	0.78	-4.292
RAD52 homolog (S. cerevisiae)	140004	Hs.89571	0.78	-4.933
phosphodiesterase 8A	2900572	Hs.78746	0.77	-5.123
testis intracellular mediator protein	2706090	Hs.281706	0.77	-4.858
breast cancer anti-estrogen resistance 3	998849	Hs.6564	0.77	-3.693
isocitrate dehydrogenase 1 (NADP+), soluble	1981403	Hs.11223	0.77	-4.692
CDC14 (cell division cycle 14, S. cerevisiae) homolog B	3438934		0.77	-5.106
pyridoxal (pyridoxine, vitamin B6) kinase	1749883	Hs.38041	0.77	-4.299
platelet-activating factor acetylhydrolase 2, 40kDa	3292380	Hs.234392	0.77	-4.242
choline kinase	1605233	Hs.77221	0.77	-4.552
zinc finger protein 103 homolog (mouse)	1843290	Hs.155968	0.77	-4.607
KIAA0701 protein	2274915	Hs.153293	0.77	-6.846
transducer of ERBB2, 1	1603605	Hs.178137	0.77	-5.214
neurogranin (protein kinase C substrate, RC3)	1943863	Hs.26944	0.77	-3.956
transcriptional intermediary factor 1	2495292	Hs.183858	0.77	-5.738
selenophosphate synthetase 2	1927090	Hs.118725	0.77	-6.98
general transcription factor IIH, polypeptide 2, 44kDa	1352669	Hs.191356	0.77	-4.788
mitogen-activated protein kinase 3	1291128	Hs.861	0.77	-5.622
succinate dehydrogenase complex, subunit D, integral membrane protein	1773452	Hs.168289	0.77	-4.388
Ser-Thr protein kinase related to the myotonic dystrophy protein kinase	1602261	Hs.44708	0.77	-5.321
cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1	1818744	Hs.82568	0.77	-3.74
transmembrane 4 superfamily member 2	1986737	Hs.82749	0.77	-4.181
nuclear receptor coactivator 4	115889	Hs.99908	0.77	-4.214
vitamin A responsive; cytoskeleton related	3119351	Hs.92384	0.77	-4.837
Incyte EST	2243769		0.77	-3.649
EST, Highly similar to AT9B_HUMAN Potential phospholipid-transporting ATPase IIB (HUSSY-20) [H.sapiens]	1454703	Hs.396879	0.77	-6.505
ESTs	2093274	Hs.408834	0.77	-4.56
selenophosphate synthetase 2	1687542	Hs.118725	0.77	-3.875
fyn-related kinase	1358415	Hs.89426	0.76	-5.363
makorin, ring finger protein, 1	1742212	Hs.7838	0.76	-5.348
nuclear factor, interleukin 3 regulated	1890123	Hs.79334	0.76	-3.872
KIAA0247 gene product	1626786	Hs.82426	0.76	-4.312
protein kinase C, delta	613603	Hs.155342	0.76	-5.954
pyruvate dehydrogenase kinase, isoenzyme 4	1902929	Hs.408823	0.76	-4.13
nuclear cap binding protein subunit 1, 80kDa	999424	Hs.89563	0.76	-5.808
Down syndrome critical region gene 3	1494184	Hs.26146	0.76	-4.861
aminoacylase 1	1812955	Hs.334707	0.76	-5.274
hypothetical protein MGC15875	1620917	Hs.315054	0.76	-4.836
lectin, galactoside-binding, soluble, 3 (galectin 3)	2921194	Hs.621	0.75	-4.931
biotinidase	1623592	Hs.78885	0.75	-5.217
phosphatidylinositol-4-phosphate 5-kinase, type I, beta	1347384	Hs.78406	0.75	-4.117
2,4-dienoyl CoA reductase 1, mitochondrial	2380381	Hs.81548	0.75	-6.03
3-hydroxybutyrate dehydrogenase (heart, mitochondrial)	1922001	Hs.76893	0.75	-4.461
cytoplasmic FMR1 interacting protein 1	1920037	Hs.77257	0.75	-4.413
KIAA0551 protein	1285663	Hs.170204	0.75	-5.233
phospholipase A2, group IB (pancreas)	2383830	Hs.992	0.75	-4.139
peroxisomal acyl-CoA thioesterase	1817644	Hs.283476	0.75	-5.747
aryl hydrocarbon receptor nuclear translocator-like	2345343	Hs.74515	0.75	-7.261
diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2060396	Hs.78888	0.75	-3.866
GIOT-2 for gonadotropin inducible transcription repressor-2	2398861	Hs.251371	0.75	-5.918
KIAA0711 gene product	1857475	Hs.5333	0.75	-3.795
ADP-ribosylation factor 3	1688468	Hs.119177	0.75	-3.896
protein tyrosine kinase 9-like (A6-related protein)	3999291	Hs.6780	0.75	-4.319
capping protein (actin filament) muscle Z-line, alpha 2	1987102	Hs.75546	0.75	-4.278
ARP3 actin-related protein 3 homolog (yeast)	463218	Hs.5321	0.75	-4.294
isocitrate dehydrogenase 3 (NAD+) gamma	235973	Hs.75253	0.75	-8.768
meningioma expressed antigen 6 (coiled-coil proline-rich)	1721320	Hs.117242	0.75	-3.644
protein phosphatase 1, catalytic subunit, alpha isoform	1985366	Hs.183994	0.74	-6.518
villin 2 (ezrin)	615749	Hs.155191	0.74	-7.205
abhydrolase domain containing 3	1922875	Hs.387828	0.74	-4.183
ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 1	2923189	Hs.106876	0.74	-4.052
N-ethylmaleimide-sensitive factor attachment protein, gamma	1438127	Hs.7181	0.74	-3.786
bone morphogenetic protein 1	1804401	Hs.1274	0.74	-6.572
cisplatin resistance associated	1682176	Hs.166066	0.74	-3.974
protease, serine, 12 (neurotrypsin, motopsin)	2500511	Hs.22404	0.74	-4.359
phytanoyl-CoA hydroxylase (Refsum disease)	4073867	Hs.172887	0.74	-3.659
neuropathy target esterase	2720693	Hs.5038	0.74	-5.818
ATP-binding cassette, sub-family B (MDR/TAP), member 6	2190644	Hs.107911	0.74	-6.204
sperm associated antigen 9	2004896	Hs.129872	0.74	-4.875
branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	1759220	Hs.1265	0.74	-8.273
NRAS-related gene	2816984	Hs.69855	0.74	-4.029
amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	3563211	Hs.324125	0.74	-5.169
sudD suppressor of bimD6 homolog (A. nidulans)	1730689	Hs.209061	0.74	-3.612
phospholipid transfer protein	2060403	Hs.118126	0.74	-5.846
NCK adaptor protein 1	1833038	Hs.54589	0.74	-7.372
six transmembrane epithelial antigen of the prostate	1496753	Hs.61635	0.73	-5.842
hypothetical protein BC017169	31521	Hs.75639	0.73	-4.935
Fc fragment of IgG, receptor, transporter, alpha	1871295	Hs.111903	0.73	-6.83
protein tyrosine phosphatase, receptor type, F	2626971	Hs.75216	0.73	-3.949
lactate dehydrogenase A	1335140	Hs.2795	0.73	-3.867
dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	2253906	Hs.173135	0.73	-4.127
sequestosome 1	1943110	Hs.182248	0.73	-4.234
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	547319	Hs.203862	0.73	-4.055
adenosine deaminase, RNA-specific	1692960	Hs.7957	0.73	-5.066
propionyl Coenzyme A carboxylase, beta polypeptide	465957	Hs.63788	0.73	-4.489
target of myb1 (chicken)	3119252	Hs.9482	0.73	-4.89
KIAA0143 protein	1739863	Hs.84087	0.73	-4.089
MHC class II transactivator	515399	Hs.3076	0.73	-6.411
chromosome 20 open reading frame 161	663478	Hs.334538	0.73	-3.778
MAD, mothers against decapentaplegic homolog 3 (Drosophila)	1858365	Hs.389759	0.73	-4.982
ESTs	1668733	Hs.408829	0.72	-3.954
dimethylarginine dimethylaminohydrolase 2	1911142	Hs.247362	0.72	-5.124
Human casein kinase I delta mRNA, complete cds	1995389	Hs.401052	0.72	-5.587
Rho-specific guanine nucleotide exchange factor p114	1734113	Hs.6150	0.72	-6.591
serine/threonine kinase 24 (STE20 homolog, yeast)	1755014	Hs.168913	0.72	-4.806
cyclin G2	1922164	Hs.79069	0.72	-7.21
ESTs	2917169	Hs.42294	0.72	-3.616
nucleotide-sugar transporter similar to C. elegans sqv-7	1634141	Hs.90078	0.72	-5.517
PDZ-LIM protein mystique	1878490	Hs.389920	0.72	-6.104
H2A histone family, member L	2514926	Hs.28777	0.72	-4.485
phosphoglucomutase 1	1985244	Hs.1869	0.72	-4.665
hypothetical protein FLJ22301	1963819	Hs.181406	0.72	-3.692
pyruvate dehydrogenase kinase, isoenzyme 2	1268470	Hs.92261	0.71	-5.182
SCO cytochrome oxidase deficient homolog 1 (yeast)	644927	Hs.14511	0.71	-6.727
hypothetical protein DKFZp434M0331	2921913	Hs.48219	0.71	-5.885
CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	2060621	Hs.42346	0.71	-5.362
phospholipase C, delta 1	1809336	Hs.80776	0.71	-5.616
Hermansky-Pudlak syndrome 1	2203196	Hs.83951	0.71	-3.652
cytochrome c	1926255	Hs.169248	0.71	-6.55
transgelin 2	3199352	Hs.75725	0.71	-4.165
