Gene	Clone	UG cluster	Fold-diff L/AT	t-value
hypothetical protein FLJ20186	2107723	Hs.395924	1.24	5.371
ribosomal protein S12	2642559	Hs.339696	1.24	4.247
DKFZP566C134 protein	1985272	Hs.20237	1.24	4.908
hemoglobin, beta	3872557	Hs.155376	1.24	4.303
BAF53	2610088	Hs.274350	1.24	4.518
ribosomal protein S28	1433573	Hs.153177	1.24	3.884
exportin 1 (CRM1 homolog, yeast)	1740728	Hs.79090	1.24	3.919
DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 28	2663948	Hs.155049	1.24	5.777
basic helix-loop-helix domain containing, class B, 3	1369268	Hs.33829	1.24	4.759
ataxia telangiectasia and Rad3 related	632440	Hs.77613	1.24	6.379
MDN1, midasin homolog (yeast)	1209813	Hs.76730	1.24	4.982
annexin A7	1805836	Hs.78637	1.24	5.208
karyopherin (importin) beta 1	1968257	Hs.180446	1.24	3.802
Rho GTPase activating protein 1	2655252	Hs.138860	1.24	3.856
autophagy Apg3p/Aut1p-like	2839245	Hs.26367	1.24	4.078
tryptophan rich basic protein	865858	Hs.198308	1.24	3.921
RNA binding motif protein 15	1379395	Hs.46670	1.24	4.072
HTPAP protein	2626340	Hs.169341	1.24	4.072
eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	448244	Hs.198899	1.23	4.829
Splicing factor, arginine/serine-rich, 46kD	2511735	Hs.155160	1.23	4.034
phosphomannomutase 2	1677945	Hs.154695	1.23	4.91
likely ortholog of mouse variant polyadenylation protein CSTF-64	545550	Hs.21992	1.23	5.482
EST	1848977	Hs.12460	1.23	5.19
chondroitin sulfate proteoglycan 6 (bamacan)	937975	Hs.24485	1.23	6.144
CUG triplet repeat, RNA binding protein 1	1966926	Hs.81248	1.23	8.178
hypothetical protein FLJ11136	2593434	Hs.274324	1.23	6.001
MEP50 protein	831941	Hs.11039	1.23	4.693
hypothetical protein FLJ30092	4872416	Hs.7314	1.23	4.049
lipoyltransferase	1800104	Hs.112356	1.23	4.574
diptheria toxin resistance protein required for diphthamide biosynthesis-like 2 (S. cerevisiae)	1810821	Hs.324830	1.23	4.341
polymerase (DNA directed), beta	967611	Hs.180107	1.23	5.771
hypothetical protein MGC2217	2291135	Hs.323164	1.23	6.627
asparagine synthetase	1381654	Hs.75692	1.23	6.048
hypothetical protein FLJ20718	1985581	Hs.50579	1.23	5.129
chromosome 9 open reading frame 5	2364156	Hs.86412	1.23	4.83
EST	1740025	Hs.10590	1.23	4.025
acetyl-Coenzyme A synthetase 2 (AMP forming)-like	2132717	Hs.7218	1.23	3.972
ESTs	2350560	Hs.39982	1.23	4.84
bromodomain and PHD finger containing, 1	509202	Hs.1004	1.23	4.997
CGI-94 protein	2348309	Hs.111449	1.23	5.634
ESTs	570595	Hs.389265	1.22	5.214
ESTs, Highly similar to A27668 Sm-D ribonucleoprotein autoantigen - human [H.sapiens]	2156608	Hs.356211	1.22	4.596
LPS-responsive vesicle trafficking, beach and anchor containing	734694	Hs.62354	1.22	4.709
eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	1843295	Hs.7811	1.22	4.042
N-sulfoglucosamine sulfohydrolase (sulfamidase)	1874043	Hs.31074	1.22	3.818
adaptor-related protein complex 3, mu 1 subunit	318071	Hs.298442	1.22	4.288
beta-amyloid binding protein precursor	983775	Hs.333541	1.22	5.27
cullin 4A	1997406	Hs.183874	1.22	5.432
replication factor C (activator 1) 2, 40kDa	1655501	Hs.139226	1.22	4.048
RAP2A, member of RAS oncogene family	3334979	Hs.355373	1.22	3.765
zinc finger protein 262	3409136	Hs.150390	1.22	3.88
collagen, type XVIII, alpha 1	1665141	Hs.78409	1.22	5.052
high-mobility group box 1	2099580	Hs.337757	1.22	5.217
EST	465764	Hs.397078	1.22	4.954
KIAA0469 gene product	2674277	Hs.7764	1.22	4.626
ESTs, Weakly similar to S57447 HPBRII-7 protein - human [H.sapiens]	2074045	Hs.409180	1.22	4.93
mitochondrial ribosomal protein L43	1451660	Hs.151945	1.22	4.576
protein tyrosine phosphatase, receptor type, D	2419615	Hs.158112	1.22	4.021
RAB7, member RAS oncogene family-like 1	829449	Hs.115325	1.22	3.843
RNA helicase-related protein	2132758	Hs.8765	1.22	4.857
chromosome 20 open reading frame 104	3444340	Hs.301055	1.22	3.992
histone deacetylase 2	2360075	Hs.3352	1.22	5.011
cAMP responsive element modulator	1921290	Hs.155924	1.22	4.663
POU domain, class 2, transcription factor 1	2926543	Hs.182237	1.22	4.11
hypothetical protein FLJ14225	1486385	Hs.209065	1.22	4.251
KIAA0779 protein	1657109	Hs.362996	1.22	4.28
splicing factor, arginine/serine-rich 3	2474214	Hs.167460	1.22	4.609
RuvB-like 1 (E. coli)	2017386	Hs.272822	1.22	3.883
retinoic acid receptor, gamma	1730894	Hs.1497	1.21	4.763
hypothetical protein MGC14439	1782139	Hs.107001	1.21	4.966
Homo sapiens BX1 mRNA, partial cds	1929355	Hs.249247	1.21	3.986
prefoldin 5	1473652	Hs.288856	1.21	3.865
Homo sapiens mRNA; cDNA DKFZp434B0328 (from clone DKFZp434B0328); partial cds	377842	Hs.131834	1.21	3.796
non-POU domain containing, octamer-binding	1900191	Hs.172207	1.21	4.074
mesoderm development candidate 2	1549331	Hs.78871	1.21	3.998
dendritic cell protein	1923176	Hs.69469	1.21	4.924
centromere protein C 1	1284352	Hs.154207	1.21	5.077
tumor protein p53 binding protein, 2	1259219	Hs.44585	1.21	5.943
MAX dimerization protein 4	1756240	Hs.102402	1.21	3.847
EST, Weakly similar to T00268 hypothetical protein KIAA0597 - human (fragment) [H.sapiens]	645397	Hs.124969	1.21	3.883
protocadherin 11 Y-linked	2285276	Hs.159156	1.21	4.103
laminin receptor 1 (ribosomal protein SA, 67kDa)	143987	Hs.181357	1.21	4.048
PAX transcription activation domain interacting protein 1 like	2258143	Hs.173854	1.21	5.245
H.sapiens mRNA (clone p5) for archain	2132036	Hs.399365	1.21	3.839
KIAA0095 gene product	1859907	Hs.155314	1.21	4.809
hypothetical protein FLJ20254	2627377	Hs.15356	1.21	4.197
suppression of tumorigenicity 5	679667	Hs.79265	1.21	3.921
EST, Weakly similar to A47363 RNA helicase A - human [H.sapiens]	2885204	Hs.90869	1.21	3.954
KIAA0842 protein	2083876	Hs.74569	1.21	4.382
homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	2054420	Hs.146393	1.21	4.754
CGG triplet repeat binding protein 1	1428856	Hs.86041	1.21	3.999
translation factor sui1 homolog	2155922	Hs.21756	1.21	3.818
hypothetical protein FLJ11342	941442	Hs.266514	1.21	6.009
epoxide hydrolase 1, microsomal (xenobiotic)	272873	Hs.89649	1.21	5.048
DKFZP434I116 protein	2232040	Hs.16621	1.21	4.385
xeroderma pigmentosum, complementation group C	1854226	Hs.320	1.21	4.686
hypothetical protein FLJ11200	1879638	Hs.107381	1.21	5.495
eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa	1998072	Hs.2437	1.21	3.79
translocation protein 1	1402260	Hs.8146	1.21	3.921
phosphatidylinositol glycan, class C	1759794	Hs.75790	1.21	4.294
timeless homolog (Drosophila)	2253473	Hs.118631	1.21	4.256
platelet/endothelial cell adhesion molecule (CD31 antigen)	887867	Hs.78146	1.2	4.19
hypothetical protein FLJ10597	1943820	Hs.90375	1.2	4.534
Rab geranylgeranyltransferase, beta subunit	2373804	Hs.78948	1.2	5.1
chromosome 21 open reading frame 4	2075469	Hs.284142	1.2	4.765
nucleoporin Nup43	1508944	Hs.53263	1.2	4.108
nitrogen fixation cluster-like	1695864	Hs.9908	1.2	4.073
Homo sapiens cDNA FLJ35569 fis, clone SPLEN2005783	672836	Hs.352337	1.2	4.592
XPA binding protein 1; putative ATP(GTP)-binding protein	1702460	Hs.18259	1.2	4.065
interleukin 11 receptor, alpha	1439059	Hs.64310	1.2	3.765
DnaJ (Hsp40) homolog, subfamily C, member 9	4540	Hs.44131	1.2	3.968
non-metastatic cells 3, protein expressed in	2455170	Hs.81687	1.2	3.888
KIAA0020 gene product	348143	Hs.382749	1.2	5.106
TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	1637427	Hs.78865	1.2	5.062
eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	2397815	Hs.12163	1.2	4.34
similar to Zinc finger protein 136	2288112	Hs.14831	1.2	4.04
likely ortholog of mouse sex-lethal interactor homolog (Drosophila)	375209	Hs.274319	1.2	6.39
highly charged protein	1652341	Hs.151236	1.2	4.18
likely ortholog of mouse TPR-containing, SH2-binding phosphoprotein	1822234	Hs.173288	1.2	3.748
ribosomal protein S3A	2132237	Hs.77039	1.2	3.922
colony stimulating factor 3 (granulocyte)	3662230	Hs.2233	1.2	4.648
hypothetical protein DKFZp762A2013	2821185	Hs.309165	1.2	5.556
disrupted in bipolar disorder 1	1577463	Hs.120824	1.2	4.757
hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	1686516	Hs.197540	1.2	4.363
Nijmegen breakage syndrome 1 (nibrin)	1801931	Hs.25812	1.2	4.243
KIAA0978 protein	2234421	Hs.3686	1.2	6.062
transcription elongation factor A (SII), 1	399035	Hs.78869	1.2	3.831
M-phase phosphoprotein 9	2508608	Hs.351230	1.19	4.046
hypothetical protein A-211C6.1	2807070	Hs.28607	1.19	4.644
N-methylpurine-DNA glycosylase	1467565	Hs.79396	1.19	5.106
ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 1	2992044	Hs.90336	1.19	4.48
ribosomal protein S29	1306814	Hs.539	1.19	3.777
ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2606738	Hs.13836	1.19	5.616
poly(A) polymerase alpha	2231450	Hs.49007	1.19	5.083
slit homolog 1 (Drosophila)	750673	Hs.133466	1.19	6.032
ESTs, Moderately similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2396385	Hs.13297	1.19	4.999
protein tyrosine phosphatase, non-receptor type 12	1382374	Hs.62	1.19	4.31
EST	1428225	Hs.401062	1.19	4.097
KIAA1468 protein	1807752	Hs.392785	1.19	4.745
small nuclear ribonucleoprotein polypeptide A	1700047	Hs.173255	1.19	4.348
ESTs, Weakly similar to neuronal thread protein [Homo sapiens] [H.sapiens]	2226159	Hs.389180	1.19	3.796
Homo sapiens, clone MGC:17492 IMAGE:3453013, mRNA, complete cds	1503717	Hs.347187	1.19	4.662
hypothetical protein FLJ20643	1472206	Hs.5245	1.19	5.422
family with sequence similarity 11 member A	1493488	Hs.11522	1.19	4.394
splicing factor 3b, subunit 1, 155kDa	1977	Hs.334826	1.19	4.208
hypothetical protein FLJ10392	2197670	Hs.20887	1.19	3.998
bleomycin hydrolase	1985765	Hs.78943	1.19	3.766
ribonuclease H1	2017160	Hs.178655	1.19	4.554
nudix (nucleoside diphosphate linked moiety X)-type motif 5	1920522	Hs.82043	1.18	3.94
vacuolar proton-ATPase subunit	1616336	Hs.351612	1.18	3.933
ESTs	1994747	Hs.409268	1.18	3.948
ESTs	1987975	Hs.409209	1.18	4.477
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1930654	Hs.82719	1.18	4.201
KIAA0800 gene product	1676311	Hs.118738	1.18	4.162
aspartyl-tRNA synthetase	1976029	Hs.80758	1.18	4.67
N-acetylgalactosaminidase, alpha-	1664863	Hs.75372	1.18	4.153
FtsJ homolog 2 (E. coli)	1638819	Hs.279877	1.18	4.188
modulator of apoptosis 1	1967338	Hs.24719	1.18	4.926
E1A binding protein p400	1967172	Hs.306094	1.18	5.395
PCF11p homolog	1841482	Hs.123654	1.18	3.816
H-2K binding factor-2	1930602	Hs.347340	1.18	4.699
inhibitor of growth family, member 3	794067	Hs.143198	1.18	4.546
developmentally regulated GTP binding protein 1	1694415	Hs.115242	1.18	4.796
transcriptional regulator interacting with the PHS-bromodomain 2	1849436	Hs.77293	1.18	4.324
mitogen-activated protein kinase kinase kinase 4	567566	Hs.32353	1.18	4.297
Homo sapiens, Similar to small nuclear RNA activating complex, polypeptide 5, 19kD, clone MGC:22700 IMAGE:3997264, mRNA, complete cds	2506004	Hs.394176	1.18	4.018
KIAA0863 protein	2019643	Hs.131915	1.18	3.995
Homo sapiens, Similar to retinitis pigmentosa 9 homolog (human), clone IMAGE:4903338, mRNA, partial cds	2019252	Hs.292057	1.18	4.236
telomeric repeat binding factor 2	1985326	Hs.100030	1.18	3.91
cisplatin resistance-associated overexpressed protein	2360580	Hs.3688	1.18	5.679
DnaJ (Hsp40) homolog, subfamily C, member 8	1627543	Hs.74711	1.17	4.986
centaurin, gamma 3	884855	Hs.286084	1.17	3.998
ESTs	1848981	Hs.355581	1.17	3.985
EST, Weakly similar to ZN91_HUMAN Zinc finger protein 91 (Zinc finger protein HTF10) (HPF7) [H.sapiens]	1876941	Hs.196437	1.17	4.455
EST	1511321	Hs.396784	1.17	3.805
Homo sapiens, Similar to uterine protein, clone MGC:4279 IMAGE:3609552, mRNA, complete cds	1552481	Hs.372864	1.17	4.11
RAS p21 protein activator (GTPase activating protein) 1	147344	Hs.758	1.17	4.882
Incyte EST	3043401		1.17	4.044
FYVE-finger-containing Rab5 effector protein rabenosyn-5	2964448	Hs.389022	1.16	5.128
hypothetical protein FLJ20446	220356	Hs.18021	1.16	3.965
bromodomain adjacent to zinc finger domain, 2B	553725	Hs.8383	1.16	3.894
hypothetical protein MGC19556	1830315	Hs.356357	1.16	4.571
mitochondrial ribosomal protein S27	1870704	Hs.409040	1.16	4.056
protein phosphatase 1, regulatory subunit 7	2056368	Hs.36587	1.16	3.803
ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	499870	Hs.84285	1.16	4.197
ESTs, Highly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2780880	Hs.61210	1.16	3.876
DKFZP547E1010 protein	1730581	Hs.323817	1.16	4.713
CDC23 (cell division cycle 23, yeast, homolog)	1534423	Hs.153546	1.16	5.046
dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	1336705	Hs.5085	1.16	3.818
EST	1661837	Hs.7200	1.16	3.802
proteasome (prosome, macropain) inhibitor subunit 1 (PI31)	2233153	Hs.75925	1.16	3.833
phosphoribosyl pyrophosphate synthetase-associated protein 2	2209983	Hs.13339	1.16	3.807
squamous cell carcinoma antigen recognised by T cells 3	1760362	Hs.116875	1.15	4.001
U6 snRNA-associated Sm-like protein LSm7	1911913	Hs.70830	1.15	3.841
hypothetical protein FLJ20514	629908	Hs.44423	1.15	4.154
caspase recruitment domain family, member 10	3739467	Hs.57973	1.15	4.092
golgi autoantigen, golgin subfamily a, 5	2068966	Hs.241572	1.15	4.413
EST, Highly similar to S71752 giant protein p619 - human [H.sapiens]	3520261	Hs.306359	1.15	4.138
Incyte EST	1433260		1.14	4.239
RAB28, member RAS oncogene family	1457948	Hs.396260	1.14	4.343
chromosome 20 open reading frame 4	1342448	Hs.11314	1.13	4.529
activator of basal transcription 1	1996818	Hs.109428	1.13	4.084
hypothetical protein SP329	1798560	Hs.19928	1.13	4.757
pericentrin 1	1670872	Hs.333136	1.13	4.076
dystrophin (muscular dystrophy, Duchenne and Becker types)	1424630	Hs.169470	1.12	4.267
calcium modulating ligand	3001686	Hs.13572	1.12	4.231
EST	2132277	Hs.396981	1.12	4.105
hypothetical protein MGC46235	2311432	Hs.330977	1.11	4.318
UBX domain containing 2	1940994	Hs.77495	1.11	4.214
KIAA0553 protein	2737361	Hs.105749	1.1	3.906
TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	776320	Hs.83126	0.89	-4.612
Homo sapiens cDNA PSEC0197 fis, clone HEMBA1001490, weakly similar to PEROXISOMAL-COENZYME A SYNTHETASE (EC 6.-.-.-)	2189537	Hs.123661	0.86	-5.17
EST, Weakly similar to 2004399A chromosomal protein [Homo sapiens] [H.sapiens]	1639631	Hs.27607	0.85	-5.019
serine palmitoyltransferase, long chain base subunit 2	1753155	Hs.59403	0.85	-3.791
chromosome 13 open reading frame 1	2023022	Hs.388306	0.85	-4.736
nuclear DNA-binding protein	1926081	Hs.15164	0.85	-3.836
immunoglobulin superfamily, member 3	1381874	Hs.81234	0.85	-4.116
retinoid X receptor, alpha	1805713	Hs.20084	0.85	-3.842
interleukin 1 receptor-like 2	3988922	Hs.102865	0.85	-4.937
ESTs, Weakly similar to POL2_MOUSE Retrovirus-related POL polyprotein [Contains: Reverse transcriptase ; Endonuclease] [M.musculus]	2936403	Hs.388924	0.85	-3.95
VRK3 for vaccinia related kinase 3	2372209	Hs.98289	0.84	-3.947
vasoactive intestinal peptide receptor 2	1596589	Hs.17279	0.84	-4.766
striatin, calmodulin binding protein 3	1339241	Hs.183105	0.84	-5.028
hypothetical protein MGC27076	2875922	Hs.13138	0.84	-4.168
ubiquitin specific protease	437227	Hs.155787	0.84	-5.008
hydroxyacyl glutathione hydrolase	1932084	Hs.155482	0.83	-3.787
ESTs, Moderately similar to R3HU12 ribosomal protein S12, cytosolic - human [H.sapiens]	1299318	Hs.409362	0.83	-4.446
KIAA0446 gene product	2778432	Hs.158286	0.83	-4.929
golgi autoantigen, golgin subfamily a, 1	1704170	Hs.172647	0.83	-3.788
dedicator of cyto-kinesis 1	1671436	Hs.82295	0.83	-4.654
cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa	4016254	Hs.693	0.83	-3.958
serine/threonine kinase 24 (STE20 homolog, yeast)	2131876	Hs.168913	0.83	-4.057
glutathione transferase zeta 1 (maleylacetoacetate isomerase)	2445126	Hs.26403	0.83	-3.76
death-associated protein kinase 3	1857761	Hs.25619	0.82	-4.645
oxidative-stress responsive 1	1652555	Hs.95220	0.82	-4.197
HCDI protein	1820846	Hs.7911	0.82	-3.915
axin 1	2210158	Hs.184434	0.82	-4.512
potassium inwardly-rectifying channel, subfamily J, member 8	605831	Hs.102308	0.82	-4.894
chromosome 1 open reading frame 25	1811283	Hs.107149	0.82	-4.01
membrane component, chromosome 17, surface marker 2 (ovarian carcinoma antigen CA125)	1719670	Hs.277721	0.82	-3.908
Homo sapiens hypothetical protein SB141 mRNA, complete cds	1984396	Hs.334700	0.82	-4.18
coiled-coil protein BICD2	522905	Hs.330988	0.82	-3.748
EST, Moderately similar to T02670 probable thromboxane A2 receptor isoform beta - human [H.sapiens]	3244710	Hs.113994	0.82	-4.171
endothelin 1	2122269	Hs.2271	0.81	-3.879
translational inhibitor protein p14.5	532254	Hs.18426	0.81	-5.158
adaptor-related protein complex 1, gamma 1 subunit	3524393	Hs.5344	0.81	-6.146
centaurin, beta 2	1449083	Hs.24340	0.81	-4.443
Homo sapiens PAK2 mRNA, complete cds	1849154	Hs.284275	0.81	-5.084
ATPase, Class II, type 9A	1942046	Hs.284791	0.81	-4.495
cell division cycle 2-like 5 (cholinesterase-related cell division controller)	546754	Hs.59498	0.81	-5.351
aldehyde dehydrogenase 6 family, member A1	1794046	Hs.293970	0.81	-3.805
hypothetical protein FLJ20343	2556708	Hs.252692	0.81	-6.64
hypothetical protein DKFZp762D096	1858556	Hs.54320	0.81	-4.086
v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	2956906	Hs.252229	0.81	-4.246
calpain 3, (p94)	2394888	Hs.40300	0.8	-4.629
cullin 3	2057912	Hs.78946	0.8	-3.958
ESTs	4997978	Hs.371420	0.8	-4.636
thyroid hormone receptor interactor 4	1970421	Hs.116784	0.8	-3.767
capping protein (actin filament) muscle Z-line, alpha 1	2056163	Hs.184270	0.8	-4.512
ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	1931920	Hs.272630	0.8	-4.589
LIM and SH3 protein 1	2059176	Hs.334851	0.8	-4.933
KIAA0701 protein	2274915	Hs.153293	0.79	-4.96
protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	284124	Hs.28219	0.79	-3.967
c-src tyrosine kinase	1830292	Hs.77793	0.79	-4.398
GIOT-2 for gonadotropin inducible transcription repressor-2	2398861	Hs.251371	0.79	-4.941
phosphofructokinase, liver	885601	Hs.155455	0.79	-4.231
hypothetical protein MGC15875	1620917	Hs.315054	0.79	-4.856
CASP2 and RIPK1 domain containing adaptor with death domain	747345	Hs.155566	0.79	-6.759
interferon-related developmental regulator 1	1752254	Hs.7879	0.79	-5.373
ATP-binding cassette, sub-family C (CFTR/MRP), member 5	1554873	Hs.108660	0.79	-4.008
c-myc binding protein	2991221	Hs.78221	0.79	-4.775
clone HQ0477 PRO0477p	1711744	Hs.174134	0.79	-5.242
homeo box B2	3818773	Hs.2733	0.78	-4.297
lethal giant larvae homolog 2 (Drosophila)	1930207	Hs.3123	0.78	-6.506
prefoldin 4	43871	Hs.91161	0.78	-4.529
selenophosphate synthetase 2	1927090	Hs.118725	0.78	-3.874
protein phosphatase 1, regulatory (inhibitor) subunit 16A	2230748	Hs.12185	0.78	-4.497
ERO1-like (S. cerevisiae)	2171401	Hs.25740	0.78	-5.621
selenophosphate synthetase 2	1687542	Hs.118725	0.78	-3.794
sestrin 2	2397525	Hs.389514	0.78	-4.722
ESTs	2917169	Hs.42294	0.78	-4.553
serine/threonine kinase with Dbl- and pleckstrin homology domains	2285303	Hs.162189	0.78	-3.928
KIAA0451 gene product	1503868	Hs.18586	0.78	-5.099
chromosome 11 open reading frame 24	1316927	Hs.303025	0.78	-4.8
protein phosphatase 2, regulatory subunit B (B56), alpha isoform	1857808	Hs.155079	0.78	-5.039
Incyte EST	2160566		0.78	-4.697
KIAA0276 protein	112663	Hs.240112	0.78	-5.024
peroxisome biogenesis factor 13	1849880	Hs.115240	0.78	-4.455
DKFZp564D177 protein	2355124	Hs.24608	0.77	-4.669
ESTs, Highly similar to vessicle-associated membrane protein (VAMP)-associated protein of 33 kDa; vesicle-associated membrane protein (VAMP), 33 kDa; VAMP-associated protein A [Homo sapiens] [H.sapiens]	1661015	Hs.409173	0.77	-4.631
transmembrane 4 superfamily member 2	1986737	Hs.82749	0.77	-3.799
v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	2811651	Hs.25960	0.77	-6.002
hypothetical protein FLJ20343	1547733	Hs.252692	0.77	-4.059
EphA1	1810640	Hs.89839	0.77	-5.633
MHC class II transactivator	515399	Hs.3076	0.77	-3.877
ring finger protein 40	1844284	Hs.65238	0.77	-4.729
LIM protein (similar to rat protein kinase C-binding enigma)	2791283	Hs.154103	0.77	-3.963
transcriptional intermediary factor 1	2495292	Hs.183858	0.77	-6.436
Incyte EST	2243769		0.77	-3.873
isocitrate dehydrogenase 1 (NADP+), soluble	1981403	Hs.11223	0.76	-5.027
CDC14 (cell division cycle 14, S. cerevisiae) homolog B	3438934		0.76	-5.903
protein tyrosine kinase 9-like (A6-related protein)	3999291	Hs.6780	0.76	-4.492
proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	113452	Hs.90744	0.76	-4.451
ATP-binding cassette, sub-family B (MDR/TAP), member 6	2190644	Hs.107911	0.76	-4.769
ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2937410	Hs.15617	0.76	-4.182
phosphodiesterase 8A	2900572	Hs.78746	0.76	-5.047
ESTs	1570161	Hs.14931	0.75	-4.087
vitamin A responsive; cytoskeleton related	3119351	Hs.92384	0.75	-5.454
adenosine deaminase, RNA-specific	1692960	Hs.7957	0.75	-4.894
bone morphogenetic protein 1	1804401	Hs.1274	0.75	-3.983
3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1886821	Hs.831	0.75	-4.152
cell division cycle 42 (GTP binding protein, 25kDa)	2834543	Hs.146409	0.75	-5.235
UDP-glucose ceramide glucosyltransferase	1601323	Hs.395863	0.75	-4.191
phytanoyl-CoA hydroxylase (Refsum disease)	4073867	Hs.172887	0.75	-6.648
motilin	237225	Hs.2813	0.75	-3.784
nuclear cap binding protein subunit 1, 80kDa	999424	Hs.89563	0.75	-4.52
capping protein (actin filament) muscle Z-line, alpha 2	1987102	Hs.75546	0.75	-5.396
amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	3563211	Hs.324125	0.75	-4.924
RAD52 homolog (S. cerevisiae)	140004	Hs.89571	0.75	-5.819
Homo sapiens, similar to FLJ00226 protein, clone MGC:45879 IMAGE:5017908, mRNA, complete cds	2114381	Hs.408335	0.75	-4.311
chromosome 20 open reading frame 161	663478	Hs.334538	0.75	-6.077
general transcription factor IIH, polypeptide 2, 44kDa	1352669	Hs.191356	0.75	-5.377
neurogranin (protein kinase C substrate, RC3)	1943863	Hs.26944	0.75	-5.594
ESTs	2093274	Hs.408834	0.74	-6.833
putative ankyrin-repeat containing protein	2626237	Hs.4996	0.74	-5.36
3-hydroxybutyrate dehydrogenase (heart, mitochondrial)	1922001	Hs.76893	0.74	-5.15
hypothetical protein FLJ20425	2233551	Hs.408794	0.74	-4.162
platelet-activating factor acetylhydrolase 2, 40kDa	3292380	Hs.234392	0.74	-5.133
diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	2060396	Hs.78888	0.74	-4.915
MAD, mothers against decapentaplegic homolog 3 (Drosophila)	1858365	Hs.389759	0.74	-3.947
lipopolysaccharide specific response-68 protein	2652746	Hs.409030	0.74	-5.112
hypothetical protein FLJ12242	1711423	Hs.94810	0.74	-5.055
aminoacylase 1	1812955	Hs.334707	0.74	-4.656
choline kinase	1605233	Hs.77221	0.74	-4.091
acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)	1926543	Hs.166160	0.74	-4.348
ARP3 actin-related protein 3 homolog (yeast)	463218	Hs.5321	0.74	-4.831
pyruvate dehydrogenase kinase, isoenzyme 4	1902929	Hs.408823	0.74	-4.941
myosin, light polypeptide 5, regulatory	2118695	Hs.170482	0.74	-4.17
phosphatidylinositol-4-phosphate 5-kinase, type I, beta	1347384	Hs.78406	0.74	-3.866
meningioma expressed antigen 6 (coiled-coil proline-rich)	1721320	Hs.117242	0.74	-7.325
N-ethylmaleimide-sensitive factor attachment protein, gamma	1438127	Hs.7181	0.73	-7.074
KIAA0310 gene product	1880859	Hs.5716	0.73	-4.845
ADP-ribosylation-like factor 8	3367716	Hs.220929	0.73	-8.28
KIAA0711 gene product	1857475	Hs.5333	0.73	-4.615
zinc finger protein 103 homolog (mouse)	1843290	Hs.155968	0.73	-5.087
nuclear receptor coactivator 4	115889	Hs.99908	0.73	-4.872
cisplatin resistance associated	1682176	Hs.166066	0.73	-5.485
zinc finger protein 197	2811412	Hs.170341	0.73	-6.715
succinate dehydrogenase complex, subunit D, integral membrane protein	1773452	Hs.168289	0.73	-4.82
EST, Highly similar to AT9B_HUMAN Potential phospholipid-transporting ATPase IIB (HUSSY-20) [H.sapiens]	1852737	Hs.396879	0.73	-4.946
abhydrolase domain containing 3	1922875	Hs.387828	0.73	-4.581
nuclear factor, interleukin 3 regulated	1890123	Hs.79334	0.73	-5.03
Ser-Thr protein kinase related to the myotonic dystrophy protein kinase	1602261	Hs.44708	0.73	-5.293
KIAA0247 gene product	1626786	Hs.82426	0.73	-5.506
phosphoglucomutase 1	1985244	Hs.1869	0.73	-4.183
cathepsin L2	2935790	Hs.87417	0.73	-4.511
propionyl Coenzyme A carboxylase, beta polypeptide	465957	Hs.63788	0.73	-5.468
KIAA0551 protein	1285663	Hs.170204	0.73	-5.501
makorin, ring finger protein, 1	1742212	Hs.7838	0.73	-4.96
SCO cytochrome oxidase deficient homolog 1 (yeast)	644927	Hs.14511	0.73	-5.122
2,4-dienoyl CoA reductase 1, mitochondrial	2380381	Hs.81548	0.72	-4.276
fyn-related kinase	1358415	Hs.89426	0.72	-6.439
biotinidase	1623592	Hs.78885	0.72	-7.534
