Gene Symbol	Name
TNFSF4	Tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)
TOM1L1	Target of myb1 (chicken)-like 1
TOMM7	Translocase of outer mitochondrial membrane 7 homolog (yeast)
TOP1MT	Topoisomerase (DNA) I, mitochondrial
TOP2B	Topoisomerase (DNA) II beta 180kDa
TP53AP1	TP53 activated protein 1
TP53INP1	Tumor protein p53 inducible nuclear protein 1
TPD52L1	Tumor protein D52-like 1
TRAF2	TNF receptor-associated factor 2
TRAPPC2	Trafficking protein particle complex 2
TRAPPC4	Trafficking protein particle complex 4
TRH	Thyrotropin-releasing hormone
TRIM17	Tripartite motif-containing 17
TRIM2	Tripartite motif-containing 2
TRIM24	Tripartite motif-containing 24
TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
TRMT12	TRNA methyltransferase 12 homolog (S. cerevisiae)
TRSPAP1	TRNA selenocysteine associated protein 1
TSG101	Tumor susceptibility gene 101
TSPAN12	Tetraspanin 12
TSPAN31	Tetraspanin 31
TSPAN9	Tetraspanin 9
TSPO	Translocator protein (18kDa)
TTC12	Tetratricopeptide repeat domain 12
TTK	TTK protein kinase
TTLL12	Tubulin tyrosine ligase-like family, member 12
TTLL4	Tubulin tyrosine ligase-like family, member 4
TTYH1	Tweety homolog 1 (Drosophila)
TUBB3	Tubulin, beta 3
TULP3	Tubby like protein 3
TXN	Thioredoxin
TYW1	TRNA-yW synthesizing protein 1 homolog (S. cerevisiae)
UBE2E3	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)
UBE2T	Ubiquitin-conjugating enzyme E2T (putative)
UBE2Z	Ubiquitin-conjugating enzyme E2Z (putative)
UBL5	Ubiquitin-like 5
UBN1	Ubinuclein 1
UCHL1	Ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
UCHL3	Ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
UCN	Urocortin
UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1
UGT2B7	UDP glucuronosyltransferase 2 family, polypeptide B7
UNC13D	Unc-13 homolog D (C. elegans)
UNQ1887	Signal peptide peptidase 3
UNQ501	MBC3205
VAMP8	Vesicle-associated membrane protein 8 (endobrevin)
VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa
VAV1	Vav 1 oncogene
VCX	Variable charge, X-linked
VDAC2	Voltage-dependent anion channel 2
VPS37B	Vacuolar protein sorting 37 homolog B (S. cerevisiae)
VSX1	Visual system homeobox 1 homolog, CHX10-like (zebrafish)
VWA1	Von Willebrand factor A domain containing 1
WDR26	WD repeat domain 26
WDR59	WD repeat domain 59
WDR6	WD repeat domain 6
WDR61	WD repeat domain 61
WDSOF1	WD repeats and SOF1 domain containing
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1
WNT3	Wingless-type MMTV integration site family, member 3
WNT6	Wingless-type MMTV integration site family, member 6
WSB2	WD repeat and SOCS box-containing 2
XYLT2	Xylosyltransferase II
YBX2	Y box binding protein 2
YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)
ZBED3	Zinc finger, BED-type containing 3
ZBTB4	Zinc finger and BTB domain containing 4
ZCRB1	Zinc finger CCHC-type and RNA binding motif 1
ZDHHC13	Zinc finger, DHHC-type containing 13
ZDHHC14	Zinc finger, DHHC-type containing 14
ZFHX4	Zinc finger homeodomain 4
ZFYVE21	Zinc finger, FYVE domain containing 21
ZNF133	Zinc finger protein 133
ZNF165	Zinc finger protein 165
ZNF24	Zinc finger protein 24
ZNF318	Zinc finger protein 318
ZNF364	Zinc finger protein 364
ZNF432	Zinc finger protein 432
ZNF462	Zinc finger protein 462
ZNF552	Zinc finger protein 552
ZNF606	Zinc finger protein 606
ZNF614	Zinc finger protein 614
ZNF639	Zinc finger protein 639
ZNF649	Zinc finger protein 649
ZNF688	Zinc finger protein 688
ZNF7	Zinc finger protein 7
ZNF706	Zinc finger protein 706
ZNF783	Zinc finger protein 783
ZNHIT3	Zinc finger, HIT type 3
ZSCAN18	Zinc finger and SCAN domain containing 18
