Probeset ID	RefSeq Transcript ID(GenBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
219956_at	NM_007210	GALNT6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	1.1	289.1	803.2
220016_at	NM_001620 /// NM_024060	AHNAK	AHNAK nucleoprotein	1.1	209.3	528
221497_x_at	NM_022051	EGLN1	egl nine homolog 1 (C. elegans)	1.1	1243.6	2189.1
222109_at	NM_019067	GNL3L	guanine nucleotide binding protein-like 3 (nucleolar)-like	1.1	177.4	488.8
222235_s_at	NM_018590	GALNACT-2	chondroitin sulfate GalNAcT-2	1.1	308.8	935
222565_s_at	NM_005813	PRKD3	protein kinase D3	1.1	161	584.2
222820_at	NM_018996	TNRC6C	trinucleotide repeat containing 6C	1.1	156.3	351.2
222978_at	NM_033161	SURF4	surfeit 4	1.1	2057.8	3865.7
223092_at	NM_054027 /// XM_001132013	ANKH	ankylosis, progressive homolog (mouse)	1.1	510.1	1381.8
223185_s_at	NM_030762	BHLHB3	basic helix-loop-helix domain containing, class B, 3	1.1	160.5	273.7
223687_s_at	NM_017527	LY6K	lymphocyte antigen 6 complex, locus K	1.1	394.2	841.7
224325_at	NM_031866	FZD8	frizzled homolog 8 (Drosophila)	1.1	208.2	801
224793_s_at	NM_004612	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	1.1	604.6	1303.7
225181_at	NM_017519 /// NM_020732 /// NM_175863 /// XM_001133842	ARID1B /// LOC729446	AT rich interactive domain 1B (SWI1-like) /// similar to AT rich interactive domain 1B (SWI1-like) isoform 1	1.1	411.2	1096.2
225439_at	NM_032869	NUDCD1	NudC domain containing 1	1.1	2669.6	5876.3
225790_at	NM_001031679 /// NM_198080	MSRB3	methionine sulfoxide reductase B3	1.1	298.5	657
225972_at	NM_001008495	TMEM64	transmembrane protein 64	1.1	465.1	941.7
225974_at	NM_001008495	TMEM64	transmembrane protein 64	1.1	2383.5	4234.6
226152_at	NM_001010854	TTC7B	tetratricopeptide repeat domain 7B	1.1	673.6	1374.3
226178_at	NM_080867 /// NM_199421	SOCS4	suppressor of cytokine signaling 4	1.1	704.9	1542.8
226179_at	NM_016612 /// XM_001128238 /// XM_001128248 /// XM_001128255 /// XM_001128269	SLC25A37	solute carrier family 25, member 37	1.1	647.5	1537.9
226639_at	NM_032740	SFT2D3	SFT2 domain containing 3	1.1	450.6	1156.7
226744_at	NM_024086	METT10D	methyltransferase 10 domain containing	1.1	1193.2	2105
226785_at	NM_001010986 /// NM_173694	ATP11C	ATPase, Class VI, type 11C	1.1	179	510.7
227101_at	NM_176814	ZNF800	zinc finger protein 800	1.1	203.7	502.8
227103_s_at	NM_001037324 /// NM_001100120 /// NM_001100121 /// NM_014693 /// NM_032331	MGC2408	hypothetical protein MGC2408	1.1	165.8	387.7
227998_at	NM_080388	S100A16	S100 calcium binding protein A16	1.1	344.2	712.6
228066_at	---	---	Full-length cDNA clone CS0DK005YO12 of HeLa cells Cot 25-normalized of Homo sapiens (human)	1.1	380.5	811.1
228483_s_at	NM_015975	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	1.1	1072.5	2447.9
229371_at	---	---	MRNA; cDNA DKFZp666B189 (from clone DKFZp666B189)	1.1	368.7	781.2
230795_at	---	---	Transcribed locus	1.1	587.5	1675.1
230954_at	NM_080616	C20orf112	chromosome 20 open reading frame 112	1.1	250.5	419.6
231871_at	NM_180989	GPR180	G protein-coupled receptor 180	1.1	296.4	607.1
235107_at	---	---	Transcribed locus	1.1	226.8	610.1
235146_at	---	---	Transcribed locus	1.1	412.4	813.9
235196_at	---	---	Transcribed locus	1.1	339.2	850.5
235392_at	---	---	Transcribed locus	1.1	168.2	477.6
235486_at	NM_012194 /// NM_152314 /// XM_039515 /// XM_941447	C11orf69	chromosome 11 open reading frame 69	1.1	259.1	536.5
238762_at	NM_001004346	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like	1.1	632	1615.2
239202_at	---	---	CDNA FLJ34848 fis, clone NT2NE2011684, weakly similar to H.sapiens mRNA for plakophilin 2a and b	1.1	127.6	535.9
239384_at	XM_928492	FLJ44342	hypothetical LOC645460	1.1	132	285.9
240277_at	NM_133496	SLC30A7	Solute carrier family 30 (zinc transporter), member 7	1.1	511.1	991.9
242366_at	---	---	Homo sapiens, clone IMAGE:3858719, mRNA	1.1	185.3	433.3
243176_at	---	---	CDNA FLJ30090 fis, clone BNGH41000015	1.1	157.4	437.1
1552485_at	NM_032857 /// NM_171846	LACTB	lactamase, beta	1	556.6	1190.9
1552897_a_at	NM_133329 /// NM_172344	KCNG3	potassium voltage-gated channel, subfamily G, member 3	1	128.6	296.9
1555216_a_at	XM_933081 /// XM_944447	LOC645722	hypothetical LOC645722	1	185	417.7
1555420_a_at	NM_003709	KLF7	Kruppel-like factor 7 (ubiquitous)	1	294.5	546.1
1557257_at	NM_003921	BCL10	B-cell CLL/lymphoma 10	1	282.3	553
1557684_at	NM_020652	ZNF286A	zinc finger protein 286A	1	299.1	713.4
1558292_s_at	NM_178517	PIGW	phosphatidylinositol glycan anchor biosynthesis, class W	1	1008	2100.8
1564520_s_at	NM_001039619 /// NM_006109	PRMT5	protein arginine methyltransferase 5	1	1620.4	3450.3
1564521_x_at	NM_001039619 /// NM_006109	PRMT5	protein arginine methyltransferase 5	1	1569.9	3105.8
1565269_s_at	NM_005171	ATF1	activating transcription factor 1	1	365.4	614.6
200060_s_at	NM_006711 /// NM_080594	RNPS1	RNA binding protein S1, serine-rich domain	1	3247	6565.5
200635_s_at	NM_002840 /// NM_130440	PTPRF	protein tyrosine phosphatase, receptor type, F	1	1579	3471.8
200681_at	NM_006708	GLO1	glyoxalase I	1	8407.5	16869.7
201025_at	NM_015904	EIF5B	eukaryotic translation initiation factor 5B	1	759.1	1625.3
201240_s_at	NM_014752	SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)	1	5065.8	10784.6
201242_s_at	NM_001001787 /// NM_001677	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1	4783.1	9582.1
201243_s_at	NM_001001787 /// NM_001677	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1	2591.7	5234.1
201559_s_at	NM_013943	CLIC4	chloride intracellular channel 4	1	250.1	428.6
201693_s_at	NM_001964	EGR1	early growth response 1	1	1367.4	2781.6
201739_at	NM_005627	SGK	serum/glucocorticoid regulated kinase	1	4348.5	9339.6
201859_at	NM_002727	SRGN	serglycin	1	177.4	316
202579_x_at	NM_006353	HMGN4	high mobility group nucleosomal binding domain 4	1	3216.7	6821.7
202689_at	NM_013286	RBM15B	RNA binding motif protein 15B	1	453	1003.6
202704_at	NM_005749	TOB1	transducer of ERBB2, 1	1	1878.4	3595.7
202912_at	NM_001124	ADM	adrenomedullin	1	909.9	1834.7
203063_at	NM_014634	PPM1F	protein phosphatase 1F (PP2C domain containing)	1	481.9	897.9
203075_at	NM_001003652 /// NM_005901	SMAD2	SMAD family member 2	1	1160.7	2071
203129_s_at	NM_004522 /// XM_001125694 /// XM_938129 /// XM_943554	KIF5C	kinesin family member 5C	1	343.9	622.4
203342_at	NM_005834	TIMM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)	1	395	882.3
203354_s_at	NM_015310 /// NM_206909	PSD3	pleckstrin and Sec7 domain containing 3	1	1362.4	2888.4
203665_at	NM_002133	HMOX1	heme oxygenase (decycling) 1	1	613.5	1218.3
203788_s_at	NM_006379	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	1	285.2	567.9
203966_s_at	NM_021003 /// NM_177951 /// NM_177952	PPM1A	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	1	706.5	1876.6
204969_s_at	NM_002906	RDX	radixin	1	404.7	773.3
205767_at	NM_001432	EREG	epiregulin	1	500.1	1335.4
206448_at	NM_014951 /// NM_199450 /// NM_199451 /// NM_199452	ZNF365	zinc finger protein 365	1	195.7	388
206686_at	NM_002610	PDK1	pyruvate dehydrogenase kinase, isozyme 1	1	311	727.9
208103_s_at	NM_030920	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	1	1077.4	2145.7
208127_s_at	NM_014011 /// NM_144949	SOCS5	suppressor of cytokine signaling 5	1	768.4	1531.1
208527_x_at	NM_003523	HIST1H2BE	histone cluster 1, H2be	1	682.8	1163.3
208944_at	NM_001024847 /// NM_003242	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	1	258	440.3
209121_x_at	NM_021005	NR2F2	nuclear receptor subfamily 2, group F, member 2	1	1460.1	3112.8
209216_at	NM_001029896 /// NM_007075	WDR45	WD repeat domain 45	1	281.1	531.2
209278_s_at	NM_006528	TFPI2	tissue factor pathway inhibitor 2	1	4763.4	9529.2
209286_at	NM_006449	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	1	176	363.3
209446_s_at	NM_018224	C7orf44	chromosome 7 open reading frame 44	1	251.8	534.4
209522_s_at	NM_000755 /// NM_004003 /// NM_144782	CRAT	carnitine acetyltransferase	1	361.2	835.5
209575_at	NM_000628	IL10RB	interleukin 10 receptor, beta	1	525.8	962.4
209589_s_at	NM_004442 /// NM_017449	EPHB2	EPH receptor B2	1	299.3	472.3
209859_at	NM_015163 /// NM_052978	TRIM9	tripartite motif-containing 9	1	170.2	373.7
210135_s_at	NM_003030 /// NM_006884	SHOX2	short stature homeobox 2	1	755.9	1459.1
210222_s_at	NM_021136 /// NM_206852 /// NM_206857	RTN1	reticulon 1	1	380.9	667.4
210457_x_at	NM_002131 /// NM_145899 /// NM_145901 /// NM_145902 /// NM_145903 /// NM_145904 /// NM_145905	HMGA1	high mobility group AT-hook 1	1	289.5	601.1
211576_s_at	NM_003056 /// NM_194255	SLC19A1	solute carrier family 19 (folate transporter), member 1	1	349.6	873.5
212105_s_at	NM_001357	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1	286.4	617.4
212135_s_at	NM_001001396 /// NM_001684	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	1	2045.9	3928.4
212197_x_at	NM_015134 /// NM_201274	M-RIP	myosin phosphatase-Rho interacting protein	1	1393.3	2628
212902_at	NM_021982 /// XM_001128954 /// XM_001132082 /// XM_001132097	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	1	673.2	1016.2
213035_at	NM_015199	ANKRD28	ankyrin repeat domain 28	1	863	1629.5
213360_s_at	NM_001099415 /// NM_172020 /// XM_001129924 /// XM_001130619	LOC340318 /// LOC729316 /// POM121	POM121 membrane glycoprotein (rat) /// nuclear envelope pore membrane LOC340318 /// similar to Nuclear envelope pore membrane protein POM 121 (Pore membrane protein of 121 kDa) (P145)	1	3072.3	6374.5
213567_at	---	---	Clone 23728 mRNA sequence	1	911.5	1762.1
214696_at	NM_001001870 /// NM_032895	MGC14376	hypothetical protein MGC14376	1	982.2	1825.5
215111_s_at	NM_006022 /// NM_183422	TSC22D1	TSC22 domain family, member 1	1	4566.1	8906.8
216684_s_at	NM_001007559 /// NM_005637	SS18	synovial sarcoma translocation, chromosome 18	1	410.2	852.4
217761_at	NM_018269	ADI1	acireductone dioxygenase 1	1	427.5	894.3
217786_at	NM_001039619 /// NM_006109	PRMT5	protein arginine methyltransferase 5	1	1880.4	3366.3
217804_s_at	NM_004516 /// NM_012218 /// NM_153464	ILF3	interleukin enhancer binding factor 3, 90kDa	1	773.1	1536.2
218040_at	NM_018061	PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	1	373.8	686.8
218330_s_at	NM_001111018 /// NM_001111019 /// NM_145117 /// NM_182964	NAV2	neuron navigator 2	1	230.3	440.1
220180_at	NM_025214	CCDC68	coiled-coil domain containing 68	1	397	746.1
220955_x_at	NM_016277 /// NM_183227	RAB23	RAB23, member RAS oncogene family	1	238.5	439.9
221006_s_at	NM_030918	SNX27	sorting nexin family member 27	1	383.5	741.4
221538_s_at	NM_032242	PLXNA1	plexin A1	1	431.5	907.2
221613_s_at	NM_019006	ZFAND6	zinc finger, AN1-type domain 6	1	1610.2	3959.3
221841_s_at	NM_004235	KLF4	Kruppel-like factor 4 (gut)	1	569.1	1150.3
222572_at	NM_018444	PPM2C	protein phosphatase 2C, magnesium-dependent, catalytic subunit	1	1602.4	3987.6
222778_s_at	NM_001042424 /// NM_007331 /// NM_133330 /// NM_133331 /// NM_133334 /// NM_133335 /// NM_133336	WHSC1	Wolf-Hirschhorn syndrome candidate 1	1	386.1	741.5
222946_s_at	NM_024037	C1orf135	chromosome 1 open reading frame 135	1	123.5	276
222977_at	NM_033161	SURF4	surfeit 4	1	1526.3	3048.4
222986_s_at	NM_016479	SCOTIN	scotin	1	2056.8	3570.5
223193_x_at	NM_014367	C3orf28	chromosome 3 open reading frame 28	1	9760.2	19478.9
223288_at	NM_032557	USP38	ubiquitin specific peptidase 38	1	300	614.6
223533_at	NM_032270	LRRC8C	leucine rich repeat containing 8 family, member C	1	302.1	612.8
223984_s_at	NM_001008564 /// NM_001008565 /// NM_014089	NUPL1	nucleoporin like 1	1	982	1990.6
224252_s_at	NM_014164 /// NM_144779	FXYD5	FXYD domain containing ion transport regulator 5	1	448.4	1022.7
224345_x_at	NM_014367	C3orf28	chromosome 3 open reading frame 28	1	11614.6	20162.3
224480_s_at	NM_032717	MAG1	lung cancer metastasis-associated protein	1	5026	7776.9
224617_at	NM_005156	ROD1	ROD1 regulator of differentiation 1 (S. pombe)	1	2685.4	5718.6
224691_at	---	---	Homo sapiens, Similar to likely ortholog of yeast ARV1, clone IMAGE:3460560, mRNA	1	6082	11748.8
225129_at	NM_152727	CPNE2	copine II	1	1118.4	1886.6
226107_at	---	---	CDNA FLJ13495 fis, clone PLACE1004425	1	402.7	730.2
226184_at	NM_052905	FMNL2	formin-like 2	1	1510.9	3219.5
226390_at	NM_139164	STARD4	START domain containing 4, sterol regulated	1	813	1564
226461_at	NM_024017	HOXB9	homeobox B9	1	363.8	582.4
226635_at	---	LOC401504	Hypothetical gene supported by AK091718	1	538	875.2
227034_at	NM_023016	ANKRD57	ankyrin repeat domain 57	1	676.7	1297.5
227068_at	NM_000291	PGK1	phosphoglycerate kinase 1	1	3677.7	7830.2
227196_at	NM_033103	RHPN2	rhophilin, Rho GTPase binding protein 2	1	562.4	1281.3
227290_at	---	---	CDNA FLJ13598 fis, clone PLACE1009921	1	216.1	408.7
227337_at	NM_181726	ANKRD37	ankyrin repeat domain 37	1	346.5	1072.3
227339_at	NM_001012761 /// NM_173670	RGMB	RGM domain family, member B	1	293.1	641.4
227345_at	NM_003840	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	1	654.1	1330.4
227556_at	NM_013330 /// NM_197972	NME7	non-metastatic cells 7, protein expressed in (nucleoside-diphosphate kinase)	1	3548.9	8315.9
227740_at	NM_175866	UHMK1	U2AF homology motif (UHM) kinase 1	1	4453.5	7781.4
227844_at	NM_175736 /// NM_198900	FMNL3	formin-like 3	1	160.5	300.3
227930_at	NM_017629	EIF2C4	Eukaryotic translation initiation factor 2C, 4	1	282.3	638.5
228073_at	NM_152667	NANP	N-acetylneuraminic acid phosphatase	1	475.3	1049.8
228176_at	NM_005226	EDG3	endothelial differentiation, sphingolipid G-protein-coupled receptor, 3	1	84	304.7
228515_at	---	LOC90784	hypothetical protein LOC90784	1	181.7	325
229828_at	---	---	Transcribed locus	1	311	603.4
230206_at	NM_024940	DOCK5	Dedicator of cytokinesis 5	1	1446.4	2364.8
230207_s_at	NM_024940	DOCK5	Dedicator of cytokinesis 5	1	1266.4	2811
230263_s_at	NM_024940	DOCK5	dedicator of cytokinesis 5	1	1147.8	2070
230499_at	---	---	Transcribed locus	1	336	679.9
231274_s_at	---	SLC25A37	Solute carrier family 25, member 37	1	1219	2152.4
231370_at	---	PPM1A	Protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	1	387.1	873.2
231697_s_at	NM_030938	TMEM49	Transmembrane protein 49	1	322.4	601.6
231930_at	NM_018712	ELMOD1	ELMO/CED-12 domain containing 1	1	308.2	548.6
235004_at	NM_153020	RBM24	RNA binding motif protein 24	1	311.4	826.6
235085_at	NM_001080826 /// XM_291277 /// XM_937796	DKFZp761P0423	homolog of rat pragma of Rnd2	1	297.2	641.6
235205_at	XM_294450 /// XM_943533	LOC346887	similar to solute carrier family 16 (monocarboxylic acid transporters), member 14	1	641.5	1551.7
235291_s_at	XM_943640	FLJ32255	hypothetical protein LOC643977	1	252.5	410.8
235292_at	XM_943640	FLJ32255	hypothetical protein LOC643977	1	136.9	426.4
235579_at	---	SFRS2IP	Splicing factor, arginine/serine-rich 2, interacting protein	1	163.7	402.3
236513_at	---	---	Transcribed locus	1	147.9	267.5
237209_s_at	NM_006165	NFRKB	nuclear factor related to kappaB binding protein	1	446.7	1086.6
239960_x_at	NM_181705	LYRM7	Lyrm7 homolog (mouse)	1	370.8	617.7
244350_at	NM_012334	---	---	1	170.9	304.3
244623_at	---	---	Transcribed locus	1	168.8	432.8
37384_at	NM_014634	PPM1F	protein phosphatase 1F (PP2C domain containing)	1	551.8	1138.3
38037_at	NM_001945	HBEGF	heparin-binding EGF-like growth factor	1	158.5	319.6
39966_at	NM_006574	CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)	1	446.9	972.4
40524_at	NM_007039	PTPN21	protein tyrosine phosphatase, non-receptor type 21	1	165.3	296.6
51192_at	NM_017857 /// NM_018276	SSH3	slingshot homolog 3 (Drosophila)	1	227.9	405.4
