Parametric p-value	Fold difference of geometric means (N vs R)	Description	Clone	UG cluster	Gene symbol	Map
0.0007917	2.449	Homo sapiens mRNA; cDNA DKFZp564O1016 (from clone DKFZp564O1016)	2844112	Hs.15787	NA	3
0.0008289	2.464	Human S6 A-5 mRNA expressed in chromosome 6-suppressed melanoma cells.	2635559	Hs.292801	NA	16
0.0008083	2.468	Homo sapiens clone 24411 mRNA sequence	1842626	Hs.20952	NA	12
0.000508	2.49	Incyte EST	5288736	NA	NA	NA
0.0006189	2.508	matrix metalloproteinase 11 (stromelysin 3)	1996013	Hs.155324	MMP11	22q11.23
p < 1e-07	2.511	Homo sapiens, Similar to hypothetical protein B430208I01, clone IMAGE:5181522, mRNA, partial cds	1987866	Hs.106771	NA	5
0.0009559	2.521	ESTs	3187892	Hs.120224	NA	8
0.0008542	2.532	mannan-binding lectin serine protease 2	2513394	Hs.119983	MASP2	1p36.3-p36.2
0.0006682	2.572	Kruppel-like factor 7 (ubiquitous)	2644952	Hs.21599	KLF7	2q32
0.0008424	2.572	phafin 2	2556746	Hs.29724	FLJ13187	8q22.1
0.0005929	2.584	RP42 homolog	1379662	Hs.104613	RP42	3q26.3
0.0004588	2.585	Homo sapiens cDNA FLJ34400 fis, clone HCHON2001434, highly similar to NADH-UBIQUINONE OXIDOREDUCTASE 42 KDA SUBUNIT, MITOCHONDRIAL PRECURSOR (EC 1.6.5.3).	2107343	Hs.380035	NA	2
0.0001706	2.593	ADP-ribosylation-like factor 8	3367716	Hs.220929	ARL8	10p12.33
0.0008816	2.594	hypothetical protein FLJ25348	394219	Hs.62604	FLJ25348	1p34.3
0.0005937	2.616	adrenergic, beta-3-, receptor	1722947	Hs.2549	ADRB3	8p12-p11.2
0.0002706	2.625	proteasome (prosome, macropain) subunit, beta type, 2	1986028	Hs.432607	PSMB2	1p34.2
0.0005172	2.628	liver mitochondrial glutaminase	1781632	Hs.325443	GA	12q13
0.0005866	2.634	ESTs, Moderately similar to neuronal thread protein [Homo sapiens] [H.sapiens]	1293515	Hs.97109	NA	1
0.000892	2.638	fibromodulin	1999120	Hs.230	FMOD	1q32
0.000617	2.64	peroxisomal farnesylated protein	1819287	Hs.168670	PXF	1q22
0.0008643	2.66	Homo sapiens clone 24400 mRNA sequence	2886421	Hs.159528	NA	2
0.0008067	2.677	Wiskott-Aldrich syndrome-like	3176244	Hs.170065	WASL	7q31.3
0.0006619	2.678	DKFZP566I1024 protein	1626927	Hs.279696	DKFZP566I102	7q11.1
0.0005233	2.68	luteinizing hormone beta polypeptide	395798	Hs.154704	LHB	19q13.32
0.0009242	2.72	furin (paired basic amino acid cleaving enzyme)	1219315	Hs.59242	FURIN	15q26.1
0.0004307	2.723	periphilin 1	2780529	Hs.281428	PPHLN1	12q12
0.0006016	2.727	receptor (TNFRSF)-interacting serine-threonine kinase 1	2056711	Hs.296327	RIPK1	6p25.2
0.000779	2.752	soluble liver antigen/liver pancreas antigen	3231844	Hs.161436	SLA / LP	4p15.31
0.000471	2.758	potassium large conductance calcium-activated channel, subfamily M, beta member 1	1674220	Hs.93841	KCNMB1	5q34
0.0008933	2.779	Homo sapiens, clone IMAGE:4829637, mRNA	2751837	Hs.334677	NA	4
0.0009478	2.78	Homo sapiens cDNA FLJ31114 fis, clone IMR322000379.	2176387	Hs.44441	NA	X
0.0006358	2.788	hypothetical cardiac/skeletal muscle-expressed ORF	3028712	Hs.50820	LOC92235	1q22-q24
0.0008205	2.823	pronapsin A	2589487	Hs.322854	NAP1	19q13.33
0.00015	2.824	NS1-binding protein	1265676	Hs.197298	NS1-BP	1q25.1-q31.1
0.000203	2.85	tumor necrosis factor (ligand) superfamily, member 11	794703	Hs.115770	TNFSF11	13q14
0.0006491	2.861	lymphocyte antigen 6 complex, locus H	2209586	Hs.159590	LY6H	8q24.3
0.0008829	2.864	serine dehydratase	1902152	Hs.76751	SDS	12q24.21
0.0002889	2.885	caveolin 1, caveolae protein, 22kDa	4271973	Hs.74034	CAV1	7q31.1
0.0008227	2.889	agouti related protein homolog (mouse)	3127152	Hs.104633	AGRP	16q22
0.0009354	2.915	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	1287093	Hs.104576	CHST1	11p11.2-p11.1
0.0006589	2.956	prolactin	1759948	Hs.1905	PRL	6p22.2-p21.3
0.0007223	2.97	islet amyloid polypeptide	2077090	Hs.142255	IAPP	12p12.3-p12.1
0.0004247	2.99	piwi-like 2 (Drosophila)	2783496	Hs.58248	HIWI2	11q21
7.46E-05	2.992	solute carrier family 16 (monocarboxylic acid transporters), member 1	1981569	Hs.75231	SLC16A1	1p12
0.0006965	3.004	carcinoembryonic antigen-related cell adhesion molecule 3	3802206	Hs.11	CEACAM3	19q13.2
6.50E-06	3.011	tripartite motif-containing 16	1996011	Hs.241305	TRIM16	17p11.2
0.0009009	3.033	interleukin 11	3138407	Hs.1721	IL11	19q13.3-q13.4
0.0004451	3.036	hypothetical protein FLJ21079	1909443	Hs.16512	FLJ21079	6q13
0.0009939	3.1	runt-related transcription factor binding protein 2	2792711	Hs.82210	RUNXBP2	8p11
8.44E-05	3.141	parathyroid hormone-like hormone	1556168	Hs.89626	PTHLH	12p12.1-p11.2
0.0008474	3.161	protein phosphatase 1, regulatory (inhibitor) subunit 13B	2193506	Hs.6162	PPP1R13B	14q32.33
0.000872	3.19	extracellular matrix protein 1	1965806	Hs.81071	ECM1	1q21
0.0007025	3.191	ESTs	2846949	Hs.405184	NA	4
0.0004486	3.194	gap junction protein, beta 5 (connexin 31.1)	1923289	Hs.198249	GJB5	1p35.1
0.0008497	3.194	paired mesoderm homeo box 1	3118038	Hs.443452	PMX1	1q24
0.0009776	3.202	coenzyme Q7 homolog, ubiquinone (yeast)	1683318	Hs.157113	COQ7	16p13.11-p12.3
0.0009227	3.217	hypothetical protein DKFZp566D234	3149777	Hs.32452	DKFZp566D234	4q32.3
0.0009491	3.226	KIAA0532 protein	2201626	Hs.21077	KIAA0532	8q22.2
0.0007173	3.238	KIAA0363 protein	1799810	Hs.96633	KIAA0363	7p12.3
0.0003699	3.245	secretin receptor	2216503	Hs.2199	SCTR	2q14.1
0.0004979	3.247	chromosome 4 open reading frame 1	1433576	Hs.270956	C4orf1	4p13-p12
0.0005988	3.254	ets variant gene 2	1320685	Hs.194061	ETV2	19q13.11
0.0007444	3.264	Homo sapiens, clone MGC:41943 IMAGE:5296763, mRNA, complete cds	2683763	Hs.351119	NA	7
0.0005255	3.272	Homo sapiens cDNA: FLJ23006 fis, clone LNG00414.	1677988	Hs.79881	NA	3
0.0005451	3.276	achaete-scute complex-like 1 (Drosophila)	2149404	Hs.1619	ASCL1	12q22-q23
0.0006683	3.281	gamma-aminobutyric acid (GABA) A receptor, alpha 3	4400865	Hs.123024	GABRA3	Xq28
0.0006418	3.301	hypothetical protein DKFZp761D221	1415864	Hs.20935	DKFZp761D221	1p31.2
0.0004261	3.304	Homo sapiens clone 24566 mRNA sequence	5265684	Hs.133342	NA	2
0.0009593	3.306	ESTs	543027	Hs.46762	NA	20
0.0006759	3.309	LIM domain only 1 (rhombotin 1)	4758453	Hs.1149	LMO1	11p15
0.0009898	3.323	T-box 5	2590504	Hs.50947	TBX5	12q24.1
0.0002471	3.326	chemokine (C-C motif) ligand 17	2938757	Hs.66742	CCL17	16q13
0.0008019	3.345	KIAA1719 protein	4464644	Hs.296770	KIAA1719	3p24-p23
0.0005917	3.351	KIAA0450 gene product	2799177	Hs.170156	KIAA0450	1p36.32
0.0006443	3.355	interleukin 1 receptor-like 1	313081	Hs.66	IL1RL1	2q12
0.0005533	3.357	fyn-related kinase	1358415	Hs.89426	FRK	6q21-q22.3
0.0001405	3.385	Homo sapiens, clone IMAGE:4106329, mRNA	832718	Hs.351201	NA	22
0.000127	3.414	Homo sapiens, clone IMAGE:3923185, mRNA	4217059	Hs.354068	NA	18
0.000912	3.426	synuclein, gamma (breast cancer-specific protein 1)	1317411	Hs.349470	SNCG	10q23.2-q23.3
0.0004732	3.438	neurexophilin 1	624334	Hs.343660	NXPH1	7p22
0.0004468	3.478	cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa	3969924	Hs.407604	CRSP2	Xp11.4-p11.2
0.00099	3.484	nerve growth factor, beta polypeptide	2887215	Hs.2561	NGFB	1p13.1
0.0009972	3.52	acetylcholinesterase (YT blood group)	5035992	Hs.154495	ACHE	7q22
0.0008207	3.526	titin-cap (telethonin)	3030770	Hs.343603	TCAP	17q12
0.0006457	3.537	likely ortholog of mouse mitogen activated protein kinase binding proten 1	2346641	Hs.259729	MAPKBP1	15q14
0.0009581	3.55	deoxynucleotidyltransferase, terminal	2611448	Hs.397294	DNTT	10q23-q24
0.0007769	3.553	plectin 1, intermediate filament binding protein 500kDa	1907232	Hs.79706	PLEC1	8q24
0.000917	3.631	ATPase, H+/K+ exchanging, beta polypeptide	2938310	Hs.813	ATP4B	13q34
0.0004242	3.65	ESTs	3645701	Hs.120276	NA	6
0.0008197	3.656	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	1998288	Hs.151407	CILP	15q22
0.0007358	3.668	cadherin 6, type 2, K-cadherin (fetal kidney)	2406795	Hs.32963	CDH6	5p15.1-p14
0.0009011	3.733	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	2586677	Hs.89463	KCNMA1	10q22-q23
0.0006427	3.738	chitinase 1 (chitotriosidase)	1925077	Hs.91093	CHIT1	1q31-q32
9.01E-05	3.775	claudin 1	2795896	Hs.7327	CLDN1	3q28-q29
0.0009393	3.786	Homo sapiens cDNA FLJ37183 fis, clone BRALZ2001445.	4729574	Hs.333522	NA	1
0.0008111	3.793	chemokine (C-C motif) ligand 13	1977527	Hs.11383	CCL13	17q11.2
0.000664	3.808	A kinase (PRKA) anchor protein 4	4923083	Hs.97633	AKAP4	Xp11.2
0.0007117	3.879	ESTs	1686856	Hs.98367	NA	8
4.08E-05	3.899	Incyte EST	1260330	NA	NA	NA
0.0009456	3.974	interleukin 4	4347370	Hs.73917	IL4	5q31.1
0.0006208	3.99	insulin	2076748	Hs.89832	INS	11p15.5
0.0007759	4.039	KIAA1855 protein	1269538	Hs.343820	KIAA1855	6p21.1
0.0006028	4.063	epiregulin	443631	Hs.115263	EREG	4q21.1
6.76E-05	4.092	visinin-like 1	1741701	Hs.2288	VSNL1	2p24.3
0.000446	4.114	solute carrier family 10 (sodium/bile acid cotransporter family), member 1	5034123	Hs.952	SLC10A1	14q24.1
0.0008518	4.188	arachidonate 12-lipoxygenase	3472502	Hs.1200	ALOX12	17p13.1
0.0006471	4.312	protocadherin 8	4090868	Hs.19492	PCDH8	13q14.3-q21.1
0.000714	4.39	Homo sapiens cDNA: FLJ21962 fis, clone HEP05564.	2507593	Hs.7567	NA	12
0.0006621	4.44	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	4913537	Hs.54517	FCN2	9q34
0.0007516	5.028	kallikrein 6 (neurosin, zyme)	1480159	Hs.79361	KLK6	19q13.3
0.0008444	5.321	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	2293978	Hs.159140	B4GALT6	18q11
0.000475	5.382	chemokine (C-C motif) ligand 7	4415304	Hs.251526	CCL7	17q11.2-q12
0.0008029	5.741	sciellin	4554357	Hs.115166	SCEL	13q22
0.0007377	10.64	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	557012	Hs.75716	SERPINB2	18q21.3
0.0001238	13.031	Small proline-rich protein SPRK [human, odontogenic keratocysts, mRNA Partial, 317 nt]	1599293	Hs.46320	NA	1
0.000356	31.292	small proline-rich protein 3	2797764	Hs.139322	SPRR3	1q21-q22
