Probeset ID	Gene Symbol	Gene Title	P-value	FoldChange
206461_x_at	MT1H /// MT1P2	metallothionein 1H /// metallothionein 1 pseudogene 2	0.05	-1.55
222074_at	UROD	uroporphyrinogen decarboxylase	0.043	-1.55
227059_at	GPC6	Glypican 6	0.035	-1.55
240369_at	TTC7A	Tetratricopeptide repeat domain 7A	0.064	-1.56
232513_x_at	C20orf107	chromosome 20 open reading frame 107	0.053	-1.56
212478_at	RMND5A	required for meiotic nuclear division 5 homolog A (S. cerevisiae)	0.069	-1.56
228953_at	WHDC1	WAS protein homology region 2 domain containing 1	0.034	-1.57
226679_at	SLC26A11	solute carrier family 26, member 11	0.003	-1.57
221654_s_at	USP3	ubiquitin specific peptidase 3	0.042	-1.57
204647_at	HOMER3	homer homolog 3 (Drosophila)	0.002	-1.59
208622_s_at	EZR	ezrin	0.019	-1.59
223027_at	SNX9	sorting nexin 9	0.006	-1.59
204415_at	IFI6	interferon, alpha-inducible protein 6	0.034	-1.59
229695_at	NA	CDNA FLJ39366 fis, clone PEBLM2006283	0.094	-1.59
204588_s_at	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	0.073	-1.6
216054_x_at	MYL4	myosin, light chain 4, alkali; atrial, embryonic	0.001	-1.6
205483_s_at	ISG15	ISG15 ubiquitin-like modifier	0.051	-1.6
228056_s_at	NAPSB	napsin B aspartic peptidase pseudogene	0.062	-1.61
212859_x_at	MT1E	metallothionein 1E	0.038	-1.61
230134_s_at	RC3H2	ring finger and CCCH-type zinc finger domains 2	0.088	-1.61
239155_at	LOC653108 /// LOC730425	similar to coxsackie virus and adenovirus receptor precursor	0.095	-1.61
231990_at	USP15	ubiquitin specific peptidase 15	0.061	-1.62
209201_x_at	CXCR4	chemokine (C-X-C motif) receptor 4	0.058	-1.62
208949_s_at	LGALS3	lectin, galactoside-binding, soluble, 3	0.059	-1.62
231730_at	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	0.054	-1.62
38037_at	HBEGF	heparin-binding EGF-like growth factor	0.043	-1.63
223997_at	FNIP1	folliculin interacting protein 1	0.047	-1.63
204182_s_at	ZBTB43	zinc finger and BTB domain containing 43	0.007	-1.64
225955_at	LOC653506 /// METRNL	meteorin, glial cell differentiation regulator-like /// similar to meteorin, glial cell differentiation regulator-like	0.027	-1.64
211919_s_at	CXCR4	chemokine (C-X-C motif) receptor 4	0.055	-1.64
205660_at	OASL	2-5-oligoadenylate synthetase-like	0.035	-1.64
228181_at	SLC30A1	solute carrier family 30 (zinc transporter), member 1	0.086	-1.64
219863_at	HERC5	hect domain and RLD 5	0.028	-1.65
214169_at	UNC84A	unc-84 homolog A (C. elegans)	0.001	-1.65
238545_at	BRD7	Bromodomain containing 7	0.001	-1.65
209975_at	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	0.005	-1.65
230133_at	RC3H2	ring finger and CCCH-type zinc finger domains 2	0.053	-1.66
216049_at	RHOBTB3	Rho-related BTB domain containing 3	0.047	-1.66
205927_s_at	CTSE	cathepsin E	0.026	-1.66
237082_at	NA	Transcribed locus	0.024	-1.66
227935_s_at	PCGF5	polycomb group ring finger 5	0.008	-1.66
212501_at	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	0.037	-1.67
232030_at	KIAA1632	KIAA1632	0.018	-1.67
204174_at	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	0.024	-1.68
229865_at	FNDC3B	fibronectin type III domain containing 3B	0.045	-1.68
201105_at	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	0.048	-1.69
203888_at	THBD	thrombomodulin	0.037	-1.69
239668_at	NA	Transcribed locus	0.017	-1.69
206877_at	MXD1	MAX dimerization protein 1	0.03	-1.7
219505_at	CECR1	cat eye syndrome chromosome region, candidate 1	0.058	-1.7
1554906_a_at	MPHOSPH6	M-phase phosphoprotein 6	0.006	-1.71
204351_at	S100P	S100 calcium binding protein P	0.006	-1.72
202208_s_at	ARL4C	ADP-ribosylation factor-like 4C	0.007	-1.72
222496_s_at	RBM47	RNA binding motif protein 47	0.048	-1.73
236189_at	ANKRD50	ankyrin repeat domain 50	0.056	-1.73
228158_at	LOC645166	similar to lymphocyte-specific protein 1 isoform 1	0.011	-1.75
219622_at	RAB20	RAB20, member RAS oncogene family	0.005	-1.78
210746_s_at	EPB42	erythrocyte membrane protein band 4.2	0.062	-1.78
206851_at	RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	0.07	-1.78
208438_s_at	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.028	-1.78
202912_at	ADM	adrenomedullin	0.095	-1.82
203505_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	0.064	-1.82
242397_at	NA	NA	0.001	-1.82
1557030_at	GAB1	GRB2-associated binding protein 1	0.056	-1.82
204141_at	TUBB2A	tubulin, beta 2A	0.041	-1.84
205896_at	SLC22A4	solute carrier family 22 (organic cation transporter), member 4	0.004	-1.85
211924_s_at	PLAUR	plasminogen activator, urokinase receptor	0.049	-1.86
1569263_at	NA	Pp10472	0.01	-1.86
203234_at	UPP1	uridine phosphorylase 1	0.015	-1.87
200872_at	S100A10	S100 calcium binding protein A10	0.004	-1.88
1554406_a_at	CLEC7A	C-type lectin domain family 7, member A	0.038	-1.89
203821_at	HBEGF	heparin-binding EGF-like growth factor	0.049	-1.89
211560_s_at	ALAS2	aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)	0.022	-1.9
205859_at	LY86	lymphocyte antigen 86	0.018	-1.93
205382_s_at	CFD	complement factor D (adipsin)	0.009	-1.93
218589_at	P2RY5	purinergic receptor P2Y, G-protein coupled, 5	0.092	-1.94
227952_at	ZNF718	Zinc finger protein 718	0.036	-1.95
203973_s_at	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	0.058	-1.95
207341_at	PRTN3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	0.048	-1.96
203665_at	HMOX1	heme oxygenase (decycling) 1	0.004	-2
204122_at	TYROBP	TYRO protein tyrosine kinase binding protein	0.012	-2
210845_s_at	PLAUR	plasminogen activator, urokinase receptor	0.041	-2
1554892_a_at	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	0.01	-2.01
201422_at	IFI30	interferon, gamma-inducible protein 30	0.037	-2.02
221840_at	PTPRE	protein tyrosine phosphatase, receptor type, E	0.025	-2.04
217414_x_at	HBA1 /// HBA2	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.014	-2.08
221698_s_at	CLEC7A	C-type lectin domain family 7, member A	0.071	-2.08
213975_s_at	LYZ	lysozyme (renal amyloidosis)	0.014	-2.1
204018_x_at	HBA1 /// HBA2	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.011	-2.14
211699_x_at	HBA1 /// HBA2	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.011	-2.16
209458_x_at	HBA1 /// HBA2	hemoglobin, alpha 1 /// hemoglobin, alpha 2	0.015	-2.16
214414_x_at	HBA2	hemoglobin, alpha 2	0.018	-2.2
1555756_a_at	CLEC7A	C-type lectin domain family 7, member A	0.049	-2.2
219672_at	ERAF	erythroid associated factor	0.047	-2.21
203535_at	S100A9	S100 calcium binding protein A9	0.024	-2.21
202295_s_at	CTSH	cathepsin H	0.007	-2.22
211745_x_at	HBA1	hemoglobin, alpha 1	0.014	-2.22
211429_s_at	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0.036	-2.24
205653_at	CTSG	cathepsin G	0.027	-2.25
202833_s_at	SERPINA1	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0.062	-2.27
204912_at	IL10RA	interleukin 10 receptor, alpha	0.013	-2.27
230748_at	SLC16A6	solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	0.092	-2.28
222670_s_at	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	0.02	-2.31
1559910_at	NA	MRNA full length insert cDNA clone EUROIMAGE 85905	0.008	-2.34
203948_s_at	MPO	myeloperoxidase	0.052	-2.36
202207_at	ARL4C	ADP-ribosylation factor-like 4C	0.072	-2.37
203887_s_at	THBD	thrombomodulin	0.028	-2.37
214575_s_at	AZU1	azurocidin 1 (cationic antimicrobial protein 37)	0.008	-2.42
218559_s_at	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	0.077	-2.45
203815_at	GSTT1	glutathione S-transferase theta 1	0.046	-2.45
218454_at	FLJ22662	hypothetical protein FLJ22662	0.041	-2.47
202411_at	IFI27	interferon, alpha-inducible protein 27	0.005	-2.48
1556346_at	NA	Partial mRNA; ID YG39-1A	0	-2.48
204971_at	CSTA	cystatin A (stefin A)	0.042	-2.52
204614_at	SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	0.077	-2.89
210254_at	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	0.024	-3
202917_s_at	S100A8	S100 calcium binding protein A8	0.068	-3.06
206871_at	ELA2	elastase 2, neutrophil	0.002	-3.09
205237_at	FCN1	ficolin (collagen/fibrinogen domain containing) 1	0.021	-3.09
205863_at	S100A12	S100 calcium binding protein A12	0.012	-3.33
213524_s_at	G0S2	G0/G1switch 2	0.02	-3.57
1555745_a_at	LYZ	lysozyme (renal amyloidosis)	0.008	-3.96
