Gene Symbol	Entrez	NKI295ProbeID	Affy_HGU133A	CentroidMeta	CentroidNoMeta	Delta_Centroid	Gene Title	Pathway	Pathway Hyperlink	go biological process term	go molecular function term	go cellular component term
ITK	3702	NM_005546	211339_s_at	0.003178238	0.165034233	-0.161855995	IL2-inducible T-cell kinase	---	---	protein amino acid phosphorylation /// cellular defense response /// signal transduction /// intracellular signaling cascade	nucleotide binding /// protein kinase activity /// protein-tyrosine kinase activity /// non-membrane spanning protein tyrosine kinase activity /// ATP binding /// zinc ion binding /// kinase activity /// transferase activity /// metal ion binding	---
KIF13B	23303	AF279865	202962_at	-0.326470976	0.177420139	-0.503891114	kinesin family member 13B	---	---	protein targeting /// microtubule-based movement /// microtubule-based movement /// signal transduction /// T cell activation	nucleotide binding /// motor activity /// microtubule motor activity /// microtubule motor activity /// protein binding /// ATP binding /// protein kinase binding	cytoplasm /// cytoskeleton /// microtubule /// microtubule associated complex
KIT	3815	NM_000222	205051_s_at	-0.178492211	0.373802047	-0.552294258	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	---	---	protein amino acid phosphorylation /// protein amino acid dephosphorylation /// signal transduction /// transmembrane receptor protein tyrosine kinase signaling pathway /// protein kinase cascade /// response to radiation /// peptidyl-tyrosine phosphorylation /// cytokine and chemokine mediated signaling pathway /// hemopoiesis /// pigmentation during development	nucleotide binding /// protein kinase activity /// protein-tyrosine kinase activity /// protein-tyrosine kinase activity /// transmembrane receptor protein tyrosine kinase activity /// receptor signaling protein tyrosine kinase activity /// receptor activity /// stem cell factor receptor activity /// vascular endothelial growth factor receptor activity /// protein binding /// ATP binding /// kinase activity /// transferase activity	external side of plasma membrane /// membrane /// integral to membrane
KITLG	4254	NM_000899	207029_at	0.031817805	0.044981098	-0.013163293	KIT ligand	---	---	cell adhesion /// signal transduction /// cell proliferation /// organ morphogenesis /// hemopoiesis	stem cell factor receptor binding /// stem cell factor receptor binding /// stem cell factor receptor binding /// protein binding /// growth factor activity	plasma membrane /// membrane /// integral to membrane
LAIR1	3903	NM_002287	210644_s_at	-0.113069376	-0.032066712	-0.081002664	leukocyte-associated immunoglobulin-like receptor 1	---	---	immune response	receptor activity	membrane /// integral to membrane
LAMB2	3913	NM_002292	216264_s_at	-0.230229925	-0.000367149	-0.229862776	laminin, beta 2 (laminin S)	Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway /// Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	cell adhesion /// synaptic transmission	structural molecule activity /// protein binding	proteinaceous extracellular matrix /// basement membrane /// basal lamina
LCK	3932	NM_005356	204891_s_at	0.006664486	0.198015055	-0.191350569	lymphocyte-specific protein tyrosine kinase	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	regulation of progression through cell cycle /// protein amino acid phosphorylation /// protein amino acid phosphorylation /// zinc ion homeostasis /// induction of apoptosis /// caspase activation /// intracellular signaling cascade /// intracellular signaling cascade /// Ras protein signal transduction /// hemopoiesis /// T cell differentiation /// response to drug /// positive regulation of T cell receptor signaling pathway /// positive regulation of T cell activation /// release of sequestered calcium ion into cytosol /// regulation of lymphocyte activation	nucleotide binding /// glycoprotein binding /// protein kinase activity /// protein-tyrosine kinase activity /// protein-tyrosine kinase activity /// protein-tyrosine kinase activity /// protein serine/threonine phosphatase activity /// protein binding /// ATP binding /// protein C-terminus binding /// kinase activity /// transferase activity /// protein kinase binding /// SH2 domain binding /// CD4 receptor binding /// CD8 receptor binding /// phosphoinositide 3-kinase binding /// ATPase binding	pericentriolar material /// plasma membrane /// membrane /// lipid raft
LCP2	3937	NM_005565	205269_at	-0.090883933	0.057779169	-0.148663102	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	---	---	immune response /// transmembrane receptor protein tyrosine kinase signaling pathway /// intracellular signaling cascade /// mast cell activation /// cytokine secretion	protein binding /// protein binding	---
LST1	7940	NM_007161	214181_x_at	-0.174760567	0.020687604	-0.195448171	leukocyte specific transcript 1	---	---	cell morphogenesis /// immune response /// immune response /// regulation of cell shape /// anatomical structure morphogenesis /// dendrite development /// negative regulation of lymphocyte proliferation	protein binding	cytoplasm /// Golgi apparatus /// membrane /// integral to membrane /// integral to membrane
LTB	4050	NM_009588	207339_s_at	0.005333005	0.217839917	-0.212506912	lymphotoxin beta (TNF superfamily, member 3)	---	---	immune response /// signal transduction /// cell-cell signaling	receptor binding /// cytokine activity /// tumor necrosis factor receptor binding	extracellular space /// membrane /// integral to membrane
MAP3K8	1326	NM_005204	205027_s_at	0.000752172	0.093431282	-0.09267911	mitogen-activated protein kinase kinase kinase 8	---	---	protein amino acid phosphorylation /// protein amino acid phosphorylation	nucleotide binding /// protein kinase activity /// protein serine/threonine kinase activity /// protein serine/threonine kinase activity /// protein binding /// ATP binding /// kinase activity /// transferase activity	cytosol
MBP	4155	Contig42235_RC	210136_at	-0.04707674	0.020602808	-0.067679548	myelin basic protein	MAPK_Cascade	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_MAPK_Cascade/Hs_MAPK_Cascade.htm	immune response /// synaptic transmission /// central nervous system development /// axon ensheathment	structural molecule activity /// structural constituent of myelin sheath	---
MNDA	4332	NM_002432	204959_at	-0.126408646	0.09377315	-0.220181796	myeloid cell nuclear differentiation antigen	---	---	transcription /// regulation of transcription, DNA-dependent /// immune response /// cellular defense response	DNA binding	nucleus
MS4A1	931	X07203	210356_x_at	0.048339716	0.254904288	-0.206564572	membrane-spanning 4-domains, subfamily A, member 1	---	---	immune response /// signal transduction /// B cell activation	receptor activity /// receptor signaling protein activity	plasma membrane /// integral to plasma membrane /// membrane /// integral to membrane
MUC1	4582	NM_002456	207847_s_at	-0.248043658	0.101341018	-0.349384676	mucin 1, cell surface associated	---	---	---	actin binding /// hormone activity	extracellular region /// cytoskeleton /// integral to plasma membrane /// membrane /// integral to membrane
MX1	4599	NM_002462	202086_at	0.372604607	-0.03551917	0.408123777	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	---	---	induction of apoptosis /// defense response /// immune response /// signal transduction /// response to virus	nucleotide binding /// GTPase activity /// protein binding /// GTP binding /// GTP binding	cytoplasm
NEU1	2534	NM_002037	208926_at	0.020142504	-0.031647971	0.051790475	sialidase 1 (lysosomal sialidase)	---	---	metabolic process	exo-alpha-sialidase activity /// exo-alpha-sialidase activity /// protein binding /// hydrolase activity /// hydrolase activity, acting on glycosyl bonds	lysosome /// lysosome
OAS1	4938	NM_016816	202869_at	0.193812078	-0.083880382	0.27769246	2,5-oligoadenylate synthetase 1, 40/46kDa	---	---	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process /// immune response /// response to virus	RNA binding /// ATP binding /// transferase activity /// nucleotidyltransferase activity	cytoplasm
OAS2	4939	NM_016817	204972_at	0.219488357	0.052512777	0.16697558	2-5-oligoadenylate synthetase 2, 69/71kDa	---	---	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process /// RNA catabolic process /// immune response	2-5-oligoadenylate synthetase activity /// RNA binding /// ATP binding /// transferase activity /// nucleotidyltransferase activity	microsome /// membrane
OAS3	4940	NM_006187	218400_at	0.133666851	-0.054905719	0.18857257	2-5-oligoadenylate synthetase 3, 100kDa	---	---	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process /// immune response	RNA binding /// ATP binding /// transferase activity /// nucleotidyltransferase activity	microsome
PAK2	5062	NM_002577	208877_at	-0.047865279	-0.059810254	0.011944975	p21 (CDKN1A)-activated kinase 2	Integrin-mediated_cell_adhesion_KEGG /// Integrin-mediated_cell_adhesion_KEGG	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Integrin-mediated_cell_adhesion_KEGG/Hs_Integrin-mediated_cell_adhesion_KEGG.htm	translation /// protein amino acid phosphorylation /// protein amino acid phosphorylation /// protein amino acid phosphorylation /// negative regulation of protein kinase activity /// signal transduction /// protein amino acid autophosphorylation	nucleotide binding /// structural constituent of ribosome /// catalytic activity /// protein kinase activity /// protein kinase activity /// protein serine/threonine kinase activity /// protein serine/threonine kinase activity /// protein binding /// ATP binding /// kinase activity /// transferase activity /// identical protein binding	intracellular /// ribosome
PAK7	57144	AB033090	210721_s_at	0.065371603	0.052063216	0.013308387	p21(CDKN1A)-activated kinase 7	---	---	protein amino acid phosphorylation /// anti-apoptosis	nucleotide binding /// protein kinase activity /// protein serine/threonine kinase activity /// protein binding /// ATP binding /// kinase activity /// transferase activity	mitochondrion
PF4V1	5197	NM_002620	207815_at	0.060193969	0.050202879	0.00999109	platelet factor 4 variant 1	---	---	immune response	cytokine activity /// chemokine activity /// heparin binding	extracellular region
PIK3CD	5293	NM_005026	203879_at	-0.106901326	0.110105867	-0.217007193	phosphoinositide-3-kinase, catalytic, delta polypeptide	G13_Signaling_Pathway /// G13_Signaling_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G13_Signaling_Pathway/Hs_G13_Signaling_Pathway.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G13_Signaling_Pathway/Hs_G13_Signaling_Pathway.htm	protein amino acid phosphorylation /// signal transduction /// signal transduction	inositol or phosphatidylinositol kinase activity /// kinase activity /// 1-phosphatidylinositol-3-kinase activity /// 1-phosphatidylinositol-3-kinase activity /// transferase activity /// phosphotransferase activity, alcohol group as acceptor /// phosphatidylinositol-4,5-bisphosphate 3-kinase activity	phosphoinositide 3-kinase complex /// phosphoinositide 3-kinase complex
PLAUR	5329	NM_002659	214866_at	0.095060909	-0.057452741	0.15251365	plasminogen activator, urokinase receptor	---	---	cell motility /// chemotaxis /// signal transduction /// cell surface receptor linked signal transduction /// blood coagulation /// blood coagulation /// regulation of proteolysis	receptor activity /// receptor activity /// receptor activity /// protein binding /// enzyme binding /// U-plasminogen activator receptor activity /// U-plasminogen activator receptor activity /// GPI anchor binding	plasma membrane /// cell surface /// membrane /// integral to membrane /// extrinsic to membrane
PLG	5340	NM_000301	209977_at	-0.036936492	-0.056160088	0.019223596	plasminogen	Blood_Clotting_Cascade	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Blood_Clotting_Cascade/Hs_Blood_Clotting_Cascade.htm	proteolysis /// apoptosis /// induction of apoptosis /// induction of apoptosis /// blood coagulation /// blood coagulation /// negative regulation of cell proliferation /// tissue development /// negative regulation of angiogenesis /// tissue regeneration /// fibrinolysis /// negative regulation of blood vessel endothelial cell migration /// myoblast differentiation /// muscle maintenance	serine-type endopeptidase activity /// plasmin activity /// plasmin activity /// calcium ion binding /// protein binding /// peptidase activity /// hydrolase activity	extracellular space
PPP3CB	5532	M29551	209817_at	0.005759379	-0.036289811	0.04204919	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	---	---	regulation of progression through cell cycle /// transcription, DNA-dependent /// protein amino acid dephosphorylation /// transport /// signal transduction	phosphoprotein phosphatase activity /// protein serine/threonine phosphatase activity /// iron ion binding /// calcium ion binding /// calmodulin binding /// calmodulin binding /// ATP binding /// zinc ion binding /// ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism /// hydrolase activity /// hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances /// metal ion binding	calcineurin complex /// membrane
PRF1	5551	NM_005041	214617_at	-0.083976716	0.05983164	-0.143808356	perforin 1 (pore forming protein)	Apoptosis /// Apoptosis_GenMAPP	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis/Hs_Apoptosis.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis_GenMAPP/Hs_Apoptosis_GenMAPP.htm	apoptosis /// virus-infected cell apoptosis /// transformed cell apoptosis /// cellular defense response /// pathogenesis /// cytolysis /// hemolysis by symbiont of host red blood cells	calcium ion binding	cytosol /// membrane /// integral to membrane /// cytoplasmic membrane-bound vesicle
PRKACB	5567	NM_002731	202741_at	0.109311236	0.104190635	0.005120601	protein kinase, cAMP-dependent, catalytic, beta	Calcium_regulation_in_cardiac_cells /// Calcium_regulation_in_cardiac_cells /// G_Protein_Signaling /// G_Protein_Signaling /// Smooth_muscle_contraction /// Smooth_muscle_contraction	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Calcium_regulation_in_cardiac_cells/Hs_Calcium_regulation_in_cardiac_cells.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Calcium_regulation_in_cardiac_cells/Hs_Calcium_regulation_in_cardiac_cells.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G_Protein_Signaling/Hs_G_Protein_Signaling.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G_Protein_Signaling/Hs_G_Protein_Signaling.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Smooth_muscle_contraction/Hs_Smooth_muscle_contraction.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Smooth_muscle_contraction/Hs_Smooth_muscle_contraction.htm	protein amino acid phosphorylation /// protein amino acid phosphorylation /// signal transduction /// G-protein signaling, coupled to cAMP nucleotide second messenger	nucleotide binding /// magnesium ion binding /// protein kinase activity /// protein serine/threonine kinase activity /// cAMP-dependent protein kinase activity /// cAMP-dependent protein kinase activity /// ATP binding /// ATP binding /// kinase activity /// transferase activity	nucleus /// cAMP-dependent protein kinase complex
PRKCB1	5579	NM_002738	209685_s_at	-0.08079493	0.130160612	-0.210955541	protein kinase C, beta 1	Calcium_regulation_in_cardiac_cells /// G_Protein_Signaling /// Smooth_muscle_contraction /// Wnt_signaling	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Calcium_regulation_in_cardiac_cells/Hs_Calcium_regulation_in_cardiac_cells.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G_Protein_Signaling/Hs_G_Protein_Signaling.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Smooth_muscle_contraction/Hs_Smooth_muscle_contraction.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Wnt_signaling/Hs_Wnt_signaling.htm	protein amino acid phosphorylation /// protein amino acid phosphorylation /// calcium ion transport /// calcium ion homeostasis /// signal transduction /// intracellular signaling cascade	nucleotide binding /// protein kinase activity /// protein serine/threonine kinase activity /// protein kinase C activity /// protein kinase C activity /// calcium channel regulator activity /// calcium ion binding /// protein binding /// ATP binding /// zinc ion binding /// kinase activity /// transferase activity /// diacylglycerol binding /// metal ion binding	nucleus /// cytoplasm /// cytoplasm /// plasma membrane /// membrane
PSMB8	5696	NM_004159	209040_s_at	-0.07520897	-0.005711175	-0.069497795	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	Proteasome_Degradation	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm	proteolysis /// ubiquitin-dependent protein catabolic process /// immune response	endopeptidase activity /// threonine endopeptidase activity /// protein binding /// peptidase activity /// hydrolase activity	proteasome complex (sensu Eukaryota) /// cytosol /// proteasome core complex (sensu Eukaryota) /// protein complex
PSMB9	5698	NM_002800	204279_at	0.01347131	0.091337773	-0.077866462	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	Proteasome_Degradation /// Proteasome_Degradation	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm	carbohydrate metabolic process /// glycogen metabolic process /// proteolysis /// ubiquitin-dependent protein catabolic process /// immune response /// regulation of signal transduction /// antigen processing and presentation	endopeptidase activity /// threonine endopeptidase activity /// protein phosphatase inhibitor activity /// peptidase activity /// hydrolase activity /// phosphatase inhibitor activity	proteasome complex (sensu Eukaryota) /// cytosol /// proteasome core complex (sensu Eukaryota) /// protein complex
PSME2	5721	NM_002818	201762_s_at	0.055327738	-0.018035382	0.07336312	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	Proteasome_Degradation /// Proteasome_Degradation	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Proteasome_Degradation/Hs_Proteasome_Degradation.htm	immune response	proteasome activator activity	proteasome complex (sensu Eukaryota) /// cytosol /// proteasome activator complex /// protein complex
PTGER4	5734	Contig48572_RC	204897_at	-0.272880749	0.098181646	-0.371062394	prostaglandin E receptor 4 (subtype EP4)	GPCRDB_Class_A_Rhodopsin-like /// Prostaglandin_synthesis_regulation /// Small_ligand_GPCRs	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_GPCRDB_Class_A_Rhodopsin-like/Hs_GPCRDB_Class_A_Rhodopsin-like.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/metabolic_process-GenMAPP/Hs_Prostaglandin_synthesis_regulation/Hs_Prostaglandin_synthesis_regulation.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/molecular_function_GenMAPP/Hs_Small_ligand_GPCRs/Hs_Small_ligand_GPCRs.htm	immune response /// signal transduction /// G-protein coupled receptor protein signaling pathway /// G-protein signaling, coupled to cAMP nucleotide second messenger /// regulation of ossification	rhodopsin-like receptor activity /// signal transducer activity /// receptor activity /// G-protein coupled receptor activity /// prostaglandin receptor activity /// prostaglandin E receptor activity /// prostaglandin E receptor activity	membrane /// integral to membrane /// integral to membrane
PTPRC	5788	NM_002838	212588_at	-0.178500615	0.197827504	-0.376328118	protein tyrosine phosphatase, receptor type, C	---	---	negative regulation of T cell mediated cytotoxicity /// negative regulation of cytokine and chemokine mediated signaling pathway /// negative regulation of protein kinase activity /// negative regulation of protein kinase activity /// protein amino acid dephosphorylation /// protein amino acid dephosphorylation /// cell surface receptor linked signal transduction /// cell surface receptor linked signal transduction /// dephosphorylation /// dephosphorylation /// T cell differentiation /// B cell proliferation /// positive regulation of T cell proliferation /// positive regulation of protein kinase activity /// positive regulation of protein kinase activity /// T cell receptor signaling pathway /// T cell receptor signaling pathway /// B cell receptor signaling pathway /// positive regulation of antigen receptor-mediated signaling pathway /// release of sequestered calcium ion into cytosol /// defense response to virus /// regulation of cell cycle	phosphoprotein phosphatase activity /// protein tyrosine phosphatase activity /// protein tyrosine phosphatase activity /// receptor activity /// transmembrane receptor protein tyrosine phosphatase activity /// transmembrane receptor protein tyrosine phosphatase activity /// hydrolase activity /// phosphoric monoester hydrolase activity /// protein kinase binding /// protein kinase binding	integral to plasma membrane /// integral to plasma membrane /// focal adhesion /// membrane /// integral to membrane
RGS1	5996	NM_002922	216834_at	-0.059928167	-0.036169181	-0.023758986	regulator of G-protein signalling 1	Calcium_regulation_in_cardiac_cells /// Smooth_muscle_contraction	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Calcium_regulation_in_cardiac_cells/Hs_Calcium_regulation_in_cardiac_cells.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Smooth_muscle_contraction/Hs_Smooth_muscle_contraction.htm	immune response /// signal transduction /// G-protein signaling, adenylate cyclase inhibiting pathway /// negative regulation of signal transduction	signal transducer activity /// GTPase activator activity /// calmodulin binding	plasma membrane
SEMA3C	10512	NM_006379	203789_s_at	-0.244358291	-0.012241879	-0.232116413	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	---	---	immune response /// transmembrane receptor protein tyrosine kinase signaling pathway /// multicellular organismal development /// response to drug	semaphorin receptor binding	extracellular space
SERPING1	710	NM_000062	200986_at	-0.313450138	0.022675708	-0.336125846	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	---	---	immune response /// complement activation, classical pathway /// blood coagulation /// circulation /// innate immune response	endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity /// serine-type endopeptidase inhibitor activity	extracellular region
SOS2	6655		211665_s_at	-0.039196516	0.029557828	-0.068754344	son of sevenless homolog 2 (Drosophila)	---	---	small GTPase mediated signal transduction /// small GTPase mediated signal transduction /// regulation of Rho protein signal transduction /// regulation of small GTPase mediated signal transduction	DNA binding /// guanyl-nucleotide exchange factor activity /// guanyl-nucleotide exchange factor activity /// Ras guanyl-nucleotide exchange factor activity /// Rho guanyl-nucleotide exchange factor activity /// protein binding	intracellular
SP2	6668	NM_003110	204367_at	-0.047153411	-0.006699142	-0.040454269	Sp2 transcription factor	---	---	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription from RNA polymerase II promoter /// immune response	nucleic acid binding /// DNA binding /// RNA polymerase II transcription factor activity /// zinc ion binding /// metal ion binding	intracellular /// nucleus
SPARC	6678	NM_003118	212667_at	-0.178980503	0.067912786	-0.24689329	secreted protein, acidic, cysteine-rich (osteonectin)	---	---	ossification /// transmembrane receptor protein tyrosine kinase signaling pathway	copper ion binding /// calcium ion binding /// calcium ion binding /// collagen binding	extracellular region /// proteinaceous extracellular matrix /// proteinaceous extracellular matrix /// basement membrane
STAT4	6775	NM_003151	206118_at	-0.023715721	0.01957981	-0.043295531	signal transducer and activator of transcription 4	---	---	transcription /// regulation of transcription, DNA-dependent /// regulation of transcription from RNA polymerase II promoter /// signal transduction /// intracellular signaling cascade /// JAK-STAT cascade /// cell proliferation /// cytokine and chemokine mediated signaling pathway	DNA binding /// transcription factor activity /// transcription factor activity /// signal transducer activity /// calcium ion binding /// protein binding	nucleus
TAP1	6890	NM_000593	202307_s_at	0.137542232	0.105244526	0.032297706	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	DNA_replication_Reactome /// G1_to_S_cell_cycle_Reactome	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_DNA_replication_Reactome/Hs_DNA_replication_Reactome.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_G1_to_S_cell_cycle_Reactome/Hs_G1_to_S_cell_cycle_Reactome.htm	transcription /// translation /// transport /// oligopeptide transport /// defense response /// immune response /// protein transport /// peptide transport	nucleotide binding /// DNA binding /// transporter activity /// protein binding /// ATP binding /// oligopeptide transporter activity /// ATPase activity /// nucleoside-triphosphatase activity /// ATPase activity, coupled to transmembrane movement of substances /// protein heterodimerization activity	nucleus /// cytoplasm /// endoplasmic reticulum /// nascent polypeptide-associated complex /// membrane /// integral to membrane /// integral to membrane
TFRC	7037	NM_003234	208691_at	0.034820228	-0.136131612	0.170951839	transferrin receptor (p90, CD71)	---	---	iron ion transport /// iron ion homeostasis /// iron ion homeostasis /// iron ion homeostasis /// endocytosis	receptor activity /// transferrin receptor activity /// transferrin receptor activity	extracellular region /// endosome /// endosome /// plasma membrane /// integral to plasma membrane /// membrane /// membrane /// integral to membrane /// cytoplasmic membrane-bound vesicle /// perinuclear region of cytoplasm
TGFBR3	7049	NM_003243	204731_at	-0.233600188	0.24891691	-0.482517098	transforming growth factor, beta receptor III	TGF_Beta_Signaling_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_TGF_Beta_Signaling_Pathway/Hs_TGF_Beta_Signaling_Pathway.htm	signal transduction /// transforming growth factor beta receptor signaling pathway /// multicellular organismal development	receptor activity /// glycosaminoglycan binding	membrane /// integral to membrane /// integral to membrane
THBS2	7058	NM_003247	203083_at	0.052099552	0.024455405	0.027644147	thrombospondin 2	---	---	cell adhesion	structural molecule activity /// calcium ion binding /// protein binding /// heparin binding /// heparin binding	extracellular region /// proteinaceous extracellular matrix
THY1	7070	NM_006288	208850_s_at	0.008309363	0.019794137	-0.011484774	Thy-1 cell surface antigen	---	---	angiogenesis /// negative regulation of protein kinase activity /// cytoskeleton organization and biogenesis /// cell-cell adhesion /// negative regulation of cell migration /// negative regulation of apoptosis /// positive regulation of GTPase activity /// mast cell activation /// retinal cone cell development /// focal adhesion formation /// negative regulation of fibroblast proliferation /// positive regulation of peptidyl-tyrosine phosphorylation /// negative regulation of axonogenesis /// T cell receptor signaling pathway /// negative regulation of T cell receptor signaling pathway /// positive regulation of T cell activation /// positive regulation of release of sequestered calcium ion into cytosol	Rho GTPase activator activity /// integrin binding /// protein binding /// GPI anchor binding /// GPI anchor binding	endoplasmic reticulum /// cytosol /// plasma membrane /// plasma membrane /// integral to plasma membrane /// external side of plasma membrane /// membrane /// growth cone /// lipid raft /// lipid raft
TNFRSF17	608	NM_001192	206641_at	-0.030111507	0.239951207	-0.270062715	tumor necrosis factor receptor superfamily, member 17	Inflammatory_Response_Pathway	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/physiological_process-GenMAPP/Hs_Inflammatory_Response_Pathway/Hs_Inflammatory_Response_Pathway.htm	immune response /// signal transduction /// multicellular organismal development /// cell proliferation	receptor activity /// receptor activity /// interleukin-2 receptor binding /// protein binding /// growth factor activity	extracellular region /// plasma membrane /// membrane /// integral to membrane /// integral to membrane
TNFSF10	8743	NM_003810	202688_at	-0.33790696	0.113404248	-0.451311208	tumor necrosis factor (ligand) superfamily, member 10	Apoptosis /// Apoptosis_GenMAPP	http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis/Hs_Apoptosis.htm /// http://www.genmapp.org/HTML_MAPPs/Human/Hs_Contributed_20051123/cellular_process-GenMAPP/Hs_Apoptosis_GenMAPP/Hs_Apoptosis_GenMAPP.htm	apoptosis /// induction of apoptosis /// immune response /// signal transduction /// cell-cell signaling /// positive regulation of I-kappaB kinase/NF-kappaB cascade	signal transducer activity /// receptor binding /// cytokine activity /// tumor necrosis factor receptor binding /// zinc ion binding /// metal ion binding	extracellular space /// soluble fraction /// integral to plasma membrane /// membrane /// integral to membrane
