Genesymbol	Sequence description	Fold change	P-value
GPR19	Homo sapiens G protein-coupled receptor 19 (GPR19), mRNA [NM_006143]	2.22	1.90E-16
A_32_P162322	Unknown	2.22	2.65E-07
KIAA1957	KIAA1957	2.22	5.16E-31
FLJ22595	Homo sapiens hypothetical protein FLJ22595 (FLJ22595), mRNA [NM_025047]	2.21	0.00066
LOC55971	Homo sapiens insulin receptor tyrosine kinase substrate (LOC55971), mRNA [NM_018842]	2.21	1.26E-06
ENST00000324928	Homo sapiens cDNA clone MGC:40177 IMAGE:5167345, complete cds. [BC028123]	2.21	3.17E-10
ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2	2.21	0.00363
CHCHD6	Homo sapiens coiled-coil-helix-coiled-coil-helix domain containing 6 (CHCHD6), mRNA [NM_032343]	2.21	5.48E-32
DPEP2	Homo sapiens dipeptidase 2 (DPEP2), mRNA [NM_022355]	2.21	8.85E-29
FLJ32752	Homo sapiens hypothetical protein FLJ32752 (FLJ32752), mRNA [NM_144666]	2.21	5.25E-42
C6orf33	Homo sapiens chromosome 6 open reading frame 33 (C6orf33), mRNA [NM_133367]	2.2	7.80E-32
PROS1	Homo sapiens protein S (alpha) (PROS1), mRNA [NM_000313]	2.2	6.61E-16
PPFIBP2	Homo sapiens PTPRF interacting protein, binding protein 2 (liprin beta 2) (PPFIBP2), mRNA [NM_003621]	2.2	1.11E-41
DEXI	MYLE protein	2.2	8.51E-31
PEBP4	Homo sapiens phosphatidylethanolamine-binding protein 4 (PEBP4), mRNA [NM_144962]	2.2	1.82E-16
TNFRSF11A	Homo sapiens tumor necrosis factor receptor superfamily, member 11a, activator of NFKB (TNFRSF11A), mRNA [NM_003839]	2.2	4.75E-09
LOC341346	Hypothetical LOC341346	2.2	1.06E-10
GPR155	G protein-coupled receptor 155	2.2	5.77E-07
C21orf63	Homo sapiens chromosome 21 open reading frame 63 (C21orf63), mRNA [NM_058187]	2.2	0.0021
DEAF1	Homo sapiens deformed epidermal autoregulatory factor 1 (Drosophila) (DEAF1), mRNA [NM_021008]	2.19	6.71E-38
ZNF77	Homo sapiens zinc finger protein 77 (pT1) (ZNF77), mRNA [NM_021217]	2.19	1.31E-14
ACP6	Homo sapiens acid phosphatase 6, lysophosphatidic (ACP6), mRNA [NM_016361]	2.19	6.59E-25
IQSEC1	Homo sapiens IQ motif and Sec7 domain 1 (IQSEC1), mRNA [NM_014869]	2.19	1.97E-17
A_23_P435390	Unknown	2.18	2.61E-08
NAP1L5	Nucleosome assembly protein 1-like 5	2.18	7.87E-32
C9orf67	Homo sapiens chromosome 9 open reading frame 67 (C9orf67), mRNA [NM_032728]	2.18	1.36E-07
THC2525505	Unknown	2.18	0.00001
CD72	Homo sapiens CD72 antigen (CD72), mRNA [NM_001782]	2.17	8.86E-42
CCL3	Homo sapiens chemokine (C-C motif) ligand 3 (CCL3), mRNA [NM_002983]	2.17	5.05E-25
ENST00000272035	tubulin, beta 8 [Source:RefSeq_peptide;Acc:NP_817124] [ENST00000272035]	2.17	0.00043
ZNF563	Homo sapiens zinc finger protein 563 (ZNF563), mRNA [NM_145276]	2.17	1.47E-21
STS	Homo sapiens steroid sulfatase (microsomal), arylsulfatase C, isozyme S (STS), mRNA [NM_000351]	2.16	0.00107
GLT8D2	Homo sapiens gycosyltransferase (LOC83468), mRNA [NM_031302]	2.16	1.32E-06
GARP	Homo sapiens glycoprotein A repetitions predominant (GARP), mRNA [NM_005512]	2.16	2.91E-07
PPP1R16B	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 16B (PPP1R16B), mRNA [NM_015568]	2.16	1.43E-21
THC2642650	ALU7_HUMAN (P39194) Alu subfamily SQ sequence contamination warning entry, partial (7%) [THC2642650]	2.16	7.82E-18
SNED1	DKFZP586B2420 protein	2.16	0.00046
PCGF4	Homo sapiens polycomb group ring finger 4 (PCGF4), mRNA [NM_005180]	2.15	7.49E-11
FLJ34389	Homo sapiens hypothetical protein FLJ34389 (FLJ34389), mRNA [NM_152649]	2.15	6.68E-08
ENST00000371207	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (NTPDase 1) (Ecto-ATP diphosphohydrolase) (ATPDase) (Lymphoid cell activation antigen) (Ecto-apyrase) (CD39 antigen). [Source:Uniprot/SWISSPROT;Acc:P49961] [ENST00000371207]	2.15	5.89E-10
BATF	Homo sapiens basic leucine zipper transcription factor, ATF-like (BATF), mRNA [NM_006399]	2.15	2.12E-29
PCANAP5	Transmembrane protein 16G	2.15	5.15E-06
SIRPA	Homo sapiens signal-regulatory protein alpha (SIRPA), transcript variant 1, mRNA [NM_001040022]	2.14	2.70E-08
PPIL6	Homo sapiens peptidylprolyl isomerase (cyclophilin)-like 6 (PPIL6), mRNA [NM_173672]	2.14	2.29E-13
ZBTB10	Homo sapiens zinc finger and BTB domain containing 10 (ZBTB10), mRNA [NM_023929]	2.14	2.34E-31
AP2A2	Homo sapiens adaptor-related protein complex 2, alpha 2 subunit (AP2A2), mRNA [NM_012305]	2.14	6.27E-18
ATP6V1G3	Homo sapiens ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 3 (ATP6V1G3), transcript variant 2, mRNA [NM_133326]	2.14	0.00014
DUSP27	Novel protein. [Source:Uniprot/SPTREMBL;Acc:Q5VZP5] [ENST00000361200]	2.14	0.00001
SLC6A13	Homo sapiens solute carrier family 6 (neurotransmitter transporter, GABA), member 13 (SLC6A13), mRNA [NM_016615]	2.14	0.00471
IFITM1	Homo sapiens interferon induced transmembrane protein 1 (9-27) (IFITM1), mRNA [NM_003641]	2.13	2.80E-10
KLHDC1	Homo sapiens kelch domain containing 1 (KLHDC1), mRNA [NM_172193]	2.13	3.55E-20
ITPKA	Homo sapiens inositol 1,4,5-trisphosphate 3-kinase A (ITPKA), mRNA [NM_002220]	2.13	3.58E-16
ENST00000332902	Unknown	2.13	7.78E-07
FLJ23598	Homo sapiens hypothetical protein FLJ23598 (FLJ23598), mRNA [NM_024783]	2.12	9.40E-12
EVI2B	Ecotropic viral integration site 2B	2.12	0.00002
IKZF2	Homo sapiens IKAROS family zinc finger 2 (Helios) (IKZF2), transcript variant 2, mRNA [NM_001079526]	2.11	7.13E-13
RHOU	Homo sapiens ras homolog gene family, member U (RHOU), mRNA [NM_021205]	2.11	1.28E-23
ENST00000357303	CDNA FLJ37034 fis, clone BRACE2011478 (Hypothetical protein FLJ37034). [Source:Uniprot/SPTREMBL;Acc:Q8N9J7] [ENST00000357303]	2.11	3.40E-16
BX118699	Transcribed locus	2.11	1.85E-28
PITPNM2	Homo sapiens phosphatidylinositol transfer protein, membrane-associated 2 (PITPNM2), mRNA [NM_020845]	2.11	7.09E-21
TEAD2	Homo sapiens TEA domain family member 2 (TEAD2), mRNA [NM_003598]	2.1	5.46E-11
SEPP1	Selenoprotein P, plasma, 1	2.1	0.0019
FBXO30	F-box protein 30	2.1	6.96E-11
AK095259	Homo sapiens cDNA FLJ37940 fis, clone CTONG2007779. [AK095259]	2.09	0.00141
PLA2G4C	Homo sapiens phospholipase A2, group IVC (cytosolic, calcium-independent) (PLA2G4C), mRNA [NM_003706]	2.09	3.52E-33
BMI1	B lymphoma Mo-MLV insertion region (mouse)	2.09	2.15E-31
RFFL	Homo sapiens fring (RFFL), mRNA [NM_057178]	2.09	4.19E-14
CNR2	Cannabinoid receptor 2 (CB2) (CB-2) (CX5). [Source:Uniprot/SWISSPROT;Acc:P34972] [ENST00000374472]	2.09	1.00E-20
CA433167	Transcribed locus	2.09	4.02E-10
LOC112476	Homo sapiens similar to lymphocyte antigen 6 complex, locus G5B; G5b protein; open reading frame 31 (LOC112476), mRNA [NM_145239]	2.09	0.00141
ZNF382	Homo sapiens zinc finger protein 382 (ZNF382), mRNA [NM_032825]	2.09	3.65E-24
C20orf160	Homo sapiens chromosome 20 open reading frame 160 (C20orf160), mRNA [NM_080625]	2.09	1.34E-11
ENST00000323556	PREDICTED: Homo sapiens similar to Activated RNA polymerase II transcriptional coactivator p15 (SUB1 homolog) (Positive cofactor 4) (PC4) (p14) (LOC730602), mRNA [XM_001126493]	2.08	3.06E-11
MIC2	CD99 molecule	2.08	5.30E-39
CD151	Homo sapiens CD151 antigen (CD151), transcript variant 1, mRNA [NM_004357]	2.08	1.31E-17
	Immunoglobulin lambda locus	2.08	1.71E-08
SBF2	Homo sapiens SET binding factor 2 (SBF2), mRNA [NM_030962]	2.07	8.31E-16
NEIL2	Homo sapiens nei like 2 (E. coli) (NEIL2), mRNA [NM_145043]	2.07	1.92E-12
CD24	CD24 molecule	2.07	3.69E-26
HLADRB6	Homo sapiens major histocompatibility complex, class II, DR beta 6 (pseudogene) (HLA-DRB6) on chromosome 6.	2.07	7.88E-08
PAGE5	P antigen family, member 5 (prostate associated)	2.07	0.00027
LOC124976	Hypothetical protein LOC124976	2.06	1.29E-30
DFNB31	Homo sapiens deafness, autosomal recessive 31 (DFNB31), mRNA [NM_015404]	2.06	6.63E-26
NR2F1	Homo sapiens nuclear receptor subfamily 2, group F, member 1 (NR2F1), mRNA [NM_005654]	2.06	1.13E-06
SIRT3	Homo sapiens sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae) (SIRT3), mRNA [NM_012239]	2.06	6.47E-07
LYST	Homo sapiens lysosomal trafficking regulator (LYST), transcript variant 1, mRNA [NM_000081]	2.06	2.03E-11
TMEM27	Homo sapiens transmembrane protein 27 (TMEM27), mRNA [NM_020665]	2.06	0.00025
C19orf36	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 3, mRNA [NM_001039846]	2.06	5.14E-18
AQP11	Homo sapiens aquaporin 11 (AQP11), mRNA [NM_173039]	2.06	4.82E-09
MGC1203	Homo sapiens hypothetical protein MGC1203 (MGC1203), mRNA [NM_024296]	2.06	3.40E-16
AMMECR1	Homo sapiens Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region, gene 1 (AMMECR1), mRNA [NM_015365]	2.06	4.21E-07
TCL1A	Homo sapiens T-cell leukemia/lymphoma 1A (TCL1A), mRNA [NM_021966]	2.06	9.33E-19
SNFT	Homo sapiens Jun dimerization protein p21SNFT (SNFT), mRNA [NM_018664]	2.05	0.0019
AEBP1	Homo sapiens AE binding protein 1 (AEBP1), mRNA [NM_001129]	2.05	2.49E-21
VDR	Vitamin D (1,25- dihydroxyvitamin D3) receptor	2.05	5.81E-10
CR594711	Full-length cDNA clone CS0DI011YD16 of Placenta Cot 25-normalized of Homo sapiens (human)	2.05	8.79E-07
MFI2	Antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	2.05	0.00011
ZBED2	hypothetical protein MGC10796	2.05	0.00009
THC2655900	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (7%) [THC2655900]	2.04	0.00449
RHOF	Homo sapiens ras homolog gene family, member F (in filopodia) (RHOF), mRNA [NM_019034]	2.04	8.34E-16
FLJ33620	Homo sapiens hypothetical protein FLJ33620 (FLJ33620), mRNA [NM_178824]	2.04	0.0035
TIMP1	TIMP metallopeptidase inhibitor 1	2.04	0.00012
RRAGD	Homo sapiens Ras-related GTP binding D (RRAGD), mRNA [NM_021244]	2.03	3.12E-17
LITAF	Homo sapiens lipopolysaccharide-induced TNF factor (LITAF), mRNA [NM_004862]	2.03	1.40E-12
IFITM2	Interferon induced transmembrane protein 2 (1-8D)	2.03	6.39E-09
TALDO1	Homo sapiens transaldolase 1 (TALDO1), mRNA [NM_006755]	2.03	8.60E-11
SMPD3	Homo sapiens sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II) (SMPD3), mRNA [NM_018667]	2.03	8.10E-33
FLJ32871	Homo sapiens hypothetical protein FLJ32871 (FLJ32871), mRNA [NM_144674]	2.03	1.31E-09
LY75	Homo sapiens lymphocyte antigen 75 (LY75), mRNA [NM_002349]	2.03	0.00165
TNNI2	Troponin I type 2 (skeletal, fast)	2.02	2.28E-31
A_23_P149270	Unknown	2.02	2.64E-09
THC2713266	Unknown	2.02	1.70E-19
CYP1A1	Homo sapiens cytochrome P450, family 1, subfamily A, polypeptide 1 (CYP1A1), mRNA [NM_000499]	2.02	0.00188
KLF6	Krueppel-like factor 6 (Core promoter element-binding protein) (B- cell-derived protein 1) (Proto-oncogene BCD1) (Transcription factor Zf9) (GC-rich sites-binding factor GBF). [Source:Uniprot/SWISSPROT;Acc:Q99612] [ENST00000380960]	2.02	5.57E-09
ARHN	Homo sapiens ras homolog gene family, member N (ARHN), mRNA [NM_005440]	2.02	1.60E-12
KIAA0934	Homo sapiens KIAA0934 (KIAA0934), mRNA [NM_014974]	2.01	6.77E-07
EVI2A	Ecotropic viral integration site 2A	2.01	2.56E-30
CD58	Homo sapiens CD58 antigen, (lymphocyte function-associated antigen 3) (CD58), mRNA [NM_001779]	2.01	1.55E-20
WNT10B	Homo sapiens wingless-type MMTV integration site family, member 10B (WNT10B), mRNA [NM_003394]	2.01	3.69E-11
AL832253	Homo sapiens mRNA; cDNA DKFZp667C1617 (from clone DKFZp667C1617). [AL832253]	2.01	2.31E-07
LOC123862	PREDICTED: Homo sapiens similar to Interferon-induced transmembrane protein 3 (Interferon-inducible protein 1-8U) (LOC123862), mRNA [XR_017225]	2.01	0.00002
PLXNC1	Plexin C1	2.01	2.62E-08
ABCA3	Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 3 (ABCA3), mRNA [NM_001089]	2.01	1.75E-14
FBXL14	Homo sapiens F-box and leucine-rich repeat protein 14 (FBXL14), mRNA [NM_152441]	2	1.30E-14
ABCC8	Homo sapiens ATP-binding cassette, sub-family C (CFTR/MRP), member 8 (ABCC8), mRNA [NM_000352]	2	0.00004
AF086547	Full length insert cDNA clone ZE12B03	2	6.19E-16
A_24_P315774	Unknown	2	2.71E-12
CYCS	Homo sapiens cytochrome c, somatic (CYCS), nuclear gene encoding mitochondrial protein, mRNA [NM_018947]	-2	0.0001
THC2647388	Q4TD86_TETNG (Q4TD86) Chromosome undetermined SCAF6431, whole genome shotgun sequence. (Fragment), partial (9%) [THC2647388]	-2	1.04E-10
IL6	Homo sapiens interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]	-2.01	1.05E-12
FLJ11142	Homo sapiens hypothetical protein FLJ11142 (FLJ11142), mRNA [NM_018338]	-2.01	9.81E-10
THC2668193	Unknown	-2.01	2.50E-08
AJ318805	CDNA FLJ44429 fis, clone UTERU2015653	-2.01	2.35E-06
LBC	A kinase (PRKA) anchor protein 13	-2.01	0.00002
POU2AF1	Homo sapiens POU domain, class 2, associating factor 1 (POU2AF1), mRNA [NM_006235]	-2.02	0.00006
CA945082	Transcribed locus	-2.02	0.00033
AP3D1	Homo sapiens adaptor-related protein complex 3, delta 1 subunit (AP3D1), mRNA [NM_003938]	-2.02	2.27E-06
DKFZP564C196	DKFZP564C196 protein	-2.02	0.00049
THC2745859	Unknown	-2.02	5.82E-08
THC2746807	ALU5_HUMAN (P39192) Alu subfamily SC sequence contamination warning entry, partial (12%) [THC2746807]	-2.03	2.71E-06
AF339799	Homo sapiens clone IMAGE:2363394, mRNA sequence. [AF339799]	-2.03	1.24E-12
THC2671575	Unknown	-2.03	2.76E-11
7A5	Homo sapiens putative binding protein 7a5 (7A5), mRNA [NM_182762]	-2.03	4.29E-10
FOXD2	Homo sapiens forkhead box D2 (FOXD2), mRNA [NM_004474]	-2.03	1.06E-13
THC2512199	Unknown	-2.03	0.00001
DLG2	Homo sapiens discs, large homolog 2, chapsyn-110 (Drosophila) (DLG2), mRNA [NM_001364]	-2.03	1.03E-10
CYP19A1	Homo sapiens cytochrome P450, family 19, subfamily A, polypeptide 1 (CYP19A1), transcript variant 2, mRNA [NM_031226]	-2.04	0.00021
FLJ33641	Homo sapiens hypothetical protein FLJ33641 (FLJ33641), mRNA [NM_152687]	-2.04	0.00007
BRI3BP	BRI3-binding protein (I3-binding protein) (Cervical cancer 1 proto- oncogene-binding protein KG19) (HCCR-1). [Source:Uniprot/SWISSPROT;Acc:Q8WY22] [ENST00000332107]	-2.04	4.97E-27
HES1	Homo sapiens hairy and enhancer of split 1, (Drosophila) (HES1), mRNA [NM_005524]	-2.05	4.45E-19
ARL13B	ADP-ribosylation factor-like 13B	-2.05	5.79E-26
PCDH9	Homo sapiens protocadherin 9 (PCDH9), transcript variant 1, mRNA [NM_203487]	-2.05	9.25E-08
RIF1	Homo sapiens RAP1 interacting factor homolog (yeast) (RIF1), mRNA [NM_018151]	-2.05	2.07E-27
PTPRC	Protein tyrosine phosphatase, receptor type, C	-2.05	9.96E-08
AF103312	Immunoglobulin heavy chain variable region (clone Tmu25)	-2.05	0.0002
ID1	Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	-2.06	4.04E-07
ENST00000354689	Homo sapiens immunoglobulin heavy chain mRNA, partial cds. [AY505570]	-2.06	0.00147
AA132288	zo27h09.r1 Stratagene colon (#937204) Homo sapiens cDNA clone IMAGE:588161 5, mRNA sequence.	-2.06	3.19E-08
FNDC1	KIAA1866 protein	-2.07	3.94E-10
ACTL8	actin like protein	-2.07	0.00184
A_24_P799680	Unknown	-2.07	0.00039
FLJ22457	Homo sapiens hypothetical protein FLJ22457 (FLJ22457), mRNA [NM_024901]	-2.08	1.15E-22
THC2651958	BX324349 BX324349 Homo sapiens T CELLS (JURKAT CELL LINE) COT 10-NORMALIZED Homo sapiens cDNA clone CS0DJ008YO15 5-PRIME, mRNA sequence [BX324349]	-2.08	2.60E-17
ACSBG2	hypothetical protein PRTD-NY3	-2.08	1.23E-11
THC2753968	Unknown	-2.08	1.42E-08
AF15Q14	Homo sapiens AF15q14 protein (AF15Q14), mRNA [NM_170589]	-2.08	1.04E-06
POLR3E	hypothetical protein FLJ10509	-2.09	2.96E-06
BF939304	CDNA FLJ34311 fis, clone FEBRA2008255	-2.09	0.00029
FLJ30668	Homo sapiens hypothetical protein FLJ30668 (FLJ30668), mRNA [NM_153015]	-2.1	2.62E-15
THC2758094	Unknown	-2.1	6.42E-07
KIAA1509	CDNA FLJ12531 fis, clone NT2RM4000199. [Source:Uniprot/SPTREMBL;Acc:Q9H9V0] [ENST00000389856]	-2.1	0.00005
SLC16A4	Solute carrier family 16 (monocarboxylic acid transporters), member 4	-2.11	1.47E-09
ZNF162	Splicing factor 1	-2.11	8.51E-07
ITGA6	Homo sapiens integrin, alpha 6 (ITGA6), mRNA [NM_000210]	-2.11	7.99E-09
HNRPLL	Heterogeneous nuclear ribonucleoprotein L-like	-2.11	4.84E-19
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	-2.11	0.00034
EP400	Homo sapiens E1A binding protein p400 (EP400), mRNA [NM_015409]	-2.11	3.42E-06
DNHD2	Dynein heavy chain domain 2	-2.12	0.00064
PRO1776	hypothetical protein PRO1776	-2.12	0.00013
ITGAL	Homo sapiens integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) (ITGAL), mRNA [NM_002209]	-2.12	0.00029
KIAA1446	Homo sapiens brain-enriched guanylate kinase-associated protein (KIAA1446), mRNA [NM_020836]	-2.12	1.83E-12
FBXO4	Homo sapiens F-box protein 4 (FBXO4), transcript variant 1, mRNA [NM_012176]	-2.13	1.55E-07
MAT1A	Homo sapiens methionine adenosyltransferase I, alpha (MAT1A), mRNA [NM_000429]	-2.13	0.00003
CDC2L1	Cell division cycle 2-like 2 (PITSLRE proteins)	-2.13	3.35E-15
HSPA5	Homo sapiens heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) (HSPA5), mRNA [NM_005347]	-2.13	0.00259
A_32_P227648	Unknown	-2.14	1.53E-13
A_32_P173922	Unknown	-2.14	1.69E-10
KBTBD3	Homo sapiens kelch repeat and BTB (POZ) domain containing 3 (KBTBD3), transcript variant 2, mRNA [NM_198439]	-2.14	5.09E-07
THC2505910	Q98D23_RHILO (Q98D23) Transcriptional activator; glycine cleavage system transcription activator; GcvA, partial (5%) [THC2505910]	-2.14	6.84E-10
JAK1	Homo sapiens Janus kinase 1 (a protein tyrosine kinase) (JAK1), mRNA [NM_002227]	-2.15	7.97E-13
MGC15937	Homo sapiens similar to RIKEN cDNA 0610008P16 gene (MGC15937), mRNA [NM_080661]	-2.15	4.25E-14
STXBP6	Homo sapiens syntaxin binding protein 6 (amisyn) (STXBP6), mRNA [NM_014178]	-2.15	3.63E-12
WDR35	KIAA1336 protein	-2.15	3.92E-11
RASAL2	Homo sapiens RAS protein activator like 2 (RASAL2), transcript variant 2, mRNA [NM_170692]	-2.15	4.46E-07
A_32_P130217	Unknown	-2.15	2.48E-06
ABI3BP	Homo sapiens ABI gene family, member 3 (NESH) binding protein (ABI3BP), mRNA [NM_015429]	-2.16	0.00001
MYH10	Homo sapiens myosin, heavy polypeptide 10, non-muscle (MYH10), mRNA [NM_005964]	-2.16	0.00061
ITSN2	Intersectin 2	-2.17	2.71E-17
SNRK	Homo sapiens SNF-1 related kinase (SNRK), mRNA [NM_017719]	-2.17	2.60E-18
CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	-2.18	1.00E-25
LAF4	Homo sapiens lymphoid nuclear protein related to AF4 (LAF4), mRNA [NM_002285]	-2.18	0.00465
ALS2CR19	Homo sapiens amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 19 (ALS2CR19), transcript variant a, mRNA [NM_205863]	-2.19	5.49E-09
ENST00000361266	Ig gamma-1 chain C region. [Source:Uniprot/SWISSPROT;Acc:P01857] [ENST00000361266]	-2.19	7.42E-08
AK057704	Homo sapiens cDNA FLJ33142 fis, clone UTERU1000192.	-2.19	5.02E-29
FPR1	Homo sapiens formyl peptide receptor 1 (FPR1), mRNA [NM_002029]	-2.19	0.00032
MRPS27	Mitochondrial ribosomal protein S27	-2.19	4.23E-13
CSRP2	Homo sapiens cysteine and glycine-rich protein 2 (CSRP2), mRNA [NM_001321]	-2.19	1.56E-07
ENST00000319327	serine incorporator 4 [Source:RefSeq_peptide;Acc:NP_001028689] [ENST00000319327]	-2.2	3.80E-07
A_24_P747419	Unknown	-2.2	1.84E-21
VCX2	variable charge protein on X with two repeats	-2.2	5.69E-32
WDR9	Bromodomain and WD repeat domain containing 1	-2.2	1.87E-30
THC2607363	Unknown	-2.2	1.15E-20
PRPH	Peripherin	-2.21	0.00002
AK054684	CDNA clone IMAGE:5275948	-2.21	1.76E-17
MDH1B	Homo sapiens malate dehydrogenase 1B, NAD (soluble) (MDH1B), mRNA [NM_001039845]	-2.21	6.23E-06
A_32_P221641	Unknown	-2.21	1.36E-08
FGD2	FYVE, RhoGEF and PH domain containing 2	-2.21	1.56E-09
GUCY2C	Homo sapiens guanylate cyclase 2C (heat stable enterotoxin receptor) (GUCY2C), mRNA [NM_004963]	-2.21	1.39E-09
PIK3CG	Homo sapiens phosphoinositide-3-kinase, catalytic, gamma polypeptide (PIK3CG), mRNA [NM_002649]	-2.22	1.63E-20
RAB11FIP2	Homo sapiens RAB11 family interacting protein 2 (class I) (RAB11FIP2), mRNA [NM_014904]	-2.22	2.35E-27
DKFZp761E198	Homo sapiens hypothetical protein DKFZp761E198 (DKFZp761E198), mRNA [NM_138368]	-2.22	2.73E-16
HLAE	Major histocompatibility complex, class I, E	-2.22	1.38E-24
THC2645667	ALU6_HUMAN (P39193) Alu subfamily SP sequence contamination warning entry, partial (23%) [THC2645667]	-2.23	2.90E-10
LOC90668	Homo sapiens hypothetical protein BC008134 (LOC90668), mRNA [NM_138360]	-2.23	7.29E-12
AK026718	CDNA: FLJ23065 fis, clone LNG04894	-2.23	3.40E-16
THC2757796	BE007076 PM3-BN0137-290300-002-g09 BN0137 Homo sapiens cDNA, mRNA sequence [BE007076]	-2.23	6.21E-08
LOC731479	CDNA FLJ43983 fis, clone TESTI4018881. [Source:Uniprot/SPTREMBL;Acc:Q6ZU57] [ENST00000360524]	-2.23	4.71E-32
LPP	LIM domain containing preferred translocation partner in lipoma	-2.24	2.53E-09
THC2550882	CN370765 17000424186916 GRN_EB Homo sapiens cDNA 5, mRNA sequence [CN370765]	-2.25	2.82E-07
TGFB1I4	Homo sapiens transforming growth factor beta 1 induced transcript 4 (TGFB1I4), transcript variant 1, mRNA [NM_183422]	-2.25	5.98E-11
KIAA1900	Homo sapiens KIAA1900 (KIAA1900), mRNA [NM_052904]	-2.26	8.29E-38
ZHX2	KIAA0854 protein	-2.27	1.76E-14
LOC441046	Hypothetical LOC 441046	-2.27	3.07E-08
FCRLM2	Fc receptor-like and mucin-like 2	-2.27	0.00048
A_24_P919488	Unknown	-2.28	0.00014
KCNIP2	Homo sapiens Kv channel interacting protein 2 (KCNIP2), transcript variant 8, mRNA [NM_173342]	-2.28	5.79E-16
CD109	Homo sapiens CD109 antigen (Gov platelet alloantigens) (CD109), mRNA [NM_133493]	-2.28	0.00099
ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	-2.29	0.00104
FAM44A	Homo sapiens family with sequence similarity 44, member A (FAM44A), mRNA [NM_148894]	-2.29	6.39E-19
TANC2	putative ankyrin-repeat containing protein	-2.29	5.64E-11
C9orf57	Chromosome 9 open reading frame 57	-2.29	7.51E-06
KCNJ1	Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 1 (KCNJ1), transcript variant rom-k5, mRNA [NM_153767]	-2.3	0.00013
THC2628566	Unknown	-2.3	0.00001
ENAH	Homo sapiens enabled homolog (Drosophila) (ENAH), transcript variant 2, mRNA [NM_018212]	-2.3	7.67E-17
BOLA1	CGI-143 protein	-2.3	0.00001
COL2A1	Collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	-2.31	0.00049
AK123096	Homo sapiens cDNA FLJ41101 fis, clone BLADE2004670.	-2.31	9.32E-28
TNFRSF7	Tumor necrosis factor receptor superfamily, member 7	-2.32	2.46E-38
ADAL	Adenosine deaminase-like	-2.33	0.00001
CD38	Homo sapiens CD38 antigen (p45) (CD38), mRNA [NM_001775]	-2.33	2.30E-38
DKFZp761B107	Homo sapiens hypothetical protein DKFZp761B107 (DKFZp761B107), mRNA [NM_173463]	-2.33	3.51E-08
AICDA	Homo sapiens activation-induced cytidine deaminase (AICDA), mRNA [NM_020661]	-2.34	7.88E-06
RNASE6	Ribonuclease, RNase A family, k6	-2.34	0.00183
KIAA0484	KIAA0484 protein	-2.34	2.10E-11
ENST00000371276	tetratricopeptide repeat domain 22 [Source:RefSeq_peptide;Acc:NP_060374] [ENST00000371276]	-2.34	2.16E-09
AW979273	Transcribed locus	-2.34	0.00002
MPHOSPH6	M-phase phosphoprotein 6	-2.35	0.00002
THC2646626	Unknown	-2.35	0.00001
LRRTM4	Homo sapiens leucine rich repeat transmembrane neuronal 4 (LRRTM4), mRNA [NM_024993]	-2.35	3.14E-19
AZGP1	Alpha-2-glycoprotein 1, zinc	-2.36	2.13E-11
NTNG1	Homo sapiens netrin G1 (NTNG1), mRNA [NM_014917]	-2.36	4.13E-24
PRO1966	Homo sapiens PRO1966 mRNA, complete cds.	-2.36	0.00006
C5orf13	Homo sapiens chromosome 5 open reading frame 13 (C5orf13), mRNA [NM_004772]	-2.36	8.27E-17
DKFZp667G2110	Homo sapiens hypothetical protein DKFZp667G2110 (DKFZp667G2110), mRNA [NM_153605]	-2.36	1.59E-07
SERPINA11	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11	-2.37	2.62E-11
CD1A	Homo sapiens CD1A antigen, a polypeptide (CD1A), mRNA [NM_001763]	-2.37	3.32E-42
GNB3	Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 3 (GNB3), mRNA [NM_002075]	-2.37	1.40E-45
C9orf58	hypothetical protein FLJ12783	-2.37	2.76E-06
