Gene Symbol	Name	Perou et al, Nature 2000	Sorlie et al, PNAS 2003	Perreard et al, Breast Cancer Research 2006	Hu et al, BMC Genomics 2006	Gene Used in PCR and Gene Set Minimization
HEATR6	HEAT repeat containing 6	0	0	0	1	0
HEBP1	Heme binding protein 1	0	0	0	1	0
HEXIM1	Hexamethylene bis-acetamide inducible 1	0	1	0	1	1
HINT1	Histidine triad nucleotide binding protein 1	0	0	0	1	0
HIPK2	Homeodomain interacting protein kinase 2	0	0	0	1	0
HIST1H1C	Histone cluster 1, H1c	0	1	1	1	0
HIST1H2AC	Histone cluster 1, H2ac	0	0	0	1	0
HIST1H2AE	Histone cluster 1, H2ae	0	0	0	1	0
HIST1H2AK	Histone cluster 1, H2ak	0	0	0	1	0
HIST1H2BB	Histone cluster 1, H2bb	0	0	0	1	0
HIST1H2BD	Histone cluster 1, H2bd	0	0	0	1	0
HIST1H2BE	Histone cluster 1, H2be	0	0	0	1	0
HIST1H2BI	Histone cluster 1, H2bi	0	0	0	1	0
HIST1H2BJ	Histone cluster 1, H2bj	0	0	0	1	0
HIST1H2BL	Histone cluster 1, H2bl	0	0	0	1	0
HIST1H2BM	Histone cluster 1, H2bm	0	0	0	1	0
HIST1H2BO	Histone cluster 1, H2bo	0	0	0	1	0
HIST2H2BE	Histone cluster 2, H2be	1	1	1	0	0
HIST2H3PS2	Histone cluster 2, H3, pseudogene 2	0	0	0	1	0
HK1	Hexokinase 1	0	1	1	0	0
HM13	Histocompatibility (minor) 13	0	0	0	1	0
HMBOX1	Homeobox containing 1	0	0	0	1	0
HMGB3	High-mobility group box 3	1	0	0	1	0
HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	0	1	1	0	0
HN1	Hematological and neurological expressed 1	0	0	0	1	0
HN1L	Hematological and neurological expressed 1-like	1	0	0	0	0
HNRPA3	Heterogeneous nuclear ribonucleoprotein A3	0	0	0	1	0
HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	0	0	0	1	0
HOXA5	Homeobox A5	0	0	0	1	0
HOXA7	Homeobox A7	0	0	0	1	0
HOXB2	Homeobox B2	0	0	0	1	0
HOXB5	Homeobox B5	0	1	1	0	0
HOXB6	Homeobox B6	1	1	1	1	0
HOXB7	Homeobox B7	0	0	0	1	0
HOXC10	Homeobox C10	0	0	0	1	0
HOXC13	Homeobox C13	0	0	0	1	0
HOXC9	Homeobox C9	0	0	0	1	0
HOXD3	Homeobox D3	0	0	0	1	0
HPN	Hepsin (transmembrane protease, serine 1)	1	0	0	0	0
HPS3	Hermansky-Pudlak syndrome 3	0	0	0	1	0
HRASLS	HRAS-like suppressor	0	0	0	1	0
HRASLS3	HRAS-like suppressor 3	1	1	1	0	0
HRB	HIV-1 Rev binding protein	0	0	0	1	0
HRSP12	Heat-responsive protein 12	0	0	0	1	0
HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2	0	0	0	1	0
HSD17B4	Hydroxysteroid (17-beta) dehydrogenase 4	0	1	1	0	0
HSF1	Heat shock transcription factor 1	0	0	0	1	0
HSF2	Heat shock transcription factor 2	0	1	1	0	0
HSPA14	Heat shock 70kDa protein 14	0	0	0	1	1
HSPA2	Heat shock 70kDa protein 2	0	0	0	1	0
HSPB8	Heat shock 22kDa protein 8	1	1	1	0	0
HSPBP1	Hsp70-interacting protein	0	1	1	0	0
HSPC148	Hypothetical protein HSPC148	0	0	0	1	0
HSPC157	HSPC157 protein	0	1	0	0	0
HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	0	0	0	1	0
ICMT	Isoprenylcysteine carboxyl methyltransferase	0	0	0	1	0
ICT1	Immature colon carcinoma transcript 1	0	0	0	1	0
ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	1	1	1	1	1
IDH2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial	0	0	0	1	0
IDS	Iduronate 2-sulfatase (Hunter syndrome)	0	0	0	1	0
IFI27	Interferon, alpha-inducible protein 27	1	0	0	0	0
IFI44	Interferon-induced protein 44	0	0	0	1	0
IFI6	Interferon, alpha-inducible protein 6	1	1	1	1	0
IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	1	0	0	0	0
IFIT5	Interferon-induced protein with tetratricopeptide repeats 5	0	0	0	1	0
IFITM1	Interferon induced transmembrane protein 1 (9-27)	1	0	0	1	0
IFRD1	Interferon-related developmental regulator 1	0	1	1	0	0
IFT88	Intraflagellar transport 88 homolog (Chlamydomonas)	0	0	0	1	0
IGBP1	Immunoglobulin (CD79A) binding protein 1	0	1	1	1	1
IGF1	Insulin-like growth factor 1 (somatomedin C)	0	0	0	0	1
IGF2	Insulin-like growth factor 2 (somatomedin A)	1	0	0	0	0
IGFALS	Insulin-like growth factor binding protein, acid labile subunit	0	0	0	1	0
IGFBP2	Insulin-like growth factor binding protein 2, 36kDa	1	1	1	1	1
IGFBP5	Insulin-like growth factor binding protein 5	1	1	1	0	0
IGFBP6	Insulin-like growth factor binding protein 6	1	0	0	0	0
IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1	0	0	1	0
	Immunoglobulin lambda locus	1	1	1	0	0
IGLL1	Immunoglobulin lambda-like polypeptide 1	1	1	1	1	0
IL13RA1	Interleukin 13 receptor, alpha 1	0	0	0	1	0
IL17B	Interleukin 17B	0	0	0	1	0
IL23A	Interleukin 23, alpha subunit p19	0	0	0	1	0
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	0	0	0	1	0
ILF2	Interleukin enhancer binding factor 2, 45kDa	0	0	0	1	0
IMP3	IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)	0	0	0	1	0
IMPA2	Inositol(myo)-1(or 4)-monophosphatase 2	0	0	0	1	0
ING2	Inhibitor of growth family, member 2	0	0	0	1	0
INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)	1	0	0	0	0
INHBB	Inhibin, beta B (activin AB beta polypeptide)	0	0	0	1	0
INPP4B	Inositol polyphosphate-4-phosphatase, type II, 105kDa	1	1	1	1	1
INSM1	Insulinoma-associated 1	0	0	0	1	0
INTS4	Integrator complex subunit 4	0	0	0	1	0
IPPK	Inositol 1,3,4,5,6-pentakisphosphate 2-kinase	0	1	0	0	0
IQCA	IQ motif containing with AAA domain	0	0	0	1	0
IQCE	IQ motif containing E	0	0	0	1	0
IQCG	IQ motif containing G	0	0	0	1	0
IQGAP2	IQ motif containing GTPase activating protein 2	0	0	0	1	0
IRF4	Interferon regulatory factor 4	0	0	0	1	0
IRS1	Insulin receptor substrate 1	1	1	1	0	0
IRX4	Iroquois homeobox protein 4	0	0	0	1	0
ISCA2	Iron-sulfur cluster assembly 2 homolog (S. cerevisiae)	0	0	0	1	0
ISG15	ISG15 ubiquitin-like modifier	1	0	0	1	0
ISG20	Interferon stimulated exonuclease gene 20kDa	0	0	0	1	0
ISGF3G	Interferon-stimulated transcription factor 3, gamma 48kDa	0	0	0	1	0
ITGA2	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	1	0	1	0	0
ITGA7	Integrin, alpha 7	1	0	0	0	0
ITGB1BP1	Integrin beta 1 binding protein 1	0	1	1	0	0
ITGB4	Integrin, beta 4	1	0	0	1	0
ITM2A	Integral membrane protein 2A	1	0	0	0	0
ITM2C	Integral membrane protein 2C	0	1	1	0	0
JAKMIP1	Janus kinase and microtubule interacting protein 1	0	0	0	1	0
JARID1A	Jumonji, AT rich interactive domain 1A	0	0	0	1	0
JMJD2B	Jumonji domain containing 2B	0	1	1	0	0
JMJD4	Jumonji domain containing 4	0	1	1	0	0
JUP	Junction plakoglobin	1	0	0	0	0
KARCA1	Kelch/ankyrin repeat containing cyclin A1 interacting protein	0	0	0	1	0
KATNA1	Katanin p60 (ATPase-containing) subunit A 1	0	0	0	1	0
KCNC2	Potassium voltage-gated channel, Shaw-related subfamily, member 2	0	0	0	1	0
KCNK1	Potassium channel, subfamily K, member 1	1	1	1	0	0
KCNN4	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	0	0	0	1	0
KCNS3	Potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	0	0	0	1	0
KCTD1	Potassium channel tetramerisation domain containing 1	0	0	0	1	0
KCTD15	Potassium channel tetramerisation domain containing 15	0	1	1	0	0
KCTD3	Potassium channel tetramerisation domain containing 3	0	0	0	1	0
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	0	1	1	1	0
KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	1	1	1	0	0
KIAA0020	KIAA0020	0	0	0	1	0
KIAA0182	KIAA0182	1	1	1	1	0
KIAA0196	KIAA0196	0	0	0	1	0
KIAA0241	KIAA0241	0	0	0	1	0
KIAA0274	KIAA0274	0	0	0	1	0
KIAA0280	KIAA0280	1	0	0	0	0
KIAA0310	KIAA0310	0	1	1	0	0
KIAA0922	KIAA0922	0	0	0	1	0
KIAA1324	KIAA1324	0	0	0	1	1
KIAA1370	KIAA1370	0	1	1	1	1
KIAA1641	KIAA1641	0	1	1	0	0
KIAA1683	KIAA1683	0	0	0	1	0
KIAA1881	KIAA1881	1	0	0	0	0
KIF13B	Kinesin family member 13B	0	0	1	0	1
KIF23	Kinesin family member 23	1	0	0	0	0
KIF24	Kinesin family member 24	0	0	0	1	0
KIF2C	Kinesin family member 2C	0	0	0	0	1
KIN	KIN, antigenic determinant of recA protein homolog (mouse)	0	0	0	1	0
KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	0	1	1	1	0
KL	Klotho	0	1	1	0	0
KLF4	Kruppel-like factor 4 (gut)	1	0	0	0	0
KLHDC5	Kelch domain containing 5	0	1	1	0	0
KLK10	Kallikrein-related peptidase 10	0	0	0	1	0
KLK5	Kallikrein-related peptidase 5	0	0	0	1	0
KLK6	Kallikrein-related peptidase 6	0	0	0	1	0
KLK7	Kallikrein-related peptidase 7	0	0	0	1	0
KLK8	Kallikrein-related peptidase 8	0	0	0	1	0
KPNA1	Karyopherin alpha 1 (importin alpha 5)	0	0	0	0	1
KPNA6	Karyopherin alpha 6 (importin alpha 7)	1	0	1	0	0
KRAS	V-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	0	0	0	0	1
KREMEN2	Kringle containing transmembrane protein 2	0	0	0	1	0
KRT13	Keratin 13	1	1	1	1	0
KRT14	Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)	0	0	0	0	1
KRT15	Keratin 15	0	0	0	1	0
KRT17	Keratin 17	1	1	1	1	1
KRT18	Keratin 18	0	0	0	1	1
KRT18P17	Keratin 18 pseudogene 17	1	0	0	0	0
KRT19	Keratin 19	0	0	0	0	1
KRT23	Keratin 23 (histone deacetylase inducible)	0	0	0	1	0
KRT37	Keratin 37	0	0	0	1	0
KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	1	1	0	0	1
KRT6A	Keratin 6A	1	1	1	0	0
KRT6B	Keratin 6B	0	0	0	1	0
KRT7	Keratin 7	1	0	1	0	0
KRT8	Keratin 8	1	0	0	0	1
KRT8P12	Keratin 8 pseudogene 12	1	0	0	0	0
KYNU	Kynureninase (L-kynurenine hydrolase)	1	0	0	0	0
LAD1	Ladinin 1	1	1	1	0	0
LAMA3	Laminin, alpha 3	1	0	0	1	0
LAMA5	Laminin, alpha 5	1	1	1	0	0
LAMB3	Laminin, beta 3	0	0	0	1	0
LAPTM4B	Lysosomal associated protein transmembrane 4 beta	1	1	1	1	0
LAPTM5	Lysosomal associated multispanning membrane protein 5	1	0	0	0	0
LARP6	La ribonucleoprotein domain family, member 6	0	1	0	0	0
LASS2	LAG1 homolog, ceramide synthase 2 (S. cerevisiae)	0	0	0	1	0
LAX1	Lymphocyte transmembrane adaptor 1	0	0	0	1	0
LBP	Lipopolysaccharide binding protein	1	0	0	0	0
LBR	Lamin B receptor	0	0	0	1	0
LCE1C	Late cornified envelope 1C	0	0	0	1	0
LCORL	Ligand dependent nuclear receptor corepressor-like	0	0	0	1	0
LDHB	Lactate dehydrogenase B	0	0	0	1	0
LDOC1L	Leucine zipper, down-regulated in cancer 1-like	0	0	0	1	0
LEPROTL1	Leptin receptor overlapping transcript-like 1	1	0	0	0	0
LETMD1	LETM1 domain containing 1	0	0	0	1	0
LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	0	0	0	1	0
LGALS2	Lectin, galactoside-binding, soluble, 2	0	0	0	1	0
LGALS9	Lectin, galactoside-binding, soluble, 9 (galectin 9)	0	1	1	0	0
LGR6	Leucine-rich repeat-containing G protein-coupled receptor 6	0	0	0	1	0
LGTN	Ligatin	0	0	0	1	0
LIFR	Leukemia inhibitory factor receptor alpha	1	0	0	0	0
LIG3	Ligase III, DNA, ATP-dependent	0	1	0	0	0
LIMA1	LIM domain and actin binding 1	0	0	0	1	0
LIMD2	LIM domain containing 2	0	0	0	1	0
LIPH	Lipase, member H	0	1	1	0	0
LMAN2L	Lectin, mannose-binding 2-like	0	1	1	0	0
LMO7	LIM domain 7	0	1	1	0	0
LNX1	Ligand of numb-protein X 1	0	0	0	1	0
LOC124220	Similar to common salivary protein 1	0	0	0	1	0
LOC158381	Hypothetical protein LOC158381	0	0	0	1	0
LOC162073	Hypothetical protein LOC162073	1	1	1	0	0
LOC284106	Hypothetical protein LOC284106	1	0	0	0	0
LOC284184	Hypothetical LOC284184	0	1	1	0	0
LOC339745	Hypothetical protein LOC339745	0	0	0	1	0
LOC388720	Similar to ubiquitin and ribosomal protein S27a precursor	0	0	0	1	0
LOC400451	Hypothetical gene supported by AK075564; BC060873	0	0	0	1	1
LOC400768	Hypothetical gene supported by BC051808	0	0	1	0	0
LOC493869	Similar to RIKEN cDNA 2310016C16	0	0	0	1	0
LOC541469	Hypothetical protein LOC541469	0	0	0	1	0
LOC644422	Similar to arginine/serine-rich splicing factor 6	0	0	0	1	0
LOC645561	Hypothetical LOC645561	1	1	1	0	0
LOC653156	Similar to 60S ribosomal protein L21	0	0	0	1	0
LOC653354	Similar to amrmadillo repeat containing, X-linked 6 (H. sapiens)-like	0	1	1	0	0
LOC653689	Glutathione S-transferase theta 2	0	0	0	1	0
LOC728113	Similar to Annexin A8 (Annexin VIII) (Vascular anticoagulant-beta) (VAC-beta)	0	1	1	0	0
LOC90110	Hypothetical protein LOC90110	1	1	0	0	0
LOC92196	Death-associated protein-like 1	0	0	0	1	0
LONP2	Lon peptidase 2, peroxisomal	0	0	0	1	0
LPGAT1	Lysophosphatidylglycerol acyltransferase 1	0	1	1	0	0
LPHN2	Latrophilin 2	1	0	0	0	0
LPL	Lipoprotein lipase	1	0	0	0	0
LRAP	Leukocyte-derived arginine aminopeptidase	0	0	0	1	0
LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	0	1	1	0	0
LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1	1	0	0	1	1
LRP8	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	0	0	0	1	0
LRRC17	Leucine rich repeat containing 17	0	0	0	1	0
LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1	0	1	0	0	0
LSM1	LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae)	1	0	1	1	0
LTB	Lymphotoxin beta (TNF superfamily, member 3)	0	0	0	1	0
LTF	Lactotransferrin	1	1	1	0	0
LXN	Latexin	0	1	1	0	0
LY6D	Lymphocyte antigen 6 complex, locus D	0	0	0	1	0
LYN	V-yes-1 Yamaguchi sarcoma viral related oncogene homolog	0	0	0	1	0
LYPLA1	Lysophospholipase I	1	0	0	0	0
LZTS1	Leucine zipper, putative tumor suppressor 1	1	0	0	0	0
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	0	0	0	1	0
MAEL	Maelstrom homolog (Drosophila)	0	0	0	1	0
MAF	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	1	0	0	0	0
MAFG	V-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)	0	1	1	0	0
MAGEA12	Melanoma antigen family A, 12	0	0	0	1	0
MAGEA3	Melanoma antigen family A, 3	0	0	0	1	0
MAGEA4	Melanoma antigen family A, 4	0	0	0	1	0
MAGED2	Melanoma antigen family D, 2	0	0	0	1	0
MAGI3	Membrane associated guanylate kinase, WW and PDZ domain containing 3	0	0	0	1	0
MAL2	Mal, T-cell differentiation protein 2	0	0	0	1	0
MALAT1	Metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	0	1	1	0	0
MAN2B1	Mannosidase, alpha, class 2B, member 1	0	0	0	1	0
MAN2C1	Mannosidase, alpha, class 2C, member 1	1	0	0	0	0
MAOA	Monoamine oxidase A	1	0	0	1	0
MAOB	Monoamine oxidase B	1	0	0	0	0
MAP1B	Microtubule-associated protein 1B	1	0	0	0	0
MAP2K4	Mitogen-activated protein kinase kinase 4	0	1	1	0	0
MAP9	Microtubule-associated protein 9	0	0	0	1	0
MAPK3	Mitogen-activated protein kinase 3	0	1	1	0	0
MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2	1	0	0	0	0
MAPT	Microtubule-associated protein tau	0	0	0	0	1
MARCO	Macrophage receptor with collagenous structure	0	0	0	1	0
MAST4	Microtubule associated serine/threonine kinase family member 4	1	1	1	0	0
MB	Myoglobin	0	1	1	0	0
MBNL2	Muscleblind-like 2 (Drosophila)	1	0	0	0	0
MBOAT2	Membrane bound O-acyltransferase domain containing 2	0	1	0	0	0
MCCC2	Methylcrotonoyl-Coenzyme A carboxylase 2 (beta)	0	1	0	0	0
MCM2	Minichromosome maintenance complex component 2	0	0	0	1	0
MCM3	Minichromosome maintenance complex component 3	0	1	1	1	0
MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	0	0	0	0	1
MED10	Mediator of RNA polymerase II transcription, subunit 10 homolog (NUT2, S. cerevisiae)	0	0	1	0	0
MELK	Maternal embryonic leucine zipper kinase	0	0	0	0	1
MEOX1	Mesenchyme homeobox 1	1	0	0	0	0
MESP1	Mesoderm posterior 1 homolog (mouse)	0	0	0	1	0
METRN	Meteorin, glial cell differentiation regulator	0	0	0	1	0
METTL7A	Methyltransferase like 7A	1	0	0	0	0
MFAP2	Microfibrillar-associated protein 2	0	0	0	1	0
MFAP3L	Microfibrillar-associated protein 3-like	1	0	0	0	0
MFAP4	Microfibrillar-associated protein 4	1	0	0	0	0
MFGE8	Milk fat globule-EGF factor 8 protein	0	1	1	1	0
MFSD7	Major facilitator superfamily domain containing 7	0	1	1	0	0
MGAT4B	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	0	0	0	1	0
MGC16025	Hypothetical protein MGC16025	0	0	0	1	0
MGC23985	Similar to AVLV472	0	0	0	1	0
MGC2752	Hypothetical protein MGC2752	0	1	1	0	0
MGC3207	Hypothetical protein MGC3207	0	1	0	0	0
MGC39900	Hypothetical protein MGC39900	0	1	1	0	0
MGC40489	Hypothetical protein MGC40489	0	0	0	1	0
MGC5139	Hypothetical protein MGC5139	0	0	0	1	0
MGLL	Monoglyceride lipase	1	0	0	0	0
MGRN1	Mahogunin, ring finger 1	0	1	0	0	0
MGST1	Microsomal glutathione S-transferase 1	1	1	1	0	0
MGST2	Microsomal glutathione S-transferase 2	0	1	1	0	0
MIA	Melanoma inhibitory activity	0	0	0	1	1
MIB2	Mindbomb homolog 2 (Drosophila)	0	0	1	0	0
MID1	Midline 1 (Opitz/BBB syndrome)	0	0	0	1	0
MKI67	Antigen identified by monoclonal antibody Ki-67	0	0	0	0	1
MKL2	MKL/myocardin-like 2	0	1	0	0	0
MKNK2	MAP kinase interacting serine/threonine kinase 2	0	1	1	0	0
MLF1	Myeloid leukemia factor 1	0	0	1	0	0
MLF1IP	MLF1 interacting protein	0	0	0	1	0
MLLT11	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	0	1	1	0	0
MLLT4	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	1	0	1	0	0
MLPH	Melanophilin	0	0	0	0	1
MLSTD1	Male sterility domain containing 1	0	0	0	1	0
MMP1	Matrix metallopeptidase 1 (interstitial collagenase)	0	0	0	1	0
MMP11	Matrix metallopeptidase 11 (stromelysin 3)	0	0	0	0	1
MMP14	Matrix metallopeptidase 14 (membrane-inserted)	1	1	1	0	0
MMP15	Matrix metallopeptidase 15 (membrane-inserted)	1	1	1	0	0
MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)	0	0	0	1	0
MN1	Meningioma (disrupted in balanced translocation) 1	1	0	0	0	0
MNAT1	Menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)	0	0	0	1	0
MND1	Meiotic nuclear divisions 1 homolog (S. cerevisiae)	0	0	0	1	0
MORC2	MORC family CW-type zinc finger 2	0	0	0	1	0
MORC4	MORC family CW-type zinc finger 4	0	0	0	1	0
MOSC1	MOCO sulphurase C-terminal domain containing 1	1	0	0	0	0
MPHOSPH6	M-phase phosphoprotein 6	1	1	1	0	0
MRAS	Muscle RAS oncogene homolog	1	0	0	1	0
MREG	Melanoregulin	0	0	0	1	0
MRFAP1	Mof4 family associated protein 1	0	0	0	1	0
MRPL14	Mitochondrial ribosomal protein L14	0	0	0	1	0
MRPL15	Mitochondrial ribosomal protein L15	0	0	0	1	0
MRPL27	Mitochondrial ribosomal protein L27	0	0	0	1	0
MRPL34	Mitochondrial ribosomal protein L34	0	0	0	1	0
MRPL43	Mitochondrial ribosomal protein L43	0	0	0	1	0
MRPL45	Mitochondrial ribosomal protein L45	0	0	0	1	0
MRPL48	Mitochondrial ribosomal protein L48	0	0	0	1	0
MRPL9	Mitochondrial ribosomal protein L9	0	0	0	1	0
MRPS14	Mitochondrial ribosomal protein S14	0	0	0	1	0
MRPS15	Mitochondrial ribosomal protein S15	0	0	0	1	0
MRPS17	Mitochondrial ribosomal protein S17	0	0	0	1	0
MRPS18B	Mitochondrial ribosomal protein S18B	1	0	0	0	0
MRPS21	Mitochondrial ribosomal protein S21	0	0	0	1	0
MRPS25	Mitochondrial ribosomal protein S25	0	0	0	1	0
MRPS31	Mitochondrial ribosomal protein S31	0	0	0	1	0
MRPS6	Mitochondrial ribosomal protein S6	0	0	0	1	0
MS4A1	Membrane-spanning 4-domains, subfamily A, member 1	0	0	0	1	0
MSH2	MutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	0	0	0	1	0
MSH3	MutS homolog 3 (E. coli)	0	0	0	1	0
MSMB	Microseminoprotein, beta-	0	0	0	1	0
MST1	Macrophage stimulating 1 (hepatocyte growth factor-like)	0	1	1	0	0
MSX2	Msh homeobox 2	0	1	1	0	0
MT1X	Metallothionein 1X	1	1	0	0	0
MTA1	Metastasis associated 1	0	0	0	1	0
MTA3	Metastasis associated 1 family, member 3	0	0	0	1	0
MTAC2D1	Membrane targeting (tandem) C2 domain containing 1	0	0	0	1	0
MTCH1	Mitochondrial carrier homolog 1 (C. elegans)	0	0	0	1	0
MTHFD1	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	0	0	0	1	0
MTMR2	Myotubularin related protein 2	0	0	0	1	0
MTMR6	Myotubularin related protein 6	0	1	0	0	0
MTSS1	Metastasis suppressor 1	1	1	1	0	0
MUC1	Mucin 1, cell surface associated	1	1	1	1	0
MUC15	Mucin 15, cell surface associated	1	0	1	0	0
MUC20	Mucin 20, cell surface associated	0	0	0	1	0
MUM1	Melanoma associated antigen (mutated) 1	0	0	0	1	0
MX1	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	1	1	1	0	0
MXI1	MAX interactor 1	0	0	0	1	0
MYB	V-myb myeloblastosis viral oncogene homolog (avian)	0	0	0	1	1
MYBL1	V-myb myeloblastosis viral oncogene homolog (avian)-like 1	0	0	0	1	0
MYBL2	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	1	0	0	1	1
MYC	V-myc myelocytomatosis viral oncogene homolog (avian)	1	0	0	0	1
MYCL1	V-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	1	0	0	0	0
MYH9	Myosin, heavy chain 9, non-muscle	0	1	1	0	0
MYO10	Myosin X	0	0	0	1	0
MYO18A	Myosin XVIIIA	1	0	0	0	0
MYO5C	Myosin VC	0	0	0	0	1
MYO6	Myosin VI	1	0	0	1	0
MYST3	MYST histone acetyltransferase (monocytic leukemia) 3	0	1	1	1	0
NAIP	NLR family, apoptosis inhibitory protein	0	1	1	0	0
NANS	N-acetylneuraminic acid synthase (sialic acid synthase)	0	0	0	1	0
NAPRT1	Nicotinate phosphoribosyltransferase domain containing 1	1	0	0	0	0
NARF	Nuclear prelamin A recognition factor	0	0	0	1	0
NARS2	Asparaginyl-tRNA synthetase 2, mitochondrial (putative)	0	0	0	1	0
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	1	1	1	1	1
NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	0	0	0	1	0
NAV2	Neuron navigator 2	0	0	0	1	0
NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	0	0	0	1	0
NDE1	NudE nuclear distribution gene E homolog 1 (A. nidulans)	0	0	0	1	0
NDP	Norrie disease (pseudoglioma)	0	1	1	0	0
NDRG2	NDRG family member 2	0	0	0	1	0
NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	0	0	0	1	0
NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	0	0	0	1	0
NDUFB10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10, 22kDa	0	0	0	1	0
NDUFB2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa	0	0	0	1	0
NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	0	0	0	1	0
NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	0	0	0	1	0
NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	0	0	0	1	0
NEBL	Nebulette	1	0	0	1	0
NEDD4L	Neural precursor cell expressed, developmentally down-regulated 4-like	1	0	0	0	0
NEK2	NIMA (never in mitosis gene a)-related kinase 2	0	0	0	1	0
NEK4	NIMA (never in mitosis gene a)-related kinase 4	0	1	1	0	0
NEK6	NIMA (never in mitosis gene a)-related kinase 6	0	0	0	1	0
NELL2	NEL-like 2 (chicken)	0	0	0	1	0
NEURL	Neuralized homolog (Drosophila)	0	0	0	1	0
NFE2L3	Nuclear factor (erythroid-derived 2)-like 3	0	0	0	1	0
NFIA	Nuclear factor I/A	1	0	0	1	0
NFIB	Nuclear factor I/B	0	0	0	1	0
NFIX	Nuclear factor I/X (CCAAT-binding transcription factor)	1	0	0	0	0
NFKBIZ	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	0	1	1	0	0
NGFRAP1	Nerve growth factor receptor (TNFRSF16) associated protein 1	0	1	1	0	0
NINJ1	Ninjurin 1	0	0	0	1	0
NIPSNAP3A	Nipsnap homolog 3A (C. elegans)	0	0	0	1	0
NKX62	NK6 transcription factor related, locus 2 (Drosophila)	0	0	0	1	0
NLRP2	NLR family, pyrin domain containing 2	1	1	1	1	0
NME1	Non-metastatic cells 1, protein (NM23A) expressed in	0	0	0	1	0
NME4	Non-metastatic cells 4, protein expressed in	0	1	1	0	0
NMI	N-myc (and STAT) interactor	0	0	0	1	0
NPAS2	Neuronal PAS domain protein 2	0	1	1	0	0
