HGNC	EnsEMBL ID	Description	Fold Difference	P-value	Corrected p-value
ATP6AP2	ENSG00000182220	Renin receptor precursor (Renin/prorenin receptor) (ATPase, H+-transporting, lysosomal accessory protein 2) (ATPase, H+-transporting, lysosomal-interacting protein 2) (Vacuolar ATP synthase membrane sector-associated protein M8-9) (V-ATPase M8.9 subunit)	1.4	1.0E-07	7.8E-04
HAVCR2	ENSG00000135077	Hepatitis A virus cellular receptor 2 precursor (HAVcr-2) (T cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T cell membrane protein 3) (TIM-3).	3.9	1.0E-07	9.7E-05
SFN	ENSG00000175793	14-3-3 protein sigma (Stratifin) (Epithelial cell marker protein 1).	2.2	1.1E-07	9.2E-04
MNDA	ENSG00000163563	Myeloid cell nuclear differentiation antigen.	3.8	1.1E-07	3.1E-04
CTBS	ENSG00000117151	Di-N-acetylchitobiase precursor (EC 3.2.1.-).	1.5	1.1E-07	8.0E-04
SLC39A8	ENSG00000138821	solute carrier family 39 (zinc transporter), member 8	23.3	1.1E-07	9.7E-05
PLEKHB2	ENSG00000115762	Pleckstrin homology domain-containing family B member 2 (Evectin-2).	1.8	1.2E-07	6.8E-04
YIPF1	ENSG00000058799	Protein YIPF1 (YIP1 family member 1).	1.6	1.3E-07	9.2E-04
ATP6V0B	ENSG00000117410	Vacuolar ATP synthase 21 kDa proteolipid subunit (EC 3.6.3.14) (HATPL).	2.1	1.3E-07	2.5E-04
ME1	ENSG00000065833	NADP-dependent malic enzyme (EC 1.1.1.40) (NADP-ME) (Malic enzyme 1).	11.7	1.3E-07	9.7E-04
NA	ENSG00000138600	Signal peptide peptidase-like 2A (EC 3.4.23.-) (Protein SPP-like 2A) (Protein SPPL2a) (Intramembrane protease 3) (IMP3) (Presenilin-like protein 2).	2.6	1.4E-07	9.7E-05
PDE4DIP	ENSG00000178104	phosphodiesterase 4D interacting protein isoform 3	32.0	1.4E-07	3.2E-05
SLC43A3	ENSG00000134802	solute carrier family 43, member 3	2.7	1.4E-07	2.8E-04
NA	ENSG00000153113	Calpastatin (Calpain inhibitor) (Sperm BS-17 component).	1.6	1.4E-07	1.2E-04
CTSL	ENSG00000135047	Cathepsin L precursor (EC 3.4.22.15) (Major excreted protein) (MEP) [Contains: Cathepsin L heavy chain; Cathepsin L light chain].	5.1	1.4E-07	9.2E-04
IBRDC3	ENSG00000116514	IBR domain-containing protein 3.	3.4	1.5E-07	9.6E-04
GRIN3A	ENSG00000198785	Glutamate [NMDA] receptor subunit 3A precursor (N-methyl-D-aspartate receptor subtype NR3A) (NMDAR-L).	13.9	1.6E-07	9.7E-05
ATP6V0C	ENSG00000185883	Vacuolar ATP synthase 16 kDa proteolipid subunit (EC 3.6.3.14).	2.2	1.6E-07	9.7E-05
SPFH1	ENSG00000107566	SPFH domain-containing protein 1 precursor (Protein KE04).	2.1	1.6E-07	9.7E-05
NCF2	ENSG00000116701	Neutrophil cytosol factor 2 (NCF-2) (Neutrophil NADPH oxidase factor 2) (67 kDa neutrophil oxidase factor) (p67-phox) (NOXA2).	11.4	1.7E-07	1.4E-04
EMILIN2	ENSG00000132205	EMILIN-2 precursor (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2) (Protein FOAP-10).	6.7	1.7E-07	8.0E-04
RASSF4	ENSG00000107551	Ras association domain-containing protein 4.	3.7	1.8E-07	9.1E-04
ATP6V0A1	ENSG00000033627	Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1 (V-ATPase 116-kDa isoform a1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar proton pump subunit 1) (Vacuolar adenosine triphosphatase subunit Ac116).	7.1	1.8E-07	6.8E-04
NA	ENSG00000178420	NA	6.7	1.8E-07	5.8E-04
RAP2B	ENSG00000181467	Ras-related protein Rap-2b precursor.	2.7	1.9E-07	5.8E-04
PLOD3	ENSG00000106397	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 precursor (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3).	2.3	1.9E-07	7.6E-04
NA	ENSG00000105518	NA	1.8	2.0E-07	8.6E-04
ACBD5	ENSG00000107897	acyl-Coenzyme A binding domain containing 5	1.7	2.2E-07	9.1E-04
MCTP1	ENSG00000175471	multiple C2-domains with two transmembrane regions 1 isoform L	6.9	2.3E-07	1.4E-04
PDXK	ENSG00000160209	NA	3.2	2.4E-07	3.1E-04
TMEM86A	ENSG00000151117	Transmembrane protein 86A.	5.7	2.4E-07	9.2E-04
RALB	ENSG00000144118	Ras-related protein Ral-B.	2.4	2.4E-07	9.7E-05
APOBEC3A	ENSG00000128383	Probable DNA dC->dU-editing enzyme APOBEC-3A (EC 3.5.4.-) (Phorbolin-1).	27.0	2.6E-07	9.7E-05
CBARA1	ENSG00000107745	calcium binding atopy-related autoantigen 1	1.9	2.7E-07	4.3E-04
SPG21	ENSG00000090487	Maspardin (Spastic paraplegia 21 autosomal recessive Mast syndrome protein) (Acid cluster protein 33).	1.6	2.7E-07	9.7E-05
ATP6V0E	ENSG00000113732	Vacuolar ATP synthase subunit H (EC 3.6.3.14) (V-ATPase H subunit) (Vacuolar proton pump H subunit) (V-ATPase M9.2 subunit) (V-ATPase 9.2 kDa membrane accessory protein).	1.4	2.8E-07	9.2E-04
MSR1	ENSG00000038945	Macrophage scavenger receptor types I and II (Macrophage acetylated LDL receptor I and II) (Scavenger receptor class A member 1) (CD204 antigen).	38.3	2.9E-07	5.4E-05
C17orf58	ENSG00000186665	NA	1.9	3.2E-07	7.1E-04
NA	ENSG00000162840	metallothionein 1H-like protein	16.2	3.3E-07	9.7E-05
MT1G	ENSG00000125144	Metallothionein-1G (MT-1G) (Metallothionein-IG) (MT-IG) (Metallothionein-1K) (MT-1K).	43.4	3.6E-07	9.7E-05
SQRDL	ENSG00000137767	Sulfide:quinone oxidoreductase, mitochondrial precursor (EC 1.-.-.-).	2.6	3.7E-07	8.7E-04
TP53INP2	ENSG00000078804	Tumor protein p53-inducible nuclear protein 2 (p53-inducible protein U) (PIG-U).	2.1	3.7E-07	8.0E-04
UBE2D4	ENSG00000078967	ubiquitin-conjugating enzyme E2D 4 (putative)	1.9	3.8E-07	8.2E-04
NFE2L2	ENSG00000116044	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nuclear factor, erythroid derived 2, like 2) (HEBP1).	1.8	3.9E-07	8.3E-04
M6PRBP1	ENSG00000105355	Mannose-6-phosphate receptor-binding protein 1 (Cargo selection protein TIP47) (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Placental protein 17) (PP17).	1.9	4.0E-07	9.1E-04
LIMK2	ENSG00000182541	LIM domain kinase 2 (EC 2.7.11.1) (LIMK-2).	4.3	4.0E-07	9.7E-05
NA	ENSG00000196814	NA	2.7	4.3E-07	9.7E-05
SLAMF8	ENSG00000158714	SLAM family member 8 precursor (B-lymphocyte activator macrophage expressed) (BCM-like membrane protein).	6.2	4.8E-07	6.5E-04
ERO1L	ENSG00000197930	ERO1-like protein alpha precursor (EC 1.8.4.-) (ERO1-Lalpha) (Oxidoreductin-1-Lalpha) (Endoplasmic oxidoreductin-1-like protein) (ERO1-L).	2.4	4.8E-07	5.8E-04
GPR84	ENSG00000139572	Probable G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33).	41.8	5.0E-07	9.7E-05
MT1M	ENSG00000205364	Metallothionein-1M (MT-1M) (Metallothionein-IM) (MT-IM).	247.2	5.1E-07	3.2E-05
NBN	ENSG00000104320	Nibrin (Nijmegen breakage syndrome protein 1) (Cell cycle regulatory protein p95).	1.7	5.6E-07	7.4E-04
DECR1	ENSG00000104325	2,4-dienoyl-CoA reductase, mitochondrial precursor (EC 1.3.1.34) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]).	1.4	5.8E-07	9.7E-04
PGD	ENSG00000142657	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44).	3.7	5.9E-07	1.7E-04
RNF135	ENSG00000181481	ring finger protein 135 isoform 2	1.9	6.2E-07	8.7E-04
NA	ENSG00000008382	NA	2.7	6.9E-07	2.9E-04
VAT1	ENSG00000108828	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-).	2.9	7.2E-07	3.6E-04
SORT1	ENSG00000134243	Sortilin precursor (Neurotensin receptor 3) (NTR3) (NT3) (Glycoprotein 95) (Gp95) (100 kDa NT receptor).	7.5	7.5E-07	6.4E-04
TMEM51	ENSG00000171729	Transmembrane protein 51.	3.2	8.1E-07	1.5E-04
REEP4	ENSG00000168476	Receptor expression-enhancing protein 4.	2.6	8.2E-07	6.4E-04
BLVRB	ENSG00000090013	Flavin reductase (EC 1.5.1.30) (FR) (NADPH-dependent diaphorase) (NADPH-flavin reductase) (FLR) (Biliverdin reductase B) (EC 1.3.1.24) (BVR-B) (Biliverdin-IX beta-reductase) (Green heme-binding protein) (GHBP).	5.1	8.5E-07	6.4E-04
IFI35	ENSG00000068079	Interferon-induced 35 kDa protein (IFP 35).	2.4	1.1E-06	8.0E-04
MT1X	ENSG00000187193	Metallothionein-1X (MT-1X) (Metallothionein-IX) (MT-IX).	20.6	1.1E-06	1.6E-04
MT1F	ENSG00000198417	Metallothionein-1F (MT-1F) (Metallothionein-IF) (MT-IF).	17.9	1.5E-06	1.7E-04
PLEKHG3	ENSG00000126822	pleckstrin homology domain containing, family G, member 3	4.6	2.2E-06	8.0E-04
RAB39	ENSG00000179331	Ras-related protein Rab-39A (Rab-39).	3.5	2.3E-06	1.3E-04
NA	ENSG00000109756	Rap guanine nucleotide exchange factor 2 (Neural RAP guanine nucleotide exchange protein) (nRap GEP) (PDZ domain-containing guanine nucleotide exchange factor 1) (PDZ-GEF1) (RA-GEF).	2.8	3.6E-06	9.1E-04
METTL7B	ENSG00000170439	NA	27.0	5.8E-06	5.8E-04
