Gene	MG_U74Av2	Normal_NNK	Tumor_NNK	Fold change	p value_NNK	GO term
Gna11	102196_at	1307.35	882.65	-1.48	0.0006	regulation of cell differentiation
Csf1	101450_at	2359.35	1614.72	-1.46	0.0006	regulation of cell differentiation
Tgfb1i1	98019_at	6011.45	4255.58	-1.41	<0.0001	regulation of cell differentiation
Mitf	101159_at	333.15	474.17	1.42	<0.0001	regulation of cell differentiation
Ap3b1	103878_at	4533.18	6554.07	1.45	<0.0001	regulation of cell differentiation
Socs2	99475_at	8354.68	13640.58	1.63	0.0002	regulation of cell differentiation
Bmp4	93455_s_at	4387.3	7203.12	1.64	<0.0001	regulation of cell differentiation
Btg1	93104_at	2489.4	4137.4	1.66	0.0002	regulation of cell differentiation
Ii	101054_at	29338.6	62732.38	2.14	<0.0001	regulation of cell differentiation
Hmgb3	98038_at	3494.83	7790.92	2.23	0.0001	regulation of cell differentiation
Tnfsf11	93416_at	103.48	240.4	2.32	0.0013	regulation of cell differentiation
H2-DMa	93092_at	5678.6	14216.55	2.5	<0.0001	regulation of cell differentiation
H2-Aa	92866_at	15888.68	48220.07	3.03	0.0001	regulation of cell differentiation
Igfbp5	100566_at	7141.5	1235.85	-5.78	<0.0001	cell growth
Fhl1	97498_at	21515.85	5806.35	-3.71	<0.0001	cell growth
Ndn	101059_at	668	202.87	-3.29	0.0001	cell growth
Gap43	102389_s_at	1058.9	326.65	-3.24	<0.0001	cell growth
Igfbp2	98627_at	10414.93	3308.98	-3.15	0.0001	cell growth
Igfbp4	101571_g_at	3327.5	1584.6	-2.1	<0.0001	cell growth
Emp1	97426_at	12599.63	6722.7	-1.87	0.0001	cell growth
Ctgf	93294_at	8477	4687.77	-1.81	0.0018	cell growth
Prss11	96920_at	3406.38	2042.4	-1.67	0.0001	cell growth
Tgfb2	93300_at	356.13	228.87	-1.56	0.0003	cell growth
Tgfb3	102751_at	2558.43	1696.35	-1.51	0.0002	cell growth
Igfbp4	94222_at	1552.3	1110.6	-1.4	0.0001	cell growth
Ogfr	160668_at	1338.28	1931.6	1.44	0.0001	cell growth
Socs2	99475_at	8354.68	13640.58	1.63	0.0002	cell growth
Wig1	92262_at	1710.93	3147.53	1.84	0.0002	cell growth
Shc1	104350_at	2350.68	5741.02	2.44	<0.0001	cell growth
Tgfb1	101918_at	651.6	1623.65	2.49	0.0001	cell growth
Shc1	93713_at	958.25	2422.13	2.53	0.0001	cell growth
Nov	100507_at	545.68	2530.58	4.64	0.0001	cell growth
Igfbp5	100566_at	7141.5	1235.85	-5.78	<0.0001	regulation of growth
Npy1r	93007_at	156.13	33.08	-4.72	<0.0001	regulation of growth
Ndn	101059_at	668	202.87	-3.29	0.0001	regulation of growth
Gap43	102389_s_at	1058.9	326.65	-3.24	<0.0001	regulation of growth
Igfbp2	98627_at	10414.93	3308.98	-3.15	0.0001	regulation of growth
Amot	95531_at	803.18	346.55	-2.32	<0.0001	regulation of growth
Igfbp4	101571_g_at	3327.5	1584.6	-2.1	<0.0001	regulation of growth
Gpam	101867_at	6346.7	3242.25	-1.96	0.0001	regulation of growth
Ctgf	93294_at	8477	4687.77	-1.81	0.0018	regulation of growth
Prss11	96920_at	3406.38	2042.4	-1.67	0.0001	regulation of growth
Csf1	101450_at	2359.35	1614.72	-1.46	0.0006	regulation of growth
Igfbp4	94222_at	1552.3	1110.6	-1.4	0.0001	regulation of growth
Aes	160215_at	6163.6	8268.13	1.34	0.0001	regulation of growth
Ogfr	160668_at	1338.28	1931.6	1.44	0.0001	regulation of growth
Socs2	99475_at	8354.68	13640.58	1.63	0.0002	regulation of growth
Wig1	92262_at	1710.93	3147.53	1.84	0.0002	regulation of growth
Shc1	104350_at	2350.68	5741.02	2.44	<0.0001	regulation of growth
Shc1	93713_at	958.25	2422.13	2.53	0.0001	regulation of growth
Nov	100507_at	545.68	2530.58	4.64	0.0001	regulation of growth
Ramp2	99444_at	21202.4	5298.75	-4	<0.0001	regulation of signal transduction
Eng	100134_at	34680.58	9623.03	-3.6	<0.0001	regulation of signal transduction
Arrb1	100473_at	4569.2	1294.12	-3.53	0.0001	regulation of signal transduction
Reln	96591_at	500.8	262.38	-1.91	0.0005	regulation of signal transduction
Dkk3	93188_at	2093.85	1182.08	-1.77	0.0001	regulation of signal transduction
Il6st	98349_at	1727.2	1019.67	-1.69	0.0018	regulation of signal transduction
Il6st	94345_at	6169.4	3647.45	-1.69	0.0001	regulation of signal transduction
Prss11	96920_at	3406.38	2042.4	-1.67	0.0001	regulation of signal transduction
Itpkb	104395_at	9335.13	5788.18	-1.61	<0.0001	regulation of signal transduction
Ramp1	104680_at	3440.65	4339.13	1.26	0.0001	regulation of signal transduction
Spred2	161070_at	782.65	1251.42	1.6	0.0002	regulation of signal transduction
Spec1	97817_at	3868.18	6381.3	1.65	<0.0001	regulation of signal transduction
Tnfrsf6	102921_s_at	687.08	193.27	-3.55	<0.0001	lymphocyte differentiation
Il11ra1	93874_s_at	2710.73	1471	-1.84	<0.0001	lymphocyte differentiation
Itpkb	104395_at	9335.13	5788.18	-1.61	<0.0001	lymphocyte differentiation
Ap3b1	103878_at	4533.18	6554.07	1.45	<0.0001	lymphocyte differentiation
Egr1	98579_at	944.05	1917.13	2.03	0.0014	lymphocyte differentiation
Ii	101054_at	29338.6	62732.38	2.14	<0.0001	lymphocyte differentiation
Hmgb3	98038_at	3494.83	7790.92	2.23	0.0001	lymphocyte differentiation
H2-DMa	93092_at	5678.6	14216.55	2.5	<0.0001	lymphocyte differentiation
H2-Aa	92866_at	15888.68	48220.07	3.03	0.0001	lymphocyte differentiation
Tek	102720_at	7860.5	1352	-5.81	<0.0001	regulation of locomotion
Tie1	99936_at	6195.33	2007.15	-3.09	0.0001	regulation of locomotion
Cxcl12	100112_at	4097.5	1406.2	-2.91	0.0001	regulation of locomotion
Unc5c	103742_at	1072.9	448.7	-2.39	<0.0001	regulation of locomotion
Amot	95531_at	803.18	346.55	-2.32	<0.0001	regulation of locomotion
Lama2	92366_at	966.18	470.5	-2.05	<0.0001	regulation of locomotion
Vcl	94963_at	13427.5	7628.32	-1.76	0.0004	regulation of locomotion
Lama4	104587_at	2330.9	1465.32	-1.59	<0.0001	regulation of locomotion
Stmn1	97909_at	6933.08	4804.1	-1.44	0.0002	regulation of locomotion
Vcl	94964_at	1060.25	771.2	-1.37	0.0002	regulation of locomotion
Pscd3	103433_at	6428.25	1987.3	-3.23	0.0001	regulation of cell adhesion
Tnxb	102916_s_at	3279.83	1595.33	-2.06	0.0004	regulation of cell adhesion
Lama2	92366_at	966.18	470.5	-2.05	<0.0001	regulation of cell adhesion
Lama4	104587_at	2330.9	1465.32	-1.59	<0.0001	regulation of cell adhesion
Jun	100130_at	2790.33	976.05	-2.86	<0.0001	epithelial cell differentiation
Notch1	97497_at	5603.65	2913.25	-1.92	<0.0001	epithelial cell differentiation
Tgfb1i1	98019_at	6011.45	4255.58	-1.41	<0.0001	epithelial cell differentiation
Crb3	104584_f_at	408.8	660.95	1.62	<0.0001	epithelial cell differentiation
Cspg6	102853_at	1242.13	935.6	-1.33	0.0001	chromosome segregation
Smc4l1	101906_at	1739.53	2796.68	1.61	0.0002	chromosome segregation
Top2a	99578_at	186.3	395.55	2.12	0.0001	chromosome segregation
Dnmt2	93470_at	731.38	316.45	-2.31	<0.0001	DNA methylation
Cntn1	92936_at	190.8	103.87	-1.84	0.0001	DNA methylation
