Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
cell division cycle associated 5	CDCA5	NM_080668	1.08E-11	1.16E-10	-1.15624	9.62E-11	-1.17481
fidgetin-like 1	FIGNL1	NM_022116	6.22E-07	2.12E-07	-1.15566	3.68E-07	-1.09838
glycerol-3-phosphate dehydrogenase 1 (soluble)	GPD1	NM_005276	2.10E-10	1.88E-09	-1.15472	4.45E-10	-1.3084
cell division cycle 25A	CDC25A	NM_001789 /// NM_201567	5.96E-10	5.69E-09	-1.15469	3.90E-10	-1.45719
early growth response 1	EGR1	NM_001964	1.78E-07	1.53E-06	-1.15428	1.31E-06	-1.17121
adenylate kinase 2	AK2	NM_001625 /// NM_013411	1.01E-12	1.21E-12	-1.15317	1.12E-12	-1.16002
tubulin, gamma 1	TUBG1	NM_001070	2.16E-11	6.39E-11	-1.153	5.09E-11	-1.17548
topoisomerase (DNA) II alpha 170kDa	TOP2A	NM_001067	4.18E-08	3.61E-06	-1.15295	4.43E-06	-1.12994
protein phosphatase 4 (formerly X), catalytic subunit	PPP4C	NM_002720	1.57E-11	1.68E-11	-1.1522	2.77E-11	-1.10397
suppressor of cytokine signaling 1	SOCS1	NM_003745	3.50E-08	3.93E-07	-1.15182	2.91E-08	-1.45881
CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatas	CTDSPL2	NM_016396	9.38E-08	6.02E-08	-1.15071	3.29E-08	-1.21467
stearoyl-CoA desaturase (delta-9-desaturase) /// stearoyl-CoA desaturase (delta-	SCD	NM_005063	4.66E-07	2.47E-06	-1.14921	9.72E-07	-1.25621
reticulon 4 interacting protein 1 /// reticulon 4 interacting protein 1	RTN4IP1	NM_032730	3.01E-10	2.57E-10	-1.14901	1.75E-10	-1.18767
CDC23 (cell division cycle 23, yeast, homolog)	CDC23	NM_004661	3.94E-10	2.45E-09	-1.14844	5.19E-10	-1.31366
pleiomorphic adenoma gene-like 1	PLAGL1	NM_002656 /// NM_006718	1.58E-06	2.00E-06	-1.14767	1.51E-06	-1.17921
translocase of inner mitochondrial membrane 8 homolog A (yeast)	TIMM8A	NM_004085	1.09E-07	2.53E-08	-1.14726	9.84E-08	-1.01534
solute carrier family 17 (sodium phosphate), member 2	SLC17A2	NM_005835	2.06E-08	9.52E-07	-1.14696	1.28E-07	-1.38074
CAMP-binding guanine nucleotide exchange factor IV (cAMP-GEFIV) mRNA, clone W15,	NA	NA	2.31E-10	8.50E-11	-1.14684	2.33E-10	-1.05183
barren homolog (Drosophila)	BRRN1	NM_015341	1.94E-10	3.87E-10	-1.14644	3.13E-10	-1.16736
cell division cycle 2, G1 to S and G2 to M	CDC2	NM_001786 /// NM_033379	8.58E-12	1.70E-11	-1.14279	7.78E-11	-1.00403
muscleblind-like 3 (Drosophila)	MBNL3	NM_018388 /// NM_133486	7.32E-11	4.93E-11	-1.14276	2.49E-11	-1.21146
RAP1 interacting factor homolog (yeast)	RIF1	NM_018151	2.83E-06	2.65E-05	-1.14222	2.20E-05	-1.16427
par-6 partitioning defective 6 homolog beta (C. elegans)	PARD6B	NM_032521	4.33E-10	1.54E-08	-1.14044	2.61E-09	-1.33313
zinc finger protein 200	ZNF200	NM_003454 /// NM_198087 /// NM_198088	9.02E-11	1.94E-10	-1.14027	2.74E-11	-1.34809
CXXC finger 6	CXXC6	NM_030625	7.22E-11	1.01E-10	-1.14	1.57E-11	-1.3357
gem (nuclear organelle) associated protein 5	GEMIN5	NM_015465	8.58E-16	5.83E-14	-1.13997	1.37E-13	-1.06126
Rab geranylgeranyltransferase, beta subunit	RABGGTB	NM_004582	5.06E-08	1.73E-08	-1.13971	2.96E-08	-1.08656
mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, iso	MGAT4A	NM_012214	3.87E-10	4.54E-10	-1.13936	1.79E-10	-1.23433
MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	NM_002358	3.10E-08	7.48E-08	-1.13884	9.84E-08	-1.11098
Transcribed locus	NA	NA	2.60E-07	2.33E-05	-1.13792	2.22E-06	-1.43875
PTX1 protein	PTX1	NM_016570	1.53E-08	2.21E-08	-1.13784	3.04E-09	-1.35477
Transcribed locus, strongly similar to XP_421205.1 PREDICTED: similar to thrombo	NA	NA	7.67E-13	1.81E-09	-1.13604	4.22E-09	-1.05501
chromosome 18 open reading frame 21	C18orf21	NM_031446	1.35E-10	5.00E-11	-1.13589	1.43E-10	-1.03852
HMT1 hnRNP methyltransferase-like 3 (S. cerevisiae)	HRMT1L3	NM_005788	5.98E-09	3.85E-09	-1.13585	1.22E-08	-1.02619
TTK protein kinase	TTK	NM_003318	4.09E-07	6.56E-07	-1.13505	2.80E-07	-1.2286
regulatory solute carrier protein, family 1, member 1	RSC1A1	NM_006511	4.12E-07	1.04E-05	-1.13461	3.16E-06	-1.27692
chromosome X open reading frame 15	CXorf15	NM_018360	2.17E-06	4.68E-06	-1.13182	9.80E-06	-1.05161
GIPC PDZ domain containing family, member 2	GIPC2	NM_017655	1.24E-07	8.88E-08	-1.13124	1.08E-07	-1.11166
exportin 5	XPO5	NM_020750	2.86E-09	1.87E-09	-1.13008	8.52E-10	-1.20962
BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	NM_004336	2.61E-08	1.26E-06	-1.1298	6.73E-07	-1.19862
origin recognition complex, subunit 6 homolog-like (yeast)	ORC6L	NM_014321	8.31E-09	4.08E-08	-1.12969	2.62E-08	-1.17532
ZW10 interactor	ZWINT	NM_001005413 /// NM_001005414 /// NM_007057 /// NM_032997	1.39E-13	1.65E-11	-1.12848	8.18E-12	-1.19738
cell division cycle associated 1	CDCA1	NM_031423 /// NM_145697	1.00E-07	1.43E-06	-1.12826	5.79E-07	-1.22843
hypothetical protein LOC253842	LOC253842	NA	5.09E-10	1.67E-08	-1.12785	4.13E-09	-1.27568
zinc finger protein 689	ZNF689	NM_138447	1.15E-10	6.87E-11	-1.12772	5.71E-11	-1.14566
cyclin B1	CCNB1	NM_031966	1.54E-11	8.73E-11	-1.12728	7.99E-11	-1.13593
similar to RPE-spondin	HSUP1	XM_497769	1.63E-07	8.78E-08	-1.12634	2.68E-07	-1.01736
chromosome 6 open reading frame 139	C6orf139	NM_018132	8.69E-11	2.73E-06	-1.12629	3.40E-08	-1.69002
cell division cycle associated 3 /// cell division cycle associated 3	CDCA3	NM_031299	4.81E-10	6.53E-09	-1.12547	3.13E-09	-1.20027
polo-like kinase 1 (Drosophila)	PLK1	NM_005030	3.60E-11	1.29E-11	-1.12506	4.16E-11	-1.01807
exosome component 8	EXOSC8	NM_181503	1.04E-07	3.68E-07	-1.12244	1.31E-07	-1.23405
phosphatidylinositol glycan, class L	PIGL	NM_004278	1.51E-10	4.34E-11	-1.12055	1.14E-10	-1.03195
RNA terminal phosphate cyclase domain 1	RTCD1	NM_003729	3.27E-10	1.77E-10	-1.1195	1.11E-10	-1.16537
diacylglycerol O-acyltransferase homolog 1 (mouse)	DGAT1	NM_012079	1.27E-08	7.54E-09	-1.11935	6.93E-09	-1.12772
discs, large homolog 7 (Drosophila)	DLG7	NM_014750	1.95E-07	1.41E-06	-1.11728	8.90E-07	-1.1672
ATP synthase mitochondrial F1 complex assembly factor 1	ATPAF1	NM_022745	3.61E-10	2.73E-09	-1.11704	1.38E-09	-1.18507
solute carrier family 30, member 10	SLC30A10	NM_001004433 /// NM_018713	5.92E-06	2.79E-06	-1.11583	3.01E-06	-1.10791
SMC1 structural maintenance of chromosomes 1-like 1 (yeast)	SMC1L1	NM_006306	3.01E-10	1.73E-10	-1.11565	1.11E-10	-1.15922
vacuolar protein sorting 54 (yeast)	VPS54	NM_001005739 /// NM_016516	3.41E-11	2.79E-11	-1.11449	9.25E-12	-1.22411
CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	NM_001255	1.14E-11	1.80E-10	-1.11286	2.20E-10	-1.09415
methionine-tRNA synthetase 2 (mitochondrial)	MARS2	NM_138395	1.51E-08	7.71E-09	-1.11193	5.36E-09	-1.14799
CDNA FLJ41107 fis, clone BLADE2007923	NA	NA	7.98E-07	1.14E-06	-1.11148	5.69E-07	-1.18661
thymidine kinase 1, soluble	TK1	NM_003258	1.83E-08	5.92E-09	-1.11098	1.68E-08	-1.01311
hepatocellular carcinoma-associated gene TD26	LOC55908	NM_018687	2.00E-11	4.08E-09	-1.11015	3.73E-10	-1.36614
GrpE-like 2, mitochondrial (E. coli)	GRPEL2	NM_152407	5.45E-09	2.70E-09	-1.1099	2.18E-09	-1.13082
Small nuclear RNA activating complex, polypeptide 5, 19kDa	SNAPC5	NM_006049	1.45E-11	5.00E-12	-1.1098	1.72E-11	-0.999647
chromosome 21 open reading frame 45	C21orf45	NM_018944	2.62E-09	2.67E-08	-1.10842	8.45E-08	-0.99934
PTX1 protein	PTX1	NM_016570	2.11E-09	1.97E-09	-1.10692	5.98E-10	-1.2275
MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	NM_005916 /// NM_182776	1.06E-11	6.09E-11	-1.10675	9.35E-11	-1.06689
muted homolog (mouse)	MUTED	NM_201280	1.13E-09	1.05E-09	-1.10219	2.56E-10	-1.24536
interleukin-1 receptor-associated kinase 2	IRAK2	NM_001570	1.00E-08	1.85E-08	-1.1018	1.12E-08	-1.15235
KIAA1609 protein	KIAA1609	NM_020947	2.94E-10	1.94E-09	-1.10135	4.44E-09	-1.02461
KIAA0101	KIAA0101	NM_001029989 /// NM_014736	1.29E-11	5.12E-11	-1.09998	3.54E-11	-1.13505
breast cancer 2, early onset	BRCA2	NM_000059	1.05E-08	1.48E-07	-1.09996	4.91E-08	-1.21524
F-box protein 5	FBXO5	NM_012177	6.00E-10	3.10E-09	-1.09884	8.87E-09	-1.00217
bromodomain adjacent to zinc finger domain, 1A	BAZ1A NM_013448 ///	NM_182648	2.48E-06	0.00039615	-1.09875	0.00106086	-0.969976
deleted in lymphocytic leukemia, 2 /// BCMS upstream neighbor-like	DLEU2 /// BCMSUNL	NM_006021	1.38E-07	1.88E-07	-1.09745	2.22E-07	-1.08097
dyskeratosis congenita 1, dyskerin	DKC1	NM_001363	7.00E-12	6.56E-10	-1.09726	2.20E-10	-1.20537
chondroitin sulfate proteoglycan 6 (bamacan)	CSPG6	NM_005445	8.27E-06	0.000292432	-1.09528	0.00044782	-1.04031
forkhead box K2	FOXK2	NM_004514 /// NM_181430 /// NM_181431	1.32E-07	1.16E-05	-1.09363	6.53E-06	-1.15872
tyrosyl-DNA phosphodiesterase 1	TDP1	NM_001008744 /// NM_018319	1.34E-08	9.97E-09	-1.09313	1.32E-08	-1.06649
DnaJ (Hsp40) homolog, subfamily B, member 9	DNAJB9	NM_012328	1.07E-10	9.04E-09	-1.09253	1.58E-09	-1.27285
solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	SLC25A24	NM_013386 /// NM_213651	2.31E-08	9.07E-09	-1.09156	1.03E-08	-1.07943
carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 /// carbohydrate (N-	CHST9	NM_031422	1.73E-05	4.32E-05	-1.0905	1.08E-05	-1.25906
pinin, desmosome associated protein	PNN	NM_002687	5.05E-11	1.42E-10	-1.09032	3.59E-11	-1.22648
Transcribed locus	NA	NA	1.30E-07	1.95E-07	-1.09005	2.59E-07	-1.06221
polo-like kinase 4 (Drosophila)	PLK4	NM_014264	1.08E-10	6.20E-10	-1.08989	8.40E-10	-1.06172
polymerase (DNA directed), alpha	POLA	NM_016937	5.47E-11	4.20E-11	-1.08874	3.70E-11	-1.1006
DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	DDX18	NM_006773	2.52E-06	4.27E-05	-1.08855	1.86E-05	-1.18758
Erythrocyte membrane protein band 4.1 like 5	EPB41L5	NM_020909	5.66E-10	1.08E-07	-1.08834	1.03E-07	-1.09245
hypothetical protein FLJ20641	FLJ20641	NM_017915	7.43E-08	1.32E-06	-1.08832	1.32E-06	-1.08859
family with sequence similarity 19 (chemokine (C-C motif)-like), member A5	FAM19A5	NM_015381	8.41E-11	1.57E-10	-1.08773	3.04E-10	-1.02758
spastic ataxia of Charlevoix-Saguenay (sacsin)	SACS	NM_014363	5.84E-08	6.39E-08	-1.08542	3.40E-08	-1.14871
topoisomerase (DNA) II binding protein 1	TOPBP1	NM_007027	1.88E-11	5.36E-11	-1.08503	1.80E-10	-0.978186
SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	SMC2L1	NM_006444	9.49E-09	1.05E-07	-1.08501	2.48E-08	-1.23469
ribonucleotide reductase M1 polypeptide	RRM1	NM_001033	1.52E-09	3.96E-09	-1.08408	1.62E-09	-1.17215
signal peptidase complex subunit 3 homolog (S. cerevisiae)	SPCS3	NM_021928	3.36E-13	1.16E-11	-1.08371	9.12E-12	-1.10637
MRNA; cDNA DKFZp686E16168 (from clone DKFZp686E16168)	NA	NA	3.68E-10	1.27E-09	-1.08353	4.14E-10	-1.19354
nucleolar and coiled-body phosphoprotein 1	NOLC1	NM_004741	4.75E-15	1.51E-15	-1.08321	2.90E-15	-1.02563
family with sequence similarity 3, member B	FAM3B	NM_058186 /// NM_206964	8.63E-07	9.07E-07	-1.08309	1.56E-06	-1.02908
chromosome 2 open reading frame 3	C2orf3	NM_003203	1.77E-10	2.94E-10	-1.08303	1.49E-10	-1.14777
chromosome 15 open reading frame 23	C15orf23	NM_033286	2.56E-10	1.55E-09	-1.08296	1.61E-09	-1.07962
hypothetical protein FLJ11155	FLJ11155	NM_018342	7.44E-09	2.86E-08	-1.08259	1.12E-08	-1.17606
nucleolar protein 11	NOL11	NM_015462	5.96E-10	1.75E-09	-1.08244	1.20E-09	-1.11846
ATPase, H+ transporting, lysosomal V0 subunit a isoform 2	ATP6V0A2	NM_012463	1.96E-08	3.09E-08	-1.08148	2.94E-08	-1.08644
F-box protein 25	FBXO25	NM_012173 /// NM_183420 /// NM_183421	1.12E-08	9.98E-09	-1.08011	2.66E-09	-1.21269
hypothetical protein LOC123876 /// acyl-CoA synthetase medium-chain family membe	LOC123876 /// ACSM2	NM_001010845 /// NM_182617	4.45E-09	3.00E-06	-1.07925	7.83E-06	-0.982146
RNA binding protein with multiple splicing	RBPMS	NM_001008710 /// NM_001008711 /// NM_001008712 /// NM_006867	2.02E-08	1.48E-08	-1.07772	2.12E-08	-1.04398
solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	SLC7A6	NM_003983	6.55E-08	6.72E-08	-1.07698	7.03E-08	-1.07262
hypothetical protein HSPC111	HSPC111	NM_016391	3.70E-11	1.37E-10	-1.07569	1.69E-10	-1.05695
polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa	POLR3K	NM_016310	1.14E-11	1.44E-11	-1.07538	1.95E-11	-1.04797
CDK5 regulatory subunit associated protein 1-like 1	CDKAL1	NM_017774	7.94E-08	1.04E-06	-1.0745	8.83E-07	-1.09102
exportin 4	XPO4	NM_022459	3.02E-09	1.32E-09	-1.07373	1.88E-09	-1.04156
U2-associated SR140 protein	SR140	XM_031553	5.62E-09	2.82E-09	-1.07147	4.35E-09	-1.03175
leucine-rich repeats and immunoglobulin-like domains 3	LRIG3	NM_153377	7.18E-09	1.93E-08	-1.07012	6.25E-09	-1.18209
ras homolog gene family, member B	RHOB	NM_004040	3.73E-05	4.45E-05	-1.0698	2.61E-05	-1.13182
nucleoporin 160kDa	NUP160	NM_015231	1.50E-08	6.27E-09	-1.06885	7.80E-09	-1.04842
nucleoporin 50kDa	NUP50	NM_007172 /// NM_153645 /// NM_153684	2.69E-07	1.39E-06	-1.06747	1.86E-06	-1.03837
rhophilin, Rho GTPase binding protein 2	RHPN2	NM_033103	4.02E-10	7.70E-09	-1.06701	1.68E-08	-0.995866
kinetochore associated 1	KNTC1	NM_014708	2.25E-10	9.21E-10	-1.06695	6.89E-10	-1.09401
nucleolar protein 5A (56kDa with KKE/D repeat)	NOL5A	NM_006392	1.17E-13	3.10E-13	-1.06656	7.59E-13	-0.989173
Ras-GTPase-activating protein SH3-domain-binding protein	G3BP	NM_005754 /// NM_198395	5.11E-12	2.87E-10	-1.06632	1.79E-10	-1.11014
IQ motif containing B1 /// IQ motif containing B1	IQCB1	NM_001023570 /// NM_001023571	8.84E-11	5.81E-11	-1.06626	1.52E-10	-0.981899
LSM11, U7 small nuclear RNA associated	LSM11	NM_173491	5.62E-09	4.99E-09	-1.06603	1.49E-09	-1.18427
hypothetical protein MGC12916 /// hypothetical protein MGC12916	MGC12916	NA	4.36E-07	1.19E-06	-1.06581	1.16E-07	-1.3234
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	NM_015423	6.14E-09	4.17E-09	-1.0656	6.10E-09	-1.03066
Eukaryotic translation initiation factor 2C, 2	EIF2C2	NM_012154	3.47E-09	2.97E-09	-1.0647	8.47E-10	-1.18724
serine palmitoyltransferase, long chain base subunit 2-like (aminotransferase 2)	SPTLC2L	NA	2.99E-09	1.01E-08	-1.06298	3.98E-09	-1.15353
ATPase, Cu++ transporting, beta polypeptide (Wilson disease)	ATP7B	NM_000053 /// NM_001005918	7.37E-10	1.24E-09	-1.06283	8.73E-10	-1.09592
synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP	NM_014021	4.70E-08	3.28E-08	-1.0626	1.27E-08	-1.15614
PAK1 interacting protein 1	PAK1IP1	NM_017906	1.19E-10	5.88E-10	-1.0598	3.80E-10	-1.10037
mutS homolog 6 (E. coli)	MSH6	NM_000179	2.04E-10	1.83E-10	-1.05896	2.48E-10	-1.03184
Poly(rC) binding protein 2	PCBP2	NM_005016 /// NM_031989	8.73E-10	9.82E-10	-1.05878	2.05E-10	-1.21165
U2-associated SR140 protein	SR140	XM_031553	1.26E-08	6.71E-09	-1.05871	4.42E-09	-1.0982
KIAA1462	KIAA1462	XM_166132	1.49E-05	7.32E-06	-1.0587	1.36E-05	-0.994644
deleted in liver cancer 1	DLC1	NM_006094 /// NM_024767 /// NM_182643	3.15E-10	2.49E-10	-1.05693	1.34E-10	-1.11487
apobec-1 complementation factor	ACF	NM_014576 /// NM_138932 /// NM_138933	1.30E-12	1.54E-12	-1.05453	5.02E-13	-1.15919
primase, polypeptide 2A, 58kDa	PRIM2A	NM_000947	6.02E-08	6.13E-07	-1.05441	2.22E-07	-1.15845
hypothetical protein LOC283464	LOC283464	XM_290597	1.16E-10	2.03E-08	-1.0543	9.57E-10	-1.37781
chromosome 10 open reading frame 9	C10orf9	NM_145012 /// NM_181698	1.63E-10	6.71E-10	-1.05399	1.45E-09	-0.9858
shugoshin-like 2 (S. pombe)	SGOL2	NM_152524	4.64E-07	6.82E-07	-1.05393	3.38E-07	-1.125
DNA2 DNA replication helicase 2-like (yeast)	DNA2L	XM_166103	2.18E-07	1.23E-07	-1.05298	6.60E-08	-1.11375
tumor suppressor candidate 2	TUSC2	NM_007275	8.37E-12	8.82E-11	-1.05244	6.62E-11	-1.07863
Vacuolar protein sorting 33A (yeast)	VPS33A	NM_022916	9.46E-06	9.86E-06	-1.05209	9.10E-06	-1.0606
transcription elongation regulator 1	TCERG1	NM_006706	4.69E-08	1.37E-08	-1.05043	3.10E-08	-0.976501
ATP/GTP-binding protein	HEAB	NM_006831	1.07E-11	9.58E-12	-1.04979	7.94E-12	-1.06664
WD repeat and HMG-box DNA binding protein 1	WDHD1	NM_001008396 /// NM_007086	6.78E-08	7.91E-08	-1.04955	7.55E-08	-1.05406
hypothetical protein MAC30	MAC30	NM_014573	1.28E-09	1.36E-09	-1.04951	3.10E-10	-1.19268
Rab geranylgeranyltransferase, beta subunit	RABGGTB	NM_004582	5.16E-08	4.76E-08	-1.04796	1.24E-08	-1.18163
NIMA (never in mitosis gene a)-related kinase 2 /// NIMA (never in mitosis gene	NEK2	NM_002497	4.06E-09	8.49E-09	-1.04731	2.33E-08	-0.957886
chromosome 14 open reading frame 2	C14orf2	NM_004894	1.20E-09	5.25E-10	-1.04617	1.13E-09	-0.978785
nuclear fragile X mental retardation protein interacting protein 1	NUFIP1	NM_012345	2.79E-10	5.04E-09	-1.04369	4.78E-09	-1.04839
vacuolar protein sorting 54 (yeast)	VPS54	NM_001005739 /// NM_016516	2.06E-09	1.58E-09	-1.04367	6.51E-10	-1.12718
tumor necrosis factor (ligand) superfamily, member 10 /// tumor necrosis factor	TNFSF10	NM_003810	1.38E-06	5.67E-06	-1.04181	5.21E-07	-1.30938
Fad1, flavin adenine dinucleotide synthetase, homolog (yeast)	FLAD1	NM_025207 /// NM_201398	1.24E-08	5.02E-09	-1.04092	5.50E-09	-1.03264
hypothetical protein LOC158563	LOC158563	NA	9.67E-12	8.56E-10	-1.04042	2.67E-10	-1.15022
cAMP responsive element binding protein 3-like 2	CREB3L2	NM_194071	4.78E-12	1.28E-10	-1.03962	7.41E-11	-1.08954
FIP1 like 1 (S. cerevisiae)	FIP1L1	NM_030917	6.72E-08	3.17E-06	-1.03752	4.71E-07	-1.24356
glycogenin 2	GYG2	NM_003918	1.29E-06	4.49E-07	-1.03703	8.61E-07	-0.975819
Chromosome 6 open reading frame 160	chromosome 6 open reading fr	XM_499041	1.26E-05	1.34E-05	-1.03688	9.74E-06	-1.07056
replication factor C (activator 1) 2, 40kDa	RFC2	NM_002914 /// NM_181471	3.88E-11	1.67E-10	-1.0366	1.68E-10	-1.03604
chromosome 1 open reading frame 135	C1orf135	NM_024037	1.48E-07	8.64E-08	-1.03512	7.13E-08	-1.05323
carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9	CHST9	NM_031422	1.70E-06	1.90E-06	-1.03471	1.54E-06	-1.0557
meiosis-specific nuclear structural 1	MNS1	NM_018365	1.50E-05	9.52E-06	-1.03467	6.06E-06	-1.08242
chromosome 13 open reading frame 1	C13orf1	NM_020456	1.95E-08	3.35E-07	-1.03433	3.26E-07	-1.0371
chromosome 1 open reading frame 25	C1orf25	NM_030934	1.62E-09	1.05E-08	-1.03421	1.36E-08	-1.01071
syntaxin 3A	STX3A	NM_004177	4.89E-10	4.59E-09	-1.03382	3.23E-09	-1.06627
hypothetical protein MAC30	MAC30	NM_014573	2.64E-09	2.14E-09	-1.03324	7.71E-10	-1.12907
chromosome 1 open reading frame 131	C1orf131	NM_152379	3.50E-13	4.17E-11	-1.03208	3.27E-11	-1.05369
chromosome 20 open reading frame 112	C20orf112	NM_080616	1.89E-12	6.74E-11	-1.03129	5.49E-11	-1.04943
proteasome (prosome, macropain) activator subunit 4	PSME4	NM_014614	6.06E-12	2.58E-11	-1.02839	1.05E-11	-1.10994
BRCA2 and CDKN1A interacting protein	BCCIP	NM_016567 /// NM_078468 /// NM_078469	3.28E-07	1.83E-07	-1.02831	4.10E-07	-0.954844
immunoglobulin superfamily, member 1	IGSF1	NM_001555 /// NM_205833	4.54E-11	5.43E-09	-1.02794	5.59E-10	-1.2527
erythrocyte membrane protein band 4.1 like 5	EPB41L5	NM_020909	2.83E-12	3.18E-08	-1.02663	2.51E-08	-1.04853
family with sequence similarity 29, member A	FAM29A	NM_017645	1.44E-09	3.74E-08	-1.02646	9.77E-09	-1.15644
zuotin related factor 1	ZRF1	XM_168590 /// XM_379909	4.18E-09	5.46E-09	-1.02611	1.22E-08	-0.955685
IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	IMP4	NM_033416	5.25E-10	3.46E-10	-1.02558	5.18E-10	-0.990505
ribonucleotide reductase M1 polypeptide	RRM1	NM_001033	4.49E-09	7.81E-09	-1.02532	8.38E-09	-1.01897
polymerase (RNA) I associated factor 1	PRAF1	NM_022490	1.12E-10	1.81E-10	-1.02517	3.60E-10	-0.966585
kinesin family member 23	KIF23	NM_004856 /// NM_138555	2.92E-08	1.54E-07	-1.02481	5.28E-08	-1.12912
organic solute transporter beta	OSTbeta	NM_178859	8.12E-09	1.23E-08	-1.02405	2.26E-09	-1.18841
RNA binding protein with multiple splicing	RBPMS	NM_001008710 /// NM_001008711 /// NM_001008712 /// NM_006867	1.81E-09	1.57E-09	-1.02064	2.71E-09	-0.973358
cyclin E2	CCNE2	NM_057735 /// NM_057749	1.19E-09	1.02E-08	-1.02008	1.68E-09	-1.19449
chromosome 9 open reading frame 76	C9orf76	NM_024945	6.82E-09	2.47E-09	-1.01962	3.60E-09	-0.986764
basic transcription factor 3-like 4	BTF3L4	NM_152265	7.65E-09	1.83E-08	-1.01952	5.36E-09	-1.13612
Importin 7	IPO7	NM_006391	4.00E-10	3.83E-10	-1.0184	1.93E-10	-1.08039
thymopoietin	TMPO	NM_001032283 /// NM_001032284 /// NM_003276	5.46E-10	5.21E-07	-1.01821	4.16E-07	-1.03992
hypothetical protein MGC12916 /// hypothetical protein MGC12916	MGC12916	NA	1.20E-08	6.58E-09	-1.01567	5.55E-09	-1.03092
mitochondrial fission regulator 1	MTFR1	NM_014637	6.72E-10	7.38E-10	-1.01541	3.55E-10	-1.08166
NA	NA	NA	5.13E-07	3.66E-06	-1.01538	7.75E-07	-1.17788
DEAD (Asp-Glu-Ala-As) box polypeptide 19A	DDX19A	NM_018332	4.12E-06	1.68E-06	-1.01516	2.00E-06	-0.998752
solute carrier family 35, member D2	SLC35D2	NM_007001	6.38E-11	3.42E-11	-1.01496	2.26E-11	-1.05144
zinc finger protein 267	ZNF267	NM_003414	9.14E-10	6.45E-08	-1.01487	2.24E-08	-1.11578
haptoglobin-related protein	HPR	NM_020995	2.52E-05	0.000284026	-1.01385	8.55E-05	-1.16306
guanosine monophosphate reductase 2	GMPR2	NM_001002000 /// NM_001002001 /// NM_001002002 /// NM_016576	4.52E-11	1.54E-10	-1.01324	1.97E-10	-0.99213
stearoyl-CoA desaturase (delta-9-desaturase)	SCD	NM_005063	1.68E-08	3.76E-07	-1.01303	3.96E-08	-1.2433
AER61 glycosyltransferase	AER61	NM_173654	3.09E-06	3.94E-06	-1.0121	5.79E-07	-1.21537
Thymopoietin	TMPO	NM_001032283 /// NM_001032284 /// NM_003276	1.74E-11	5.03E-10	-1.0118	1.45E-10	-1.12581
zinc finger, CCHC domain containing 10	ZCCHC10	NM_017665	1.41E-07	9.01E-07	-1.01167	3.31E-07	-1.11068
multidrug resistance-related protein /// multidrug resistance-related protein	MGC13170	NM_199249 /// NM_199250	2.34E-09	7.42E-09	-1.01031	9.98E-09	-0.984266
dyskeratosis congenita 1, dyskerin	DKC1	NM_001363	2.13E-16	4.49E-14	-1.00962	2.31E-14	-1.06746
chromosome 10 open reading frame 6	C10orf6	NM_018121	4.41E-11	2.08E-09	-1.00957	7.34E-10	-1.10493
CSE1 chromosome segregation 1-like (yeast)	CSE1L	NM_001316 /// NM_177436	5.04E-08	2.69E-08	-1.00839	4.85E-08	-0.956697
Solute carrier family 4, sodium bicarbonate cotransporter, member 5	SLC4A5	NM_021196 /// NM_033323 /// NM_133478 /// NM_133479	1.26E-09	9.94E-10	-1.00803	1.76E-09	-0.959087
transforming, acidic coiled-coil containing protein 3	TACC3	NM_006342	3.43E-10	2.91E-09	-1.00643	1.06E-09	-1.09929
Transcribed locus	NA	NA	1.48E-05	1.19E-05	-1.00552	3.17E-06	-1.14611
UDP-glucose ceramide glucosyltransferase	UGCG	NM_003358	3.62E-10	3.23E-10	-1.00549	2.36E-10	-1.03289
hypothetical protein MAC30	MAC30	NM_014573	3.62E-09	5.14E-09	-1.00548	8.08E-10	-1.18118
TPX2, microtubule-associated, homolog (Xenopus laevis)	TPX2	NM_012112	7.14E-11	7.26E-11	-1.00527	5.14E-11	-1.0353
survival of motor neuron protein interacting protein 1	SIP1	NM_001009182 /// NM_001009183 /// NM_003616	7.87E-07	2.89E-06	-1.00512	3.41E-07	-1.23036
