Probe ID	Fold change	p-value	GeneSymbol	GenbankAccession	Description
A_52_P148514	-2.21	1.85E-03	Hpse	NM_152803	heparanase (Hpse), mRNA [NM_152803]
A_52_P251403	-2.21	7.61E-03	Tgfbr2	NM_029575	transforming growth factor, beta receptor II (Tgfbr2), transcript variant 2, mRNA [NM_029575]
A_52_P38639	-2.21	4.86E-05	BC032204	NM_153795	cDNA sequence BC032204 (BC032204), mRNA [NM_153795]
A_51_P233304	-2.21	4.03E-05	6330406I15Rik	NM_027519	RIKEN cDNA 6330406I15 gene (6330406I15Rik), mRNA [NM_027519]
A_52_P173226	-2.21	4.38E-05	TC1746035		Q78I20_MOUSE (Q78I20) Atp11b protein, partial (23%) [TC1746035]
A_51_P380178	-2.21	1.22E-04	Id3	NM_008321	inhibitor of DNA binding 3 (Id3), mRNA [NM_008321]
A_51_P104897	-2.21	5.35E-03	Itpr3	NM_080553	inositol 1,4,5-triphosphate receptor 3 (Itpr3), mRNA [NM_080553]
A_51_P376501	-2.21	4.12E-05	Stard9	AK029170	0 day neonate head cDNA, RIKEN full-length enriched library, clone:4831403C07 product:hypothetical Serine-rich region containing protein, full insert sequence. [AK029170]
A_52_P68221	-2.21	1.24E-03	Gria3	NM_016886	glutamate receptor, ionotropic, AMPA3 (alpha 3) (Gria3), mRNA [NM_016886]
A_51_P408989	-2.21	1.98E-04	2810055F11Rik	NM_026038	RIKEN cDNA 2810055F11 gene (2810055F11Rik), mRNA [NM_026038]
A_51_P467110	-2.21	2.24E-04	Dpp4	NM_010074	dipeptidylpeptidase 4 (Dpp4), mRNA [NM_010074]
A_51_P351384	-2.21	5.37E-04	Upk2	NM_009476	uroplakin 2 (Upk2), mRNA [NM_009476]
A_51_P427663	-2.21	3.94E-04	Cnn2	NM_007725	calponin 2 (Cnn2), mRNA [NM_007725]
A_52_P614777	-2.21	2.46E-02	Sucnr1	NM_032400	succinate receptor 1 (Sucnr1), mRNA [NM_032400]
A_52_P555583	-2.21	1.77E-03	5430417C01Rik	AK019946	6 days neonate head cDNA, RIKEN full-length enriched library, clone:5430417C01 product:hypothetical protein, full insert sequence. [AK019946]
A_52_P544523	-2.21	6.14E-04	Myl4	NM_010858	myosin, light polypeptide 4 (Myl4), mRNA [NM_010858]
A_52_P534583	-2.21	4.47E-04	Eraf	NM_133245	erythroid associated factor (Eraf), mRNA [NM_133245]
A_52_P301115	-2.21	2.24E-04	D230046B21Rik	AK042749	7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730020N04 product:unclassifiable, full insert sequence. [AK042749]
A_51_P179504	-2.21	2.66E-04	EG630952		angiogenin, ribonuclease A family, member 6 [Source:MarkerSymbol;Acc:MGI:3528602] [ENSMUST00000096869]
A_51_P388517	-2.21	2.68E-04	Ldb2	NM_010698	LIM domain binding 2 (Ldb2), transcript variant 1, mRNA [NM_010698]
A_51_P232281	-2.21	3.03E-04	Pla2g2d	NM_011109	phospholipase A2, group IID (Pla2g2d), mRNA [NM_011109]
A_52_P40954	-2.21	2.16E-03	5330426P16Rik	AK019912	adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330426P16 product:hypothetical protein, full insert sequence [AK019912]
A_51_P327016	-2.21	4.42E-03	Pde1a	NM_016744	phosphodiesterase 1A, calmodulin-dependent (Pde1a), mRNA [NM_016744]
A_51_P318830	-2.21	1.16E-03	Syt10	NM_018803	synaptotagmin X (Syt10), mRNA [NM_018803]
A_52_P650855	-2.21	4.49E-03	Myo1d	NM_177390	myosin ID (Myo1d), mRNA [NM_177390]
A_52_P528600	-2.21	4.66E-06	Hhex	NM_008245	hematopoietically expressed homeobox (Hhex), mRNA [NM_008245]
A_51_P488196	-2.21	2.41E-04	Bmper	NM_028472	BMP-binding endothelial regulator (Bmper), mRNA [NM_028472]
A_52_P136914	-2.21	1.11E-05	Nudt7	NM_024437	nudix (nucleoside diphosphate linked moiety X)-type motif 7 (Nudt7), transcript variant 1, mRNA [NM_024437]
A_51_P451516	-2.21	8.51E-03	D10Ertd610e	NM_028027	DNA segment, Chr 10, ERATO Doi 610, expressed (D10Ertd610e), mRNA [NM_028027]
A_51_P111164	-2.21	2.91E-03	Rnd1	NM_172612	Rho family GTPase 1 (Rnd1), mRNA [NM_172612]
A_52_P82023	-2.21	2.01E-02	Pitpnc1	AK172137	activated spleen cDNA, RIKEN full-length enriched library, clone:F830045E12 product:hypothetical protein, full insert sequence. [AK172137]
A_52_P356204	-2.21	8.56E-04	Nostrin	NM_181547	nitric oxide synthase trafficker (Nostrin), mRNA [NM_181547]
A_52_P419678	-2.21	1.26E-02	Serpina3f	NM_001033335	serine (or cysteine) peptidase inhibitor, clade A, member 3F (Serpina3f), mRNA [NM_001033335]
A_52_P316584	-2.21	9.28E-05	Pot1b	AK013364	10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810458H16 product:hypothetical protein, full insert sequence. [AK013364]
A_52_P241519	-2.21	2.13E-04	Myo1c	NM_008659	myosin IC (Myo1c), transcript variant 3, mRNA [NM_008659]
A_52_P243641	-2.22	8.84E-03	Hmbox1	BC051457	homeobox containing 1, mRNA (cDNA clone MGC:56991 IMAGE:6398463), complete cds. [BC051457]
A_51_P449171	-2.22	1.25E-03	Birc3	NM_007464	baculoviral IAP repeat-containing 3 (Birc3), mRNA [NM_007464]
A_52_P693104	-2.22	1.16E-04	AV147182	AV147182	AV147182 AV147182  C57BL/6J 10-11 day embryo  cDNA clone 2810459L12, mRNA sequence [AV147182]
A_51_P343833	-2.22	2.51E-04	Traf1	NM_009421	Tnf receptor-associated factor 1 (Traf1), mRNA [NM_009421]
A_51_P503822	-2.22	3.40E-05	Slitrk6	NM_175499	SLIT and NTRK-like family, member 6 (Slitrk6), mRNA [NM_175499]
A_52_P209184	-2.22	1.76E-03	Csrp1	NM_007791	cysteine and glycine-rich protein 1 (Csrp1), mRNA [NM_007791]
A_52_P33382	-2.22	3.72E-04	ENSMUST00000025024		PREDICTED:  similar to Hemoglobin alpha subunit (Hemoglobin alpha chain) (Alpha-globin) (LOC383229), mRNA [XM_356935]
A_52_P238230	-2.22	1.19E-03	AF152371	AF152371	kappa light chain of Mab7 mRNA, partial cds. [AF152371]
A_52_P552062	-2.22	8.14E-03	Fgfr1	NM_010206	fibroblast growth factor receptor 1 (Fgfr1), transcript variant 1, mRNA [NM_010206]
A_51_P461067	-2.22	5.61E-04	AK041235	AK041235	adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530093J23 product:immunoglobulin heavy chain 4 (serum IgG1), full insert sequence. [AK041235]
A_52_P351669	-2.22	2.79E-04	Gcc2	NM_027375	GRIP and coiled-coil domain containing 2 (Gcc2), mRNA [NM_027375]
A_51_P198244	-2.22	1.57E-03	AK041872	AK041872	3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630043E07 product:unclassifiable, full insert sequence. [AK041872]
A_51_P210970	-2.22	5.35E-03	Wnt3a	NM_009522	wingless-related MMTV integration site 3A (Wnt3a), mRNA [NM_009522]
A_52_P240917	-2.22	1.77E-04	Stx3	NM_011502	syntaxin 3 (Stx3), transcript variant C, mRNA [NM_011502]
A_52_P504859	-2.22	9.12E-04	A530020G20Rik	AK040960	adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530051K04 product:unclassifiable, full insert sequence [AK040960]
A_52_P243516	-2.22	8.88E-04	AW061290	NM_201361	expressed sequence AW061290 (AW061290), mRNA [NM_201361]
A_52_P467814	-2.22	4.97E-04	Il1rap	AK045686	adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230304B05 product:interleukin 1 receptor accessory protein, full insert sequence [AK045686]
A_51_P270558	-2.22	8.91E-03	2210409D07Rik	AK008868	adult male stomach cDNA, RIKEN full-length enriched library, clone:2210409D07 product:unclassifiable, full insert sequence [AK008868]
A_51_P183912	-2.22	2.76E-04	Il27ra	NM_016671	interleukin 27 receptor, alpha (Il27ra), mRNA [NM_016671]
A_51_P438657	-2.22	2.81E-03	A130090K04Rik	AK038257	16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130090K04 product:hypothetical protein, full insert sequence [AK038257]
A_51_P393426	-2.22	3.06E-03	Pros1	NM_011173	protein S (alpha) (Pros1), mRNA [NM_011173]
A_51_P283016	-2.22	1.25E-04	Slc1a6	NM_009200	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6 (Slc1a6), mRNA [NM_009200]
A_52_P542172	-2.22	2.89E-03	Rb1cc1	NM_009826	RB1-inducible coiled-coil 1 (Rb1cc1), mRNA [NM_009826]
A_51_P515056	-2.22	3.56E-05	Itga3	NM_013565	integrin alpha 3 (Itga3), mRNA [NM_013565]
A_51_P452153	-2.22	6.47E-04	2010001M09Rik	NM_027222	RIKEN cDNA 2010001M09 gene (2010001M09Rik), mRNA [NM_027222]
A_51_P305583	-2.23	1.96E-05	Sp100	NM_013673	nuclear antigen Sp100 (Sp100), mRNA [NM_013673]
A_51_P103435	-2.23	6.67E-05	Rshl3	XM_137041	PREDICTED:  radial spokehead-like 3 (Rshl3), mRNA [XM_137041]
A_51_P489679	-2.23	3.52E-05	Lrrc23	NM_013588	leucine rich repeat containing 23 (Lrrc23), mRNA [NM_013588]
A_51_P386670	-2.23	2.14E-03	Dse	NM_172508	dermatan sulfate epimerase (Dse), mRNA [NM_172508]
A_51_P292757	-2.23	1.95E-06	Acbd4	NM_025988	acyl-Coenzyme A binding domain containing 4 (Acbd4), transcript variant 1, mRNA [NM_025988]
A_52_P263800	-2.23	3.65E-03	Ifi203	AK080088	adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530058P16 product:similar to INTERFERON-ACTIVATABLE PROTEIN 203, full insert sequence. [AK080088]
A_51_P412200	-2.23	2.54E-04	Klf9	NM_010638	Kruppel-like factor 9 (Klf9), mRNA [NM_010638]
A_51_P473252	-2.23	2.44E-05	Zyx	NM_011777	zyxin (Zyx), mRNA [NM_011777]
A_52_P358505	-2.23	1.43E-04	Filip1	NM_001081243	filamin A interacting protein 1 (Filip1), mRNA [NM_001081243]
A_51_P300572	-2.23	2.83E-03	Slc30a1	NM_009579	solute carrier family 30 (zinc transporter), member 1 (Slc30a1), mRNA [NM_009579]
A_52_P599578	-2.23	7.13E-05	Cald1	NM_145575	caldesmon 1 (Cald1), mRNA [NM_145575]
A_52_P653054	-2.23	3.25E-03	NAP007796-001
A_51_P142153	-2.23	1.34E-03	4631422O05Rik	BC062166	RIKEN cDNA 4631422O05 gene, mRNA (cDNA clone IMAGE:6513146), partial cds [BC062166]
A_51_P406020	-2.23	2.91E-05	Abhd4	NM_134076	abhydrolase domain containing 4 (Abhd4), mRNA [NM_134076]
A_52_P271495	-2.23	3.57E-04	A430108G06Rik	AK038603	adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230049K09 product:unclassifiable, full insert sequence [AK038603]
A_51_P485421	-2.23	3.78E-05	Igh-6	AK088666	2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430023B15 product:immunoglobulin heavy chain 6 (heavy chain of IgM), full insert sequence. [AK088666]
A_52_P509297	-2.23	2.55E-03	Mapt	NM_001038609	microtubule-associated protein tau (Mapt), transcript variant 1, mRNA [NM_001038609]
A_51_P419613	-2.23	3.45E-04	Pkd2	NM_008861	polycystic kidney disease 2 (Pkd2), mRNA [NM_008861]
A_51_P467798	-2.23	1.04E-04	Niban	NM_022018	niban protein (Niban), mRNA [NM_022018]
A_51_P142744	-2.23	1.32E-04	Sulf1	NM_172294	sulfatase 1 (Sulf1), mRNA [NM_172294]
A_51_P187507	-2.23	2.16E-04	Acad10	NM_028037	acyl-Coenzyme A dehydrogenase family, member 10 (Acad10), mRNA [NM_028037]
A_51_P215922	-2.23	8.36E-05	Casp6	NM_009811	caspase 6 (Casp6), mRNA [NM_009811]
A_51_P501656	-2.23	3.09E-05	Kdelc2	NM_212445	KDEL (Lys-Asp-Glu-Leu) containing 2 (Kdelc2), mRNA [NM_212445]
A_51_P414072	-2.24	3.14E-03	Prom1	NM_008935	prominin 1 (Prom1), mRNA [NM_008935]
A_52_P16312	-2.24	7.92E-05	Ptpn13	NM_011204	protein tyrosine phosphatase, non-receptor type 13 (Ptpn13), mRNA [NM_011204]
A_52_P55772	-2.24	1.67E-04	Tbxa2r	NM_009325	thromboxane A2 receptor (Tbxa2r), mRNA [NM_009325]
A_51_P307680	-2.24	4.87E-03	C130094E24	AK082012	16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130094E24 product:unclassifiable, full insert sequence [AK082012]
A_51_P109976	-2.24	3.02E-04	1700001C02Rik	NM_029285	RIKEN cDNA 1700001C02 gene (1700001C02Rik), mRNA [NM_029285]
A_52_P428735	-2.24	5.72E-03	Lrp2bp	NM_026278	Lrp2 binding protein (Lrp2bp), mRNA [NM_026278]
A_52_P380263	-2.24	5.11E-03	Podxl	NM_013723	podocalyxin-like (Podxl), mRNA [NM_013723]
A_51_P403814	-2.24	1.15E-04	C330016K18Rik	AK049248	ES cells cDNA, RIKEN full-length enriched library, clone:C330016K18 product:similar to SODIUM BICARBONATE COTRANSPORTER ISOFORM 1 (FRAGMENT) [Canis familiaris], full insert sequence. [AK049248]
A_52_P189812	-2.24	1.30E-03	H2-T24	NM_008207	histocompatibility 2, T region locus 24 (H2-T24), mRNA [NM_008207]
A_51_P280404	-2.24	2.39E-03	Epdr1	NM_134065	ependymin related protein 1 (zebrafish) (Epdr1), mRNA [NM_134065]
A_51_P351948	-2.24	7.11E-06	AK046358	AK046358	adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230374P19 product:unclassifiable, full insert sequence [AK046358]
A_51_P153977	-2.24	5.88E-04	Zfp273	NM_198322	zinc finger protein 273 (Zfp273), mRNA [NM_198322]
A_52_P615362	-2.24	7.10E-05	Flrt2	BC067058	cDNA clone IMAGE:30546630, containing frame-shift errors [BC067058]
A_52_P314421	-2.24	9.75E-05	Fbxo30	AK047174	10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930031N04 product:similar to NEPRILYSIN-LIKE PEPTIDASE GAMMA [], full insert sequence [AK047174]
A_51_P222153	-2.24	1.60E-03	Tpst2	NM_009419	protein-tyrosine sulfotransferase 2 (Tpst2), mRNA [NM_009419]
A_51_P417998	-2.24	3.02E-04	Sytl4	NM_013757	synaptotagmin-like 4 (Sytl4), mRNA [NM_013757]
A_51_P284665	-2.24	2.75E-03	Plcb1	NM_019677	phospholipase C, beta 1 (Plcb1), mRNA [NM_019677]
A_51_P468876	-2.24	1.36E-04	Dixdc1	NM_178118	DIX domain containing 1 (Dixdc1), mRNA [NM_178118]
A_51_P393567	-2.24	1.35E-04	1110017D15Rik	NM_001048005	RIKEN cDNA 1110017D15 gene (1110017D15Rik), transcript variant 1, mRNA [NM_001048005]
A_51_P229676	-2.24	7.66E-04	Plscr1	NM_011636	phospholipid scramblase 1 (Plscr1), mRNA [NM_011636]
A_51_P237307	-2.24	1.16E-05	Plekhg1	AK122468	mRNA for mKIAA1209 protein [AK122468]
A_51_P140641	-2.24	7.91E-04	Tmem166	NM_145570	transmembrane protein 166 (Tmem166), mRNA [NM_145570]
A_52_P317457	-2.24	3.22E-03	AK077350	AK077350	adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330434I02 product:unclassifiable, full insert sequence [AK077350]
A_51_P423804	-2.24	9.04E-06	9530010C24Rik	AK079182	adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530010C24 product:unclassifiable, full insert sequence. [AK079182]
A_52_P487599	-2.24	1.69E-04	Thnsl2	NM_178413	threonine synthase-like 2 (bacterial) (Thnsl2), transcript variant 1, mRNA [NM_178413]
A_52_P241676	-2.25	1.40E-04	Slc9a3r2	NM_023449	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 2 (Slc9a3r2), transcript variant B, mRNA [NM_023449]
A_51_P296773	-2.25	3.73E-03	Vamp5	NM_016872	vesicle-associated membrane protein 5 (Vamp5), transcript variant 1, mRNA [NM_016872]
A_51_P210708	-2.25	2.59E-02	Amotl1	NM_001081395	angiomotin-like 1 (Amotl1), mRNA [NM_001081395]
A_51_P109496	-2.25	1.23E-03	1700029I01Rik	NM_027285	RIKEN cDNA 1700029I01 gene (1700029I01Rik), mRNA [NM_027285]
A_51_P506328	-2.25	3.43E-03	Cyp2j6	NM_010008	cytochrome P450, family 2, subfamily j, polypeptide 6 (Cyp2j6), mRNA [NM_010008]
A_52_P1187863	-2.25	1.99E-02	AK035753	AK035753	16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630001H01 product:unclassifiable, full insert sequence. [AK035753]
A_52_P678056	-2.25	8.99E-04	2610027C15Rik	NM_172145	RIKEN cDNA 2610027C15 gene (2610027C15Rik), mRNA [NM_172145]
A_52_P534235	-2.25	1.54E-03	Srms	NM_011481	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites (Srms), mRNA [NM_011481]
A_51_P284426	-2.25	4.08E-05	Cstad	NM_030137	CSA-conditional, T cell activation-dependent protein (Cstad), mRNA [NM_030137]
A_52_P180752	-2.25	1.73E-04	Tpst2	NM_009419	protein-tyrosine sulfotransferase 2 (Tpst2), mRNA [NM_009419]
A_51_P125901	-2.25	8.98E-04	AK038746	AK038746	adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230059K20 product:hypothetical protein, full insert sequence. [AK038746]
A_52_P63044	-2.25	3.38E-05	Lsp1	NM_019391	lymphocyte specific 1 (Lsp1), mRNA [NM_019391]
A_51_P508666	-2.25	2.36E-03	2900069M18Rik	AK013759	adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900069M18 product:unclassifiable, full insert sequence. [AK013759]
A_52_P190973	-2.25	2.16E-03	Vcl	NM_009502	vinculin (Vcl), mRNA [NM_009502]
A_51_P210230	-2.25	6.14E-03	9630020I17Rik	AK079318	16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630020I17 product:unclassifiable, full insert sequence. [AK079318]
A_51_P436051	-2.25	2.06E-04	Necap2	NM_025383	NECAP endocytosis associated 2 (Necap2), mRNA [NM_025383]
A_51_P377620	-2.25	9.33E-05	Ifi205	NM_172648	interferon activated gene 205 (Ifi205), mRNA [NM_172648]
A_52_P26976	-2.25	7.34E-05	Rbm28	BC040811	RNA binding motif protein 28, mRNA (cDNA clone MGC:49120 IMAGE:4015830), complete cds. [BC040811]
A_51_P311434	-2.25	6.78E-04	Cyb5	NM_025797	cytochrome b-5 (Cyb5), mRNA [NM_025797]
A_51_P425047	-2.25	5.72E-04	Srpx2	NM_026838	sushi-repeat-containing protein, X-linked 2 (Srpx2), transcript variant 1, mRNA [NM_026838]
A_52_P534183	-2.25	1.68E-04	Magi3	AK173225	premature mRNA for mKIAA1634 protein [AK173225]
A_51_P217695	-2.25	1.56E-04	1700019L03Rik	NM_025619	RIKEN cDNA 1700019L03 gene (1700019L03Rik), mRNA [NM_025619]
A_52_P213932	-2.25	1.04E-04	Adamts1	NM_009621	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]
A_51_P294705	-2.25	1.44E-04	Pcyt1a	NM_009981	phosphate cytidylyltransferase 1, choline, alpha isoform (Pcyt1a), mRNA [NM_009981]
A_52_P172704	-2.25	1.52E-03	E030011O05Rik	AK136643	adult male epididymis cDNA, RIKEN full-length enriched library, clone:9230016G08 product:unclassifiable, full insert sequence [AK136643]
A_52_P462764	-2.25	6.81E-04	Morn1	NM_001081100	MORN repeat containing 1 (Morn1), mRNA [NM_001081100]
A_51_P138450	-2.25	9.60E-04	Gja7	NM_008122	gap junction membrane channel protein alpha 7 (Gja7), mRNA [NM_008122]
A_52_P229972	-2.25	1.09E-04	Slc22a1	NM_009202	solute carrier family 22 (organic cation transporter), member 1 (Slc22a1), mRNA [NM_009202]
A_52_P302544	-2.25	3.23E-05	Col8a2	NM_199473	procollagen, type VIII, alpha 2 (Col8a2), mRNA [NM_199473]
A_51_P160536	-2.25	1.07E-03	1700026D08Rik	NM_029335	RIKEN cDNA 1700026D08 gene (1700026D08Rik), mRNA [NM_029335]
A_52_P289213	-2.25	2.17E-05	Notch2	NM_010928	Notch gene homolog 2 (Drosophila) (Notch2), mRNA [NM_010928]
A_51_P483511	-2.25	1.57E-03	Dock8	NM_028785	dedicator of cytokinesis 8 (Dock8), mRNA [NM_028785]
A_51_P383737	-2.26	3.36E-06	Ankrd25	NM_145611	ankyrin repeat domain 25 (Ankrd25), mRNA [NM_145611]
A_52_P686383	-2.26	5.10E-05	Fgfr4	AF127140	fibroblast growth factor receptor 4 splice variant 17b (Fgfr4) mRNA, partial cds. [AF127140]
A_51_P150964	-2.26	7.74E-05	Pdgfrb	NM_008809	platelet derived growth factor receptor, beta polypeptide (Pdgfrb), mRNA [NM_008809]
A_51_P425824	-2.26	2.45E-04	C1qdc2	NM_026125	C1q domain containing 2 (C1qdc2), mRNA [NM_026125]
A_52_P1020860	-2.26	1.15E-04	AW112010	AK153119	bone marrow macrophage cDNA, RIKEN full-length enriched library, clone:I830123K04 product:hypothetical protein, full insert sequence. [AK153119]
A_51_P240903	-2.26	2.28E-04	Tns1	BC055076	tensin 1, mRNA (cDNA clone IMAGE:30055111), complete cds. [BC055076]
A_51_P147274	-2.26	2.57E-03	Clec4a3	NM_153197	C-type lectin domain family 4, member a3 (Clec4a3), mRNA [NM_153197]
A_52_P77106	-2.26	3.43E-04	Fasl	NM_010177	Fas ligand (TNF superfamily, member 6) (Fasl), mRNA [NM_010177]
A_51_P128463	-2.26	1.08E-04	Grrp1	XM_485455	PREDICTED:  glycine [XM_485455]
A_51_P247070	-2.26	4.97E-03	Mctp1	NM_030174	multiple C2 domains, transmembrane 1 (Mctp1), mRNA [NM_030174]
A_52_P442228	-2.26	1.10E-03	Il12a	NM_008351	interleukin 12a (Il12a), mRNA [NM_008351]
A_52_P472319	-2.26	1.24E-03	Plxnd1	BC019530	plexin D1, mRNA (cDNA clone IMAGE:4219417), complete cds. [BC019530]
A_52_P559808	-2.26	5.05E-04	Arhgef12	NM_027144	Rho guanine nucleotide exchange factor (GEF) 12 (Arhgef12), mRNA [NM_027144]
A_51_P184223	-2.26	3.18E-04	Pcdhb7	NM_053132	protocadherin beta 7 (Pcdhb7), mRNA [NM_053132]
A_52_P552879	-2.26	8.92E-03	Efcab4a	NM_001025103	EF-hand calcium binding domain 4A (Efcab4a), mRNA [NM_001025103]
A_51_P365008	-2.26	1.94E-03	Tns1	XM_619639	PREDICTED:  tensin 1 (Tns1), mRNA [XM_619639]
A_51_P327121	-2.26	1.71E-04	Was	NM_009515	Wiskott-Aldrich syndrome homolog (human) (Was), mRNA [NM_009515]
A_52_P670812	-2.26	8.21E-04	0610007N19Rik	AK002304	adult male kidney cDNA, RIKEN full-length enriched library, clone:0610007N19 product:unclassifiable, full insert sequence [AK002304]
A_51_P367837	-2.26	4.40E-03	Gnai1	NM_010305	guanine nucleotide binding protein, alpha inhibiting 1 (Gnai1), mRNA [NM_010305]
A_51_P162238	-2.26	1.53E-03	Slc35a2	NM_078484	solute carrier family 35 (UDP-galactose transporter), member A2 (Slc35a2), transcript variant 1, mRNA [NM_078484]
A_51_P132625	-2.26	1.43E-04	Hsd17b11	NM_053262	hydroxysteroid (17-beta) dehydrogenase 11 (Hsd17b11), mRNA [NM_053262]
A_52_P597634	-2.26	4.66E-05	Fzd1	NM_021457	frizzled homolog 1 (Drosophila) (Fzd1), mRNA [NM_021457]
A_52_P475080	-2.26	6.19E-08	Arsk	NM_029847	arylsulfatase K (Arsk), mRNA [NM_029847]
A_51_P158814	-2.26	6.63E-04	Marveld1	AK081212	adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030005I21 product:HYPOTHETICAL 18.9 KDA PROTEIN homolog [Homo sapiens], full insert sequence [AK081212]
A_51_P208019	-2.26	6.81E-05	Rnf215	NM_027859	RIKEN cDNA 0610009J22 gene (0610009J22Rik), mRNA [NM_027859]
A_51_P199618	-2.26	1.54E-03	Dzip1l	NM_028258	DAZ interacting protein 1-like (Dzip1l), mRNA [NM_028258]
A_51_P349727	-2.26	1.63E-04	Slc25a45	NM_134154	solute carrier family 25, member 45 (Slc25a45), mRNA [NM_134154]
A_51_P382805	-2.26	6.47E-04	Zpbp2	NM_027061	zona pellucida binding protein 2 (Zpbp2), transcript variant 1, mRNA [NM_027061]
A_52_P44824	-2.26	1.87E-03	Gngt2		guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 [Source:MarkerSymbol;Acc:MGI:893584] [ENSMUST00000036088]
A_52_P597371	-2.26	2.67E-04	Ncald	NM_134094	neurocalcin delta (Ncald), mRNA [NM_134094]
A_51_P169693	-2.26	2.19E-03	Bst2	NM_198095	bone marrow stromal cell antigen 2 (Bst2), mRNA [NM_198095]
A_51_P455647	-2.27	1.06E-04	Car2	NM_009801	carbonic anhydrase 2 (Car2), mRNA [NM_009801]
A_51_P365885	-2.27	2.13E-04	Csf1r	NM_001037859	colony stimulating factor 1 receptor (Csf1r), mRNA [NM_001037859]
A_51_P384113	-2.27	1.16E-04	9330129D05Rik	AK033963	adult male diencephalon cDNA, RIKEN full-length enriched library, clone:9330129D05 product:hypothetical Acyl-CoA dehydrogenase containing protein, full insert sequence. [AK033963]
A_51_P123242	-2.27	8.69E-05	Hmha1	AK159194	osteoclast-like cell cDNA, RIKEN full-length enriched library, clone:I420007P10 product:Similar to MYELOBLAST KIAA0223 (Hypothetical protein) homolog [], full insert sequence. [AK159194]
A_51_P473734	-2.27	2.47E-04	H2-DMa	NM_010386	histocompatibility 2, class II, locus DMa (H2-DMa), mRNA [NM_010386]
A_51_P412817	-2.27	4.96E-04	Dnahc2	NM_001081330	dynein, axonemal, heavy chain 2 (Dnahc2), mRNA [NM_001081330]
A_51_P144894	-2.27	2.46E-04	9230104L09Rik	NM_029960	RIKEN cDNA 9230104L09 gene (9230104L09Rik), mRNA [NM_029960]
A_51_P484526	-2.27	4.63E-04	Wif1	NM_011915	Wnt inhibitory factor 1 (Wif1), mRNA [NM_011915]
A_51_P123216	-2.27	3.31E-03	Zdhhc20	NM_029492	zinc finger, DHHC domain containing 20 (Zdhhc20), mRNA [NM_029492]
A_51_P381506	-2.27	1.16E-04	2610027C15Rik	NM_172145	RIKEN cDNA 2610027C15 gene (2610027C15Rik), mRNA [NM_172145]
A_51_P498267	-2.27	1.03E-04	Ankrd29		ankyrin repeat domain 29 [Source:MarkerSymbol;Acc:MGI:2687055] [ENSMUST00000080906]
A_51_P442366	-2.27	3.21E-04	Diap2	AK083254	adult male hippocampus cDNA, RIKEN full-length enriched library, clone:C630031G11 product:diaphanous homolog 2 (Drosophila), full insert sequence. [AK083254]
A_51_P451032	-2.27	1.79E-04	Anxa3	NM_013470	annexin A3 (Anxa3), mRNA [NM_013470]
A_52_P308863	-2.27	1.10E-05	Dnajb4	NM_025926	DnaJ (Hsp40) homolog, subfamily B, member 4 (Dnajb4), mRNA [NM_025926]
A_51_P196790	-2.27	1.60E-03	5530402H23Rik	AK017446	10 days neonate head cDNA, RIKEN full-length enriched library, clone:5530402H23 product:unclassifiable, full insert sequence. [AK017446]
A_51_P465350	-2.27	3.99E-04	Ly86	NM_010745	lymphocyte antigen 86 (Ly86), mRNA [NM_010745]
A_51_P159803	-2.27	1.98E-05	Nrg4	NM_032002	neuregulin 4 (Nrg4), mRNA [NM_032002]
A_52_P53507	-2.27	1.78E-02	ENSMUST00000103475		Immunoglobulin heavy chain V gene segment [Source:IMGT/GENE_DB;Acc:IGHV14-4] [ENSMUST00000103475]
A_51_P411271	-2.27	2.62E-04	Nfe2l2	NM_010902	nuclear factor, erythroid derived 2, like 2 (Nfe2l2), mRNA [NM_010902]
