Parametric P value	Mean of ratios in NHF-hTERT	Mean of ratios in NHF-hTERT shp53	Fold difference of means	Unique ID
0.0185843	0.993	0.661	1.502	TRIM46
0.0186264	0.498	0.262	1.901	INTS6
0.0186467	1.987	0.927	2.143	ACO1
0.0186488	2.372	1.402	1.692	STAT2
0.018719	0.961	0.572	1.68	LOC284402
0.0187258	0.791	0.232	3.409	DNAH1
0.018756	1.042	0.604	1.725	LOC400756
0.0187695	1.147	0.742	1.546	FHL2
0.0188147	0.759	0.363	2.091	LOC257152
0.0188944	1.885	1.05	1.795	ALDH1B1
0.0189129	1.403	0.915	1.533	PTPN1
0.0189461	0.829	0.539	1.538	CGB1
0.0189499	1.201	0.677	1.774	SUSD1
0.0190136	1.61	0.7	2.3	LRRC32
0.0190209	1.229	0.702	1.751	LOC731692
0.0190325	2.661	1.456	1.828	ELK3
0.0190971	1.519	0.929	1.635	GOLGA8B
0.0191135	1.636	0.931	1.757	OLFM1
0.0191634	0.972	0.489	1.988	LOC642826
0.0191825	1.002	0.566	1.77	PPM1K
0.019246	1.798	1.161	1.549	RTTN
0.0192565	1.463	0.854	1.713	MFGE8
0.0192671	1.8	1.106	1.627	RNASET2
0.019274	0.638	0.429	1.487	ATPBD4
0.0192994	1.143	0.658	1.737	CEP170L
0.0193177	1	0.515	1.942	SLC1A7
0.0193483	0.64	0.326	1.963	SYT10
0.0194438	1.54	0.871	1.768	ABL1
0.01955	1.659	1.11	1.495	ADAM33
0.019575	1.687	1.126	1.498	FLJ10081
0.0196348	1.067	0.601	1.775	SRPK1
0.0196378	1.029	0.645	1.595	PABPC4
0.0196953	1.059	0.683	1.551	UTF1
0.0198534	0.655	0.275	2.382	EPHA5
0.0198706	1.166	0.719	1.622	LOC729837
0.0199544	1.252	0.766	1.634	TMEM161A
0.020085	1.052	0.611	1.722	GRTP1
0.0201091	1.671	1.08	1.547	PDIA3P
0.0202553	1.232	0.815	1.512	FAM53C
0.020257	1.583	0.939	1.686	RAB40B
0.0202602	1.361	0.822	1.656	ZNF277P
0.0202815	1.778	1.112	1.599	SEC22B
0.0203349	0.564	0.246	2.293	CCDC85A
0.0203406	1.682	1.116	1.507	ABHD14B
0.0203544	1.75	1.066	1.642	C6orf48
0.0203861	0.911	0.572	1.593	SGK3
0.0204472	1.124	0.515	2.183	NOL8
0.0204642	0.938	0.552	1.699	ADAMTS7
0.0204672	1.028	0.589	1.745	DIABLO
0.0204854	0.719	0.326	2.206	C6orf49
0.0204964	1.431	0.966	1.481	SLC9A7
0.0205259	0.71	0.303	2.343	FLJ32810
0.020549	1.097	0.677	1.62	KRR1
0.0205794	0.959	0.641	1.496	TMEM45A
0.020607	0.871	0.503	1.732	ARVCF
0.020627	1.679	0.979	1.715	MINPP1
0.0206405	2.188	1.269	1.724	UBE2H
0.0206948	0.997	0.46	2.167	UBTF
0.0207186	1.187	0.708	1.677	SLC12A4
0.020753	1.17	0.769	1.521	LRCH3
0.020816	1.707	0.862	1.98	EFNB1
0.0208576	0.763	0.433	1.762	FCAR
0.0208707	0.882	0.503	1.753	ASB3
0.0208951	1.356	0.922	1.471	ZNHIT4
0.0209032	0.993	0.582	1.706	ZC3H13
0.0209042	1.026	0.617	1.663	LOC401320
0.020923	1.112	0.507	2.193	PLD1
0.0209643	1.684	1.027	1.64	TRIM32
0.0209901	1.228	0.317	3.874	GLT8D3
0.0210064	1.188	0.752	1.58	LRP5
0.0210098	0.945	0.622	1.519	B3GNTL1
0.0210388	1.03	0.53	1.943	GSTZ1
0.021064	1.302	0.759	1.715	TFDP3
0.0210897	0.996	0.553	1.801	KIAA0467
0.0211606	1.097	0.685	1.601	PPP2R1B
0.0211682	1.713	1.066	1.607	C9orf150
0.0211696	0.96	0.556	1.727	FCF1
0.0211939	1.494	0.991	1.508	ZFP90
0.0212075	0.744	0.476	1.563	IGKC
0.0212151	1.117	0.533	2.096	TMEM63A
0.0212352	1.186	0.677	1.752	VPS37A
0.0212887	1.154	0.643	1.795	ACTR8
0.0213128	1.179	0.599	1.968	GPR172B
0.0213197	1.108	0.521	2.127	ATP7A
0.0213729	0.943	0.628	1.502	SLC22A4
0.0213894	0.605	0.387	1.563	IFIH1
0.0214038	0.979	0.519	1.886	KIAA1737
0.0214223	0.735	0.5	1.47	TTBK2
0.0214289	0.727	0.329	2.21	LOC729348
0.0214466	1.266	0.855	1.481	HPS4
0.021492	0.97	0.481	2.017	MYNN
0.0214979	1.006	0.503	2	LAMB3
0.0215045	1.694	1.1	1.54	LOC732242
0.0215088	0.481	0.267	1.801	LOC346653
0.0215216	0.934	0.561	1.665	LOC644099
0.021529	0.745	0.424	1.757	SUSD4
0.0215432	1.652	1.122	1.472	DAK
0.0215563	1.237	0.804	1.539	SPIN2B
0.0215722	2.234	1.372	1.628	DCN
0.0215805	0.999	0.643	1.554	LOC392382
0.0215909	1.499	0.904	1.658	TINAG
0.0216944	1.141	0.691	1.651	LOC646762
0.021695	0.72	0.42	1.714	ETV3
0.0217338	1.067	0.656	1.627	LOC400759
0.0217694	2.167	1.436	1.509	TGFBI
0.0217944	1.359	0.902	1.507	DYRK1B
0.0217983	0.915	0.602	1.52	ZBTB16
0.021799	2.057	1.3	1.582	MGC17330
0.0218817	2.675	1.611	1.66	HMCN1
0.0219643	1.681	0.984	1.708	SNAP23
0.021976	0.781	0.507	1.54	OPHN1
0.021977	1.009	0.62	1.627	ORC4L
0.0220085	0.714	0.31	2.303	EIF4G3
0.0220323	0.877	0.582	1.507	TTTY7
0.0220501	1.303	0.804	1.621	CD302
0.0220767	1.158	0.656	1.765	UBQLN1
0.0221086	2.244	1.384	1.621	LOC730041
0.0221151	0.734	0.426	1.723	ZNF667
0.0221417	0.821	0.372	2.207	MGC35361
0.0222116	2.173	1.321	1.645	KCNK2
0.022229	1.02	0.626	1.629	IRAK4
0.0222518	0.874	0.569	1.536	C8orf74
0.0223098	0.986	0.519	1.9	SLC9A11
0.0223287	0.959	0.625	1.534	ZNF532
0.0223567	1.527	0.991	1.541	ADIPOR1
0.0223649	0.988	0.603	1.638	WDR70
0.0223721	1.045	0.584	1.789	TRPT1
0.0223963	1.13	0.759	1.489	MMP16
0.0224636	1.204	0.589	2.044	TIAM1
0.0224691	1.284	0.833	1.541	SMAD2
0.0225033	0.877	0.417	2.103	LOC572558
0.022518	0.414	0.263	1.574	DDO
0.0225282	1.06	0.677	1.566	CCDC24
0.0225569	1.382	0.826	1.673	RSHL2
0.0225645	1.091	0.526	2.074	C8orf72
0.0225651	0.978	0.639	1.531	DRG2
0.0226097	1.015	0.64	1.586	LOC400759
0.0226393	2.043	1.33	1.536	CYP1B1
0.0226726	0.986	0.62	1.59	CEP170L
0.0227218	1.577	0.867	1.819	FAM125B
0.0227559	0.955	0.598	1.597	SLC22A3
0.0227575	1.299	0.818	1.588	SLC39A7
0.0228159	0.805	0.436	1.846	ALDH3A1
0.022825	1.852	1.171	1.582	C3orf23
0.0228672	3.951	1.87	2.113	GPC1
0.0228846	1.203	0.569	2.114	CPA6
0.0229638	0.711	0.428	1.661	UTP15
0.0229686	0.527	0.293	1.799	STMN2
0.0229873	1.48	0.86	1.721	DCUN1D3
0.0230006	2.218	1.473	1.506	COL8A1
0.0231	0.85	0.431	1.972	TCF7
0.0231599	1.284	0.77	1.668	LOC730258
0.0231695	1.157	0.668	1.732	LOC730722
0.023217	0.965	0.498	1.938	KIAA1683
0.0232225	1.229	0.557	2.206	MON2
0.0232407	1.68	1.02	1.647	MAP2K4
0.0232408	1.006	0.548	1.836	SERF1A
0.0232631	2.03	1.257	1.615	IDUA
0.0233078	0.853	0.475	1.796	ST6GAL2
0.0233189	2.184	1.417	1.541	TMEM131
0.0233943	1.122	0.619	1.813	TMEM65
0.0233976	1.103	0.557	1.98	EDEM3
0.0234064	0.947	0.607	1.56	LOC400759
0.0234186	1.207	0.789	1.53	MAPK8IP2
0.0234479	0.624	0.353	1.768	OGFRL1
0.0234827	2.201	1.262	1.744	HIPK4
0.0235252	1.488	1.016	1.465	RNF13
0.0235417	1.265	0.788	1.605	SLC26A11
0.0235575	0.954	0.485	1.967	AR
0.0235718	0.96	0.612	1.569	DKFZp434H1419
0.0235829	1.635	1.067	1.532	KRTAP4-5
0.0235912	1.573	1.074	1.465	KCTD1
0.0236672	1.639	1.06	1.546	ZNF341
0.0236679	2.031	1.305	1.556	P4HA2
0.0236738	1.761	1.087	1.62	DHRS7
0.0236759	1.36	0.893	1.523	LIPT1
0.0236877	0.85	0.535	1.589	WASF1
0.0238278	1.785	1.168	1.528	OSTM1
0.0238471	1.05	0.681	1.542	MMP11
0.0238602	0.459	0.218	2.106	GH1
0.0239054	1.492	0.916	1.629	ANKRD13A
0.0239141	0.76	0.402	1.891	GDF10
0.0239208	1.002	0.67	1.496	PTGER3
0.0239417	1.339	0.863	1.552	GPR108
0.0239845	0.517	0.313	1.652	ITGB7
0.0239956	1.705	0.958	1.78	NF2
0.0240011	1.023	0.66	1.55	IL1F7
0.0240157	1.251	0.732	1.709	CSNK1A1
0.024017	1.017	0.655	1.553	ABCC9
0.0240174	0.824	0.526	1.567	CYB5R2
0.024044	1.312	0.892	1.471	TCP11L1
0.0240488	2.133	1.329	1.605	WBP1
0.0240538	1.369	0.822	1.665	KIAA1826
0.0240989	1.11	0.688	1.613	RAB11FIP3
0.0241076	1.164	0.799	1.457	NAGPA
0.0241885	1.747	1.076	1.624	GNPTAB
0.0241917	1.009	0.577	1.749	FLJ33630
0.0242053	1.352	0.887	1.524	PHF20
0.0242767	1.82	1.126	1.616	TNFRSF11B
0.0243055	2.457	1.478	1.662	LAMC1
0.0243087	0.65	0.417	1.559	ZNF783
0.0243138	0.898	0.515	1.744	SULT1A3
0.0243172	1.516	0.926	1.637	CABYR
0.0243476	0.844	0.341	2.475	CASP10
0.024382	1.468	0.839	1.75	CRIPT
0.0244019	0.998	0.598	1.669	B3GNTL1
0.0244203	1.967	1.245	1.58	HAPLN3
0.0245242	1.874	1.226	1.529	AK3
0.0245871	1.564	1.061	1.474	WDR43
0.0246146	1.749	0.989	1.768	LOC153222
0.0246154	1.991	1.325	1.503	QPRT
0.0246488	1.581	0.981	1.612	SGIP1
0.0246568	1.051	0.668	1.573	WDFY3
0.024669	1.296	0.807	1.606	VPS41
0.0247159	1.177	0.775	1.519	C10orf57
0.0247229	1.951	1.326	1.471	FBLN1
0.0247775	3.308	1.463	2.261	PSG11
0.0247786	1.04	0.623	1.669	LOC400759
0.0247905	1.142	0.7	1.631	IVL
0.0248247	1.984	1.346	1.474	WIPI2
0.0248542	1.392	0.897	1.552	LETMD1
0.0249136	0.963	0.572	1.684	MDM4
0.0249156	0.77	0.416	1.851	PPP1R13B
0.0249407	2.289	1.369	1.672	ASAH1
0.0249918	0.656	0.387	1.695	FERD3L
0.0250133	1.078	0.381	2.829	KIAA1267
0.025014	1.165	0.783	1.488	LOC400759
0.025021	1.184	0.675	1.754	RGPD5
0.0251281	0.825	0.446	1.85	AASDH
0.0251646	1.259	0.827	1.522	SMPDL3A
0.0251798	0.827	0.46	1.798	STOML3
0.0252452	1.477	0.849	1.74	LOC728661
0.0252855	0.639	0.332	1.925	SLC7A9
0.0253759	0.908	0.607	1.496	LOC729348
0.0254216	1.156	0.768	1.505	ARF1
0.0254294	1.131	0.733	1.543	FLJ37798
0.025533	1.27	0.84	1.512	RWDD3
0.0255638	1.091	0.717	1.522	SH3RF2
0.0256193	0.711	0.394	1.805	PRMT8
0.0256208	1.057	0.673	1.571	RSHL2
0.0256332	1.257	0.727	1.729	RRAGB
0.0256343	1.417	0.778	1.821	RPS27
0.0256624	1.594	0.963	1.655	IGSF21
0.0257366	0.933	0.418	2.232	PPM1M
0.0257463	1.307	0.757	1.727	ZFR
0.0257623	0.744	0.374	1.989	LOC643854
0.0257739	1.084	0.688	1.576	CCDC43
0.0258018	1.372	0.787	1.743	CLN8
0.0258784	1.483	0.999	1.484	CCL2
0.02591	1.038	0.58	1.79	MGC35361
0.0259775	1.661	1.113	1.492	LOC151438
0.0260077	1.159	0.608	1.906	LOC619208
0.0260207	0.66	0.293	2.253	LITAF
0.0260434	0.633	0.26	2.435	TMEM40
0.0260484	1.097	0.448	2.449	C6orf134
0.0260639	1.436	0.93	1.544	CT45-1
0.0261242	2.173	1.409	1.542	SDC1
0.0261293	1.107	0.645	1.716	CLN3
0.0261659	0.869	0.564	1.541	MAPT
0.0262086	0.686	0.329	2.085	C14orf102
0.0262349	1.006	0.692	1.454	HIRA
0.0262593	1.104	0.712	1.551	LOC642897
0.0262969	1.467	0.697	2.105	LOC728029
0.0263146	0.895	0.586	1.527	ARID4A
0.0263163	1.405	0.904	1.554	PMS2L4
0.026357	0.692	0.381	1.816	ETV7
0.0263658	1.035	0.713	1.452	LOC51057
0.0263951	1.092	0.572	1.909	OR7E18P
0.0263957	0.801	0.443	1.808	IRAK1BP1
0.026403	0.932	0.54	1.726	STAT5A
0.0264305	1.544	0.975	1.584	RTN2
0.0264308	2.944	1.568	1.878	ANGPTL2
0.0264504	1.427	0.944	1.512	ZFP106
0.0264576	0.83	0.519	1.599	CREB3L3
0.0264662	1.821	1.241	1.467	IDS
0.0264813	0.99	0.501	1.976	ZFP64
0.026483	1.522	0.946	1.609	RECQL5
0.026523	2.041	1.381	1.478	TMEM59
0.0265693	1.084	0.632	1.715	LOC730830
0.0265766	1.292	0.717	1.802	ZNF451
0.0268227	2.139	1.465	1.46	SLC12A4
0.0268272	1.094	0.464	2.358	UGT2B11
0.0269146	0.992	0.544	1.824	STK11IP
0.0269433	1.31	0.805	1.627	CBWD2
0.0269608	1.332	0.872	1.528	TTLL3
0.0269666	1.498	1.012	1.48	VPS8
0.0269928	1.105	0.712	1.552	ASB10
0.0270494	1.397	0.923	1.514	ZC3HAV1L
0.0270618	1.829	0.922	1.984	C14orf147
0.0271155	0.849	0.585	1.451	NOL14
0.0271176	1.877	1.251	1.5	VIT
0.0271239	1.244	0.79	1.575	ZNF28
0.0271287	1.63	0.899	1.813	YAP1
0.027189	1.644	0.915	1.797	UGCG
0.0272163	1.321	0.867	1.524	LSP1
0.0272535	0.976	0.641	1.523	ICAM5
0.0272979	0.932	0.621	1.501	TIRAP
0.0273636	1.103	0.694	1.589	L2HGDH
0.0274077	2.794	1.807	1.546	KRTAP1-1
0.0274491	1.226	0.738	1.661	LOC646329
0.02745	1.579	1.037	1.523	LOC646591
0.0274627	1.148	0.689	1.666	PER1
0.0274985	0.836	0.366	2.284	PACSIN3
0.0275464	1.361	0.713	1.909	CAP2
0.0275947	0.877	0.447	1.962	CLDN15
0.027729	2.235	1.348	1.658	11-Sep
0.0277378	0.81	0.431	1.879	LRRC46
0.0277465	1.074	0.621	1.729	CALU
0.0277556	1.413	0.944	1.497	C14orf103
0.0277579	0.907	0.311	2.916	DUSP10
0.0278648	1.014	0.664	1.527	NEK11
0.0279203	0.876	0.439	1.995	TMEM79
0.0279332	0.919	0.578	1.59	KIAA1772
0.0279842	1.398	0.902	1.55	LOC440350
0.0280007	1.176	0.743	1.583	TTLL1
0.0280302	0.817	0.545	1.499	KCTD18
0.0280611	0.708	0.366	1.934	LOC731846
0.0281646	1.583	0.979	1.617	PTPRV
0.0281678	1.369	0.926	1.478	CHRNG
0.0281787	0.843	0.457	1.845	ISY1
0.028238	1.218	0.818	1.489	MUC4
0.0283517	1.238	0.853	1.451	CASD1
0.0286054	1.483	1.002	1.48	C7orf28B
0.0286681	1.413	0.892	1.584	FAM8A1
0.0287092	1.182	0.454	2.604	CNTNAP2
0.0287586	1.189	0.793	1.499	TMEM25
0.0287676	1.421	0.897	1.584	IRS4
0.0288259	1.008	0.57	1.768	DGCR5
0.0289118	0.722	0.29	2.49	MYO10
0.0289288	0.504	0.313	1.61	BMP5
0.0289338	0.586	0.308	1.903	RAD52
0.0289763	1.364	0.87	1.568	DYNLT3
0.0289808	1.702	1.027	1.657	C3orf23
0.0289873	0.935	0.544	1.719	MYO9A
0.0290411	1.675	1.125	1.489	PREPL
0.0291042	1.178	0.736	1.601	ABHD14A
0.029154	0.948	0.35	2.709	SGPP1
0.0292838	1.122	0.602	1.864	PLGLB1
0.0292841	2.16	1.232	1.753	IGF1R
0.0293396	0.911	0.529	1.722	KIAA1377
0.0293861	0.931	0.551	1.69	CYP3A4
0.0294358	0.862	0.469	1.838	PRKRA
0.0294646	0.86	0.512	1.68	CRTC1
0.0294892	0.977	0.545	1.793	SALL2
0.0295394	0.801	0.306	2.618	TBC1D24
0.0297736	1.86	1.245	1.494	C6orf48
0.0297857	0.621	0.354	1.754	METTL8
0.0297943	0.909	0.495	1.836	SHF
0.0298046	1.909	1.277	1.495	CTF1
0.0298284	1.289	0.551	2.339	SESN1
0.0298483	1.771	1.006	1.76	HAK
0.0298721	2.225	1.137	1.957	LOC149478
0.0298975	1.15	0.766	1.501	WARS2
0.0298986	1.818	0.91	1.998	CSDA
0.0299015	1.396	0.713	1.958	PARD3B
0.0299434	0.62	0.313	1.981	RANBP2
0.0299755	1.58	1.02	1.549	TMEM76
0.0300068	1.561	0.989	1.578	LSP1
0.0300085	0.954	0.571	1.671	ELA3B
0.0300763	1.465	0.86	1.703	KIAA0430
0.030116	1.628	0.932	1.747	PAPD4
0.0301181	1.318	0.62	2.126	ZFPL1
0.0302385	2.205	1.474	1.496	OSIL
0.0302608	1.26	0.737	1.71	ZMYM4
0.0302708	1.889	1.225	1.542	ZFAND5
0.0302777	2.096	1.288	1.627	AARS2
0.0302895	0.893	0.624	1.431	RPLP0P1
0.0302897	0.767	0.475	1.615	ADAMTS9
0.0303059	1.533	0.895	1.713	PLCB4
0.0303136	0.922	0.614	1.502	LRE1
0.0303289	0.919	0.629	1.461	TRERF1
0.030329	0.657	0.213	3.085	OPHN1
0.0303382	2.444	1.577	1.55	SQSTM1
0.0303671	1.224	0.774	1.581	RSPRY1
0.030404	1.086	0.713	1.523	LOC728115
0.030463	0.795	0.374	2.126	COVA1
0.0304771	1.466	0.972	1.508	HOM-TES-103
0.0305219	1.179	0.555	2.124	MGC19604
0.0305301	1.348	0.852	1.582	TBC1D9
0.0305395	0.933	0.535	1.744	PPM1K
0.0305723	1.093	0.668	1.636	C3orf63
0.0306337	0.73	0.405	1.802	PRG4
0.0306342	1.257	0.721	1.743	JMJD2C
0.0307726	1.468	1.005	1.461	SPRR4
0.0308815	1.397	0.82	1.704	NBEA
0.030947	1.411	0.931	1.516	MCL1
0.0309495	0.8	0.505	1.584	LOC728291
0.0310125	0.981	0.541	1.813	AAK1
0.0310157	0.502	0.301	1.668	GAB1
0.0311225	1.313	0.739	1.777	ZMYM5
0.0311389	1.123	0.666	1.686	FAM89A
0.0311403	0.993	0.589	1.686	SMG6
0.031184	1.374	0.786	1.748	PDGFRB
0.0312079	1.253	0.777	1.613	SMAD5
0.0312157	1.263	0.823	1.535	TOR1AIP1
0.0312424	1.957	1.316	1.487	BAALC
0.0312453	1.001	0.68	1.472	TTC13
0.0312883	1.372	0.94	1.46	PCDHGC3
0.031311	1.581	0.674	2.346	FLJ10159
0.0313517	1.128	0.767	1.471	IRS1
0.0314079	0.982	0.639	1.537	C8orf73
0.0314083	1.563	1.028	1.52	PLA2R1
0.031451	1.395	0.899	1.552	CPSF4
0.0314959	1.208	0.825	1.464	CCDC128
0.0315064	1.036	0.591	1.753	FAM125B
0.0315151	0.93	0.615	1.512	ZNRF1
0.0315898	1.602	0.846	1.894	LOC285084
0.0317119	0.923	0.559	1.651	SH2D6
0.0317135	2.228	1.489	1.496	CEBPD
0.0318216	0.804	0.449	1.791	SOSTDC1
0.0318312	1.746	1.016	1.719	STARD10
0.0318667	1.194	0.717	1.665	PRRG2
0.0318866	0.924	0.623	1.483	FAM27A
0.0319003	1.855	1.307	1.419	MAGEA8
0.0319627	1.428	0.946	1.51	NFATC1
0.0320721	1.071	0.721	1.485	CEP135
0.0321362	1.02	0.674	1.513	LRE1
0.0321667	1.119	0.534	2.096	COP1
0.0321798	1.475	1.037	1.422	MYO5A
0.0322225	1.188	0.745	1.595	JTB
0.032235	0.852	0.584	1.459	SAMD9L
0.0322379	0.934	0.467	2	GPRC5C
0.0322493	1.511	0.895	1.688	ITM2B
0.0322894	1.347	0.824	1.635	MCCC1
0.0323054	1.123	0.768	1.462	CYP3A43
0.0323218	1.747	1.198	1.458	CYR61
0.0323476	1.075	0.71	1.514	PHF21A
0.0323739	1.681	1.059	1.587	C6orf134
0.032374	1.901	0.822	2.313	APBB3
0.0323891	1.428	0.941	1.518	NDUFA4
0.0323892	2.096	1.264	1.658	C10orf54
0.0324376	1.684	1.188	1.418	PPP1R14A
0.0324983	1.467	0.962	1.525	ARSD
0.032528	1.523	1.04	1.464	PPM1J
0.0325291	0.897	0.543	1.652	HAPLN2
0.0325432	1.858	1.238	1.501	CST3
0.0325781	0.871	0.503	1.732	FLJ22374
0.0325953	1.469	0.945	1.554	EIF2A
0.0326373	1.004	0.649	1.547	GYPC
0.0326728	0.519	0.227	2.286	NUP98
0.0327388	1.258	0.806	1.561	LRP10
0.0328458	1.867	0.457	4.085	SVEP1
0.0328717	1.589	1.076	1.477	MPI
0.032882	1.546	0.882	1.753	TIMP3
0.0328946	0.916	0.47	1.949	PVRL3
0.0329253	1.619	1.128	1.435	C20orf30
0.032942	1.438	0.954	1.507	ALDH3A2
0.032963	1.202	0.694	1.732	GALNAC4S-6ST
0.0329821	2.031	0.952	2.133	C16orf5
0.033022	1.062	0.576	1.844	PRDM11
0.0330605	1.108	0.71	1.561	CASP2
0.033095	1.282	0.693	1.85	SERPING1
0.0331931	0.974	0.648	1.503	KCNG4
0.0332289	0.688	0.327	2.104	LARP5
0.0332492	0.965	0.574	1.681	C20orf111
0.0333033	1.783	1.234	1.445	MAPK3
0.0333627	0.834	0.44	1.895	IDH3A
0.0334223	0.696	0.483	1.441	ARID1B
0.0334323	1.666	1.157	1.44	NKIRAS1
0.0335238	1.397	0.709	1.97	ABI3BP
0.0335386	0.858	0.491	1.747	IL12A
0.0335572	1.114	0.761	1.464	MEMO1
0.0336201	0.98	0.594	1.65	LOC400759
0.0336322	1.224	0.75	1.632	VPS13B
0.033674	2.346	1.472	1.594	HSPB8
0.033675	0.886	0.454	1.952	GABBR1
0.0337629	0.934	0.582	1.605	GGTL4
0.0338391	1.881	1.263	1.489	ITPKC
0.0338445	1.521	1.037	1.467	C12orf23
0.0338482	0.941	0.617	1.525	FSIP2
0.0338811	1.271	0.674	1.886	PLA2G4B
0.0338954	1.781	0.855	2.083	LOC731989
0.0339126	1.387	0.887	1.564	TMEM87B
0.0339985	1.162	0.752	1.545	ITSN1
0.0340212	1.924	1.356	1.419	ITGBL1
0.0340477	0.979	0.499	1.962	AIG1
0.0340578	0.933	0.552	1.69	SIRT5
0.0341077	0.949	0.628	1.511	ZNF491
0.0341456	1.034	0.686	1.507	CARM1
0.0341537	1.38	0.844	1.635	PPP1R11
0.0341724	1.491	1.051	1.419	LDLRAD2
0.0342867	1.519	0.818	1.857	LOC399959
0.034356	1.085	0.55	1.973	APOE
0.0345022	1.364	0.939	1.453	DNAJA5
0.034503	1.186	0.782	1.517	ALPK1
0.0345228	1.079	0.753	1.433	RGPD5
0.0345546	1.693	1.001	1.691	DDR2
0.0345778	0.775	0.523	1.482	CG018
0.0346064	1.455	0.916	1.588	C1QTNF1
0.0346078	1.838	1.268	1.45	TBC1D17
0.0346186	1.543	0.727	2.122	PLEC1
0.0346407	1.199	0.793	1.512	SOD2
0.0347022	1.749	1.095	1.597	LHPP
0.0347124	1.348	0.897	1.503	ACE
0.034729	0.849	0.402	2.112	LOC731369
0.034736	0.644	0.443	1.454	ZNF132
0.0347419	0.789	0.396	1.992	H3F3B
0.0347797	0.613	0.358	1.712	LRRC20
0.0347986	0.579	0.348	1.664	COL13A1
0.0348389	1.199	0.804	1.491	ROD1
0.0348457	0.836	0.388	2.155	TBC1D10C
0.0349595	0.628	0.357	1.759	MYNN
0.0350123	1.193	0.433	2.755	MAST4
0.0350309	2.188	1.443	1.516	BDH2
0.0350998	0.76	0.381	1.995	CACNA2D4
0.0351339	1.463	0.825	1.773	COL13A1
0.035156	1.047	0.563	1.86	LOC643856
0.0351942	1.405	0.806	1.743	ACADS
0.0353005	1.756	1.209	1.452	RHOJ
0.0353135	1.169	0.694	1.684	ARHGEF18
0.0353168	2.02	1.142	1.769	KRTAP4-4
0.0353711	1.099	0.751	1.463	ARRB2
0.0354391	1.984	1.379	1.439	RAB1A
0.0354798	1.256	0.869	1.445	LOC389768
0.0355644	1.436	0.938	1.531	CLIP4
0.0355853	0.955	0.661	1.445	ZNF596
0.0356203	1.092	0.761	1.435	PHTF1
0.0356416	0.906	0.602	1.505	ENPP4
0.0356921	1.427	1.009	1.414	ALDH6A1
0.035744	1.061	0.669	1.586	ZNF426
0.0358119	1.124	0.419	2.683	CEACAM8
0.0358761	0.976	0.577	1.692	CUGBP2
0.0359042	1.733	1.177	1.472	BMP2K
0.0359649	1.075	0.708	1.518	ZNF33B
0.0359853	1.021	0.663	1.54	ARHGEF9
0.0359923	1.144	0.66	1.733	LOC130678
0.0360341	1.629	1.141	1.428	ATP6V1H
0.0360575	0.961	0.624	1.54	MOGAT1
0.0361106	1.042	0.631	1.651	NUDT18
0.0361894	2.341	1.435	1.631	IGFBP3
0.0362118	1.081	0.662	1.633	KIF26A
0.0362862	1.385	0.981	1.412	RHOBTB3
0.0363075	1.74	1.227	1.418	PRELP
0.0363418	0.825	0.501	1.647	ESPN
0.0363528	2.214	1.557	1.422	FTL
0.0363786	1.59	1.018	1.562	TANC1
0.03643	1.5	0.953	1.574	GOLGA8B
0.0365225	0.977	0.624	1.566	TTTY17A
0.0365435	0.809	0.417	1.94	GGTL4
0.0365846	1.925	1.348	1.428	ARSA
0.0365933	1.195	0.834	1.433	ARMC10
0.036616	0.784	0.448	1.75	CNNM4
0.036635	0.927	0.482	1.923	PCDHB14
0.0366752	1.83	1.217	1.504	DCN
0.036684	1.931	1.134	1.703	ADRA2A
0.0366981	0.721	0.502	1.436	CCDC96
0.0367111	2.494	1.526	1.634	SLC7A8
0.0367271	1.152	0.755	1.526	MYH14
0.0367344	1.379	0.974	1.416	SUPT7L
0.0367514	1.387	0.87	1.594	SLC38A6
0.03681	0.632	0.27	2.341	OR13C9
0.0368267	0.953	0.587	1.624	GNL3L
0.0369285	1.007	0.704	1.43	LOC401252
0.036974	0.943	0.621	1.519	SLC2A13
0.0370361	1.774	1.263	1.405	COMT
0.0370653	1.375	0.905	1.519	VPS13B
0.0370698	1.034	0.729	1.418	C9orf130
0.037086	1.475	0.944	1.563	TM6SF2
0.0370976	0.905	0.622	1.455	GAS7
0.0371391	2.299	1.485	1.548	DCN
0.0371401	0.654	0.433	1.51	LRRC2
0.0371565	1.161	0.804	1.444	CORO6
0.0372335	1.595	1.064	1.499	SLC25A23
0.0372582	1.139	0.737	1.545	ZNF189
0.0373157	1.04	0.66	1.576	C1orf82
0.0373684	0.928	0.633	1.466	C6orf32
0.0374229	1.079	0.676	1.596	INTU
0.0374496	1.057	0.688	1.536	LOC730793
0.0375439	1.438	1.026	1.402	C17orf28
0.037651	1.704	1.083	1.573	LOC442245
0.0376866	0.947	0.532	1.78	ABLIM3
0.037728	1.687	1.158	1.457	PPM1K
0.0377877	1.695	0.987	1.717	PHKB
0.0377915	1.261	0.851	1.482	NBPF11
0.0378224	1.028	0.681	1.51	OR4C13
0.0378917	1.66	1.13	1.469	MR1
0.0380203	1.483	1.022	1.451	PPCS
0.0380371	0.968	0.497	1.948	GABRB3
0.0380663	0.992	0.586	1.693	ANAPC1
0.0380815	1.396	0.967	1.444	SUSD2
0.0380975	1.563	1.081	1.446	MGC16291
0.0381108	1.121	0.703	1.595	NAV3
0.0381381	1.509	0.943	1.6	SH3D19
