Symbol	Gene Name	combined p value	Expression
Polr3f	Polymerase (RNA) III (DNA directed) polypeptide F	3.00E-03	Up-regulated transcripts
Papss1	3-phosphoadenosine 5-phosphosulfate synthase 1	3.01E-03	Up-regulated transcripts
Ifnar1	Interferon (alpha and beta) receptor 1	3.08E-03	Up-regulated transcripts
Emd	Emerin	3.12E-03	Up-regulated transcripts
Mrpl32	Mitochondrial ribosomal protein L32	3.19E-03	Up-regulated transcripts
Zfp68	Zinc finger protein 68	3.21E-03	Up-regulated transcripts
Suv420h1	Suppressor of variegation 4-20 homolog 1 (Drosophila)	3.26E-03	Up-regulated transcripts
Tead1	TEA domain family member 1	3.29E-03	Up-regulated transcripts
Kin	Antigenic determinant of rec-A protein	3.30E-03	Up-regulated transcripts
Scyl1	SCY1-like 1 (S. cerevisiae)	3.30E-03	Up-regulated transcripts
Atrnl1	Attractin like 1	3.36E-03	Up-regulated transcripts
Bcl10	B-cell leukemia/lymphoma 10	3.39E-03	Up-regulated transcripts
Bnip3	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3	3.44E-03	Up-regulated transcripts
Cops6	COP9 (constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana)	3.45E-03	Up-regulated transcripts
Nosip	Nitric oxide synthase interacting protein	3.47E-03	Up-regulated transcripts
Pcnp	PEST-containing nuclear protein	3.50E-03	Up-regulated transcripts
B4galt1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	3.52E-03	Up-regulated transcripts
B2m	Beta-2 microglobulin	3.52E-03	Up-regulated transcripts
Vkorc1l1	Vitamin K epoxide reductase complex, subunit 1-like 1	3.53E-03	Up-regulated transcripts
Arrdc3	Arrestin domain containing 3	3.54E-03	Up-regulated transcripts
Slc27a4	Solute carrier family 27 (fatty acid transporter), member 4	3.59E-03	Up-regulated transcripts
Eya3	Eyes absent 3 homolog (Drosophila)	3.59E-03	Up-regulated transcripts
Pigs	Phosphatidylinositol glycan, class S	3.65E-03	Up-regulated transcripts
Ccndbp1	Cyclin D-type binding-protein 1	3.70E-03	Up-regulated transcripts
Stam2	Signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	3.73E-03	Up-regulated transcripts
Laptm4b	Lysosomal-associated protein transmembrane 4B	3.73E-03	Up-regulated transcripts
Chd9	Chromodomain helicase DNA binding protein 9	3.74E-03	Up-regulated transcripts
Tssc1	Tumor suppressing subtransferable candidate 1	3.82E-03	Up-regulated transcripts
Ppp2r1a	Protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	3.83E-03	Up-regulated transcripts
Asl	Argininosuccinate lyase	3.84E-03	Up-regulated transcripts
Lrp1	Low density lipoprotein receptor-related protein 1	3.86E-03	Up-regulated transcripts
Stx4a	Syntaxin 4A (placental)	3.86E-03	Up-regulated transcripts
Opa1	Optic atrophy 1 homolog (human)	3.88E-03	Up-regulated transcripts
Rgmb	RGM domain family, member B	3.88E-03	Up-regulated transcripts
Stk19	Serine/threonine kinase 19	3.88E-03	Up-regulated transcripts
Stk25	Serine/threonine kinase 25 (yeast)	3.93E-03	Up-regulated transcripts
Baz2a	Bromodomain adjacent to zinc finger domain, 2A	3.93E-03	Up-regulated transcripts
Kif5b	Kinesin family member 5B	3.99E-03	Up-regulated transcripts
Slc39a14	Solute carrier family 39 (zinc transporter), member 14	4.04E-03	Up-regulated transcripts
Arpc2	Actin related protein 2/3 complex, subunit 2	4.04E-03	Up-regulated transcripts
Pdcd10	Programmed cell death 10	4.07E-03	Up-regulated transcripts
Usp16	Ubiquitin specific protease 16	4.10E-03	Up-regulated transcripts
Fbxl3	F-box and leucine-rich repeat protein 3	4.12E-03	Up-regulated transcripts
Stat2	Signal transducer and activator of transcription 2	4.19E-03	Up-regulated transcripts
Arsa	Arylsulfatase A	4.22E-03	Up-regulated transcripts
Gpt1	Glutamic pyruvic transaminase 1, soluble	4.22E-03	Up-regulated transcripts
Nkiras1	NFKB inhibitor interacting Ras-like protein 1	4.24E-03	Up-regulated transcripts
Cdipt	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)	4.37E-03	Up-regulated transcripts
Eef1e1	Eukaryotic translation elongation factor 1 epsilon 1	4.38E-03	Up-regulated transcripts
Impa1	Inositol (myo)-1(or 4)-monophosphatase 1	4.42E-03	Up-regulated transcripts
Lin7c	Lin 7 homolog c (C. elegans)	4.43E-03	Up-regulated transcripts
Zfp622	Zinc finger protein 622	4.43E-03	Up-regulated transcripts
Eif2b4	Eukaryotic translation initiation factor 2B, subunit 4 delta	4.48E-03	Up-regulated transcripts
Nlk	Nemo like kinase	4.51E-03	Up-regulated transcripts
Ibrdc3	IBR domain containing 3	4.52E-03	Up-regulated transcripts
Aof1	Amine oxidase, flavin containing 1	4.56E-03	Up-regulated transcripts
Smad3	MAD homolog 3 (Drosophila)	4.64E-03	Up-regulated transcripts
Dncli2	Dynein, cytoplasmic, light intermediate polypeptide 2	4.65E-03	Up-regulated transcripts
Ndel1	Nuclear distribution gene E-like homolog 1 (A. nidulans)	4.68E-03	Up-regulated transcripts
Mvp	Major vault protein	4.70E-03	Up-regulated transcripts
Ppp1r12a	Protein phosphatase 1, regulatory (inhibitor) subunit 12A	4.73E-03	Up-regulated transcripts
Kif2a	Kinesin family member 2A	4.75E-03	Up-regulated transcripts
Nmt1	N-myristoyltransferase 1	4.78E-03	Up-regulated transcripts
Ywhaq	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	4.81E-03	Up-regulated transcripts
Bag1	Bcl2-associated athanogene 1	4.87E-03	Up-regulated transcripts
Sdccag8	Serologically defined colon cancer antigen 8	4.88E-03	Up-regulated transcripts
Aup1	Ancient ubiquitous protein	4.89E-03	Up-regulated transcripts
Gars	Storage granule protein 23	4.94E-03	Up-regulated transcripts
Usp29	Ubiquitin specific protease 29	4.95E-03	Up-regulated transcripts
Crybb3	Crystallin, beta B3 (human)	4.97E-03	Up-regulated transcripts
P2rx4	Purinergic receptor P2X, ligand-gated ion channel 4	5.02E-03	Up-regulated transcripts
Seh1l	SEH1-like (S. cerevisiae	5.02E-03	Up-regulated transcripts
Fbxo38	F-box protein 38	5.03E-03	Up-regulated transcripts
Prep	Prolyl endopeptidase	5.06E-03	Up-regulated transcripts
Miz1	Msx-interacting-zinc finger	5.06E-03	Up-regulated transcripts
Limd1	LIM domains containing 1	5.09E-03	Up-regulated transcripts
Fbxl20	F-box and leucine-rich repeat protein 20	5.11E-03	Up-regulated transcripts
T2	Brachyury 2	5.12E-03	Up-regulated transcripts
Adprh	ADP-ribosylarginine hydrolase	5.15E-03	Up-regulated transcripts
Ing5	Inhibitor of growth family, member 5	5.16E-03	Up-regulated transcripts
Fau	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)	5.17E-03	Up-regulated transcripts
Phax	Phosphorylated adaptor for RNA export	5.19E-03	Up-regulated transcripts
Mfn1	Mitofusin 1	5.27E-03	Up-regulated transcripts
Sct	Secretin	5.27E-03	Up-regulated transcripts
Lama1	Laminin, alpha 1	5.33E-03	Up-regulated transcripts
Twistnb	TWIST neighbor	5.34E-03	Up-regulated transcripts
Rpl12	Ribosomal protein L12	5.38E-03	Up-regulated transcripts
Arl1	ADP-ribosylation factor-like 1	5.44E-03	Up-regulated transcripts
Rhou	Ras homolog gene family, member U	5.46E-03	Up-regulated transcripts
Gna13	Guanine nucleotide binding protein, alpha 13	5.52E-03	Up-regulated transcripts
Rab11fip5	RAB11 family interacting protein 5 (class I)	5.57E-03	Up-regulated transcripts
H2-D1	Histocompatibility 2, D region locus 1	5.58E-03	Up-regulated transcripts
Rpl10	Ribosomal protein 10	5.60E-03	Up-regulated transcripts
Pde8a	Phosphodiesterase 8A	5.62E-03	Up-regulated transcripts
Sirt2	Sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)	5.63E-03	Up-regulated transcripts
Ddx3x	Fibroblast growth factor inducible 14	5.63E-03	Up-regulated transcripts
Trip12	Thyroid hormone receptor interactor 12	5.64E-03	Up-regulated transcripts
Smad4	MAD homolog 4 (Drosophila)	5.65E-03	Up-regulated transcripts
Cacna1d	Calcium channel, voltage-dependent, L type, alpha 1D subunit	5.68E-03	Up-regulated transcripts
Igf2r	Insulin-like growth factor 2 receptor	5.70E-03	Up-regulated transcripts
Eif3s4	Eukaryotic translation initiation factor 3, subunit 4 (delta)	5.73E-03	Up-regulated transcripts
Cdc91l1	CDC91 cell division cycle 91-like 1 (S. cerevisiae)	5.74E-03	Up-regulated transcripts
Rbbp9	Retinoblastoma binding protein 9	5.80E-03	Up-regulated transcripts
Sgta	Small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	5.83E-03	Up-regulated transcripts
Clpx	Caseinolytic protease X (E.coli)	5.86E-03	Up-regulated transcripts
Dpp3	Dipeptidylpeptidase 3	5.88E-03	Up-regulated transcripts
Ddx3y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	5.91E-03	Up-regulated transcripts
Cs	Citrate synthase	5.93E-03	Up-regulated transcripts
Pkm2	Pyruvate kinase, muscle	5.94E-03	Up-regulated transcripts
Ndfip1	Nedd4 family interacting protein 1	5.95E-03	Up-regulated transcripts
Slc1a5	Solute carrier family 1 (neutral amino acid transporter), member 5	5.99E-03	Up-regulated transcripts
Pink1	PTEN induced putative kinase 1	5.99E-03	Up-regulated transcripts
Csda	Cold shock domain protein A	6.00E-03	Up-regulated transcripts
Clta	Clathrin, light polypeptide (Lca)	6.03E-03	Up-regulated transcripts
Nfx1	Nuclear transcription factor, X-box binding 1	6.03E-03	Up-regulated transcripts
Lypla3	Lysophospholipase 3	6.10E-03	Up-regulated transcripts
Map2k4	Mitogen activated protein kinase kinase 4	6.11E-03	Up-regulated transcripts
Orc4l	Origin recognition complex, subunit 4-like (S. cerevisiae)	6.22E-03	Up-regulated transcripts
Prss15	Protease, serine, 15	6.29E-03	Up-regulated transcripts
Taf13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor	6.31E-03	Up-regulated transcripts
Snapc3	Small nuclear RNA activating complex, polypeptide 3	6.43E-03	Up-regulated transcripts
Rnf10	Ring finger protein 10	6.46E-03	Up-regulated transcripts
Csrp2	Cysteine and glycine-rich protein 2	6.49E-03	Up-regulated transcripts
Sepx1	Selenoprotein X 1	6.52E-03	Up-regulated transcripts
Ak4	Adenylate kinase 4	6.55E-03	Up-regulated transcripts
Cdk9	Cyclin-dependent kinase 9 (CDC2-related kinase)	6.62E-03	Up-regulated transcripts
Ell	Elongation factor RNA polymerase II	6.65E-03	Up-regulated transcripts
Adcy9	Adenylate cyclase 9	6.69E-03	Up-regulated transcripts
Ecm1	Extracellular matrix protein 1	6.69E-03	Up-regulated transcripts
H1f0	H1 histone family, member 0	6.73E-03	Up-regulated transcripts
Ccpg1	Cell cycle progression 1	6.77E-03	Up-regulated transcripts
Vdac1	Voltage-dependent anion channel 1	6.80E-03	Up-regulated transcripts
Scnm1	Sodium channel modifier 1	6.81E-03	Up-regulated transcripts
Ssr4	Signal sequence receptor, delta	6.85E-03	Up-regulated transcripts
Rnf141	Ring finger protein 141	6.87E-03	Up-regulated transcripts
Tesc	Tescalcin	6.87E-03	Up-regulated transcripts
Arpc4	Actin related protein 2/3 complex, subunit 4	6.88E-03	Up-regulated transcripts
Prkag1	Protein kinase, AMP-activated, gamma 1 non-catalytic subunit	6.89E-03	Up-regulated transcripts
Mtpn	Myotrophin	7.00E-03	Up-regulated transcripts
Rpl7l1	Ribosomal protein L7-like 1	7.06E-03	Up-regulated transcripts
Ppp1r13b	Protein phosphatase 1, regulatory (inhibitor) subunit 13B	7.09E-03	Up-regulated transcripts
Gosr1	Golgi SNAP receptor complex member 1	7.10E-03	Up-regulated transcripts
Rnf128	Ring finger protein 128	7.22E-03	Up-regulated transcripts
Ttc11	Tetratricopeptide repeat domain 11	7.32E-03	Up-regulated transcripts
Ppp3cb	Protein phosphatase 3, catalytic subunit, beta isoform	7.36E-03	Up-regulated transcripts
Hps4	Hermansky-Pudlak syndrome 4 homolog (human)	7.38E-03	Up-regulated transcripts
Strn4	Striatin, calmodulin binding protein 4	7.39E-03	Up-regulated transcripts
Clic1	Chloride intracellular channel 1	7.41E-03	Up-regulated transcripts
Tgds	TDP-glucose 4,6-dehydratase	7.46E-03	Up-regulated transcripts
Glce	Glucuronyl C5-epimerase	7.47E-03	Up-regulated transcripts
Tram1	Translocating chain-associating membrane protein 1	7.52E-03	Up-regulated transcripts
Itm1	Intergral membrane protein 1	7.56E-03	Up-regulated transcripts
Map1lc3a	Microtubule-associated protein 1 light chain 3 alpha	7.57E-03	Up-regulated transcripts
Oazin	Ornithine decarboxylase antizyme inhibitor	7.60E-03	Up-regulated transcripts
Psma6	Proteasome (prosome, macropain) subunit, alpha type 6	7.62E-03	Up-regulated transcripts
Taf9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor	7.65E-03	Up-regulated transcripts
Slc35a5	Solute carrier family 35, member A5	7.66E-03	Up-regulated transcripts
Klhl9	Kelch-like 9 (Drosophila)	7.70E-03	Up-regulated transcripts
Clic4	Chloride intracellular channel 4 (mitochondrial)	7.79E-03	Up-regulated transcripts
Rps6ka3	Ribosomal protein S6 kinase polypeptide 3	7.82E-03	Up-regulated transcripts
Mad2l2	MAD2 mitotic arrest deficient-like 2 (yeast)	7.88E-03	Up-regulated transcripts
Rerg	RAS-like, estrogen-regulated, growth-inhibitor	7.92E-03	Up-regulated transcripts
Pmm1	Phosphomannomutase 1	8.03E-03	Up-regulated transcripts
Usp30	Ubiquitin specific protease 30	8.09E-03	Up-regulated transcripts
Snx19	Sorting nexin 19	8.18E-03	Up-regulated transcripts
Gdi1	Guanosine diphosphate (GDP) dissociation inhibitor 1	8.24E-03	Up-regulated transcripts
Pip5k1b	Phosphatidylinositol-4-phosphate 5-kinase, type 1 beta	8.27E-03	Up-regulated transcripts
Mrps18a	Mitochondrial ribosomal protein S18A	8.32E-03	Up-regulated transcripts
Cbfa2t2h	Core-binding factor, runt domain, alpha subunit 2, translocated to, 2 homolog (human)	8.34E-03	Up-regulated transcripts
Riok3	RIO kinase 3 (yeast)	8.40E-03	Up-regulated transcripts
Rcor1	REST corepressor 1	8.40E-03	Up-regulated transcripts
Hdlbp	High density lipoprotein (HDL) binding protein	8.43E-03	Up-regulated transcripts
Lztr1	Leucine-zipper-like transcriptional regulator, 1	8.47E-03	Up-regulated transcripts
Laptm4a	Lysosomal-associated protein transmembrane 4A	8.52E-03	Up-regulated transcripts
Mrpl10	Mitochondrial ribosomal protein L10	8.53E-03	Up-regulated transcripts
Dhx36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	8.56E-03	Up-regulated transcripts
Tcf12	Transcription factor 12	8.57E-03	Up-regulated transcripts
Leprel2	Leprecan-like 2	8.67E-03	Up-regulated transcripts
Twist2	Twist homolog 2 (Drosophila)	8.69E-03	Up-regulated transcripts
Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	8.70E-03	Up-regulated transcripts
Pcnx	Pecanex homolog (Drosophila)	8.83E-03	Up-regulated transcripts
Homer1	Homer homolog 1 (Drosophila)	8.83E-03	Up-regulated transcripts
Acbd5	Acyl-Coenzyme A binding domain containing 5	8.89E-03	Up-regulated transcripts
Bicd2	Bicaudal D homolog 2 (Drosophila)	8.91E-03	Up-regulated transcripts
Scmh1	Sex comb on midleg homolog 1	8.95E-03	Up-regulated transcripts
Mvd	Mevalonate (diphospho) decarboxylase	9.08E-03	Up-regulated transcripts
Osbp	Oxysterol binding protein	9.23E-03	Up-regulated transcripts
Zdhhc3	Zinc finger, DHHC domain containing 3	9.38E-03	Up-regulated transcripts
Mfn2	Mitofusin 2	9.38E-03	Up-regulated transcripts
Cryzl1	Crystallin, zeta (quinone reductase)-like 1	9.44E-03	Up-regulated transcripts
Hps1	Hermansky-Pudlak syndrome 1 homolog (human)	9.48E-03	Up-regulated transcripts
Actr10	ARP10 actin-related protein 10 homolog (S. cerevisiae)	9.55E-03	Up-regulated transcripts
Slc22a5	Solute carrier family 22 (organic cation transporter), member 5	9.57E-03	Up-regulated transcripts
Nfe2l2	Nuclear factor, erythroid derived 2, like 2	9.70E-03	Up-regulated transcripts
Dpep3	Dipeptidase 3	9.72E-03	Up-regulated transcripts
Utx	Ubiquitously transcribed tetratricopeptide repeat gene, X chromosome	9.88E-03	Up-regulated transcripts
Cnn3	Calponin 3, acidic	9.88E-03	Up-regulated transcripts
Itgb1bp1	Integrin beta 1 binding protein 1	1.00E-02	Up-regulated transcripts
Ctps	Cytidine 5-triphosphate synthase	1.01E-02	Up-regulated transcripts
Fliih	Flightless I homolog (Drosophila)	1.01E-02	Up-regulated transcripts
Prkra	Protein kinase, interferon inducible double stranded RNA dependent activator	1.01E-02	Up-regulated transcripts
Prdm10	PR domain containing 10	1.01E-02	Up-regulated transcripts
Adpgk	ADP-dependent glucokinase	1.02E-02	Up-regulated transcripts
Trim41	Tripartite motif-containing 41	1.02E-02	Up-regulated transcripts
Copeb	Core promoter element binding protein	1.03E-02	Up-regulated transcripts
Crk	V-crk sarcoma virus CT10 oncogene homolog (avian)	1.03E-02	Up-regulated transcripts
Atpaf2	ATP synthase mitochondrial F1 complex assembly factor 2	1.03E-02	Up-regulated transcripts
Eef1d	Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	1.03E-02	Up-regulated transcripts
C1rl	Complement component 1, r subcomponent-like	1.03E-02	Up-regulated transcripts
Scamp4	Secretory carrier membrane protein 4	1.04E-02	Up-regulated transcripts
Grb2	Growth factor receptor bound protein 2	1.04E-02	Up-regulated transcripts
Ndrg1	N-myc downstream regulated gene 1	1.05E-02	Up-regulated transcripts
Apg4b	APG4 (ATG4) autophagy-related homolog B (S. cerevisiae)	1.05E-02	Up-regulated transcripts
Fbxw11	F-box and WD-40 domain protein 11	1.06E-02	Up-regulated transcripts
Prkar1a	Protein kinase, cAMP dependent regulatory, type I, alpha	1.06E-02	Up-regulated transcripts
Uqcrh	Ubiquinol-cytochrome c reductase hinge protein	1.06E-02	Up-regulated transcripts
Mbnl1	Muscleblind-like 1 (Drosophila)	1.07E-02	Up-regulated transcripts
Shmt2	Serine hydroxymethyl transferase 2 (mitochondrial)	1.10E-02	Up-regulated transcripts
Bhc80	BRAF35/HDAC2 complex	1.11E-02	Up-regulated transcripts
Cerk	Ceramide kinase	1.11E-02	Up-regulated transcripts
Rab13	RAB13, member RAS oncogene family	1.11E-02	Up-regulated transcripts
Kns2	Kinesin 2	1.12E-02	Up-regulated transcripts
Sin3b	Transcriptional regulator, SIN3B (yeast)	1.13E-02	Up-regulated transcripts
Nr1d2	Nuclear receptor subfamily 1, group D, member 2	1.13E-02	Up-regulated transcripts
Ddx20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	1.14E-02	Up-regulated transcripts
Fbxo6b	F-box only protein 6b	1.15E-02	Up-regulated transcripts
Birc6	Baculoviral IAP repeat-containing 6	1.15E-02	Up-regulated transcripts
Smoc1	SPARC related modular calcium binding 1	1.15E-02	Up-regulated transcripts
Aacs	Acetoacetyl-CoA synthetase	1.15E-02	Up-regulated transcripts
Mir	C-mir, cellular modulator of immune recognition	1.16E-02	Up-regulated transcripts
Snx2	Sorting nexin 2	1.16E-02	Up-regulated transcripts
Evl	Ena-vasodilator stimulated phosphoprotein	1.16E-02	Up-regulated transcripts
Dbt	Dihydrolipoamide branched chain transacylase E2	1.17E-02	Up-regulated transcripts
Edem1	ER degradation enhancer, mannosidase alpha-like 1	1.18E-02	Up-regulated transcripts
Ga17	Dendritic cell protein GA17	1.18E-02	Up-regulated transcripts
Fth1	Ferritin heavy chain 1	1.19E-02	Up-regulated transcripts
Thop1	Thimet oligopeptidase 1	1.19E-02	Up-regulated transcripts
Pafah1b1	Platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit	1.20E-02	Up-regulated transcripts
Flnb	Filamin, beta	1.20E-02	Up-regulated transcripts
Ssbp3	Single-stranded DNA binding protein 3	1.21E-02	Up-regulated transcripts
Ttll4	Tubulin tyrosine ligase-like family, member 4	1.21E-02	Up-regulated transcripts
Wdfy3	WD repeat and FYVE domain containing 3	1.21E-02	Up-regulated transcripts
Stard13	Serologically defined colon cancer antigen 13	1.22E-02	Up-regulated transcripts
Zmat2	Zinc finger, matrin type 2	1.22E-02	Up-regulated transcripts
Ppm1b	Protein phosphatase 1B, magnesium dependent, beta isoform	1.22E-02	Up-regulated transcripts
Fbxl6	F-box and leucine-rich repeat protein 6	1.23E-02	Up-regulated transcripts
Rrs1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	1.23E-02	Up-regulated transcripts
Mapk8	Mitogen activated protein kinase 8	1.23E-02	Up-regulated transcripts
Ldh1	Lactate dehydrogenase 1, A chain	1.23E-02	Up-regulated transcripts
Gata2	GATA binding protein 2	1.23E-02	Up-regulated transcripts
Senp3	SUMO/sentrin specific protease 3	1.23E-02	Up-regulated transcripts
Psen2	Presenilin 2	1.24E-02	Up-regulated transcripts
Ltb4dh	Leukotriene B4 12-hydroxydehydrogenase	1.24E-02	Up-regulated transcripts
Ell2	Elongation factor RNA polymerase II 2	1.25E-02	Up-regulated transcripts
Ppl	Periplakin	1.26E-02	Up-regulated transcripts
Tsg101	Tumor susceptibility gene 101	1.26E-02	Up-regulated transcripts
Mnat1	Menage a trois 1	1.27E-02	Up-regulated transcripts
Ythdf2	YTH domain family 2	1.27E-02	Up-regulated transcripts
Aldh9a1	Aldehyde dehydrogenase 9, subfamily A1	1.28E-02	Up-regulated transcripts
Actr3	ARP3 actin-related protein 3 homolog (yeast)	1.28E-02	Up-regulated transcripts
Phip	Pleckstrin homology domain interacting protein	1.30E-02	Up-regulated transcripts
Entpd7	Ectonucleoside triphosphate diphosphohydrolase 7	1.30E-02	Up-regulated transcripts
Actb	Actin, beta, cytoplasmic	0.00E+00	Down-regulated transcripts
Alad	Aminolevulinate, delta-, dehydratase	0.00E+00	Down-regulated transcripts
Arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1	0.00E+00	Down-regulated transcripts
Ccna2	Cyclin A2	0.00E+00	Down-regulated transcripts
Gstm1	Glutathione S-transferase, mu 1	0.00E+00	Down-regulated transcripts
Gstm2	Glutathione S-transferase, mu 2	0.00E+00	Down-regulated transcripts
Hmgb1	High mobility group box 1	0.00E+00	Down-regulated transcripts
Hs6st2	Heparan sulfate 6-O-sulfotransferase 2	0.00E+00	Down-regulated transcripts
Itm2b	Integral membrane protein 2B	0.00E+00	Down-regulated transcripts
Kif22	Kinesin family member 22	0.00E+00	Down-regulated transcripts
Myo1b	Myosin IB	0.00E+00	Down-regulated transcripts
Paics	Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase	0.00E+00	Down-regulated transcripts
Pbk	PDZ binding kinase	0.00E+00	Down-regulated transcripts
Pttg1	Pituitary tumor-transforming 1	0.00E+00	Down-regulated transcripts
Rbbp7	Retinoblastoma binding protein 7	0.00E+00	Down-regulated transcripts
Smc4l1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	0.00E+00	Down-regulated transcripts
Tacc3	Transforming, acidic coiled-coil containing protein 3	0.00E+00	Down-regulated transcripts
Top2a	Topoisomerase (DNA) II alpha	0.00E+00	Down-regulated transcripts
Trim28	Tripartite motif protein 28	0.00E+00	Down-regulated transcripts
Tubb5	Tubulin, beta 5	0.00E+00	Down-regulated transcripts
Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	2.22E-16	Down-regulated transcripts
Clu	Clusterin	2.22E-16	Down-regulated transcripts
Kif23	Kinesin family member 23	3.33E-16	Down-regulated transcripts
Pbx3	Pre B-cell leukemia transcription factor 3	1.89E-15	Down-regulated transcripts
Aldh1a1	Aldehyde dehydrogenase family 1, subfamily A1	4.33E-15	Down-regulated transcripts
Ptma	Prothymosin alpha	4.44E-15	Down-regulated transcripts
Sfrs2	Splicing factor, arginine/serine-rich 2 (SC-35)	8.22E-15	Down-regulated transcripts
Hmgb2	High mobility group box 2	1.32E-14	Down-regulated transcripts
Acat1	Acetyl-Coenzyme A acetyltransferase 1	1.37E-14	Down-regulated transcripts
Smc2l1	SMC2 structural maintenance of chromosomes 2-like 1 (yeast)	2.81E-14	Down-regulated transcripts
Hn1	Hematological and neurological expressed sequence 1	3.69E-14	Down-regulated transcripts
Cks2	CDC28 protein kinase regulatory subunit 2	4.05E-14	Down-regulated transcripts
Gnai2	Guanine nucleotide binding protein, alpha inhibiting 2	6.71E-14	Down-regulated transcripts
Ephx1	Epoxide hydrolase 1, microsomal	8.05E-14	Down-regulated transcripts
App	Amyloid beta (A4) precursor protein	8.57E-14	Down-regulated transcripts
Ckap2	Cytoskeleton associated protein 2	1.37E-13	Down-regulated transcripts
Hnrpa2b1	Heterogeneous nuclear ribonucleoprotein A2/B1	1.89E-13	Down-regulated transcripts
Cenpa	Centromere autoantigen A	2.48E-13	Down-regulated transcripts
Mad2l1	MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)	2.52E-13	Down-regulated transcripts
Ptn	Pleiotrophin	2.62E-13	Down-regulated transcripts
Rrm1	Ribonucleotide reductase M1	6.71E-13	Down-regulated transcripts
Hdgf	Hepatoma-derived growth factor	8.72E-13	Down-regulated transcripts
Dtymk	Deoxythymidylate kinase	1.16E-12	Down-regulated transcripts
Ppp1cc	Protein phosphatase 1, catalytic subunit, gamma isoform	2.18E-12	Down-regulated transcripts
Rps15	Ribosomal protein S15	3.11E-12	Down-regulated transcripts
Idh3g	Isocitrate dehydrogenase 3 (NAD+), gamma	4.77E-12	Down-regulated transcripts
Wnt4	Wingless-related MMTV integration site 4	5.20E-12	Down-regulated transcripts
Gstm5	Glutathione S-transferase, mu 5	5.44E-12	Down-regulated transcripts
St7	Suppression of tumorigenicity 7	5.73E-12	Down-regulated transcripts
Ccnb2	Cyclin B2	6.34E-12	Down-regulated transcripts
Bub1	Budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	7.09E-12	Down-regulated transcripts
Rhob	Ras homolog gene family, member B	1.19E-11	Down-regulated transcripts
Rpl3	Ribosomal protein L3	1.96E-11	Down-regulated transcripts
Parp1	Poly (ADP-ribose) polymerase family, member 1	2.35E-11	Down-regulated transcripts
Cst3	Cystatin C	2.67E-11	Down-regulated transcripts
Birc5	Baculoviral IAP repeat-containing 5	2.68E-11	Down-regulated transcripts
Hnrpu	Heterogeneous nuclear ribonucleoprotein U	2.69E-11	Down-regulated transcripts
Pde2a	Phosphodiesterase 2A, cGMP-stimulated	2.95E-11	Down-regulated transcripts
Ppp1r14b	Protein phosphatase 1, regulatory (inhibitor) subunit 14B	3.37E-11	Down-regulated transcripts
Sfrs7	Splicing factor, arginine/serine-rich 7	3.85E-11	Down-regulated transcripts
Hmgn1	High-mobility group nucleosome binding domain 1	5.72E-11	Down-regulated transcripts
Rps3a	Ribosomal protein S3a	6.41E-11	Down-regulated transcripts
Serf2	Small EDRK-rich factor 2	9.90E-11	Down-regulated transcripts
Ifitm3	Interferon induced transmembrane protein 3	1.07E-10	Down-regulated transcripts
Nusap1	Nucleolar and spindle associated protein 1	1.25E-10	Down-regulated transcripts
Slc25a13	Solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13	1.29E-10	Down-regulated transcripts
Maoa	Monoamine oxidase A	1.33E-10	Down-regulated transcripts
Rfc3	Replication factor C (activator 1) 3	1.33E-10	Down-regulated transcripts
Tuba1	Tubulin, alpha 1	1.34E-10	Down-regulated transcripts
Cdc2a	Cell division cycle 2 homolog A (S. pombe)	1.66E-10	Down-regulated transcripts
